Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-7.48031400,0.07874016
0.03774359,-2.36220500,3.14960600
0.10174359,-5.11811000,3.22834600
0.16574359,-6.69291300,3.22834600
0.22974358,-1.57480300,3.22834600
0.29374358,-5.90551100,3.22834600
0.35774358,-6.69291300,3.22834600
0.42174358,-4.33070900,3.30708700
0.48574358,-1.18110200,3.22834600
0.54974357,-8.66141700,3.22834600
0.61374357,-0.39370070,3.30708700
0.67774357,-4.33070900,3.30708700
0.74174357,-5.11811000,3.22834600
0.80574357,-7.48031400,3.22834600
0.86974357,-2.36220500,3.22834600
0.93374356,-9.44881800,3.22834600
0.99774356,-4.33070900,3.30708700
1.06174356,-3.93700800,3.22834600
1.12574356,-3.54330700,3.22834600
1.18974356,-5.51181100,3.22834600
1.25374355,0.39370070,3.22834600
1.31774355,-4.33070900,3.22834600
1.38174355,-6.69291300,3.22834600
1.44574355,-2.75590500,3.22834600
1.50974355,-3.54330700,3.22834600
1.57374355,-4.33070900,3.22834600
1.63774354,-3.54330700,3.22834600
1.70174354,1.96850400,3.22834600
1.76574354,-5.90551100,3.22834600
1.82974354,0.39370070,3.22834600
1.89374354,-2.36220500,3.22834600
1.95774353,-1.57480300,3.22834600
2.02174353,-5.11811000,3.22834600
2.08574353,3.14960600,3.22834600
2.14974353,-2.36220500,3.22834600
2.21374353,-1.57480300,3.22834600
2.27774353,-0.39370070,3.22834600
2.34174352,0.00000000,3.30708700
2.40574352,-3.93700800,3.22834600
2.46974352,-0.39370070,3.22834600
2.53374352,0.39370070,3.22834600
2.59774352,-2.75590500,3.22834600
2.66174351,2.36220500,3.30708700
2.72574351,1.57480300,3.30708700
2.78974351,0.00000000,3.30708700
2.85374351,-3.54330700,3.30708700
2.91774351,2.36220500,3.22834600
2.98174351,-3.54330700,3.30708700
3.04574350,0.39370070,3.30708700
3.10974350,-2.36220500,3.30708700
3.17374350,3.14960600,3.30708700
3.23774350,-3.93700800,3.30708700
3.30174350,1.18110200,3.22834600
3.36574349,-2.75590500,3.30708700
3.42974349,-4.72440900,3.22834600
3.49374349,-3.93700800,3.22834600
3.55774349,-1.96850400,3.30708700
3.62174349,-5.11811000,3.22834600
3.68574349,-5.51181100,3.30708700
3.74974348,1.57480300,3.22834600
3.81374348,-4.72440900,3.22834600
3.87774348,-2.36220500,3.30708700
3.94174348,-3.14960600,3.22834600
4.00574348,-2.36220500,3.22834600
4.06974347,-8.26771600,3.22834600
4.13374347,1.96850400,3.22834600
4.19774347,-4.33070900,3.22834600
4.26174347,-2.75590500,3.22834600
4.32574347,0.00000000,3.22834600
4.38974347,1.18110200,3.22834600
4.45374346,-5.90551100,3.30708700
4.51774346,0.39370070,3.22834600
4.58174346,-2.75590500,3.22834600
4.64574346,-4.33070900,3.22834600
4.70974346,-0.78740150,3.22834600
4.77374346,-0.78740150,3.30708700
4.83774345,-2.75590500,3.30708700
4.90174345,-4.33070900,3.30708700
4.96574345,0.78740150,3.22834600
5.02974345,-7.48031400,3.30708700
5.09374345,-1.57480300,3.22834600
5.15774344,-2.36220500,3.30708700
5.22174344,0.78740150,3.30708700
5.28574344,-1.96850400,3.30708700
5.34974344,1.57480300,3.30708700
5.41374344,-2.36220500,3.30708700
5.47774344,-1.57480300,3.30708700
5.54174343,-3.54330700,3.22834600
5.60574343,0.00000000,3.30708700
5.66974343,-3.54330700,3.30708700
5.73374343,-0.78740150,3.30708700
5.79774343,0.00000000,3.30708700
5.86174342,-1.18110200,3.30708700
5.92574342,-3.14960600,3.30708700
5.98974342,-2.36220500,3.22834600
6.05374342,-2.36220500,3.30708700
6.11774342,-7.08661400,3.30708700
6.18174342,-0.78740150,3.30708700
6.24574341,-5.90551100,3.30708700
6.30974341,-2.75590500,3.22834600
6.37374341,-3.93700800,3.30708700
6.43774341,0.00000000,3.30708700
6.50174341,-8.66141700,3.22834600
6.56574340,-1.96850400,3.30708700
6.62974340,-3.14960600,3.30708700
6.69374340,-4.72440900,3.22834600
6.75774340,-3.93700800,3.22834600
6.82174340,0.39370070,3.30708700
6.88574340,-4.33070900,3.22834600
6.94974339,-2.36220500,3.22834600
7.01374339,0.00000000,3.30708700
7.07774339,-4.33070900,3.30708700
7.14174339,-3.14960600,3.22834600
7.20574339,-0.78740150,3.30708700
7.26974338,-1.57480300,3.30708700
7.33374338,-5.11811000,3.30708700
7.39774338,2.36220500,3.30708700
7.46174338,-2.75590500,3.30708700
7.52574338,-2.75590500,3.30708700
7.58974338,-4.72440900,3.30708700
7.65374337,-0.39370070,3.30708700
7.71774337,-7.08661400,3.30708700
7.78174337,0.78740150,3.30708700
7.84574337,0.00000000,3.30708700
7.90974337,-0.39370070,3.30708700
7.97374336,-2.75590500,3.30708700
8.03774336,1.18110200,3.30708700
8.10174336,-3.14960600,3.30708700
8.16574336,-5.90551100,3.22834600
8.22974336,1.57480300,3.22834600
8.29374336,-2.75590500,3.30708700
8.35774335,-1.18110200,3.30708700
8.42174335,-0.78740150,3.30708700
8.48574335,1.18110200,3.30708700
8.54974335,-6.29921200,3.30708700
8.61374335,0.78740150,3.30708700
8.67774334,-3.54330700,3.30708700
8.74174334,-4.33070900,3.30708700
8.80574334,-5.11811000,3.30708700
8.86974334,0.39370070,3.30708700
8.93374334,-7.08661400,3.30708700
8.99774334,-2.36220500,3.30708700
9.06174333,-3.54330700,3.22834600
9.12574333,-5.51181100,3.22834600
9.18974333,-4.72440900,3.30708700
9.25374333,-0.39370070,3.30708700
9.31774333,-1.96850400,3.30708700
9.38174332,-3.14960600,3.30708700
9.44574332,2.75590500,3.30708700
9.50974332,-2.36220500,3.22834600
9.57374332,-0.78740150,3.30708700
9.63774332,-3.14960600,3.30708700
9.70174332,2.75590500,3.22834600
9.76574331,-3.93700800,3.30708700
9.82974331,1.18110200,3.30708700
9.89374331,0.78740150,3.22834600
9.95774331,1.57480300,3.30708700
10.02174331,-2.75590500,3.30708700
10.08574330,3.54330700,3.30708700
10.14974330,-1.57480300,3.30708700
10.21374330,-4.33070900,3.30708700
10.27774330,-0.39370070,3.30708700
10.34174330,0.39370070,3.30708700
10.40574330,-3.54330700,3.30708700
10.46974329,0.00000000,3.30708700
10.53374329,2.36220500,3.30708700
10.59774329,-5.11811000,3.30708700
10.66174329,0.39370070,3.30708700
10.72574329,-0.78740150,3.30708700
10.78974328,-1.57480300,3.30708700
10.85374328,-3.54330700,3.30708700
10.91774328,5.51181100,3.30708700
10.98174328,-4.72440900,3.30708700
11.04574328,0.78740150,3.30708700
11.10974328,0.78740150,3.30708700
11.17374327,0.00000000,3.30708700
11.23774327,-4.33070900,3.30708700
11.30174327,1.18110200,3.30708700
11.36574327,-2.36220500,3.30708700
11.42974327,-4.33070900,3.30708700
11.49374327,0.39370070,3.30708700
11.55774326,-3.14960600,3.30708700
11.62174326,-5.11811000,3.30708700
11.68574326,-4.33070900,3.30708700
11.74974326,-1.96850400,3.30708700
11.81374326,-7.87401500,3.30708700
11.87774325,-2.36220500,3.30708700
11.94174325,-3.14960600,3.30708700
12.00574325,-1.18110200,3.30708700
12.06974325,-5.51181100,3.30708700
12.13374325,0.78740150,3.30708700
12.19774325,-5.51181100,3.30708700
12.26174324,-3.14960600,3.30708700
12.32574324,-3.93700800,3.30708700
12.38974324,-0.39370070,3.30708700
12.45374324,-5.11811000,3.30708700
12.51774324,-0.39370070,3.30708700
12.58174323,0.39370070,3.30708700
12.64574323,-4.33070900,3.30708700
12.70974323,-1.96850400,3.30708700
12.77374323,-2.36220500,3.30708700
12.83774323,-3.93700800,3.22834600
12.90174323,-6.69291300,3.30708700
12.96574322,0.39370070,3.30708700
13.02974322,-7.87401500,3.30708700
13.09374322,-2.36220500,3.30708700
13.15774322,-3.93700800,3.22834600
13.22174322,-3.54330700,3.30708700
13.28574321,-9.05511800,3.30708700
13.34974321,-2.75590500,3.30708700
13.41374321,-5.51181100,3.30708700
13.47774321,-3.93700800,3.30708700
13.54174321,-5.51181100,3.30708700
13.60574321,-2.75590500,3.30708700
13.66974320,-7.48031400,3.22834600
13.73374320,-5.51181100,3.30708700
13.79774320,-4.33070900,3.30708700
13.86174320,-8.26771600,3.30708700
13.92574320,-6.69291300,3.30708700
13.98974319,-6.69291300,3.30708700
14.05374319,-4.72440900,3.30708700
14.11774319,-12.99213000,3.30708700
14.18174319,-3.14960600,3.30708700
14.24574319,-10.23622000,3.30708700
14.30974319,-5.90551100,3.30708700
14.37374318,-6.69291300,3.30708700
14.43774318,-5.90551100,3.30708700
14.50174318,-12.59842000,3.22834600
14.56574318,-4.33070900,3.30708700
14.62974318,-6.29921200,3.30708700
14.69374317,-10.23622000,3.30708700
14.75774317,-7.87401500,3.30708700
14.82174317,-5.51181100,3.22834600
14.88574317,-10.62992000,3.22834600
14.94974317,-4.33070900,3.30708700
15.01374317,-3.93700800,3.30708700
15.07774316,-7.48031400,3.30708700
15.14174316,-3.54330700,3.30708700
15.20574316,-3.93700800,3.30708700
15.26974316,-6.29921200,3.30708700
15.33374316,-10.23622000,3.30708700
15.39774315,-1.57480300,3.30708700
15.46174315,-9.84251900,3.30708700
15.52574315,-5.90551100,3.30708700
15.58974315,-7.48031400,3.30708700
15.65374315,-3.93700800,3.30708700
15.71774315,-8.66141700,3.30708700
15.78174314,-0.78740150,3.30708700
15.84574314,-8.26771600,3.30708700
15.90974314,-9.05511800,3.30708700
15.97374314,-6.29921200,3.30708700
16.03774314,-6.29921200,3.30708700
16.10174313,-7.08661400,3.30708700
16.16574313,-6.69291300,3.30708700
16.22974313,-4.72440900,3.30708700
16.29374313,-10.62992000,3.30708700
16.35774313,-6.69291300,3.30708700
16.42174313,-8.66141700,3.30708700
16.48574312,-3.93700800,3.30708700
16.54974312,-7.48031400,3.30708700
16.61374312,-1.57480300,3.30708700
16.67774312,-6.69291300,3.30708700
16.74174312,-5.11811000,3.30708700
16.80574311,-7.08661400,3.30708700
16.86974311,-2.75590500,3.30708700
16.93374311,-12.59842000,3.30708700
16.99774311,-7.48031400,3.30708700
17.06174311,-7.48031400,3.30708700
17.12574311,-7.87401500,3.30708700
17.18974310,-8.66141700,3.30708700
17.25374310,-4.33070900,3.30708700
17.31774310,-6.69291300,3.30708700
17.38174310,-10.62992000,3.30708700
17.44574310,-1.96850400,3.30708700
17.50974309,-8.66141700,3.30708700
17.57374309,-6.69291300,3.30708700
17.63774309,-6.69291300,3.30708700
17.70174309,-1.96850400,3.30708700
17.76574309,-10.62992000,3.30708700
17.82974309,-5.11811000,3.30708700
17.89374308,-7.87401500,3.30708700
17.95774308,-7.48031400,3.30708700
18.02174308,-10.23622000,3.30708700
18.08574308,-3.54330700,3.30708700
18.14974308,-9.44881800,3.30708700
18.21374307,-7.08661400,3.30708700
18.27774307,-4.72440900,3.30708700
18.34174307,-6.69291300,3.30708700
18.40574307,-10.23622000,3.30708700
18.46974307,-6.29921200,3.30708700
18.53374307,-5.90551100,3.30708700
18.59774306,-10.62992000,3.30708700
18.66174306,-4.33070900,3.30708700
18.72574306,-7.48031400,3.30708700
18.78974306,-6.29921200,3.30708700
18.85374306,-7.87401500,3.30708700
18.91774306,-1.57480300,3.30708700
18.98174305,-11.41732000,3.30708700
19.04574305,-5.11811000,3.30708700
19.10974305,-4.33070900,3.30708700
19.17374305,-4.72440900,3.30708700
19.23774305,-7.08661400,3.30708700
19.30174304,-1.57480300,3.30708700
19.36574304,-6.69291300,3.30708700
19.42974304,-8.26771600,3.30708700
19.49374304,-5.90551100,3.30708700
19.55774304,-9.05511800,3.30708700
19.62174304,-9.84251900,3.30708700
19.68574303,-5.90551100,3.30708700
19.74974303,-4.72440900,3.30708700
19.81374303,-10.23622000,3.30708700
19.87774303,-4.72440900,3.30708700
19.94174303,-7.48031400,3.30708700
20.00574302,-6.29921200,3.22834600
20.06974302,-12.20472000,3.22834600
20.13374302,-4.33070900,3.30708700
20.19774302,-9.84251900,3.30708700
20.26174302,-6.29921200,3.30708700
20.32574302,-7.08661400,3.30708700
20.38974301,-5.51181100,3.30708700
20.45374301,-10.23622000,3.30708700
20.51774301,-6.69291300,3.30708700
20.58174301,-7.08661400,3.30708700
20.64574301,-9.44881800,3.30708700
20.70974300,-6.69291300,3.30708700
20.77374300,-5.51181100,3.30708700
20.83774300,-5.90551100,3.30708700
20.90174300,-10.23622000,3.30708700
20.96574300,-4.33070900,3.30708700
21.02974300,-10.23622000,3.30708700
21.09374299,-9.05511800,3.30708700
21.15774299,-7.08661400,3.30708700
21.22174299,-5.51181100,3.30708700
21.28574299,-10.62992000,3.30708700
21.34974299,-0.39370070,3.30708700
21.41374298,-6.69291300,3.30708700
21.47774298,-6.29921200,3.30708700
21.54174298,-6.69291300,3.30708700
21.60574298,-3.14960600,3.30708700
21.66974298,-9.05511800,3.30708700
21.73374298,-3.14960600,3.30708700
