Time,Channel A,Channel B
(us),(mV),(V)

-0.03938461,-3.14960600,0.07874016
0.02461538,-21.65354000,2.12598400
0.08861538,-0.39370070,3.22834600
0.15261538,-5.90551100,3.22834600
0.21661538,-3.93700800,3.22834600
0.28061538,-6.29921200,3.22834600
0.34461537,-3.54330700,3.30708700
0.40861537,-4.72440900,3.22834600
0.47261537,-7.48031400,3.22834600
0.53661537,-3.54330700,3.22834600
0.60061537,-8.26771600,3.22834600
0.66461537,-7.87401500,3.22834600
0.72861536,-7.48031400,3.22834600
0.79261536,-2.75590500,3.22834600
0.85661536,-11.41732000,3.30708700
0.92061536,-1.18110200,3.22834600
0.98461536,-3.54330700,3.22834600
1.04861536,-5.51181100,3.22834600
1.11261535,-7.08661400,3.22834600
1.17661535,0.00000000,3.22834600
1.24061535,-9.05511800,3.30708700
1.30461535,-3.93700800,3.22834600
1.36861535,-1.96850400,3.22834600
1.43261534,-4.33070900,3.30708700
1.49661534,-5.90551100,3.22834600
1.56061534,2.75590500,3.30708700
1.62461534,-3.54330700,3.22834600
1.68861534,-8.66141700,3.22834600
1.75261534,0.00000000,3.22834600
1.81661533,-7.48031400,3.22834600
1.88061533,-7.08661400,3.22834600
1.94461533,-6.29921200,3.22834600
2.00861533,0.39370070,3.30708700
2.07261533,-11.81102000,3.22834600
2.13661532,0.00000000,3.30708700
2.20061532,-6.69291300,3.22834600
2.26461532,-4.33070900,3.22834600
2.32861532,-7.48031400,3.22834600
2.39261532,-0.78740150,3.22834600
2.45661532,-6.29921200,3.22834600
2.52061531,-3.54330700,3.22834600
2.58461531,-0.78740150,3.22834600
2.64861531,-2.36220500,3.22834600
2.71261531,-3.54330700,3.22834600
2.77661531,0.00000000,3.22834600
2.84061530,-0.78740150,3.22834600
2.90461530,-4.72440900,3.22834600
2.96861530,1.57480300,3.22834600
3.03261530,-1.96850400,3.22834600
3.09661530,-1.96850400,3.22834600
3.16061530,-4.33070900,3.22834600
3.22461529,1.96850400,3.22834600
3.28861529,-7.87401500,3.22834600
3.35261529,-1.18110200,3.22834600
3.41661529,-5.11811000,3.22834600
3.48061529,-1.18110200,3.30708700
3.54461528,-6.69291300,3.22834600
3.60861528,-0.78740150,3.22834600
3.67261528,-3.54330700,3.30708700
3.73661528,-3.93700800,3.22834600
3.80061528,-2.36220500,3.22834600
3.86461528,-2.75590500,3.22834600
3.92861527,-3.54330700,3.22834600
3.99261527,-3.14960600,3.30708700
4.05661527,3.14960600,3.22834600
4.12061527,-3.93700800,3.30708700
4.18461527,1.18110200,3.30708700
4.24861526,-2.75590500,3.22834600
4.31261526,-0.39370070,3.30708700
4.37661526,-7.08661400,3.30708700
4.44061526,-2.75590500,3.30708700
4.50461526,-7.48031400,3.30708700
4.56861526,-4.33070900,3.30708700
4.63261525,-4.33070900,3.22834600
4.69661525,-0.39370070,3.22834600
4.76061525,-9.44881800,3.22834600
4.82461525,-5.51181100,3.22834600
4.88861525,-2.75590500,3.22834600
4.95261524,-6.69291300,3.22834600
5.01661524,-4.33070900,3.22834600
5.08061524,-1.57480300,3.22834600
5.14461524,-3.93700800,3.22834600
5.20861524,-6.69291300,3.22834600
5.27261524,1.57480300,3.22834600
5.33661523,-7.08661400,3.22834600
5.40061523,-2.75590500,3.22834600
5.46461523,-2.36220500,3.30708700
5.52861523,1.18110200,3.22834600
5.59261523,-6.69291300,3.30708700
5.65661522,3.14960600,3.30708700
5.72061522,-2.36220500,3.22834600
5.78461522,-5.11811000,3.30708700
5.84861522,-3.14960600,3.30708700
5.91261522,-3.54330700,3.22834600
5.97661522,-8.26771600,3.22834600
6.04061521,-2.36220500,3.30708700
6.10461521,-1.18110200,3.22834600
6.16861521,-5.90551100,3.30708700
6.23261521,-2.75590500,3.30708700
6.29661521,-2.36220500,3.22834600
6.36061520,-3.54330700,3.30708700
6.42461520,-6.29921200,3.30708700
6.48861520,0.39370070,3.30708700
6.55261520,-5.11811000,3.22834600
6.61661520,0.78740150,3.30708700
6.68061520,-3.93700800,3.30708700
6.74461519,0.39370070,3.30708700
6.80861519,-5.90551100,3.22834600
6.87261519,0.00000000,3.30708700
6.93661519,-3.54330700,3.30708700
7.00061519,-1.57480300,3.30708700
7.06461518,-4.72440900,3.30708700
7.12861518,-2.36220500,3.30708700
7.19261518,-3.14960600,3.30708700
7.25661518,-7.48031400,3.22834600
7.32061518,-3.54330700,3.22834600
7.38461518,-6.29921200,3.22834600
7.44861517,-6.69291300,3.30708700
7.51261517,-6.69291300,3.30708700
7.57661517,-1.57480300,3.22834600
7.64061517,-8.66141700,3.22834600
7.70461517,-1.18110200,3.30708700
7.76861516,-3.14960600,3.30708700
7.83261516,-4.33070900,3.22834600
7.89661516,-8.66141700,3.30708700
7.96061516,1.57480300,3.30708700
8.02461516,-6.69291300,3.22834600
8.08861516,-2.36220500,3.30708700
8.15261515,0.00000000,3.30708700
8.21661515,-1.18110200,3.22834600
8.28061515,-5.51181100,3.30708700
8.34461515,1.96850400,3.30708700
8.40861515,-2.75590500,3.22834600
8.47261515,-8.26771600,3.30708700
8.53661514,-0.39370070,3.30708700
8.60061514,-5.51181100,3.30708700
8.66461514,-4.72440900,3.30708700
8.72861514,-5.90551100,3.30708700
8.79261514,1.57480300,3.30708700
8.85661513,-10.23622000,3.30708700
8.92061513,-1.96850400,3.30708700
8.98461513,-4.72440900,3.30708700
9.04861513,-4.33070900,3.30708700
9.11261513,-5.90551100,3.22834600
9.17661513,1.96850400,3.30708700
9.24061512,-3.93700800,3.30708700
9.30461512,-3.93700800,3.22834600
9.36861512,-1.57480300,3.30708700
9.43261512,-1.96850400,3.30708700
9.49661512,-4.33070900,3.30708700
9.56061511,-0.78740150,3.30708700
9.62461511,0.39370070,3.30708700
9.68861511,-3.93700800,3.30708700
9.75261511,-0.78740150,3.30708700
9.81661511,-3.54330700,3.30708700
9.88061511,-3.93700800,3.30708700
9.94461510,-8.26771600,3.30708700
10.00861510,0.00000000,3.30708700
10.07261510,-7.48031400,3.30708700
10.13661510,-3.14960600,3.30708700
10.20061510,-5.51181100,3.30708700
10.26461509,-0.39370070,3.22834600
10.32861509,-6.69291300,3.30708700
10.39261509,-2.36220500,3.30708700
10.45661509,-3.54330700,3.22834600
10.52061509,-5.11811000,3.30708700
10.58461509,-2.36220500,3.30708700
10.64861508,-0.78740150,3.30708700
10.71261508,-1.57480300,3.22834600
10.77661508,-3.93700800,3.30708700
10.84061508,1.96850400,3.30708700
10.90461508,-3.54330700,3.30708700
10.96861507,-2.36220500,3.30708700
11.03261507,-2.75590500,3.30708700
11.09661507,0.78740150,3.22834600
11.16061507,-5.90551100,3.30708700
11.22461507,0.00000000,3.30708700
11.28861507,-4.33070900,3.30708700
11.35261506,-3.54330700,3.30708700
11.41661506,-5.90551100,3.30708700
11.48061506,1.18110200,3.30708700
11.54461506,-7.87401500,3.30708700
11.60861506,-3.54330700,3.30708700
11.67261505,-0.39370070,3.22834600
11.73661505,-2.36220500,3.30708700
11.80061505,-4.33070900,3.30708700
11.86461505,-0.39370070,3.30708700
11.92861505,-1.18110200,3.30708700
11.99261505,-7.87401500,3.30708700
12.05661504,2.36220500,3.30708700
12.12061504,-4.33070900,3.30708700
12.18461504,-2.36220500,3.30708700
12.24861504,-1.96850400,3.30708700
12.31261504,3.14960600,3.30708700
12.37661503,-8.26771600,3.30708700
12.44061503,-0.78740150,3.30708700
12.50461503,-4.33070900,3.30708700
12.56861503,-6.29921200,3.30708700
12.63261503,-6.69291300,3.30708700
12.69661503,-1.96850400,3.30708700
12.76061502,-8.26771600,3.30708700
12.82461502,-3.93700800,3.30708700
12.88861502,-3.54330700,3.30708700
12.95261502,-8.26771600,3.22834600
13.01661502,-6.29921200,3.22834600
13.08061501,-4.72440900,3.22834600
13.14461501,-4.72440900,3.30708700
13.20861501,-7.08661400,3.30708700
13.27261501,-1.96850400,3.22834600
13.33661501,-6.29921200,3.30708700
13.40061501,-1.18110200,3.22834600
13.46461500,-8.26771600,3.30708700
13.52861500,-1.57480300,3.22834600
13.59261500,-7.08661400,3.22834600
13.65661500,-1.96850400,3.30708700
13.72061500,-4.72440900,3.30708700
13.78461499,-1.96850400,3.22834600
13.84861499,-7.48031400,3.30708700
13.91261499,-4.72440900,3.30708700
13.97661499,-5.90551100,3.22834600
14.04061499,-9.84251900,3.30708700
14.10461499,-7.48031400,3.30708700
14.16861498,-6.29921200,3.30708700
14.23261498,-6.69291300,3.30708700
14.29661498,-8.26771600,3.30708700
14.36061498,-1.96850400,3.30708700
14.42461498,-9.44881800,3.22834600
14.48861497,-6.29921200,3.30708700
14.55261497,-5.11811000,3.30708700
14.61661497,-4.72440900,3.30708700
14.68061497,-11.41732000,3.30708700
14.74461497,0.00000000,3.30708700
14.80861497,-6.29921200,3.30708700
14.87261496,-5.90551100,3.30708700
14.93661496,-5.11811000,3.30708700
15.00061496,-2.75590500,3.30708700
15.06461496,-11.02362000,3.30708700
15.12861496,-4.33070900,3.30708700
15.19261496,-5.11811000,3.30708700
15.25661495,-12.20472000,3.30708700
15.32061495,-6.29921200,3.22834600
15.38461495,-6.69291300,3.30708700
15.44861495,-9.44881800,3.30708700
15.51261495,-12.20472000,3.30708700
15.57661494,-4.33070900,3.30708700
15.64061494,-13.38583000,3.30708700
15.70461494,-7.08661400,3.30708700
15.76861494,-7.48031400,3.22834600
15.83261494,-6.69291300,3.22834600
15.89661494,-10.62992000,3.30708700
15.96061493,-3.93700800,3.30708700
16.02461493,-8.26771600,3.22834600
16.08861493,-8.26771600,3.22834600
16.15261493,-9.05511800,3.22834600
16.21661493,-3.14960600,3.30708700
16.28061492,-7.48031400,3.30708700
16.34461492,-5.51181100,3.30708700
16.40861492,-4.72440900,3.30708700
16.47261492,-7.87401500,3.30708700
16.53661492,-7.87401500,3.30708700
16.60061492,-8.26771600,3.30708700
16.66461491,-6.69291300,3.30708700
16.72861491,-11.81102000,3.30708700
16.79261491,-3.14960600,3.30708700
16.85661491,-8.66141700,3.30708700
16.92061491,-6.69291300,3.30708700
16.98461490,-9.84251900,3.30708700
17.04861490,-3.54330700,3.30708700
17.11261490,-11.02362000,3.30708700
17.17661490,-6.29921200,3.30708700
17.24061490,-5.90551100,3.30708700
17.30461490,-5.90551100,3.30708700
17.36861489,-7.08661400,3.30708700
17.43261489,-2.75590500,3.30708700
17.49661489,-5.51181100,3.30708700
17.56061489,-8.66141700,3.30708700
17.62461489,-4.33070900,3.30708700
17.68861488,-5.11811000,3.22834600
17.75261488,-7.87401500,3.30708700
17.81661488,-8.26771600,3.30708700
17.88061488,-3.14960600,3.30708700
17.94461488,-11.81102000,3.30708700
18.00861488,-7.48031400,3.30708700
18.07261487,-9.84251900,3.30708700
18.13661487,-8.26771600,3.30708700
18.20061487,-14.17323000,3.30708700
18.26461487,-2.75590500,3.30708700
18.32861487,-11.81102000,3.30708700
18.39261486,-9.44881800,3.30708700
18.45661486,-7.08661400,3.22834600
18.52061486,-6.69291300,3.30708700
18.58461486,-12.20472000,3.30708700
18.64861486,-7.87401500,3.22834600
18.71261486,-4.72440900,3.30708700
18.77661485,-11.41732000,3.22834600
18.84061485,-4.33070900,3.30708700
18.90461485,-4.72440900,3.22834600
18.96861485,-6.29921200,3.30708700
19.03261485,-7.87401500,3.30708700
19.09661484,-0.78740150,3.30708700
19.16061484,-11.81102000,3.30708700
19.22461484,-6.29921200,3.30708700
19.28861484,-6.69291300,3.30708700
19.35261484,-5.51181100,3.30708700
19.41661484,-10.62992000,3.30708700
19.48061483,-3.54330700,3.30708700
19.54461483,-10.62992000,3.30708700
19.60861483,-8.26771600,3.30708700
19.67261483,-8.26771600,3.30708700
19.73661483,-6.69291300,3.30708700
19.80061482,-7.87401500,3.30708700
19.86461482,-4.33070900,3.30708700
19.92861482,-3.93700800,3.22834600
19.99261482,-7.48031400,3.30708700
20.05661482,-5.51181100,3.22834600
20.12061482,-8.66141700,3.30708700
20.18461481,-3.93700800,3.30708700
20.24861481,-9.44881800,3.30708700
20.31261481,-1.96850400,3.30708700
20.37661481,-7.87401500,3.30708700
20.44061481,-3.93700800,3.30708700
20.50461480,-9.44881800,3.30708700
20.56861480,-5.11811000,3.30708700
20.63261480,-12.99213000,3.30708700
20.69661480,-8.66141700,3.30708700
20.76061480,-7.48031400,3.30708700
20.82461480,-8.26771600,3.30708700
20.88861479,-11.41732000,3.30708700
20.95261479,-5.51181100,3.30708700
21.01661479,-10.23622000,3.22834600
21.08061479,-11.81102000,3.30708700
21.14461479,-6.69291300,3.30708700
21.20861478,-8.66141700,3.30708700
21.27261478,-8.66141700,3.22834600
21.33661478,-7.48031400,3.30708700
21.40061478,-1.96850400,3.30708700
21.46461478,-11.81102000,3.30708700
21.52861478,-1.96850400,3.22834600
21.59261477,-5.90551100,3.30708700
21.65661477,-5.51181100,3.30708700
