Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-1.57480300,0.00000000
0.03680000,-6.29921200,3.14960600
0.10080000,-4.72440900,3.30708700
0.16480000,-9.84251900,3.22834600
0.22879999,-3.93700800,3.22834600
0.29279999,-6.29921200,3.22834600
0.35679999,-7.48031400,3.22834600
0.42079999,-3.14960600,3.22834600
0.48479999,-5.11811000,3.22834600
0.54879999,-5.51181100,3.22834600
0.61279998,-7.87401500,3.22834600
0.67679998,-4.33070900,3.22834600
0.74079998,-10.23622000,3.22834600
0.80479998,-5.11811000,3.22834600
0.86879998,-9.05511800,3.22834600
0.93279997,-4.33070900,3.22834600
0.99679997,-9.44881800,3.22834600
1.06079997,-1.18110200,3.22834600
1.12479997,-7.08661400,3.22834600
1.18879997,-4.72440900,3.22834600
1.25279997,-7.48031400,3.22834600
1.31679996,-1.57480300,3.22834600
1.38079996,-9.05511800,3.22834600
1.44479996,-3.14960600,3.22834600
1.50879996,-1.57480300,3.22834600
1.57279996,-5.51181100,3.22834600
1.63679995,-4.33070900,3.22834600
1.70079995,-1.57480300,3.22834600
1.76479995,-2.75590500,3.22834600
1.82879995,-7.08661400,3.22834600
1.89279995,3.93700800,3.22834600
1.95679995,-5.90551100,3.22834600
2.02079994,-1.96850400,3.22834600
2.08479994,-2.36220500,3.22834600
2.14879994,0.00000000,3.30708700
2.21279994,-8.66141700,3.22834600
2.27679994,0.78740150,3.30708700
2.34079993,-4.33070900,3.22834600
2.40479993,-3.14960600,3.22834600
2.46879993,-1.57480300,3.22834600
2.53279993,2.75590500,3.22834600
2.59679993,-6.29921200,3.22834600
2.66079993,0.00000000,3.22834600
2.72479992,-1.57480300,3.22834600
2.78879992,-5.11811000,3.30708700
2.85279992,-3.14960600,3.22834600
2.91679992,0.00000000,3.22834600
2.98079992,-1.96850400,3.22834600
3.04479991,-3.54330700,3.30708700
3.10879991,3.93700800,3.30708700
3.17279991,-6.29921200,3.30708700
3.23679991,-1.96850400,3.30708700
3.30079991,-5.51181100,3.22834600
3.36479991,-0.78740150,3.30708700
3.42879990,-10.23622000,3.30708700
3.49279990,0.00000000,3.30708700
3.55679990,-5.90551100,3.22834600
3.62079990,-5.51181100,3.22834600
3.68479990,-7.08661400,3.22834600
3.74879990,-0.78740150,3.22834600
3.81279989,-7.87401500,3.22834600
3.87679989,-4.33070900,3.22834600
3.94079989,-2.75590500,3.22834600
4.00479989,-5.11811000,3.22834600
4.06879989,-5.90551100,3.22834600
4.13279988,-1.18110200,3.22834600
4.19679988,-2.36220500,3.22834600
4.26079988,-7.48031400,3.22834600
4.32479988,0.39370070,3.30708700
4.38879988,-3.93700800,3.22834600
4.45279988,-1.18110200,3.30708700
4.51679987,-4.33070900,3.22834600
4.58079987,2.36220500,3.22834600
4.64479987,-9.05511800,3.30708700
4.70879987,-0.78740150,3.30708700
4.77279987,-6.29921200,3.22834600
4.83679986,-3.54330700,3.22834600
4.90079986,-8.66141700,3.22834600
4.96479986,-0.39370070,3.30708700
5.02879986,-4.33070900,3.22834600
5.09279986,-5.11811000,3.22834600
5.15679986,-1.57480300,3.22834600
5.22079985,-2.36220500,3.30708700
5.28479985,-3.93700800,3.30708700
5.34879985,-5.11811000,3.22834600
5.41279985,-0.78740150,3.22834600
5.47679985,-8.26771600,3.22834600
5.54079984,-1.57480300,3.30708700
5.60479984,-1.57480300,3.30708700
5.66879984,-1.57480300,3.22834600
5.73279984,-7.08661400,3.22834600
5.79679984,2.36220500,3.22834600
5.86079984,-7.48031400,3.30708700
5.92479983,-4.33070900,3.30708700
5.98879983,-4.33070900,3.22834600
6.05279983,-1.57480300,3.30708700
6.11679983,-10.62992000,3.30708700
6.18079983,-0.39370070,3.30708700
6.24479982,-6.69291300,3.22834600
6.30879982,-9.84251900,3.30708700
6.37279982,-3.14960600,3.30708700
6.43679982,-3.14960600,3.30708700
6.50079982,-6.69291300,3.30708700
6.56479982,-7.08661400,3.22834600
6.62879981,1.96850400,3.22834600
6.69279981,-10.62992000,3.22834600
6.75679981,-2.36220500,3.22834600
6.82079981,-4.33070900,3.22834600
6.88479981,-3.93700800,3.22834600
6.94879980,-7.87401500,3.30708700
7.01279980,3.14960600,3.22834600
7.07679980,-5.51181100,3.22834600
7.14079980,-1.18110200,3.30708700
7.20479980,-2.36220500,3.22834600
7.26879980,-1.18110200,3.22834600
7.33279979,-7.87401500,3.30708700
7.39679979,-1.96850400,3.30708700
7.46079979,-5.11811000,3.30708700
7.52479979,-5.90551100,3.30708700
7.58879979,-3.54330700,3.22834600
7.65279978,-3.54330700,3.22834600
7.71679978,-4.33070900,3.30708700
7.78079978,-5.51181100,3.30708700
7.84479978,0.00000000,3.30708700
7.90879978,-6.69291300,3.30708700
7.97279978,-1.18110200,3.30708700
8.03679977,-5.90551100,3.30708700
8.10079977,0.00000000,3.30708700
8.16479977,-8.66141700,3.22834600
8.22879977,1.18110200,3.30708700
8.29279977,-5.11811000,3.22834600
8.35679976,-2.36220500,3.22834600
8.42079976,-4.72440900,3.30708700
8.48479976,-1.18110200,3.30708700
8.54879976,-6.29921200,3.30708700
8.61279976,-3.54330700,3.22834600
8.67679976,-1.96850400,3.30708700
8.74079975,-6.69291300,3.30708700
8.80479975,-6.69291300,3.30708700
8.86879975,-5.90551100,3.22834600
8.93279975,-6.69291300,3.30708700
8.99679975,-9.84251900,3.30708700
9.06079974,-1.57480300,3.22834600
9.12479974,-7.48031400,3.22834600
9.18879974,-2.75590500,3.22834600
9.25279974,-5.51181100,3.30708700
9.31679974,0.00000000,3.22834600
9.38079974,-9.44881800,3.22834600
9.44479973,0.39370070,3.30708700
9.50879973,-4.33070900,3.22834600
9.57279973,-1.18110200,3.30708700
9.63679973,-3.93700800,3.30708700
9.70079973,3.93700800,3.30708700
9.76479972,-1.57480300,3.22834600
9.82879972,-1.57480300,3.30708700
9.89279972,2.36220500,3.30708700
9.95679972,-2.75590500,3.30708700
10.02079972,-1.57480300,3.30708700
10.08479972,-1.57480300,3.30708700
10.14879971,1.57480300,3.30708700
10.21279971,-7.87401500,3.30708700
10.27679971,2.75590500,3.22834600
10.34079971,-3.54330700,3.30708700
10.40479971,-2.75590500,3.30708700
10.46879970,-4.33070900,3.30708700
10.53279970,3.14960600,3.30708700
10.59679970,-7.08661400,3.30708700
10.66079970,1.18110200,3.30708700
10.72479970,-0.78740150,3.30708700
10.78879970,-2.75590500,3.30708700
10.85279969,-4.33070900,3.30708700
10.91679969,2.75590500,3.30708700
10.98079969,-5.51181100,3.30708700
11.04479969,-3.54330700,3.30708700
11.10879969,2.75590500,3.30708700
11.17279969,-2.75590500,3.30708700
11.23679968,-1.57480300,3.30708700
11.30079968,-1.18110200,3.30708700
11.36479968,-0.78740150,3.30708700
11.42879968,-10.23622000,3.30708700
11.49279968,0.78740150,3.30708700
11.55679967,-8.26771600,3.22834600
11.62079967,-4.33070900,3.22834600
11.68479967,-6.29921200,3.30708700
11.74879967,0.00000000,3.22834600
11.81279967,-7.48031400,3.22834600
11.87679967,-3.54330700,3.22834600
11.94079966,-4.33070900,3.22834600
12.00479966,-4.33070900,3.22834600
12.06879966,-7.08661400,3.22834600
12.13279966,-2.36220500,3.30708700
12.19679966,-2.75590500,3.30708700
12.26079965,-5.11811000,3.30708700
12.32479965,-0.78740150,3.22834600
12.38879965,-2.36220500,3.22834600
12.45279965,-3.54330700,3.30708700
12.51679965,-5.51181100,3.30708700
12.58079965,1.96850400,3.30708700
12.64479964,-6.29921200,3.22834600
12.70879964,-1.96850400,3.30708700
12.77279964,-4.33070900,3.30708700
12.83679964,-1.18110200,3.30708700
12.90079964,-10.62992000,3.30708700
12.96479963,0.00000000,3.30708700
13.02879963,-9.05511800,3.30708700
13.09279963,-5.90551100,3.30708700
13.15679963,-4.72440900,3.30708700
13.22079963,-2.75590500,3.30708700
13.28479963,-7.48031400,3.30708700
13.34879962,-4.72440900,3.30708700
13.41279962,-3.54330700,3.30708700
13.47679962,-11.41732000,3.22834600
13.54079962,-5.51181100,3.22834600
13.60479962,-6.69291300,3.30708700
13.66879961,-6.29921200,3.30708700
13.73279961,-9.05511800,3.30708700
13.79679961,-0.39370070,3.30708700
13.86079961,-10.23622000,3.30708700
13.92479961,-5.90551100,3.30708700
13.98879961,-8.26771600,3.30708700
14.05279960,-7.08661400,3.30708700
14.11679960,-15.74803000,3.30708700
14.18079960,-4.33070900,3.30708700
14.24479960,-9.05511800,3.30708700
14.30879960,-9.44881800,3.30708700
14.37279959,-7.87401500,3.30708700
14.43679959,-6.29921200,3.22834600
14.50079959,-11.41732000,3.22834600
14.56479959,-9.44881800,3.22834600
14.62879959,-4.72440900,3.30708700
14.69279959,-13.38583000,3.22834600
14.75679958,-7.08661400,3.22834600
14.82079958,-7.08661400,3.30708700
14.88479958,-4.33070900,3.30708700
14.94879958,-12.59842000,3.30708700
15.01279958,0.00000000,3.22834600
15.07679957,-9.44881800,3.30708700
15.14079957,-4.72440900,3.30708700
15.20479957,-5.90551100,3.30708700
15.26879957,-2.75590500,3.30708700
15.33279957,-9.44881800,3.30708700
15.39679957,-2.75590500,3.22834600
15.46079956,-7.08661400,3.30708700
15.52479956,-9.44881800,3.30708700
15.58879956,-8.26771600,3.30708700
15.65279956,-6.69291300,3.30708700
15.71679956,-9.44881800,3.30708700
15.78079955,-7.87401500,3.30708700
15.84479955,-3.93700800,3.30708700
15.90879955,-9.44881800,3.30708700
15.97279955,-4.72440900,3.22834600
16.03679955,-9.84251900,3.30708700
16.10079955,-6.29921200,3.30708700
16.16479954,-11.81102000,3.30708700
16.22879954,-3.54330700,3.30708700
16.29279954,-9.84251900,3.30708700
16.35679954,-4.72440900,3.30708700
16.42079954,-10.23622000,3.30708700
16.48479953,-2.36220500,3.30708700
16.54879953,-9.44881800,3.30708700
16.61279953,-5.90551100,3.30708700
16.67679953,-6.29921200,3.30708700
16.74079953,-7.87401500,3.30708700
16.80479953,-8.66141700,3.22834600
16.86879952,-6.69291300,3.22834600
16.93279952,-6.69291300,3.30708700
16.99679952,-12.99213000,3.30708700
17.06079952,-6.29921200,3.22834600
17.12479952,-10.62992000,3.30708700
17.18879951,-9.84251900,3.30708700
17.25279951,-9.44881800,3.30708700
17.31679951,-3.14960600,3.22834600
17.38079951,-12.99213000,3.22834600
17.44479951,-3.93700800,3.30708700
17.50879951,-7.48031400,3.30708700
17.57279950,-8.66141700,3.22834600
17.63679950,-9.84251900,3.22834600
17.70079950,-1.57480300,3.30708700
17.76479950,-10.23622000,3.30708700
17.82879950,-5.11811000,3.22834600
17.89279949,-3.14960600,3.22834600
17.95679949,-5.90551100,3.30708700
18.02079949,-8.26771600,3.30708700
18.08479949,-6.29921200,3.30708700
18.14879949,-7.08661400,3.30708700
18.21279949,-12.99213000,3.30708700
18.27679948,-4.72440900,3.30708700
18.34079948,-10.62992000,3.30708700
18.40479948,-7.48031400,3.30708700
18.46879948,-9.44881800,3.30708700
18.53279948,-1.96850400,3.30708700
18.59679948,-14.17323000,3.30708700
18.66079947,-4.33070900,3.30708700
18.72479947,-8.66141700,3.22834600
18.78879947,-8.26771600,3.30708700
18.85279947,-9.84251900,3.30708700
18.91679947,-2.36220500,3.30708700
18.98079946,-7.87401500,3.30708700
19.04479946,-7.08661400,3.30708700
19.10879946,-3.14960600,3.30708700
19.17279946,-6.29921200,3.30708700
19.23679946,-8.26771600,3.30708700
19.30079946,-3.93700800,3.30708700
19.36479945,-4.72440900,3.30708700
19.42879945,-11.81102000,3.30708700
19.49279945,-4.33070900,3.22834600
19.55679945,-9.05511800,3.30708700
19.62079945,-8.66141700,3.30708700
19.68479944,-11.81102000,3.30708700
19.74879944,-3.93700800,3.30708700
19.81279944,-13.77953000,3.30708700
19.87679944,-4.72440900,3.30708700
19.94079944,-7.48031400,3.30708700
20.00479944,-5.11811000,3.22834600
20.06879943,-11.81102000,3.30708700
20.13279943,-4.72440900,3.22834600
20.19679943,-8.26771600,3.22834600
20.26079943,-11.02362000,3.30708700
20.32479943,-5.90551100,3.30708700
20.38879942,-6.29921200,3.22834600
20.45279942,-5.51181100,3.30708700
20.51679942,-7.48031400,3.30708700
20.58079942,-2.36220500,3.30708700
20.64479942,-9.44881800,3.30708700
20.70879942,-5.90551100,3.30708700
20.77279941,-8.66141700,3.30708700
20.83679941,-5.90551100,3.30708700
20.90079941,-12.59842000,3.30708700
20.96479941,-3.54330700,3.30708700
21.02879941,-9.05511800,3.30708700
21.09279940,-8.66141700,3.30708700
21.15679940,-9.84251900,3.22834600
21.22079940,-3.54330700,3.30708700
21.28479940,-12.59842000,3.30708700
21.34879940,-3.93700800,3.30708700
21.41279940,-4.33070900,3.22834600
21.47679939,-8.26771600,3.30708700
21.54079939,-5.11811000,3.30708700
21.60479939,-2.36220500,3.30708700
21.66879939,-6.69291300,3.30708700
