Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-8.66141700,0.07874016
0.03774359,-6.69291300,3.14960600
0.10174359,-1.96850400,3.22834600
0.16574359,-6.69291300,3.22834600
0.22974358,-5.51181100,3.30708700
0.29374358,-1.96850400,3.22834600
0.35774358,-1.18110200,3.22834600
0.42174358,-9.05511800,3.22834600
0.48574358,-0.78740150,3.22834600
0.54974357,-7.48031400,3.22834600
0.61374357,-6.69291300,3.22834600
0.67774357,-8.66141700,3.22834600
0.74174357,-2.75590500,3.22834600
0.80574357,-9.44881800,3.22834600
0.86974357,-5.11811000,3.22834600
0.93374356,-6.29921200,3.22834600
0.99774356,-6.69291300,3.22834600
1.06174356,-10.62992000,3.22834600
1.12574356,-3.54330700,3.22834600
1.18974356,-6.69291300,3.22834600
1.25374355,-6.69291300,3.22834600
1.31774355,-3.93700800,3.22834600
1.38174355,-3.93700800,3.22834600
1.44574355,-5.51181100,3.22834600
1.50974355,-4.72440900,3.22834600
1.57374355,-1.18110200,3.22834600
1.63774354,-9.05511800,3.22834600
1.70174354,-1.18110200,3.30708700
1.76574354,-3.54330700,3.22834600
1.82974354,-1.57480300,3.22834600
1.89374354,-6.69291300,3.22834600
1.95774353,1.18110200,3.22834600
2.02174353,-6.69291300,3.22834600
2.08574353,-4.33070900,3.30708700
2.14974353,-4.72440900,3.30708700
2.21374353,-3.14960600,3.22834600
2.27774353,-6.29921200,3.22834600
2.34174352,-1.96850400,3.22834600
2.40574352,-1.96850400,3.22834600
2.46974352,-6.29921200,3.22834600
2.53374352,-1.57480300,3.22834600
2.59774352,-2.75590500,3.22834600
2.66174351,-3.14960600,3.22834600
2.72574351,-5.11811000,3.30708700
2.78974351,1.96850400,3.30708700
2.85374351,-3.14960600,3.22834600
2.91774351,-0.78740150,3.30708700
2.98174351,-1.96850400,3.22834600
3.04574350,0.78740150,3.30708700
3.10974350,-7.48031400,3.30708700
3.17374350,1.18110200,3.22834600
3.23774350,-4.33070900,3.22834600
3.30174350,-5.11811000,3.30708700
3.36574349,-3.54330700,3.30708700
3.42974349,-0.39370070,3.22834600
3.49374349,-7.48031400,3.22834600
3.55774349,-6.29921200,3.30708700
3.62174349,-2.75590500,3.22834600
3.68574349,-9.44881800,3.22834600
3.74974348,-3.14960600,3.22834600
3.81374348,-3.14960600,3.22834600
3.87774348,-2.36220500,3.22834600
3.94174348,-7.48031400,3.22834600
4.00574348,1.96850400,3.22834600
4.06974347,-7.08661400,3.22834600
4.13374347,-3.93700800,3.22834600
4.19774347,-2.36220500,3.22834600
4.26174347,-0.39370070,3.22834600
4.32574347,-4.33070900,3.22834600
4.38974347,1.96850400,3.22834600
4.45374346,-2.75590500,3.30708700
4.51774346,-1.96850400,3.22834600
4.58174346,-2.36220500,3.30708700
4.64574346,-2.75590500,3.30708700
4.70974346,-5.90551100,3.22834600
4.77374346,-4.33070900,3.30708700
4.83774345,-0.78740150,3.22834600
4.90174345,-6.29921200,3.22834600
4.96574345,-1.96850400,3.30708700
5.02974345,-5.51181100,3.30708700
5.09374345,-2.75590500,3.22834600
5.15774344,-8.26771600,3.22834600
5.22174344,0.00000000,3.22834600
5.28574344,-4.72440900,3.30708700
5.34974344,-0.78740150,3.30708700
5.41374344,-2.75590500,3.30708700
5.47774344,1.57480300,3.30708700
5.54174343,-5.51181100,3.22834600
5.60574343,-2.75590500,3.30708700
5.66974343,-0.78740150,3.30708700
5.73374343,-3.93700800,3.30708700
5.79774343,-4.33070900,3.30708700
5.86174342,-1.18110200,3.30708700
5.92574342,-2.75590500,3.22834600
5.98974342,-7.08661400,3.22834600
6.05374342,-1.18110200,3.30708700
6.11774342,-7.48031400,3.22834600
6.18174342,-7.08661400,3.22834600
6.24574341,-6.69291300,3.30708700
6.30974341,-1.18110200,3.22834600
6.37374341,-10.23622000,3.22834600
6.43774341,-1.18110200,3.22834600
6.50174341,-5.11811000,3.30708700
6.56574340,-5.51181100,3.22834600
6.62974340,-6.29921200,3.22834600
6.69374340,-1.57480300,3.22834600
6.75774340,-6.69291300,3.22834600
6.82174340,-3.14960600,3.22834600
6.88574340,0.78740150,3.30708700
6.94974339,-3.14960600,3.22834600
7.01374339,-2.36220500,3.22834600
7.07774339,-1.18110200,3.30708700
7.14174339,0.00000000,3.22834600
7.20574339,-8.26771600,3.30708700
7.26974338,0.00000000,3.22834600
7.33374338,-3.93700800,3.22834600
7.39774338,-2.75590500,3.22834600
7.46174338,-3.93700800,3.30708700
7.52574338,0.39370070,3.30708700
7.58974338,-8.66141700,3.30708700
7.65374337,-3.54330700,3.30708700
7.71774337,-3.54330700,3.30708700
7.78174337,-4.33070900,3.22834600
7.84574337,-6.69291300,3.30708700
7.90974337,2.36220500,3.30708700
7.97374336,-3.14960600,3.30708700
8.03774336,-3.93700800,3.30708700
8.10174336,0.39370070,3.30708700
8.16574336,-3.54330700,3.30708700
8.22974336,-3.93700800,3.30708700
8.29374336,-1.96850400,3.30708700
8.35774335,1.96850400,3.30708700
8.42174335,-7.08661400,3.30708700
8.48574335,1.96850400,3.30708700
8.54974335,-3.14960600,3.30708700
8.61374335,-2.36220500,3.30708700
8.67774334,-7.87401500,3.30708700
8.74174334,-1.18110200,3.30708700
8.80574334,-8.66141700,3.30708700
8.86974334,-4.72440900,3.30708700
8.93374334,-4.33070900,3.30708700
8.99774334,-3.93700800,3.30708700
9.06174333,-5.90551100,3.22834600
9.12574333,-5.11811000,3.22834600
9.18974333,-3.54330700,3.30708700
9.25374333,-6.69291300,3.22834600
9.31774333,-2.36220500,3.30708700
9.38174332,-1.57480300,3.30708700
9.44574332,-1.18110200,3.30708700
9.50974332,-5.11811000,3.30708700
9.57374332,2.75590500,3.22834600
9.63774332,-4.33070900,3.30708700
9.70174332,-0.78740150,3.30708700
9.76574331,-2.36220500,3.30708700
9.82974331,1.18110200,3.22834600
9.89374331,-5.90551100,3.30708700
9.95774331,3.93700800,3.30708700
10.02174331,-1.18110200,3.30708700
10.08574330,-4.33070900,3.30708700
10.14974330,-1.57480300,3.30708700
10.21374330,-1.18110200,3.30708700
10.27774330,-5.90551100,3.30708700
10.34174330,-3.93700800,3.30708700
10.40574330,1.96850400,3.30708700
10.46974329,-6.69291300,3.30708700
10.53374329,0.78740150,3.30708700
10.59774329,0.00000000,3.30708700
10.66174329,-1.96850400,3.22834600
10.72574329,-5.51181100,3.30708700
10.78974328,3.93700800,3.30708700
10.85374328,-3.93700800,3.30708700
10.91774328,0.00000000,3.30708700
10.98174328,0.78740150,3.30708700
11.04574328,1.18110200,3.30708700
11.10974328,-3.54330700,3.30708700
11.17374327,1.96850400,3.30708700
11.23774327,-3.14960600,3.30708700
11.30174327,-3.93700800,3.30708700
11.36574327,-2.36220500,3.30708700
11.42974327,-1.57480300,3.30708700
11.49374327,-3.93700800,3.30708700
11.55774326,-4.33070900,3.30708700
11.62174326,0.00000000,3.30708700
11.68574326,-6.69291300,3.30708700
11.74974326,-3.54330700,3.30708700
11.81374326,-6.29921200,3.30708700
11.87774325,-1.57480300,3.30708700
11.94174325,-6.29921200,3.22834600
12.00574325,2.75590500,3.30708700
12.06974325,-4.33070900,3.22834600
12.13374325,-1.57480300,3.22834600
12.19774325,-2.36220500,3.22834600
12.26174324,0.00000000,3.30708700
12.32574324,-4.72440900,3.30708700
12.38974324,-0.39370070,3.30708700
12.45374324,0.78740150,3.30708700
12.51774324,-1.96850400,3.30708700
12.58174323,0.00000000,3.30708700
12.64574323,0.39370070,3.22834600
12.70974323,-3.14960600,3.30708700
12.77374323,-4.72440900,3.30708700
12.83774323,1.18110200,3.30708700
12.90174323,-6.69291300,3.30708700
12.96574322,-1.96850400,3.30708700
13.02974322,-3.93700800,3.30708700
13.09374322,0.39370070,3.30708700
13.15774322,-6.69291300,3.30708700
13.22174322,-0.39370070,3.30708700
13.28574321,-4.72440900,3.30708700
13.34974321,-3.14960600,3.22834600
13.41374321,-3.54330700,3.30708700
13.47774321,0.39370070,3.30708700
13.54174321,-4.33070900,3.30708700
13.60574321,-2.75590500,3.30708700
13.66974320,-0.78740150,3.30708700
13.73374320,-5.90551100,3.30708700
13.79774320,-4.72440900,3.30708700
13.86174320,-4.33070900,3.30708700
13.92574320,-1.96850400,3.30708700
13.98974319,-8.26771600,3.30708700
14.05374319,-1.57480300,3.30708700
14.11774319,-7.48031400,3.30708700
14.18174319,-7.08661400,3.30708700
14.24574319,-7.87401500,3.30708700
14.30974319,-3.93700800,3.30708700
14.37374318,-12.59842000,3.30708700
14.43774318,-5.11811000,3.30708700
14.50174318,-5.90551100,3.30708700
14.56574318,-7.87401500,3.30708700
14.62974318,-7.48031400,3.22834600
14.69374317,-2.75590500,3.22834600
14.75774317,-9.44881800,3.22834600
14.82174317,-7.08661400,3.30708700
14.88574317,-1.57480300,3.30708700
14.94974317,-8.26771600,3.30708700
15.01374317,-3.93700800,3.30708700
15.07774316,-1.96850400,3.30708700
15.14174316,-1.96850400,3.22834600
15.20574316,-10.23622000,3.22834600
15.26974316,0.00000000,3.30708700
15.33374316,-7.87401500,3.30708700
15.39774315,-5.90551100,3.30708700
15.46174315,-5.51181100,3.30708700
15.52574315,-2.36220500,3.30708700
15.58974315,-9.84251900,3.30708700
15.65374315,-3.93700800,3.30708700
15.71774315,-7.48031400,3.22834600
15.78174314,-8.66141700,3.30708700
15.84574314,-7.87401500,3.30708700
15.90974314,-4.33070900,3.30708700
15.97374314,-5.51181100,3.30708700
16.03774314,-6.69291300,3.30708700
16.10174313,-2.36220500,3.30708700
16.16574313,-3.93700800,3.30708700
16.22974313,-5.51181100,3.30708700
16.29374313,-7.48031400,3.30708700
16.35774313,-1.96850400,3.30708700
16.42174313,-11.02362000,3.30708700
16.48574312,-2.75590500,3.30708700
16.54974312,-5.51181100,3.30708700
16.61374312,-4.33070900,3.30708700
16.67774312,-9.44881800,3.30708700
16.74174312,-1.57480300,3.30708700
16.80574311,-10.23622000,3.30708700
16.86974311,-9.84251900,3.30708700
16.93374311,-6.69291300,3.30708700
16.99774311,-8.26771600,3.30708700
17.06174311,-10.62992000,3.30708700
17.12574311,-6.29921200,3.22834600
17.18974310,-6.69291300,3.30708700
17.25374310,-11.81102000,3.30708700
17.31774310,-4.33070900,3.30708700
17.38174310,-7.08661400,3.30708700
17.44574310,-8.66141700,3.30708700
17.50974309,-6.69291300,3.30708700
17.57374309,-1.96850400,3.30708700
17.63774309,-9.44881800,3.30708700
17.70174309,-2.36220500,3.22834600
17.76574309,-5.11811000,3.22834600
17.82974309,-5.11811000,3.22834600
17.89374308,-9.84251900,3.30708700
17.95774308,-1.18110200,3.30708700
18.02174308,-7.87401500,3.22834600
18.08574308,-6.29921200,3.30708700
18.14974308,-4.33070900,3.30708700
18.21374307,-5.11811000,3.30708700
18.27774307,-10.23622000,3.30708700
18.34174307,-8.66141700,3.30708700
18.40574307,-5.90551100,3.30708700
18.46974307,-11.81102000,3.30708700
18.53374307,-4.33070900,3.30708700
18.59774306,-6.69291300,3.30708700
18.66174306,-4.72440900,3.30708700
18.72574306,-9.05511800,3.22834600
18.78974306,-1.18110200,3.30708700
18.85374306,-9.84251900,3.30708700
18.91774306,-6.69291300,3.30708700
18.98174305,-5.11811000,3.30708700
19.04574305,-3.14960600,3.30708700
19.10974305,-8.66141700,3.30708700
19.17374305,-2.36220500,3.30708700
19.23774305,-6.29921200,3.30708700
19.30174304,-7.08661400,3.30708700
19.36574304,-7.08661400,3.30708700
19.42974304,-6.69291300,3.30708700
19.49374304,-10.23622000,3.30708700
19.55774304,-8.26771600,3.30708700
19.62174304,-4.33070900,3.22834600
19.68574303,-10.62992000,3.30708700
19.74974303,-7.08661400,3.30708700
19.81374303,-9.84251900,3.30708700
19.87774303,-7.08661400,3.22834600
19.94174303,-11.81102000,3.30708700
20.00574302,-3.14960600,3.30708700
20.06974302,-10.23622000,3.30708700
20.13374302,-4.72440900,3.30708700
20.19774302,-6.29921200,3.22834600
20.26174302,-5.51181100,3.22834600
20.32574302,-9.44881800,3.30708700
20.38974301,-5.51181100,3.30708700
20.45374301,-5.11811000,3.30708700
20.51774301,-7.08661400,3.30708700
20.58174301,-6.69291300,3.30708700
20.64574301,-3.54330700,3.30708700
20.70974300,-5.90551100,3.30708700
20.77374300,-9.05511800,3.30708700
20.83774300,-3.93700800,3.30708700
20.90174300,-9.84251900,3.30708700
20.96574300,-10.23622000,3.30708700
21.02974300,-7.48031400,3.30708700
21.09374299,-5.51181100,3.30708700
21.15774299,-12.99213000,3.30708700
21.22174299,-2.75590500,3.30708700
21.28574299,-8.26771600,3.30708700
21.34974299,-6.69291300,3.30708700
21.41374298,-8.66141700,3.30708700
21.47774298,-2.75590500,3.30708700
21.54174298,-10.23622000,3.30708700
21.60574298,-3.54330700,3.30708700
21.66974298,-3.14960600,3.30708700
21.73374298,-8.26771600,3.30708700
