Time,Channel A,Channel B
(us),(mV),(V)

-0.03200000,-3.54330700,0.00000000
0.03200000,11.02362000,2.67716500
0.09600000,-9.44881800,3.22834600
0.16000000,-4.33070900,3.22834600
0.22399999,-7.48031400,3.22834600
0.28799999,-9.05511800,3.30708700
0.35199999,-7.48031400,3.30708700
0.41599999,-5.11811000,3.22834600
0.47999999,-7.48031400,3.22834600
0.54399999,-7.48031400,3.22834600
0.60799998,-4.33070900,3.22834600
0.67199998,-6.69291300,3.22834600
0.73599998,-5.51181100,3.22834600
0.79999998,-6.69291300,3.22834600
0.86399998,-0.78740150,3.22834600
0.92799997,-8.66141700,3.22834600
0.99199997,-1.18110200,3.22834600
1.05599997,-4.33070900,3.22834600
1.11999997,-3.14960600,3.22834600
1.18399997,-6.29921200,3.22834600
1.24799997,1.18110200,3.22834600
1.31199996,-4.33070900,3.22834600
1.37599996,-2.75590500,3.30708700
1.43999996,0.39370070,3.30708700
1.50399996,-4.33070900,3.30708700
1.56799996,-5.90551100,3.22834600
1.63199995,-4.33070900,3.22834600
1.69599995,-4.72440900,3.22834600
1.75999995,-9.44881800,3.22834600
1.82399995,-1.18110200,3.22834600
1.88799995,-4.33070900,3.30708700
1.95199995,-4.33070900,3.22834600
2.01599994,-3.14960600,3.22834600
2.07999994,0.39370070,3.22834600
2.14399994,-7.08661400,3.22834600
2.20799994,-2.75590500,3.22834600
2.27199994,-3.14960600,3.22834600
2.33599993,-3.54330700,3.22834600
2.39999993,-5.11811000,3.22834600
2.46399993,1.96850400,3.22834600
2.52799993,-2.75590500,3.22834600
2.59199993,-1.96850400,3.22834600
2.65599993,0.78740150,3.22834600
2.71999992,-1.96850400,3.22834600
2.78399992,-3.14960600,3.22834600
2.84799992,-3.14960600,3.30708700
2.91199992,1.18110200,3.30708700
2.97599992,-6.69291300,3.22834600
3.03999991,0.39370070,3.30708700
3.10399991,-2.75590500,3.30708700
3.16799991,-3.54330700,3.22834600
3.23199991,-6.29921200,3.30708700
3.29599991,-0.78740150,3.30708700
3.35999991,-7.08661400,3.30708700
3.42399990,-1.96850400,3.22834600
3.48799990,-0.78740150,3.30708700
3.55199990,-1.57480300,3.30708700
3.61599990,-4.33070900,3.22834600
3.67999990,-0.39370070,3.30708700
3.74399990,-3.93700800,3.30708700
3.80799989,-3.93700800,3.22834600
3.87199989,0.00000000,3.30708700
3.93599989,-2.36220500,3.30708700
3.99999989,0.00000000,3.30708700
4.06399989,-1.96850400,3.30708700
4.12799988,0.39370070,3.22834600
4.19199988,-7.87401500,3.30708700
4.25599988,-2.36220500,3.30708700
4.31999988,-6.69291300,3.30708700
4.38399988,-3.54330700,3.30708700
4.44799988,-7.48031400,3.30708700
4.51199987,-3.93700800,3.22834600
4.57599987,-7.08661400,3.22834600
4.63999987,-5.11811000,3.22834600
4.70399987,-5.51181100,3.30708700
4.76799987,-5.51181100,3.22834600
4.83199986,-8.26771600,3.22834600
4.89599986,-5.90551100,3.22834600
4.95999986,-3.54330700,3.22834600
5.02399986,-7.87401500,3.30708700
5.08799986,-2.36220500,3.22834600
5.15199986,-2.75590500,3.22834600
5.21599985,-2.36220500,3.22834600
5.27999985,-6.69291300,3.30708700
5.34399985,1.18110200,3.30708700
5.40799985,-6.29921200,3.30708700
5.47199985,-3.14960600,3.30708700
5.53599984,-1.96850400,3.22834600
5.59999984,-1.96850400,3.30708700
5.66399984,-8.26771600,3.30708700
5.72799984,0.00000000,3.30708700
5.79199984,-5.51181100,3.22834600
5.85599984,-7.87401500,3.30708700
5.91999983,-3.54330700,3.30708700
5.98399983,-3.54330700,3.30708700
6.04799983,-5.11811000,3.22834600
6.11199983,-3.54330700,3.30708700
6.17599983,1.18110200,3.22834600
6.23999982,-8.26771600,3.30708700
6.30399982,-0.78740150,3.30708700
6.36799982,-3.54330700,3.22834600
6.43199982,-2.36220500,3.22834600
6.49599982,-5.11811000,3.30708700
6.55999982,2.75590500,3.22834600
6.62399981,-2.36220500,3.30708700
6.68799981,-1.57480300,3.30708700
6.75199981,-1.57480300,3.30708700
6.81599981,-2.36220500,3.30708700
6.87999981,-6.69291300,3.30708700
6.94399980,-2.75590500,3.30708700
7.00799980,-3.14960600,3.30708700
7.07199980,-6.69291300,3.30708700
7.13599980,-3.54330700,3.22834600
7.19999980,-3.93700800,3.30708700
7.26399980,-4.72440900,3.22834600
7.32799979,-8.66141700,3.22834600
7.39199979,-0.78740150,3.22834600
7.45599979,-9.84251900,3.30708700
7.51999979,-3.54330700,3.30708700
7.58399979,-5.51181100,3.30708700
7.64799978,-1.57480300,3.22834600
7.71199978,-6.69291300,3.30708700
7.77599978,0.39370070,3.30708700
7.83999978,-3.14960600,3.30708700
7.90399978,-4.72440900,3.22834600
7.96799978,-1.96850400,3.30708700
8.03199977,-0.78740150,3.30708700
8.09599977,-2.75590500,3.30708700
8.15999977,-2.75590500,3.30708700
8.22399977,0.78740150,3.30708700
8.28799977,-5.11811000,3.30708700
8.35199976,-3.14960600,3.30708700
8.41599976,-5.51181100,3.30708700
8.47999976,-2.36220500,3.30708700
8.54399976,-7.87401500,3.30708700
8.60799976,-1.18110200,3.30708700
8.67199976,-3.14960600,3.30708700
8.73599975,-2.75590500,3.30708700
8.79999975,-4.72440900,3.30708700
8.86399975,-0.39370070,3.30708700
8.92799975,-6.69291300,3.30708700
8.99199975,-3.93700800,3.30708700
9.05599974,-1.96850400,3.30708700
9.11999974,-2.36220500,3.30708700
9.18399974,-2.36220500,3.30708700
9.24799974,1.57480300,3.30708700
9.31199974,0.00000000,3.30708700
9.37599974,-3.93700800,3.30708700
9.43999973,3.93700800,3.30708700
9.50399973,-3.14960600,3.30708700
9.56799973,-1.18110200,3.30708700
9.63199973,-1.96850400,3.30708700
9.69599973,1.96850400,3.30708700
9.75999972,-5.90551100,3.30708700
9.82399972,1.96850400,3.30708700
9.88799972,-3.14960600,3.30708700
9.95199972,-4.72440900,3.30708700
10.01599972,-2.36220500,3.30708700
10.07999972,0.00000000,3.30708700
10.14399971,-5.90551100,3.30708700
10.20799971,-1.18110200,3.30708700
10.27199971,0.00000000,3.30708700
10.33599971,-3.54330700,3.22834600
10.39999971,-2.75590500,3.30708700
10.46399970,-1.57480300,3.30708700
10.52799970,-2.75590500,3.30708700
10.59199970,-3.93700800,3.30708700
10.65599970,3.14960600,3.30708700
10.71999970,-3.54330700,3.30708700
10.78399970,0.78740150,3.30708700
10.84799969,-2.36220500,3.30708700
10.91199969,1.18110200,3.30708700
10.97599969,-6.29921200,3.30708700
11.03999969,-1.57480300,3.30708700
11.10399969,-3.14960600,3.30708700
11.16799969,-1.57480300,3.30708700
11.23199968,-2.75590500,3.30708700
11.29599968,-0.78740150,3.30708700
11.35999968,-2.36220500,3.30708700
11.42399968,-4.33070900,3.30708700
11.48799968,-0.39370070,3.30708700
11.55199967,-3.14960600,3.30708700
11.61599967,-2.36220500,3.30708700
11.67999967,-1.96850400,3.30708700
11.74399967,2.36220500,3.30708700
11.80799967,-4.33070900,3.30708700
11.87199967,1.18110200,3.30708700
11.93599966,-0.78740150,3.30708700
11.99999966,-0.78740150,3.30708700
12.06399966,-3.54330700,3.30708700
12.12799966,2.36220500,3.30708700
12.19199966,-4.72440900,3.30708700
12.25599965,-1.96850400,3.30708700
12.31999965,-1.18110200,3.30708700
12.38399965,-3.54330700,3.30708700
12.44799965,-6.69291300,3.30708700
12.51199965,-2.75590500,3.30708700
12.57599965,-3.93700800,3.30708700
12.63999964,-9.05511800,3.30708700
12.70399964,-1.57480300,3.30708700
12.76799964,-5.90551100,3.22834600
12.83199964,-4.72440900,3.30708700
12.89599964,-6.69291300,3.30708700
12.95999963,-3.54330700,3.30708700
13.02399963,-10.62992000,3.30708700
13.08799963,-4.33070900,3.22834600
13.15199963,-6.69291300,3.30708700
13.21599963,-4.72440900,3.30708700
13.27999963,-7.87401500,3.30708700
13.34399962,-0.39370070,3.30708700
13.40799962,-5.11811000,3.30708700
13.47199962,-7.87401500,3.30708700
13.53599962,-4.33070900,3.22834600
13.59999962,-5.90551100,3.30708700
13.66399961,-9.44881800,3.30708700
13.72799961,-6.29921200,3.30708700
13.79199961,-4.33070900,3.30708700
13.85599961,-11.81102000,3.30708700
13.91999961,-4.72440900,3.30708700
13.98399961,-8.26771600,3.30708700
14.04799960,-8.66141700,3.30708700
14.11199960,-12.20472000,3.30708700
14.17599960,-2.36220500,3.30708700
14.23999960,-9.05511800,3.30708700
14.30399960,-3.93700800,3.30708700
14.36799959,-4.33070900,3.30708700
14.43199959,-4.33070900,3.30708700
14.49599959,-7.08661400,3.22834600
14.55999959,-3.14960600,3.30708700
14.62399959,-5.11811000,3.30708700
14.68799959,-7.87401500,3.30708700
14.75199958,-3.14960600,3.30708700
14.81599958,-5.11811000,3.30708700
14.87999958,-5.11811000,3.30708700
14.94399958,-7.87401500,3.30708700
15.00799958,-4.33070900,3.30708700
15.07199957,-9.44881800,3.30708700
15.13599957,-6.69291300,3.30708700
15.19999957,-8.66141700,3.30708700
15.26399957,-6.69291300,3.30708700
15.32799957,-11.02362000,3.30708700
15.39199957,-4.72440900,3.30708700
15.45599956,-9.84251900,3.22834600
15.51999956,-8.66141700,3.30708700
15.58399956,-11.02362000,3.30708700
15.64799956,-7.48031400,3.22834600
15.71199956,-10.23622000,3.30708700
15.77599955,-7.87401500,3.30708700
15.83999955,-7.08661400,3.22834600
15.90399955,-7.87401500,3.30708700
15.96799955,-6.29921200,3.30708700
16.03199955,-5.90551100,3.22834600
16.09599955,-5.51181100,3.22834600
16.15999954,-12.99213000,3.30708700
16.22399954,-2.75590500,3.30708700
16.28799954,-11.02362000,3.30708700
16.35199954,-8.66141700,3.30708700
16.41599954,-8.26771600,3.30708700
16.47999953,-4.72440900,3.30708700
16.54399953,-12.20472000,3.30708700
16.60799953,-4.33070900,3.30708700
16.67199953,-8.66141700,3.22834600
16.73599953,-9.44881800,3.30708700
16.79999953,-6.29921200,3.30708700
16.86399952,-3.14960600,3.30708700
16.92799952,-8.66141700,3.30708700
16.99199952,-4.72440900,3.30708700
17.05599952,-2.36220500,3.30708700
17.11999952,-10.23622000,3.30708700
17.18399951,-5.90551100,3.30708700
17.24799951,-6.69291300,3.30708700
17.31199951,-4.33070900,3.30708700
17.37599951,-6.69291300,3.30708700
17.43999951,1.96850400,3.30708700
17.50399951,-7.48031400,3.30708700
17.56799950,-4.33070900,3.30708700
17.63199950,-7.08661400,3.30708700
17.69599950,-6.29921200,3.30708700
17.75999950,-12.59842000,3.30708700
17.82399950,-6.69291300,3.30708700
17.88799949,-7.48031400,3.30708700
17.95199949,-10.23622000,3.30708700
18.01599949,-9.05511800,3.30708700
18.07999949,-6.69291300,3.30708700
18.14399949,-10.62992000,3.30708700
18.20799949,-12.59842000,3.30708700
18.27199948,-6.29921200,3.30708700
18.33599948,-12.59842000,3.30708700
18.39999948,-8.26771600,3.30708700
18.46399948,-7.08661400,3.30708700
18.52799948,-7.87401500,3.30708700
18.59199948,-8.66141700,3.30708700
18.65599947,-5.51181100,3.30708700
18.71999947,-8.66141700,3.30708700
18.78399947,-8.26771600,3.30708700
18.84799947,-9.05511800,3.30708700
18.91199947,-2.75590500,3.30708700
18.97599946,-8.66141700,3.30708700
19.03999946,-3.14960600,3.30708700
19.10399946,-4.33070900,3.30708700
19.16799946,-8.66141700,3.30708700
19.23199946,-9.05511800,3.30708700
19.29599946,-8.26771600,3.30708700
19.35999945,-5.11811000,3.30708700
19.42399945,-12.59842000,3.30708700
19.48799945,-4.33070900,3.30708700
19.55199945,-7.48031400,3.30708700
19.61599945,-5.90551100,3.30708700
19.67999944,-8.26771600,3.30708700
19.74399944,-2.36220500,3.30708700
19.80799944,-8.66141700,3.30708700
19.87199944,-3.93700800,3.30708700
19.93599944,-3.54330700,3.30708700
19.99999944,-3.54330700,3.30708700
20.06399943,-6.69291300,3.30708700
20.12799943,-1.57480300,3.30708700
20.19199943,-6.69291300,3.30708700
20.25599943,-10.23622000,3.30708700
20.31999943,-8.26771600,3.30708700
20.38399942,-8.66141700,3.30708700
20.44799942,-10.62992000,3.30708700
20.51199942,-8.66141700,3.30708700
20.57599942,-5.11811000,3.30708700
20.63999942,-15.35433000,3.30708700
20.70399942,-7.48031400,3.30708700
20.76799941,-10.62992000,3.30708700
20.83199941,-11.02362000,3.22834600
20.89599941,-13.77953000,3.30708700
20.95999941,-3.54330700,3.30708700
21.02399941,-13.77953000,3.30708700
21.08799940,-8.66141700,3.30708700
21.15199940,-6.69291300,3.22834600
21.21599940,-9.44881800,3.22834600
21.27999940,-8.66141700,3.30708700
21.34399940,-5.11811000,3.30708700
21.40799940,-5.11811000,3.30708700
21.47199939,-8.26771600,3.30708700
21.53599939,-1.57480300,3.30708700
21.59999939,-5.11811000,3.30708700
21.66399939,-5.51181100,3.30708700
