Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-8.26771600,0.07874016
0.03840000,1.18110200,3.22834600
0.10240000,-6.29921200,3.30708700
0.16640000,-5.11811000,3.30708700
0.23039999,-6.29921200,3.30708700
0.29439999,-2.36220500,3.22834600
0.35839999,-9.84251900,3.30708700
0.42239999,-5.51181100,3.30708700
0.48639999,-7.08661400,3.22834600
0.55039999,-5.90551100,3.30708700
0.61439998,-8.26771600,3.22834600
0.67839998,-2.75590500,3.22834600
0.74239998,-7.48031400,3.30708700
0.80639998,-8.66141700,3.30708700
0.87039998,-4.72440900,3.22834600
0.93439997,-6.69291300,3.22834600
0.99839997,-5.51181100,3.30708700
1.06239997,-5.90551100,3.22834600
1.12639997,0.00000000,3.22834600
1.19039997,-8.26771600,3.22834600
1.25439997,-0.78740150,3.22834600
1.31839996,-5.51181100,3.22834600
1.38239996,-3.93700800,3.22834600
1.44639996,-7.48031400,3.22834600
1.51039996,1.57480300,3.22834600
1.57439996,-6.29921200,3.22834600
1.63839995,-2.75590500,3.22834600
1.70239995,0.00000000,3.22834600
1.76639995,-2.36220500,3.22834600
1.83039995,-7.48031400,3.22834600
1.89439995,-0.78740150,3.30708700
1.95839995,-3.54330700,3.22834600
2.02239994,-4.72440900,3.22834600
2.08639994,0.39370070,3.22834600
2.15039994,-1.18110200,3.30708700
2.21439994,-2.36220500,3.22834600
2.27839994,-1.96850400,3.30708700
2.34239993,1.96850400,3.22834600
2.40639993,-5.51181100,3.22834600
2.47039993,0.39370070,3.22834600
2.53439993,-2.36220500,3.30708700
2.59839993,1.18110200,3.22834600
2.66239993,-3.54330700,3.22834600
2.72639992,2.36220500,3.30708700
2.79039992,-3.14960600,3.30708700
2.85439992,-0.78740150,3.22834600
2.91839992,-3.14960600,3.30708700
2.98239992,-0.78740150,3.22834600
3.04639991,-2.75590500,3.30708700
3.11039991,-2.36220500,3.22834600
3.17439991,-1.18110200,3.30708700
3.23839991,-5.11811000,3.30708700
3.30239991,-5.11811000,3.22834600
3.36639991,-4.33070900,3.22834600
3.43039990,-3.14960600,3.30708700
3.49439990,-8.26771600,3.30708700
3.55839990,-1.57480300,3.22834600
3.62239990,-6.69291300,3.30708700
3.68639990,-3.14960600,3.30708700
3.75039990,-3.14960600,3.30708700
3.81439989,-0.39370070,3.22834600
3.87839989,-8.66141700,3.22834600
3.94239989,-1.96850400,3.22834600
4.00639989,-3.93700800,3.22834600
4.07039989,-4.33070900,3.30708700
4.13439988,-4.33070900,3.22834600
4.19839988,0.78740150,3.22834600
4.26239988,-3.54330700,3.22834600
4.32639988,-3.14960600,3.30708700
4.39039988,0.00000000,3.22834600
4.45439988,-5.90551100,3.30708700
4.51839987,-3.93700800,3.30708700
4.58239987,-3.93700800,3.30708700
4.64639987,-1.96850400,3.30708700
4.71039987,-7.48031400,3.30708700
4.77439987,-0.39370070,3.22834600
4.83839986,-4.33070900,3.30708700
4.90239986,-4.72440900,3.22834600
4.96639986,-5.11811000,3.30708700
5.03039986,0.00000000,3.30708700
5.09439986,-6.29921200,3.22834600
5.15839986,0.00000000,3.30708700
5.22239985,-1.18110200,3.22834600
5.28639985,-1.96850400,3.22834600
5.35039985,-5.51181100,3.30708700
5.41439985,0.39370070,3.30708700
5.47839985,-4.72440900,3.30708700
5.54239984,-5.11811000,3.30708700
5.60639984,0.00000000,3.30708700
5.67039984,-2.36220500,3.22834600
5.73439984,-2.75590500,3.30708700
5.79839984,-3.93700800,3.30708700
5.86239984,-2.36220500,3.22834600
5.92639983,-10.62992000,3.30708700
5.99039983,-1.96850400,3.30708700
6.05439983,-5.90551100,3.30708700
6.11839983,-4.33070900,3.22834600
6.18239983,-5.51181100,3.30708700
6.24639982,-1.57480300,3.30708700
6.31039982,-7.48031400,3.30708700
6.37439982,-2.36220500,3.22834600
6.43839982,-4.33070900,3.22834600
6.50239982,-3.93700800,3.22834600
6.56639982,-6.69291300,3.30708700
6.63039981,-1.96850400,3.30708700
6.69439981,-3.93700800,3.22834600
6.75839981,-3.54330700,3.30708700
6.82239981,-1.18110200,3.30708700
6.88639981,-2.36220500,3.30708700
6.95039980,-2.75590500,3.22834600
7.01439980,-4.72440900,3.30708700
7.07839980,0.78740150,3.30708700
7.14239980,-5.11811000,3.30708700
7.20639980,-1.96850400,3.30708700
7.27039980,-4.72440900,3.30708700
7.33439979,0.00000000,3.30708700
7.39839979,-7.87401500,3.30708700
7.46239979,0.39370070,3.30708700
7.52639979,-5.51181100,3.30708700
7.59039979,-4.72440900,3.30708700
7.65439978,-2.36220500,3.30708700
7.71839978,1.57480300,3.30708700
7.78239978,-3.93700800,3.30708700
7.84639978,-1.96850400,3.30708700
7.91039978,1.57480300,3.30708700
7.97439978,-5.90551100,3.30708700
8.03839977,-2.36220500,3.30708700
8.10239977,-1.18110200,3.30708700
8.16639977,-2.36220500,3.30708700
8.23039977,-3.93700800,3.30708700
8.29439977,3.93700800,3.30708700
8.35839976,-4.72440900,3.30708700
8.42239976,-3.93700800,3.30708700
8.48639976,-3.93700800,3.30708700
8.55039976,-2.36220500,3.30708700
8.61439976,-9.05511800,3.30708700
8.67839976,0.00000000,3.30708700
8.74239975,-5.51181100,3.30708700
8.80639975,-5.11811000,3.30708700
8.87039975,-6.69291300,3.30708700
8.93439975,-3.54330700,3.30708700
8.99839975,-8.26771600,3.22834600
9.06239974,-3.93700800,3.30708700
9.12639974,-1.18110200,3.22834600
9.19039974,-5.11811000,3.30708700
9.25439974,-1.57480300,3.30708700
9.31839974,-1.57480300,3.30708700
9.38239974,0.00000000,3.30708700
9.44639973,-5.11811000,3.30708700
9.51039973,1.96850400,3.30708700
9.57439973,-2.75590500,3.30708700
9.63839973,0.00000000,3.30708700
9.70239973,0.39370070,3.30708700
9.76639972,3.14960600,3.30708700
9.83039972,-4.33070900,3.30708700
9.89439972,1.57480300,3.30708700
9.95839972,-0.39370070,3.30708700
10.02239972,-1.96850400,3.30708700
10.08639972,-3.93700800,3.30708700
10.15039971,1.96850400,3.30708700
10.21439971,-1.96850400,3.22834600
10.27839971,-1.18110200,3.30708700
10.34239971,1.96850400,3.30708700
10.40639971,-1.57480300,3.30708700
10.47039970,-1.96850400,3.30708700
10.53439970,-1.96850400,3.30708700
10.59839970,2.36220500,3.30708700
10.66239970,-5.90551100,3.22834600
10.72639970,2.75590500,3.30708700
10.79039970,-0.78740150,3.30708700
10.85439969,1.18110200,3.30708700
10.91839969,-3.93700800,3.30708700
10.98239969,1.96850400,3.30708700
11.04639969,-3.14960600,3.30708700
11.11039969,-1.96850400,3.30708700
11.17439969,-0.78740150,3.30708700
11.23839968,-1.18110200,3.30708700
11.30239968,-5.11811000,3.22834600
11.36639968,-1.96850400,3.30708700
11.43039968,-2.36220500,3.30708700
11.49439968,-6.69291300,3.30708700
11.55839967,-2.36220500,3.30708700
11.62239967,-1.96850400,3.30708700
11.68639967,-3.93700800,3.30708700
11.75039967,-3.93700800,3.22834600
11.81439967,2.75590500,3.22834600
11.87839967,-8.66141700,3.30708700
11.94239966,-1.57480300,3.30708700
12.00639966,-3.93700800,3.30708700
12.07039966,-3.54330700,3.30708700
12.13439966,-7.08661400,3.22834600
12.19839966,3.93700800,3.30708700
12.26239965,-4.33070900,3.30708700
12.32639965,-3.14960600,3.30708700
12.39039965,0.00000000,3.30708700
12.45439965,-2.36220500,3.30708700
12.51839965,-4.33070900,3.30708700
12.58239965,-1.18110200,3.30708700
12.64639964,-1.96850400,3.30708700
12.71039964,-4.72440900,3.30708700
12.77439964,0.39370070,3.30708700
12.83839964,-2.75590500,3.30708700
12.90239964,-3.93700800,3.30708700
12.96639963,-5.51181100,3.30708700
13.03039963,-1.96850400,3.30708700
13.09439963,-7.08661400,3.30708700
13.15839963,-1.57480300,3.30708700
13.22239963,-5.11811000,3.30708700
13.28639963,-2.36220500,3.30708700
13.35039962,-7.48031400,3.30708700
13.41439962,-1.96850400,3.30708700
13.47839962,-6.29921200,3.30708700
13.54239962,-5.90551100,3.30708700
13.60639962,-6.69291300,3.30708700
13.67039961,-4.33070900,3.30708700
13.73439961,-5.51181100,3.30708700
13.79839961,-6.29921200,3.30708700
13.86239961,-3.93700800,3.30708700
13.92639961,-10.62992000,3.30708700
13.99039961,-7.48031400,3.30708700
14.05439960,-10.23622000,3.30708700
14.11839960,-7.48031400,3.30708700
14.18239960,-10.62992000,3.30708700
14.24639960,-3.14960600,3.30708700
14.31039960,-9.05511800,3.30708700
14.37439959,-6.29921200,3.22834600
14.43839959,-7.87401500,3.30708700
14.50239959,-5.11811000,3.22834600
14.56639959,-10.23622000,3.30708700
14.63039959,-5.51181100,3.30708700
14.69439959,-8.26771600,3.30708700
14.75839958,-7.87401500,3.30708700
14.82239958,-5.51181100,3.22834600
14.88639958,-3.54330700,3.30708700
14.95039958,-7.08661400,3.30708700
15.01439958,-6.69291300,3.30708700
15.07839957,-2.36220500,3.30708700
15.14239957,-7.87401500,3.30708700
15.20639957,-5.11811000,3.30708700
15.27039957,-5.90551100,3.30708700
15.33439957,-3.93700800,3.30708700
15.39839957,-10.62992000,3.30708700
15.46239956,-2.36220500,3.30708700
15.52639956,-9.05511800,3.30708700
15.59039956,-7.87401500,3.30708700
15.65439956,-7.08661400,3.30708700
15.71839956,-3.54330700,3.30708700
15.78239955,-9.05511800,3.30708700
15.84639955,-4.33070900,3.30708700
15.91039955,-3.54330700,3.30708700
15.97439955,-7.87401500,3.30708700
16.03839955,-7.87401500,3.30708700
16.10239955,-5.90551100,3.30708700
16.16639954,-7.48031400,3.30708700
16.23039954,-9.05511800,3.30708700
16.29439954,-1.96850400,3.30708700
16.35839954,-9.05511800,3.30708700
16.42239954,-7.48031400,3.30708700
16.48639953,-6.29921200,3.30708700
16.55039953,-5.11811000,3.30708700
16.61439953,-12.59842000,3.30708700
16.67839953,-2.36220500,3.30708700
16.74239953,-9.05511800,3.30708700
16.80639953,-6.69291300,3.30708700
16.87039952,-6.69291300,3.30708700
16.93439952,-5.90551100,3.22834600
16.99839952,-11.41732000,3.30708700
17.06239952,-8.66141700,3.30708700
17.12639952,-6.69291300,3.22834600
17.19039951,-10.23622000,3.30708700
17.25439951,-5.51181100,3.22834600
17.31839951,-6.29921200,3.30708700
17.38239951,-5.51181100,3.30708700
17.44639951,-8.66141700,3.30708700
17.51039951,-2.75590500,3.30708700
17.57439950,-9.44881800,3.30708700
17.63839950,-5.11811000,3.30708700
17.70239950,-7.48031400,3.30708700
17.76639950,-2.36220500,3.30708700
17.83039950,-8.66141700,3.30708700
17.89439949,-4.72440900,3.30708700
17.95839949,-5.51181100,3.30708700
18.02239949,-6.69291300,3.30708700
18.08639949,-12.20472000,3.30708700
18.15039949,-4.33070900,3.30708700
18.21439949,-7.87401500,3.30708700
18.27839948,-8.66141700,3.30708700
18.34239948,-4.33070900,3.30708700
18.40639948,-5.90551100,3.30708700
18.47039948,-8.66141700,3.30708700
18.53439948,-5.90551100,3.30708700
18.59839948,-3.14960600,3.30708700
18.66239947,-12.59842000,3.30708700
18.72639947,-4.33070900,3.30708700
18.79039947,-6.29921200,3.30708700
18.85439947,-5.90551100,3.30708700
18.91839947,-8.66141700,3.30708700
18.98239946,-0.39370070,3.30708700
19.04639946,-9.44881800,3.30708700
19.11039946,-5.51181100,3.30708700
19.17439946,-4.33070900,3.30708700
19.23839946,-6.69291300,3.30708700
19.30239946,-8.66141700,3.30708700
19.36639945,-4.33070900,3.30708700
19.43039945,-6.69291300,3.30708700
19.49439945,-10.62992000,3.30708700
19.55839945,-7.08661400,3.30708700
19.62239945,-7.48031400,3.30708700
19.68639944,-8.66141700,3.30708700
19.75039944,-9.05511800,3.30708700
19.81439944,-2.75590500,3.22834600
19.87839944,-9.44881800,3.30708700
19.94239944,-5.11811000,3.30708700
20.00639944,-7.08661400,3.30708700
20.07039943,-6.69291300,3.30708700
20.13439943,-11.41732000,3.30708700
20.19839943,-2.36220500,3.30708700
20.26239943,-10.23622000,3.30708700
20.32639943,-6.29921200,3.30708700
20.39039942,-5.90551100,3.30708700
20.45439942,-4.72440900,3.30708700
20.51839942,-9.44881800,3.30708700
20.58239942,-7.08661400,3.30708700
20.64639942,-6.29921200,3.30708700
20.71039942,-11.02362000,3.30708700
20.77439941,-7.08661400,3.30708700
20.83839941,-6.69291300,3.30708700
20.90239941,-7.08661400,3.30708700
20.96639941,-10.23622000,3.30708700
21.03039941,-3.93700800,3.30708700
21.09439940,-10.62992000,3.30708700
21.15839940,-7.48031400,3.30708700
21.22239940,-8.26771600,3.30708700
21.28639940,-3.54330700,3.30708700
21.35039940,-7.87401500,3.30708700
21.41439940,-2.75590500,3.30708700
21.47839939,-5.90551100,3.30708700
21.54239939,-4.72440900,3.30708700
21.60639939,-7.48031400,3.30708700
21.67039939,-3.54330700,3.30708700
21.73439939,-6.69291300,3.30708700
