Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-6.29921200,0.00000000
0.03746341,-5.11811000,3.22834600
0.10146341,-9.44881800,3.22834600
0.16546341,-8.66141700,3.22834600
0.22946341,-11.02362000,3.22834600
0.29346341,-6.29921200,3.22834600
0.35746340,-11.02362000,3.22834600
0.42146340,-3.93700800,3.22834600
0.48546340,-7.87401500,3.22834600
0.54946340,-3.54330700,3.22834600
0.61346340,-10.62992000,3.22834600
0.67746340,-4.33070900,3.22834600
0.74146339,-8.26771600,3.22834600
0.80546339,-5.90551100,3.22834600
0.86946339,-3.93700800,3.22834600
0.93346339,-3.54330700,3.22834600
0.99746339,-6.69291300,3.22834600
1.06146339,-3.54330700,3.22834600
1.12546338,-1.57480300,3.22834600
1.18946338,-7.48031400,3.22834600
1.25346338,-3.14960600,3.22834600
1.31746338,-3.14960600,3.22834600
1.38146338,-5.11811000,3.22834600
1.44546337,-5.90551100,3.22834600
1.50946337,-2.36220500,3.22834600
1.57346337,-9.05511800,3.22834600
1.63746337,-4.33070900,3.22834600
1.70146337,-3.54330700,3.22834600
1.76546337,-1.96850400,3.22834600
1.82946336,-6.69291300,3.22834600
1.89346336,2.75590500,3.22834600
1.95746336,-4.33070900,3.22834600
2.02146336,-1.57480300,3.22834600
2.08546336,-1.18110200,3.22834600
2.14946335,-1.96850400,3.22834600
2.21346335,-5.11811000,3.30708700
2.27746335,-2.36220500,3.22834600
2.34146335,0.39370070,3.30708700
2.40546335,-4.72440900,3.30708700
2.46946335,1.57480300,3.22834600
2.53346334,-2.75590500,3.22834600
2.59746334,-3.54330700,3.30708700
2.66146334,-6.69291300,3.22834600
2.72546334,-0.78740150,3.30708700
2.78946334,-8.66141700,3.22834600
2.85346333,-2.36220500,3.22834600
2.91746333,-4.33070900,3.22834600
2.98146333,-3.54330700,3.22834600
3.04546333,-7.87401500,3.22834600
3.10946333,0.39370070,3.22834600
3.17346333,-6.69291300,3.30708700
3.23746332,-7.08661400,3.22834600
3.30146332,-3.14960600,3.22834600
3.36546332,-2.75590500,3.22834600
3.42946332,-5.90551100,3.22834600
3.49346332,-3.14960600,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-7.48031400,3.22834600
3.68546331,-0.78740150,3.22834600
3.74946331,-3.93700800,3.30708700
3.81346331,-2.36220500,3.22834600
3.87746331,-5.51181100,3.30708700
3.94146330,2.36220500,3.22834600
4.00546330,-7.08661400,3.30708700
4.06946330,-3.14960600,3.30708700
4.13346330,-6.69291300,3.22834600
4.19746330,-3.14960600,3.30708700
4.26146329,-7.08661400,3.30708700
4.32546329,-3.14960600,3.22834600
4.38946329,-3.54330700,3.22834600
4.45346329,-3.54330700,3.30708700
4.51746329,-2.36220500,3.30708700
4.58146329,-1.57480300,3.30708700
4.64546328,-4.33070900,3.22834600
4.70946328,-7.08661400,3.30708700
4.77346328,-1.18110200,3.30708700
4.83746328,-4.33070900,3.30708700
4.90146328,-4.33070900,3.30708700
4.96546327,-2.75590500,3.30708700
5.02946327,0.39370070,3.22834600
5.09346327,-8.26771600,3.30708700
5.15746327,0.78740150,3.30708700
5.22146327,-5.51181100,3.30708700
5.28546327,-5.51181100,3.30708700
5.34946326,-5.51181100,3.22834600
5.41346326,-0.39370070,3.30708700
5.47746326,-9.84251900,3.22834600
5.54146326,-4.72440900,3.30708700
5.60546326,-2.75590500,3.22834600
5.66946325,-9.84251900,3.22834600
5.73346325,-5.90551100,3.22834600
5.79746325,-4.33070900,3.22834600
5.86146325,-5.90551100,3.22834600
5.92546325,-7.08661400,3.22834600
5.98946325,0.78740150,3.22834600
6.05346324,-7.48031400,3.30708700
6.11746324,-5.51181100,3.22834600
6.18146324,-3.54330700,3.22834600
6.24546324,-1.57480300,3.22834600
6.30946324,-8.26771600,3.22834600
6.37346323,0.00000000,3.30708700
6.43746323,-2.75590500,3.30708700
6.50146323,-1.96850400,3.30708700
6.56546323,-3.14960600,3.22834600
6.62946323,-0.78740150,3.22834600
6.69346323,-7.48031400,3.22834600
6.75746322,-4.72440900,3.30708700
6.82146322,-3.54330700,3.30708700
6.88546322,-5.11811000,3.30708700
6.94946322,-5.11811000,3.30708700
7.01346322,-2.75590500,3.30708700
7.07746321,-1.96850400,3.30708700
7.14146321,-7.48031400,3.22834600
7.20546321,0.00000000,3.30708700
7.26946321,-6.29921200,3.30708700
7.33346321,-2.36220500,3.30708700
7.39746321,-4.33070900,3.30708700
7.46146320,0.00000000,3.22834600
7.52546320,-7.08661400,3.30708700
7.58946320,-1.18110200,3.30708700
7.65346320,-3.54330700,3.30708700
7.71746320,-3.54330700,3.30708700
7.78146319,-4.33070900,3.30708700
7.84546319,-1.18110200,3.30708700
7.90946319,-3.93700800,3.30708700
7.97346319,-3.93700800,3.30708700
8.03746319,-3.54330700,3.30708700
8.10146319,-5.90551100,3.30708700
8.16546318,-5.90551100,3.30708700
8.22946318,-6.29921200,3.30708700
8.29346318,-4.33070900,3.22834600
8.35746318,-9.44881800,3.30708700
8.42146318,-3.93700800,3.30708700
8.48546318,-5.51181100,3.22834600
8.54946317,-1.96850400,3.22834600
8.61346317,-9.05511800,3.30708700
8.67746317,-0.78740150,3.22834600
8.74146317,-9.44881800,3.30708700
8.80546317,-5.11811000,3.30708700
8.86946316,-3.54330700,3.22834600
8.93346316,-2.75590500,3.30708700
8.99746316,-6.69291300,3.30708700
9.06146316,-1.18110200,3.30708700
9.12546316,-1.57480300,3.22834600
9.18946316,-7.08661400,3.30708700
9.25346315,-0.39370070,3.30708700
9.31746315,-2.75590500,3.30708700
9.38146315,-3.54330700,3.30708700
9.44546315,-2.36220500,3.30708700
9.50946315,1.57480300,3.30708700
9.57346314,-6.29921200,3.30708700
9.63746314,0.39370070,3.30708700
9.70146314,-1.57480300,3.30708700
9.76546314,-2.36220500,3.30708700
9.82946314,-3.54330700,3.30708700
9.89346314,4.33070900,3.30708700
9.95746313,-3.54330700,3.30708700
10.02146313,1.57480300,3.30708700
10.08546313,-0.39370070,3.30708700
10.14946313,-1.57480300,3.30708700
10.21346313,-3.14960600,3.30708700
10.27746312,0.78740150,3.30708700
10.34146312,-1.18110200,3.30708700
10.40546312,-3.54330700,3.30708700
10.46946312,2.75590500,3.30708700
10.53346312,-2.36220500,3.30708700
10.59746312,-1.57480300,3.30708700
10.66146311,-5.51181100,3.30708700
10.72546311,-0.39370070,3.30708700
10.78946311,-8.26771600,3.30708700
10.85346311,-1.96850400,3.30708700
10.91746311,-3.93700800,3.30708700
10.98146310,-3.14960600,3.30708700
11.04546310,-6.29921200,3.30708700
11.10946310,-0.78740150,3.30708700
11.17346310,-4.72440900,3.30708700
11.23746310,-4.72440900,3.30708700
11.30146310,-3.54330700,3.30708700
11.36546309,-2.36220500,3.30708700
11.42946309,-5.51181100,3.22834600
11.49346309,-3.14960600,3.30708700
11.55746309,-0.78740150,3.30708700
11.62146309,-4.33070900,3.30708700
11.68546308,-1.18110200,3.22834600
11.74946308,-2.75590500,3.30708700
11.81346308,-0.78740150,3.30708700
11.87746308,-5.11811000,3.30708700
11.94146308,3.14960600,3.30708700
12.00546308,-5.51181100,3.30708700
12.06946307,-2.36220500,3.22834600
12.13346307,-4.72440900,3.30708700
12.19746307,-0.78740150,3.30708700
12.26146307,-7.48031400,3.30708700
12.32546307,-2.75590500,3.30708700
12.38946306,-3.14960600,3.30708700
12.45346306,-4.33070900,3.30708700
12.51746306,-1.57480300,3.30708700
12.58146306,0.00000000,3.30708700
12.64546306,-2.75590500,3.30708700
12.70946306,-5.90551100,3.30708700
12.77346305,0.39370070,3.30708700
12.83746305,-5.90551100,3.30708700
12.90146305,-4.72440900,3.30708700
12.96546305,-2.36220500,3.30708700
13.02946305,-1.96850400,3.30708700
13.09346304,-8.66141700,3.30708700
13.15746304,0.39370070,3.30708700
13.22146304,-7.48031400,3.30708700
13.28546304,-7.87401500,3.30708700
13.34946304,-6.69291300,3.30708700
13.41346304,-3.54330700,3.30708700
13.47746303,-13.38583000,3.30708700
13.54146303,-5.51181100,3.30708700
13.60546303,-6.29921200,3.30708700
13.66946303,-12.20472000,3.30708700
13.73346303,-8.66141700,3.22834600
13.79746302,-8.26771600,3.30708700
13.86146302,-11.81102000,3.22834600
13.92546302,-10.62992000,3.30708700
13.98946302,-3.93700800,3.30708700
14.05346302,-12.59842000,3.30708700
14.11746302,-6.69291300,3.22834600
14.18146301,-8.66141700,3.30708700
14.24546301,-4.33070900,3.30708700
14.30946301,-10.23622000,3.30708700
14.37346301,-3.54330700,3.30708700
14.43746301,-5.90551100,3.22834600
14.50146300,-4.33070900,3.22834600
14.56546300,-6.29921200,3.30708700
14.62946300,-3.14960600,3.30708700
14.69346300,-7.48031400,3.30708700
14.75746300,-8.26771600,3.30708700
14.82146300,-6.69291300,3.22834600
14.88546299,-8.26771600,3.30708700
14.94946299,-8.26771600,3.30708700
15.01346299,-5.51181100,3.30708700
15.07746299,-3.93700800,3.30708700
15.14146299,-10.23622000,3.30708700
15.20546299,-2.75590500,3.30708700
15.26946298,-7.08661400,3.30708700
15.33346298,-5.51181100,3.22834600
15.39746298,-9.44881800,3.30708700
15.46146298,-2.36220500,3.30708700
15.52546298,-9.84251900,3.30708700
15.58946297,-3.93700800,3.30708700
15.65346297,-5.90551100,3.30708700
15.71746297,-7.08661400,3.30708700
15.78146297,-9.05511800,3.30708700
15.84546297,-4.33070900,3.30708700
15.90946297,-6.69291300,3.30708700
15.97346296,-10.23622000,3.30708700
16.03746296,-5.51181100,3.30708700
16.10146296,-9.05511800,3.30708700
16.16546296,-9.84251900,3.30708700
16.22946296,-10.62992000,3.30708700
16.29346295,-8.26771600,3.30708700
16.35746295,-15.35433000,3.30708700
16.42146295,-8.26771600,3.22834600
16.48546295,-7.08661400,3.30708700
16.54946295,-7.08661400,3.30708700
16.61346295,-10.62992000,3.22834600
16.67746294,-2.75590500,3.22834600
16.74146294,-11.02362000,3.30708700
16.80546294,-8.26771600,3.30708700
16.86946294,-7.08661400,3.30708700
16.93346294,-5.90551100,3.22834600
16.99746293,-9.05511800,3.30708700
17.06146293,-2.36220500,3.30708700
17.12546293,-5.90551100,3.30708700
17.18946293,-9.44881800,3.30708700
17.25346293,-2.36220500,3.30708700
17.31746293,-7.08661400,3.30708700
17.38146292,-7.08661400,3.22834600
17.44546292,-8.26771600,3.30708700
17.50946292,-3.54330700,3.30708700
17.57346292,-10.23622000,3.30708700
17.63746292,-4.33070900,3.30708700
17.70146291,-9.05511800,3.30708700
17.76546291,-8.26771600,3.30708700
17.82946291,-9.05511800,3.30708700
17.89346291,-3.93700800,3.30708700
17.95746291,-8.66141700,3.30708700
18.02146291,-5.51181100,3.30708700
18.08546290,-6.69291300,3.30708700
18.14946290,-6.69291300,3.30708700
18.21346290,-8.26771600,3.30708700
18.27746290,-8.26771600,3.30708700
18.34146290,-7.48031400,3.22834600
18.40546289,-9.05511800,3.30708700
18.46946289,-5.51181100,3.30708700
18.53346289,-7.08661400,3.30708700
18.59746289,-5.11811000,3.30708700
18.66146289,-11.81102000,3.30708700
18.72546289,-4.33070900,3.30708700
18.78946288,-12.99213000,3.30708700
18.85346288,-9.05511800,3.30708700
18.91746288,-10.23622000,3.30708700
18.98146288,-5.90551100,3.30708700
19.04546288,-13.38583000,3.30708700
19.10946287,-5.90551100,3.30708700
19.17346287,-8.26771600,3.30708700
19.23746287,-10.62992000,3.22834600
19.30146287,-7.48031400,3.30708700
19.36546287,-7.87401500,3.30708700
19.42946287,-11.41732000,3.30708700
19.49346286,-9.44881800,3.30708700
19.55746286,-3.14960600,3.22834600
19.62146286,-10.23622000,3.30708700
19.68546286,-5.90551100,3.30708700
19.74946286,-5.51181100,3.30708700
19.81346285,-5.51181100,3.30708700
19.87746285,-9.05511800,3.30708700
19.94146285,-1.18110200,3.30708700
20.00546285,-8.66141700,3.30708700
20.06946285,-5.11811000,3.30708700
20.13346285,-6.69291300,3.30708700
20.19746284,-4.33070900,3.30708700
20.26146284,-12.99213000,3.30708700
20.32546284,-7.48031400,3.30708700
20.38946284,-7.48031400,3.30708700
20.45346284,-10.62992000,3.30708700
20.51746283,-7.08661400,3.30708700
20.58146283,-5.90551100,3.30708700
20.64546283,-7.08661400,3.30708700
20.70946283,-9.84251900,3.30708700
20.77346283,-3.54330700,3.30708700
20.83746283,-12.59842000,3.30708700
20.90146282,-7.48031400,3.30708700
20.96546282,-7.87401500,3.30708700
21.02946282,-4.72440900,3.30708700
21.09346282,-11.41732000,3.30708700
21.15746282,-3.54330700,3.30708700
21.22146281,-7.87401500,3.30708700
21.28546281,-7.87401500,3.30708700
21.34946281,-7.48031400,3.30708700
21.41346281,-5.90551100,3.30708700
21.47746281,-10.62992000,3.30708700
21.54146281,-7.48031400,3.30708700
21.60546280,-6.29921200,3.30708700
21.66946280,-11.02362000,3.30708700
