Time,Channel A,Channel B
(us),(mV),(V)

-0.01103448,4.33070900,0.94488190
0.05296552,-5.51181100,3.22834600
0.11696552,-5.51181100,3.22834600
0.18096551,-8.26771600,3.22834600
0.24496551,-3.93700800,3.22834600
0.30896551,-7.08661400,3.22834600
0.37296551,-8.66141700,3.22834600
0.43696551,-2.36220500,3.22834600
0.50096550,-4.33070900,3.22834600
0.56496550,-5.51181100,3.22834600
0.62896550,-3.93700800,3.22834600
0.69296550,-0.78740150,3.22834600
0.75696550,-9.05511800,3.22834600
0.82096550,-3.14960600,3.22834600
0.88496549,-5.51181100,3.30708700
0.94896549,-4.72440900,3.30708700
1.01296549,-7.48031400,3.30708700
1.07696549,3.14960600,3.22834600
1.14096549,-6.29921200,3.22834600
1.20496548,-3.14960600,3.30708700
1.26896548,-1.96850400,3.22834600
1.33296548,-1.18110200,3.22834600
1.39696548,-5.90551100,3.22834600
1.46096548,-1.18110200,3.22834600
1.52496548,-1.57480300,3.22834600
1.58896547,-5.90551100,3.22834600
1.65296547,0.78740150,3.22834600
1.71696547,-2.75590500,3.22834600
1.78096547,-1.96850400,3.22834600
1.84496547,-5.11811000,3.30708700
1.90896546,1.96850400,3.22834600
1.97296546,-5.51181100,3.30708700
2.03696546,-0.39370070,3.30708700
2.10096546,-2.36220500,3.30708700
2.16496546,1.57480300,3.22834600
2.22896546,-3.93700800,3.30708700
2.29296545,-1.18110200,3.22834600
2.35696545,-3.93700800,3.22834600
2.42096545,-2.36220500,3.22834600
2.48496545,-4.72440900,3.22834600
2.54896545,0.78740150,3.22834600
2.61296544,-3.14960600,3.22834600
2.67696544,-3.14960600,3.22834600
2.74096544,0.78740150,3.22834600
2.80496544,-3.14960600,3.22834600
2.86896544,-3.14960600,3.22834600
2.93296544,-2.36220500,3.22834600
2.99696543,2.75590500,3.22834600
3.06096543,-6.69291300,3.22834600
3.12496543,3.54330700,3.22834600
3.18896543,-1.96850400,3.22834600
3.25296543,-1.57480300,3.22834600
3.31696542,-3.14960600,3.22834600
3.38096542,1.96850400,3.30708700
3.44496542,-7.08661400,3.30708700
3.50896542,-1.96850400,3.22834600
3.57296542,0.00000000,3.22834600
3.63696542,-3.54330700,3.22834600
3.70096541,-2.36220500,3.22834600
3.76496541,0.00000000,3.22834600
3.82896541,-1.96850400,3.22834600
3.89296541,-4.72440900,3.22834600
3.95696541,1.96850400,3.30708700
4.02096540,-4.72440900,3.22834600
4.08496540,-1.96850400,3.30708700
4.14896540,-1.18110200,3.22834600
4.21296540,1.18110200,3.30708700
4.27696540,-5.51181100,3.22834600
4.34096540,1.57480300,3.30708700
4.40496539,-3.54330700,3.22834600
4.46896539,-1.57480300,3.22834600
4.53296539,-5.51181100,3.30708700
4.59696539,0.00000000,3.30708700
4.66096539,-4.33070900,3.22834600
4.72496538,-2.75590500,3.30708700
4.78896538,-1.57480300,3.30708700
4.85296538,-4.33070900,3.30708700
4.91696538,-4.72440900,3.30708700
4.98096538,-5.90551100,3.30708700
5.04496538,-1.57480300,3.22834600
5.10896537,-8.66141700,3.30708700
5.17296537,-0.78740150,3.22834600
5.23696537,-4.33070900,3.22834600
5.30096537,-1.96850400,3.22834600
5.36496537,-7.87401500,3.22834600
5.42896536,-0.78740150,3.22834600
5.49296536,-6.29921200,3.30708700
5.55696536,-3.14960600,3.22834600
5.62096536,-1.96850400,3.22834600
5.68496536,-1.96850400,3.22834600
5.74896536,-4.33070900,3.30708700
5.81296535,-0.39370070,3.22834600
5.87696535,-1.96850400,3.30708700
5.94096535,-5.11811000,3.30708700
6.00496535,-2.36220500,3.30708700
6.06896535,-2.75590500,3.30708700
6.13296535,-2.75590500,3.30708700
6.19696534,-5.11811000,3.30708700
6.26096534,1.18110200,3.30708700
6.32496534,-5.90551100,3.30708700
6.38896534,-0.39370070,3.30708700
6.45296534,-3.14960600,3.30708700
6.51696533,-1.18110200,3.22834600
6.58096533,-7.48031400,3.30708700
6.64496533,1.96850400,3.30708700
6.70896533,-2.36220500,3.30708700
6.77296533,-3.14960600,3.30708700
6.83696533,-0.39370070,3.30708700
6.90096532,0.00000000,3.30708700
6.96496532,-4.72440900,3.22834600
7.02896532,-1.96850400,3.22834600
7.09296532,0.00000000,3.30708700
7.15696532,-7.48031400,3.30708700
7.22096531,-0.78740150,3.30708700
7.28496531,0.00000000,3.30708700
7.34896531,-3.14960600,3.30708700
7.41296531,-5.90551100,3.30708700
7.47696531,0.78740150,3.30708700
7.54096531,-7.48031400,3.30708700
7.60496530,-4.33070900,3.30708700
7.66896530,-3.93700800,3.30708700
7.73296530,-2.36220500,3.30708700
7.79696530,-7.48031400,3.22834600
7.86096530,0.39370070,3.30708700
7.92496529,-4.33070900,3.30708700
7.98896529,-5.90551100,3.22834600
8.05296529,-3.93700800,3.22834600
8.11696529,-2.36220500,3.30708700
8.18096529,-4.72440900,3.30708700
8.24496529,-3.93700800,3.30708700
8.30896528,0.00000000,3.22834600
8.37296528,-3.93700800,3.22834600
8.43696528,0.00000000,3.22834600
8.50096528,-4.72440900,3.30708700
8.56496528,-0.78740150,3.30708700
8.62896527,-6.69291300,3.30708700
8.69296527,0.00000000,3.30708700
8.75696527,-3.14960600,3.30708700
8.82096527,-3.14960600,3.30708700
8.88496527,-4.72440900,3.30708700
8.94896527,0.00000000,3.30708700
9.01296526,-5.51181100,3.30708700
9.07696526,-5.11811000,3.30708700
9.14096526,-2.36220500,3.30708700
9.20496526,-3.54330700,3.30708700
9.26896526,-3.93700800,3.30708700
9.33296525,1.57480300,3.30708700
9.39696525,0.39370070,3.30708700
9.46096525,-3.93700800,3.30708700
9.52496525,4.33070900,3.30708700
9.58896525,-1.57480300,3.30708700
9.65296525,-2.36220500,3.30708700
9.71696524,-2.36220500,3.30708700
9.78096524,4.72440900,3.30708700
9.84496524,-4.72440900,3.30708700
9.90896524,2.75590500,3.30708700
9.97296524,0.78740150,3.30708700
10.03696523,-1.18110200,3.30708700
10.10096523,-3.54330700,3.30708700
10.16496523,1.18110200,3.30708700
10.22896523,-3.54330700,3.30708700
10.29296523,-5.11811000,3.22834600
10.35696523,1.18110200,3.30708700
10.42096522,-2.36220500,3.30708700
10.48496522,-5.11811000,3.30708700
10.54896522,-3.54330700,3.30708700
10.61296522,0.78740150,3.30708700
10.67696522,-7.87401500,3.22834600
10.74096521,-1.96850400,3.22834600
10.80496521,-2.75590500,3.22834600
10.86896521,-2.36220500,3.22834600
10.93296521,-3.93700800,3.30708700
10.99696521,3.93700800,3.30708700
11.06096521,-4.72440900,3.30708700
11.12496520,-1.96850400,3.30708700
11.18896520,-1.96850400,3.30708700
11.25296520,-1.57480300,3.30708700
11.31696520,-5.11811000,3.22834600
11.38096520,0.39370070,3.30708700
11.44496519,-0.78740150,3.30708700
11.50896519,-3.93700800,3.30708700
11.57296519,0.00000000,3.30708700
11.63696519,-4.33070900,3.30708700
11.70096519,-2.36220500,3.30708700
11.76496519,-4.72440900,3.30708700
11.82896518,1.18110200,3.30708700
11.89296518,-5.90551100,3.30708700
11.95696518,0.00000000,3.30708700
12.02096518,-2.36220500,3.30708700
12.08496518,0.78740150,3.30708700
12.14896517,-5.11811000,3.22834600
12.21296517,-1.57480300,3.30708700
12.27696517,-2.75590500,3.30708700
12.34096517,-3.54330700,3.30708700
12.40496517,-3.14960600,3.30708700
12.46896517,-0.78740150,3.30708700
12.53296516,-2.75590500,3.30708700
12.59696516,-3.14960600,3.22834600
12.66096516,1.18110200,3.30708700
12.72496516,-5.90551100,3.22834600
12.78896516,-5.51181100,3.30708700
12.85296515,-4.33070900,3.30708700
12.91696515,-1.96850400,3.30708700
12.98096515,-11.02362000,3.30708700
13.04496515,-1.57480300,3.30708700
13.10896515,-7.08661400,3.30708700
13.17296515,-7.87401500,3.30708700
13.23696514,-9.44881800,3.30708700
13.30096514,-3.14960600,3.30708700
13.36496514,-12.99213000,3.30708700
13.42896514,-7.08661400,3.22834600
13.49296514,-3.54330700,3.30708700
13.55696514,-9.84251900,3.30708700
13.62096513,-5.90551100,3.30708700
13.68496513,-4.72440900,3.30708700
13.74896513,-9.44881800,3.22834600
13.81296513,-10.62992000,3.30708700
13.87696513,-3.93700800,3.22834600
13.94096512,-11.02362000,3.30708700
14.00496512,-6.29921200,3.22834600
14.06896512,-5.90551100,3.30708700
14.13296512,-5.11811000,3.30708700
14.19696512,-11.02362000,3.30708700
14.26096512,-4.33070900,3.30708700
14.32496511,-7.87401500,3.30708700
14.38896511,-6.69291300,3.30708700
14.45296511,-7.48031400,3.30708700
14.51696511,-4.33070900,3.30708700
14.58096511,-7.87401500,3.30708700
14.64496510,-5.11811000,3.30708700
14.70896510,-4.33070900,3.30708700
14.77296510,-7.48031400,3.30708700
14.83696510,-6.69291300,3.30708700
14.90096510,-6.69291300,3.30708700
14.96496510,-3.14960600,3.30708700
15.02896509,-9.44881800,3.30708700
15.09296509,-1.96850400,3.30708700
15.15696509,-6.29921200,3.30708700
15.22096509,-4.33070900,3.30708700
15.28496509,-8.66141700,3.30708700
15.34896508,-3.54330700,3.30708700
15.41296508,-9.44881800,3.30708700
15.47696508,-6.29921200,3.30708700
15.54096508,-6.29921200,3.30708700
15.60496508,-7.48031400,3.30708700
15.66896508,-9.44881800,3.22834600
15.73296507,-6.69291300,3.30708700
15.79696507,-8.66141700,3.30708700
15.86096507,-12.59842000,3.30708700
15.92496507,-8.66141700,3.30708700
15.98896507,-9.05511800,3.30708700
16.05296506,-8.66141700,3.30708700
16.11696506,-10.62992000,3.30708700
16.18096506,-4.72440900,3.30708700
16.24496506,-12.99213000,3.30708700
16.30896506,-5.90551100,3.30708700
16.37296506,-9.05511800,3.30708700
16.43696505,-6.69291300,3.30708700
16.50096505,-11.41732000,3.30708700
16.56496505,-2.36220500,3.30708700
16.62896505,-6.29921200,3.22834600
16.69296505,-6.29921200,3.30708700
16.75696504,-3.93700800,3.30708700
16.82096504,-5.51181100,3.30708700
16.88496504,-8.26771600,3.30708700
16.94896504,-7.48031400,3.30708700
17.01296504,-3.93700800,3.30708700
17.07696504,-11.02362000,3.30708700
17.14096503,-3.54330700,3.30708700
17.20496503,-6.29921200,3.30708700
17.26896503,-7.48031400,3.30708700
17.33296503,-8.66141700,3.30708700
17.39696503,-1.18110200,3.30708700
17.46096502,-10.23622000,3.30708700
17.52496502,-5.11811000,3.30708700
17.58896502,-4.33070900,3.30708700
17.65296502,-5.51181100,3.30708700
17.71696502,-7.87401500,3.30708700
17.78096502,-2.36220500,3.30708700
17.84496501,-8.66141700,3.30708700
17.90896501,-8.66141700,3.30708700
17.97296501,-4.33070900,3.30708700
18.03696501,-7.48031400,3.30708700
18.10096501,-7.87401500,3.30708700
18.16496500,-8.66141700,3.30708700
18.22896500,-4.72440900,3.30708700
18.29296500,-11.41732000,3.30708700
18.35696500,-5.90551100,3.30708700
18.42096500,-11.02362000,3.30708700
18.48496500,-7.08661400,3.30708700
18.54896499,-12.59842000,3.22834600
18.61296499,-7.87401500,3.30708700
18.67696499,-9.44881800,3.30708700
18.74096499,-9.05511800,3.30708700
18.80496499,-8.26771600,3.30708700
18.86896498,-4.72440900,3.22834600
18.93296498,-9.84251900,3.30708700
18.99696498,-8.66141700,3.30708700
19.06096498,-3.14960600,3.22834600
19.12496498,-7.08661400,3.30708700
19.18896498,-6.29921200,3.30708700
19.25296497,-3.93700800,3.30708700
19.31696497,-3.93700800,3.22834600
19.38096497,-9.44881800,3.30708700
19.44496497,-1.18110200,3.30708700
19.50896497,-8.66141700,3.30708700
19.57296496,-8.26771600,3.30708700
19.63696496,-7.48031400,3.30708700
19.70096496,-0.78740150,3.30708700
19.76496496,-10.23622000,3.30708700
19.82896496,-2.75590500,3.30708700
19.89296496,-4.72440900,3.30708700
19.95696495,-7.87401500,3.30708700
20.02096495,-6.29921200,3.30708700
20.08496495,-3.14960600,3.30708700
20.14896495,-7.48031400,3.30708700
20.21296495,-6.69291300,3.30708700
20.27696495,0.39370070,3.30708700
20.34096494,-8.66141700,3.30708700
20.40496494,-6.29921200,3.30708700
20.46896494,-7.08661400,3.30708700
20.53296494,-5.51181100,3.30708700
20.59696494,-11.02362000,3.30708700
20.66096493,-3.14960600,3.30708700
20.72496493,-7.48031400,3.30708700
20.78896493,-6.29921200,3.30708700
20.85296493,-7.48031400,3.30708700
20.91696493,-4.33070900,3.30708700
20.98096493,-11.81102000,3.30708700
21.04496492,-9.05511800,3.30708700
21.10896492,-7.08661400,3.30708700
21.17296492,-9.44881800,3.30708700
21.23696492,-9.44881800,3.30708700
21.30096492,-6.69291300,3.30708700
21.36496491,-4.72440900,3.30708700
21.42896491,-10.62992000,3.22834600
21.49296491,-3.54330700,3.30708700
21.55696491,-9.05511800,3.30708700
21.62096491,-6.29921200,3.30708700
21.68496491,-8.66141700,3.30708700
21.74896490,-1.18110200,3.30708700
