Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-2.75590500,0.00000000
0.03680000,-7.08661400,3.14960600
0.10080000,-5.51181100,3.22834600
0.16480000,-4.33070900,3.22834600
0.22879999,-6.29921200,3.22834600
0.29279999,-6.69291300,3.22834600
0.35679999,-0.78740150,3.22834600
0.42079999,-6.29921200,3.22834600
0.48479999,-1.57480300,3.30708700
0.54879999,-3.14960600,3.22834600
0.61279998,0.39370070,3.22834600
0.67679998,-7.08661400,3.22834600
0.74079998,-1.18110200,3.30708700
0.80479998,-5.90551100,3.30708700
0.86879998,-5.11811000,3.30708700
0.93279997,-7.08661400,3.22834600
0.99679997,-1.96850400,3.22834600
1.06079997,-5.51181100,3.22834600
1.12479997,-6.69291300,3.22834600
1.18879997,-3.93700800,3.22834600
1.25279997,-5.11811000,3.22834600
1.31679996,-7.08661400,3.22834600
1.38079996,-4.33070900,3.22834600
1.44479996,-2.75590500,3.22834600
1.50879996,-7.48031400,3.22834600
1.57279996,-1.18110200,3.22834600
1.63679995,-3.14960600,3.30708700
1.70079995,-4.72440900,3.22834600
1.76479995,-4.33070900,3.22834600
1.82879995,2.75590500,3.22834600
1.89279995,-5.11811000,3.30708700
1.95679995,2.75590500,3.30708700
2.02079994,1.57480300,3.22834600
2.08479994,-0.39370070,3.30708700
2.14879994,-2.36220500,3.22834600
2.21279994,1.57480300,3.22834600
2.27679994,-5.11811000,3.22834600
2.34079993,-5.11811000,3.22834600
2.40479993,1.96850400,3.30708700
2.46879993,-3.93700800,3.22834600
2.53279993,-0.78740150,3.22834600
2.59679993,-0.78740150,3.22834600
2.66079993,0.78740150,3.22834600
2.72479992,-5.90551100,3.30708700
2.78879992,1.57480300,3.30708700
2.85279992,-3.54330700,3.22834600
2.91679992,-1.96850400,3.30708700
2.98079992,-0.78740150,3.22834600
3.04479991,2.75590500,3.22834600
3.10879991,-2.75590500,3.22834600
3.17279991,0.00000000,3.30708700
3.23679991,-0.39370070,3.30708700
3.30079991,-1.18110200,3.22834600
3.36479991,-3.14960600,3.22834600
3.42879990,-0.39370070,3.30708700
3.49279990,-2.36220500,3.30708700
3.55679990,-4.33070900,3.30708700
3.62079990,-1.96850400,3.30708700
3.68479990,-5.51181100,3.30708700
3.74879990,-4.72440900,3.22834600
3.81279989,-7.08661400,3.22834600
3.87679989,-1.57480300,3.22834600
3.94079989,-9.84251900,3.22834600
4.00479989,-1.57480300,3.22834600
4.06879989,-6.69291300,3.22834600
4.13279988,-3.54330700,3.22834600
4.19679988,-5.51181100,3.22834600
4.26079988,-2.36220500,3.30708700
4.32479988,-5.90551100,3.30708700
4.38879988,-3.93700800,3.22834600
4.45279988,-0.39370070,3.22834600
4.51679987,-2.75590500,3.22834600
4.58079987,-2.36220500,3.22834600
4.64479987,-0.39370070,3.22834600
4.70879987,-0.78740150,3.30708700
4.77279987,-4.72440900,3.30708700
4.83679986,-1.57480300,3.30708700
4.90079986,-5.51181100,3.30708700
4.96479986,-3.93700800,3.30708700
5.02879986,-5.51181100,3.30708700
5.09279986,0.00000000,3.30708700
5.15679986,-6.69291300,3.22834600
5.22079985,-1.57480300,3.30708700
5.28479985,-2.75590500,3.30708700
5.34879985,-2.36220500,3.30708700
5.41279985,-7.08661400,3.22834600
5.47679985,-0.78740150,3.30708700
5.54079984,-2.75590500,3.22834600
5.60479984,-3.54330700,3.30708700
5.66879984,0.00000000,3.30708700
5.73279984,-1.57480300,3.30708700
5.79679984,-4.33070900,3.30708700
5.86079984,-2.75590500,3.22834600
5.92479983,0.78740150,3.30708700
5.98879983,-7.08661400,3.30708700
6.05279983,0.78740150,3.30708700
6.11679983,-1.57480300,3.30708700
6.18079983,-4.33070900,3.30708700
6.24479982,-7.08661400,3.30708700
6.30879982,-1.18110200,3.30708700
6.37279982,-9.05511800,3.30708700
6.43679982,-4.72440900,3.22834600
6.50079982,-3.54330700,3.30708700
6.56479982,-6.29921200,3.30708700
6.62879981,-7.08661400,3.30708700
6.69279981,-1.96850400,3.22834600
6.75679981,-7.08661400,3.22834600
6.82079981,-6.29921200,3.30708700
6.88479981,-3.14960600,3.22834600
6.94879980,-5.11811000,3.30708700
7.01279980,-5.51181100,3.22834600
7.07679980,-2.75590500,3.30708700
7.14079980,0.78740150,3.30708700
7.20479980,-6.69291300,3.22834600
7.26879980,1.18110200,3.30708700
7.33279979,-3.14960600,3.30708700
7.39679979,-1.96850400,3.30708700
7.46079979,-5.51181100,3.30708700
7.52479979,0.00000000,3.30708700
7.58879979,-5.11811000,3.30708700
7.65279978,-4.33070900,3.30708700
7.71679978,-3.54330700,3.30708700
7.78079978,-1.96850400,3.30708700
7.84479978,-5.90551100,3.30708700
7.90879978,-3.54330700,3.30708700
7.97279978,-2.36220500,3.30708700
8.03679977,-5.90551100,3.30708700
8.10079977,-2.75590500,3.30708700
8.16479977,-1.57480300,3.30708700
8.22879977,-1.57480300,3.30708700
8.29279977,-5.51181100,3.30708700
8.35679976,1.96850400,3.30708700
8.42079976,-6.29921200,3.30708700
8.48479976,-3.14960600,3.30708700
8.54879976,-2.75590500,3.30708700
8.61279976,1.57480300,3.22834600
8.67679976,-4.72440900,3.30708700
8.74079975,1.96850400,3.30708700
8.80479975,-3.93700800,3.30708700
8.86879975,-6.69291300,3.30708700
8.93279975,-5.51181100,3.30708700
8.99679975,-5.11811000,3.30708700
9.06079974,-6.69291300,3.30708700
9.12479974,-6.69291300,3.30708700
9.18879974,-0.78740150,3.30708700
9.25279974,-6.29921200,3.22834600
9.31679974,-1.57480300,3.30708700
9.38079974,-3.54330700,3.30708700
9.44479973,-1.96850400,3.30708700
9.50879973,-6.69291300,3.30708700
9.57279973,0.78740150,3.22834600
9.63679973,-3.54330700,3.22834600
9.70079973,-1.96850400,3.30708700
9.76479972,0.39370070,3.30708700
9.82879972,3.14960600,3.30708700
9.89279972,-3.93700800,3.30708700
9.95679972,1.57480300,3.30708700
10.02079972,0.39370070,3.30708700
10.08479972,-1.18110200,3.30708700
10.14879971,0.00000000,3.30708700
10.21279971,1.18110200,3.30708700
10.27679971,-2.36220500,3.30708700
10.34079971,-4.33070900,3.30708700
10.40479971,2.36220500,3.30708700
10.46879970,-7.08661400,3.30708700
10.53279970,-2.75590500,3.30708700
10.59679970,-2.75590500,3.30708700
10.66079970,0.00000000,3.30708700
10.72479970,-5.11811000,3.30708700
10.78879970,2.75590500,3.30708700
10.85279969,-2.75590500,3.30708700
10.91679969,-1.96850400,3.30708700
10.98079969,-1.57480300,3.30708700
11.04479969,-0.78740150,3.30708700
11.10879969,-3.14960600,3.30708700
11.17279969,1.18110200,3.30708700
11.23679968,1.96850400,3.30708700
11.30079968,-1.18110200,3.30708700
11.36479968,1.18110200,3.30708700
11.42879968,-1.18110200,3.30708700
11.49279968,-1.57480300,3.30708700
11.55679967,-5.51181100,3.30708700
11.62079967,-1.96850400,3.30708700
11.68479967,-5.90551100,3.30708700
11.74879967,-1.57480300,3.30708700
11.81279967,-5.51181100,3.30708700
11.87679967,-1.96850400,3.30708700
11.94079966,-8.26771600,3.22834600
12.00479966,-3.14960600,3.22834600
12.06879966,-5.90551100,3.22834600
12.13279966,-3.93700800,3.22834600
12.19679966,-5.51181100,3.30708700
12.26079965,-1.96850400,3.22834600
12.32479965,-3.54330700,3.30708700
12.38879965,-4.33070900,3.30708700
12.45279965,0.00000000,3.30708700
12.51679965,-3.93700800,3.30708700
12.58079965,-2.75590500,3.22834600
12.64479964,-0.78740150,3.30708700
12.70879964,1.18110200,3.30708700
12.77279964,-5.90551100,3.30708700
12.83679964,1.18110200,3.30708700
12.90079964,-3.54330700,3.30708700
12.96479963,-5.90551100,3.30708700
13.02879963,-6.69291300,3.30708700
13.09279963,-2.75590500,3.30708700
13.15679963,-10.23622000,3.30708700
13.22079963,-3.54330700,3.30708700
13.28479963,-3.93700800,3.30708700
13.34879962,-7.08661400,3.30708700
13.41279962,-6.29921200,3.30708700
13.47679962,-1.96850400,3.30708700
13.54079962,-8.26771600,3.30708700
13.60479962,-7.48031400,3.30708700
13.66879961,-2.75590500,3.30708700
13.73279961,-7.08661400,3.30708700
13.79679961,-3.54330700,3.30708700
13.86079961,-5.11811000,3.30708700
13.92479961,-2.36220500,3.30708700
13.98879961,-10.23622000,3.30708700
14.05279960,-2.36220500,3.30708700
14.11679960,-8.66141700,3.30708700
14.18079960,-7.48031400,3.30708700
14.24479960,-7.87401500,3.30708700
14.30879960,-3.14960600,3.30708700
14.37279959,-8.66141700,3.30708700
14.43679959,-7.08661400,3.30708700
14.50079959,-6.69291300,3.30708700
14.56479959,-10.62992000,3.30708700
14.62879959,-10.23622000,3.30708700
14.69279959,-8.26771600,3.30708700
14.75679958,-8.66141700,3.30708700
14.82079958,-10.62992000,3.30708700
14.88479958,-2.75590500,3.30708700
14.94879958,-7.48031400,3.30708700
15.01279958,-8.26771600,3.30708700
15.07679957,-6.29921200,3.30708700
15.14079957,-1.18110200,3.22834600
15.20479957,-11.81102000,3.30708700
15.26879957,-1.18110200,3.30708700
15.33279957,-5.51181100,3.30708700
15.39679957,-3.93700800,3.30708700
15.46079956,-5.51181100,3.30708700
15.52479956,-2.36220500,3.30708700
15.58879956,-9.44881800,3.30708700
15.65279956,-7.87401500,3.30708700
15.71679956,-5.90551100,3.30708700
15.78079955,-7.87401500,3.30708700
15.84479955,-7.87401500,3.30708700
15.90879955,-7.48031400,3.30708700
15.97279955,-4.33070900,3.30708700
16.03679955,-10.23622000,3.30708700
16.10079955,-5.51181100,3.30708700
16.16479954,-7.08661400,3.30708700
16.22879954,-8.26771600,3.30708700
16.29279954,-8.66141700,3.30708700
16.35679954,-2.75590500,3.30708700
16.42079954,-8.66141700,3.30708700
16.48479953,-5.11811000,3.30708700
16.54879953,-4.33070900,3.30708700
16.61279953,-0.78740150,3.30708700
16.67679953,-7.87401500,3.30708700
16.74079953,-0.78740150,3.30708700
16.80479953,-4.33070900,3.30708700
16.86879952,-7.08661400,3.30708700
16.93279952,-4.33070900,3.30708700
16.99679952,-5.51181100,3.30708700
17.06079952,-11.81102000,3.30708700
17.12479952,-11.81102000,3.30708700
17.18879951,-5.11811000,3.30708700
17.25279951,-13.77953000,3.30708700
17.31679951,-4.33070900,3.30708700
17.38079951,-3.14960600,3.30708700
17.44479951,-6.29921200,3.30708700
17.50879951,-9.05511800,3.30708700
17.57279950,-4.33070900,3.22834600
17.63679950,-11.41732000,3.30708700
17.70079950,-8.26771600,3.30708700
17.76479950,-4.72440900,3.30708700
17.82879950,-6.29921200,3.30708700
17.89279949,-9.84251900,3.30708700
17.95679949,0.00000000,3.30708700
18.02079949,-5.90551100,3.30708700
18.08479949,-7.48031400,3.30708700
18.14879949,-5.11811000,3.30708700
18.21279949,-7.08661400,3.30708700
18.27679948,-9.05511800,3.30708700
18.34079948,-7.87401500,3.30708700
18.40479948,-4.72440900,3.30708700
18.46879948,-10.62992000,3.30708700
18.53279948,-3.93700800,3.30708700
18.59679948,-9.05511800,3.30708700
18.66079947,-5.90551100,3.30708700
18.72479947,-12.99213000,3.30708700
18.78879947,0.39370070,3.30708700
18.85279947,-8.66141700,3.30708700
18.91679947,-4.72440900,3.30708700
18.98079946,-4.72440900,3.30708700
19.04479946,-2.75590500,3.30708700
19.10879946,-5.90551100,3.30708700
19.17279946,-5.11811000,3.30708700
19.23679946,-3.93700800,3.30708700
19.30079946,-6.29921200,3.30708700
19.36479945,-2.75590500,3.30708700
19.42879945,-2.75590500,3.30708700
19.49279945,-4.33070900,3.30708700
19.55679945,-8.26771600,3.30708700
19.62079945,-3.93700800,3.30708700
19.68479944,-9.84251900,3.30708700
19.74879944,-7.48031400,3.30708700
19.81279944,-7.87401500,3.30708700
19.87679944,-7.08661400,3.30708700
19.94079944,-11.02362000,3.30708700
20.00479944,-3.54330700,3.30708700
20.06879943,-11.02362000,3.30708700
20.13279943,-8.26771600,3.30708700
20.19679943,-9.84251900,3.30708700
20.26079943,-7.48031400,3.30708700
20.32479943,-11.81102000,3.30708700
20.38879942,-8.26771600,3.30708700
20.45279942,-3.93700800,3.30708700
20.51679942,-6.69291300,3.30708700
20.58079942,-4.72440900,3.30708700
20.64479942,-6.29921200,3.30708700
20.70879942,-6.29921200,3.22834600
20.77279941,-11.02362000,3.30708700
20.83679941,-2.36220500,3.30708700
20.90079941,-9.44881800,3.30708700
20.96479941,-7.48031400,3.30708700
21.02879941,-7.48031400,3.30708700
21.09279940,-5.51181100,3.30708700
21.15679940,-12.59842000,3.30708700
21.22079940,-5.90551100,3.30708700
21.28479940,-7.87401500,3.30708700
21.34879940,-6.69291300,3.30708700
21.41279940,-6.69291300,3.30708700
21.47679939,-1.96850400,3.30708700
21.54079939,-7.48031400,3.30708700
21.60479939,-3.14960600,3.30708700
21.66879939,-2.36220500,3.30708700
21.73279939,-9.05511800,3.30708700
