Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-2.75590500,0.07874016
0.03705263,-10.23622000,3.07086600
0.10105263,-5.11811000,3.22834600
0.16505263,-8.66141700,3.22834600
0.22905263,-4.33070900,3.22834600
0.29305262,-9.05511800,3.22834600
0.35705262,-5.90551100,3.22834600
0.42105262,-6.69291300,3.22834600
0.48505262,-5.51181100,3.30708700
0.54905262,-5.11811000,3.22834600
0.61305261,-3.54330700,3.22834600
0.67705261,-1.57480300,3.30708700
0.74105261,-7.08661400,3.30708700
0.80505261,-0.78740150,3.22834600
0.86905261,-4.33070900,3.30708700
0.93305261,-3.14960600,3.30708700
0.99705260,-5.51181100,3.30708700
1.06105260,1.18110200,3.22834600
1.12505260,-7.48031400,3.30708700
1.18905260,-2.36220500,3.22834600
1.25305260,-4.72440900,3.30708700
1.31705259,-6.69291300,3.22834600
1.38105259,-7.08661400,3.22834600
1.44505259,-2.36220500,3.22834600
1.50905259,-6.69291300,3.22834600
1.57305259,-6.29921200,3.22834600
1.63705259,-1.96850400,3.22834600
1.70105258,-4.33070900,3.22834600
1.76505258,-6.69291300,3.22834600
1.82905258,-2.75590500,3.22834600
1.89305258,-2.36220500,3.22834600
1.95705258,-5.51181100,3.22834600
2.02105257,2.36220500,3.22834600
2.08505257,-2.36220500,3.22834600
2.14905257,1.18110200,3.22834600
2.21305257,-1.57480300,3.22834600
2.27705257,4.33070900,3.22834600
2.34105257,-5.90551100,3.22834600
2.40505256,0.00000000,3.22834600
2.46905256,-2.36220500,3.22834600
2.53305256,-1.57480300,3.30708700
2.59705256,-3.54330700,3.30708700
2.66105256,0.78740150,3.30708700
2.72505255,-3.54330700,3.22834600
2.78905255,-4.72440900,3.30708700
2.85305255,-0.78740150,3.30708700
2.91705255,-4.72440900,3.30708700
2.98105255,-4.33070900,3.22834600
3.04505255,-1.57480300,3.30708700
3.10905254,1.96850400,3.30708700
3.17305254,-5.51181100,3.22834600
3.23705254,1.18110200,3.22834600
3.30105254,-2.75590500,3.30708700
3.36505254,-2.75590500,3.22834600
3.42905254,-3.54330700,3.30708700
3.49305253,2.36220500,3.30708700
3.55705253,-5.11811000,3.30708700
3.62105253,1.18110200,3.30708700
3.68505253,-0.39370070,3.30708700
3.74905253,-3.14960600,3.30708700
3.81305252,-5.90551100,3.30708700
3.87705252,-2.75590500,3.30708700
3.94105252,-5.51181100,3.30708700
4.00505252,-7.08661400,3.30708700
4.06905252,-2.36220500,3.30708700
4.13305252,-7.08661400,3.30708700
4.19705251,-3.14960600,3.30708700
4.26105251,-6.69291300,3.22834600
4.32505251,-2.36220500,3.22834600
4.38905251,-10.62992000,3.22834600
4.45305251,-3.54330700,3.30708700
4.51705250,-5.90551100,3.22834600
4.58105250,-3.14960600,3.30708700
4.64505250,-5.90551100,3.30708700
4.70905250,0.00000000,3.30708700
4.77305250,-3.54330700,3.22834600
4.83705250,-4.33070900,3.22834600
4.90105249,-2.36220500,3.30708700
4.96505249,-1.18110200,3.30708700
5.02905249,-5.51181100,3.30708700
5.09305249,-2.75590500,3.30708700
5.15705249,0.39370070,3.22834600
5.22105248,-7.08661400,3.22834600
5.28505248,-2.75590500,3.30708700
5.34905248,-2.36220500,3.22834600
5.41305248,-5.11811000,3.30708700
5.47705248,-9.44881800,3.30708700
5.54105248,0.39370070,3.30708700
5.60505247,-7.48031400,3.30708700
5.66905247,-2.75590500,3.30708700
5.73305247,-1.96850400,3.22834600
5.79705247,-1.57480300,3.30708700
5.86105247,-7.08661400,3.30708700
5.92505246,0.00000000,3.30708700
5.98905246,-5.11811000,3.30708700
6.05305246,-6.29921200,3.30708700
6.11705246,0.00000000,3.30708700
6.18105246,-0.78740150,3.30708700
6.24505246,-3.54330700,3.30708700
6.30905245,-1.18110200,3.30708700
6.37305245,0.00000000,3.30708700
6.43705245,-7.87401500,3.30708700
6.50105245,-3.14960600,3.30708700
6.56505245,-3.93700800,3.30708700
6.62905244,-5.11811000,3.30708700
6.69305244,-7.48031400,3.30708700
6.75705244,0.39370070,3.30708700
6.82105244,-8.26771600,3.30708700
6.88505244,-5.51181100,3.30708700
6.94905244,-6.29921200,3.30708700
7.01305243,-0.39370070,3.30708700
7.07705243,-10.23622000,3.30708700
7.14105243,-3.14960600,3.30708700
7.20505243,-4.33070900,3.30708700
7.26905243,-2.36220500,3.30708700
7.33305242,-2.75590500,3.30708700
7.39705242,-2.36220500,3.30708700
7.46105242,-5.51181100,3.22834600
7.52505242,-7.48031400,3.30708700
7.58905242,1.57480300,3.30708700
7.65305242,-5.90551100,3.30708700
7.71705241,-0.78740150,3.30708700
7.78105241,-2.36220500,3.30708700
7.84505241,-2.36220500,3.30708700
7.90905241,-7.08661400,3.30708700
7.97305241,-1.57480300,3.30708700
8.03705240,-7.48031400,3.30708700
8.10105240,-7.87401500,3.30708700
8.16505240,-4.72440900,3.22834600
8.22905240,-1.96850400,3.30708700
8.29305240,-6.29921200,3.30708700
8.35705240,-2.36220500,3.30708700
8.42105239,-3.93700800,3.30708700
8.48505239,-5.51181100,3.30708700
8.54905239,-5.51181100,3.30708700
8.61305239,-5.90551100,3.30708700
8.67705239,-1.18110200,3.30708700
8.74105238,-4.33070900,3.30708700
8.80505238,0.78740150,3.30708700
8.86905238,-4.33070900,3.30708700
8.93305238,-2.36220500,3.30708700
8.99705238,-6.29921200,3.30708700
9.06105238,0.00000000,3.30708700
9.12505237,-8.66141700,3.30708700
9.18905237,-3.14960600,3.30708700
9.25305237,-5.11811000,3.30708700
9.31705237,-3.93700800,3.30708700
9.38105237,-5.11811000,3.30708700
9.44505236,-1.18110200,3.30708700
9.50905236,-5.90551100,3.30708700
9.57305236,-5.90551100,3.30708700
9.63705236,0.78740150,3.30708700
9.70105236,-4.33070900,3.22834600
9.76505236,-3.54330700,3.30708700
9.82905235,1.18110200,3.22834600
9.89305235,-0.78740150,3.30708700
9.95705235,-7.08661400,3.30708700
10.02105235,0.78740150,3.22834600
10.08505235,-4.33070900,3.30708700
10.14905235,-1.57480300,3.30708700
10.21305234,-0.39370070,3.30708700
10.27705234,4.33070900,3.30708700
10.34105234,-5.51181100,3.30708700
10.40505234,2.75590500,3.30708700
10.46905234,-2.75590500,3.30708700
10.53305233,-3.93700800,3.30708700
10.59705233,-4.72440900,3.30708700
10.66105233,-1.96850400,3.30708700
10.72505233,-3.14960600,3.30708700
10.78905233,-4.33070900,3.30708700
10.85305233,-0.78740150,3.30708700
10.91705232,-5.11811000,3.30708700
10.98105232,-2.75590500,3.30708700
11.04505232,-5.11811000,3.30708700
11.10905232,-0.78740150,3.30708700
11.17305232,-5.11811000,3.30708700
11.23705231,1.18110200,3.30708700
11.30105231,-1.57480300,3.30708700
11.36505231,-0.78740150,3.30708700
11.42905231,-3.54330700,3.30708700
11.49305231,0.78740150,3.30708700
11.55705231,-3.93700800,3.30708700
11.62105230,-1.96850400,3.30708700
11.68505230,-1.57480300,3.30708700
11.74905230,-0.78740150,3.30708700
11.81305230,-3.93700800,3.30708700
11.87705230,-1.57480300,3.30708700
11.94105229,-4.33070900,3.30708700
12.00505229,-7.87401500,3.30708700
12.06905229,-3.54330700,3.30708700
12.13305229,-6.69291300,3.30708700
12.19705229,-5.90551100,3.30708700
12.26105229,-7.48031400,3.30708700
12.32505228,-1.18110200,3.30708700
12.38905228,-8.26771600,3.30708700
12.45305228,-3.14960600,3.22834600
12.51705228,-5.11811000,3.30708700
12.58105228,-4.33070900,3.30708700
12.64505227,-7.48031400,3.22834600
12.70905227,-0.78740150,3.30708700
12.77305227,-3.54330700,3.30708700
12.83705227,-5.90551100,3.30708700
12.90105227,-1.96850400,3.22834600
12.96505227,-2.36220500,3.30708700
13.02905226,-6.29921200,3.30708700
13.09305226,-5.90551100,3.30708700
13.15705226,-3.54330700,3.30708700
13.22105226,-8.26771600,3.30708700
13.28505226,-5.51181100,3.30708700
13.34905225,-5.90551100,3.30708700
13.41305225,-6.69291300,3.30708700
13.47705225,-10.62992000,3.22834600
13.54105225,-3.54330700,3.30708700
13.60505225,-11.02362000,3.30708700
13.66905225,-9.05511800,3.30708700
13.73305224,-7.48031400,3.30708700
13.79705224,-3.54330700,3.30708700
13.86105224,-11.41732000,3.30708700
13.92505224,-2.36220500,3.30708700
13.98905224,-7.48031400,3.30708700
14.05305223,-10.23622000,3.30708700
14.11705223,-5.90551100,3.30708700
14.18105223,-5.51181100,3.30708700
14.24505223,-7.87401500,3.30708700
14.30905223,-5.11811000,3.30708700
14.37305223,-0.78740150,3.30708700
14.43705222,-9.05511800,3.30708700
14.50105222,-4.33070900,3.30708700
14.56505222,-7.08661400,3.30708700
14.62905222,-8.66141700,3.30708700
14.69305222,-11.41732000,3.30708700
14.75705221,-5.51181100,3.30708700
14.82105221,-11.41732000,3.30708700
14.88505221,-7.48031400,3.30708700
14.94905221,-7.87401500,3.30708700
15.01305221,-7.48031400,3.30708700
15.07705221,-11.81102000,3.22834600
15.14105220,-6.69291300,3.30708700
15.20505220,-8.66141700,3.30708700
15.26905220,-7.87401500,3.30708700
15.33305220,-8.66141700,3.30708700
15.39705220,-5.11811000,3.30708700
15.46105219,-5.90551100,3.30708700
15.52505219,-10.62992000,3.22834600
15.58905219,-3.14960600,3.30708700
15.65305219,-9.05511800,3.30708700
15.71705219,-7.48031400,3.30708700
15.78105219,-8.26771600,3.30708700
15.84505218,-2.75590500,3.22834600
15.90905218,-11.81102000,3.30708700
15.97305218,-5.51181100,3.30708700
16.03705218,-8.66141700,3.30708700
16.10105218,-9.05511800,3.30708700
16.16505217,-11.02362000,3.22834600
16.22905217,-6.69291300,3.30708700
16.29305217,-11.41732000,3.30708700
16.35705217,-10.23622000,3.30708700
16.42105217,-5.90551100,3.30708700
16.48505217,-8.26771600,3.30708700
16.54905216,-8.66141700,3.30708700
16.61305216,-4.33070900,3.30708700
16.67705216,-5.51181100,3.30708700
16.74105216,-9.84251900,3.30708700
16.80505216,-2.36220500,3.30708700
16.86905215,-4.72440900,3.30708700
16.93305215,-4.33070900,3.30708700
16.99705215,-6.29921200,3.30708700
17.06105215,-1.57480300,3.30708700
17.12505215,-11.02362000,3.30708700
17.18905215,-5.11811000,3.30708700
17.25305214,-8.66141700,3.30708700
17.31705214,-7.08661400,3.30708700
17.38105214,-10.23622000,3.30708700
17.44505214,-3.54330700,3.30708700
17.50905214,-8.66141700,3.30708700
17.57305214,-10.23622000,3.30708700
17.63705213,-6.29921200,3.30708700
17.70105213,-10.62992000,3.30708700
17.76505213,-10.23622000,3.30708700
17.82905213,-8.66141700,3.22834600
17.89305213,-5.90551100,3.30708700
17.95705212,-11.02362000,3.30708700
18.02105212,-5.90551100,3.22834600
18.08505212,-6.69291300,3.30708700
18.14905212,-7.87401500,3.30708700
18.21305212,-11.02362000,3.30708700
18.27705212,-2.36220500,3.30708700
18.34105211,-10.62992000,3.30708700
18.40505211,-5.51181100,3.30708700
18.46905211,-5.51181100,3.30708700
18.53305211,-5.90551100,3.30708700
18.59705211,-9.84251900,3.30708700
18.66105210,-5.90551100,3.30708700
18.72505210,-11.41732000,3.30708700
18.78905210,-10.23622000,3.30708700
18.85305210,-7.08661400,3.30708700
18.91705210,-8.26771600,3.30708700
18.98105210,-6.69291300,3.30708700
19.04505209,-8.66141700,3.30708700
19.10905209,-3.14960600,3.30708700
19.17305209,-8.66141700,3.30708700
19.23705209,-4.33070900,3.30708700
19.30105209,-8.26771600,3.30708700
19.36505208,-3.14960600,3.30708700
19.42905208,-7.48031400,3.30708700
19.49305208,-2.36220500,3.30708700
19.55705208,-5.90551100,3.30708700
19.62105208,-4.72440900,3.30708700
19.68505208,-5.90551100,3.30708700
19.74905207,-3.14960600,3.30708700
19.81305207,-7.87401500,3.30708700
19.87705207,-5.51181100,3.30708700
19.94105207,-3.54330700,3.30708700
20.00505207,-7.87401500,3.30708700
20.06905206,-6.69291300,3.30708700
20.13305206,-6.29921200,3.30708700
20.19705206,-9.44881800,3.30708700
20.26105206,-11.41732000,3.30708700
20.32505206,-5.11811000,3.30708700
20.38905206,-14.17323000,3.30708700
20.45305205,-7.87401500,3.30708700
20.51705205,-7.87401500,3.22834600
20.58105205,-5.90551100,3.30708700
20.64505205,-12.20472000,3.30708700
20.70905205,-5.11811000,3.30708700
20.77305204,-9.44881800,3.22834600
20.83705204,-8.66141700,3.30708700
20.90105204,-7.87401500,3.30708700
20.96505204,-4.33070900,3.30708700
21.02905204,-9.44881800,3.22834600
21.09305204,-5.90551100,3.30708700
21.15705203,-4.33070900,3.30708700
21.22105203,-10.23622000,3.30708700
21.28505203,-7.08661400,3.30708700
21.34905203,-6.69291300,3.30708700
21.41305203,-7.08661400,3.30708700
21.47705202,-8.26771600,3.30708700
21.54105202,-2.75590500,3.30708700
21.60505202,-8.26771600,3.30708700
21.66905202,-6.69291300,3.30708700
