Time,Channel A,Channel B
(us),(mV),(V)

-0.03103030,-3.93700800,0.07874016
0.03296970,13.38583000,2.67716500
0.09696969,-8.26771600,3.22834600
0.16096969,-2.36220500,3.22834600
0.22496969,-4.72440900,3.22834600
0.28896969,-6.69291300,3.22834600
0.35296969,-10.23622000,3.22834600
0.41696969,0.00000000,3.22834600
0.48096968,-11.41732000,3.22834600
0.54496968,-3.14960600,3.22834600
0.60896968,-4.33070900,3.22834600
0.67296968,-1.96850400,3.30708700
0.73696968,-6.69291300,3.30708700
0.80096967,1.18110200,3.22834600
0.86496967,-5.51181100,3.22834600
0.92896967,-5.90551100,3.22834600
0.99296967,-0.39370070,3.22834600
1.05696967,-3.54330700,3.22834600
1.12096967,-4.33070900,3.22834600
1.18496966,-2.36220500,3.22834600
1.24896966,0.00000000,3.22834600
1.31296966,-5.90551100,3.22834600
1.37696966,-0.39370070,3.22834600
1.44096966,-5.11811000,3.22834600
1.50496965,-3.14960600,3.22834600
1.56896965,-6.29921200,3.22834600
1.63296965,0.00000000,3.22834600
1.69696965,-7.48031400,3.22834600
1.76096965,-2.36220500,3.22834600
1.82496965,-5.90551100,3.22834600
1.88896964,-0.39370070,3.22834600
1.95296964,-6.69291300,3.22834600
2.01696964,0.00000000,3.22834600
2.08096964,-1.96850400,3.22834600
2.14496964,-1.18110200,3.22834600
2.20896963,-1.57480300,3.22834600
2.27296963,-0.78740150,3.22834600
2.33696963,-2.75590500,3.22834600
2.40096963,-4.33070900,3.22834600
2.46496963,2.75590500,3.22834600
2.52896963,-4.33070900,3.22834600
2.59296962,1.18110200,3.22834600
2.65696962,-0.39370070,3.30708700
2.72096962,2.36220500,3.22834600
2.78496962,-4.33070900,3.22834600
2.84896962,2.36220500,3.30708700
2.91296961,-5.90551100,3.22834600
2.97696961,-1.57480300,3.30708700
3.04096961,-2.75590500,3.30708700
3.10496961,0.78740150,3.30708700
3.16896961,-5.51181100,3.30708700
3.23296961,1.57480300,3.30708700
3.29696960,-1.57480300,3.22834600
3.36096960,-2.75590500,3.22834600
3.42496960,-1.57480300,3.22834600
3.48896960,-0.39370070,3.22834600
3.55296960,-0.39370070,3.30708700
3.61696959,-2.75590500,3.22834600
3.68096959,2.75590500,3.22834600
3.74496959,-4.33070900,3.30708700
3.80896959,-0.39370070,3.22834600
3.87296959,-3.14960600,3.22834600
3.93696959,1.57480300,3.22834600
4.00096958,-8.26771600,3.22834600
4.06496958,2.75590500,3.30708700
4.12896958,-3.14960600,3.22834600
4.19296958,-3.14960600,3.30708700
4.25696958,-5.11811000,3.22834600
4.32096957,0.00000000,3.22834600
4.38496957,-7.48031400,3.22834600
4.44896957,-4.33070900,3.22834600
4.51296957,-2.36220500,3.22834600
4.57696957,-7.08661400,3.22834600
4.64096957,-3.54330700,3.22834600
4.70496956,1.18110200,3.22834600
4.76896956,-2.36220500,3.22834600
4.83296956,-7.48031400,3.22834600
4.89696956,1.96850400,3.22834600
4.96096956,-6.69291300,3.22834600
5.02496955,-3.93700800,3.22834600
5.08896955,-3.14960600,3.30708700
5.15296955,0.78740150,3.22834600
5.21696955,-7.08661400,3.30708700
5.28096955,4.33070900,3.22834600
5.34496955,-3.54330700,3.22834600
5.40896954,-2.36220500,3.30708700
5.47296954,-4.33070900,3.22834600
5.53696954,0.00000000,3.30708700
5.60096954,-6.29921200,3.22834600
5.66496954,-1.96850400,3.30708700
5.72896953,-1.18110200,3.22834600
5.79296953,-4.72440900,3.22834600
5.85696953,-2.36220500,3.30708700
5.92096953,-3.93700800,3.22834600
5.98496953,-2.75590500,3.22834600
6.04896953,-5.90551100,3.22834600
6.11296952,1.18110200,3.30708700
6.17696952,-2.36220500,3.30708700
6.24096952,-0.78740150,3.30708700
6.30496952,-4.33070900,3.30708700
6.36896952,1.96850400,3.22834600
6.43296951,-6.29921200,3.22834600
6.49696951,-1.18110200,3.30708700
6.56096951,-3.14960600,3.22834600
6.62496951,-0.39370070,3.30708700
6.68896951,-5.90551100,3.22834600
6.75296951,1.96850400,3.30708700
6.81696950,-4.33070900,3.30708700
6.88096950,-5.51181100,3.30708700
6.94496950,-2.36220500,3.30708700
7.00896950,-4.33070900,3.30708700
7.07296950,-6.69291300,3.30708700
7.13696950,-5.51181100,3.30708700
7.20096949,-0.39370070,3.30708700
7.26496949,-8.26771600,3.22834600
7.32896949,-0.39370070,3.22834600
7.39296949,-4.33070900,3.22834600
7.45696949,-3.93700800,3.22834600
7.52096948,-7.08661400,3.30708700
7.58496948,0.39370070,3.22834600
7.64896948,-7.87401500,3.30708700
7.71296948,-1.57480300,3.30708700
7.77696948,-1.96850400,3.22834600
7.84096948,0.00000000,3.22834600
7.90496947,-5.90551100,3.22834600
7.96896947,0.00000000,3.22834600
8.03296947,-2.75590500,3.22834600
8.09696947,-3.54330700,3.22834600
8.16096947,-2.75590500,3.30708700
8.22496946,-1.18110200,3.22834600
8.28896946,-4.33070900,3.30708700
8.35296946,-3.54330700,3.30708700
8.41696946,0.39370070,3.30708700
8.48096946,-8.66141700,3.30708700
8.54496946,-2.75590500,3.30708700
8.60896945,-4.72440900,3.30708700
8.67296945,-1.18110200,3.30708700
8.73696945,-7.48031400,3.22834600
8.80096945,4.33070900,3.30708700
8.86496945,-5.90551100,3.30708700
8.92896944,-1.96850400,3.30708700
8.99296944,-2.75590500,3.22834600
9.05696944,-2.36220500,3.30708700
9.12096944,-8.26771600,3.30708700
9.18496944,0.39370070,3.30708700
9.24896944,-1.18110200,3.30708700
9.31296943,-4.72440900,3.30708700
9.37696943,0.00000000,3.30708700
9.44096943,-1.18110200,3.30708700
9.50496943,-3.93700800,3.30708700
9.56896943,-3.54330700,3.30708700
9.63296942,-0.78740150,3.30708700
9.69696942,-7.48031400,3.30708700
9.76096942,0.39370070,3.30708700
9.82496942,-3.14960600,3.30708700
9.88896942,-0.39370070,3.30708700
9.95296942,-6.69291300,3.30708700
10.01696941,1.96850400,3.30708700
10.08096941,-5.90551100,3.30708700
10.14496941,-0.39370070,3.30708700
10.20896941,-3.54330700,3.30708700
10.27296941,0.00000000,3.22834600
10.33696940,-2.75590500,3.30708700
10.40096940,-0.78740150,3.22834600
10.46496940,-1.18110200,3.30708700
10.52896940,-3.14960600,3.22834600
10.59296940,-1.57480300,3.22834600
10.65696940,-2.36220500,3.30708700
10.72096939,0.00000000,3.30708700
10.78496939,-4.33070900,3.30708700
10.84896939,2.75590500,3.22834600
10.91296939,-3.93700800,3.30708700
10.97696939,-2.36220500,3.30708700
11.04096938,-4.33070900,3.30708700
11.10496938,-0.39370070,3.30708700
11.16896938,-7.08661400,3.30708700
11.23296938,1.57480300,3.30708700
11.29696938,-3.54330700,3.30708700
11.36096938,-1.96850400,3.30708700
11.42496937,-2.36220500,3.22834600
11.48896937,2.75590500,3.30708700
11.55296937,-5.90551100,3.30708700
11.61696937,-1.96850400,3.22834600
11.68096937,0.39370070,3.30708700
11.74496936,-4.72440900,3.30708700
11.80896936,-1.18110200,3.30708700
11.87296936,-1.18110200,3.30708700
11.93696936,-0.78740150,3.22834600
12.00096936,-6.29921200,3.22834600
12.06496936,3.14960600,3.30708700
12.12896935,-7.08661400,3.30708700
12.19296935,-2.75590500,3.30708700
12.25696935,-4.33070900,3.30708700
12.32096935,0.39370070,3.30708700
12.38496935,-8.66141700,3.30708700
12.44896934,-1.57480300,3.30708700
12.51296934,-4.33070900,3.30708700
12.57696934,-4.72440900,3.30708700
12.64096934,-6.69291300,3.22834600
12.70496934,-1.57480300,3.30708700
12.76896934,-6.69291300,3.22834600
12.83296933,-4.33070900,3.30708700
12.89696933,0.00000000,3.22834600
12.96096933,-6.69291300,3.22834600
13.02496933,-5.90551100,3.30708700
13.08896933,-3.93700800,3.22834600
13.15296932,-4.72440900,3.22834600
13.21696932,-10.23622000,3.30708700
13.28096932,0.39370070,3.22834600
13.34496932,-6.29921200,3.22834600
13.40896932,-3.54330700,3.22834600
13.47296932,-5.51181100,3.30708700
13.53696931,-1.18110200,3.22834600
13.60096931,-12.59842000,3.30708700
13.66496931,-3.93700800,3.30708700
13.72896931,-5.51181100,3.30708700
13.79296931,-7.87401500,3.30708700
13.85696931,-7.87401500,3.22834600
13.92096930,-3.54330700,3.22834600
13.98496930,-8.66141700,3.30708700
14.04896930,-8.26771600,3.30708700
14.11296930,-4.33070900,3.30708700
14.17696930,-9.44881800,3.30708700
14.24096929,-5.90551100,3.22834600
14.30496929,-5.51181100,3.30708700
14.36896929,-3.93700800,3.22834600
14.43296929,-9.05511800,3.30708700
14.49696929,-1.96850400,3.30708700
14.56096929,-7.48031400,3.30708700
14.62496928,-4.33070900,3.30708700
14.68896928,-10.62992000,3.30708700
14.75296928,-2.36220500,3.30708700
14.81696928,-9.05511800,3.30708700
14.88096928,-4.72440900,3.30708700
14.94496927,-6.69291300,3.30708700
15.00896927,-5.51181100,3.30708700
15.07296927,-10.62992000,3.30708700
15.13696927,-6.69291300,3.30708700
15.20096927,-6.29921200,3.22834600
15.26496927,-11.81102000,3.30708700
15.32896926,-5.11811000,3.30708700
15.39296926,-5.90551100,3.22834600
15.45696926,-7.87401500,3.22834600
15.52096926,-9.05511800,3.30708700
15.58496926,-1.96850400,3.30708700
15.64896925,-13.38583000,3.22834600
15.71296925,-5.11811000,3.22834600
15.77696925,-6.69291300,3.22834600
15.84096925,-7.87401500,3.22834600
15.90496925,-9.44881800,3.30708700
15.96896925,0.00000000,3.30708700
16.03296924,-9.05511800,3.30708700
16.09696924,-7.08661400,3.30708700
16.16096924,-6.69291300,3.22834600
16.22496924,-7.08661400,3.30708700
16.28896924,-10.23622000,3.30708700
16.35296923,-4.72440900,3.30708700
16.41696923,-6.69291300,3.30708700
16.48096923,-8.26771600,3.30708700
16.54496923,-3.93700800,3.30708700
16.60896923,-7.87401500,3.30708700
16.67296923,-7.08661400,3.30708700
16.73696922,-9.05511800,3.30708700
16.80096922,-1.18110200,3.22834600
16.86496922,-9.84251900,3.30708700
16.92896922,-1.57480300,3.30708700
16.99296922,-6.29921200,3.30708700
17.05696921,-4.72440900,3.30708700
17.12096921,-11.41732000,3.30708700
17.18496921,-2.75590500,3.30708700
17.24896921,-9.05511800,3.30708700
17.31296921,-5.90551100,3.30708700
17.37696921,-3.54330700,3.30708700
17.44096920,-3.54330700,3.30708700
17.50496920,-7.48031400,3.22834600
17.56896920,-3.54330700,3.30708700
17.63296920,-3.14960600,3.30708700
17.69696920,-10.23622000,3.30708700
17.76096919,-6.69291300,3.30708700
17.82496919,-7.87401500,3.30708700
17.88896919,-9.05511800,3.30708700
17.95296919,-9.05511800,3.30708700
18.01696919,-2.36220500,3.22834600
18.08096919,-13.38583000,3.22834600
18.14496918,-3.54330700,3.30708700
18.20896918,-9.05511800,3.22834600
18.27296918,-5.11811000,3.22834600
18.33696918,-13.38583000,3.30708700
18.40096918,-2.75590500,3.22834600
18.46496917,-8.26771600,3.22834600
18.52896917,-7.87401500,3.22834600
18.59296917,-5.51181100,3.30708700
18.65696917,-7.48031400,3.22834600
18.72096917,-9.84251900,3.30708700
18.78496917,-6.69291300,3.30708700
18.84896916,-5.11811000,3.30708700
18.91296916,-10.23622000,3.30708700
18.97696916,-3.14960600,3.30708700
19.04096916,-1.96850400,3.30708700
19.10496916,-4.33070900,3.30708700
19.16896915,-9.84251900,3.30708700
19.23296915,-3.14960600,3.30708700
19.29696915,-10.23622000,3.30708700
19.36096915,-3.93700800,3.30708700
19.42496915,-7.08661400,3.22834600
19.48896915,-1.57480300,3.30708700
19.55296914,-7.87401500,3.30708700
19.61696914,-0.78740150,3.30708700
19.68096914,-6.69291300,3.30708700
19.74496914,-7.87401500,3.30708700
19.80896914,-7.08661400,3.30708700
19.87296913,-2.36220500,3.30708700
19.93696913,-5.51181100,3.30708700
20.00096913,-6.29921200,3.30708700
20.06496913,0.00000000,3.30708700
20.12896913,-9.44881800,3.30708700
20.19296913,-5.90551100,3.30708700
20.25696912,-6.29921200,3.30708700
20.32096912,-5.51181100,3.30708700
20.38496912,-13.38583000,3.30708700
20.44896912,-0.78740150,3.30708700
20.51296912,-9.05511800,3.30708700
20.57696911,-7.08661400,3.30708700
20.64096911,-7.48031400,3.22834600
20.70496911,-5.11811000,3.30708700
20.76896911,-12.99213000,3.30708700
20.83296911,-4.33070900,3.30708700
20.89696911,-9.05511800,3.22834600
20.96096910,-9.44881800,3.30708700
21.02496910,-8.66141700,3.22834600
21.08896910,-3.93700800,3.30708700
21.15296910,-9.84251900,3.22834600
21.21696910,-7.87401500,3.30708700
21.28096910,-3.14960600,3.30708700
21.34496909,-9.44881800,3.22834600
21.40896909,-3.93700800,3.30708700
21.47296909,-5.11811000,3.30708700
21.53696909,-1.96850400,3.30708700
21.60096909,-9.44881800,3.30708700
21.66496908,0.00000000,3.30708700
21.72896908,-8.26771600,3.30708700
