Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-1.96850400,0.00000000
0.03610256,1.18110200,3.07086600
0.10010256,-6.69291300,3.22834600
0.16410256,-3.93700800,3.22834600
0.22810256,-0.39370070,3.22834600
0.29210256,-10.23622000,3.22834600
0.35610255,-1.96850400,3.22834600
0.42010255,-7.48031400,3.22834600
0.48410255,-7.08661400,3.22834600
0.54810255,-7.48031400,3.22834600
0.61210255,1.18110200,3.30708700
0.67610255,-5.51181100,3.22834600
0.74010254,-3.54330700,3.22834600
0.80410254,-1.96850400,3.22834600
0.86810254,-5.11811000,3.22834600
0.93210254,-6.29921200,3.22834600
0.99610254,-7.87401500,3.22834600
1.06010254,-3.14960600,3.22834600
1.12410253,-10.23622000,3.22834600
1.18810253,-2.36220500,3.22834600
1.25210253,-7.87401500,3.22834600
1.31610253,-8.66141700,3.22834600
1.38010253,-9.05511800,3.22834600
1.44410252,-2.36220500,3.22834600
1.50810252,-8.26771600,3.22834600
1.57210252,-4.72440900,3.22834600
1.63610252,-3.54330700,3.22834600
1.70010252,-1.18110200,3.22834600
1.76410252,-5.51181100,3.22834600
1.82810251,0.00000000,3.22834600
1.89210251,-2.75590500,3.22834600
1.95610251,-4.33070900,3.22834600
2.02010251,-0.39370070,3.22834600
2.08410251,-1.18110200,3.22834600
2.14810250,-2.36220500,3.22834600
2.21210250,-2.36220500,3.22834600
2.27610250,3.14960600,3.22834600
2.34010250,-6.29921200,3.22834600
2.40410250,-0.39370070,3.30708700
2.46810250,-4.33070900,3.22834600
2.53210249,-1.18110200,3.22834600
2.59610249,-6.29921200,3.22834600
2.66010249,1.96850400,3.22834600
2.72410249,-3.54330700,3.22834600
2.78810249,-2.36220500,3.22834600
2.85210248,-0.39370070,3.22834600
2.91610248,0.39370070,3.22834600
2.98010248,-3.93700800,3.22834600
3.04410248,-1.57480300,3.30708700
3.10810248,1.96850400,3.22834600
3.17210248,-3.54330700,3.30708700
3.23610247,-0.39370070,3.30708700
3.30010247,1.57480300,3.30708700
3.36410247,0.00000000,3.22834600
3.42810247,-4.72440900,3.30708700
3.49210247,3.14960600,3.30708700
3.55610246,-5.90551100,3.22834600
3.62010246,-4.33070900,3.30708700
3.68410246,-2.75590500,3.30708700
3.74810246,0.00000000,3.30708700
3.81210246,-9.05511800,3.30708700
3.87610246,0.78740150,3.22834600
3.94010245,-5.11811000,3.22834600
4.00410245,-7.08661400,3.30708700
4.06810245,-5.51181100,3.22834600
4.13210245,-2.36220500,3.22834600
4.19610245,-5.11811000,3.22834600
4.26010244,-2.75590500,3.22834600
4.32410244,1.96850400,3.22834600
4.38810244,-6.69291300,3.22834600
4.45210244,-0.39370070,3.22834600
4.51610244,-1.96850400,3.22834600
4.58010244,-1.18110200,3.22834600
4.64410243,-5.11811000,3.22834600
4.70810243,2.75590500,3.22834600
4.77210243,-2.36220500,3.22834600
4.83610243,0.78740150,3.30708700
4.90010243,-1.96850400,3.30708700
4.96410242,-0.78740150,3.30708700
5.02810242,-7.08661400,3.30708700
5.09210242,-2.36220500,3.30708700
5.15610242,-3.54330700,3.30708700
5.22010242,-3.54330700,3.22834600
5.28410242,-3.54330700,3.22834600
5.34810241,-0.78740150,3.30708700
5.41210241,-2.36220500,3.30708700
5.47610241,-6.29921200,3.30708700
5.54010241,-0.39370070,3.30708700
5.60410241,-3.93700800,3.22834600
5.66810240,-1.96850400,3.22834600
5.73210240,-3.14960600,3.30708700
5.79610240,2.36220500,3.30708700
5.86010240,-6.29921200,3.30708700
5.92410240,1.18110200,3.30708700
5.98810240,-1.57480300,3.30708700
6.05210239,-2.36220500,3.30708700
6.11610239,-5.11811000,3.30708700
6.18010239,1.18110200,3.30708700
6.24410239,-4.72440900,3.30708700
6.30810239,-4.72440900,3.30708700
6.37210238,-1.96850400,3.30708700
6.43610238,-3.93700800,3.30708700
6.50010238,-6.29921200,3.30708700
6.56410238,-4.33070900,3.30708700
6.62810238,-5.51181100,3.30708700
6.69210238,-9.05511800,3.22834600
6.75610237,-2.75590500,3.30708700
6.82010237,-3.14960600,3.22834600
6.88410237,-3.14960600,3.22834600
6.94810237,-5.51181100,3.22834600
7.01210237,0.78740150,3.22834600
7.07610236,-6.69291300,3.30708700
7.14010236,-1.18110200,3.22834600
7.20410236,-2.75590500,3.22834600
7.26810236,0.00000000,3.22834600
7.33210236,-3.54330700,3.30708700
7.39610236,2.75590500,3.30708700
7.46010235,-1.96850400,3.22834600
7.52410235,-4.72440900,3.30708700
7.58810235,0.00000000,3.30708700
7.65210235,-3.93700800,3.30708700
7.71610235,-5.51181100,3.30708700
7.78010234,-3.14960600,3.30708700
7.84410234,0.00000000,3.30708700
7.90810234,-6.69291300,3.30708700
7.97210234,-0.39370070,3.30708700
8.03610234,-3.93700800,3.30708700
8.10010234,-5.51181100,3.30708700
8.16410233,-5.51181100,3.22834600
8.22810233,1.96850400,3.30708700
8.29210233,-6.69291300,3.22834600
8.35610233,0.39370070,3.30708700
8.42010233,-1.18110200,3.30708700
8.48410233,-0.78740150,3.30708700
8.54810232,-5.11811000,3.30708700
8.61210232,-0.39370070,3.30708700
8.67610232,-3.14960600,3.30708700
8.74010232,-3.14960600,3.30708700
8.80410232,-0.78740150,3.30708700
8.86810231,-3.54330700,3.30708700
8.93210231,-2.75590500,3.30708700
8.99610231,-6.29921200,3.30708700
9.06010231,-1.96850400,3.30708700
9.12410231,-8.66141700,3.30708700
9.18810231,-3.54330700,3.30708700
9.25210230,-6.29921200,3.30708700
9.31610230,-1.96850400,3.22834600
9.38010230,-7.87401500,3.30708700
9.44410230,-1.18110200,3.22834600
9.50810230,-3.93700800,3.22834600
9.57210229,-3.93700800,3.30708700
9.63610229,-2.36220500,3.30708700
9.70010229,-0.39370070,3.30708700
9.76410229,-4.33070900,3.30708700
9.82810229,-0.78740150,3.30708700
9.89210229,1.57480300,3.22834600
9.95610228,-1.96850400,3.22834600
10.02010228,0.00000000,3.30708700
10.08410228,1.18110200,3.30708700
10.14810228,-0.78740150,3.22834600
10.21210228,-5.11811000,3.30708700
10.27610227,3.93700800,3.22834600
10.34010227,-4.72440900,3.30708700
10.40410227,0.00000000,3.30708700
10.46810227,-2.36220500,3.30708700
10.53210227,0.39370070,3.30708700
10.59610227,-8.26771600,3.30708700
10.66010226,0.78740150,3.22834600
10.72410226,-3.14960600,3.30708700
10.78810226,-4.72440900,3.30708700
10.85210226,-1.96850400,3.22834600
10.91610226,1.18110200,3.30708700
10.98010225,-1.18110200,3.22834600
11.04410225,-1.96850400,3.30708700
11.10810225,1.96850400,3.22834600
11.17210225,-4.33070900,3.30708700
11.23610225,-1.57480300,3.30708700
11.30010225,-0.78740150,3.30708700
11.36410224,0.39370070,3.30708700
11.42810224,-5.11811000,3.30708700
11.49210224,2.75590500,3.30708700
11.55610224,-2.36220500,3.30708700
11.62010224,-3.54330700,3.30708700
11.68410223,-5.51181100,3.30708700
11.74810223,-0.78740150,3.30708700
11.81210223,-9.05511800,3.22834600
11.87610223,-2.36220500,3.30708700
11.94010223,-3.54330700,3.30708700
12.00410223,-5.90551100,3.30708700
12.06810222,-5.90551100,3.30708700
12.13210222,-3.54330700,3.22834600
12.19610222,-5.90551100,3.22834600
12.26010222,-7.48031400,3.22834600
12.32410222,-0.78740150,3.30708700
12.38810221,-5.11811000,3.30708700
12.45210221,-2.36220500,3.22834600
12.51610221,-2.75590500,3.30708700
12.58010221,0.39370070,3.22834600
12.64410221,-6.69291300,3.22834600
12.70810221,0.00000000,3.30708700
12.77210220,-3.93700800,3.22834600
12.83610220,-2.75590500,3.30708700
12.90010220,-4.33070900,3.30708700
12.96410220,0.78740150,3.30708700
13.02810220,-4.72440900,3.30708700
13.09210219,-4.72440900,3.30708700
13.15610219,-4.33070900,3.30708700
13.22010219,-4.72440900,3.30708700
13.28410219,-8.26771600,3.30708700
13.34810219,-5.90551100,3.30708700
13.41210219,-2.75590500,3.22834600
13.47610218,-7.87401500,3.30708700
13.54010218,-3.93700800,3.30708700
13.60410218,-3.54330700,3.22834600
13.66810218,-5.11811000,3.30708700
13.73210218,-9.44881800,3.30708700
13.79610217,0.78740150,3.30708700
13.86010217,-9.84251900,3.30708700
13.92410217,-5.51181100,3.30708700
13.98810217,-3.93700800,3.30708700
14.05210217,-1.96850400,3.30708700
14.11610217,-10.23622000,3.30708700
14.18010216,-2.75590500,3.30708700
14.24410216,-6.69291300,3.30708700
14.30810216,-10.23622000,3.30708700
14.37210216,-5.51181100,3.30708700
14.43610216,-6.69291300,3.30708700
14.50010215,-9.84251900,3.30708700
14.56410215,-8.26771600,3.30708700
14.62810215,-4.72440900,3.30708700
14.69210215,-13.38583000,3.30708700
14.75610215,-8.66141700,3.30708700
14.82010215,-9.44881800,3.22834600
14.88410214,-7.08661400,3.30708700
14.94810214,-10.23622000,3.30708700
15.01210214,-2.36220500,3.30708700
15.07610214,-8.66141700,3.30708700
15.14010214,-4.33070900,3.22834600
15.20410214,-8.26771600,3.30708700
15.26810213,-4.33070900,3.30708700
15.33210213,-9.44881800,3.30708700
15.39610213,-4.33070900,3.30708700
15.46010213,-3.93700800,3.30708700
15.52410213,-7.48031400,3.30708700
15.58810212,-5.51181100,3.30708700
15.65210212,-5.11811000,3.30708700
15.71610212,-6.29921200,3.30708700
15.78010212,-10.62992000,3.30708700
15.84410212,-3.93700800,3.30708700
15.90810212,-12.20472000,3.30708700
15.97210211,-6.69291300,3.30708700
16.03610211,-8.26771600,3.30708700
16.10010211,-5.51181100,3.30708700
16.16410211,-11.02362000,3.30708700
16.22810211,-5.51181100,3.30708700
16.29210210,-7.48031400,3.30708700
16.35610210,-7.87401500,3.30708700
16.42010210,-8.26771600,3.30708700
16.48410210,-4.33070900,3.30708700
16.54810210,-7.87401500,3.30708700
16.61210210,-5.11811000,3.30708700
16.67610209,-4.72440900,3.22834600
16.74010209,-7.08661400,3.30708700
16.80410209,-7.08661400,3.30708700
16.86810209,-7.08661400,3.30708700
16.93210209,-4.33070900,3.30708700
16.99610208,-11.02362000,3.30708700
17.06010208,-4.33070900,3.30708700
17.12410208,-8.26771600,3.30708700
17.18810208,-7.08661400,3.30708700
17.25210208,-12.59842000,3.30708700
17.31610208,-4.72440900,3.22834600
17.38010207,-13.77953000,3.22834600
17.44410207,-8.66141700,3.22834600
17.50810207,-7.87401500,3.30708700
17.57210207,-7.87401500,3.30708700
17.63610207,-8.66141700,3.30708700
17.70010206,-4.33070900,3.22834600
17.76410206,-6.69291300,3.30708700
17.82810206,-10.23622000,3.22834600
17.89210206,-4.33070900,3.22834600
17.95610206,-6.69291300,3.30708700
18.02010206,-7.08661400,3.30708700
18.08410205,-4.72440900,3.30708700
18.14810205,-3.14960600,3.30708700
18.21210205,-10.62992000,3.22834600
18.27610205,-2.75590500,3.30708700
18.34010205,-7.87401500,3.30708700
18.40410204,-8.26771600,3.30708700
18.46810204,-9.05511800,3.30708700
18.53210204,-2.36220500,3.30708700
18.59610204,-12.20472000,3.30708700
18.66010204,-5.51181100,3.30708700
18.72410204,-6.69291300,3.22834600
18.78810203,-9.05511800,3.30708700
18.85210203,-9.84251900,3.30708700
18.91610203,-6.29921200,3.30708700
18.98010203,-7.08661400,3.30708700
19.04410203,-8.66141700,3.30708700
19.10810202,-1.57480300,3.30708700
19.17210202,-7.08661400,3.30708700
19.23610202,-4.72440900,3.30708700
19.30010202,-7.48031400,3.30708700
19.36410202,-2.75590500,3.30708700
19.42810202,-9.05511800,3.30708700
19.49210201,-4.72440900,3.30708700
19.55610201,-6.29921200,3.30708700
19.62010201,-4.33070900,3.22834600
19.68410201,-8.66141700,3.30708700
19.74810201,-4.33070900,3.30708700
19.81210200,-9.05511800,3.30708700
19.87610200,-9.05511800,3.30708700
19.94010200,-8.26771600,3.22834600
20.00410200,-7.48031400,3.30708700
20.06810200,-11.81102000,3.30708700
20.13210200,-7.87401500,3.30708700
20.19610199,-5.90551100,3.22834600
20.26010199,-10.23622000,3.30708700
20.32410199,-6.29921200,3.22834600
20.38810199,-9.05511800,3.22834600
20.45210199,-6.69291300,3.30708700
20.51610198,-9.44881800,3.30708700
20.58010198,-3.14960600,3.22834600
20.64410198,-9.05511800,3.30708700
20.70810198,-3.93700800,3.22834600
20.77210198,-4.72440900,3.30708700
20.83610198,-4.33070900,3.30708700
20.90010197,-11.41732000,3.30708700
20.96410197,-5.11811000,3.30708700
21.02810197,-5.51181100,3.22834600
21.09210197,-9.05511800,3.30708700
21.15610197,-6.29921200,3.30708700
21.22010196,-5.90551100,3.30708700
21.28410196,-9.05511800,3.30708700
21.34810196,-8.26771600,3.30708700
21.41210196,-4.72440900,3.30708700
21.47610196,-10.62992000,3.30708700
21.54010196,-7.87401500,3.30708700
21.60410195,-4.33070900,3.30708700
21.66810195,-3.14960600,3.30708700
21.73210195,-9.44881800,3.30708700
