Time,Channel A,Channel B
(us),(mV),(V)

-0.03108571,-5.90551100,0.00000000
0.03291429,12.20472000,2.75590500
0.09691428,-7.08661400,3.22834600
0.16091428,-6.69291300,3.22834600
0.22491428,-5.51181100,3.22834600
0.28891428,-3.14960600,3.22834600
0.35291428,-9.84251900,3.30708700
0.41691427,-1.57480300,3.22834600
0.48091427,-5.11811000,3.22834600
0.54491427,-5.90551100,3.22834600
0.60891427,-6.69291300,3.22834600
0.67291427,-1.18110200,3.22834600
0.73691427,-7.48031400,3.22834600
0.80091426,-1.96850400,3.22834600
0.86491426,-1.96850400,3.22834600
0.92891426,-4.72440900,3.30708700
0.99291426,-3.54330700,3.22834600
1.05691426,-2.36220500,3.22834600
1.12091425,-2.75590500,3.22834600
1.18491425,-6.69291300,3.22834600
1.24891425,-1.18110200,3.30708700
1.31291425,-5.11811000,3.22834600
1.37691425,-0.39370070,3.30708700
1.44091425,-5.11811000,3.30708700
1.50491424,-1.18110200,3.22834600
1.56891424,-7.08661400,3.22834600
1.63291424,-3.14960600,3.30708700
1.69691424,-5.51181100,3.30708700
1.76091424,-3.14960600,3.30708700
1.82491423,-5.90551100,3.22834600
1.88891423,-0.78740150,3.22834600
1.95291423,-1.57480300,3.22834600
2.01691423,-3.14960600,3.30708700
2.08091423,-1.96850400,3.22834600
2.14491423,-1.57480300,3.22834600
2.20891422,-3.93700800,3.22834600
2.27291422,-1.96850400,3.22834600
2.33691422,0.78740150,3.22834600
2.40091422,-4.72440900,3.30708700
2.46491422,1.57480300,3.22834600
2.52891421,-0.39370070,3.22834600
2.59291421,-1.96850400,3.30708700
2.65691421,-4.33070900,3.22834600
2.72091421,3.93700800,3.30708700
2.78491421,-5.51181100,3.30708700
2.84891421,-0.39370070,3.30708700
2.91291420,-1.57480300,3.30708700
2.97691420,-0.78740150,3.30708700
3.04091420,-3.93700800,3.22834600
3.10491420,2.36220500,3.30708700
3.16891420,-3.14960600,3.22834600
3.23291419,-6.29921200,3.30708700
3.29691419,0.00000000,3.30708700
3.36091419,-1.96850400,3.30708700
3.42491419,-1.96850400,3.30708700
3.48891419,-1.96850400,3.30708700
3.55291419,2.75590500,3.30708700
3.61691418,-5.90551100,3.22834600
3.68091418,-0.78740150,3.30708700
3.74491418,-2.75590500,3.30708700
3.80891418,-2.36220500,3.30708700
3.87291418,-5.11811000,3.22834600
3.93691417,2.75590500,3.22834600
4.00091417,-4.33070900,3.30708700
4.06491417,-2.75590500,3.30708700
4.12891417,-2.75590500,3.30708700
4.19291417,-3.14960600,3.30708700
4.25691417,-8.66141700,3.30708700
4.32091416,-2.75590500,3.22834600
4.38491416,-3.14960600,3.30708700
4.44891416,-7.48031400,3.22834600
4.51291416,-2.36220500,3.22834600
4.57691416,-4.72440900,3.22834600
4.64091415,-4.33070900,3.30708700
4.70491415,-6.69291300,3.22834600
4.76891415,0.39370070,3.22834600
4.83291415,-10.62992000,3.30708700
4.89691415,-1.18110200,3.30708700
4.96091415,-3.54330700,3.22834600
5.02491414,-1.96850400,3.30708700
5.08891414,-5.11811000,3.22834600
5.15291414,-0.39370070,3.30708700
5.21691414,-5.11811000,3.22834600
5.28091414,-3.93700800,3.30708700
5.34491413,-1.96850400,3.30708700
5.40891413,-1.96850400,3.30708700
5.47291413,-3.54330700,3.22834600
5.53691413,-3.54330700,3.30708700
5.60091413,-0.39370070,3.30708700
5.66491413,-5.51181100,3.30708700
5.72891412,-3.93700800,3.30708700
5.79291412,-4.33070900,3.30708700
5.85691412,-2.36220500,3.30708700
5.92091412,-7.87401500,3.30708700
5.98491412,0.78740150,3.30708700
6.04891411,-3.54330700,3.30708700
6.11291411,-1.96850400,3.30708700
6.17691411,-3.54330700,3.30708700
6.24091411,0.39370070,3.30708700
6.30491411,-8.66141700,3.30708700
6.36891411,-1.57480300,3.30708700
6.43291410,-1.18110200,3.30708700
6.49691410,-4.72440900,3.30708700
6.56091410,-2.75590500,3.30708700
6.62491410,0.00000000,3.30708700
6.68891410,-3.93700800,3.30708700
6.75291409,-6.29921200,3.30708700
6.81691409,-0.78740150,3.30708700
6.88091409,-8.26771600,3.30708700
6.94491409,-4.33070900,3.30708700
7.00891409,-3.54330700,3.22834600
7.07291409,-2.36220500,3.22834600
7.13691408,-9.05511800,3.30708700
7.20091408,-1.57480300,3.30708700
7.26491408,-5.90551100,3.30708700
7.32891408,-5.90551100,3.30708700
7.39291408,-5.51181100,3.22834600
7.45691408,-2.36220500,3.30708700
7.52091407,-6.69291300,3.22834600
7.58491407,-1.57480300,3.22834600
7.64891407,-2.75590500,3.22834600
7.71291407,-5.11811000,3.30708700
7.77691407,-4.33070900,3.30708700
7.84091406,-2.36220500,3.30708700
7.90491406,-3.93700800,3.22834600
7.96891406,-5.90551100,3.30708700
8.03291406,1.57480300,3.22834600
8.09691406,-4.72440900,3.30708700
8.16091406,-2.36220500,3.30708700
8.22491405,-3.93700800,3.30708700
8.28891405,-1.18110200,3.30708700
8.35291405,-8.66141700,3.30708700
8.41691405,-0.39370070,3.30708700
8.48091405,-5.11811000,3.30708700
8.54491404,-5.11811000,3.30708700
8.60891404,-4.33070900,3.30708700
8.67291404,0.00000000,3.30708700
8.73691404,-5.51181100,3.30708700
8.80091404,-3.14960600,3.30708700
8.86491404,-2.36220500,3.30708700
8.92891403,-5.90551100,3.30708700
8.99291403,-2.75590500,3.30708700
9.05691403,-2.36220500,3.30708700
9.12091403,-3.14960600,3.30708700
9.18491403,-4.72440900,3.30708700
9.24891402,-0.39370070,3.30708700
9.31291402,-5.90551100,3.30708700
9.37691402,-1.96850400,3.30708700
9.44091402,-4.33070900,3.30708700
9.50491402,0.00000000,3.30708700
9.56891402,-5.51181100,3.30708700
9.63291401,-0.39370070,3.30708700
9.69691401,-3.93700800,3.30708700
9.76091401,-1.18110200,3.30708700
9.82491401,-4.33070900,3.30708700
9.88891401,-1.18110200,3.30708700
9.95291400,-4.33070900,3.30708700
10.01691400,-3.93700800,3.30708700
10.08091400,0.78740150,3.30708700
10.14491400,-2.36220500,3.22834600
10.20891400,-1.96850400,3.30708700
10.27291400,-2.75590500,3.22834600
10.33691399,1.18110200,3.30708700
10.40091399,-7.48031400,3.22834600
10.46491399,0.39370070,3.30708700
10.52891399,-2.36220500,3.30708700
10.59291399,-2.75590500,3.30708700
10.65691398,-2.36220500,3.30708700
10.72091398,3.54330700,3.30708700
10.78491398,-6.29921200,3.30708700
10.84891398,-1.96850400,3.30708700
10.91291398,-1.18110200,3.30708700
10.97691398,-3.93700800,3.30708700
11.04091397,-5.11811000,3.30708700
11.10491397,1.96850400,3.30708700
11.16891397,-2.36220500,3.30708700
11.23291397,-3.14960600,3.30708700
11.29691397,1.18110200,3.30708700
11.36091396,-4.33070900,3.30708700
11.42491396,-3.54330700,3.30708700
11.48891396,-2.36220500,3.30708700
11.55291396,2.36220500,3.30708700
11.61691396,-7.08661400,3.30708700
11.68091396,1.96850400,3.30708700
11.74491395,-1.96850400,3.30708700
11.80891395,-1.57480300,3.30708700
11.87291395,-5.90551100,3.30708700
11.93691395,0.39370070,3.30708700
12.00091395,-5.51181100,3.30708700
12.06491394,-2.75590500,3.30708700
12.12891394,0.39370070,3.30708700
12.19291394,-3.54330700,3.30708700
12.25691394,-5.90551100,3.30708700
12.32091394,-1.57480300,3.30708700
12.38491394,-3.54330700,3.30708700
12.44891393,-8.66141700,3.30708700
12.51291393,-1.57480300,3.30708700
12.57691393,-4.33070900,3.30708700
12.64091393,-5.90551100,3.30708700
12.70491393,-4.33070900,3.30708700
12.76891392,0.00000000,3.30708700
12.83291392,-9.44881800,3.30708700
12.89691392,-1.57480300,3.30708700
12.96091392,-5.90551100,3.30708700
13.02491392,-4.72440900,3.30708700
13.08891392,-7.08661400,3.30708700
13.15291391,-1.18110200,3.30708700
13.21691391,-6.29921200,3.22834600
13.28091391,-4.33070900,3.30708700
13.34491391,-3.14960600,3.30708700
13.40891391,-5.51181100,3.30708700
13.47291390,-5.51181100,3.30708700
13.53691390,-6.29921200,3.30708700
13.60091390,-3.14960600,3.30708700
13.66491390,-9.05511800,3.30708700
13.72891390,-3.54330700,3.30708700
13.79291390,-6.29921200,3.22834600
13.85691389,-6.29921200,3.30708700
13.92091389,-10.23622000,3.30708700
13.98491389,-4.72440900,3.30708700
14.04891389,-9.05511800,3.30708700
14.11291389,-7.08661400,3.30708700
14.17691388,-6.69291300,3.30708700
14.24091388,-1.96850400,3.30708700
14.30491388,-9.05511800,3.30708700
14.36891388,-3.54330700,3.30708700
14.43291388,-4.72440900,3.30708700
14.49691388,-8.66141700,3.30708700
14.56091387,-6.69291300,3.30708700
14.62491387,-3.54330700,3.30708700
14.68891387,-7.08661400,3.30708700
14.75291387,-7.08661400,3.30708700
14.81691387,-0.78740150,3.30708700
14.88091387,-10.62992000,3.30708700
14.94491386,-6.69291300,3.30708700
15.00891386,-8.26771600,3.30708700
15.07291386,-6.29921200,3.30708700
15.13691386,-11.41732000,3.30708700
15.20091386,-1.57480300,3.30708700
15.26491385,-9.05511800,3.30708700
15.32891385,-7.87401500,3.30708700
15.39291385,-6.29921200,3.30708700
15.45691385,-6.29921200,3.30708700
15.52091385,-10.62992000,3.30708700
15.58491385,-6.29921200,3.30708700
15.64891384,-7.08661400,3.30708700
15.71291384,-8.26771600,3.30708700
15.77691384,-4.72440900,3.30708700
15.84091384,-7.08661400,3.30708700
15.90491384,-7.48031400,3.30708700
15.96891383,-8.66141700,3.30708700
16.03291383,-3.54330700,3.30708700
16.09691383,-9.84251900,3.30708700
16.16091383,-6.69291300,3.30708700
16.22491383,-6.29921200,3.30708700
16.28891383,-3.54330700,3.30708700
16.35291382,-11.81102000,3.30708700
16.41691382,-3.14960600,3.30708700
16.48091382,-10.23622000,3.30708700
16.54491382,-8.66141700,3.30708700
16.60891382,-7.48031400,3.30708700
16.67291381,-4.33070900,3.30708700
16.73691381,-8.66141700,3.30708700
16.80091381,-4.33070900,3.30708700
16.86491381,-1.57480300,3.30708700
16.92891381,-8.26771600,3.30708700
16.99291381,-4.72440900,3.30708700
17.05691380,-6.29921200,3.30708700
17.12091380,-5.90551100,3.30708700
17.18491380,-8.66141700,3.30708700
17.24891380,-2.36220500,3.30708700
17.31291380,-7.87401500,3.30708700
17.37691379,-3.54330700,3.30708700
17.44091379,-5.11811000,3.30708700
17.50491379,-3.93700800,3.30708700
17.56891379,-10.23622000,3.30708700
17.63291379,-5.11811000,3.30708700
17.69691379,-7.87401500,3.30708700
17.76091378,-5.90551100,3.30708700
17.82491378,-8.66141700,3.30708700
17.88891378,-5.51181100,3.30708700
17.95291378,-9.05511800,3.30708700
18.01691378,-9.84251900,3.30708700
18.08091377,-7.48031400,3.30708700
18.14491377,-8.66141700,3.30708700
18.20891377,-9.05511800,3.22834600
18.27291377,-6.69291300,3.30708700
18.33691377,-3.54330700,3.30708700
18.40091377,-11.41732000,3.30708700
18.46491376,-3.54330700,3.30708700
18.52891376,-9.44881800,3.30708700
18.59291376,-7.48031400,3.30708700
18.65691376,-10.23622000,3.30708700
18.72091376,-2.36220500,3.30708700
18.78491375,-10.23622000,3.30708700
18.84891375,-4.72440900,3.30708700
18.91291375,-3.14960600,3.30708700
18.97691375,-7.08661400,3.30708700
19.04091375,-9.44881800,3.30708700
19.10491375,-3.54330700,3.30708700
19.16891374,-7.87401500,3.30708700
19.23291374,-9.44881800,3.30708700
19.29691374,-3.54330700,3.30708700
19.36091374,-5.90551100,3.30708700
19.42491374,-7.48031400,3.30708700
19.48891373,-5.51181100,3.30708700
19.55291373,-2.75590500,3.22834600
19.61691373,-11.41732000,3.30708700
19.68091373,-3.14960600,3.30708700
19.74491373,-5.90551100,3.30708700
19.80891373,-4.72440900,3.30708700
19.87291372,-8.66141700,3.30708700
19.93691372,0.00000000,3.30708700
20.00091372,-7.48031400,3.30708700
20.06491372,-6.29921200,3.30708700
20.12891372,-5.11811000,3.30708700
20.19291371,-6.29921200,3.30708700
20.25691371,-9.44881800,3.30708700
20.32091371,-5.51181100,3.30708700
20.38491371,-5.11811000,3.30708700
20.44891371,-11.41732000,3.30708700
20.51291371,-5.51181100,3.30708700
20.57691370,-9.05511800,3.30708700
20.64091370,-11.02362000,3.30708700
20.70491370,-12.20472000,3.30708700
20.76891370,-3.93700800,3.30708700
20.83291370,-11.41732000,3.30708700
20.89691369,-6.69291300,3.22834600
20.96091369,-7.08661400,3.30708700
21.02491369,-8.66141700,3.22834600
21.08891369,-11.02362000,3.30708700
21.15291369,-4.33070900,3.30708700
21.21691369,-11.02362000,3.30708700
21.28091368,-7.08661400,3.30708700
21.34491368,-5.90551100,3.30708700
21.40891368,-4.33070900,3.30708700
21.47291368,-6.69291300,3.30708700
21.53691368,-5.51181100,3.30708700
21.60091368,-3.54330700,3.30708700
21.66491367,-9.05511800,3.30708700
