Time,Channel A,Channel B
(us),(mV),(V)

-0.03296970,-3.14960600,0.00000000
0.03103030,7.87401500,2.59842500
0.09503030,-5.90551100,3.22834600
0.15903030,-4.72440900,3.22834600
0.22303030,-6.29921200,3.22834600
0.28703030,-7.08661400,3.22834600
0.35103029,-3.93700800,3.22834600
0.41503029,-6.69291300,3.22834600
0.47903029,-5.90551100,3.22834600
0.54303029,-5.90551100,3.22834600
0.60703029,-4.72440900,3.22834600
0.67103028,-9.84251900,3.30708700
0.73503028,0.39370070,3.22834600
0.79903028,-4.33070900,3.22834600
0.86303028,-2.75590500,3.22834600
0.92703028,-3.14960600,3.22834600
0.99103028,1.57480300,3.22834600
1.05503027,-7.08661400,3.22834600
1.11903027,-0.78740150,3.22834600
1.18303027,-0.78740150,3.22834600
1.24703027,-5.51181100,3.22834600
1.31103027,-1.18110200,3.30708700
1.37503026,0.78740150,3.30708700
1.43903026,-3.14960600,3.22834600
1.50303026,-5.11811000,3.22834600
1.56703026,1.18110200,3.30708700
1.63103026,-8.26771600,3.30708700
1.69503026,-5.11811000,3.22834600
1.75903025,-4.33070900,3.22834600
1.82303025,-2.75590500,3.30708700
1.88703025,-6.69291300,3.30708700
1.95103025,0.39370070,3.30708700
2.01503025,-4.33070900,3.30708700
2.07903025,-2.36220500,3.30708700
2.14303024,-2.75590500,3.22834600
2.20703024,-0.39370070,3.22834600
2.27103024,-4.72440900,3.22834600
2.33503024,0.00000000,3.22834600
2.39903024,0.78740150,3.22834600
2.46303023,-0.78740150,3.22834600
2.52703023,-0.39370070,3.22834600
2.59103023,0.78740150,3.30708700
2.65503023,0.39370070,3.22834600
2.71903023,-5.51181100,3.22834600
2.78303023,2.75590500,3.22834600
2.84703022,-3.54330700,3.22834600
2.91103022,-0.78740150,3.30708700
2.97503022,-1.18110200,3.30708700
3.03903022,1.96850400,3.30708700
3.10303022,-6.69291300,3.30708700
3.16703021,-1.57480300,3.30708700
3.23103021,-2.36220500,3.30708700
3.29503021,-3.93700800,3.22834600
3.35903021,-4.33070900,3.22834600
3.42303021,1.57480300,3.30708700
3.48703021,-2.36220500,3.22834600
3.55103020,-0.78740150,3.30708700
3.61503020,0.78740150,3.30708700
3.67903020,-2.36220500,3.30708700
3.74303020,-3.54330700,3.30708700
3.80703020,-1.18110200,3.30708700
3.87103019,1.57480300,3.22834600
3.93503019,-4.72440900,3.30708700
3.99903019,1.57480300,3.30708700
4.06303019,-1.57480300,3.30708700
4.12703019,-0.78740150,3.30708700
4.19103019,-6.69291300,3.30708700
4.25503018,0.39370070,3.30708700
4.31903018,-7.87401500,3.30708700
4.38303018,-3.54330700,3.30708700
4.44703018,-3.54330700,3.22834600
4.51103018,-3.54330700,3.30708700
4.57503017,-8.66141700,3.22834600
4.63903017,-1.96850400,3.22834600
4.70303017,-4.33070900,3.22834600
4.76703017,-8.66141700,3.30708700
4.83103017,-3.14960600,3.22834600
4.89503017,-2.75590500,3.22834600
4.95903016,-4.72440900,3.22834600
5.02303016,-2.75590500,3.30708700
5.08703016,1.57480300,3.22834600
5.15103016,-7.48031400,3.30708700
5.21503016,0.39370070,3.30708700
5.27903015,-1.57480300,3.30708700
5.34303015,-3.54330700,3.30708700
5.40703015,-4.33070900,3.22834600
5.47103015,3.14960600,3.30708700
5.53503015,-6.29921200,3.30708700
5.59903015,-1.18110200,3.22834600
5.66303014,-2.36220500,3.30708700
5.72703014,-3.93700800,3.30708700
5.79103014,-7.08661400,3.30708700
5.85503014,-2.36220500,3.30708700
5.91903014,-4.72440900,3.30708700
5.98303013,-6.69291300,3.30708700
6.04703013,0.39370070,3.30708700
6.11103013,-3.93700800,3.30708700
6.17503013,-1.18110200,3.30708700
6.23903013,-5.11811000,3.30708700
6.30303013,0.78740150,3.30708700
6.36703012,-5.51181100,3.30708700
6.43103012,0.00000000,3.30708700
6.49503012,-2.75590500,3.30708700
6.55903012,0.78740150,3.30708700
6.62303012,-3.54330700,3.30708700
6.68703011,0.00000000,3.30708700
6.75103011,-3.54330700,3.22834600
6.81503011,-4.33070900,3.30708700
6.87903011,-3.93700800,3.30708700
6.94303011,-2.36220500,3.30708700
7.00703011,-5.51181100,3.30708700
7.07103010,-4.33070900,3.30708700
7.13503010,-2.36220500,3.30708700
7.19903010,-7.48031400,3.30708700
7.26303010,-4.72440900,3.30708700
7.32703010,-6.69291300,3.22834600
7.39103009,-4.72440900,3.30708700
7.45503009,-8.66141700,3.22834600
7.51903009,1.57480300,3.30708700
7.58303009,-7.08661400,3.30708700
7.64703009,-1.96850400,3.30708700
7.71103009,-2.75590500,3.30708700
7.77503008,-1.57480300,3.30708700
7.83903008,-6.29921200,3.30708700
7.90303008,0.00000000,3.30708700
7.96703008,-2.36220500,3.30708700
8.03103008,-3.54330700,3.30708700
8.09503007,-0.39370070,3.30708700
8.15903007,-2.36220500,3.30708700
8.22303007,-3.93700800,3.30708700
8.28703007,-3.93700800,3.30708700
8.35103007,-0.39370070,3.30708700
8.41503007,-8.26771600,3.30708700
8.47903006,-3.54330700,3.30708700
8.54303006,-3.54330700,3.30708700
8.60703006,-3.54330700,3.30708700
8.67103006,-7.08661400,3.30708700
8.73503006,0.39370070,3.30708700
8.79903006,-5.51181100,3.30708700
8.86303005,-3.54330700,3.30708700
8.92703005,-3.54330700,3.30708700
8.99103005,-0.39370070,3.30708700
9.05503005,-7.08661400,3.30708700
9.11903005,1.18110200,3.30708700
9.18303004,-0.78740150,3.30708700
9.24703004,-4.72440900,3.30708700
9.31103004,-1.57480300,3.30708700
9.37503004,-0.78740150,3.30708700
9.43903004,-2.75590500,3.30708700
9.50303004,-2.75590500,3.30708700
9.56703003,2.75590500,3.30708700
9.63103003,-5.90551100,3.30708700
9.69503003,0.39370070,3.30708700
9.75903003,-2.36220500,3.30708700
9.82303003,-2.36220500,3.30708700
9.88703002,-6.69291300,3.30708700
9.95103002,0.00000000,3.30708700
10.01503002,-5.11811000,3.22834600
10.07903002,-2.36220500,3.30708700
10.14303002,-1.57480300,3.30708700
10.20703002,0.78740150,3.30708700
10.27103001,-3.54330700,3.22834600
10.33503001,0.00000000,3.30708700
10.39903001,-2.36220500,3.30708700
10.46303001,-2.36220500,3.22834600
10.52703001,-1.18110200,3.30708700
10.59103000,0.39370070,3.30708700
10.65503000,0.39370070,3.30708700
10.71903000,-4.33070900,3.30708700
10.78303000,1.96850400,3.30708700
10.84703000,-2.75590500,3.30708700
10.91103000,-1.96850400,3.30708700
10.97502999,-3.93700800,3.30708700
11.03902999,1.96850400,3.22834600
11.10302999,-6.69291300,3.30708700
11.16702999,1.18110200,3.30708700
11.23102999,-1.18110200,3.30708700
11.29502998,-3.93700800,3.30708700
11.35902998,-4.33070900,3.30708700
11.42302998,1.18110200,3.30708700
11.48702998,-4.33070900,3.30708700
11.55102998,-4.33070900,3.30708700
11.61502998,3.14960600,3.30708700
11.67902997,-1.96850400,3.30708700
11.74302997,-1.57480300,3.30708700
11.80702997,0.78740150,3.30708700
11.87102997,0.00000000,3.30708700
11.93502997,-6.69291300,3.30708700
11.99902996,1.96850400,3.30708700
12.06302996,-3.14960600,3.30708700
12.12702996,-2.36220500,3.22834600
12.19102996,-2.36220500,3.30708700
12.25502996,1.96850400,3.30708700
12.31902996,-7.87401500,3.30708700
12.38302995,-2.36220500,3.30708700
12.44702995,-4.72440900,3.30708700
12.51102995,-5.51181100,3.30708700
12.57502995,-6.69291300,3.30708700
12.63902995,-3.14960600,3.30708700
12.70302994,-5.51181100,3.30708700
12.76702994,-5.90551100,3.30708700
12.83102994,-0.78740150,3.30708700
12.89502994,-6.29921200,3.30708700
12.95902994,-6.69291300,3.30708700
13.02302994,-5.51181100,3.22834600
13.08702993,-0.39370070,3.22834600
13.15102993,-10.23622000,3.30708700
13.21502993,-0.78740150,3.30708700
13.27902993,-4.33070900,3.30708700
13.34302993,-4.33070900,3.30708700
13.40702992,-6.69291300,3.30708700
13.47102992,-2.36220500,3.30708700
13.53502992,-9.05511800,3.30708700
13.59902992,-4.72440900,3.30708700
13.66302992,-4.33070900,3.30708700
13.72702992,-5.90551100,3.30708700
13.79102991,-7.87401500,3.30708700
13.85502991,-5.90551100,3.30708700
13.91902991,-7.08661400,3.30708700
13.98302991,-11.02362000,3.30708700
14.04702991,-6.69291300,3.30708700
14.11102990,-8.66141700,3.30708700
14.17502990,-5.51181100,3.30708700
14.23902990,-6.69291300,3.30708700
14.30302990,-1.57480300,3.30708700
14.36702990,-8.26771600,3.30708700
14.43102990,-2.75590500,3.30708700
14.49502989,-6.29921200,3.30708700
14.55902989,-3.54330700,3.30708700
14.62302989,-8.26771600,3.30708700
14.68702989,-1.96850400,3.30708700
14.75102989,-4.72440900,3.30708700
14.81502988,-5.90551100,3.30708700
14.87902988,-5.11811000,3.30708700
14.94302988,-5.11811000,3.30708700
15.00702988,-8.66141700,3.30708700
15.07102988,-7.48031400,3.30708700
15.13502988,-4.72440900,3.30708700
15.19902987,-10.62992000,3.30708700
15.26302987,-6.29921200,3.30708700
15.32702987,-6.29921200,3.30708700
15.39102987,-8.26771600,3.30708700
15.45502987,-11.81102000,3.30708700
15.51902986,-2.75590500,3.22834600
15.58302986,-10.62992000,3.22834600
15.64702986,-7.08661400,3.22834600
15.71102986,-5.51181100,3.30708700
15.77502986,-3.93700800,3.30708700
15.83902986,-10.23622000,3.30708700
15.90302985,0.00000000,3.30708700
15.96702985,-8.66141700,3.30708700
16.03102985,-8.66141700,3.30708700
16.09502985,-4.72440900,3.30708700
16.15902985,-6.69291300,3.22834600
16.22302985,-7.87401500,3.30708700
16.28702984,-5.51181100,3.30708700
16.35102984,-4.33070900,3.30708700
16.41502984,-11.41732000,3.30708700
16.47902984,-4.72440900,3.30708700
16.54302984,-8.66141700,3.22834600
16.60702983,-7.48031400,3.30708700
16.67102983,-8.66141700,3.30708700
16.73502983,-2.36220500,3.30708700
16.79902983,-8.66141700,3.30708700
16.86302983,-3.54330700,3.30708700
16.92702983,-4.72440900,3.30708700
16.99102982,-3.14960600,3.30708700
17.05502982,-7.87401500,3.30708700
17.11902982,-3.14960600,3.30708700
17.18302982,-5.90551100,3.30708700
17.24702982,-5.11811000,3.30708700
17.31102981,-3.93700800,3.30708700
17.37502981,-2.75590500,3.30708700
17.43902981,-5.51181100,3.30708700
17.50302981,-5.90551100,3.30708700
17.56702981,-1.57480300,3.30708700
17.63102981,-9.05511800,3.30708700
17.69502980,-5.51181100,3.30708700
17.75902980,-7.48031400,3.30708700
17.82302980,-4.72440900,3.30708700
17.88702980,-11.41732000,3.30708700
17.95102980,-4.33070900,3.30708700
18.01502979,-11.41732000,3.30708700
18.07902979,-9.44881800,3.30708700
18.14302979,-8.66141700,3.30708700
18.20702979,-5.90551100,3.30708700
18.27102979,-9.84251900,3.30708700
18.33502979,-5.90551100,3.22834600
18.39902978,-4.33070900,3.30708700
18.46302978,-7.87401500,3.30708700
18.52702978,-9.05511800,3.30708700
18.59102978,-5.11811000,3.22834600
18.65502978,-7.48031400,3.30708700
18.71902977,-9.44881800,3.30708700
18.78302977,-3.14960600,3.30708700
18.84702977,-7.08661400,3.30708700
18.91102977,-5.51181100,3.30708700
18.97502977,-5.11811000,3.30708700
19.03902977,-2.75590500,3.30708700
19.10302976,-12.20472000,3.30708700
19.16702976,-3.14960600,3.30708700
19.23102976,-5.90551100,3.30708700
19.29502976,-7.08661400,3.30708700
19.35902976,-7.87401500,3.30708700
19.42302975,-1.57480300,3.30708700
19.48702975,-8.66141700,3.30708700
19.55102975,-5.90551100,3.30708700
19.61502975,-1.96850400,3.30708700
19.67902975,-7.87401500,3.30708700
19.74302975,-5.51181100,3.30708700
19.80702974,-1.18110200,3.30708700
19.87102974,-2.75590500,3.30708700
19.93502974,-7.87401500,3.30708700
19.99902974,0.78740150,3.30708700
20.06302974,-6.29921200,3.30708700
20.12702973,-5.90551100,3.30708700
20.19102973,-5.51181100,3.30708700
20.25502973,-3.14960600,3.30708700
20.31902973,-9.84251900,3.30708700
20.38302973,-2.75590500,3.30708700
20.44702973,-8.26771600,3.30708700
20.51102972,-8.66141700,3.30708700
20.57502972,-10.23622000,3.30708700
20.63902972,-7.48031400,3.30708700
20.70302972,-12.59842000,3.22834600
20.76702972,-8.66141700,3.30708700
20.83102971,-7.48031400,3.30708700
20.89502971,-8.26771600,3.30708700
20.95902971,-6.29921200,3.30708700
21.02302971,-9.44881800,3.30708700
21.08702971,-5.11811000,3.30708700
21.15102971,-10.23622000,3.30708700
21.21502970,-4.72440900,3.30708700
21.27902970,-7.87401500,3.30708700
21.34302970,-4.33070900,3.30708700
21.40702970,-7.48031400,3.30708700
21.47102970,0.78740150,3.30708700
21.53502969,-6.69291300,3.22834600
21.59902969,-4.33070900,3.30708700
21.66302969,-4.33070900,3.30708700
21.72702969,-5.11811000,3.30708700
