Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,1.18110200,0.00000000
0.03680000,-5.90551100,3.14960600
0.10080000,-4.33070900,3.22834600
0.16480000,-4.33070900,3.30708700
0.22879999,-2.75590500,3.22834600
0.29279999,-7.48031400,3.22834600
0.35679999,0.39370070,3.22834600
0.42079999,-5.90551100,3.22834600
0.48479999,-4.33070900,3.30708700
0.54879999,-4.72440900,3.30708700
0.61279998,-1.96850400,3.30708700
0.67679998,-8.66141700,3.30708700
0.74079998,-0.39370070,3.30708700
0.80479998,-3.93700800,3.22834600
0.86879998,-5.90551100,3.30708700
0.93279997,-3.93700800,3.22834600
0.99679997,-3.14960600,3.22834600
1.06079997,-7.48031400,3.22834600
1.12479997,-6.29921200,3.30708700
1.18879997,-2.75590500,3.30708700
1.25279997,-9.44881800,3.22834600
1.31679996,-3.14960600,3.22834600
1.38079996,-3.93700800,3.22834600
1.44479996,-1.18110200,3.22834600
1.50879996,-6.69291300,3.22834600
1.57279996,1.18110200,3.22834600
1.63679995,-5.11811000,3.30708700
1.70079995,-1.96850400,3.22834600
1.76479995,-4.33070900,3.22834600
1.82879995,1.18110200,3.30708700
1.89279995,-3.14960600,3.22834600
1.95679995,0.39370070,3.30708700
2.02079994,0.78740150,3.22834600
2.08479994,-0.78740150,3.30708700
2.14879994,-2.36220500,3.22834600
2.21279994,0.39370070,3.22834600
2.27679994,-1.96850400,3.22834600
2.34079993,-5.90551100,3.30708700
2.40479993,0.78740150,3.22834600
2.46879993,-3.14960600,3.22834600
2.53279993,-1.96850400,3.22834600
2.59679993,-3.14960600,3.30708700
2.66079993,2.36220500,3.30708700
2.72479992,-6.69291300,3.22834600
2.78879992,3.93700800,3.30708700
2.85279992,-0.78740150,3.30708700
2.91679992,-0.78740150,3.30708700
2.98079992,0.00000000,3.22834600
3.04479991,3.54330700,3.22834600
3.10879991,-3.93700800,3.22834600
3.17279991,-1.57480300,3.30708700
3.23679991,0.78740150,3.30708700
3.30079991,-4.33070900,3.30708700
3.36479991,-0.39370070,3.30708700
3.42879990,1.18110200,3.22834600
3.49279990,-2.75590500,3.30708700
3.55679990,-4.72440900,3.30708700
3.62079990,0.78740150,3.30708700
3.68479990,-8.26771600,3.22834600
3.74879990,-4.72440900,3.30708700
3.81279989,-4.72440900,3.30708700
3.87679989,-1.57480300,3.22834600
3.94079989,-7.87401500,3.22834600
4.00479989,1.96850400,3.22834600
4.06879989,-5.90551100,3.22834600
4.13279988,-3.14960600,3.22834600
4.19679988,-2.36220500,3.22834600
4.26079988,-1.18110200,3.22834600
4.32479988,-4.72440900,3.22834600
4.38879988,-1.57480300,3.22834600
4.45279988,0.78740150,3.22834600
4.51679987,-3.54330700,3.22834600
4.58079987,-1.18110200,3.30708700
4.64479987,-2.75590500,3.30708700
4.70879987,-1.18110200,3.30708700
4.77279987,-5.11811000,3.30708700
4.83679986,1.57480300,3.30708700
4.90079986,-5.11811000,3.30708700
4.96479986,-2.36220500,3.30708700
5.02879986,-3.93700800,3.30708700
5.09279986,-2.36220500,3.30708700
5.15679986,-7.48031400,3.30708700
5.22079985,-1.96850400,3.22834600
5.28479985,-3.14960600,3.30708700
5.34879985,-3.14960600,3.30708700
5.41279985,-1.57480300,3.30708700
5.47679985,1.57480300,3.30708700
5.54079984,-3.93700800,3.30708700
5.60479984,-0.78740150,3.22834600
5.66879984,-0.39370070,3.30708700
5.73279984,-5.11811000,3.30708700
5.79679984,-2.36220500,3.30708700
5.86079984,-1.57480300,3.30708700
5.92479983,-0.78740150,3.30708700
5.98879983,-4.72440900,3.30708700
6.05279983,3.14960600,3.30708700
6.11679983,-4.33070900,3.30708700
6.18079983,-2.75590500,3.30708700
6.24479982,-5.51181100,3.30708700
6.30879982,-2.36220500,3.30708700
6.37279982,-8.66141700,3.30708700
6.43679982,-2.36220500,3.30708700
6.50079982,-2.75590500,3.30708700
6.56479982,-5.51181100,3.30708700
6.62879981,-5.11811000,3.30708700
6.69279981,-1.96850400,3.30708700
6.75679981,-5.11811000,3.30708700
6.82079981,-4.72440900,3.30708700
6.88479981,-0.39370070,3.30708700
6.94879980,-2.75590500,3.30708700
7.01279980,-3.54330700,3.30708700
7.07679980,-0.78740150,3.30708700
7.14079980,0.39370070,3.30708700
7.20479980,-7.87401500,3.30708700
7.26879980,2.36220500,3.30708700
7.33279979,-3.14960600,3.30708700
7.39679979,-1.96850400,3.30708700
7.46079979,-2.36220500,3.30708700
7.52479979,3.54330700,3.30708700
7.58879979,-7.08661400,3.30708700
7.65279978,-1.18110200,3.30708700
7.71679978,-3.14960600,3.30708700
7.78079978,-7.08661400,3.30708700
7.84479978,-3.54330700,3.30708700
7.90879978,0.00000000,3.30708700
7.97279978,-3.14960600,3.30708700
8.03679977,-2.75590500,3.30708700
8.10079977,3.54330700,3.22834600
8.16479977,-4.33070900,3.30708700
8.22879977,-0.78740150,3.30708700
8.29279977,-0.39370070,3.30708700
8.35679976,0.00000000,3.30708700
8.42079976,-5.11811000,3.30708700
8.48479976,2.75590500,3.30708700
8.54879976,-3.54330700,3.30708700
8.61279976,-0.78740150,3.30708700
8.67679976,-1.96850400,3.30708700
8.74079975,1.57480300,3.30708700
8.80479975,-5.90551100,3.30708700
8.86879975,-1.96850400,3.30708700
8.93279975,-3.54330700,3.30708700
8.99679975,-4.33070900,3.30708700
9.06079974,-4.72440900,3.30708700
9.12479974,-3.54330700,3.30708700
9.18879974,-2.75590500,3.30708700
9.25279974,-6.29921200,3.30708700
9.31679974,0.00000000,3.30708700
9.38079974,-4.33070900,3.30708700
9.44479973,0.78740150,3.30708700
9.50879973,-1.57480300,3.30708700
9.57279973,3.54330700,3.30708700
9.63679973,-2.75590500,3.30708700
9.70079973,1.96850400,3.22834600
9.76479972,0.00000000,3.22834600
9.82879972,0.39370070,3.30708700
9.89279972,-0.78740150,3.30708700
9.95679972,3.54330700,3.30708700
10.02079972,-0.78740150,3.30708700
10.08479972,3.14960600,3.30708700
10.14879971,2.75590500,3.30708700
10.21279971,-0.39370070,3.30708700
10.27679971,-1.18110200,3.30708700
10.34079971,-1.57480300,3.30708700
10.40479971,-1.18110200,3.30708700
10.46879970,-5.51181100,3.30708700
10.53279970,1.96850400,3.30708700
10.59679970,-2.75590500,3.30708700
10.66079970,0.78740150,3.30708700
10.72479970,-1.96850400,3.30708700
10.78879970,3.54330700,3.30708700
10.85279969,-4.33070900,3.30708700
10.91679969,2.36220500,3.30708700
10.98079969,1.18110200,3.30708700
11.04479969,0.39370070,3.30708700
11.10879969,-0.78740150,3.30708700
11.17279969,3.54330700,3.30708700
11.23679968,-1.18110200,3.30708700
11.30079968,-2.36220500,3.30708700
11.36479968,1.96850400,3.30708700
11.42879968,-1.57480300,3.30708700
11.49279968,-2.36220500,3.30708700
11.55679967,0.39370070,3.30708700
11.62079967,-0.39370070,3.30708700
11.68479967,-7.08661400,3.30708700
11.74879967,0.39370070,3.30708700
11.81279967,-4.33070900,3.30708700
11.87679967,-5.51181100,3.30708700
11.94079966,-4.72440900,3.30708700
12.00479966,0.78740150,3.30708700
12.06879966,-7.48031400,3.30708700
12.13279966,1.96850400,3.30708700
12.19679966,-0.39370070,3.30708700
12.26079965,-3.93700800,3.30708700
12.32479965,-3.54330700,3.30708700
12.38879965,1.18110200,3.30708700
12.45279965,-4.72440900,3.22834600
12.51679965,-2.36220500,3.30708700
12.58079965,2.75590500,3.30708700
12.64479964,-3.14960600,3.22834600
12.70879964,0.00000000,3.30708700
12.77279964,-0.78740150,3.30708700
12.83679964,-1.18110200,3.30708700
12.90079964,-6.29921200,3.30708700
12.96479963,0.00000000,3.30708700
13.02879963,-6.29921200,3.30708700
13.09279963,-4.33070900,3.30708700
13.15679963,-5.51181100,3.30708700
13.22079963,-1.57480300,3.30708700
13.28479963,-8.26771600,3.30708700
13.34879962,-5.11811000,3.30708700
13.41279962,-5.11811000,3.30708700
13.47679962,-3.14960600,3.30708700
13.54079962,-7.08661400,3.30708700
13.60479962,-0.39370070,3.30708700
13.66879961,-3.93700800,3.30708700
13.73279961,-6.69291300,3.30708700
13.79679961,-2.36220500,3.30708700
13.86079961,-6.29921200,3.30708700
13.92479961,-7.08661400,3.30708700
13.98879961,-7.87401500,3.30708700
14.05279960,-1.18110200,3.30708700
14.11679960,-10.23622000,3.22834600
14.18079960,-3.14960600,3.30708700
14.24479960,-5.90551100,3.30708700
14.30879960,-5.90551100,3.30708700
14.37279959,-10.62992000,3.30708700
14.43679959,-4.33070900,3.30708700
14.50079959,-10.62992000,3.30708700
14.56479959,-8.26771600,3.30708700
14.62879959,-5.11811000,3.30708700
14.69279959,-7.08661400,3.30708700
14.75679958,-8.66141700,3.30708700
14.82079958,-4.72440900,3.30708700
14.88479958,-4.72440900,3.30708700
14.94879958,-8.66141700,3.30708700
15.01279958,-5.11811000,3.30708700
15.07679957,-4.72440900,3.30708700
15.14079957,-3.93700800,3.30708700
15.20479957,-7.08661400,3.30708700
15.26879957,-0.39370070,3.30708700
15.33279957,-9.84251900,3.30708700
15.39679957,-3.14960600,3.30708700
15.46079956,-5.11811000,3.30708700
15.52479956,-4.33070900,3.30708700
15.58879956,-9.84251900,3.30708700
15.65279956,-1.18110200,3.30708700
15.71679956,-9.05511800,3.30708700
15.78079955,-8.66141700,3.30708700
15.84479955,-5.51181100,3.30708700
15.90879955,-8.66141700,3.30708700
15.97279955,-9.84251900,3.30708700
16.03679955,-6.29921200,3.30708700
16.10079955,-4.33070900,3.30708700
16.16479954,-9.05511800,3.30708700
16.22879954,-2.36220500,3.30708700
16.29279954,-4.72440900,3.30708700
16.35679954,-7.87401500,3.30708700
16.42079954,-8.26771600,3.30708700
16.48479953,-3.54330700,3.30708700
16.54879953,-10.62992000,3.30708700
16.61279953,-2.75590500,3.30708700
16.67679953,-4.72440900,3.30708700
16.74079953,-3.14960600,3.30708700
16.80479953,-6.29921200,3.30708700
16.86879952,-1.18110200,3.30708700
16.93279952,-9.44881800,3.30708700
16.99679952,-7.48031400,3.30708700
17.06079952,-7.87401500,3.30708700
17.12479952,-8.66141700,3.30708700
17.18879951,-8.26771600,3.30708700
17.25279951,-7.87401500,3.30708700
17.31679951,-5.51181100,3.30708700
17.38079951,-10.23622000,3.30708700
17.44479951,-3.93700800,3.30708700
17.50879951,-9.84251900,3.30708700
17.57279950,-6.69291300,3.30708700
17.63679950,-8.66141700,3.30708700
17.70079950,-2.75590500,3.30708700
17.76479950,-7.48031400,3.30708700
17.82879950,-5.51181100,3.30708700
17.89279949,-8.66141700,3.30708700
17.95679949,-4.72440900,3.30708700
18.02079949,-9.44881800,3.30708700
18.08479949,-3.54330700,3.30708700
18.14879949,-6.69291300,3.30708700
18.21279949,-7.08661400,3.30708700
18.27679948,-5.90551100,3.30708700
18.34079948,-5.11811000,3.30708700
18.40479948,-10.62992000,3.30708700
18.46879948,-9.84251900,3.30708700
18.53279948,-4.72440900,3.30708700
18.59679948,-12.99213000,3.30708700
18.66079947,-6.29921200,3.30708700
18.72479947,-6.69291300,3.30708700
18.78879947,-4.33070900,3.30708700
18.85279947,-9.44881800,3.30708700
18.91679947,-0.78740150,3.30708700
18.98079946,-8.26771600,3.30708700
19.04479946,-5.51181100,3.30708700
19.10879946,-4.33070900,3.30708700
19.17279946,-3.54330700,3.30708700
19.23679946,-8.26771600,3.30708700
19.30079946,-2.36220500,3.30708700
19.36479945,-3.54330700,3.30708700
19.42879945,-7.48031400,3.30708700
19.49279945,-5.11811000,3.30708700
19.55679945,-5.51181100,3.30708700
19.62079945,-9.84251900,3.30708700
19.68479944,-7.87401500,3.30708700
19.74879944,-3.14960600,3.30708700
19.81279944,-10.62992000,3.30708700
19.87679944,-6.69291300,3.30708700
19.94079944,-6.69291300,3.30708700
20.00479944,-6.29921200,3.30708700
20.06879943,-14.17323000,3.30708700
20.13279943,-1.57480300,3.30708700
20.19679943,-9.05511800,3.22834600
20.26079943,-6.69291300,3.30708700
20.32479943,-5.51181100,3.30708700
20.38879942,-5.51181100,3.30708700
20.45279942,-10.62992000,3.30708700
20.51679942,-4.72440900,3.30708700
20.58079942,-6.69291300,3.30708700
20.64479942,-10.62992000,3.30708700
20.70879942,-4.72440900,3.30708700
20.77279941,-4.33070900,3.30708700
20.83679941,-6.29921200,3.30708700
20.90079941,-7.87401500,3.30708700
20.96479941,-3.14960600,3.30708700
21.02879941,-11.02362000,3.30708700
21.09279940,-8.26771600,3.30708700
21.15679940,-8.66141700,3.30708700
21.22079940,-7.08661400,3.30708700
21.28479940,-9.44881800,3.30708700
21.34879940,-1.57480300,3.30708700
21.41279940,-7.48031400,3.30708700
21.47679939,-3.93700800,3.30708700
21.54079939,-6.29921200,3.30708700
21.60479939,-2.36220500,3.30708700
21.66879939,-6.29921200,3.30708700
21.73279939,-3.54330700,3.30708700
