Time,Channel A,Channel B
(us),(mV),(V)

-0.01103448,-4.33070900,0.94488190
0.05296552,-4.72440900,3.22834600
0.11696552,-7.48031400,3.22834600
0.18096551,-5.90551100,3.22834600
0.24496551,-7.87401500,3.22834600
0.30896551,-3.93700800,3.22834600
0.37296551,-10.23622000,3.22834600
0.43696551,-1.57480300,3.22834600
0.50096550,-3.93700800,3.22834600
0.56496550,-2.36220500,3.22834600
0.62896550,-3.54330700,3.22834600
0.69296550,0.00000000,3.22834600
0.75696550,-5.51181100,3.30708700
0.82096550,-5.51181100,3.22834600
0.88496549,-4.33070900,3.22834600
0.94896549,-6.69291300,3.30708700
1.01296549,-5.11811000,3.22834600
1.07696549,-1.96850400,3.22834600
1.14096549,-3.14960600,3.22834600
1.20496548,-4.72440900,3.22834600
1.26896548,0.00000000,3.22834600
1.33296548,-3.93700800,3.22834600
1.39696548,-3.14960600,3.22834600
1.46096548,-4.33070900,3.22834600
1.52496548,0.00000000,3.22834600
1.58896547,-5.11811000,3.22834600
1.65296547,0.78740150,3.22834600
1.71696547,-1.96850400,3.30708700
1.78096547,0.39370070,3.30708700
1.84496547,-3.14960600,3.30708700
1.90896546,1.96850400,3.30708700
1.97296546,-1.57480300,3.30708700
2.03696546,-1.18110200,3.30708700
2.10096546,0.78740150,3.30708700
2.16496546,-0.78740150,3.22834600
2.22896546,-3.14960600,3.22834600
2.29296545,-3.93700800,3.22834600
2.35696545,-0.78740150,3.30708700
2.42096545,-7.08661400,3.22834600
2.48496545,-2.36220500,3.22834600
2.54896545,-2.36220500,3.22834600
2.61296544,-3.54330700,3.22834600
2.67696544,-3.93700800,3.22834600
2.74096544,0.39370070,3.22834600
2.80496544,-7.48031400,3.22834600
2.86896544,-2.75590500,3.22834600
2.93296544,-1.57480300,3.22834600
2.99696543,-1.57480300,3.22834600
3.06096543,-5.11811000,3.22834600
3.12496543,3.14960600,3.22834600
3.18896543,-1.57480300,3.22834600
3.25296543,-2.36220500,3.30708700
3.31696542,1.96850400,3.22834600
3.38096542,-3.14960600,3.30708700
3.44496542,-3.93700800,3.30708700
3.50896542,-1.96850400,3.22834600
3.57296542,0.00000000,3.30708700
3.63696542,-7.08661400,3.30708700
3.70096541,0.78740150,3.30708700
3.76496541,-3.93700800,3.22834600
3.82896541,-1.96850400,3.30708700
3.89296541,-5.11811000,3.30708700
3.95696541,1.18110200,3.22834600
4.02096540,-5.51181100,3.22834600
4.08496540,-1.18110200,3.30708700
4.14896540,-0.78740150,3.30708700
4.21296540,-1.18110200,3.30708700
4.27696540,-3.14960600,3.22834600
4.34096540,0.39370070,3.30708700
4.40496539,0.00000000,3.30708700
4.46896539,-3.93700800,3.30708700
4.53296539,-0.39370070,3.30708700
4.59696539,0.00000000,3.22834600
4.66096539,-0.78740150,3.30708700
4.72496538,-3.54330700,3.30708700
4.78896538,0.39370070,3.30708700
4.85296538,-7.87401500,3.30708700
4.91696538,-3.14960600,3.30708700
4.98096538,-5.51181100,3.22834600
5.04496538,-3.54330700,3.22834600
5.10896537,-10.23622000,3.30708700
5.17296537,0.00000000,3.22834600
5.23696537,-9.84251900,3.22834600
5.30096537,-4.33070900,3.30708700
5.36496537,-7.48031400,3.22834600
5.42896536,-4.72440900,3.22834600
5.49296536,-6.69291300,3.30708700
5.55696536,-3.93700800,3.30708700
5.62096536,-0.39370070,3.30708700
5.68496536,-5.90551100,3.30708700
5.74896536,0.39370070,3.30708700
5.81296535,-0.78740150,3.30708700
5.87696535,-0.78740150,3.30708700
5.94096535,-5.51181100,3.30708700
6.00496535,0.39370070,3.22834600
6.06896535,-7.87401500,3.30708700
6.13296535,-2.36220500,3.30708700
6.19696534,-3.14960600,3.30708700
6.26096534,0.78740150,3.30708700
6.32496534,-8.26771600,3.30708700
6.38896534,-0.78740150,3.30708700
6.45296534,-3.54330700,3.22834600
6.51696533,-6.29921200,3.30708700
6.58096533,-2.36220500,3.30708700
6.64496533,1.57480300,3.30708700
6.70896533,-4.72440900,3.30708700
6.77296533,-2.75590500,3.30708700
6.83696533,0.00000000,3.22834600
6.90096532,-5.51181100,3.30708700
6.96496532,-1.96850400,3.30708700
7.02896532,-0.78740150,3.30708700
7.09296532,-0.39370070,3.30708700
7.15696532,-0.39370070,3.30708700
7.22096531,4.33070900,3.30708700
7.28496531,-3.93700800,3.30708700
7.34896531,-1.57480300,3.30708700
7.41296531,-2.75590500,3.30708700
7.47696531,-2.36220500,3.30708700
7.54096531,-7.87401500,3.30708700
7.60496530,-3.14960600,3.30708700
7.66896530,-4.72440900,3.30708700
7.73296530,-4.72440900,3.22834600
7.79696530,-3.93700800,3.30708700
7.86096530,-4.72440900,3.30708700
7.92496529,-5.90551100,3.30708700
7.98896529,-12.20472000,3.22834600
8.05296529,-4.33070900,3.30708700
8.11696529,-4.72440900,3.30708700
8.18096529,-3.54330700,3.30708700
8.24496529,-4.33070900,3.30708700
8.30896528,-0.39370070,3.30708700
8.37296528,-7.08661400,3.30708700
8.43696528,-1.57480300,3.30708700
8.50096528,-4.33070900,3.30708700
8.56496528,1.57480300,3.30708700
8.62896527,-3.93700800,3.30708700
8.69296527,2.75590500,3.30708700
8.75696527,-6.29921200,3.30708700
8.82096527,-1.96850400,3.30708700
8.88496527,-1.96850400,3.30708700
8.94896527,-7.08661400,3.30708700
9.01296526,-7.08661400,3.30708700
9.07696526,-7.48031400,3.30708700
9.14096526,-2.36220500,3.22834600
9.20496526,-5.51181100,3.22834600
9.26896526,1.96850400,3.30708700
9.33296525,-1.18110200,3.30708700
9.39696525,-3.54330700,3.30708700
9.46096525,-1.57480300,3.30708700
9.52496525,2.36220500,3.30708700
9.58896525,-6.69291300,3.30708700
9.65296525,2.75590500,3.30708700
9.71696524,1.57480300,3.30708700
9.78096524,1.96850400,3.30708700
9.84496524,-0.39370070,3.30708700
9.90896524,5.11811000,3.30708700
9.97296524,-1.57480300,3.30708700
10.03696523,0.00000000,3.30708700
10.10096523,1.57480300,3.30708700
10.16496523,-1.96850400,3.30708700
10.22896523,-2.75590500,3.30708700
10.29296523,-0.78740150,3.30708700
10.35696523,-1.96850400,3.30708700
10.42096522,-10.62992000,3.30708700
10.48496522,-2.36220500,3.30708700
10.54896522,-6.29921200,3.30708700
10.61296522,-3.54330700,3.30708700
10.67696522,-4.33070900,3.22834600
10.74096521,1.18110200,3.30708700
10.80496521,-7.48031400,3.30708700
10.86896521,-0.39370070,3.30708700
10.93296521,-3.54330700,3.30708700
10.99696521,-3.54330700,3.30708700
11.06096521,-3.93700800,3.30708700
11.12496520,0.78740150,3.30708700
11.18896520,-3.93700800,3.30708700
11.25296520,1.57480300,3.30708700
11.31696520,1.18110200,3.30708700
11.38096520,-1.57480300,3.30708700
11.44496519,-3.54330700,3.30708700
11.50896519,-3.54330700,3.30708700
11.57296519,-2.36220500,3.30708700
11.63696519,-6.69291300,3.30708700
11.70096519,0.00000000,3.30708700
11.76496519,-3.54330700,3.30708700
11.82896518,-1.96850400,3.30708700
11.89296518,-7.08661400,3.30708700
11.95696518,-0.39370070,3.30708700
12.02096518,-6.69291300,3.22834600
12.08496518,-3.14960600,3.30708700
12.14896517,-4.33070900,3.30708700
12.21296517,-0.39370070,3.30708700
12.27696517,-4.33070900,3.30708700
12.34096517,0.78740150,3.30708700
12.40496517,0.00000000,3.30708700
12.46896517,-4.33070900,3.30708700
12.53296516,0.39370070,3.30708700
12.59696516,0.39370070,3.30708700
12.66096516,-2.36220500,3.30708700
12.72496516,-3.93700800,3.30708700
12.78896516,1.96850400,3.30708700
12.85296515,-8.26771600,3.30708700
12.91696515,-5.90551100,3.30708700
12.98096515,-6.69291300,3.22834600
13.04496515,-7.48031400,3.30708700
13.10896515,-11.81102000,3.30708700
13.17296515,-2.36220500,3.30708700
13.23696514,-11.81102000,3.22834600
13.30096514,-8.26771600,3.30708700
13.36496514,-7.08661400,3.30708700
13.42896514,-7.48031400,3.30708700
13.49296514,-11.41732000,3.22834600
13.55696514,-8.66141700,3.22834600
13.62096513,-6.69291300,3.30708700
13.68496513,-10.23622000,3.30708700
13.74896513,-7.48031400,3.30708700
13.81296513,-6.69291300,3.30708700
13.87696513,-7.08661400,3.22834600
13.94096512,-9.44881800,3.30708700
14.00496512,-3.93700800,3.30708700
14.06896512,-10.23622000,3.30708700
14.13296512,-7.48031400,3.30708700
14.19696512,-6.69291300,3.30708700
14.26096512,-4.33070900,3.30708700
14.32496511,-9.05511800,3.30708700
14.38896511,-4.72440900,3.30708700
14.45296511,-5.90551100,3.30708700
14.51696511,-8.66141700,3.30708700
14.58096511,-8.26771600,3.30708700
14.64496510,-4.72440900,3.30708700
14.70896510,-8.26771600,3.30708700
14.77296510,-7.08661400,3.30708700
14.83696510,-3.14960600,3.30708700
14.90096510,-7.08661400,3.22834600
14.96496510,-5.90551100,3.30708700
15.02896509,-5.11811000,3.30708700
15.09296509,-3.54330700,3.30708700
15.15696509,-8.66141700,3.30708700
15.22096509,-0.78740150,3.30708700
15.28496509,-5.90551100,3.30708700
15.34896508,-3.14960600,3.22834600
15.41296508,-7.08661400,3.30708700
15.47696508,-3.93700800,3.30708700
15.54096508,-11.41732000,3.30708700
15.60496508,-8.66141700,3.22834600
15.66896508,-8.66141700,3.30708700
15.73296507,-9.84251900,3.30708700
15.79696507,-10.62992000,3.30708700
15.86096507,-7.48031400,3.30708700
15.92496507,-9.44881800,3.22834600
15.98896507,-12.20472000,3.22834600
16.05296506,-7.87401500,3.22834600
16.11696506,-12.20472000,3.22834600
16.18096506,-10.62992000,3.30708700
16.24496506,-11.02362000,3.30708700
16.30896506,-6.29921200,3.22834600
16.37296506,-12.59842000,3.30708700
16.43696505,-3.93700800,3.30708700
16.50096505,-5.90551100,3.30708700
16.56496505,-6.69291300,3.22834600
16.62896505,-7.48031400,3.30708700
16.69296505,-0.39370070,3.30708700
16.75696504,-9.05511800,3.30708700
16.82096504,-3.54330700,3.30708700
16.88496504,-4.72440900,3.30708700
16.94896504,-7.87401500,3.30708700
17.01296504,-8.26771600,3.30708700
17.07696504,-6.29921200,3.30708700
17.14096503,-9.05511800,3.30708700
17.20496503,-11.41732000,3.30708700
17.26896503,-3.93700800,3.30708700
17.33296503,-7.87401500,3.30708700
17.39696503,-3.93700800,3.30708700
17.46096502,-6.69291300,3.30708700
17.52496502,-3.93700800,3.30708700
17.58896502,-8.66141700,3.30708700
17.65296502,-4.72440900,3.30708700
17.71696502,-7.08661400,3.30708700
17.78096502,-5.11811000,3.30708700
17.84496501,-6.69291300,3.30708700
17.90896501,-1.96850400,3.30708700
17.97296501,-6.69291300,3.30708700
18.03696501,-6.29921200,3.30708700
18.10096501,-6.69291300,3.30708700
18.16496500,-6.69291300,3.30708700
18.22896500,-10.23622000,3.30708700
18.29296500,-9.05511800,3.30708700
18.35696500,-7.48031400,3.30708700
18.42096500,-11.41732000,3.30708700
18.48496500,-6.69291300,3.30708700
18.54896499,-10.62992000,3.30708700
18.61296499,-12.59842000,3.22834600
18.67696499,-12.99213000,3.30708700
18.74096499,-5.90551100,3.30708700
18.80496499,-13.77953000,3.30708700
18.86896498,-6.69291300,3.30708700
18.93296498,-7.87401500,3.30708700
18.99696498,-5.90551100,3.30708700
19.06096498,-9.44881800,3.30708700
19.12496498,-3.93700800,3.30708700
19.18896498,-7.48031400,3.30708700
19.25296497,-7.48031400,3.30708700
19.31696497,-3.93700800,3.30708700
19.38096497,-5.11811000,3.30708700
19.44496497,-7.08661400,3.30708700
19.50896497,-6.29921200,3.30708700
19.57296496,-4.72440900,3.30708700
19.63696496,-11.81102000,3.30708700
19.70096496,-6.29921200,3.30708700
19.76496496,-6.69291300,3.30708700
19.82896496,-6.69291300,3.30708700
19.89296496,-9.05511800,3.30708700
19.95696495,-1.18110200,3.30708700
20.02096495,-10.23622000,3.30708700
20.08496495,-5.51181100,3.30708700
20.14896495,-6.69291300,3.30708700
20.21296495,-4.33070900,3.30708700
20.27696495,-11.02362000,3.30708700
20.34096494,-3.93700800,3.30708700
20.40496494,-4.72440900,3.30708700
20.46896494,-8.26771600,3.30708700
20.53296494,-3.54330700,3.30708700
20.59696494,-4.33070900,3.30708700
20.66096493,-7.48031400,3.30708700
20.72496493,-7.87401500,3.30708700
20.78896493,-3.54330700,3.30708700
20.85296493,-12.20472000,3.30708700
20.91696493,-7.08661400,3.30708700
20.98096493,-7.48031400,3.30708700
21.04496492,-8.26771600,3.30708700
21.10896492,-12.59842000,3.30708700
21.17296492,-6.69291300,3.30708700
21.23696492,-11.81102000,3.30708700
21.30096492,-8.66141700,3.30708700
21.36496491,-8.66141700,3.22834600
21.42896491,-6.69291300,3.30708700
21.49296491,-9.84251900,3.30708700
21.55696491,-6.29921200,3.30708700
21.62096491,-7.08661400,3.22834600
21.68496491,-9.05511800,3.22834600
21.74896490,-8.26771600,3.30708700
