Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-5.90551100,0.07874016
0.03774359,8.26771600,3.14960600
0.10174359,-5.51181100,3.22834600
0.16574359,-9.84251900,3.30708700
0.22974358,-1.57480300,3.30708700
0.29374358,-2.36220500,3.30708700
0.35774358,-0.78740150,3.30708700
0.42174358,-0.78740150,3.30708700
0.48574358,0.00000000,3.30708700
0.54974357,-4.72440900,3.30708700
0.61374357,-0.39370070,3.30708700
0.67774357,2.36220500,3.30708700
0.74174357,-0.39370070,3.30708700
0.80574357,1.96850400,3.30708700
0.86974357,1.18110200,3.30708700
0.93374356,-0.78740150,3.22834600
0.99774356,-6.69291300,3.30708700
1.06174356,-1.96850400,3.30708700
1.12574356,-11.41732000,3.30708700
1.18974356,-7.48031400,3.30708700
1.25374355,-9.44881800,3.30708700
1.31774355,-9.44881800,3.22834600
1.38174355,-14.17323000,3.22834600
1.44574355,-8.26771600,3.30708700
1.50974355,-9.84251900,3.22834600
1.57374355,-11.81102000,3.22834600
1.63774354,-6.69291300,3.30708700
1.70174354,-2.75590500,3.22834600
1.76574354,-6.69291300,3.22834600
1.82974354,-1.96850400,3.22834600
1.89374354,4.72440900,3.30708700
1.95774353,0.00000000,3.30708700
2.02174353,1.96850400,3.22834600
2.08574353,2.75590500,3.30708700
2.14974353,3.93700800,3.30708700
2.21374353,-1.96850400,3.30708700
2.27774353,6.29921200,3.30708700
2.34174352,0.39370070,3.30708700
2.40574352,1.96850400,3.30708700
2.46974352,-1.57480300,3.30708700
2.53374352,2.36220500,3.30708700
2.59774352,-7.48031400,3.30708700
2.66174351,1.57480300,3.30708700
2.72574351,-2.75590500,3.30708700
2.78974351,-1.18110200,3.30708700
2.85374351,0.78740150,3.30708700
2.91774351,1.96850400,3.22834600
2.98174351,1.57480300,3.30708700
3.04574350,-1.18110200,3.30708700
3.10974350,7.08661400,3.30708700
3.17374350,-2.75590500,3.30708700
3.23774350,3.54330700,3.30708700
3.30174350,2.75590500,3.30708700
3.36574349,4.33070900,3.30708700
3.42974349,2.36220500,3.30708700
3.49374349,5.90551100,3.30708700
3.55774349,0.78740150,3.30708700
3.62174349,-0.78740150,3.30708700
3.68574349,-5.11811000,3.30708700
3.74974348,-3.14960600,3.30708700
3.81374348,-7.08661400,3.30708700
3.87774348,-6.69291300,3.30708700
3.94174348,-7.87401500,3.30708700
4.00574348,-8.66141700,3.30708700
4.06974347,-13.38583000,3.30708700
4.13374347,-12.20472000,3.22834600
4.19774347,-6.29921200,3.30708700
4.26174347,-12.20472000,3.30708700
4.32574347,-3.93700800,3.30708700
4.38974347,-7.48031400,3.22834600
4.45374346,-3.14960600,3.30708700
4.51774346,-7.87401500,3.30708700
4.58174346,1.18110200,3.30708700
4.64574346,-3.93700800,3.30708700
4.70974346,-0.78740150,3.30708700
4.77374346,1.18110200,3.30708700
4.83774345,0.00000000,3.30708700
4.90174345,1.18110200,3.30708700
4.96574345,5.51181100,3.30708700
5.02974345,-0.39370070,3.30708700
5.09374345,-3.54330700,3.30708700
5.15774344,0.39370070,3.30708700
5.22174344,-4.33070900,3.30708700
5.28574344,-3.14960600,3.30708700
5.34974344,-3.54330700,3.30708700
5.41374344,2.36220500,3.30708700
5.47774344,-4.33070900,3.30708700
5.54174343,-0.78740150,3.30708700
5.60574343,-0.39370070,3.30708700
5.66974343,-2.36220500,3.30708700
5.73374343,-0.39370070,3.30708700
5.79774343,2.75590500,3.30708700
5.86174342,-1.18110200,3.30708700
5.92574342,3.54330700,3.30708700
5.98974342,3.54330700,3.30708700
6.05374342,4.72440900,3.30708700
6.11774342,-0.39370070,3.30708700
6.18174342,3.14960600,3.30708700
6.24574341,-1.18110200,3.30708700
6.30974341,-4.33070900,3.30708700
6.37374341,-1.18110200,3.30708700
6.43774341,-3.54330700,3.30708700
6.50174341,-5.51181100,3.30708700
6.56574340,-6.69291300,3.30708700
6.62974340,-7.87401500,3.30708700
6.69374340,-16.53543000,3.30708700
6.75774340,-11.41732000,3.30708700
6.82174340,-7.87401500,3.30708700
6.88574340,-7.87401500,3.30708700
6.94974339,-7.87401500,3.30708700
7.01374339,-5.90551100,3.30708700
7.07774339,-7.87401500,3.30708700
7.14174339,-6.69291300,3.30708700
7.20574339,-5.11811000,3.30708700
7.26974338,-2.36220500,3.30708700
7.33374338,-4.33070900,3.30708700
7.39774338,3.14960600,3.30708700
7.46174338,-0.39370070,3.30708700
7.52574338,1.57480300,3.30708700
7.58974338,3.54330700,3.30708700
7.65374337,-0.39370070,3.30708700
7.71774337,-0.78740150,3.30708700
7.78174337,-3.14960600,3.30708700
7.84574337,-0.39370070,3.30708700
7.90974337,-3.14960600,3.30708700
7.97374336,-1.18110200,3.30708700
8.03774336,-1.96850400,3.30708700
8.10174336,-1.96850400,3.30708700
8.16574336,-7.48031400,3.30708700
8.22974336,0.39370070,3.30708700
8.29374336,-2.75590500,3.30708700
8.35774335,0.78740150,3.30708700
8.42174335,-0.78740150,3.30708700
8.48574335,3.93700800,3.30708700
8.54974335,0.00000000,3.30708700
8.61374335,1.18110200,3.30708700
8.67774334,4.33070900,3.30708700
8.74174334,-2.36220500,3.30708700
8.80574334,1.18110200,3.30708700
8.86974334,1.18110200,3.30708700
8.93374334,-1.57480300,3.30708700
8.99774334,-5.51181100,3.30708700
9.06174333,1.96850400,3.30708700
9.12574333,-6.69291300,3.30708700
9.18974333,-5.90551100,3.30708700
9.25374333,-9.05511800,3.30708700
9.31774333,-7.48031400,3.30708700
9.38174332,-12.59842000,3.30708700
9.44574332,-3.14960600,3.30708700
9.50974332,-7.87401500,3.30708700
9.57374332,-9.44881800,3.30708700
9.63774332,-0.78740150,3.30708700
9.70174332,-5.11811000,3.30708700
9.76574331,-6.29921200,3.30708700
9.82974331,-2.36220500,3.30708700
9.89374331,0.39370070,3.30708700
9.95774331,-4.33070900,3.30708700
10.02174331,1.57480300,3.30708700
10.08574330,2.75590500,3.30708700
10.14974330,2.75590500,3.30708700
10.21374330,0.39370070,3.30708700
10.27774330,5.90551100,3.30708700
10.34174330,-1.57480300,3.30708700
10.40574330,0.78740150,3.30708700
10.46974329,0.00000000,3.30708700
10.53374329,3.14960600,3.30708700
10.59774329,-4.72440900,3.30708700
10.66174329,-1.96850400,3.30708700
10.72574329,-1.96850400,3.30708700
10.78974328,-4.72440900,3.30708700
10.85374328,-2.36220500,3.30708700
10.91774328,-1.57480300,3.30708700
10.98174328,-0.39370070,3.30708700
11.04574328,-0.39370070,3.30708700
11.10974328,6.29921200,3.30708700
11.17374327,1.96850400,3.30708700
11.23774327,3.54330700,3.30708700
11.30174327,1.57480300,3.30708700
11.36574327,3.93700800,3.30708700
11.42974327,-2.36220500,3.30708700
11.49374327,3.54330700,3.30708700
11.55774326,1.96850400,3.30708700
11.62174326,1.18110200,3.30708700
11.68574326,0.00000000,3.30708700
11.74974326,-1.96850400,3.30708700
11.81374326,-6.69291300,3.30708700
11.87774325,-8.26771600,3.30708700
11.94174325,-7.87401500,3.30708700
12.00574325,-11.81102000,3.30708700
12.06974325,-10.62992000,3.30708700
12.13374325,-10.23622000,3.30708700
12.19774325,-7.48031400,3.30708700
12.26174324,-13.38583000,3.30708700
12.32574324,-8.66141700,3.30708700
12.38974324,-9.05511800,3.30708700
12.45374324,-8.66141700,3.30708700
12.51774324,-4.33070900,3.30708700
12.58174323,-0.39370070,3.30708700
12.64574323,-9.44881800,3.30708700
12.70974323,0.39370070,3.30708700
12.77374323,1.18110200,3.30708700
12.83774323,-7.48031400,3.30708700
12.90174323,-3.93700800,3.30708700
12.96574322,0.39370070,3.30708700
13.02974322,-3.14960600,3.30708700
13.09374322,-2.75590500,3.30708700
13.15774322,0.39370070,3.30708700
13.22174322,-6.69291300,3.30708700
13.28574321,-4.33070900,3.30708700
13.34974321,-7.08661400,3.30708700
13.41374321,-7.87401500,3.30708700
13.47774321,-9.05511800,3.30708700
13.54174321,-4.72440900,3.30708700
13.60574321,-3.14960600,3.30708700
13.66974320,-5.90551100,3.30708700
13.73374320,-2.36220500,3.30708700
13.79774320,3.54330700,3.30708700
13.86174320,-7.87401500,3.30708700
13.92574320,0.39370070,3.30708700
13.98974319,-5.51181100,3.30708700
14.05374319,-3.93700800,3.30708700
14.11774319,-2.75590500,3.30708700
14.18174319,0.78740150,3.30708700
14.24574319,-0.78740150,3.30708700
14.30974319,-4.33070900,3.30708700
14.37374318,-3.93700800,3.30708700
14.43774318,-8.26771600,3.30708700
14.50174318,-9.05511800,3.30708700
14.56574318,-12.20472000,3.30708700
14.62974318,-9.05511800,3.30708700
14.69374317,-16.92913000,3.30708700
14.75774317,-12.20472000,3.30708700
14.82174317,-14.56693000,3.30708700
14.88574317,-12.20472000,3.30708700
14.94974317,-12.99213000,3.30708700
15.01374317,-10.62992000,3.30708700
15.07774316,-10.62992000,3.30708700
15.14174316,-7.08661400,3.30708700
15.20574316,-9.84251900,3.30708700
15.26974316,-5.90551100,3.30708700
15.33374316,-9.84251900,3.30708700
15.39774315,-4.72440900,3.30708700
15.46174315,-3.54330700,3.30708700
15.52574315,-9.44881800,3.30708700
15.58974315,-0.39370070,3.30708700
15.65374315,-3.54330700,3.30708700
15.71774315,-3.14960600,3.30708700
15.78174314,-3.93700800,3.30708700
15.84574314,-2.36220500,3.30708700
15.90974314,-11.81102000,3.30708700
15.97374314,-4.33070900,3.30708700
16.03774314,-10.62992000,3.30708700
16.10174313,-6.29921200,3.30708700
16.16574313,-5.90551100,3.30708700
16.22974313,-3.93700800,3.30708700
16.29374313,-3.14960600,3.30708700
16.35774313,-7.87401500,3.30708700
16.42174313,-3.14960600,3.30708700
16.48574312,-3.93700800,3.30708700
16.54974312,-5.51181100,3.30708700
16.61374312,-1.18110200,3.30708700
16.67774312,1.96850400,3.30708700
16.74174312,-3.14960600,3.30708700
16.80574311,0.78740150,3.30708700
16.86974311,0.00000000,3.30708700
16.93374311,-2.36220500,3.30708700
16.99774311,-5.90551100,3.30708700
17.06174311,-1.57480300,3.30708700
17.12574311,-11.81102000,3.30708700
17.18974310,-7.87401500,3.30708700
17.25374310,-7.87401500,3.30708700
17.31774310,-9.44881800,3.30708700
17.38174310,-15.35433000,3.30708700
17.44574310,-9.44881800,3.30708700
17.50974309,-15.35433000,3.30708700
17.57374309,-14.96063000,3.30708700
17.63774309,-9.84251900,3.30708700
17.70174309,-15.74803000,3.30708700
17.76574309,-10.23622000,3.30708700
17.82974309,-8.26771600,3.30708700
17.89374308,-9.84251900,3.30708700
17.95774308,-12.59842000,3.30708700
18.02174308,-7.48031400,3.30708700
18.08574308,-7.87401500,3.30708700
18.14974308,-3.93700800,3.30708700
18.21374307,-8.66141700,3.30708700
18.27774307,0.39370070,3.30708700
18.34174307,-4.33070900,3.30708700
18.40574307,-1.96850400,3.30708700
18.46974307,-2.75590500,3.30708700
18.53374307,-6.29921200,3.30708700
18.59774306,-9.44881800,3.30708700
18.66174306,-4.72440900,3.30708700
18.72574306,-8.26771600,3.30708700
18.78974306,-9.05511800,3.30708700
18.85374306,-5.51181100,3.30708700
18.91774306,-5.11811000,3.30708700
18.98174305,-2.75590500,3.30708700
19.04574305,-7.87401500,3.30708700
19.10974305,1.18110200,3.30708700
19.17374305,-5.90551100,3.30708700
19.23774305,0.39370070,3.30708700
19.30174304,-1.96850400,3.30708700
19.36574304,1.96850400,3.30708700
19.42974304,-5.11811000,3.30708700
19.49374304,1.96850400,3.30708700
19.55774304,-3.14960600,3.30708700
19.62174304,-4.72440900,3.30708700
19.68574303,-3.14960600,3.30708700
19.74974303,-2.36220500,3.30708700
19.81374303,-5.11811000,3.30708700
19.87774303,-6.69291300,3.30708700
19.94174303,-5.90551100,3.30708700
20.00574302,-14.56693000,3.30708700
20.06974302,-12.59842000,3.30708700
20.13374302,-15.74803000,3.30708700
20.19774302,-16.14173000,3.30708700
20.26174302,-16.14173000,3.30708700
20.32574302,-9.05511800,3.30708700
20.38974301,-16.92913000,3.30708700
20.45374301,-10.62992000,3.30708700
20.51774301,-9.84251900,3.30708700
20.58174301,-12.20472000,3.30708700
20.64574301,-10.62992000,3.30708700
20.70974300,-9.44881800,3.30708700
20.77374300,-5.11811000,3.30708700
20.83774300,-5.51181100,3.30708700
20.90174300,-8.66141700,3.30708700
20.96574300,-0.39370070,3.30708700
21.02974300,-5.90551100,3.30708700
21.09374299,-9.84251900,3.30708700
21.15774299,-1.96850400,3.30708700
21.22174299,-9.44881800,3.30708700
21.28574299,-6.29921200,3.30708700
21.34974299,-3.93700800,3.30708700
21.41374298,-5.11811000,3.30708700
21.47774298,-7.48031400,3.30708700
21.54174298,-2.36220500,3.30708700
21.60574298,-6.69291300,3.30708700
21.66974298,-7.87401500,3.30708700
21.73374298,-1.96850400,3.30708700
21.79774297,-2.75590500,3.30708700
21.86174297,-2.75590500,3.30708700
