Time,Channel A,Channel B
(us),(mV),(V)

-0.05688889,-3.93700800,0.07874016
0.00711111,-7.08661400,1.49606300
0.07111111,-4.33070900,3.22834600
0.13511111,-3.93700800,3.22834600
0.19911111,-11.41732000,3.22834600
0.26311110,-3.54330700,3.22834600
0.32711110,-6.29921200,3.22834600
0.39111110,-6.69291300,3.22834600
0.45511110,-7.08661400,3.22834600
0.51911110,-0.78740150,3.22834600
0.58311109,-8.66141700,3.22834600
0.64711109,-3.93700800,3.22834600
0.71111109,-5.90551100,3.22834600
0.77511109,-5.90551100,3.22834600
0.83911109,-9.05511800,3.22834600
0.90311109,-1.57480300,3.22834600
0.96711108,-5.90551100,3.22834600
1.03111108,-4.33070900,3.22834600
1.09511108,-2.36220500,3.22834600
1.15911108,-0.39370070,3.22834600
1.22311108,-4.33070900,3.22834600
1.28711107,-3.54330700,3.22834600
1.35111107,-0.78740150,3.22834600
1.41511107,-6.69291300,3.22834600
1.47911107,-1.57480300,3.22834600
1.54311107,-2.75590500,3.22834600
1.60711107,-0.78740150,3.22834600
1.67111106,-5.90551100,3.30708700
1.73511106,1.57480300,3.22834600
1.79911106,-5.90551100,3.30708700
1.86311106,-2.75590500,3.22834600
1.92711106,-3.93700800,3.22834600
1.99111105,-2.36220500,3.30708700
2.05511105,-5.51181100,3.22834600
2.11911105,-0.78740150,3.22834600
2.18311105,-3.93700800,3.22834600
2.24711105,-4.72440900,3.22834600
2.31111105,-3.54330700,3.22834600
2.37511104,-2.75590500,3.22834600
2.43911104,-3.14960600,3.22834600
2.50311104,-2.75590500,3.22834600
2.56711104,1.18110200,3.22834600
2.63111104,-3.54330700,3.22834600
2.69511103,-0.39370070,3.22834600
2.75911103,-4.72440900,3.22834600
2.82311103,0.00000000,3.22834600
2.88711103,-5.11811000,3.30708700
2.95111103,1.57480300,3.30708700
3.01511103,-2.75590500,3.22834600
3.07911102,0.39370070,3.22834600
3.14311102,-2.75590500,3.22834600
3.20711102,2.36220500,3.22834600
3.27111102,-5.90551100,3.22834600
3.33511102,-4.72440900,3.22834600
3.39911102,-1.57480300,3.22834600
3.46311101,-3.93700800,3.22834600
3.52711101,-3.93700800,3.30708700
3.59111101,-0.78740150,3.30708700
3.65511101,0.00000000,3.22834600
3.71911101,-5.51181100,3.22834600
3.78311100,2.75590500,3.22834600
3.84711100,-3.14960600,3.30708700
3.91111100,-3.54330700,3.22834600
3.97511100,-0.78740150,3.30708700
4.03911100,0.78740150,3.22834600
4.10311100,-6.69291300,3.22834600
4.16711099,0.78740150,3.30708700
4.23111099,-2.36220500,3.22834600
4.29511099,-2.36220500,3.22834600
4.35911099,-3.14960600,3.30708700
4.42311099,0.78740150,3.30708700
4.48711098,-6.69291300,3.22834600
4.55111098,-1.18110200,3.22834600
4.61511098,-1.96850400,3.22834600
4.67911098,-6.69291300,3.30708700
4.74311098,-4.33070900,3.30708700
4.80711098,-3.93700800,3.30708700
4.87111097,-4.33070900,3.22834600
4.93511097,-9.05511800,3.30708700
4.99911097,-1.57480300,3.22834600
5.06311097,-5.90551100,3.22834600
5.12711097,-2.36220500,3.30708700
5.19111096,-2.36220500,3.30708700
5.25511096,-0.78740150,3.30708700
5.31911096,-6.29921200,3.22834600
5.38311096,-2.36220500,3.22834600
5.44711096,-4.33070900,3.30708700
5.51111096,-3.54330700,3.30708700
5.57511095,-4.33070900,3.30708700
5.63911095,1.57480300,3.30708700
5.70311095,-2.75590500,3.30708700
5.76711095,-2.36220500,3.30708700
5.83111095,-1.18110200,3.30708700
5.89511094,-3.54330700,3.30708700
5.95911094,-5.51181100,3.30708700
6.02311094,-3.14960600,3.30708700
6.08711094,-1.96850400,3.30708700
6.15111094,-6.69291300,3.30708700
6.21511094,0.78740150,3.30708700
6.27911093,-3.54330700,3.30708700
6.34311093,-2.36220500,3.30708700
6.40711093,-5.51181100,3.30708700
6.47111093,2.36220500,3.30708700
6.53511093,-5.11811000,3.30708700
6.59911092,0.78740150,3.30708700
6.66311092,-1.57480300,3.30708700
6.72711092,-0.39370070,3.30708700
6.79111092,-3.54330700,3.30708700
6.85511092,-0.39370070,3.22834600
6.91911092,-2.36220500,3.30708700
6.98311091,-3.54330700,3.30708700
7.04711091,-0.39370070,3.30708700
7.11111091,-0.39370070,3.30708700
7.17511091,-2.36220500,3.30708700
7.23911091,-3.54330700,3.30708700
7.30311090,0.00000000,3.30708700
7.36711090,-7.08661400,3.30708700
7.43111090,-3.93700800,3.30708700
7.49511090,-4.72440900,3.30708700
7.55911090,-3.54330700,3.30708700
7.62311090,-9.05511800,3.30708700
7.68711089,2.36220500,3.30708700
7.75111089,-5.51181100,3.30708700
7.81511089,-3.14960600,3.22834600
7.87911089,-2.36220500,3.22834600
7.94311089,-0.39370070,3.30708700
8.00711088,-8.66141700,3.22834600
8.07111088,-1.57480300,3.30708700
8.13511088,-0.39370070,3.30708700
8.19911088,-6.69291300,3.22834600
8.26311088,0.78740150,3.30708700
8.32711088,0.00000000,3.30708700
8.39111087,-3.54330700,3.30708700
8.45511087,-3.54330700,3.30708700
8.51911087,2.36220500,3.30708700
8.58311087,-7.48031400,3.30708700
8.64711087,-2.36220500,3.30708700
8.71111086,-1.57480300,3.30708700
8.77511086,-1.18110200,3.30708700
8.83911086,-7.08661400,3.30708700
8.90311086,1.57480300,3.30708700
8.96711086,-6.29921200,3.30708700
9.03111086,-3.54330700,3.30708700
9.09511085,-2.75590500,3.30708700
9.15911085,0.39370070,3.30708700
9.22311085,-3.54330700,3.30708700
9.28711085,1.18110200,3.30708700
9.35111085,1.96850400,3.30708700
9.41511084,-2.75590500,3.30708700
9.47911084,0.00000000,3.30708700
9.54311084,-0.39370070,3.30708700
9.60711084,1.18110200,3.30708700
9.67111084,-2.36220500,3.30708700
9.73511084,5.51181100,3.30708700
9.79911083,-1.18110200,3.30708700
9.86311083,2.36220500,3.30708700
9.92711083,-0.78740150,3.30708700
9.99111083,0.78740150,3.30708700
10.05511083,-6.29921200,3.30708700
10.11911083,0.78740150,3.30708700
10.18311082,-1.96850400,3.30708700
10.24711082,-2.75590500,3.30708700
10.31111082,-2.36220500,3.30708700
10.37511082,0.00000000,3.30708700
10.43911082,-4.33070900,3.30708700
10.50311081,-3.54330700,3.30708700
10.56711081,-0.39370070,3.30708700
10.63111081,-3.14960600,3.22834600
10.69511081,-2.36220500,3.30708700
10.75911081,-1.18110200,3.22834600
10.82311081,0.39370070,3.30708700
10.88711080,-5.11811000,3.30708700
10.95111080,2.75590500,3.30708700
11.01511080,-2.75590500,3.30708700
11.07911080,-0.39370070,3.30708700
11.14311080,-4.33070900,3.22834600
11.20711079,1.96850400,3.30708700
11.27111079,-4.33070900,3.30708700
11.33511079,-0.78740150,3.30708700
11.39911079,-1.57480300,3.30708700
11.46311079,-3.14960600,3.30708700
11.52711079,-4.72440900,3.30708700
11.59111078,-1.96850400,3.30708700
11.65511078,-2.75590500,3.30708700
11.71911078,-5.51181100,3.30708700
11.78311078,0.78740150,3.30708700
11.84711078,-0.39370070,3.30708700
11.91111077,-1.57480300,3.22834600
11.97511077,-2.36220500,3.30708700
12.03911077,1.57480300,3.30708700
12.10311077,-7.08661400,3.30708700
12.16711077,0.39370070,3.30708700
12.23111077,-2.36220500,3.30708700
12.29511076,-1.57480300,3.30708700
12.35911076,-3.93700800,3.30708700
12.42311076,3.93700800,3.30708700
12.48711076,-6.69291300,3.30708700
12.55111076,-1.57480300,3.30708700
12.61511075,-1.57480300,3.30708700
12.67911075,-5.51181100,3.30708700
12.74311075,-6.29921200,3.30708700
12.80711075,-2.36220500,3.30708700
12.87111075,-5.11811000,3.22834600
12.93511075,-7.87401500,3.30708700
12.99911074,-1.96850400,3.30708700
13.06311074,-9.44881800,3.30708700
13.12711074,-7.08661400,3.30708700
13.19111074,-5.90551100,3.30708700
13.25511074,-4.72440900,3.30708700
13.31911073,-9.44881800,3.30708700
13.38311073,-2.36220500,3.22834600
13.44711073,-8.26771600,3.22834600
13.51111073,-5.51181100,3.22834600
13.57511073,-8.66141700,3.30708700
13.63911073,-3.93700800,3.30708700
13.70311072,-9.05511800,3.30708700
13.76711072,-6.29921200,3.30708700
13.83111072,-5.51181100,3.30708700
13.89511072,-5.51181100,3.30708700
13.95911072,-9.05511800,3.30708700
14.02311071,-6.69291300,3.30708700
14.08711071,-6.69291300,3.30708700
14.15111071,-11.81102000,3.30708700
14.21511071,-6.29921200,3.30708700
14.27911071,-7.87401500,3.30708700
14.34311071,-4.72440900,3.30708700
14.40711070,-7.87401500,3.22834600
14.47111070,-1.18110200,3.30708700
14.53511070,-9.05511800,3.30708700
14.59911070,-3.54330700,3.30708700
14.66311070,-6.29921200,3.30708700
14.72711069,-5.11811000,3.30708700
14.79111069,-8.66141700,3.30708700
14.85511069,-3.14960600,3.30708700
14.91911069,-6.29921200,3.30708700
14.98311069,-4.72440900,3.30708700
15.04711069,-4.33070900,3.30708700
15.11111068,-4.33070900,3.30708700
15.17511068,-6.69291300,3.30708700
15.23911068,-5.11811000,3.30708700
15.30311068,-5.11811000,3.30708700
15.36711068,-9.84251900,3.30708700
15.43111067,-5.90551100,3.30708700
15.49511067,-7.48031400,3.30708700
15.55911067,-7.08661400,3.30708700
15.62311067,-12.59842000,3.30708700
15.68711067,-4.72440900,3.30708700
15.75111067,-11.81102000,3.30708700
15.81511066,-8.66141700,3.30708700
15.87911066,-8.66141700,3.22834600
15.94311066,-5.11811000,3.30708700
16.00711066,-11.02362000,3.30708700
16.07111066,-4.72440900,3.22834600
16.13511065,-9.05511800,3.30708700
16.19911065,-11.81102000,3.30708700
16.26311065,-9.05511800,3.22834600
16.32711065,-4.33070900,3.30708700
16.39111065,-9.05511800,3.30708700
16.45511065,-7.87401500,3.30708700
16.51911064,-1.96850400,3.30708700
16.58311064,-8.66141700,3.30708700
16.64711064,-7.08661400,3.30708700
16.71111064,-4.72440900,3.30708700
16.77511064,-6.69291300,3.30708700
16.83911063,-11.41732000,3.30708700
16.90311063,-0.78740150,3.30708700
16.96711063,-8.66141700,3.30708700
17.03111063,-5.51181100,3.30708700
17.09511063,-5.51181100,3.30708700
17.15911063,-2.75590500,3.30708700
17.22311062,-10.62992000,3.30708700
17.28711062,-2.75590500,3.30708700
17.35111062,-4.72440900,3.30708700
17.41511062,-6.29921200,3.30708700
17.47911062,-3.54330700,3.30708700
17.54311062,-3.54330700,3.30708700
17.60711061,-5.11811000,3.30708700
17.67111061,-7.08661400,3.30708700
17.73511061,-1.18110200,3.30708700
17.79911061,-8.26771600,3.30708700
17.86311061,-5.11811000,3.30708700
17.92711060,-5.90551100,3.30708700
17.99111060,-3.93700800,3.30708700
18.05511060,-10.62992000,3.30708700
18.11911060,-5.51181100,3.30708700
18.18311060,-9.05511800,3.30708700
18.24711060,-9.05511800,3.30708700
18.31111059,-11.02362000,3.30708700
18.37511059,-5.11811000,3.30708700
18.43911059,-12.20472000,3.30708700
18.50311059,-7.08661400,3.30708700
18.56711059,-5.11811000,3.30708700
18.63111058,-8.66141700,3.30708700
18.69511058,-9.84251900,3.30708700
18.75911058,-6.69291300,3.30708700
18.82311058,-6.69291300,3.30708700
18.88711058,-11.02362000,3.30708700
18.95111058,-2.75590500,3.30708700
19.01511057,-5.90551100,3.30708700
19.07911057,-3.93700800,3.30708700
19.14311057,-5.90551100,3.30708700
19.20711057,-0.39370070,3.30708700
19.27111057,-9.84251900,3.30708700
19.33511056,-4.33070900,3.30708700
19.39911056,-5.90551100,3.30708700
19.46311056,-5.11811000,3.30708700
19.52711056,-9.44881800,3.30708700
19.59111056,-3.54330700,3.30708700
19.65511056,-6.69291300,3.30708700
19.71911055,-6.29921200,3.30708700
19.78311055,-4.33070900,3.30708700
19.84711055,-4.72440900,3.22834600
19.91111055,-7.08661400,3.30708700
19.97511055,-3.14960600,3.30708700
20.03911054,-1.18110200,3.30708700
20.10311054,-7.87401500,3.30708700
20.16711054,-3.54330700,3.30708700
20.23111054,-4.33070900,3.30708700
20.29511054,-4.72440900,3.30708700
20.35911054,-10.62992000,3.30708700
20.42311053,-0.39370070,3.30708700
20.48711053,-9.44881800,3.30708700
20.55111053,-4.72440900,3.30708700
20.61511053,-4.33070900,3.30708700
20.67911053,-5.90551100,3.30708700
20.74311052,-12.59842000,3.30708700
20.80711052,-4.33070900,3.30708700
20.87111052,-8.66141700,3.30708700
20.93511052,-11.81102000,3.30708700
20.99911052,-6.69291300,3.30708700
21.06311052,-7.48031400,3.30708700
21.12711051,-10.62992000,3.30708700
21.19111051,-6.69291300,3.22834600
21.25511051,-3.93700800,3.30708700
21.31911051,-11.02362000,3.30708700
21.38311051,-5.11811000,3.30708700
21.44711050,-7.08661400,3.22834600
21.51111050,-6.69291300,3.22834600
21.57511050,-8.66141700,3.30708700
21.63911050,-0.78740150,3.30708700
21.70311050,-7.48031400,3.30708700
