Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-5.51181100,0.00000000
0.03610256,-6.69291300,3.07086600
0.10010256,-6.69291300,3.22834600
0.16410256,-3.14960600,3.30708700
0.22810256,-7.48031400,3.22834600
0.29210256,-1.18110200,3.22834600
0.35610255,-5.11811000,3.22834600
0.42010255,-4.72440900,3.22834600
0.48410255,-8.26771600,3.22834600
0.54810255,-1.96850400,3.30708700
0.61210255,-9.44881800,3.22834600
0.67610255,-2.75590500,3.22834600
0.74010254,-5.90551100,3.30708700
0.80410254,-1.57480300,3.22834600
0.86810254,-6.29921200,3.22834600
0.93210254,-2.75590500,3.22834600
0.99610254,-6.29921200,3.22834600
1.06010254,-7.08661400,3.30708700
1.12410253,-6.69291300,3.22834600
1.18810253,-6.69291300,3.22834600
1.25210253,-5.90551100,3.22834600
1.31610253,-7.87401500,3.22834600
1.38010253,-3.14960600,3.22834600
1.44410252,-9.05511800,3.22834600
1.50810252,-7.08661400,3.22834600
1.57210252,-7.48031400,3.22834600
1.63610252,-3.54330700,3.22834600
1.70010252,-9.44881800,3.22834600
1.76410252,-1.57480300,3.22834600
1.82810251,-5.51181100,3.22834600
1.89210251,-4.33070900,3.22834600
1.95610251,-4.33070900,3.22834600
2.02010251,0.00000000,3.30708700
2.08410251,-8.66141700,3.22834600
2.14810250,-0.39370070,3.22834600
2.21210250,-0.39370070,3.22834600
2.27610250,-4.33070900,3.22834600
2.34010250,-1.96850400,3.22834600
2.40410250,-0.39370070,3.22834600
2.46810250,-5.90551100,3.22834600
2.53210249,-7.48031400,3.30708700
2.59610249,-0.39370070,3.22834600
2.66010249,-9.05511800,3.30708700
2.72410249,-3.54330700,3.22834600
2.78810249,-2.36220500,3.22834600
2.85210248,-1.96850400,3.22834600
2.91610248,-7.48031400,3.22834600
2.98010248,1.57480300,3.22834600
3.04410248,-5.51181100,3.22834600
3.10810248,-3.93700800,3.22834600
3.17210248,-3.54330700,3.22834600
3.23610247,-0.78740150,3.30708700
3.30010247,-5.51181100,3.30708700
3.36410247,0.39370070,3.22834600
3.42810247,-0.39370070,3.22834600
3.49210247,-3.93700800,3.30708700
3.55610246,-2.75590500,3.30708700
3.62010246,-0.39370070,3.22834600
3.68410246,-4.72440900,3.22834600
3.74810246,-7.48031400,3.30708700
3.81210246,0.39370070,3.30708700
3.87610246,-7.08661400,3.30708700
3.94010245,-4.33070900,3.22834600
4.00410245,-5.90551100,3.22834600
4.06810245,-3.54330700,3.22834600
4.13210245,-12.20472000,3.22834600
4.19610245,0.00000000,3.22834600
4.26010244,-5.90551100,3.22834600
4.32410244,-5.51181100,3.30708700
4.38810244,-4.33070900,3.22834600
4.45210244,0.00000000,3.22834600
4.51610244,-7.08661400,3.22834600
4.58010244,-3.54330700,3.22834600
4.64410243,-1.18110200,3.30708700
4.70810243,-4.72440900,3.22834600
4.77210243,-1.96850400,3.22834600
4.83610243,0.00000000,3.22834600
4.90010243,-0.78740150,3.22834600
4.96410242,-3.54330700,3.30708700
5.02810242,1.18110200,3.30708700
5.09210242,-5.90551100,3.30708700
5.15610242,-4.33070900,3.30708700
5.22010242,-6.69291300,3.30708700
5.28410242,0.00000000,3.30708700
5.34810241,-7.87401500,3.30708700
5.41210241,0.00000000,3.22834600
5.47610241,-3.93700800,3.22834600
5.54010241,-1.96850400,3.30708700
5.60410241,-6.29921200,3.22834600
5.66810240,-1.18110200,3.30708700
5.73210240,-4.33070900,3.30708700
5.79610240,-5.11811000,3.30708700
5.86010240,0.78740150,3.30708700
5.92410240,-2.36220500,3.30708700
5.98810240,-3.93700800,3.30708700
6.05210239,-2.75590500,3.30708700
6.11610239,0.78740150,3.30708700
6.18010239,-7.87401500,3.30708700
6.24410239,0.78740150,3.30708700
6.30810239,-2.36220500,3.30708700
6.37210238,-3.93700800,3.30708700
6.43610238,-4.33070900,3.30708700
6.50010238,0.78740150,3.30708700
6.56410238,-10.23622000,3.30708700
6.62810238,-4.72440900,3.30708700
6.69210238,-3.54330700,3.30708700
6.75610237,-5.90551100,3.22834600
6.82010237,-7.48031400,3.30708700
6.88410237,-0.39370070,3.30708700
6.94810237,-5.11811000,3.22834600
7.01210237,-6.29921200,3.22834600
7.07610236,-1.18110200,3.22834600
7.14010236,-6.29921200,3.22834600
7.20410236,-4.72440900,3.30708700
7.26810236,-3.54330700,3.30708700
7.33210236,1.57480300,3.22834600
7.39610236,-6.69291300,3.22834600
7.46010235,2.36220500,3.30708700
7.52410235,-2.36220500,3.30708700
7.58810235,0.00000000,3.22834600
7.65210235,-4.72440900,3.30708700
7.71610235,0.39370070,3.30708700
7.78010234,-5.51181100,3.22834600
7.84410234,-2.75590500,3.30708700
7.90810234,-1.57480300,3.30708700
7.97210234,-3.14960600,3.30708700
8.03610234,-5.11811000,3.30708700
8.10010234,-1.18110200,3.30708700
8.16410233,-3.93700800,3.30708700
8.22810233,-6.69291300,3.30708700
8.29210233,-1.18110200,3.30708700
8.35610233,-2.36220500,3.30708700
8.42010233,-2.75590500,3.30708700
8.48410233,-2.36220500,3.30708700
8.54810232,1.18110200,3.30708700
8.61210232,-7.48031400,3.30708700
8.67610232,0.78740150,3.30708700
8.74010232,-3.93700800,3.30708700
8.80410232,-1.96850400,3.30708700
8.86810231,-4.33070900,3.30708700
8.93210231,3.14960600,3.30708700
8.99610231,-4.33070900,3.30708700
9.06010231,-1.96850400,3.30708700
9.12410231,-3.14960600,3.30708700
9.18810231,-5.51181100,3.30708700
9.25210230,-6.69291300,3.30708700
9.31610230,-4.33070900,3.30708700
9.38010230,-3.14960600,3.22834600
9.44410230,-5.90551100,3.30708700
9.50810230,-1.57480300,3.30708700
9.57210229,-4.33070900,3.30708700
9.63610229,-2.36220500,3.30708700
9.70010229,-7.08661400,3.30708700
9.76410229,-0.39370070,3.30708700
9.82810229,-4.33070900,3.30708700
9.89210229,-2.36220500,3.30708700
9.95610228,-1.57480300,3.30708700
10.02010228,1.57480300,3.30708700
10.08410228,-4.33070900,3.30708700
10.14810228,3.54330700,3.30708700
10.21210228,-1.18110200,3.22834600
10.27610227,-2.36220500,3.22834600
10.34010227,-0.39370070,3.30708700
10.40410227,1.57480300,3.30708700
10.46810227,-3.93700800,3.30708700
10.53210227,-1.96850400,3.30708700
10.59610227,1.18110200,3.30708700
10.66010226,-7.87401500,3.30708700
10.72410226,-0.78740150,3.30708700
10.78810226,-3.14960600,3.22834600
10.85210226,-3.54330700,3.30708700
10.91610226,-4.72440900,3.30708700
10.98010225,4.72440900,3.30708700
11.04410225,-5.11811000,3.30708700
11.10810225,-0.78740150,3.30708700
11.17210225,0.39370070,3.30708700
11.23610225,-1.18110200,3.30708700
11.30010225,-5.11811000,3.30708700
11.36410224,1.18110200,3.30708700
11.42810224,-1.57480300,3.30708700
11.49210224,-2.36220500,3.30708700
11.55610224,1.57480300,3.30708700
11.62010224,0.39370070,3.30708700
11.68410223,-3.93700800,3.30708700
11.74810223,-2.75590500,3.30708700
11.81210223,0.00000000,3.30708700
11.87610223,-8.26771600,3.30708700
11.94010223,-3.14960600,3.30708700
12.00410223,-3.14960600,3.30708700
12.06810222,-1.57480300,3.30708700
12.13210222,-9.05511800,3.30708700
12.19610222,-0.39370070,3.30708700
12.26010222,-7.87401500,3.22834600
12.32410222,-5.51181100,3.30708700
12.38810221,-3.14960600,3.30708700
12.45210221,-1.96850400,3.30708700
12.51610221,-5.90551100,3.30708700
12.58010221,-0.78740150,3.30708700
12.64410221,-0.39370070,3.30708700
12.70810221,-5.51181100,3.30708700
12.77210220,-0.78740150,3.22834600
12.83610220,-2.75590500,3.30708700
12.90010220,-2.36220500,3.30708700
12.96410220,-2.75590500,3.30708700
13.02810220,1.96850400,3.30708700
13.09210219,-5.51181100,3.30708700
13.15610219,-1.57480300,3.22834600
13.22010219,-4.33070900,3.30708700
13.28410219,-3.54330700,3.30708700
13.34810219,-9.84251900,3.30708700
13.41210219,-1.96850400,3.30708700
13.47610218,-5.11811000,3.30708700
13.54010218,-3.93700800,3.30708700
13.60410218,-5.11811000,3.30708700
13.66810218,-2.36220500,3.30708700
13.73210218,-6.69291300,3.30708700
13.79610217,-4.72440900,3.30708700
13.86010217,-2.36220500,3.30708700
13.92410217,-7.08661400,3.30708700
13.98810217,-4.33070900,3.30708700
14.05210217,-3.14960600,3.30708700
14.11610217,-1.18110200,3.30708700
14.18010216,-9.44881800,3.30708700
14.24410216,0.39370070,3.30708700
14.30810216,-5.90551100,3.30708700
14.37210216,-6.29921200,3.30708700
14.43610216,-5.90551100,3.30708700
14.50010215,-2.75590500,3.30708700
14.56410215,-11.41732000,3.30708700
14.62810215,-4.33070900,3.30708700
14.69210215,-6.29921200,3.30708700
14.75610215,-10.23622000,3.30708700
14.82010215,-9.05511800,3.30708700
14.88410214,-5.11811000,3.30708700
14.94810214,-10.23622000,3.30708700
15.01210214,-9.44881800,3.30708700
15.07610214,-2.75590500,3.30708700
15.14010214,-8.66141700,3.22834600
15.20410214,-6.69291300,3.30708700
15.26810213,-5.90551100,3.22834600
15.33210213,-5.51181100,3.30708700
15.39610213,-10.62992000,3.30708700
15.46010213,0.00000000,3.30708700
15.52410213,-7.87401500,3.30708700
15.58810212,-3.54330700,3.30708700
15.65210212,-5.11811000,3.30708700
15.71610212,-1.96850400,3.30708700
15.78010212,-9.44881800,3.30708700
15.84410212,-5.11811000,3.30708700
15.90810212,-7.48031400,3.30708700
15.97210211,-9.05511800,3.30708700
16.03610211,-7.08661400,3.30708700
16.10010211,-5.90551100,3.30708700
16.16410211,-6.69291300,3.30708700
16.22810211,-10.23622000,3.30708700
16.29210210,-2.36220500,3.22834600
16.35610210,-10.62992000,3.30708700
16.42010210,-7.87401500,3.30708700
16.48410210,-6.69291300,3.30708700
16.54810210,-3.93700800,3.30708700
16.61210210,-9.44881800,3.30708700
16.67610209,-0.78740150,3.30708700
16.74010209,-7.48031400,3.30708700
16.80410209,-6.69291300,3.30708700
16.86810209,-6.69291300,3.30708700
16.93210209,-3.14960600,3.30708700
16.99610208,-10.62992000,3.30708700
17.06010208,-4.72440900,3.30708700
17.12410208,-4.72440900,3.30708700
17.18810208,-9.05511800,3.30708700
17.25210208,-8.26771600,3.30708700
17.31610208,-9.05511800,3.30708700
17.38010207,-9.05511800,3.30708700
17.44410207,-11.81102000,3.30708700
17.50810207,-5.51181100,3.30708700
17.57210207,-12.20472000,3.30708700
17.63610207,-7.48031400,3.30708700
17.70010206,-10.62992000,3.30708700
17.76410206,-4.33070900,3.30708700
17.82810206,-11.41732000,3.30708700
17.89210206,-8.26771600,3.30708700
17.95610206,-7.87401500,3.30708700
18.02010206,-7.48031400,3.30708700
18.08410205,-7.87401500,3.30708700
18.14810205,-3.54330700,3.30708700
18.21210205,-6.69291300,3.22834600
18.27610205,-7.08661400,3.30708700
18.34010205,-3.54330700,3.30708700
18.40410204,-8.26771600,3.30708700
18.46810204,-9.84251900,3.30708700
18.53210204,-6.29921200,3.30708700
18.59610204,-4.72440900,3.30708700
18.66010204,-12.59842000,3.30708700
18.72410204,-4.33070900,3.30708700
18.78810203,-8.66141700,3.30708700
18.85210203,-9.05511800,3.30708700
18.91610203,-9.84251900,3.30708700
18.98010203,-2.75590500,3.30708700
19.04410203,-14.56693000,3.30708700
19.10810202,-3.93700800,3.30708700
19.17210202,-4.33070900,3.30708700
19.23610202,-7.08661400,3.30708700
19.30010202,-8.26771600,3.30708700
19.36410202,-3.14960600,3.30708700
19.42810202,-8.26771600,3.30708700
19.49210201,-10.23622000,3.30708700
19.55610201,-2.36220500,3.30708700
19.62010201,-7.48031400,3.30708700
19.68410201,-5.90551100,3.30708700
19.74810201,-5.11811000,3.30708700
19.81210200,-4.33070900,3.30708700
19.87610200,-12.59842000,3.30708700
19.94010200,-6.29921200,3.30708700
20.00410200,-9.44881800,3.30708700
20.06810200,-9.44881800,3.30708700
20.13210200,-11.41732000,3.30708700
20.19610199,-4.33070900,3.30708700
20.26010199,-11.02362000,3.30708700
20.32410199,-7.87401500,3.30708700
20.38810199,-9.44881800,3.30708700
20.45210199,-9.05511800,3.30708700
20.51610198,-10.62992000,3.30708700
20.58010198,-5.51181100,3.30708700
20.64410198,-6.69291300,3.30708700
20.70810198,-10.62992000,3.30708700
20.77210198,-1.96850400,3.30708700
20.83610198,-6.29921200,3.30708700
20.90010197,-7.48031400,3.22834600
20.96410197,-7.48031400,3.30708700
21.02810197,-2.36220500,3.30708700
21.09210197,-11.81102000,3.30708700
21.15610197,-3.14960600,3.30708700
21.22010196,-7.08661400,3.30708700
21.28410196,-7.87401500,3.30708700
21.34810196,-8.26771600,3.30708700
21.41210196,-4.33070900,3.30708700
21.47610196,-10.62992000,3.30708700
21.54010196,-8.26771600,3.30708700
21.60410195,-6.69291300,3.30708700
21.66810195,-7.08661400,3.30708700
