Time,Channel A,Channel B
(us),(mV),(V)

-0.03531034,-4.33070900,0.07874016
0.02868966,-10.62992000,2.36220500
0.09268965,0.00000000,3.22834600
0.15668965,-7.08661400,3.22834600
0.22068965,-6.29921200,3.22834600
0.28468965,-4.72440900,3.22834600
0.34868965,-1.96850400,3.22834600
0.41268964,-10.62992000,3.22834600
0.47668964,-1.57480300,3.30708700
0.54068964,-6.29921200,3.22834600
0.60468964,-7.08661400,3.22834600
0.66868964,-3.14960600,3.22834600
0.73268964,-0.39370070,3.22834600
0.79668963,-8.66141700,3.22834600
0.86068963,-2.36220500,3.22834600
0.92468963,-1.57480300,3.22834600
0.98868963,-3.93700800,3.22834600
1.05268963,-4.72440900,3.22834600
1.11668962,-1.57480300,3.22834600
1.18068962,-3.54330700,3.22834600
1.24468962,-6.69291300,3.22834600
1.30868962,0.00000000,3.22834600
1.37268962,-4.33070900,3.22834600
1.43668962,-3.14960600,3.22834600
1.50068961,-3.93700800,3.22834600
1.56468961,1.96850400,3.22834600
1.62868961,-9.05511800,3.30708700
1.69268961,-2.36220500,3.22834600
1.75668961,-4.72440900,3.30708700
1.82068960,-3.93700800,3.22834600
1.88468960,-5.90551100,3.22834600
1.94868960,0.78740150,3.22834600
2.01268960,-4.33070900,3.22834600
2.07668960,-3.54330700,3.22834600
2.14068960,0.78740150,3.22834600
2.20468959,-5.11811000,3.22834600
2.26868959,-3.93700800,3.22834600
2.33268959,-1.57480300,3.22834600
2.39668959,-0.78740150,3.22834600
2.46068959,-4.72440900,3.22834600
2.52468958,2.75590500,3.22834600
2.58868958,-1.57480300,3.22834600
2.65268958,-0.39370070,3.22834600
2.71668958,-1.57480300,3.22834600
2.78068958,1.96850400,3.30708700
2.84468958,-5.90551100,3.22834600
2.90868957,1.18110200,3.22834600
2.97268957,-0.78740150,3.22834600
3.03668957,-0.39370070,3.22834600
3.10068957,-2.36220500,3.22834600
3.16468957,0.78740150,3.30708700
3.22868956,-2.36220500,3.22834600
3.29268956,-4.33070900,3.22834600
3.35668956,-0.78740150,3.22834600
3.42068956,-2.75590500,3.22834600
3.48468956,-0.39370070,3.30708700
3.54868956,-2.36220500,3.22834600
3.61268955,2.75590500,3.22834600
3.67668955,-5.51181100,3.22834600
3.74068955,0.78740150,3.22834600
3.80468955,-1.96850400,3.22834600
3.86868955,-1.57480300,3.30708700
3.93268954,-5.51181100,3.22834600
3.99668954,2.75590500,3.30708700
4.06068954,-3.54330700,3.30708700
4.12468954,-1.96850400,3.30708700
4.18868954,-0.39370070,3.22834600
4.25268954,-2.75590500,3.30708700
4.31668953,-5.51181100,3.30708700
4.38068953,-1.18110200,3.30708700
4.44468953,-4.33070900,3.30708700
4.50868953,-7.48031400,3.30708700
4.57268953,0.39370070,3.30708700
4.63668952,-2.75590500,3.22834600
4.70068952,-3.93700800,3.30708700
4.76468952,-3.93700800,3.22834600
4.82868952,-1.57480300,3.30708700
4.89268952,-9.44881800,3.22834600
4.95668952,0.00000000,3.22834600
5.02068951,-4.72440900,3.22834600
5.08468951,-3.14960600,3.22834600
5.14868951,-3.54330700,3.22834600
5.21268951,1.57480300,3.30708700
5.27668951,-6.29921200,3.22834600
5.34068950,-2.75590500,3.30708700
5.40468950,0.00000000,3.22834600
5.46868950,-5.11811000,3.30708700
5.53268950,-2.36220500,3.22834600
5.59668950,-1.57480300,3.30708700
5.66068950,-1.18110200,3.30708700
5.72468949,-4.33070900,3.22834600
5.78868949,0.39370070,3.30708700
5.85268949,-5.51181100,3.30708700
5.91668949,-3.93700800,3.30708700
5.98068949,-5.90551100,3.22834600
6.04468948,0.39370070,3.30708700
6.10868948,-5.90551100,3.22834600
6.17268948,-0.78740150,3.30708700
6.23668948,-1.96850400,3.30708700
6.30068948,-0.39370070,3.30708700
6.36468948,-5.11811000,3.30708700
6.42868947,0.00000000,3.30708700
6.49268947,-3.54330700,3.30708700
6.55668947,-4.33070900,3.30708700
6.62068947,0.39370070,3.30708700
6.68468947,-1.96850400,3.30708700
6.74868946,-3.93700800,3.30708700
6.81268946,-2.75590500,3.30708700
6.87668946,1.96850400,3.30708700
6.94068946,-8.26771600,3.30708700
7.00468946,-0.39370070,3.30708700
7.06868946,-4.72440900,3.30708700
7.13268945,-4.33070900,3.30708700
7.19668945,-5.51181100,3.30708700
7.26068945,1.57480300,3.30708700
7.32468945,-7.48031400,3.30708700
7.38868945,-3.93700800,3.30708700
7.45268945,-2.75590500,3.22834600
7.51668944,-5.51181100,3.22834600
7.58068944,-7.08661400,3.30708700
7.64468944,-0.78740150,3.30708700
7.70868944,-2.36220500,3.22834600
7.77268944,-5.11811000,3.30708700
7.83668943,0.78740150,3.30708700
7.90068943,-4.33070900,3.30708700
7.96468943,-4.33070900,3.22834600
8.02868943,-2.75590500,3.30708700
8.09268943,1.18110200,3.30708700
8.15668943,-7.87401500,3.30708700
8.22068942,0.39370070,3.30708700
8.28468942,-1.96850400,3.30708700
8.34868942,0.00000000,3.30708700
8.41268942,-5.90551100,3.30708700
8.47668942,0.78740150,3.30708700
8.54068941,-6.69291300,3.30708700
8.60468941,-5.11811000,3.30708700
8.66868941,-1.96850400,3.30708700
8.73268941,-3.14960600,3.30708700
8.79668941,-3.93700800,3.30708700
8.86068941,-1.96850400,3.30708700
8.92468940,0.39370070,3.30708700
8.98868940,-7.87401500,3.30708700
9.05268940,-1.57480300,3.30708700
9.11668940,-3.14960600,3.30708700
9.18068940,-2.75590500,3.30708700
9.24468939,-4.33070900,3.30708700
9.30868939,1.96850400,3.30708700
9.37268939,-5.11811000,3.30708700
9.43668939,-0.39370070,3.30708700
9.50068939,-1.18110200,3.30708700
9.56468939,-2.36220500,3.30708700
9.62868938,-5.11811000,3.30708700
9.69268938,1.57480300,3.30708700
9.75668938,-3.14960600,3.30708700
9.82068938,-2.75590500,3.30708700
9.88468938,-0.39370070,3.30708700
9.94868937,-1.96850400,3.30708700
10.01268937,-3.14960600,3.22834600
10.07668937,-3.14960600,3.30708700
10.14068937,-1.57480300,3.30708700
10.20468937,-6.69291300,3.30708700
10.26868937,0.00000000,3.22834600
10.33268936,-1.96850400,3.30708700
10.39668936,-0.39370070,3.30708700
10.46068936,-5.11811000,3.30708700
10.52468936,3.14960600,3.30708700
10.58868936,-4.72440900,3.30708700
10.65268935,-2.36220500,3.30708700
10.71668935,-1.57480300,3.22834600
10.78068935,-0.78740150,3.30708700
10.84468935,-4.33070900,3.22834600
10.90868935,0.78740150,3.30708700
10.97268935,0.00000000,3.30708700
11.03668934,-4.72440900,3.30708700
11.10068934,0.00000000,3.30708700
11.16468934,-0.39370070,3.30708700
11.22868934,-5.11811000,3.30708700
11.29268934,-4.33070900,3.30708700
11.35668933,2.36220500,3.30708700
11.42068933,-5.90551100,3.30708700
11.48468933,0.39370070,3.30708700
11.54868933,-1.18110200,3.30708700
11.61268933,-1.96850400,3.22834600
11.67668933,-5.51181100,3.30708700
11.74068932,3.14960600,3.30708700
11.80468932,-5.51181100,3.30708700
11.86868932,-1.18110200,3.30708700
11.93268932,0.39370070,3.30708700
11.99668932,-1.57480300,3.30708700
12.06068931,-4.33070900,3.30708700
12.12468931,-1.18110200,3.30708700
12.18868931,-2.36220500,3.30708700
12.25268931,-6.29921200,3.30708700
12.31668931,0.39370070,3.30708700
12.38068931,-5.11811000,3.30708700
12.44468930,-3.14960600,3.30708700
12.50868930,-5.11811000,3.30708700
12.57268930,0.00000000,3.30708700
12.63668930,-7.87401500,3.30708700
12.70068930,-3.54330700,3.30708700
12.76468929,-5.51181100,3.30708700
12.82868929,-3.54330700,3.30708700
12.89268929,-7.48031400,3.30708700
12.95668929,-2.36220500,3.30708700
13.02068929,-4.72440900,3.22834600
13.08468929,-5.11811000,3.30708700
13.14868928,-5.90551100,3.22834600
13.21268928,-3.54330700,3.22834600
13.27668928,-8.66141700,3.30708700
13.34068928,-5.90551100,3.30708700
13.40468928,-0.39370070,3.22834600
13.46868927,-8.66141700,3.30708700
13.53268927,-4.33070900,3.30708700
13.59668927,-3.93700800,3.22834600
13.66068927,-4.72440900,3.30708700
13.72468927,-10.23622000,3.30708700
13.78868927,0.39370070,3.30708700
13.85268926,-11.41732000,3.30708700
13.91668926,-7.08661400,3.30708700
13.98068926,-5.90551100,3.30708700
14.04468926,-5.11811000,3.22834600
14.10868926,-11.02362000,3.30708700
14.17268925,-3.54330700,3.30708700
14.23668925,-5.90551100,3.22834600
14.30068925,-10.62992000,3.30708700
14.36468925,-4.72440900,3.30708700
14.42868925,-5.51181100,3.30708700
14.49268925,-7.08661400,3.30708700
14.55668924,-5.51181100,3.30708700
14.62068924,-2.36220500,3.30708700
14.68468924,-10.23622000,3.30708700
14.74868924,-5.11811000,3.30708700
14.81268924,-6.69291300,3.30708700
14.87668924,-6.69291300,3.30708700
14.94068923,-11.02362000,3.30708700
15.00468923,-1.96850400,3.30708700
15.06868923,-8.66141700,3.30708700
15.13268923,-5.90551100,3.30708700
15.19668923,-7.87401500,3.30708700
15.26068922,-5.90551100,3.30708700
15.32468922,-12.20472000,3.30708700
15.38868922,-7.08661400,3.30708700
15.45268922,-7.87401500,3.30708700
15.51668922,-11.02362000,3.30708700
15.58068922,-7.48031400,3.22834600
15.64468921,-7.48031400,3.30708700
15.70868921,-6.69291300,3.30708700
15.77268921,-11.41732000,3.30708700
15.83668921,-5.11811000,3.30708700
15.90068921,-11.02362000,3.22834600
15.96468920,-8.26771600,3.30708700
16.02868920,-7.08661400,3.30708700
16.09268920,-5.11811000,3.22834600
16.15668920,-12.20472000,3.22834600
16.22068920,-3.54330700,3.30708700
16.28468920,-7.48031400,3.22834600
16.34868919,-9.05511800,3.30708700
16.41268919,-8.66141700,3.30708700
16.47668919,-5.90551100,3.30708700
16.54068919,-11.41732000,3.30708700
16.60468919,-7.48031400,3.30708700
16.66868918,-5.90551100,3.30708700
16.73268918,-8.66141700,3.30708700
16.79668918,-6.29921200,3.30708700
16.86068918,-6.69291300,3.30708700
16.92468918,-7.08661400,3.30708700
16.98868918,-10.62992000,3.22834600
17.05268917,-2.75590500,3.30708700
17.11668917,-8.66141700,3.30708700
17.18068917,-5.11811000,3.30708700
17.24468917,-7.87401500,3.30708700
17.30868917,-3.14960600,3.30708700
17.37268916,-10.23622000,3.30708700
17.43668916,-4.72440900,3.30708700
17.50068916,-6.69291300,3.30708700
17.56468916,-8.66141700,3.30708700
17.62868916,-6.69291300,3.30708700
17.69268916,-3.54330700,3.30708700
17.75668915,-9.05511800,3.30708700
17.82068915,-8.66141700,3.30708700
17.88468915,-4.72440900,3.30708700
17.94868915,-11.02362000,3.30708700
18.01268915,-9.84251900,3.30708700
18.07668914,-8.26771600,3.30708700
18.14068914,-8.26771600,3.30708700
18.20468914,-13.38583000,3.30708700
18.26868914,-2.75590500,3.30708700
18.33268914,-11.02362000,3.30708700
18.39668914,-8.66141700,3.30708700
18.46068913,-8.26771600,3.30708700
18.52468913,-7.08661400,3.22834600
18.58868913,-13.77953000,3.30708700
18.65268913,-5.51181100,3.22834600
18.71668913,-7.08661400,3.22834600
18.78068912,-8.26771600,3.30708700
18.84468912,-5.90551100,3.30708700
18.90868912,-6.29921200,3.30708700
18.97268912,-7.87401500,3.22834600
19.03668912,-7.87401500,3.30708700
19.10068912,-3.14960600,3.30708700
19.16468911,-10.23622000,3.30708700
19.22868911,-5.11811000,3.30708700
19.29268911,-7.48031400,3.30708700
19.35668911,-4.72440900,3.30708700
19.42068911,-9.84251900,3.30708700
19.48468910,-3.93700800,3.30708700
19.54868910,-9.44881800,3.30708700
19.61268910,-6.69291300,3.30708700
19.67668910,-8.66141700,3.30708700
19.74068910,-3.93700800,3.30708700
19.80468910,-8.26771600,3.30708700
19.86868909,-3.93700800,3.30708700
19.93268909,-3.93700800,3.30708700
19.99668909,-6.29921200,3.30708700
20.06068909,-8.66141700,3.30708700
20.12468909,-4.33070900,3.30708700
20.18868908,-6.69291300,3.30708700
20.25268908,-10.23622000,3.30708700
20.31668908,-1.96850400,3.30708700
20.38068908,-7.87401500,3.30708700
20.44468908,-7.48031400,3.30708700
20.50868908,-7.48031400,3.30708700
20.57268907,-3.93700800,3.30708700
20.63668907,-15.35433000,3.30708700
20.70068907,-4.72440900,3.30708700
20.76468907,-8.26771600,3.30708700
20.82868907,-10.62992000,3.30708700
20.89268906,-9.05511800,3.30708700
20.95668906,-4.33070900,3.30708700
21.02068906,-13.38583000,3.30708700
21.08468906,-8.26771600,3.30708700
21.14868906,-5.90551100,3.22834600
21.21268906,-11.41732000,3.22834600
21.27668905,-7.87401500,3.22834600
21.34068905,-4.72440900,3.30708700
21.40468905,-6.29921200,3.30708700
21.46868905,-8.66141700,3.30708700
21.53268905,-1.57480300,3.22834600
21.59668905,-7.48031400,3.30708700
21.66068904,-5.90551100,3.22834600
21.72468904,-6.69291300,3.30708700
