Time,Channel A,Channel B
(us),(mV),(V)

-0.02844444,-3.14960600,0.07874016
0.03555556,-3.54330700,2.91338600
0.09955555,-2.75590500,3.22834600
0.16355555,-10.23622000,3.22834600
0.22755555,-5.90551100,3.30708700
0.29155555,-4.33070900,3.22834600
0.35555555,-6.69291300,3.30708700
0.41955554,-8.66141700,3.22834600
0.48355554,-5.11811000,3.30708700
0.54755554,-5.11811000,3.22834600
0.61155554,-6.69291300,3.22834600
0.67555554,-1.18110200,3.22834600
0.73955554,-3.54330700,3.22834600
0.80355553,-4.33070900,3.22834600
0.86755553,-3.54330700,3.30708700
0.93155553,-1.57480300,3.22834600
0.99555553,-7.08661400,3.22834600
1.05955553,-2.36220500,3.22834600
1.12355552,-2.36220500,3.30708700
1.18755552,0.78740150,3.30708700
1.25155552,-4.33070900,3.30708700
1.31555552,1.96850400,3.30708700
1.37955552,-3.14960600,3.30708700
1.44355552,-3.54330700,3.22834600
1.50755551,-5.90551100,3.22834600
1.57155551,-3.54330700,3.22834600
1.63555551,-8.66141700,3.22834600
1.69955551,-5.11811000,3.30708700
1.76355551,-1.57480300,3.22834600
1.82755550,-5.90551100,3.22834600
1.89155550,-2.75590500,3.22834600
1.95555550,-0.39370070,3.22834600
2.01955550,-2.36220500,3.22834600
2.08355550,-7.87401500,3.22834600
2.14755550,1.18110200,3.22834600
2.21155549,-6.69291300,3.22834600
2.27555549,-2.75590500,3.22834600
2.33955549,-1.57480300,3.22834600
2.40355549,-0.39370070,3.22834600
2.46755549,-6.29921200,3.22834600
2.53155548,2.36220500,3.30708700
2.59555548,-1.57480300,3.30708700
2.65955548,-2.36220500,3.30708700
2.72355548,-1.57480300,3.30708700
2.78755548,1.96850400,3.30708700
2.85155548,-5.51181100,3.22834600
2.91555547,-1.57480300,3.30708700
2.97955547,-0.39370070,3.22834600
3.04355547,-5.11811000,3.30708700
3.10755547,-2.75590500,3.30708700
3.17155547,-2.75590500,3.22834600
3.23555546,-1.18110200,3.30708700
3.29955546,-5.11811000,3.30708700
3.36355546,1.57480300,3.30708700
3.42755546,-3.14960600,3.30708700
3.49155546,-1.96850400,3.30708700
3.55555546,-3.93700800,3.30708700
3.61955545,-0.39370070,3.30708700
3.68355545,-5.11811000,3.30708700
3.74755545,-1.18110200,3.30708700
3.81155545,-1.18110200,3.22834600
3.87555545,0.39370070,3.30708700
3.93955544,-2.36220500,3.30708700
4.00355544,1.96850400,3.30708700
4.06755544,-3.93700800,3.30708700
4.13155544,-5.51181100,3.30708700
4.19555544,-4.33070900,3.30708700
4.25955544,-3.93700800,3.30708700
4.32355543,-6.29921200,3.30708700
4.38755543,-5.51181100,3.30708700
4.45155543,-3.14960600,3.22834600
4.51555543,-10.62992000,3.30708700
4.57955543,-4.72440900,3.30708700
4.64355542,-5.51181100,3.22834600
4.70755542,-5.51181100,3.22834600
4.77155542,-7.48031400,3.30708700
4.83555542,-2.75590500,3.22834600
4.89955542,-7.48031400,3.30708700
4.96355542,-4.33070900,3.22834600
5.02755541,-5.11811000,3.30708700
5.09155541,-2.36220500,3.30708700
5.15555541,-6.69291300,3.30708700
5.21955541,-0.78740150,3.30708700
5.28355541,-3.14960600,3.30708700
5.34755540,-3.14960600,3.30708700
5.41155540,-1.57480300,3.30708700
5.47555540,-2.36220500,3.30708700
5.53955540,-5.90551100,3.30708700
5.60355540,-4.33070900,3.30708700
5.66755540,-2.75590500,3.30708700
5.73155539,-6.69291300,3.30708700
5.79555539,-4.72440900,3.30708700
5.85955539,-3.14960600,3.30708700
5.92355539,-2.75590500,3.30708700
5.98755539,-6.69291300,3.30708700
6.05155538,1.57480300,3.30708700
6.11555538,-6.69291300,3.22834600
6.17955538,-3.14960600,3.30708700
6.24355538,-4.33070900,3.22834600
6.30755538,0.00000000,3.30708700
6.37155538,-6.69291300,3.30708700
6.43555537,1.18110200,3.30708700
6.49955537,-0.39370070,3.30708700
6.56355537,-2.75590500,3.30708700
6.62755537,-0.39370070,3.30708700
6.69155537,-1.96850400,3.30708700
6.75555536,-5.51181100,3.30708700
6.81955536,-4.33070900,3.30708700
6.88355536,-1.96850400,3.30708700
6.94755536,-7.08661400,3.30708700
7.01155536,-3.54330700,3.30708700
7.07555536,-4.72440900,3.30708700
7.13955535,-7.48031400,3.30708700
7.20355535,-9.84251900,3.30708700
7.26755535,-2.75590500,3.30708700
7.33155535,-7.48031400,3.22834600
7.39555535,-2.75590500,3.30708700
7.45955535,-8.26771600,3.30708700
7.52355534,-2.75590500,3.30708700
7.58755534,-9.05511800,3.22834600
7.65155534,-3.54330700,3.30708700
7.71555534,-4.33070900,3.30708700
7.77955534,-3.54330700,3.30708700
7.84355533,-4.33070900,3.30708700
7.90755533,-0.78740150,3.30708700
7.97155533,-1.57480300,3.30708700
8.03555533,-4.33070900,3.30708700
8.09955533,-0.39370070,3.30708700
8.16355533,-4.33070900,3.30708700
8.22755532,-4.33070900,3.30708700
8.29155532,-4.72440900,3.30708700
8.35555532,-0.78740150,3.30708700
8.41955532,-9.05511800,3.30708700
8.48355532,-0.78740150,3.30708700
8.54755531,-3.54330700,3.30708700
8.61155531,-4.72440900,3.30708700
8.67555531,-5.11811000,3.30708700
8.73955531,0.78740150,3.30708700
8.80355531,-6.69291300,3.30708700
8.86755531,-4.33070900,3.30708700
8.93155530,-2.36220500,3.30708700
8.99555530,-3.54330700,3.30708700
9.05955530,-5.51181100,3.30708700
9.12355530,1.18110200,3.30708700
9.18755530,-2.36220500,3.30708700
9.25155529,-3.93700800,3.30708700
9.31555529,1.57480300,3.30708700
9.37955529,-0.39370070,3.30708700
9.44355529,-1.96850400,3.30708700
9.50755529,-1.57480300,3.30708700
9.57155529,2.36220500,3.30708700
9.63555528,-5.90551100,3.30708700
9.69955528,-1.18110200,3.30708700
9.76355528,-4.33070900,3.30708700
9.82755528,-2.36220500,3.30708700
9.89155528,-6.69291300,3.22834600
9.95555527,1.18110200,3.30708700
10.01955527,-4.72440900,3.30708700
10.08355527,-3.14960600,3.30708700
10.14755527,-3.14960600,3.30708700
10.21155527,-2.36220500,3.30708700
10.27555527,-7.87401500,3.30708700
10.33955526,-1.96850400,3.30708700
10.40355526,-2.75590500,3.30708700
10.46755526,-3.54330700,3.30708700
10.53155526,-0.78740150,3.30708700
10.59555526,-0.39370070,3.30708700
10.65955525,-2.36220500,3.30708700
10.72355525,-2.36220500,3.30708700
10.78755525,1.18110200,3.30708700
10.85155525,-6.29921200,3.30708700
10.91555525,-2.36220500,3.30708700
10.97955525,-2.75590500,3.30708700
11.04355524,-0.39370070,3.30708700
11.10755524,-5.90551100,3.30708700
11.17155524,1.57480300,3.30708700
11.23555524,-4.72440900,3.30708700
11.29955524,-2.75590500,3.30708700
11.36355523,-3.14960600,3.30708700
11.42755523,-0.78740150,3.30708700
11.49155523,-3.93700800,3.30708700
11.55555523,-1.18110200,3.30708700
11.61955523,0.39370070,3.30708700
11.68355523,-2.36220500,3.30708700
11.74755522,-2.36220500,3.30708700
11.81155522,-0.39370070,3.30708700
11.87555522,-0.39370070,3.30708700
11.93955522,-3.14960600,3.30708700
12.00355522,1.96850400,3.30708700
12.06755521,0.00000000,3.30708700
12.13155521,-1.18110200,3.30708700
12.19555521,-3.54330700,3.30708700
12.25955521,0.00000000,3.30708700
12.32355521,-10.23622000,3.30708700
12.38755521,-3.54330700,3.30708700
12.45155520,-5.11811000,3.30708700
12.51555520,-4.72440900,3.30708700
12.57955520,-7.87401500,3.30708700
12.64355520,-0.78740150,3.30708700
12.70755520,-7.08661400,3.30708700
12.77155519,-6.69291300,3.30708700
12.83555519,-6.29921200,3.30708700
12.89955519,-8.66141700,3.30708700
12.96355519,-9.44881800,3.30708700
13.02755519,-4.33070900,3.30708700
13.09155519,-4.33070900,3.30708700
13.15555518,-10.62992000,3.30708700
13.21955518,-1.57480300,3.30708700
13.28355518,-7.08661400,3.30708700
13.34755518,-5.90551100,3.30708700
13.41155518,-5.90551100,3.30708700
13.47555517,-4.33070900,3.30708700
13.53955517,-9.05511800,3.30708700
13.60355517,-3.93700800,3.30708700
13.66755517,-7.87401500,3.30708700
13.73155517,-6.69291300,3.30708700
13.79555517,-9.44881800,3.30708700
13.85955516,-6.29921200,3.30708700
13.92355516,-9.44881800,3.30708700
13.98755516,-8.66141700,3.30708700
14.05155516,-7.08661400,3.30708700
14.11555516,-5.51181100,3.30708700
14.17955515,-7.48031400,3.30708700
14.24355515,-5.51181100,3.30708700
14.30755515,-4.33070900,3.30708700
14.37155515,-8.26771600,3.30708700
14.43555515,-3.93700800,3.30708700
14.49955515,-4.72440900,3.30708700
14.56355514,-3.54330700,3.30708700
14.62755514,-6.69291300,3.30708700
14.69155514,0.39370070,3.30708700
14.75555514,-7.08661400,3.30708700
14.81955514,-6.29921200,3.30708700
14.88355514,-7.48031400,3.30708700
14.94755513,-5.90551100,3.30708700
15.01155513,-10.62992000,3.30708700
15.07555513,-4.33070900,3.30708700
15.13955513,-8.26771600,3.30708700
15.20355513,-7.48031400,3.30708700
15.26755512,-7.87401500,3.30708700
15.33155512,-8.26771600,3.30708700
15.39555512,-11.02362000,3.30708700
15.45955512,-9.84251900,3.30708700
15.52355512,-8.66141700,3.30708700
15.58755512,-10.62992000,3.30708700
15.65155511,-9.84251900,3.30708700
15.71555511,-7.08661400,3.30708700
15.77955511,-5.51181100,3.30708700
15.84355511,-12.99213000,3.30708700
15.90755511,-3.54330700,3.30708700
15.97155510,-10.62992000,3.22834600
16.03555510,-5.90551100,3.30708700
16.09955510,-6.29921200,3.30708700
16.16355510,-4.72440900,3.30708700
16.22755510,-11.02362000,3.30708700
16.29155510,-5.90551100,3.30708700
16.35555509,-8.26771600,3.30708700
16.41955509,-11.02362000,3.30708700
16.48355509,-8.66141700,3.30708700
16.54755509,-5.11811000,3.30708700
16.61155509,-7.87401500,3.30708700
16.67555508,-5.90551100,3.30708700
16.73955508,-1.18110200,3.30708700
16.80355508,-8.66141700,3.30708700
16.86755508,-5.51181100,3.30708700
16.93155508,-4.72440900,3.30708700
16.99555508,-5.51181100,3.30708700
17.05955507,-9.44881800,3.30708700
17.12355507,-0.78740150,3.30708700
17.18755507,-6.29921200,3.30708700
17.25155507,-3.93700800,3.30708700
17.31555507,-5.11811000,3.30708700
17.37955506,-0.39370070,3.30708700
17.44355506,-8.26771600,3.30708700
17.50755506,-3.14960600,3.30708700
17.57155506,-6.69291300,3.30708700
17.63555506,-6.69291300,3.30708700
17.69955506,-7.87401500,3.30708700
17.76355505,-6.69291300,3.30708700
17.82755505,-9.84251900,3.30708700
17.89155505,-10.62992000,3.30708700
17.95555505,-8.26771600,3.22834600
18.01955505,-11.81102000,3.30708700
18.08355504,-9.84251900,3.30708700
18.14755504,-10.23622000,3.30708700
18.21155504,-8.26771600,3.30708700
18.27555504,-11.02362000,3.30708700
18.33955504,-8.26771600,3.30708700
18.40355504,-8.26771600,3.30708700
18.46755503,-7.87401500,3.30708700
18.53155503,-13.38583000,3.30708700
18.59555503,-2.75590500,3.30708700
18.65955503,-10.23622000,3.30708700
18.72355503,-6.29921200,3.30708700
18.78755502,-5.11811000,3.30708700
18.85155502,-4.33070900,3.30708700
18.91555502,-11.02362000,3.30708700
18.97955502,-3.54330700,3.30708700
19.04355502,-6.69291300,3.30708700
19.10755502,-9.44881800,3.30708700
19.17155501,-3.54330700,3.30708700
19.23555501,-4.33070900,3.30708700
19.29955501,-7.87401500,3.30708700
19.36355501,-5.90551100,3.30708700
19.42755501,-2.36220500,3.30708700
19.49155500,-10.62992000,3.30708700
19.55555500,-5.90551100,3.30708700
19.61955500,-5.51181100,3.30708700
19.68355500,-4.72440900,3.30708700
19.74755500,-5.90551100,3.30708700
19.81155500,0.78740150,3.30708700
19.87555499,-6.29921200,3.30708700
19.93955499,-3.54330700,3.30708700
20.00355499,-2.36220500,3.30708700
20.06755499,-2.36220500,3.30708700
20.13155499,-7.48031400,3.30708700
20.19555498,-3.54330700,3.30708700
20.25955498,-5.51181100,3.30708700
20.32355498,-8.26771600,3.30708700
20.38755498,-8.66141700,3.30708700
20.45155498,-7.87401500,3.30708700
20.51555498,-11.02362000,3.30708700
20.57955497,-12.20472000,3.30708700
20.64355497,-6.29921200,3.30708700
20.70755497,-13.38583000,3.22834600
20.77155497,-6.69291300,3.30708700
20.83555497,-9.05511800,3.30708700
20.89955496,-9.05511800,3.30708700
20.96355496,-12.99213000,3.30708700
21.02755496,-8.66141700,3.30708700
21.09155496,-10.62992000,3.30708700
21.15555496,-7.87401500,3.30708700
21.21955496,-7.08661400,3.30708700
21.28355495,-3.14960600,3.30708700
21.34755495,-6.69291300,3.30708700
21.41155495,-2.75590500,3.30708700
21.47555495,-3.93700800,3.30708700
21.53955495,-6.69291300,3.30708700
21.60355495,-5.51181100,3.30708700
21.66755494,-5.51181100,3.30708700
