Time,Channel A,Channel B
(us),(mV),(V)

-0.05688889,-2.75590500,0.07874016
0.00711111,-12.59842000,1.49606300
0.07111111,-3.14960600,3.22834600
0.13511111,-8.66141700,3.22834600
0.19911111,-6.69291300,3.22834600
0.26311110,-6.29921200,3.22834600
0.32711110,-0.78740150,3.22834600
0.39111110,-8.66141700,3.22834600
0.45511110,-3.93700800,3.22834600
0.51911110,-3.14960600,3.22834600
0.58311109,-8.26771600,3.30708700
0.64711109,-4.72440900,3.22834600
0.71111109,-3.54330700,3.22834600
0.77511109,-6.29921200,3.22834600
0.83911109,-7.08661400,3.22834600
0.90311109,-0.78740150,3.22834600
0.96711108,-8.66141700,3.22834600
1.03111108,-6.29921200,3.22834600
1.09511108,-3.93700800,3.22834600
1.15911108,-2.75590500,3.22834600
1.22311108,-6.69291300,3.22834600
1.28711107,1.57480300,3.22834600
1.35111107,-3.54330700,3.30708700
1.41511107,-1.96850400,3.22834600
1.47911107,-1.96850400,3.22834600
1.54311107,-1.96850400,3.22834600
1.60711107,-5.90551100,3.22834600
1.67111106,-1.18110200,3.30708700
1.73511106,-1.18110200,3.22834600
1.79911106,-3.14960600,3.22834600
1.86311106,-0.78740150,3.22834600
1.92711106,-2.75590500,3.30708700
1.99111105,-1.18110200,3.22834600
2.05511105,-5.11811000,3.22834600
2.11911105,-0.78740150,3.22834600
2.18311105,-7.08661400,3.22834600
2.24711105,-2.36220500,3.22834600
2.31111105,-5.11811000,3.22834600
2.37511104,-1.96850400,3.22834600
2.43911104,-5.90551100,3.22834600
2.50311104,-2.36220500,3.30708700
2.56711104,-3.54330700,3.22834600
2.63111104,-5.90551100,3.30708700
2.69511103,-4.72440900,3.22834600
2.75911103,-1.18110200,3.22834600
2.82311103,-3.14960600,3.22834600
2.88711103,-1.57480300,3.22834600
2.95111103,1.96850400,3.22834600
3.01511103,-2.36220500,3.22834600
3.07911102,-3.14960600,3.22834600
3.14311102,-1.57480300,3.30708700
3.20711102,-1.18110200,3.22834600
3.27111102,-7.87401500,3.30708700
3.33511102,0.39370070,3.22834600
3.39911102,-3.93700800,3.30708700
3.46311101,-2.36220500,3.22834600
3.52711101,-5.11811000,3.30708700
3.59111101,-1.18110200,3.22834600
3.65511101,-8.66141700,3.30708700
3.71911101,-3.54330700,3.30708700
3.78311100,-3.14960600,3.22834600
3.84711100,-3.54330700,3.30708700
3.91111100,-3.14960600,3.22834600
3.97511100,1.18110200,3.22834600
4.03911100,-2.36220500,3.22834600
4.10311100,-5.90551100,3.30708700
4.16711099,0.00000000,3.30708700
4.23111099,-3.93700800,3.22834600
4.29511099,-2.36220500,3.22834600
4.35911099,-1.96850400,3.30708700
4.42311099,1.57480300,3.22834600
4.48711098,-5.90551100,3.30708700
4.55111098,-0.78740150,3.22834600
4.61511098,-5.11811000,3.22834600
4.67911098,-6.69291300,3.30708700
4.74311098,-7.08661400,3.22834600
4.80711098,-0.78740150,3.22834600
4.87111097,-9.05511800,3.30708700
4.93511097,-5.90551100,3.30708700
4.99911097,-4.33070900,3.22834600
5.06311097,-6.69291300,3.30708700
5.12711097,-7.48031400,3.22834600
5.19111096,-3.54330700,3.22834600
5.25511096,-6.29921200,3.22834600
5.31911096,-7.87401500,3.30708700
5.38311096,-0.78740150,3.22834600
5.44711096,-6.29921200,3.30708700
5.51111096,-3.14960600,3.30708700
5.57511095,-4.33070900,3.30708700
5.63911095,0.00000000,3.22834600
5.70311095,-7.87401500,3.22834600
5.76711095,-1.96850400,3.30708700
5.83111095,-4.33070900,3.22834600
5.89511094,-3.14960600,3.22834600
5.95911094,-5.11811000,3.22834600
6.02311094,-1.96850400,3.30708700
6.08711094,-5.51181100,3.30708700
6.15111094,-5.90551100,3.30708700
6.21511094,-5.11811000,3.30708700
6.27911093,-4.72440900,3.30708700
6.34311093,-6.69291300,3.22834600
6.40711093,-5.51181100,3.30708700
6.47111093,-0.39370070,3.30708700
6.53511093,-5.90551100,3.30708700
6.59911092,-1.57480300,3.30708700
6.66311092,-3.93700800,3.22834600
6.72711092,-1.96850400,3.30708700
6.79111092,-7.48031400,3.30708700
6.85511092,1.96850400,3.30708700
6.91911092,-4.33070900,3.30708700
6.98311091,-0.78740150,3.30708700
7.04711091,-0.78740150,3.30708700
7.11111091,-1.57480300,3.30708700
7.17511091,-7.08661400,3.30708700
7.23911091,-2.75590500,3.30708700
7.30311090,-3.93700800,3.30708700
7.36711090,-7.87401500,3.30708700
7.43111090,-1.96850400,3.30708700
7.49511090,-5.90551100,3.30708700
7.55911090,-6.69291300,3.22834600
7.62311090,-6.69291300,3.30708700
7.68711089,-3.14960600,3.30708700
7.75111089,-11.81102000,3.30708700
7.81511089,-3.54330700,3.22834600
7.87911089,-6.29921200,3.22834600
7.94311089,-5.11811000,3.30708700
8.00711088,-7.87401500,3.22834600
8.07111088,-0.78740150,3.30708700
8.13511088,-7.08661400,3.30708700
8.19911088,-3.54330700,3.30708700
8.26311088,-3.14960600,3.22834600
8.32711088,-4.33070900,3.22834600
8.39111087,-5.51181100,3.30708700
8.45511087,-1.18110200,3.22834600
8.51911087,-1.96850400,3.30708700
8.58311087,-6.29921200,3.30708700
8.64711087,-1.57480300,3.30708700
8.71111086,-5.11811000,3.30708700
8.77511086,-4.72440900,3.30708700
8.83911086,-8.26771600,3.30708700
8.90311086,-1.57480300,3.30708700
8.96711086,-9.44881800,3.22834600
9.03111086,-3.54330700,3.30708700
9.09511085,-5.11811000,3.30708700
9.15911085,-3.14960600,3.30708700
9.22311085,-5.90551100,3.30708700
9.28711085,0.00000000,3.30708700
9.35111085,-3.54330700,3.22834600
9.41511084,-2.36220500,3.30708700
9.47911084,0.78740150,3.30708700
9.54311084,0.78740150,3.30708700
9.60711084,-0.78740150,3.30708700
9.67111084,1.18110200,3.30708700
9.73511084,0.39370070,3.30708700
9.79911083,-3.54330700,3.30708700
9.86311083,1.18110200,3.30708700
9.92711083,-2.36220500,3.30708700
9.99111083,-0.39370070,3.30708700
10.05511083,-3.54330700,3.30708700
10.11911083,1.96850400,3.30708700
10.18311082,-6.69291300,3.30708700
10.24711082,-2.36220500,3.30708700
10.31111082,-5.51181100,3.30708700
10.37511082,-4.72440900,3.30708700
10.43911082,-7.48031400,3.22834600
10.50311081,-3.14960600,3.22834600
10.56711081,-3.14960600,3.30708700
10.63111081,-4.33070900,3.30708700
10.69511081,-2.75590500,3.30708700
10.75911081,-2.75590500,3.30708700
10.82311081,-4.72440900,3.30708700
10.88711080,-4.33070900,3.30708700
10.95111080,2.36220500,3.22834600
11.01511080,-4.33070900,3.30708700
11.07911080,-0.78740150,3.30708700
11.14311080,0.00000000,3.30708700
11.20711079,-0.78740150,3.30708700
11.27111079,-6.69291300,3.30708700
11.33511079,1.57480300,3.30708700
11.39911079,-5.90551100,3.30708700
11.46311079,-4.72440900,3.30708700
11.52711079,-1.96850400,3.30708700
11.59111078,-0.78740150,3.30708700
11.65511078,-8.66141700,3.30708700
11.71911078,-1.18110200,3.30708700
11.78311078,-2.75590500,3.30708700
11.84711078,-6.69291300,3.30708700
11.91111077,-0.78740150,3.30708700
11.97511077,-1.96850400,3.30708700
12.03911077,-2.75590500,3.30708700
12.10311077,-1.96850400,3.30708700
12.16711077,2.75590500,3.30708700
12.23111077,-5.90551100,3.30708700
12.29511076,0.00000000,3.30708700
12.35911076,-1.57480300,3.30708700
12.42311076,-1.18110200,3.30708700
12.48711076,-5.51181100,3.30708700
12.55111076,1.57480300,3.30708700
12.61511075,-2.75590500,3.30708700
12.67911075,-2.75590500,3.30708700
12.74311075,-4.72440900,3.30708700
12.80711075,-3.93700800,3.30708700
12.87111075,-8.66141700,3.30708700
12.93511075,-6.69291300,3.30708700
12.99911074,-6.29921200,3.30708700
13.06311074,-9.84251900,3.22834600
13.12711074,-7.08661400,3.30708700
13.19111074,-5.90551100,3.30708700
13.25511074,-7.87401500,3.30708700
13.31911073,-11.02362000,3.30708700
13.38311073,-3.93700800,3.30708700
13.44711073,-11.41732000,3.22834600
13.51111073,-5.90551100,3.30708700
13.57511073,-7.87401500,3.30708700
13.63911073,-2.36220500,3.30708700
13.70311072,-10.23622000,3.30708700
13.76711072,-5.51181100,3.30708700
13.83111072,-6.29921200,3.30708700
13.89511072,-9.84251900,3.22834600
13.95911072,-9.44881800,3.30708700
14.02311071,-6.29921200,3.22834600
14.08711071,-9.05511800,3.30708700
14.15111071,-8.66141700,3.30708700
14.21511071,-4.33070900,3.30708700
14.27911071,-9.05511800,3.30708700
14.34311071,-7.87401500,3.30708700
14.40711070,-7.87401500,3.30708700
14.47111070,-5.90551100,3.30708700
14.53511070,-10.23622000,3.30708700
14.59911070,-2.36220500,3.30708700
14.66311070,-7.48031400,3.30708700
14.72711069,-4.33070900,3.30708700
14.79111069,-7.08661400,3.30708700
14.85511069,-1.96850400,3.30708700
14.91911069,-9.44881800,3.30708700
14.98311069,-3.54330700,3.30708700
15.04711069,-4.33070900,3.30708700
15.11111068,-4.33070900,3.30708700
15.17511068,-5.11811000,3.30708700
15.23911068,-1.96850400,3.30708700
15.30311068,-7.08661400,3.30708700
15.36711068,-10.23622000,3.30708700
15.43111067,-4.33070900,3.30708700
15.49511067,-10.62992000,3.30708700
15.55911067,-9.44881800,3.30708700
15.62311067,-8.66141700,3.30708700
15.68711067,-6.69291300,3.30708700
15.75111067,-14.17323000,3.30708700
15.81511066,-5.90551100,3.30708700
15.87911066,-10.62992000,3.30708700
15.94311066,-12.20472000,3.30708700
16.00711066,-9.05511800,3.30708700
16.07111066,-5.90551100,3.30708700
16.13511065,-14.56693000,3.22834600
16.19911065,-5.51181100,3.30708700
16.26311065,-7.48031400,3.30708700
16.32711065,-8.66141700,3.30708700
16.39111065,-8.26771600,3.30708700
16.45511065,-5.90551100,3.30708700
16.51911064,-7.87401500,3.30708700
16.58311064,-7.48031400,3.30708700
16.64711064,-2.36220500,3.30708700
16.71111064,-7.87401500,3.30708700
16.77511064,-4.33070900,3.30708700
16.83911063,-7.08661400,3.30708700
16.90311063,-5.11811000,3.30708700
16.96711063,-11.81102000,3.30708700
17.03111063,-5.90551100,3.30708700
17.09511063,-9.44881800,3.22834600
17.15911063,-6.69291300,3.30708700
17.22311062,-7.87401500,3.30708700
17.28711062,-4.33070900,3.30708700
17.35111062,-6.29921200,3.30708700
17.41511062,-5.51181100,3.30708700
17.47911062,-4.33070900,3.30708700
17.54311062,-6.29921200,3.30708700
17.60711061,-6.69291300,3.30708700
17.67111061,-4.33070900,3.30708700
17.73511061,-3.14960600,3.30708700
17.79911061,-8.66141700,3.30708700
17.86311061,-3.14960600,3.30708700
17.92711060,-6.69291300,3.30708700
17.99111060,-8.26771600,3.30708700
18.05511060,-10.62992000,3.30708700
18.11911060,-4.72440900,3.30708700
18.18311060,-13.38583000,3.30708700
18.24711060,-6.69291300,3.30708700
18.31111059,-8.66141700,3.30708700
18.37511059,-11.41732000,3.30708700
18.43911059,-14.56693000,3.30708700
18.50311059,-6.69291300,3.22834600
18.56711059,-12.20472000,3.30708700
18.63111058,-13.77953000,3.30708700
18.69511058,-6.29921200,3.22834600
18.75911058,-9.84251900,3.22834600
18.82311058,-9.05511800,3.30708700
18.88711058,-6.69291300,3.30708700
18.95111058,-5.11811000,3.30708700
19.01511057,-11.02362000,3.30708700
19.07911057,-3.54330700,3.30708700
19.14311057,-6.29921200,3.30708700
19.20711057,-6.29921200,3.30708700
19.27111057,-7.48031400,3.30708700
19.33511056,-1.96850400,3.30708700
19.39911056,-9.44881800,3.30708700
19.46311056,-7.08661400,3.30708700
19.52711056,-8.66141700,3.30708700
19.59111056,-8.66141700,3.30708700
19.65511056,-11.41732000,3.30708700
19.71911055,-4.33070900,3.30708700
19.78311055,-7.08661400,3.30708700
19.84711055,-9.44881800,3.30708700
19.91111055,-3.54330700,3.30708700
19.97511055,-5.90551100,3.30708700
20.03911054,-8.66141700,3.30708700
20.10311054,-7.08661400,3.30708700
20.16711054,-2.75590500,3.30708700
20.23111054,-10.62992000,3.30708700
20.29511054,-2.75590500,3.30708700
20.35911054,-6.29921200,3.30708700
20.42311053,-5.90551100,3.30708700
20.48711053,-9.05511800,3.30708700
20.55111053,-3.93700800,3.30708700
20.61511053,-10.62992000,3.30708700
20.67911053,-8.66141700,3.30708700
20.74311052,-7.48031400,3.30708700
20.80711052,-8.26771600,3.30708700
20.87111052,-10.23622000,3.30708700
20.93511052,-8.26771600,3.30708700
20.99911052,-10.62992000,3.30708700
21.06311052,-12.99213000,3.30708700
21.12711051,-11.41732000,3.30708700
21.19111051,-11.02362000,3.30708700
21.25511051,-8.26771600,3.30708700
21.31911051,-9.84251900,3.30708700
21.38311051,-3.93700800,3.30708700
21.44711050,-9.84251900,3.30708700
21.51111050,-7.08661400,3.30708700
21.57511050,-9.05511800,3.22834600
21.63911050,-3.93700800,3.30708700
