Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-7.48031400,0.07874016
0.03840000,-4.33070900,3.22834600
0.10240000,-1.57480300,3.22834600
0.16640000,-7.87401500,3.30708700
0.23039999,-7.48031400,3.22834600
0.29439999,-1.18110200,3.22834600
0.35839999,-11.02362000,3.22834600
0.42239999,-4.33070900,3.22834600
0.48639999,-3.93700800,3.22834600
0.55039999,-3.14960600,3.22834600
0.61439998,-8.26771600,3.22834600
0.67839998,1.96850400,3.22834600
0.74239998,-7.48031400,3.22834600
0.80639998,-5.90551100,3.22834600
0.87039998,-2.75590500,3.22834600
0.93439997,-2.75590500,3.22834600
0.99839997,-7.48031400,3.22834600
1.06239997,-1.18110200,3.22834600
1.12639997,-2.75590500,3.22834600
1.19039997,-5.11811000,3.22834600
1.25439997,-1.96850400,3.30708700
1.31839996,-3.54330700,3.22834600
1.38239996,-5.90551100,3.22834600
1.44639996,-5.11811000,3.22834600
1.51039996,-2.36220500,3.22834600
1.57439996,-6.69291300,3.22834600
1.63839995,-1.18110200,3.22834600
1.70239995,-3.14960600,3.22834600
1.76639995,0.00000000,3.22834600
1.83039995,-6.69291300,3.22834600
1.89439995,0.00000000,3.22834600
1.95839995,-5.51181100,3.22834600
2.02239994,-1.18110200,3.30708700
2.08639994,-3.14960600,3.30708700
2.15039994,0.39370070,3.22834600
2.21439994,-3.14960600,3.30708700
2.27839994,-1.57480300,3.30708700
2.34239993,-0.39370070,3.30708700
2.40639993,-5.51181100,3.22834600
2.47039993,-2.75590500,3.22834600
2.53439993,-2.36220500,3.30708700
2.59839993,-1.96850400,3.22834600
2.66239993,-6.69291300,3.30708700
2.72639992,0.78740150,3.22834600
2.79039992,-5.90551100,3.22834600
2.85439992,-2.75590500,3.30708700
2.91839992,-3.93700800,3.30708700
2.98239992,-2.36220500,3.22834600
3.04639991,-9.05511800,3.22834600
3.11039991,0.39370070,3.22834600
3.17439991,-3.54330700,3.22834600
3.23839991,-3.93700800,3.22834600
3.30239991,-2.75590500,3.22834600
3.36639991,0.00000000,3.22834600
3.43039990,-4.72440900,3.22834600
3.49439990,-3.14960600,3.22834600
3.55839990,0.39370070,3.22834600
3.62239990,-3.93700800,3.30708700
3.68639990,-0.39370070,3.30708700
3.75039990,-1.57480300,3.30708700
3.81439989,0.00000000,3.22834600
3.87839989,-5.90551100,3.30708700
3.94239989,2.75590500,3.30708700
4.00639989,-5.90551100,3.30708700
4.07039989,-3.14960600,3.30708700
4.13439988,-4.33070900,3.30708700
4.19839988,0.39370070,3.30708700
4.26239988,-5.11811000,3.30708700
4.32639988,0.00000000,3.30708700
4.39039988,-1.57480300,3.22834600
4.45439988,-5.11811000,3.30708700
4.51839987,-1.96850400,3.22834600
4.58239987,0.00000000,3.30708700
4.64639987,-4.33070900,3.22834600
4.71039987,-2.36220500,3.22834600
4.77439987,2.36220500,3.30708700
4.83839986,-4.33070900,3.30708700
4.90239986,-2.36220500,3.22834600
4.96639986,-2.36220500,3.30708700
5.03039986,-3.14960600,3.22834600
5.09439986,-7.08661400,3.30708700
5.15839986,2.75590500,3.30708700
5.22239985,-6.29921200,3.30708700
5.28639985,-3.14960600,3.30708700
5.35039985,-3.93700800,3.22834600
5.41439985,-1.96850400,3.30708700
5.47839985,-8.26771600,3.30708700
5.54239984,-3.14960600,3.30708700
5.60639984,-4.33070900,3.22834600
5.67039984,-6.69291300,3.22834600
5.73439984,-3.54330700,3.30708700
5.79839984,-3.54330700,3.22834600
5.86239984,-3.14960600,3.22834600
5.92639983,-4.72440900,3.22834600
5.99039983,-0.78740150,3.22834600
6.05439983,-5.51181100,3.22834600
6.11839983,-3.93700800,3.22834600
6.18239983,-3.54330700,3.22834600
6.24639982,1.18110200,3.22834600
6.31039982,-5.51181100,3.30708700
6.37439982,-0.78740150,3.22834600
6.43839982,-2.75590500,3.22834600
6.50239982,-2.75590500,3.30708700
6.56639982,-5.90551100,3.22834600
6.63039981,0.39370070,3.22834600
6.69439981,-6.29921200,3.30708700
6.75839981,-3.93700800,3.30708700
6.82239981,-0.78740150,3.22834600
6.88639981,-3.93700800,3.30708700
6.95039980,-4.72440900,3.30708700
7.01439980,-1.18110200,3.30708700
7.07839980,-2.75590500,3.30708700
7.14239980,-8.66141700,3.30708700
7.20639980,1.57480300,3.30708700
7.27039980,-3.93700800,3.30708700
7.33439979,-2.75590500,3.30708700
7.39839979,-2.75590500,3.30708700
7.46239979,1.18110200,3.30708700
7.52639979,-8.66141700,3.22834600
7.59039979,-1.18110200,3.30708700
7.65439978,-3.14960600,3.30708700
7.71839978,-5.51181100,3.30708700
7.78239978,-4.33070900,3.30708700
7.84639978,0.78740150,3.30708700
7.91039978,-5.51181100,3.30708700
7.97439978,-5.11811000,3.30708700
8.03839977,-3.14960600,3.30708700
8.10239977,-5.51181100,3.30708700
8.16639977,-6.69291300,3.30708700
8.23039977,-3.93700800,3.30708700
8.29439977,-3.54330700,3.30708700
8.35839976,-8.66141700,3.30708700
8.42239976,-1.96850400,3.30708700
8.48639976,-4.72440900,3.30708700
8.55039976,-3.54330700,3.30708700
8.61439976,-7.87401500,3.22834600
8.67839976,0.00000000,3.22834600
8.74239975,-8.66141700,3.22834600
8.80639975,-2.75590500,3.30708700
8.87039975,-2.36220500,3.22834600
8.93439975,-2.36220500,3.30708700
8.99839975,-5.11811000,3.30708700
9.06239974,-1.18110200,3.30708700
9.12639974,-3.93700800,3.30708700
9.19039974,-7.08661400,3.30708700
9.25439974,-0.39370070,3.30708700
9.31839974,-3.54330700,3.30708700
9.38239974,-3.14960600,3.30708700
9.44639973,-3.54330700,3.30708700
9.51039973,0.00000000,3.30708700
9.57439973,-6.69291300,3.30708700
9.63839973,-1.18110200,3.30708700
9.70239973,-3.93700800,3.30708700
9.76639972,-2.36220500,3.30708700
9.83039972,-4.72440900,3.30708700
9.89439972,3.14960600,3.22834600
9.95839972,-3.54330700,3.30708700
10.02239972,-1.18110200,3.30708700
10.08639972,-1.57480300,3.30708700
10.15039971,-0.78740150,3.30708700
10.21439971,-5.51181100,3.30708700
10.27839971,-1.96850400,3.30708700
10.34239971,0.00000000,3.30708700
10.40639971,-4.72440900,3.30708700
10.47039970,0.39370070,3.30708700
10.53439970,-1.57480300,3.30708700
10.59839970,-3.14960600,3.30708700
10.66239970,-6.69291300,3.30708700
10.72639970,1.18110200,3.30708700
10.79039970,-8.26771600,3.30708700
10.85439969,-3.14960600,3.30708700
10.91839969,-1.96850400,3.30708700
10.98239969,-2.36220500,3.30708700
11.04639969,-7.48031400,3.22834600
11.11039969,0.00000000,3.30708700
11.17439969,-5.51181100,3.30708700
11.23839968,-5.90551100,3.30708700
11.30239968,-2.36220500,3.30708700
11.36639968,-1.96850400,3.30708700
11.43039968,-4.72440900,3.30708700
11.49439968,-0.39370070,3.30708700
11.55839967,-0.39370070,3.30708700
11.62239967,-6.29921200,3.30708700
11.68639967,0.00000000,3.30708700
11.75039967,-4.33070900,3.30708700
11.81439967,-2.36220500,3.30708700
11.87839967,-3.93700800,3.30708700
11.94239966,1.96850400,3.30708700
12.00639966,-6.69291300,3.30708700
12.07039966,0.39370070,3.30708700
12.13439966,-4.33070900,3.22834600
12.19839966,-3.54330700,3.30708700
12.26239965,-5.90551100,3.30708700
12.32639965,-1.57480300,3.22834600
12.39039965,-3.54330700,3.30708700
12.45439965,-3.54330700,3.30708700
12.51839965,-1.96850400,3.30708700
12.58239965,-1.57480300,3.30708700
12.64639964,-1.96850400,3.30708700
12.71039964,-4.72440900,3.30708700
12.77439964,-1.18110200,3.30708700
12.83839964,-5.51181100,3.30708700
12.90239964,-2.75590500,3.30708700
12.96639963,-2.75590500,3.30708700
13.03039963,-1.57480300,3.30708700
13.09439963,-7.87401500,3.30708700
13.15839963,1.18110200,3.30708700
13.22239963,-5.90551100,3.30708700
13.28639963,-5.51181100,3.30708700
13.35039962,-7.08661400,3.30708700
13.41439962,-3.14960600,3.30708700
13.47839962,-9.05511800,3.30708700
13.54239962,-4.33070900,3.30708700
13.60639962,-4.33070900,3.30708700
13.67039961,-9.44881800,3.30708700
13.73439961,-5.90551100,3.30708700
13.79839961,-7.08661400,3.22834600
13.86239961,-9.05511800,3.22834600
13.92639961,-9.84251900,3.30708700
13.99039961,-2.36220500,3.30708700
14.05439960,-9.44881800,3.30708700
14.11839960,-3.54330700,3.30708700
14.18239960,-6.29921200,3.22834600
14.24639960,-4.72440900,3.22834600
14.31039960,-9.05511800,3.30708700
14.37439959,-2.75590500,3.30708700
14.43839959,-6.69291300,3.22834600
14.50239959,-5.51181100,3.22834600
14.56639959,-4.33070900,3.30708700
14.63039959,-2.36220500,3.30708700
14.69439959,-8.26771600,3.30708700
14.75839958,-5.90551100,3.30708700
14.82239958,-5.51181100,3.30708700
14.88639958,-9.44881800,3.30708700
14.95039958,-5.51181100,3.30708700
15.01439958,-4.33070900,3.30708700
15.07839957,-6.29921200,3.30708700
15.14239957,-8.66141700,3.30708700
15.20639957,0.39370070,3.30708700
15.27039957,-9.44881800,3.30708700
15.33439957,-5.90551100,3.30708700
15.39839957,-6.29921200,3.30708700
15.46239956,-3.54330700,3.30708700
15.52639956,-9.05511800,3.30708700
15.59039956,-2.36220500,3.30708700
15.65439956,-6.29921200,3.30708700
15.71839956,-7.87401500,3.30708700
15.78239955,-5.90551100,3.30708700
15.84639955,-5.51181100,3.30708700
15.91039955,-9.44881800,3.30708700
15.97439955,-6.69291300,3.30708700
16.03839955,-5.11811000,3.30708700
16.10239955,-9.44881800,3.30708700
16.16639954,-6.69291300,3.30708700
16.23039954,-8.26771600,3.30708700
16.29439954,-7.48031400,3.22834600
16.35839954,-11.81102000,3.30708700
16.42239954,-6.29921200,3.22834600
16.48639953,-10.62992000,3.22834600
16.55039953,-6.69291300,3.30708700
16.61439953,-8.66141700,3.30708700
16.67839953,-3.54330700,3.22834600
16.74239953,-10.23622000,3.30708700
16.80639953,-6.29921200,3.22834600
16.87039952,-7.08661400,3.22834600
16.93439952,-7.48031400,3.30708700
16.99839952,-8.26771600,3.30708700
17.06239952,-3.93700800,3.30708700
17.12639952,-5.11811000,3.30708700
17.19039951,-8.66141700,3.30708700
17.25439951,-1.57480300,3.30708700
17.31839951,-7.87401500,3.30708700
17.38239951,-7.87401500,3.30708700
17.44639951,-6.69291300,3.30708700
17.51039951,-4.33070900,3.30708700
17.57439950,-11.41732000,3.30708700
17.63839950,-3.14960600,3.30708700
17.70239950,-4.72440900,3.30708700
17.76639950,-8.26771600,3.30708700
17.83039950,-8.26771600,3.30708700
17.89439949,-1.96850400,3.30708700
17.95839949,-11.41732000,3.30708700
18.02239949,-4.72440900,3.30708700
18.08639949,-4.33070900,3.30708700
18.15039949,-6.69291300,3.30708700
18.21439949,-6.69291300,3.30708700
18.27839948,-3.14960600,3.30708700
18.34239948,-7.08661400,3.30708700
18.40639948,-11.02362000,3.30708700
18.47039948,-3.54330700,3.30708700
18.53439948,-8.66141700,3.30708700
18.59839948,-6.29921200,3.30708700
18.66239947,-7.87401500,3.30708700
18.72639947,-3.54330700,3.30708700
18.79039947,-11.81102000,3.22834600
18.85439947,-5.51181100,3.30708700
18.91839947,-8.66141700,3.30708700
18.98239946,-9.05511800,3.30708700
19.04639946,-11.81102000,3.30708700
19.11039946,-4.72440900,3.30708700
19.17439946,-9.84251900,3.30708700
19.23839946,-7.87401500,3.22834600
19.30239946,-6.29921200,3.30708700
19.36639945,-7.08661400,3.30708700
19.43039945,-9.84251900,3.22834600
19.49439945,-7.08661400,3.30708700
19.55839945,-5.90551100,3.22834600
19.62239945,-9.84251900,3.30708700
19.68639944,-2.36220500,3.30708700
19.75039944,-5.90551100,3.22834600
19.81439944,-5.11811000,3.22834600
19.87839944,-8.66141700,3.30708700
19.94239944,-1.18110200,3.30708700
20.00639944,-10.62992000,3.30708700
20.07039943,-4.72440900,3.30708700
20.13439943,-6.69291300,3.30708700
20.19839943,-4.72440900,3.30708700
20.26239943,-7.87401500,3.30708700
20.32639943,-3.93700800,3.30708700
20.39039942,-6.69291300,3.30708700
20.45439942,-9.84251900,3.30708700
20.51839942,-5.90551100,3.30708700
20.58239942,-5.90551100,3.30708700
20.64639942,-7.48031400,3.30708700
20.71039942,-6.69291300,3.30708700
20.77439941,-1.57480300,3.30708700
20.83839941,-7.87401500,3.30708700
20.90239941,-5.11811000,3.30708700
20.96639941,-6.69291300,3.30708700
21.03039941,-6.29921200,3.30708700
21.09439940,-11.41732000,3.30708700
21.15839940,-1.96850400,3.30708700
21.22239940,-8.26771600,3.30708700
21.28639940,-5.51181100,3.30708700
21.35039940,-5.90551100,3.30708700
21.41439940,-3.54330700,3.30708700
21.47839939,-12.59842000,3.30708700
21.54239939,-6.69291300,3.30708700
21.60639939,-6.69291300,3.30708700
21.67039939,-10.62992000,3.30708700
