Time,Channel A,Channel B
(us),(mV),(V)

-0.02357895,-20.47244000,0.23622050
0.04042105,-12.20472000,3.22834600
0.10442105,-2.75590500,3.22834600
0.16842105,-7.48031400,3.22834600
0.23242105,-6.29921200,3.22834600
0.29642104,-9.05511800,3.22834600
0.36042104,-2.36220500,3.22834600
0.42442104,-9.44881800,3.22834600
0.48842104,-5.11811000,3.22834600
0.55242104,-3.54330700,3.22834600
0.61642104,-6.69291300,3.22834600
0.68042103,-4.72440900,3.22834600
0.74442103,-1.96850400,3.22834600
0.80842103,-4.33070900,3.22834600
0.87242103,-8.66141700,3.22834600
0.93642103,-0.39370070,3.22834600
1.00042102,-8.66141700,3.22834600
1.06442102,-5.51181100,3.22834600
1.12842102,-3.54330700,3.22834600
1.19242102,-1.57480300,3.22834600
1.25642102,-7.48031400,3.22834600
1.32042102,2.36220500,3.22834600
1.38442101,-4.33070900,3.22834600
1.44842101,-4.33070900,3.22834600
1.51242101,-2.75590500,3.22834600
1.57642101,-0.78740150,3.22834600
1.64042101,-7.08661400,3.22834600
1.70442100,-0.78740150,3.22834600
1.76842100,-0.39370070,3.22834600
1.83242100,-3.14960600,3.22834600
1.89642100,-0.78740150,3.22834600
1.96042100,-0.78740150,3.22834600
2.02442100,-0.78740150,3.22834600
2.08842099,-4.33070900,3.22834600
2.15242099,2.36220500,3.22834600
2.21642099,-5.11811000,3.22834600
2.28042099,-1.57480300,3.22834600
2.34442099,-4.33070900,3.22834600
2.40842099,1.18110200,3.22834600
2.47242098,-6.69291300,3.22834600
2.53642098,-3.14960600,3.22834600
2.60042098,-3.54330700,3.22834600
2.66442098,-1.57480300,3.22834600
2.72842098,-4.33070900,3.22834600
2.79242097,-0.39370070,3.22834600
2.85642097,-2.75590500,3.22834600
2.92042097,-3.93700800,3.22834600
2.98442097,-0.39370070,3.22834600
3.04842097,-4.72440900,3.22834600
3.11242097,-3.93700800,3.22834600
3.17642096,-1.96850400,3.22834600
3.24042096,1.18110200,3.30708700
3.30442096,-5.51181100,3.30708700
3.36842096,1.18110200,3.22834600
3.43242096,-2.75590500,3.30708700
3.49642095,0.78740150,3.22834600
3.56042095,-4.72440900,3.30708700
3.62442095,0.78740150,3.22834600
3.68842095,-9.05511800,3.22834600
3.75242095,-3.54330700,3.22834600
3.81642095,-1.18110200,3.22834600
3.88042094,-1.57480300,3.30708700
3.94442094,-3.54330700,3.22834600
4.00842094,0.00000000,3.22834600
4.07242094,-1.57480300,3.30708700
4.13642094,-5.90551100,3.30708700
4.20042093,0.00000000,3.22834600
4.26442093,-4.33070900,3.30708700
4.32842093,-2.75590500,3.22834600
4.39242093,-1.18110200,3.30708700
4.45642093,2.36220500,3.30708700
4.52042093,-7.87401500,3.30708700
4.58442092,-1.18110200,3.22834600
4.64842092,-1.57480300,3.30708700
4.71242092,-1.96850400,3.22834600
4.77642092,-5.90551100,3.30708700
4.84042092,3.14960600,3.22834600
4.90442091,-8.26771600,3.30708700
4.96842091,-4.72440900,3.30708700
5.03242091,-3.93700800,3.22834600
5.09642091,-7.08661400,3.30708700
5.16042091,-12.59842000,3.30708700
5.22442091,-1.96850400,3.30708700
5.28842090,-3.54330700,3.22834600
5.35242090,-8.66141700,3.22834600
5.41642090,0.00000000,3.22834600
5.48042090,-3.93700800,3.22834600
5.54442090,-4.33070900,3.30708700
5.60842089,-5.11811000,3.30708700
5.67242089,-1.18110200,3.22834600
5.73642089,-7.48031400,3.22834600
5.80042089,0.39370070,3.22834600
5.86442089,-3.93700800,3.22834600
5.92842089,-1.57480300,3.30708700
5.99242088,-5.11811000,3.22834600
6.05642088,0.00000000,3.30708700
6.12042088,-3.93700800,3.22834600
6.18442088,-3.93700800,3.30708700
6.24842088,-5.90551100,3.22834600
6.31242087,-1.57480300,3.30708700
6.37642087,-3.93700800,3.30708700
6.44042087,-3.14960600,3.30708700
6.50442087,-0.78740150,3.22834600
6.56842087,-4.33070900,3.30708700
6.63242087,-2.36220500,3.30708700
6.69642086,-2.36220500,3.22834600
6.76042086,-1.96850400,3.30708700
6.82442086,-7.87401500,3.30708700
6.88842086,2.75590500,3.22834600
6.95242086,-3.93700800,3.30708700
7.01642085,-1.57480300,3.30708700
7.08042085,-4.72440900,3.30708700
7.14442085,0.78740150,3.30708700
7.20842085,-7.87401500,3.30708700
7.27242085,0.78740150,3.22834600
7.33642085,0.39370070,3.30708700
7.40042084,-3.54330700,3.30708700
7.46442084,-0.78740150,3.30708700
7.52842084,-0.78740150,3.30708700
7.59242084,-6.29921200,3.30708700
7.65642084,-7.08661400,3.30708700
7.72042083,-1.96850400,3.30708700
7.78442083,-7.48031400,3.30708700
7.84842083,-4.33070900,3.30708700
7.91242083,-3.93700800,3.30708700
7.97642083,-3.93700800,3.22834600
8.04042083,-7.48031400,3.30708700
8.10442082,1.57480300,3.30708700
8.16842082,-7.08661400,3.22834600
8.23242082,-4.33070900,3.30708700
8.29642082,-6.69291300,3.30708700
8.36042082,1.18110200,3.30708700
8.42442081,-7.08661400,3.22834600
8.48842081,-1.18110200,3.30708700
8.55242081,-2.75590500,3.22834600
8.61642081,-5.11811000,3.30708700
8.68042081,-3.14960600,3.30708700
8.74442081,-2.36220500,3.30708700
8.80842080,-3.93700800,3.22834600
8.87242080,-5.90551100,3.22834600
8.93642080,0.78740150,3.30708700
9.00042080,-6.29921200,3.30708700
9.06442080,-4.33070900,3.30708700
9.12842079,-4.33070900,3.30708700
9.19242079,-1.96850400,3.30708700
9.25642079,-7.08661400,3.30708700
9.32042079,0.39370070,3.30708700
9.38442079,-2.36220500,3.30708700
9.44842079,0.00000000,3.30708700
9.51242078,0.00000000,3.22834600
9.57642078,2.36220500,3.22834600
9.64042078,-3.93700800,3.30708700
9.70442078,0.00000000,3.30708700
9.76842078,0.00000000,3.30708700
9.83242078,-0.39370070,3.30708700
9.89642077,-0.39370070,3.30708700
9.96042077,1.18110200,3.30708700
10.02442077,2.36220500,3.30708700
10.08842077,-2.36220500,3.30708700
10.15242077,1.18110200,3.30708700
10.21642076,-3.93700800,3.30708700
10.28042076,-1.18110200,3.30708700
10.34442076,-5.90551100,3.30708700
10.40842076,1.96850400,3.30708700
10.47242076,-6.69291300,3.30708700
10.53642076,-2.36220500,3.30708700
10.60042075,-2.75590500,3.30708700
10.66442075,-2.36220500,3.30708700
10.72842075,-7.48031400,3.30708700
10.79242075,-0.39370070,3.30708700
10.85642075,-2.75590500,3.30708700
10.92042074,-5.11811000,3.30708700
10.98442074,0.39370070,3.30708700
11.04842074,-1.18110200,3.30708700
11.11242074,-5.51181100,3.30708700
11.17642074,-1.18110200,3.30708700
11.24042074,0.39370070,3.30708700
11.30442073,-7.48031400,3.30708700
11.36842073,0.39370070,3.30708700
11.43242073,-1.57480300,3.30708700
11.49642073,-1.96850400,3.30708700
11.56042073,-3.93700800,3.30708700
11.62442072,1.96850400,3.22834600
11.68842072,-8.66141700,3.30708700
11.75242072,-1.18110200,3.30708700
11.81642072,-2.75590500,3.30708700
11.88042072,-3.14960600,3.30708700
11.94442072,-5.11811000,3.30708700
12.00842071,0.78740150,3.30708700
12.07242071,-1.96850400,3.30708700
12.13642071,-3.93700800,3.30708700
12.20042071,-0.39370070,3.30708700
12.26442071,-3.14960600,3.30708700
12.32842070,-3.54330700,3.30708700
12.39242070,-3.14960600,3.30708700
12.45642070,0.00000000,3.30708700
12.52042070,-5.11811000,3.30708700
12.58442070,0.39370070,3.30708700
12.64842070,-1.57480300,3.30708700
12.71242069,-1.96850400,3.30708700
12.77642069,-7.48031400,3.30708700
12.84042069,0.00000000,3.30708700
12.90442069,-6.69291300,3.30708700
12.96842069,-5.11811000,3.30708700
13.03242068,-6.69291300,3.30708700
13.09642068,-3.14960600,3.30708700
13.16042068,-10.62992000,3.30708700
13.22442068,-5.90551100,3.30708700
13.28842068,-7.08661400,3.30708700
13.35242068,-10.62992000,3.30708700
13.41642067,-7.48031400,3.30708700
13.48042067,-6.29921200,3.30708700
13.54442067,-7.08661400,3.22834600
13.60842067,-9.84251900,3.22834600
13.67242067,-3.14960600,3.30708700
13.73642066,-12.59842000,3.30708700
13.80042066,-6.69291300,3.30708700
13.86442066,-9.84251900,3.30708700
13.92842066,-5.51181100,3.30708700
13.99242066,-11.41732000,3.30708700
14.05642066,-3.93700800,3.30708700
14.12042065,-7.08661400,3.30708700
14.18442065,-7.48031400,3.22834600
14.24842065,-7.08661400,3.30708700
14.31242065,-2.75590500,3.22834600
14.37642065,-10.23622000,3.30708700
14.44042064,-7.48031400,3.30708700
14.50442064,-3.54330700,3.22834600
14.56842064,-7.48031400,3.30708700
14.63242064,-7.48031400,3.30708700
14.69642064,-3.93700800,3.30708700
14.76042064,-6.29921200,3.30708700
14.82442063,-11.81102000,3.30708700
14.88842063,-0.78740150,3.30708700
14.95242063,-8.26771600,3.30708700
15.01642063,-6.29921200,3.30708700
15.08042063,-5.51181100,3.30708700
15.14442062,0.00000000,3.30708700
15.20842062,-10.23622000,3.30708700
15.27242062,-2.36220500,3.30708700
15.33642062,-5.90551100,3.30708700
15.40042062,-8.26771600,3.30708700
15.46442062,-6.29921200,3.30708700
15.52842061,-3.14960600,3.30708700
15.59242061,-8.66141700,3.30708700
15.65642061,-8.66141700,3.30708700
15.72042061,-5.51181100,3.30708700
15.78442061,-9.84251900,3.30708700
15.84842060,-9.84251900,3.30708700
15.91242060,-9.84251900,3.30708700
15.97642060,-7.08661400,3.30708700
16.04042060,-11.41732000,3.30708700
16.10442060,-6.29921200,3.30708700
16.16842060,-9.44881800,3.30708700
16.23242059,-8.26771600,3.30708700
16.29642059,-12.20472000,3.22834600
16.36042059,-4.72440900,3.30708700
16.42442059,-12.20472000,3.30708700
16.48842059,-7.08661400,3.30708700
16.55242059,-7.08661400,3.22834600
16.61642058,-3.14960600,3.30708700
16.68042058,-8.26771600,3.30708700
16.74442058,-4.33070900,3.30708700
16.80842058,-4.33070900,3.22834600
16.87242058,-9.84251900,3.30708700
16.93642057,-3.93700800,3.30708700
17.00042057,-6.69291300,3.30708700
17.06442057,-7.08661400,3.30708700
17.12842057,-7.87401500,3.30708700
17.19242057,-1.18110200,3.30708700
17.25642057,-11.41732000,3.30708700
17.32042056,-5.51181100,3.30708700
17.38442056,-5.51181100,3.30708700
17.44842056,-6.29921200,3.30708700
17.51242056,-8.66141700,3.30708700
17.57642056,0.00000000,3.30708700
17.64042055,-7.87401500,3.30708700
17.70442055,-4.72440900,3.30708700
17.76842055,-4.33070900,3.30708700
17.83242055,-4.33070900,3.30708700
17.89642055,-9.84251900,3.30708700
17.96042055,-4.72440900,3.30708700
18.02442054,-4.72440900,3.30708700
18.08842054,-9.05511800,3.30708700
18.15242054,-5.11811000,3.30708700
18.21642054,-5.51181100,3.30708700
18.28042054,-6.29921200,3.30708700
18.34442053,-11.02362000,3.30708700
18.40842053,-4.33070900,3.30708700
18.47242053,-12.99213000,3.30708700
18.53642053,-7.87401500,3.30708700
18.60042053,-9.05511800,3.30708700
18.66442053,-6.69291300,3.30708700
18.72842052,-12.59842000,3.30708700
18.79242052,-5.51181100,3.30708700
18.85642052,-8.66141700,3.30708700
18.92042052,-9.05511800,3.30708700
18.98442052,-7.48031400,3.22834600
19.04842051,-6.29921200,3.30708700
19.11242051,-8.26771600,3.22834600
19.17642051,-4.33070900,3.30708700
19.24042051,-4.72440900,3.30708700
19.30442051,-7.87401500,3.22834600
19.36842051,-4.72440900,3.30708700
19.43242050,-6.69291300,3.22834600
19.49642050,-6.29921200,3.30708700
19.56042050,-9.05511800,3.30708700
19.62442050,-2.75590500,3.30708700
19.68842050,-7.87401500,3.30708700
19.75242049,-2.36220500,3.30708700
19.81642049,-7.87401500,3.30708700
19.88042049,-3.14960600,3.30708700
19.94442049,-9.44881800,3.22834600
20.00842049,-4.72440900,3.30708700
20.07242049,-6.69291300,3.30708700
20.13642048,-6.69291300,3.30708700
20.20042048,-6.69291300,3.22834600
20.26442048,-2.36220500,3.30708700
20.32842048,-5.90551100,3.30708700
20.39242048,-8.66141700,3.30708700
20.45642047,-3.93700800,3.30708700
20.52042047,-7.48031400,3.30708700
20.58442047,-7.48031400,3.30708700
20.64842047,-5.90551100,3.30708700
20.71242047,-3.93700800,3.30708700
20.77642047,-11.02362000,3.30708700
20.84042046,-2.75590500,3.30708700
20.90442046,-6.69291300,3.30708700
20.96842046,-9.44881800,3.30708700
21.03242046,-10.62992000,3.30708700
21.09642046,-4.33070900,3.30708700
21.16042045,-13.38583000,3.30708700
21.22442045,-5.51181100,3.30708700
21.28842045,-6.29921200,3.30708700
21.35242045,-7.87401500,3.30708700
21.41642045,-8.66141700,3.22834600
21.48042045,-4.33070900,3.30708700
21.54442044,-10.23622000,3.22834600
21.60842044,-9.84251900,3.30708700
21.67242044,-3.14960600,3.30708700
21.73642044,-8.66141700,3.30708700
