Time,Channel A,Channel B
(us),(mV),(V)

-0.05688889,-5.90551100,0.07874016
0.00711111,-4.33070900,1.49606300
0.07111111,-10.62992000,3.22834600
0.13511111,-3.14960600,3.22834600
0.19911111,-4.33070900,3.22834600
0.26311110,-7.87401500,3.22834600
0.32711110,-3.54330700,3.22834600
0.39111110,-4.33070900,3.30708700
0.45511110,-7.48031400,3.30708700
0.51911110,-6.69291300,3.22834600
0.58311109,-0.39370070,3.22834600
0.64711109,-7.87401500,3.22834600
0.71111109,-1.18110200,3.22834600
0.77511109,-5.11811000,3.30708700
0.83911109,-2.36220500,3.22834600
0.90311109,-7.08661400,3.22834600
0.96711108,-2.36220500,3.30708700
1.03111108,-6.29921200,3.22834600
1.09511108,-3.14960600,3.22834600
1.15911108,-4.72440900,3.22834600
1.22311108,-0.78740150,3.22834600
1.28711107,-3.14960600,3.30708700
1.35111107,-0.39370070,3.30708700
1.41511107,-2.36220500,3.22834600
1.47911107,-3.93700800,3.30708700
1.54311107,-4.33070900,3.22834600
1.60711107,-4.33070900,3.22834600
1.67111106,-0.78740150,3.22834600
1.73511106,-3.93700800,3.30708700
1.79911106,3.93700800,3.22834600
1.86311106,-1.18110200,3.22834600
1.92711106,-0.78740150,3.30708700
1.99111105,-4.72440900,3.30708700
2.05511105,2.36220500,3.22834600
2.11911105,-6.69291300,3.30708700
2.18311105,-1.96850400,3.30708700
2.24711105,-2.36220500,3.22834600
2.31111105,-3.54330700,3.22834600
2.37511104,-6.29921200,3.22834600
2.43911104,0.78740150,3.30708700
2.50311104,-7.08661400,3.22834600
2.56711104,-6.69291300,3.30708700
2.63111104,-1.96850400,3.22834600
2.69511103,-3.54330700,3.22834600
2.75911103,-5.90551100,3.22834600
2.82311103,0.00000000,3.22834600
2.88711103,1.57480300,3.22834600
2.95111103,-4.72440900,3.22834600
3.01511103,1.96850400,3.22834600
3.07911102,-2.75590500,3.30708700
3.14311102,-1.96850400,3.30708700
3.20711102,-3.14960600,3.22834600
3.27111102,1.57480300,3.30708700
3.33511102,-6.69291300,3.30708700
3.39911102,-1.18110200,3.30708700
3.46311101,-2.36220500,3.22834600
3.52711101,-3.14960600,3.30708700
3.59111101,-6.29921200,3.30708700
3.65511101,-2.36220500,3.30708700
3.71911101,-3.54330700,3.30708700
3.78311100,-4.72440900,3.30708700
3.84711100,0.39370070,3.30708700
3.91111100,-2.75590500,3.30708700
3.97511100,-1.57480300,3.30708700
4.03911100,-3.93700800,3.22834600
4.10311100,0.00000000,3.30708700
4.16711099,-7.08661400,3.30708700
4.23111099,-0.78740150,3.30708700
4.29511099,-0.39370070,3.30708700
4.35911099,0.00000000,3.22834600
4.42311099,-2.75590500,3.30708700
4.48711098,1.96850400,3.30708700
4.55111098,-5.11811000,3.30708700
4.61511098,-4.33070900,3.30708700
4.67911098,-4.33070900,3.30708700
4.74311098,-3.54330700,3.30708700
4.80711098,-7.48031400,3.30708700
4.87111097,-2.75590500,3.30708700
4.93511097,-4.72440900,3.30708700
4.99911097,-8.26771600,3.22834600
5.06311097,-4.33070900,3.30708700
5.12711097,-6.29921200,3.30708700
5.19111096,-4.33070900,3.30708700
5.25511096,-8.66141700,3.22834600
5.31911096,0.00000000,3.30708700
5.38311096,-8.66141700,3.22834600
5.44711096,-2.75590500,3.22834600
5.51111096,-3.93700800,3.30708700
5.57511095,-0.78740150,3.30708700
5.63911095,-6.69291300,3.30708700
5.70311095,-0.78740150,3.22834600
5.76711095,-0.78740150,3.22834600
5.83111095,-3.93700800,3.30708700
5.89511094,-2.75590500,3.22834600
5.95911094,0.00000000,3.30708700
6.02311094,-5.51181100,3.30708700
6.08711094,-5.51181100,3.30708700
6.15111094,-0.78740150,3.30708700
6.21511094,-7.08661400,3.30708700
6.27911093,-3.93700800,3.30708700
6.34311093,-1.18110200,3.30708700
6.40711093,-1.57480300,3.22834600
6.47111093,-6.29921200,3.30708700
6.53511093,2.75590500,3.30708700
6.59911092,-4.33070900,3.30708700
6.66311092,-3.93700800,3.30708700
6.72711092,-3.14960600,3.30708700
6.79111092,0.39370070,3.30708700
6.85511092,-6.69291300,3.30708700
6.91911092,2.75590500,3.30708700
6.98311091,0.00000000,3.30708700
7.04711091,-3.14960600,3.30708700
7.11111091,-1.18110200,3.30708700
7.17511091,-0.39370070,3.30708700
7.23911091,-4.33070900,3.30708700
7.30311090,-4.33070900,3.30708700
7.36711090,0.00000000,3.30708700
7.43111090,-5.11811000,3.30708700
7.49511090,-3.54330700,3.22834600
7.55911090,-5.11811000,3.30708700
7.62311090,-4.33070900,3.30708700
7.68711089,-7.87401500,3.30708700
7.75111089,-2.75590500,3.30708700
7.81511089,-5.11811000,3.30708700
7.87911089,-5.11811000,3.30708700
7.94311089,-5.90551100,3.30708700
8.00711088,-1.18110200,3.30708700
8.07111088,-7.08661400,3.30708700
8.13511088,-3.54330700,3.22834600
8.19911088,-3.54330700,3.30708700
8.26311088,-1.57480300,3.30708700
8.32711088,-4.72440900,3.22834600
8.39111087,0.39370070,3.30708700
8.45511087,0.00000000,3.22834600
8.51911087,-5.51181100,3.30708700
8.58311087,0.78740150,3.30708700
8.64711087,-3.93700800,3.30708700
8.71111086,-3.54330700,3.30708700
8.77511086,-5.51181100,3.30708700
8.83911086,1.18110200,3.30708700
8.90311086,-6.69291300,3.30708700
8.96711086,-2.36220500,3.30708700
9.03111086,-3.54330700,3.30708700
9.09511085,-2.75590500,3.22834600
9.15911085,-5.11811000,3.30708700
9.22311085,0.39370070,3.30708700
9.28711085,-3.14960600,3.30708700
9.35111085,-1.96850400,3.30708700
9.41511084,1.57480300,3.30708700
9.47911084,1.96850400,3.30708700
9.54311084,-0.78740150,3.30708700
9.60711084,0.78740150,3.30708700
9.67111084,3.14960600,3.30708700
9.73511084,-1.18110200,3.30708700
9.79911083,2.36220500,3.30708700
9.86311083,1.96850400,3.30708700
9.92711083,2.36220500,3.30708700
9.99111083,-2.36220500,3.30708700
10.05511083,3.93700800,3.30708700
10.11911083,-5.51181100,3.22834600
10.18311082,-2.36220500,3.30708700
10.24711082,-2.36220500,3.30708700
10.31111082,-0.78740150,3.30708700
10.37511082,-8.66141700,3.30708700
10.43911082,0.00000000,3.30708700
10.50311081,-3.93700800,3.22834600
10.56711081,-5.90551100,3.22834600
10.63111081,-1.18110200,3.30708700
10.69511081,-3.93700800,3.30708700
10.75911081,-5.90551100,3.22834600
10.82311081,-2.36220500,3.30708700
10.88711080,1.96850400,3.30708700
10.95111080,-4.33070900,3.30708700
11.01511080,1.57480300,3.30708700
11.07911080,0.00000000,3.30708700
11.14311080,0.00000000,3.30708700
11.20711079,-3.54330700,3.30708700
11.27111079,1.18110200,3.30708700
11.33511079,-4.72440900,3.30708700
11.39911079,0.00000000,3.30708700
11.46311079,-2.36220500,3.30708700
11.52711079,0.00000000,3.30708700
11.59111078,-5.11811000,3.30708700
11.65511078,-1.57480300,3.30708700
11.71911078,-3.54330700,3.30708700
11.78311078,-3.14960600,3.30708700
11.84711078,-2.75590500,3.30708700
11.91111077,-1.18110200,3.30708700
11.97511077,0.00000000,3.30708700
12.03911077,-3.93700800,3.30708700
12.10311077,1.18110200,3.30708700
12.16711077,-3.54330700,3.30708700
12.23111077,-1.57480300,3.30708700
12.29511076,-2.75590500,3.30708700
12.35911076,1.57480300,3.22834600
12.42311076,-3.93700800,3.30708700
12.48711076,2.75590500,3.30708700
12.55111076,-0.39370070,3.30708700
12.61511075,-1.57480300,3.30708700
12.67911075,-4.33070900,3.30708700
12.74311075,-1.57480300,3.30708700
12.80711075,-7.48031400,3.30708700
12.87111075,-5.11811000,3.30708700
12.93511075,-3.93700800,3.30708700
12.99911074,-7.48031400,3.22834600
13.06311074,-8.66141700,3.22834600
13.12711074,-4.72440900,3.30708700
13.19111074,-7.87401500,3.22834600
13.25511074,-12.99213000,3.22834600
13.31911073,-4.72440900,3.30708700
13.38311073,-8.66141700,3.30708700
13.44711073,-8.26771600,3.30708700
13.51111073,-7.48031400,3.30708700
13.57511073,-2.75590500,3.30708700
13.63911073,-10.23622000,3.30708700
13.70311072,-3.54330700,3.30708700
13.76711072,-7.87401500,3.30708700
13.83111072,-7.08661400,3.30708700
13.89511072,-9.44881800,3.22834600
13.95911072,-3.93700800,3.30708700
14.02311071,-8.26771600,3.30708700
14.08711071,-9.05511800,3.30708700
14.15111071,-5.51181100,3.30708700
14.21511071,-8.26771600,3.30708700
14.27911071,-9.44881800,3.30708700
14.34311071,-6.29921200,3.30708700
14.40711070,-5.11811000,3.30708700
14.47111070,-9.44881800,3.30708700
14.53511070,-2.75590500,3.30708700
14.59911070,-5.51181100,3.30708700
14.66311070,-7.48031400,3.30708700
14.72711069,-7.87401500,3.30708700
14.79111069,-2.36220500,3.30708700
14.85511069,-10.62992000,3.30708700
14.91911069,-3.54330700,3.30708700
14.98311069,-4.72440900,3.30708700
15.04711069,-3.14960600,3.30708700
15.11111068,-5.11811000,3.30708700
15.17511068,-1.57480300,3.30708700
15.23911068,-6.29921200,3.30708700
15.30311068,-7.87401500,3.30708700
15.36711068,-5.11811000,3.30708700
15.43111067,-8.66141700,3.30708700
15.49511067,-7.08661400,3.30708700
15.55911067,-9.44881800,3.30708700
15.62311067,-5.90551100,3.30708700
15.68711067,-12.20472000,3.30708700
15.75111067,-9.05511800,3.30708700
15.81511066,-12.59842000,3.22834600
15.87911066,-8.66141700,3.30708700
15.94311066,-14.17323000,3.30708700
16.00711066,-5.51181100,3.30708700
16.07111066,-9.44881800,3.30708700
16.13511065,-12.20472000,3.30708700
16.19911065,-9.05511800,3.30708700
16.26311065,-7.08661400,3.30708700
16.32711065,-12.59842000,3.30708700
16.39111065,-7.08661400,3.30708700
16.45511065,-4.33070900,3.30708700
16.51911064,-7.87401500,3.30708700
16.58311064,-5.11811000,3.30708700
16.64711064,-3.14960600,3.30708700
16.71111064,-5.90551100,3.30708700
16.77511064,-9.84251900,3.30708700
16.83911063,-1.57480300,3.30708700
16.90311063,-10.62992000,3.30708700
16.96711063,-7.08661400,3.30708700
17.03111063,-6.69291300,3.30708700
17.09511063,-4.33070900,3.30708700
17.15911063,-11.81102000,3.30708700
17.22311062,-4.33070900,3.30708700
17.28711062,-7.48031400,3.22834600
17.35111062,-7.48031400,3.30708700
17.41511062,-5.11811000,3.30708700
17.47911062,-3.54330700,3.30708700
17.54311062,-6.69291300,3.30708700
17.60711061,-3.93700800,3.30708700
17.67111061,-2.75590500,3.30708700
17.73511061,-7.48031400,3.30708700
17.79911061,-7.08661400,3.30708700
17.86311061,-4.33070900,3.30708700
17.92711060,-4.33070900,3.30708700
17.99111060,-9.05511800,3.30708700
18.05511060,-3.93700800,3.30708700
18.11911060,-10.23622000,3.30708700
18.18311060,-7.87401500,3.30708700
18.24711060,-10.62992000,3.30708700
18.31111059,-7.08661400,3.30708700
18.37511059,-15.35433000,3.22834600
18.43911059,-8.26771600,3.30708700
18.50311059,-9.05511800,3.30708700
18.56711059,-10.23622000,3.22834600
18.63111058,-12.59842000,3.30708700
18.69511058,-8.26771600,3.30708700
18.75911058,-10.62992000,3.30708700
18.82311058,-10.62992000,3.30708700
18.88711058,-4.33070900,3.30708700
18.95111058,-9.44881800,3.30708700
19.01511057,-4.72440900,3.30708700
19.07911057,-4.33070900,3.30708700
19.14311057,-1.57480300,3.22834600
19.20711057,-9.05511800,3.30708700
19.27111057,-3.54330700,3.30708700
19.33511056,-6.69291300,3.22834600
19.39911056,-5.90551100,3.30708700
19.46311056,-8.66141700,3.30708700
19.52711056,-4.72440900,3.30708700
19.59111056,-8.66141700,3.30708700
19.65511056,-5.90551100,3.30708700
19.71911055,-6.69291300,3.22834600
19.78311055,-4.72440900,3.22834600
19.84711055,-9.44881800,3.30708700
19.91111055,-4.72440900,3.30708700
19.97511055,-3.54330700,3.30708700
20.03911054,-8.26771600,3.30708700
20.10311054,-2.36220500,3.30708700
20.16711054,-4.72440900,3.30708700
20.23111054,-4.72440900,3.30708700
20.29511054,-7.87401500,3.30708700
20.35911054,-1.96850400,3.30708700
20.42311053,-9.84251900,3.30708700
20.48711053,-3.54330700,3.30708700
20.55111053,-3.93700800,3.30708700
20.61511053,-4.33070900,3.30708700
20.67911053,-8.66141700,3.30708700
20.74311052,-3.14960600,3.30708700
20.80711052,-10.23622000,3.30708700
20.87111052,-9.84251900,3.30708700
20.93511052,-6.69291300,3.30708700
20.99911052,-9.44881800,3.30708700
21.06311052,-11.02362000,3.30708700
21.12711051,-7.08661400,3.30708700
21.19111051,-9.05511800,3.30708700
21.25511051,-11.02362000,3.22834600
21.31911051,-5.11811000,3.30708700
21.38311051,-7.87401500,3.22834600
21.44711050,-7.87401500,3.30708700
21.51111050,-8.66141700,3.30708700
21.57511050,-1.96850400,3.22834600
21.63911050,-8.66141700,3.30708700
21.70311050,-2.36220500,3.30708700
