Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-4.72440900,0.00000000
0.03680000,-5.11811000,3.14960600
0.10080000,-6.29921200,3.30708700
0.16480000,-1.18110200,3.22834600
0.22879999,-11.02362000,3.22834600
0.29279999,-5.51181100,3.30708700
0.35679999,-8.66141700,3.30708700
0.42079999,-8.66141700,3.22834600
0.48479999,-12.59842000,3.30708700
0.54879999,-4.33070900,3.22834600
0.61279998,-11.02362000,3.22834600
0.67679998,-7.08661400,3.22834600
0.74079998,-6.29921200,3.22834600
0.80479998,-5.90551100,3.22834600
0.86879998,-9.84251900,3.22834600
0.93279997,-5.51181100,3.22834600
0.99679997,-3.93700800,3.22834600
1.06079997,-7.48031400,3.22834600
1.12479997,-4.33070900,3.22834600
1.18879997,-3.93700800,3.22834600
1.25279997,-2.36220500,3.22834600
1.31679996,-7.08661400,3.22834600
1.38079996,0.00000000,3.22834600
1.44479996,-7.87401500,3.22834600
1.50879996,-3.54330700,3.22834600
1.57279996,-5.11811000,3.22834600
1.63679995,-0.39370070,3.22834600
1.70079995,-9.05511800,3.30708700
1.76479995,-1.57480300,3.22834600
1.82879995,-4.72440900,3.22834600
1.89279995,-4.72440900,3.22834600
1.95679995,-4.33070900,3.22834600
2.02079994,-1.18110200,3.22834600
2.08479994,-3.14960600,3.22834600
2.14879994,-2.75590500,3.22834600
2.21279994,2.36220500,3.22834600
2.27679994,-2.36220500,3.22834600
2.34079993,-1.18110200,3.30708700
2.40479993,-1.57480300,3.22834600
2.46879993,0.00000000,3.22834600
2.53279993,-5.51181100,3.30708700
2.59679993,0.78740150,3.22834600
2.66079993,-1.18110200,3.30708700
2.72479992,0.00000000,3.22834600
2.78879992,-3.14960600,3.30708700
2.85279992,2.75590500,3.22834600
2.91679992,-6.29921200,3.30708700
2.98079992,-2.36220500,3.22834600
3.04479991,-3.93700800,3.22834600
3.10879991,-5.51181100,3.22834600
3.17279991,-9.44881800,3.30708700
3.23679991,-2.36220500,3.22834600
3.30079991,-4.33070900,3.22834600
3.36479991,-9.44881800,3.22834600
3.42879990,-1.96850400,3.22834600
3.49279990,-6.29921200,3.22834600
3.55679990,-5.90551100,3.22834600
3.62079990,-7.87401500,3.22834600
3.68479990,-0.78740150,3.22834600
3.74879990,-8.66141700,3.22834600
3.81279989,-2.36220500,3.22834600
3.87679989,-2.75590500,3.22834600
3.94079989,-5.51181100,3.22834600
4.00479989,-6.29921200,3.22834600
4.06879989,0.00000000,3.22834600
4.13279988,-6.29921200,3.22834600
4.19679988,-3.14960600,3.30708700
4.26079988,-1.57480300,3.30708700
4.32479988,-2.36220500,3.30708700
4.38879988,-4.33070900,3.30708700
4.45279988,-3.54330700,3.22834600
4.51679987,-5.51181100,3.22834600
4.58079987,-9.05511800,3.30708700
4.64479987,-3.54330700,3.30708700
4.70879987,-6.69291300,3.30708700
4.77279987,-2.36220500,3.22834600
4.83679986,-3.93700800,3.30708700
4.90079986,1.18110200,3.22834600
4.96479986,-3.54330700,3.30708700
5.02879986,-0.78740150,3.30708700
5.09279986,-5.90551100,3.30708700
5.15679986,0.00000000,3.30708700
5.22079985,-5.90551100,3.30708700
5.28479985,-3.14960600,3.30708700
5.34879985,-2.36220500,3.22834600
5.41279985,-3.14960600,3.30708700
5.47679985,-3.14960600,3.30708700
5.54079984,-0.78740150,3.30708700
5.60479984,-4.72440900,3.30708700
5.66879984,-6.29921200,3.30708700
5.73279984,-1.96850400,3.30708700
5.79679984,-7.87401500,3.30708700
5.86079984,-5.51181100,3.30708700
5.92479983,-4.72440900,3.30708700
5.98879983,-4.33070900,3.22834600
6.05279983,-11.41732000,3.30708700
6.11679983,-2.75590500,3.22834600
6.18079983,-7.48031400,3.22834600
6.24479982,-6.69291300,3.30708700
6.30879982,-4.72440900,3.22834600
6.37279982,3.93700800,3.22834600
6.43679982,-8.66141700,3.22834600
6.50079982,-1.96850400,3.22834600
6.56479982,-4.72440900,3.22834600
6.62879981,-5.90551100,3.22834600
6.69279981,-5.11811000,3.22834600
6.75679981,-2.36220500,3.30708700
6.82079981,-2.36220500,3.22834600
6.88479981,-3.93700800,3.22834600
6.94879980,3.14960600,3.30708700
7.01279980,-6.29921200,3.30708700
7.07679980,-4.33070900,3.30708700
7.14079980,-6.29921200,3.30708700
7.20479980,-0.78740150,3.22834600
7.26879980,-8.66141700,3.30708700
7.33279979,-0.78740150,3.30708700
7.39679979,-1.57480300,3.22834600
7.46079979,-3.14960600,3.22834600
7.52479979,-4.33070900,3.30708700
7.58879979,0.00000000,3.30708700
7.65279978,-5.90551100,3.30708700
7.71679978,-1.96850400,3.30708700
7.78079978,0.78740150,3.30708700
7.84479978,-2.75590500,3.30708700
7.90879978,-1.57480300,3.30708700
7.97279978,0.00000000,3.22834600
8.03679977,-0.78740150,3.30708700
8.10079977,-4.33070900,3.30708700
8.16479977,0.78740150,3.30708700
8.22879977,-6.29921200,3.30708700
8.29279977,-1.57480300,3.30708700
8.35679976,-5.51181100,3.30708700
8.42079976,-2.36220500,3.30708700
8.48479976,-9.84251900,3.30708700
8.54879976,-2.36220500,3.30708700
8.61279976,-6.29921200,3.30708700
8.67679976,-5.11811000,3.22834600
8.74079975,-8.66141700,3.30708700
8.80479975,-4.33070900,3.30708700
8.86879975,-5.90551100,3.22834600
8.93279975,-5.51181100,3.30708700
8.99679975,-1.96850400,3.30708700
9.06079974,-3.93700800,3.30708700
9.12479974,-5.51181100,3.30708700
9.18879974,-5.11811000,3.22834600
9.25279974,0.78740150,3.22834600
9.31679974,-5.90551100,3.30708700
9.38079974,-0.39370070,3.30708700
9.44479973,1.18110200,3.30708700
9.50879973,1.18110200,3.30708700
9.57279973,-5.11811000,3.30708700
9.63679973,3.93700800,3.30708700
9.70079973,-3.54330700,3.30708700
9.76479972,-2.36220500,3.30708700
9.82879972,-1.18110200,3.30708700
9.89279972,0.39370070,3.30708700
9.95679972,-4.33070900,3.30708700
10.02079972,1.57480300,3.30708700
10.08479972,0.39370070,3.22834600
10.14879971,-5.11811000,3.30708700
10.21279971,1.18110200,3.30708700
10.27679971,0.00000000,3.30708700
10.34079971,-0.39370070,3.30708700
10.40479971,-1.57480300,3.22834600
10.46879970,3.93700800,3.22834600
10.53279970,-4.33070900,3.30708700
10.59679970,0.78740150,3.30708700
10.66079970,-1.18110200,3.30708700
10.72479970,-1.18110200,3.30708700
10.78879970,-3.14960600,3.30708700
10.85279969,3.14960600,3.30708700
10.91679969,-1.57480300,3.30708700
10.98079969,-1.57480300,3.30708700
11.04479969,-1.57480300,3.30708700
11.10879969,-2.36220500,3.30708700
11.17279969,-5.90551100,3.30708700
11.23679968,-4.33070900,3.30708700
11.30079968,-3.93700800,3.30708700
11.36479968,-7.08661400,3.30708700
11.42879968,-3.54330700,3.30708700
11.49279968,-3.93700800,3.30708700
11.55679967,-2.36220500,3.30708700
11.62079967,-6.69291300,3.22834600
11.68479967,0.00000000,3.30708700
11.74879967,-6.69291300,3.22834600
11.81279967,-2.75590500,3.30708700
11.87679967,-5.51181100,3.30708700
11.94079966,-0.78740150,3.30708700
12.00479966,-5.51181100,3.30708700
12.06879966,-0.39370070,3.22834600
12.13279966,-1.57480300,3.22834600
12.19679966,-3.93700800,3.22834600
12.26079965,-2.36220500,3.30708700
12.32479965,-1.18110200,3.30708700
12.38879965,-4.33070900,3.30708700
12.45279965,-5.11811000,3.30708700
12.51679965,0.78740150,3.30708700
12.58079965,-5.51181100,3.30708700
12.64479964,-3.93700800,3.30708700
12.70879964,-4.33070900,3.22834600
12.77279964,-1.96850400,3.30708700
12.83679964,-7.08661400,3.30708700
12.90079964,-0.78740150,3.30708700
12.96479963,-3.93700800,3.30708700
13.02879963,-2.36220500,3.30708700
13.09279963,-4.33070900,3.30708700
13.15679963,0.78740150,3.30708700
13.22079963,-9.84251900,3.22834600
13.28479963,-5.51181100,3.30708700
13.34879962,-3.54330700,3.30708700
13.41279962,-5.51181100,3.30708700
13.47679962,-5.90551100,3.30708700
13.54079962,-3.93700800,3.30708700
13.60479962,-4.33070900,3.30708700
13.66879961,-10.23622000,3.30708700
13.73279961,-2.75590500,3.30708700
13.79679961,-11.02362000,3.30708700
13.86079961,-11.41732000,3.30708700
13.92479961,-9.44881800,3.30708700
13.98879961,-5.90551100,3.30708700
14.05279960,-14.56693000,3.30708700
14.11679960,-5.11811000,3.30708700
14.18079960,-7.48031400,3.30708700
14.24479960,-9.05511800,3.30708700
14.30879960,-9.05511800,3.30708700
14.37279959,-3.93700800,3.22834600
14.43679959,-11.81102000,3.22834600
14.50079959,-5.90551100,3.30708700
14.56479959,-4.33070900,3.22834600
14.62879959,-8.26771600,3.30708700
14.69279959,-8.66141700,3.30708700
14.75679958,-5.51181100,3.30708700
14.82079958,-5.90551100,3.30708700
14.88479958,-9.44881800,3.30708700
14.94879958,-1.96850400,3.30708700
15.01279958,-7.08661400,3.30708700
15.07679957,-3.93700800,3.30708700
15.14079957,-7.87401500,3.30708700
15.20479957,-4.33070900,3.30708700
15.26879957,-11.81102000,3.30708700
15.33279957,-6.29921200,3.30708700
15.39679957,-8.26771600,3.22834600
15.46079956,-5.90551100,3.30708700
15.52479956,-9.05511800,3.30708700
15.58879956,-4.33070900,3.30708700
15.65279956,-3.93700800,3.30708700
15.71679956,-8.66141700,3.30708700
15.78079955,-5.51181100,3.30708700
15.84479955,-5.51181100,3.30708700
15.90879955,-7.87401500,3.30708700
15.97279955,-7.87401500,3.30708700
16.03679955,-3.14960600,3.30708700
16.10079955,-9.44881800,3.30708700
16.16479954,-3.93700800,3.30708700
16.22879954,-5.90551100,3.30708700
16.29279954,-7.08661400,3.30708700
16.35679954,-13.38583000,3.30708700
16.42079954,-4.33070900,3.30708700
16.48479953,-12.20472000,3.30708700
16.54879953,-7.87401500,3.30708700
16.61279953,-7.48031400,3.30708700
16.67679953,-7.08661400,3.30708700
16.74079953,-11.41732000,3.30708700
16.80479953,-7.08661400,3.30708700
16.86879952,-7.48031400,3.30708700
16.93279952,-13.38583000,3.22834600
16.99679952,-5.51181100,3.22834600
17.06079952,-9.05511800,3.30708700
17.12479952,-8.66141700,3.22834600
17.18879951,-10.23622000,3.30708700
17.25279951,-3.14960600,3.30708700
17.31679951,-10.62992000,3.30708700
17.38079951,-6.29921200,3.22834600
17.44479951,-6.29921200,3.30708700
17.50879951,-5.11811000,3.30708700
17.57279950,-9.84251900,3.30708700
17.63679950,-1.57480300,3.30708700
17.70079950,-7.87401500,3.30708700
17.76479950,-8.26771600,3.30708700
17.82879950,-8.26771600,3.30708700
17.89279949,-7.08661400,3.30708700
17.95679949,-11.81102000,3.30708700
18.02079949,-7.48031400,3.30708700
18.08479949,-6.69291300,3.30708700
18.14879949,-9.84251900,3.30708700
18.21279949,-4.72440900,3.30708700
18.27679948,-7.87401500,3.22834600
18.34079948,-6.29921200,3.30708700
18.40479948,-10.23622000,3.30708700
18.46879948,-2.36220500,3.30708700
18.53279948,-10.23622000,3.30708700
18.59679948,-5.51181100,3.30708700
18.66079947,-6.69291300,3.30708700
18.72479947,-6.29921200,3.30708700
18.78879947,-8.66141700,3.30708700
18.85279947,-3.93700800,3.30708700
18.91679947,-7.87401500,3.30708700
18.98079946,-6.29921200,3.30708700
19.04479946,-5.51181100,3.30708700
19.10879946,-7.08661400,3.30708700
19.17279946,-8.66141700,3.30708700
19.23679946,-7.48031400,3.30708700
19.30079946,-7.87401500,3.30708700
19.36479945,-11.02362000,3.30708700
19.42879945,-10.62992000,3.30708700
19.49279945,-10.62992000,3.30708700
19.55679945,-7.48031400,3.30708700
19.62079945,-10.62992000,3.30708700
19.68479944,-3.14960600,3.30708700
19.74879944,-9.44881800,3.30708700
19.81279944,-5.90551100,3.30708700
19.87679944,-9.05511800,3.30708700
19.94079944,-6.69291300,3.22834600
20.00479944,-11.41732000,3.22834600
20.06879943,-5.90551100,3.30708700
20.13279943,-4.33070900,3.30708700
20.19679943,-7.48031400,3.30708700
20.26079943,-8.66141700,3.30708700
20.32479943,-4.33070900,3.30708700
20.38879942,-8.26771600,3.30708700
20.45279942,-11.41732000,3.30708700
20.51679942,-4.72440900,3.30708700
20.58079942,-12.20472000,3.30708700
20.64479942,-9.44881800,3.30708700
20.70879942,-6.69291300,3.30708700
20.77279941,-7.48031400,3.30708700
20.83679941,-12.59842000,3.30708700
20.90079941,-3.14960600,3.30708700
20.96479941,-9.44881800,3.30708700
21.02879941,-7.08661400,3.30708700
21.09279940,-7.87401500,3.30708700
21.15679940,-3.54330700,3.30708700
21.22079940,-10.62992000,3.30708700
21.28479940,-2.75590500,3.30708700
21.34879940,-5.11811000,3.30708700
21.41279940,-8.26771600,3.30708700
21.47679939,-4.72440900,3.30708700
21.54079939,-3.14960600,3.30708700
21.60479939,-5.90551100,3.30708700
21.66879939,-7.08661400,3.30708700
