Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-8.66141700,0.00000000
0.03746341,-5.11811000,3.22834600
0.10146341,-8.26771600,3.22834600
0.16546341,-3.93700800,3.22834600
0.22946341,-14.56693000,3.22834600
0.29346341,-5.11811000,3.22834600
0.35746340,-5.11811000,3.22834600
0.42146340,-6.69291300,3.22834600
0.48546340,-7.87401500,3.22834600
0.54946340,-2.75590500,3.22834600
0.61346340,-7.48031400,3.22834600
0.67746340,-10.62992000,3.22834600
0.74146339,-0.39370070,3.22834600
0.80546339,-7.48031400,3.22834600
0.86946339,-3.54330700,3.22834600
0.93346339,-3.93700800,3.22834600
0.99746339,-2.36220500,3.22834600
1.06146339,-10.23622000,3.22834600
1.12546338,-1.18110200,3.22834600
1.18946338,-5.90551100,3.22834600
1.25346338,-6.29921200,3.30708700
1.31746338,-4.33070900,3.22834600
1.38146338,-1.57480300,3.22834600
1.44546337,-6.69291300,3.22834600
1.50946337,-2.36220500,3.22834600
1.57346337,-4.33070900,3.22834600
1.63746337,-5.51181100,3.22834600
1.70146337,-4.72440900,3.22834600
1.76546337,-1.96850400,3.22834600
1.82946336,-2.36220500,3.22834600
1.89346336,-3.14960600,3.30708700
1.95746336,1.18110200,3.22834600
2.02146336,-3.54330700,3.22834600
2.08546336,0.00000000,3.22834600
2.14946335,-4.33070900,3.22834600
2.21346335,1.57480300,3.30708700
2.27746335,-4.72440900,3.22834600
2.34146335,0.39370070,3.30708700
2.40546335,-2.75590500,3.22834600
2.46946335,-1.57480300,3.22834600
2.53346334,-6.29921200,3.22834600
2.59746334,-1.57480300,3.22834600
2.66146334,-5.90551100,3.22834600
2.72546334,-6.69291300,3.22834600
2.78946334,-2.75590500,3.30708700
2.85346333,-2.75590500,3.22834600
2.91746333,-4.72440900,3.22834600
2.98146333,-2.36220500,3.22834600
3.04546333,-1.18110200,3.22834600
3.10946333,-6.69291300,3.22834600
3.17346333,-1.96850400,3.22834600
3.23746332,-5.11811000,3.22834600
3.30146332,-4.33070900,3.22834600
3.36546332,-4.72440900,3.22834600
3.42946332,3.14960600,3.22834600
3.49346332,-6.69291300,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-2.36220500,3.22834600
3.68546331,-2.36220500,3.22834600
3.74946331,-7.08661400,3.22834600
3.81346331,0.39370070,3.22834600
3.87746331,-4.72440900,3.22834600
3.94146330,-4.33070900,3.22834600
4.00546330,-0.78740150,3.22834600
4.06946330,-4.33070900,3.30708700
4.13346330,-5.11811000,3.30708700
4.19746330,-4.72440900,3.22834600
4.26146329,-0.39370070,3.30708700
4.32546329,-7.08661400,3.22834600
4.38946329,0.39370070,3.30708700
4.45346329,-1.96850400,3.30708700
4.51746329,-1.18110200,3.22834600
4.58146329,-5.11811000,3.22834600
4.64546328,0.00000000,3.30708700
4.70946328,-6.29921200,3.22834600
4.77346328,-2.75590500,3.22834600
4.83746328,-2.36220500,3.22834600
4.90146328,-1.57480300,3.30708700
4.96546327,-5.51181100,3.22834600
5.02946327,0.00000000,3.30708700
5.09346327,-3.14960600,3.30708700
5.15746327,-7.48031400,3.30708700
5.22146327,-3.54330700,3.22834600
5.28546327,-5.11811000,3.22834600
5.34946326,-5.51181100,3.22834600
5.41346326,-6.69291300,3.30708700
5.47746326,0.39370070,3.22834600
5.54146326,-8.66141700,3.30708700
5.60546326,-1.96850400,3.22834600
5.66946325,-5.51181100,3.22834600
5.73346325,-3.14960600,3.22834600
5.79746325,-9.05511800,3.30708700
5.86146325,-0.78740150,3.22834600
5.92546325,-4.33070900,3.30708700
5.98946325,-3.93700800,3.30708700
6.05346324,-2.75590500,3.22834600
6.11746324,-1.18110200,3.30708700
6.18146324,-3.93700800,3.22834600
6.24546324,-3.14960600,3.22834600
6.30946324,-0.39370070,3.30708700
6.37346323,-5.11811000,3.22834600
6.43746323,-2.75590500,3.30708700
6.50146323,-0.78740150,3.22834600
6.56546323,-1.18110200,3.30708700
6.62946323,-7.87401500,3.30708700
6.69346323,-0.39370070,3.30708700
6.75746322,-5.11811000,3.22834600
6.82146322,-5.51181100,3.22834600
6.88546322,-4.33070900,3.30708700
6.94946322,1.57480300,3.22834600
7.01346322,-6.69291300,3.30708700
7.07746321,1.18110200,3.22834600
7.14146321,-1.18110200,3.30708700
7.20546321,-5.11811000,3.30708700
7.26946321,-4.33070900,3.22834600
7.33346321,0.39370070,3.30708700
7.39746321,-5.11811000,3.30708700
7.46146320,-3.93700800,3.30708700
7.52546320,2.75590500,3.30708700
7.58946320,-4.72440900,3.30708700
7.65346320,-2.36220500,3.30708700
7.71746320,-2.75590500,3.30708700
7.78146319,-2.75590500,3.30708700
7.84546319,-7.87401500,3.30708700
7.90946319,0.00000000,3.30708700
7.97346319,-6.69291300,3.30708700
8.03746319,-4.72440900,3.30708700
8.10146319,-4.33070900,3.22834600
8.16546318,-1.57480300,3.30708700
8.22946318,-7.87401500,3.30708700
8.29346318,-4.33070900,3.30708700
8.35746318,-4.72440900,3.30708700
8.42146318,-4.72440900,3.30708700
8.48546318,-4.72440900,3.30708700
8.54946317,-1.57480300,3.22834600
8.61346317,-3.93700800,3.30708700
8.67746317,-4.33070900,3.22834600
8.74146317,-2.36220500,3.22834600
8.80546317,-4.33070900,3.30708700
8.86946316,-3.93700800,3.22834600
8.93346316,-5.11811000,3.30708700
8.99746316,1.18110200,3.22834600
9.06146316,-6.29921200,3.30708700
9.12546316,-0.78740150,3.30708700
9.18946316,-3.14960600,3.22834600
9.25346315,-2.36220500,3.30708700
9.31746315,-7.08661400,3.30708700
9.38146315,0.00000000,3.30708700
9.44546315,-4.33070900,3.30708700
9.50946315,-2.36220500,3.30708700
9.57346314,1.96850400,3.30708700
9.63746314,0.00000000,3.30708700
9.70146314,-1.96850400,3.22834600
9.76546314,1.18110200,3.30708700
9.82946314,1.57480300,3.22834600
9.89346314,-3.54330700,3.30708700
9.95746313,1.96850400,3.30708700
10.02146313,0.00000000,3.30708700
10.08546313,0.00000000,3.30708700
10.14946313,0.00000000,3.30708700
10.21346313,3.93700800,3.30708700
10.27746312,-4.72440900,3.30708700
10.34146312,1.18110200,3.30708700
10.40546312,-2.36220500,3.30708700
10.46946312,-1.18110200,3.30708700
10.53346312,-6.29921200,3.30708700
10.59746312,1.57480300,3.30708700
10.66146311,-5.11811000,3.30708700
10.72546311,-2.75590500,3.30708700
10.78946311,-2.75590500,3.30708700
10.85346311,-3.93700800,3.30708700
10.91746311,-4.72440900,3.30708700
10.98146310,-3.93700800,3.22834600
11.04546310,0.39370070,3.22834600
11.10946310,-6.29921200,3.30708700
11.17346310,0.39370070,3.22834600
11.23746310,-1.96850400,3.30708700
11.30146310,-3.54330700,3.30708700
11.36546309,-5.51181100,3.22834600
11.42946309,1.18110200,3.22834600
11.49346309,-5.90551100,3.30708700
11.55746309,-0.78740150,3.30708700
11.62146309,-1.18110200,3.30708700
11.68546308,0.39370070,3.30708700
11.74946308,-4.72440900,3.22834600
11.81346308,1.57480300,3.22834600
11.87746308,-4.33070900,3.22834600
11.94146308,-4.72440900,3.30708700
12.00546308,-3.54330700,3.30708700
12.06946307,-1.57480300,3.30708700
12.13346307,-4.33070900,3.22834600
12.19746307,-3.14960600,3.30708700
12.26146307,0.00000000,3.30708700
12.32546307,-5.51181100,3.30708700
12.38946306,-0.78740150,3.22834600
12.45346306,-3.93700800,3.22834600
12.51746306,-0.78740150,3.30708700
12.58146306,-5.11811000,3.30708700
12.64546306,2.36220500,3.30708700
12.70946306,-4.72440900,3.30708700
12.77346305,-2.36220500,3.30708700
12.83746305,-3.14960600,3.30708700
12.90146305,-1.57480300,3.22834600
12.96546305,-7.08661400,3.30708700
13.02946305,-3.93700800,3.30708700
13.09346304,-3.54330700,3.30708700
13.15746304,-5.90551100,3.30708700
13.22146304,-5.90551100,3.22834600
13.28546304,-4.33070900,3.30708700
13.34946304,-8.66141700,3.22834600
13.41346304,-10.62992000,3.30708700
13.47746303,-4.33070900,3.30708700
13.54146303,-10.23622000,3.30708700
13.60546303,-9.44881800,3.30708700
13.66946303,-7.87401500,3.22834600
13.73346303,-3.54330700,3.22834600
13.79746302,-13.38583000,3.30708700
13.86146302,-5.51181100,3.30708700
13.92546302,-9.44881800,3.30708700
13.98946302,-9.84251900,3.30708700
14.05346302,-9.84251900,3.22834600
14.11746302,-3.14960600,3.22834600
14.18146301,-11.41732000,3.22834600
14.24546301,-4.72440900,3.22834600
14.30946301,-2.36220500,3.22834600
14.37346301,-8.66141700,3.22834600
14.43746301,-7.08661400,3.30708700
14.50146300,-5.51181100,3.30708700
14.56546300,-7.08661400,3.30708700
14.62946300,-9.44881800,3.30708700
14.69346300,-2.36220500,3.30708700
14.75746300,-9.84251900,3.30708700
14.82146300,-6.69291300,3.30708700
14.88546299,-7.48031400,3.30708700
14.94946299,-5.11811000,3.30708700
15.01346299,-10.62992000,3.30708700
15.07746299,-4.72440900,3.30708700
15.14146299,-6.69291300,3.30708700
15.20546299,-3.93700800,3.30708700
15.26946298,-7.48031400,3.30708700
15.33346298,-3.14960600,3.30708700
15.39746298,-7.87401500,3.22834600
15.46146298,-6.69291300,3.30708700
15.52546298,-6.69291300,3.30708700
15.58946297,-7.08661400,3.30708700
15.65346297,-8.26771600,3.30708700
15.71746297,-7.48031400,3.30708700
15.78146297,-3.54330700,3.30708700
15.84546297,-11.81102000,3.30708700
15.90946297,-6.29921200,3.30708700
15.97346296,-9.44881800,3.30708700
16.03746296,-9.84251900,3.30708700
16.10146296,-13.38583000,3.30708700
16.16546296,-5.51181100,3.30708700
16.22946296,-12.59842000,3.30708700
16.29346295,-9.05511800,3.30708700
16.35746295,-7.48031400,3.30708700
16.42146295,-9.05511800,3.22834600
16.48546295,-11.81102000,3.30708700
16.54946295,-5.51181100,3.30708700
16.61346295,-9.05511800,3.22834600
16.67746294,-11.02362000,3.22834600
16.74146294,-5.11811000,3.30708700
16.80546294,-5.11811000,3.22834600
16.86946294,-8.26771600,3.30708700
16.93346294,-6.29921200,3.30708700
16.99746293,-3.93700800,3.30708700
17.06146293,-11.02362000,3.30708700
17.12546293,-5.90551100,3.30708700
17.18946293,-7.87401500,3.22834600
17.25346293,-6.29921200,3.30708700
17.31746293,-9.84251900,3.30708700
17.38146292,-1.57480300,3.30708700
17.44546292,-10.62992000,3.30708700
17.50946292,-7.48031400,3.30708700
17.57346292,-7.48031400,3.22834600
17.63746292,-6.29921200,3.30708700
17.70146291,-8.66141700,3.30708700
17.76546291,-5.11811000,3.30708700
17.82946291,-5.11811000,3.30708700
17.89346291,-7.48031400,3.30708700
17.95746291,-4.72440900,3.30708700
18.02146291,-6.69291300,3.30708700
18.08546290,-9.05511800,3.30708700
18.14946290,-9.05511800,3.30708700
18.21346290,-3.54330700,3.30708700
18.27746290,-10.23622000,3.30708700
18.34146290,-5.90551100,3.30708700
18.40546289,-7.48031400,3.30708700
18.46946289,-6.29921200,3.30708700
18.53346289,-11.41732000,3.30708700
18.59746289,-5.51181100,3.30708700
18.66146289,-13.38583000,3.30708700
18.72546289,-9.44881800,3.30708700
18.78946288,-9.44881800,3.30708700
18.85346288,-6.69291300,3.30708700
18.91746288,-11.02362000,3.30708700
18.98146288,-6.69291300,3.30708700
19.04546288,-8.26771600,3.22834600
19.10946287,-10.62992000,3.30708700
19.17346287,-7.48031400,3.30708700
19.23746287,-8.26771600,3.30708700
19.30146287,-6.69291300,3.22834600
19.36546287,-9.84251900,3.30708700
19.42946287,-3.54330700,3.22834600
19.49346286,-9.84251900,3.30708700
19.55746286,-5.90551100,3.30708700
19.62146286,-7.87401500,3.22834600
19.68546286,-4.33070900,3.30708700
19.74946286,-9.84251900,3.30708700
19.81346285,-3.54330700,3.30708700
19.87746285,-5.51181100,3.30708700
19.94146285,-5.51181100,3.22834600
20.00546285,-7.87401500,3.30708700
20.06946285,-3.93700800,3.30708700
20.13346285,-10.23622000,3.30708700
20.19746284,-7.48031400,3.30708700
20.26146284,-4.72440900,3.30708700
20.32546284,-8.66141700,3.30708700
20.38946284,-6.69291300,3.30708700
20.45346284,-4.72440900,3.30708700
20.51746283,-5.51181100,3.30708700
20.58146283,-11.41732000,3.30708700
20.64546283,-2.36220500,3.30708700
20.70946283,-10.23622000,3.30708700
20.77346283,-7.87401500,3.30708700
20.83746283,-6.69291300,3.30708700
20.90146282,-2.75590500,3.30708700
20.96546282,-11.81102000,3.30708700
21.02946282,-2.75590500,3.22834600
21.09346282,-7.87401500,3.30708700
21.15746282,-11.02362000,3.30708700
21.22146281,-7.48031400,3.30708700
21.28546281,-4.72440900,3.30708700
21.34946281,-10.23622000,3.30708700
21.41346281,-7.48031400,3.30708700
21.47746281,-3.54330700,3.30708700
21.54146281,-9.84251900,3.22834600
21.60546280,-7.08661400,3.30708700
21.66946280,-8.66141700,3.30708700
