Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-2.36220500,0.07874016
0.03705263,-0.39370070,3.07086600
0.10105263,-4.72440900,3.22834600
0.16505263,-4.72440900,3.22834600
0.22905263,0.39370070,3.22834600
0.29305262,-10.23622000,3.22834600
0.35705262,-2.75590500,3.22834600
0.42105262,-4.33070900,3.22834600
0.48505262,-4.72440900,3.22834600
0.54905262,-6.29921200,3.22834600
0.61305261,-1.18110200,3.30708700
0.67705261,-4.33070900,3.22834600
0.74105261,-3.93700800,3.30708700
0.80505261,-4.33070900,3.22834600
0.86905261,-3.14960600,3.22834600
0.93305261,-7.08661400,3.22834600
0.99705260,-5.51181100,3.22834600
1.06105260,-2.36220500,3.22834600
1.12505260,-6.69291300,3.22834600
1.18905260,-3.93700800,3.22834600
1.25305260,-3.14960600,3.22834600
1.31705259,-3.54330700,3.22834600
1.38105259,-12.20472000,3.22834600
1.44505259,-0.39370070,3.22834600
1.50905259,-6.29921200,3.22834600
1.57305259,-4.33070900,3.22834600
1.63705259,-2.75590500,3.22834600
1.70105258,0.78740150,3.22834600
1.76505258,-8.66141700,3.22834600
1.82905258,-1.57480300,3.22834600
1.89305258,-0.78740150,3.22834600
1.95705258,-6.29921200,3.22834600
2.02105257,-0.78740150,3.22834600
2.08505257,1.96850400,3.22834600
2.14905257,-1.18110200,3.22834600
2.21305257,-1.96850400,3.22834600
2.27705257,3.93700800,3.22834600
2.34105257,-3.93700800,3.30708700
2.40505256,-1.18110200,3.22834600
2.46905256,-2.36220500,3.30708700
2.53305256,-0.78740150,3.30708700
2.59705256,-6.29921200,3.30708700
2.66105256,4.33070900,3.22834600
2.72505255,-3.54330700,3.30708700
2.78905255,-0.78740150,3.30708700
2.85305255,-2.36220500,3.22834600
2.91705255,2.36220500,3.22834600
2.98105255,-4.33070900,3.30708700
3.04505255,0.00000000,3.22834600
3.10905254,1.57480300,3.30708700
3.17305254,-2.75590500,3.30708700
3.23705254,0.00000000,3.22834600
3.30105254,-0.78740150,3.30708700
3.36505254,-0.78740150,3.22834600
3.42905254,-5.11811000,3.30708700
3.49305253,3.54330700,3.30708700
3.55705253,-3.93700800,3.30708700
3.62105253,-1.96850400,3.30708700
3.68505253,-3.14960600,3.30708700
3.74905253,0.00000000,3.22834600
3.81305252,-6.29921200,3.30708700
3.87705252,-1.18110200,3.22834600
3.94105252,-5.90551100,3.22834600
4.00505252,-4.33070900,3.30708700
4.06905252,-6.29921200,3.22834600
4.13305252,-1.57480300,3.30708700
4.19705251,-3.54330700,3.22834600
4.26105251,-2.75590500,3.22834600
4.32505251,-1.18110200,3.22834600
4.38905251,-4.33070900,3.22834600
4.45305251,-3.54330700,3.30708700
4.51705250,-5.51181100,3.22834600
4.58105250,0.00000000,3.22834600
4.64505250,-5.90551100,3.30708700
4.70905250,1.96850400,3.22834600
4.77305250,-3.14960600,3.22834600
4.83705250,0.39370070,3.30708700
4.90105249,-4.33070900,3.22834600
4.96505249,2.36220500,3.30708700
5.02905249,-6.69291300,3.30708700
5.09305249,-3.93700800,3.30708700
5.15705249,-1.18110200,3.22834600
5.22105248,-3.14960600,3.30708700
5.28505248,-5.51181100,3.30708700
5.34905248,-0.78740150,3.30708700
5.41305248,-3.14960600,3.30708700
5.47705248,-6.69291300,3.30708700
5.54105248,0.00000000,3.30708700
5.60505247,-3.14960600,3.30708700
5.66905247,-4.33070900,3.22834600
5.73305247,0.00000000,3.30708700
5.79705247,1.18110200,3.22834600
5.86105247,-8.66141700,3.30708700
5.92505246,0.78740150,3.30708700
5.98905246,-4.72440900,3.30708700
6.05305246,-2.75590500,3.30708700
6.11705246,-4.72440900,3.22834600
6.18105246,2.36220500,3.30708700
6.24505246,-6.69291300,3.30708700
6.30905245,-0.78740150,3.30708700
6.37305245,-3.14960600,3.30708700
6.43705245,-5.90551100,3.30708700
6.50105245,-4.72440900,3.30708700
6.56505245,-4.33070900,3.22834600
6.62905244,-4.33070900,3.30708700
6.69305244,-7.87401500,3.30708700
6.75705244,-1.96850400,3.30708700
6.82105244,-5.11811000,3.30708700
6.88505244,-2.36220500,3.22834600
6.94905244,-5.51181100,3.22834600
7.01305243,-2.75590500,3.22834600
7.07705243,-7.08661400,3.22834600
7.14105243,-2.36220500,3.22834600
7.20505243,-4.33070900,3.22834600
7.26905243,-1.57480300,3.30708700
7.33305242,-5.51181100,3.30708700
7.39705242,1.57480300,3.22834600
7.46105242,-3.54330700,3.30708700
7.52505242,-2.75590500,3.30708700
7.58905242,-1.96850400,3.30708700
7.65305242,-1.57480300,3.30708700
7.71705241,-4.33070900,3.30708700
7.78105241,-1.96850400,3.30708700
7.84505241,-0.78740150,3.30708700
7.90905241,-7.48031400,3.30708700
7.97305241,-1.18110200,3.30708700
8.03705240,-4.72440900,3.30708700
8.10105240,-3.54330700,3.30708700
8.16505240,-7.08661400,3.30708700
8.22905240,2.36220500,3.30708700
8.29305240,-5.11811000,3.30708700
8.35705240,-0.39370070,3.30708700
8.42105239,-2.36220500,3.30708700
8.48505239,-2.36220500,3.30708700
8.54905239,-7.08661400,3.30708700
8.61305239,-1.18110200,3.30708700
8.67705239,-3.14960600,3.30708700
8.74105238,-4.72440900,3.30708700
8.80505238,-0.39370070,3.30708700
8.86905238,0.00000000,3.22834600
8.93305238,-5.51181100,3.30708700
8.99705238,-5.51181100,3.30708700
9.06105238,-1.57480300,3.30708700
9.12505237,-8.66141700,3.30708700
9.18905237,-3.14960600,3.30708700
9.25305237,-3.54330700,3.30708700
9.31705237,-3.14960600,3.30708700
9.38105237,-8.66141700,3.30708700
9.44505236,3.93700800,3.30708700
9.50905236,-7.48031400,3.30708700
9.57305236,-3.93700800,3.30708700
9.63705236,-1.18110200,3.30708700
9.70105236,-1.18110200,3.30708700
9.76505236,-5.51181100,3.22834600
9.82905235,1.18110200,3.30708700
9.89305235,-0.78740150,3.22834600
9.95705235,-4.33070900,3.22834600
10.02105235,2.75590500,3.30708700
10.08505235,-1.57480300,3.30708700
10.14905235,-1.96850400,3.30708700
10.21305234,-0.78740150,3.30708700
10.27705234,4.72440900,3.30708700
10.34105234,-4.33070900,3.30708700
10.40505234,1.57480300,3.30708700
10.46905234,-2.36220500,3.30708700
10.53305233,-1.18110200,3.30708700
10.59705233,-5.90551100,3.30708700
10.66105233,-0.39370070,3.30708700
10.72505233,-4.33070900,3.30708700
10.78905233,-0.78740150,3.30708700
10.85305233,-1.96850400,3.30708700
10.91705232,1.57480300,3.30708700
10.98105232,-3.14960600,3.30708700
11.04505232,-1.96850400,3.30708700
11.10905232,1.57480300,3.30708700
11.17305232,-3.93700800,3.30708700
11.23705231,-1.96850400,3.30708700
11.30105231,-1.96850400,3.30708700
11.36505231,1.57480300,3.30708700
11.42905231,-5.90551100,3.30708700
11.49305231,4.72440900,3.30708700
11.55705231,-3.93700800,3.30708700
11.62105230,-3.14960600,3.30708700
11.68505230,-3.14960600,3.30708700
11.74905230,0.39370070,3.30708700
11.81305230,-8.26771600,3.30708700
11.87705230,-0.78740150,3.30708700
11.94105229,-1.57480300,3.30708700
12.00505229,-6.29921200,3.30708700
12.06905229,-5.11811000,3.30708700
12.13305229,-3.14960600,3.30708700
12.19705229,-6.69291300,3.30708700
12.26105229,-5.11811000,3.22834600
12.32505228,0.00000000,3.30708700
12.38905228,-5.90551100,3.30708700
12.45305228,-3.14960600,3.22834600
12.51705228,-1.96850400,3.30708700
12.58105228,-1.57480300,3.22834600
12.64505227,-9.44881800,3.30708700
12.70905227,1.96850400,3.30708700
12.77305227,-3.93700800,3.30708700
12.83705227,-1.96850400,3.30708700
12.90105227,-3.14960600,3.30708700
12.96505227,1.96850400,3.30708700
13.02905226,-6.29921200,3.30708700
13.09305226,-2.36220500,3.30708700
13.15705226,-2.36220500,3.30708700
13.22105226,-8.66141700,3.30708700
13.28505226,-5.51181100,3.30708700
13.34905225,-4.72440900,3.30708700
13.41305225,-4.33070900,3.30708700
13.47705225,-8.66141700,3.30708700
13.54105225,-1.96850400,3.30708700
13.60505225,-6.69291300,3.30708700
13.66905225,-5.90551100,3.30708700
13.73305224,-5.90551100,3.30708700
13.79705224,-2.75590500,3.30708700
13.86105224,-10.23622000,3.30708700
13.92505224,-2.36220500,3.30708700
13.98905224,-7.08661400,3.30708700
14.05305223,-5.90551100,3.30708700
14.11705223,-8.26771600,3.30708700
14.18105223,-2.75590500,3.30708700
14.24505223,-8.26771600,3.30708700
14.30905223,-5.90551100,3.30708700
14.37305223,-5.11811000,3.30708700
14.43705222,-5.90551100,3.30708700
14.50105222,-6.29921200,3.30708700
14.56505222,-8.66141700,3.30708700
14.62905222,-5.51181100,3.30708700
14.69305222,-12.99213000,3.30708700
14.75705221,-5.90551100,3.22834600
14.82105221,-9.44881800,3.30708700
14.88505221,-5.51181100,3.30708700
14.94905221,-9.84251900,3.30708700
15.01305221,-1.18110200,3.30708700
15.07705221,-8.66141700,3.30708700
15.14105220,-6.69291300,3.30708700
15.20505220,-7.08661400,3.22834600
15.26905220,-5.90551100,3.30708700
15.33305220,-9.44881800,3.30708700
15.39705220,-1.96850400,3.30708700
15.46105219,-4.33070900,3.30708700
15.52505219,-7.87401500,3.30708700
15.58905219,-1.18110200,3.30708700
15.65305219,-3.54330700,3.30708700
15.71705219,-8.26771600,3.22834600
15.78105219,-6.69291300,3.30708700
15.84505218,-2.36220500,3.30708700
15.90905218,-12.20472000,3.30708700
15.97305218,-3.14960600,3.30708700
16.03705218,-7.87401500,3.30708700
16.10105218,-7.08661400,3.30708700
16.16505217,-9.05511800,3.30708700
16.22905217,-3.14960600,3.22834600
16.29305217,-11.02362000,3.30708700
16.35705217,-6.29921200,3.30708700
16.42105217,-5.11811000,3.30708700
16.48505217,-7.08661400,3.22834600
16.54905216,-7.87401500,3.30708700
16.61305216,-4.72440900,3.30708700
16.67705216,-5.11811000,3.30708700
16.74105216,-8.26771600,3.30708700
16.80505216,-3.14960600,3.30708700
16.86905215,-7.87401500,3.30708700
16.93305215,-4.72440900,3.30708700
16.99705215,-6.69291300,3.30708700
17.06105215,-1.96850400,3.30708700
17.12505215,-9.84251900,3.30708700
17.18905215,-7.08661400,3.30708700
17.25305214,-9.05511800,3.30708700
17.31705214,-6.29921200,3.30708700
17.38105214,-12.59842000,3.30708700
17.44505214,-4.72440900,3.30708700
17.50905214,-10.62992000,3.30708700
17.57305214,-6.69291300,3.30708700
17.63705213,-6.69291300,3.22834600
17.70105213,-7.08661400,3.30708700
17.76505213,-9.44881800,3.30708700
17.82905213,-7.08661400,3.22834600
17.89305213,-5.11811000,3.30708700
17.95705212,-10.62992000,3.22834600
18.02105212,-4.72440900,3.30708700
18.08505212,-6.69291300,3.30708700
18.14905212,-3.54330700,3.30708700
18.21305212,-9.84251900,3.30708700
18.27705212,-1.96850400,3.30708700
18.34105211,-9.05511800,3.22834600
18.40505211,-5.11811000,3.30708700
18.46905211,-5.90551100,3.30708700
18.53305211,-5.11811000,3.30708700
18.59705211,-10.62992000,3.30708700
18.66105210,-5.90551100,3.30708700
18.72505210,-7.48031400,3.30708700
18.78905210,-11.02362000,3.30708700
18.85305210,-8.66141700,3.30708700
18.91705210,-4.72440900,3.30708700
18.98105210,-6.69291300,3.30708700
19.04505209,-7.48031400,3.30708700
19.10905209,-0.78740150,3.30708700
19.17305209,-8.66141700,3.30708700
19.23705209,-5.90551100,3.30708700
19.30105209,-5.90551100,3.30708700
19.36505208,-4.72440900,3.30708700
19.42905208,-11.81102000,3.30708700
19.49305208,0.39370070,3.30708700
19.55705208,-6.69291300,3.22834600
19.62105208,-5.90551100,3.30708700
19.68505208,-5.51181100,3.30708700
19.74905207,-3.54330700,3.30708700
19.81305207,-11.02362000,3.30708700
19.87705207,-5.51181100,3.30708700
19.94105207,-5.51181100,3.30708700
20.00505207,-11.81102000,3.30708700
20.06905206,-5.51181100,3.30708700
20.13305206,-7.08661400,3.22834600
20.19705206,-9.05511800,3.30708700
20.26105206,-10.62992000,3.30708700
20.32505206,-3.54330700,3.30708700
20.38905206,-12.20472000,3.22834600
20.45305205,-6.69291300,3.30708700
20.51705205,-7.87401500,3.22834600
20.58105205,-7.08661400,3.22834600
20.64505205,-9.84251900,3.30708700
20.70905205,-3.93700800,3.22834600
20.77305204,-8.26771600,3.30708700
20.83705204,-6.69291300,3.30708700
20.90105204,-8.66141700,3.30708700
20.96505204,-3.54330700,3.30708700
21.02905204,-7.48031400,3.30708700
21.09305204,-7.87401500,3.30708700
21.15705203,-4.33070900,3.30708700
21.22105203,-7.08661400,3.30708700
21.28505203,-9.05511800,3.30708700
21.34905203,-9.44881800,3.30708700
21.41305203,-4.33070900,3.30708700
21.47705202,-12.59842000,3.30708700
21.54105202,-3.14960600,3.30708700
21.60505202,-6.29921200,3.30708700
21.66905202,-5.90551100,3.30708700
21.73305202,-7.48031400,3.30708700
