Time,Channel A,Channel B
(us),(mV),(V)

-0.01882353,-11.41732000,0.55118110
0.04517647,-7.08661400,3.22834600
0.10917647,-7.87401500,3.22834600
0.17317647,-11.41732000,3.22834600
0.23717646,-4.72440900,3.22834600
0.30117646,-9.84251900,3.22834600
0.36517646,-7.87401500,3.22834600
0.42917646,-2.36220500,3.22834600
0.49317646,-7.08661400,3.22834600
0.55717646,-4.33070900,3.30708700
0.62117645,-3.54330700,3.30708700
0.68517645,-3.54330700,3.22834600
0.74917645,-8.66141700,3.22834600
0.81317645,-0.78740150,3.22834600
0.87717645,-5.90551100,3.22834600
0.94117644,-4.33070900,3.22834600
1.00517644,-4.72440900,3.22834600
1.06917644,-0.39370070,3.30708700
1.13317644,-8.26771600,3.22834600
1.19717644,-2.36220500,3.30708700
1.26117644,-4.33070900,3.22834600
1.32517643,-2.75590500,3.22834600
1.38917643,-3.93700800,3.22834600
1.45317643,1.18110200,3.22834600
1.51717643,-3.93700800,3.22834600
1.58117643,-3.54330700,3.22834600
1.64517642,-1.18110200,3.22834600
1.70917642,-3.14960600,3.30708700
1.77317642,-3.14960600,3.22834600
1.83717642,-2.75590500,3.30708700
1.90117642,2.36220500,3.22834600
1.96517642,-3.93700800,3.30708700
2.02917641,3.54330700,3.30708700
2.09317641,-1.57480300,3.30708700
2.15717641,-1.57480300,3.22834600
2.22117641,-5.51181100,3.22834600
2.28517641,0.39370070,3.22834600
2.34917640,-6.29921200,3.22834600
2.41317640,-3.54330700,3.22834600
2.47717640,-2.36220500,3.22834600
2.54117640,-2.36220500,3.22834600
2.60517640,-6.69291300,3.30708700
2.66917640,-2.36220500,3.22834600
2.73317639,-5.51181100,3.22834600
2.79717639,-6.69291300,3.22834600
2.86117639,-1.57480300,3.22834600
2.92517639,-3.14960600,3.22834600
2.98917639,-3.14960600,3.22834600
3.05317638,-4.72440900,3.22834600
3.11717638,0.78740150,3.22834600
3.18117638,-7.08661400,3.22834600
3.24517638,-2.36220500,3.30708700
3.30917638,-3.54330700,3.22834600
3.37317638,0.39370070,3.30708700
3.43717637,-5.51181100,3.30708700
3.50117637,2.36220500,3.30708700
3.56517637,-3.14960600,3.30708700
3.62917637,-3.93700800,3.30708700
3.69317637,-3.54330700,3.22834600
3.75717637,-2.75590500,3.22834600
3.82117636,-6.29921200,3.22834600
3.88517636,-4.33070900,3.22834600
3.94917636,1.57480300,3.22834600
4.01317636,-6.29921200,3.30708700
4.07717636,-0.39370070,3.30708700
4.14117635,-0.78740150,3.22834600
4.20517635,-3.54330700,3.22834600
4.26917635,-6.29921200,3.30708700
4.33317635,0.39370070,3.30708700
4.39717635,-5.90551100,3.30708700
4.46117635,-3.93700800,3.30708700
4.52517634,-0.78740150,3.30708700
4.58917634,-0.78740150,3.30708700
4.65317634,-7.08661400,3.30708700
4.71717634,1.96850400,3.30708700
4.78117634,-3.54330700,3.22834600
4.84517633,-4.72440900,3.30708700
4.90917633,-4.72440900,3.30708700
4.97317633,-2.36220500,3.22834600
5.03717633,-5.51181100,3.30708700
5.10117633,-5.11811000,3.30708700
5.16517633,-1.57480300,3.30708700
5.22917632,-9.44881800,3.30708700
5.29317632,-3.54330700,3.30708700
5.35717632,-8.66141700,3.22834600
5.42117632,-4.33070900,3.22834600
5.48517632,-6.69291300,3.22834600
5.54917631,-1.18110200,3.30708700
5.61317631,-5.11811000,3.22834600
5.67717631,-5.11811000,3.22834600
5.74117631,-6.29921200,3.22834600
5.80517631,-3.14960600,3.30708700
5.86917631,-6.29921200,3.22834600
5.93317630,-2.36220500,3.30708700
5.99717630,-1.96850400,3.30708700
6.06117630,-1.57480300,3.30708700
6.12517630,-2.36220500,3.30708700
6.18917630,-1.57480300,3.30708700
6.25317629,-3.54330700,3.30708700
6.31717629,-7.08661400,3.30708700
6.38117629,-1.57480300,3.30708700
6.44517629,-4.72440900,3.22834600
6.50917629,-3.14960600,3.30708700
6.57317629,-3.54330700,3.22834600
6.63717628,0.00000000,3.22834600
6.70117628,-7.87401500,3.30708700
6.76517628,0.00000000,3.30708700
6.82917628,-4.33070900,3.30708700
6.89317628,-2.36220500,3.30708700
6.95717627,-3.54330700,3.30708700
7.02117627,1.57480300,3.30708700
7.08517627,-4.33070900,3.30708700
7.14917627,-3.54330700,3.30708700
7.21317627,-0.78740150,3.30708700
7.27717627,-3.93700800,3.30708700
7.34117626,-2.75590500,3.30708700
7.40517626,-1.57480300,3.30708700
7.46917626,-1.18110200,3.30708700
7.53317626,-6.29921200,3.30708700
7.59717626,-1.18110200,3.30708700
7.66117625,-5.51181100,3.30708700
7.72517625,-4.33070900,3.30708700
7.78917625,-5.90551100,3.30708700
7.85317625,-2.75590500,3.30708700
7.91717625,-9.44881800,3.22834600
7.98117625,-4.72440900,3.30708700
8.04517624,-4.72440900,3.30708700
8.10917624,-3.14960600,3.30708700
8.17317624,-6.69291300,3.22834600
8.23717624,-1.18110200,3.30708700
8.30117624,-8.26771600,3.22834600
8.36517623,-6.69291300,3.30708700
8.42917623,-2.36220500,3.30708700
8.49317623,-6.69291300,3.30708700
8.55717623,-3.54330700,3.30708700
8.62117623,-1.18110200,3.30708700
8.68517623,0.39370070,3.30708700
8.74917622,-7.48031400,3.30708700
8.81317622,0.39370070,3.22834600
8.87717622,-5.51181100,3.30708700
8.94117622,-5.11811000,3.22834600
9.00517622,-4.33070900,3.30708700
9.06917621,-1.18110200,3.30708700
9.13317621,-6.69291300,3.30708700
9.19717621,-1.18110200,3.30708700
9.26117621,-1.96850400,3.30708700
9.32517621,-3.54330700,3.30708700
9.38917621,-1.96850400,3.30708700
9.45317620,1.18110200,3.30708700
9.51717620,0.00000000,3.30708700
9.58117620,-0.78740150,3.30708700
9.64517620,2.36220500,3.30708700
9.70917620,0.00000000,3.30708700
9.77317619,0.00000000,3.30708700
9.83717619,-2.36220500,3.30708700
9.90117619,2.75590500,3.30708700
9.96517619,-3.14960600,3.30708700
10.02917619,3.14960600,3.30708700
10.09317619,0.39370070,3.30708700
10.15717618,1.18110200,3.30708700
10.22117618,-4.72440900,3.30708700
10.28517618,1.18110200,3.30708700
10.34917618,-4.33070900,3.30708700
10.41317618,-5.51181100,3.30708700
10.47717617,-3.14960600,3.30708700
10.54117617,-3.14960600,3.30708700
10.60517617,-5.51181100,3.22834600
10.66917617,-2.75590500,3.30708700
10.73317617,-1.18110200,3.22834600
10.79717617,-7.08661400,3.30708700
10.86117616,-1.18110200,3.30708700
10.92517616,-3.54330700,3.22834600
10.98917616,-4.72440900,3.30708700
11.05317616,-4.33070900,3.22834600
11.11717616,1.57480300,3.22834600
11.18117616,-6.69291300,3.30708700
11.24517615,-0.78740150,3.30708700
11.30917615,-1.96850400,3.30708700
11.37317615,-1.57480300,3.30708700
11.43717615,-5.11811000,3.30708700
11.50117615,1.96850400,3.30708700
11.56517614,-3.93700800,3.30708700
11.62917614,-3.14960600,3.30708700
11.69317614,0.39370070,3.30708700
11.75717614,-2.36220500,3.30708700
11.82117614,-4.72440900,3.30708700
11.88517614,-3.54330700,3.30708700
11.94917613,-0.78740150,3.30708700
12.01317613,-7.08661400,3.30708700
12.07717613,0.39370070,3.30708700
12.14117613,-1.18110200,3.30708700
12.20517613,-0.78740150,3.30708700
12.26917612,-3.93700800,3.30708700
12.33317612,1.96850400,3.30708700
12.39717612,-5.11811000,3.30708700
12.46117612,-3.14960600,3.30708700
12.52517612,-1.18110200,3.30708700
12.58917612,0.39370070,3.30708700
12.65317611,-3.54330700,3.30708700
12.71717611,1.57480300,3.30708700
12.78117611,-1.18110200,3.30708700
12.84517611,-5.11811000,3.30708700
12.90917611,-3.54330700,3.30708700
12.97317610,-5.51181100,3.30708700
13.03717610,-6.69291300,3.30708700
13.10117610,-5.90551100,3.30708700
13.16517610,-2.75590500,3.30708700
13.22917610,-11.81102000,3.30708700
13.29317610,-4.72440900,3.30708700
13.35717609,-9.05511800,3.30708700
13.42117609,-7.48031400,3.30708700
13.48517609,-10.62992000,3.30708700
13.54917609,-5.51181100,3.30708700
13.61317609,-9.05511800,3.30708700
13.67717608,-5.51181100,3.22834600
13.74117608,-10.23622000,3.22834600
13.80517608,-7.08661400,3.30708700
13.86917608,-9.84251900,3.22834600
13.93317608,-8.26771600,3.30708700
13.99717608,-6.69291300,3.30708700
14.06117607,-8.66141700,3.30708700
14.12517607,-4.72440900,3.30708700
14.18917607,-4.33070900,3.30708700
14.25317607,-3.54330700,3.30708700
14.31717607,-8.26771600,3.30708700
14.38117606,-3.14960600,3.30708700
14.44517606,-8.26771600,3.30708700
14.50917606,-6.69291300,3.30708700
14.57317606,-6.69291300,3.30708700
14.63717606,-4.33070900,3.30708700
14.70117606,-9.44881800,3.30708700
14.76517605,-1.57480300,3.30708700
14.82917605,-5.90551100,3.30708700
14.89317605,-7.48031400,3.30708700
14.95717605,-4.33070900,3.30708700
15.02117605,-2.36220500,3.30708700
15.08517604,-7.08661400,3.30708700
15.14917604,-5.11811000,3.30708700
15.21317604,-0.78740150,3.30708700
15.27717604,-8.66141700,3.30708700
15.34117604,-2.36220500,3.30708700
15.40517604,-4.33070900,3.30708700
15.46917603,-5.90551100,3.30708700
15.53317603,-9.05511800,3.30708700
15.59717603,-1.96850400,3.30708700
15.66117603,-10.62992000,3.30708700
15.72517603,-6.69291300,3.30708700
15.78917602,-6.29921200,3.30708700
15.85317602,-7.87401500,3.30708700
15.91717602,-12.99213000,3.30708700
15.98117602,-7.08661400,3.22834600
16.04517602,-10.62992000,3.30708700
16.10917602,-10.62992000,3.22834600
16.17317601,-7.08661400,3.30708700
16.23717601,-9.44881800,3.22834600
16.30117601,-10.23622000,3.30708700
16.36517601,-9.05511800,3.30708700
16.42917601,-5.90551100,3.30708700
16.49317600,-11.02362000,3.30708700
16.55717600,-5.90551100,3.30708700
16.62117600,-5.51181100,3.30708700
16.68517600,-3.14960600,3.30708700
16.74917600,-7.48031400,3.30708700
16.81317600,0.39370070,3.30708700
16.87717599,-7.48031400,3.22834600
16.94117599,-5.90551100,3.30708700
17.00517599,-5.90551100,3.30708700
17.06917599,-4.72440900,3.30708700
17.13317599,-10.23622000,3.30708700
17.19717598,-4.72440900,3.30708700
17.26117598,-4.33070900,3.30708700
17.32517598,-7.48031400,3.30708700
17.38917598,-4.72440900,3.30708700
17.45317598,-4.72440900,3.30708700
17.51717598,-5.90551100,3.30708700
17.58117597,-5.51181100,3.30708700
17.64517597,-1.96850400,3.30708700
17.70917597,-7.08661400,3.30708700
17.77317597,-4.33070900,3.30708700
17.83717597,-5.11811000,3.30708700
17.90117596,-3.14960600,3.30708700
17.96517596,-10.23622000,3.30708700
18.02917596,-2.36220500,3.30708700
18.09317596,-7.08661400,3.30708700
18.15717596,-4.72440900,3.30708700
18.22117596,-7.48031400,3.30708700
18.28517595,-4.33070900,3.30708700
18.34917595,-8.66141700,3.30708700
18.41317595,-8.26771600,3.30708700
18.47717595,-6.29921200,3.30708700
18.54117595,-11.41732000,3.30708700
18.60517595,-11.41732000,3.22834600
18.66917594,-8.66141700,3.30708700
18.73317594,-7.08661400,3.30708700
18.79717594,-12.20472000,3.30708700
18.86117594,-2.75590500,3.30708700
18.92517594,-8.66141700,3.22834600
18.98917593,-8.66141700,3.30708700
19.05317593,-7.87401500,3.22834600
19.11717593,-3.93700800,3.30708700
19.18117593,-11.41732000,3.30708700
19.24517593,-2.36220500,3.30708700
19.30917593,-4.72440900,3.30708700
19.37317592,-7.48031400,3.30708700
19.43717592,-6.69291300,3.30708700
19.50117592,-2.36220500,3.30708700
19.56517592,-9.44881800,3.30708700
19.62917592,-6.29921200,3.30708700
19.69317591,-1.96850400,3.30708700
19.75717591,-7.48031400,3.30708700
19.82117591,-4.33070900,3.30708700
19.88517591,-4.33070900,3.30708700
19.94917591,-5.51181100,3.30708700
20.01317591,-10.23622000,3.30708700
20.07717590,-1.18110200,3.30708700
20.14117590,-8.66141700,3.30708700
20.20517590,-4.33070900,3.30708700
20.26917590,-4.72440900,3.30708700
20.33317590,-2.75590500,3.30708700
20.39717589,-7.87401500,3.30708700
20.46117589,-5.11811000,3.30708700
20.52517589,-7.87401500,3.30708700
20.58917589,-6.69291300,3.30708700
20.65317589,-6.69291300,3.30708700
20.71717589,-3.93700800,3.30708700
20.78117588,-6.29921200,3.30708700
20.84517588,-5.11811000,3.30708700
20.90917588,-4.33070900,3.30708700
20.97317588,-8.66141700,3.30708700
21.03717588,-8.66141700,3.30708700
21.10117587,-9.05511800,3.30708700
21.16517587,-6.29921200,3.30708700
21.22917587,-11.41732000,3.30708700
21.29317587,-4.33070900,3.30708700
21.35717587,-8.26771600,3.30708700
21.42117587,-6.69291300,3.30708700
21.48517586,-8.66141700,3.30708700
21.54917586,-5.11811000,3.30708700
21.61317586,-11.02362000,3.30708700
21.67717586,-6.29921200,3.30708700
