Time,Channel A,Channel B
(us),(mV),(V)

-0.06023529,-1.96850400,0.07874016
0.00376471,-7.87401500,1.41732300
0.06776470,-5.90551100,3.22834600
0.13176470,-7.48031400,3.30708700
0.19576470,-4.33070900,3.22834600
0.25976470,-8.26771600,3.22834600
0.32376470,-3.93700800,3.22834600
0.38776469,-5.51181100,3.22834600
0.45176469,-5.90551100,3.22834600
0.51576469,-6.29921200,3.22834600
0.57976469,-5.11811000,3.30708700
0.64376469,-3.54330700,3.22834600
0.70776469,-8.26771600,3.22834600
0.77176468,-1.18110200,3.22834600
0.83576468,-6.29921200,3.22834600
0.89976468,-3.54330700,3.22834600
0.96376468,-5.51181100,3.22834600
1.02776468,-1.18110200,3.22834600
1.09176467,-8.66141700,3.22834600
1.15576467,-0.39370070,3.30708700
1.21976467,-1.96850400,3.22834600
1.28376467,-3.14960600,3.22834600
1.34776467,-2.36220500,3.22834600
1.41176467,0.39370070,3.22834600
1.47576466,-5.11811000,3.22834600
1.53976466,-3.14960600,3.30708700
1.60376466,-1.18110200,3.22834600
1.66776466,-4.72440900,3.22834600
1.73176466,-1.57480300,3.22834600
1.79576465,0.00000000,3.30708700
1.85976465,-1.96850400,3.30708700
1.92376465,-5.11811000,3.30708700
1.98776465,1.96850400,3.22834600
2.05176465,-4.72440900,3.22834600
2.11576465,-1.96850400,3.22834600
2.17976464,-4.72440900,3.22834600
2.24376464,-0.39370070,3.30708700
2.30776464,-6.69291300,3.22834600
2.37176464,1.57480300,3.30708700
2.43576464,-1.57480300,3.22834600
2.49976463,-3.54330700,3.22834600
2.56376463,-2.36220500,3.22834600
2.62776463,-1.57480300,3.22834600
2.69176463,-3.93700800,3.22834600
2.75576463,-4.72440900,3.22834600
2.81976463,1.96850400,3.22834600
2.88376462,-2.36220500,3.22834600
2.94776462,-0.39370070,3.22834600
3.01176462,0.00000000,3.22834600
3.07576462,-0.78740150,3.22834600
3.13976462,-6.29921200,3.22834600
3.20376461,1.57480300,3.30708700
3.26776461,-3.93700800,3.30708700
3.33176461,-3.93700800,3.30708700
3.39576461,-2.36220500,3.30708700
3.45976461,1.96850400,3.30708700
3.52376461,-5.51181100,3.22834600
3.58776460,-0.78740150,3.30708700
3.65176460,-2.36220500,3.30708700
3.71576460,-3.93700800,3.22834600
3.77976460,-2.75590500,3.30708700
3.84376460,0.78740150,3.30708700
3.90776459,-1.57480300,3.22834600
3.97176459,-1.96850400,3.30708700
4.03576459,1.96850400,3.30708700
4.09976459,-3.54330700,3.30708700
4.16376459,-1.96850400,3.30708700
4.22776459,-4.33070900,3.30708700
4.29176458,1.18110200,3.22834600
4.35576458,-3.93700800,3.22834600
4.41976458,0.78740150,3.30708700
4.48376458,-1.96850400,3.30708700
4.54776458,-1.96850400,3.30708700
4.61176457,-6.29921200,3.22834600
4.67576457,-1.57480300,3.30708700
4.73976457,-6.29921200,3.30708700
4.80376457,-6.29921200,3.30708700
4.86776457,-2.36220500,3.22834600
4.93176457,-3.14960600,3.30708700
4.99576456,-7.08661400,3.30708700
5.05976456,-1.57480300,3.30708700
5.12376456,-1.96850400,3.22834600
5.18776456,-7.87401500,3.22834600
5.25176456,-3.14960600,3.22834600
5.31576455,-3.54330700,3.22834600
5.37976455,-6.29921200,3.22834600
5.44376455,-5.11811000,3.22834600
5.50776455,2.75590500,3.22834600
5.57176455,-8.26771600,3.30708700
5.63576455,-1.18110200,3.30708700
5.69976454,-2.36220500,3.22834600
5.76376454,-3.14960600,3.22834600
5.82776454,-7.08661400,3.30708700
5.89176454,0.00000000,3.30708700
5.95576454,-4.33070900,3.22834600
6.01976453,-4.33070900,3.30708700
6.08376453,-0.78740150,3.30708700
6.14776453,-3.14960600,3.30708700
6.21176453,-5.51181100,3.30708700
6.27576453,-2.36220500,3.30708700
6.33976453,-2.36220500,3.22834600
6.40376452,-6.69291300,3.30708700
6.46776452,-0.39370070,3.30708700
6.53176452,-1.18110200,3.30708700
6.59576452,0.00000000,3.30708700
6.65976452,-3.54330700,3.30708700
6.72376451,3.14960600,3.30708700
6.78776451,-6.69291300,3.30708700
6.85176451,-1.57480300,3.30708700
6.91576451,-3.54330700,3.30708700
6.97976451,-0.78740150,3.30708700
7.04376451,-7.08661400,3.30708700
7.10776450,2.36220500,3.30708700
7.17176450,-2.75590500,3.30708700
7.23576450,-5.51181100,3.30708700
7.29976450,-3.54330700,3.22834600
7.36376450,-5.11811000,3.30708700
7.42776450,-4.33070900,3.22834600
7.49176449,-5.90551100,3.30708700
7.55576449,-1.57480300,3.30708700
7.61976449,-7.87401500,3.22834600
7.68376449,-0.78740150,3.30708700
7.74776449,-5.11811000,3.22834600
7.81176448,-3.93700800,3.30708700
7.87576448,-7.08661400,3.22834600
7.93976448,-1.18110200,3.30708700
8.00376448,-6.69291300,3.22834600
8.06776448,-2.36220500,3.22834600
8.13176448,-0.39370070,3.30708700
8.19576447,-1.18110200,3.22834600
8.25976447,-5.11811000,3.22834600
8.32376447,-3.14960600,3.22834600
8.38776447,-4.33070900,3.22834600
8.45176447,-4.33070900,3.22834600
8.51576446,-3.54330700,3.30708700
8.57976446,-1.57480300,3.30708700
8.64376446,-1.96850400,3.30708700
8.70776446,-3.93700800,3.30708700
8.77176446,1.18110200,3.30708700
8.83576446,-6.29921200,3.30708700
8.89976445,-4.33070900,3.30708700
8.96376445,-5.90551100,3.30708700
9.02776445,-1.57480300,3.30708700
9.09176445,-8.26771600,3.30708700
9.15576445,2.75590500,3.30708700
9.21976444,-2.36220500,3.22834600
9.28376444,-3.93700800,3.22834600
9.34776444,-1.96850400,3.22834600
9.41176444,0.00000000,3.30708700
9.47576444,-8.26771600,3.30708700
9.53976444,0.39370070,3.30708700
9.60376443,3.14960600,3.30708700
9.66776443,-2.36220500,3.30708700
9.73176443,1.57480300,3.30708700
9.79576443,1.18110200,3.30708700
9.85976443,-0.78740150,3.30708700
9.92376442,-2.36220500,3.30708700
9.98776442,2.75590500,3.30708700
10.05176442,-6.29921200,3.30708700
10.11576442,-2.36220500,3.30708700
10.17976442,-3.54330700,3.30708700
10.24376442,0.00000000,3.30708700
10.30776441,-7.48031400,3.30708700
10.37176441,-1.18110200,3.30708700
10.43576441,-5.11811000,3.22834600
10.49976441,-6.29921200,3.22834600
10.56376441,-2.75590500,3.30708700
10.62776440,0.00000000,3.30708700
10.69176440,-3.54330700,3.30708700
10.75576440,-3.93700800,3.30708700
10.81976440,1.18110200,3.30708700
10.88376440,-5.51181100,3.30708700
10.94776440,-3.93700800,3.22834600
11.01176439,-2.36220500,3.30708700
11.07576439,0.39370070,3.30708700
11.13976439,-6.29921200,3.30708700
11.20376439,0.39370070,3.30708700
11.26776439,-3.54330700,3.30708700
11.33176438,-3.14960600,3.30708700
11.39576438,-4.33070900,3.30708700
11.45976438,-0.39370070,3.30708700
11.52376438,-6.69291300,3.30708700
11.58776438,-1.96850400,3.30708700
11.65176438,-1.57480300,3.30708700
11.71576437,-1.96850400,3.30708700
11.77976437,-3.54330700,3.30708700
11.84376437,-1.18110200,3.30708700
11.90776437,-1.57480300,3.30708700
11.97176437,-5.51181100,3.30708700
12.03576436,-0.39370070,3.30708700
12.09976436,-3.93700800,3.30708700
12.16376436,-1.18110200,3.30708700
12.22776436,-3.54330700,3.30708700
12.29176436,2.75590500,3.30708700
12.35576436,-7.08661400,3.30708700
12.41976435,-0.78740150,3.30708700
12.48376435,-2.36220500,3.30708700
12.54776435,-3.14960600,3.30708700
12.61176435,-5.51181100,3.30708700
12.67576435,0.00000000,3.30708700
12.73976434,-5.51181100,3.30708700
12.80376434,-5.90551100,3.30708700
12.86776434,-2.75590500,3.30708700
12.93176434,-7.08661400,3.30708700
12.99576434,-10.23622000,3.30708700
13.05976434,-5.90551100,3.30708700
13.12376433,-5.51181100,3.30708700
13.18776433,-11.02362000,3.30708700
13.25176433,-4.33070900,3.22834600
13.31576433,-7.08661400,3.22834600
13.37976433,-7.48031400,3.22834600
13.44376432,-10.62992000,3.22834600
13.50776432,-3.93700800,3.22834600
13.57176432,-13.38583000,3.22834600
13.63576432,-3.93700800,3.30708700
13.69976432,-6.69291300,3.30708700
13.76376432,-8.26771600,3.30708700
13.82776431,-8.26771600,3.30708700
13.89176431,-5.90551100,3.30708700
13.95576431,-9.44881800,3.30708700
14.01976431,-9.84251900,3.30708700
14.08376431,-6.69291300,3.30708700
14.14776430,-9.44881800,3.30708700
14.21176430,-5.90551100,3.30708700
14.27576430,-6.69291300,3.30708700
14.33976430,-4.33070900,3.30708700
14.40376430,-8.66141700,3.30708700
14.46776430,-3.93700800,3.30708700
14.53176429,-7.87401500,3.30708700
14.59576429,-5.51181100,3.30708700
14.65976429,-8.26771600,3.30708700
14.72376429,-1.96850400,3.30708700
14.78776429,-7.48031400,3.30708700
14.85176429,-4.33070900,3.30708700
14.91576428,-5.90551100,3.30708700
14.97976428,-4.33070900,3.30708700
15.04376428,-7.48031400,3.30708700
15.10776428,-3.54330700,3.30708700
15.17176428,-5.51181100,3.30708700
15.23576427,-7.87401500,3.30708700
15.29976427,-2.75590500,3.30708700
15.36376427,-7.08661400,3.30708700
15.42776427,-7.48031400,3.30708700
15.49176427,-9.44881800,3.30708700
15.55576427,-5.11811000,3.30708700
15.61976426,-12.99213000,3.30708700
15.68376426,-6.69291300,3.30708700
15.74776426,-9.44881800,3.22834600
15.81176426,-8.66141700,3.22834600
15.87576426,-9.84251900,3.30708700
15.93976425,-5.51181100,3.30708700
16.00376425,-10.62992000,3.30708700
16.06776425,-10.62992000,3.22834600
16.13176425,-10.23622000,3.30708700
16.19576425,-7.48031400,3.30708700
16.25976425,-11.81102000,3.22834600
16.32376424,-6.69291300,3.30708700
16.38776424,-5.11811000,3.30708700
16.45176424,-10.62992000,3.30708700
16.51576424,-5.90551100,3.30708700
16.57976424,-6.69291300,3.30708700
16.64376423,-7.48031400,3.30708700
16.70776423,-8.26771600,3.30708700
16.77176423,0.00000000,3.30708700
16.83576423,-9.84251900,3.30708700
16.89976423,-5.51181100,3.30708700
16.96376423,-5.11811000,3.30708700
17.02776422,-5.90551100,3.30708700
17.09176422,-11.02362000,3.30708700
17.15576422,-3.54330700,3.30708700
17.21976422,-8.26771600,3.30708700
17.28376422,-8.26771600,3.30708700
17.34776421,-1.96850400,3.30708700
17.41176421,-4.72440900,3.30708700
17.47576421,-7.48031400,3.30708700
17.53976421,-4.72440900,3.30708700
17.60376421,-3.14960600,3.30708700
17.66776421,-10.62992000,3.30708700
17.73176420,-3.54330700,3.30708700
17.79576420,-5.90551100,3.30708700
17.85976420,-5.51181100,3.30708700
17.92376420,-7.48031400,3.30708700
17.98776420,-3.14960600,3.30708700
18.05176419,-10.62992000,3.30708700
18.11576419,-7.48031400,3.30708700
18.17976419,-9.44881800,3.30708700
18.24376419,-7.87401500,3.30708700
18.30776419,-11.81102000,3.22834600
18.37176419,-6.69291300,3.30708700
18.43576418,-7.87401500,3.22834600
18.49976418,-9.44881800,3.30708700
18.56376418,-8.66141700,3.30708700
18.62776418,-10.62992000,3.22834600
18.69176418,-8.66141700,3.30708700
18.75576417,-12.20472000,3.30708700
18.81976417,-4.72440900,3.30708700
18.88376417,-9.44881800,3.30708700
18.94776417,-5.51181100,3.30708700
19.01176417,-5.90551100,3.30708700
19.07576417,-3.93700800,3.30708700
19.13976416,-10.23622000,3.22834600
19.20376416,-3.54330700,3.30708700
19.26776416,-6.69291300,3.30708700
19.33176416,-5.90551100,3.30708700
19.39576416,-5.51181100,3.30708700
19.45976415,-3.93700800,3.30708700
19.52376415,-9.05511800,3.30708700
19.58776415,-5.51181100,3.30708700
19.65176415,-5.90551100,3.30708700
19.71576415,-8.66141700,3.30708700
19.77976415,-4.72440900,3.30708700
19.84376414,-5.11811000,3.30708700
19.90776414,-3.93700800,3.30708700
19.97176414,-7.08661400,3.30708700
20.03576414,-0.39370070,3.30708700
20.09976414,-7.48031400,3.30708700
20.16376413,-4.72440900,3.30708700
20.22776413,-7.08661400,3.30708700
20.29176413,-3.54330700,3.30708700
20.35576413,-9.84251900,3.30708700
20.41976413,-2.36220500,3.30708700
20.48376413,-5.90551100,3.30708700
20.54776412,-7.87401500,3.30708700
20.61176412,-5.11811000,3.30708700
20.67576412,-5.11811000,3.30708700
20.73976412,-10.23622000,3.30708700
20.80376412,-9.44881800,3.30708700
20.86776411,-4.33070900,3.30708700
20.93176411,-11.02362000,3.30708700
20.99576411,-7.48031400,3.22834600
21.05976411,-6.69291300,3.30708700
21.12376411,-9.44881800,3.30708700
21.18776411,-12.59842000,3.30708700
21.25176410,-2.36220500,3.22834600
21.31576410,-11.41732000,3.30708700
21.37976410,-6.69291300,3.22834600
21.44376410,-5.90551100,3.30708700
21.50776410,-3.93700800,3.30708700
21.57176410,-9.84251900,3.30708700
21.63576409,-2.75590500,3.22834600
