Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-1.96850400,0.07874016
0.03774359,-5.11811000,3.14960600
0.10174359,-4.33070900,3.22834600
0.16574359,-7.08661400,3.22834600
0.22974358,-1.18110200,3.30708700
0.29374358,-9.44881800,3.30708700
0.35774358,-6.69291300,3.22834600
0.42174358,-4.33070900,3.22834600
0.48574358,-8.26771600,3.30708700
0.54974357,-4.33070900,3.22834600
0.61374357,-2.75590500,3.30708700
0.67774357,-4.72440900,3.22834600
0.74174357,-10.23622000,3.22834600
0.80574357,-2.36220500,3.30708700
0.86974357,-10.62992000,3.22834600
0.93374356,-7.08661400,3.30708700
0.99774356,-7.08661400,3.22834600
1.06174356,-4.33070900,3.22834600
1.12574356,-9.05511800,3.22834600
1.18974356,-2.36220500,3.22834600
1.25374355,-5.90551100,3.22834600
1.31774355,-6.29921200,3.22834600
1.38174355,-7.48031400,3.22834600
1.44574355,-3.54330700,3.22834600
1.50974355,-7.08661400,3.22834600
1.57374355,-5.11811000,3.22834600
1.63774354,-1.57480300,3.22834600
1.70174354,-3.54330700,3.22834600
1.76574354,-3.93700800,3.22834600
1.82974354,-4.72440900,3.22834600
1.89374354,-1.18110200,3.22834600
1.95774353,-7.87401500,3.22834600
2.02174353,0.78740150,3.22834600
2.08574353,-3.54330700,3.30708700
2.14974353,-1.18110200,3.30708700
2.21374353,-4.33070900,3.22834600
2.27774353,1.18110200,3.22834600
2.34174352,-6.69291300,3.30708700
2.40574352,-3.14960600,3.22834600
2.46974352,-1.96850400,3.22834600
2.53374352,-2.75590500,3.30708700
2.59774352,-3.14960600,3.30708700
2.66174351,1.57480300,3.30708700
2.72574351,-1.57480300,3.30708700
2.78974351,-3.54330700,3.22834600
2.85374351,1.18110200,3.30708700
2.91774351,-4.33070900,3.30708700
2.98174351,-3.14960600,3.22834600
3.04574350,-2.36220500,3.22834600
3.10974350,1.96850400,3.22834600
3.17374350,-5.51181100,3.30708700
3.23774350,2.36220500,3.30708700
3.30174350,-3.14960600,3.30708700
3.36574349,-2.75590500,3.30708700
3.42974349,-6.69291300,3.22834600
3.49374349,-0.39370070,3.30708700
3.55774349,-8.26771600,3.30708700
3.62174349,-3.93700800,3.22834600
3.68574349,-1.96850400,3.22834600
3.74974348,-3.54330700,3.30708700
3.81374348,-6.29921200,3.30708700
3.87774348,-2.75590500,3.30708700
3.94174348,-2.75590500,3.22834600
4.00574348,-9.05511800,3.30708700
4.06974347,-0.78740150,3.30708700
4.13374347,-3.93700800,3.22834600
4.19774347,-3.14960600,3.30708700
4.26174347,-4.33070900,3.30708700
4.32574347,2.36220500,3.22834600
4.38974347,-7.87401500,3.22834600
4.45374346,-1.18110200,3.22834600
4.51774346,-1.57480300,3.30708700
4.58174346,-3.93700800,3.30708700
4.64574346,-6.29921200,3.22834600
4.70974346,2.36220500,3.22834600
4.77374346,-4.33070900,3.30708700
4.83774345,-3.54330700,3.22834600
4.90174345,-1.57480300,3.30708700
4.96574345,-5.11811000,3.30708700
5.02974345,-6.29921200,3.30708700
5.09374345,-3.54330700,3.30708700
5.15774344,-0.39370070,3.22834600
5.22174344,-6.69291300,3.30708700
5.28574344,1.96850400,3.30708700
5.34974344,-3.93700800,3.30708700
5.41374344,-0.78740150,3.30708700
5.47774344,-7.08661400,3.30708700
5.54174343,0.39370070,3.30708700
5.60574343,-5.90551100,3.30708700
5.66974343,-2.36220500,3.30708700
5.73374343,-2.36220500,3.30708700
5.79774343,-0.39370070,3.30708700
5.86174342,-4.33070900,3.30708700
5.92574342,-1.96850400,3.30708700
5.98974342,-1.96850400,3.30708700
6.05374342,-7.87401500,3.30708700
6.11774342,-3.54330700,3.30708700
6.18174342,-2.36220500,3.30708700
6.24574341,-5.11811000,3.30708700
6.30974341,-6.69291300,3.30708700
6.37374341,0.78740150,3.30708700
6.43774341,-9.05511800,3.30708700
6.50174341,-4.72440900,3.30708700
6.56574340,-5.11811000,3.30708700
6.62974340,-3.14960600,3.30708700
6.69374340,-9.44881800,3.22834600
6.75774340,2.36220500,3.30708700
6.82174340,-4.33070900,3.22834600
6.88574340,-4.72440900,3.30708700
6.94974339,-3.54330700,3.30708700
7.01374339,-2.36220500,3.22834600
7.07774339,-6.29921200,3.22834600
7.14174339,-2.75590500,3.22834600
7.20574339,0.00000000,3.30708700
7.26974338,-6.29921200,3.30708700
7.33374338,0.00000000,3.30708700
7.39774338,-2.75590500,3.30708700
7.46174338,-1.96850400,3.30708700
7.52574338,-7.48031400,3.30708700
7.58974338,-0.39370070,3.30708700
7.65374337,-7.08661400,3.30708700
7.71774337,-3.54330700,3.30708700
7.78174337,-2.75590500,3.30708700
7.84574337,0.00000000,3.30708700
7.90974337,-5.51181100,3.30708700
7.97374336,-0.78740150,3.30708700
8.03774336,-3.14960600,3.30708700
8.10174336,-4.72440900,3.30708700
8.16574336,-3.14960600,3.30708700
8.22974336,-0.39370070,3.30708700
8.29374336,-4.72440900,3.30708700
8.35774335,-2.36220500,3.30708700
8.42174335,1.57480300,3.30708700
8.48574335,-6.29921200,3.30708700
8.54974335,-2.36220500,3.30708700
8.61374335,-4.33070900,3.30708700
8.67774334,-2.36220500,3.30708700
8.74174334,-7.48031400,3.30708700
8.80574334,1.57480300,3.30708700
8.86974334,-7.08661400,3.30708700
8.93374334,-3.93700800,3.30708700
8.99774334,-5.51181100,3.30708700
9.06174333,-3.93700800,3.30708700
9.12574333,-9.05511800,3.30708700
9.18974333,-4.33070900,3.30708700
9.25374333,-2.75590500,3.22834600
9.31774333,-3.93700800,3.30708700
9.38174332,-2.36220500,3.30708700
9.44574332,-1.96850400,3.30708700
9.50974332,-2.75590500,3.30708700
9.57374332,-5.90551100,3.30708700
9.63774332,-0.78740150,3.30708700
9.70174332,-4.72440900,3.22834600
9.76574331,-1.18110200,3.30708700
9.82974331,-1.57480300,3.30708700
9.89374331,2.75590500,3.30708700
9.95774331,-5.51181100,3.30708700
10.02174331,1.18110200,3.30708700
10.08574330,-2.36220500,3.30708700
10.14974330,-1.57480300,3.30708700
10.21374330,-3.93700800,3.30708700
10.27774330,2.36220500,3.30708700
10.34174330,-4.72440900,3.30708700
10.40574330,-1.18110200,3.30708700
10.46974329,0.39370070,3.30708700
10.53374329,-3.93700800,3.30708700
10.59774329,-2.75590500,3.30708700
10.66174329,-1.96850400,3.30708700
10.72574329,-1.18110200,3.30708700
10.78974328,-6.69291300,3.30708700
10.85374328,3.54330700,3.30708700
10.91774328,-3.93700800,3.30708700
10.98174328,-1.18110200,3.30708700
11.04574328,-2.36220500,3.30708700
11.10974328,-0.39370070,3.30708700
11.17374327,-7.48031400,3.30708700
11.23774327,0.78740150,3.30708700
11.30174327,-2.75590500,3.30708700
11.36574327,-3.54330700,3.30708700
11.42974327,-3.14960600,3.30708700
11.49374327,0.00000000,3.30708700
11.55774326,-5.90551100,3.30708700
11.62174326,-6.29921200,3.30708700
11.68574326,-3.54330700,3.30708700
11.74974326,-6.69291300,3.30708700
11.81374326,-5.11811000,3.30708700
11.87774325,-4.33070900,3.30708700
11.94174325,-1.57480300,3.30708700
12.00574325,-8.66141700,3.30708700
12.06974325,-0.39370070,3.30708700
12.13374325,-5.90551100,3.30708700
12.19774325,-4.33070900,3.22834600
12.26174324,-8.26771600,3.30708700
12.32574324,0.00000000,3.30708700
12.38974324,-7.08661400,3.30708700
12.45374324,-1.96850400,3.30708700
12.51774324,-1.57480300,3.30708700
12.58174323,-4.33070900,3.30708700
12.64574323,-5.11811000,3.30708700
12.70974323,-2.36220500,3.30708700
12.77374323,-4.33070900,3.30708700
12.83774323,-6.69291300,3.30708700
12.90174323,-0.78740150,3.30708700
12.96574322,-4.33070900,3.30708700
13.02974322,-4.72440900,3.30708700
13.09374322,-5.90551100,3.30708700
13.15774322,-1.96850400,3.30708700
13.22174322,-10.23622000,3.30708700
13.28574321,-3.14960600,3.30708700
13.34974321,-7.08661400,3.30708700
13.41374321,-3.93700800,3.22834600
13.47774321,-7.08661400,3.30708700
13.54174321,0.00000000,3.30708700
13.60574321,-8.26771600,3.30708700
13.66974320,-7.87401500,3.30708700
13.73374320,-5.90551100,3.30708700
13.79774320,-5.90551100,3.30708700
13.86174320,-8.66141700,3.30708700
13.92574320,-5.90551100,3.30708700
13.98974319,-3.54330700,3.30708700
14.05374319,-12.59842000,3.30708700
14.11774319,-4.33070900,3.30708700
14.18174319,-7.87401500,3.30708700
14.24574319,-10.23622000,3.30708700
14.30974319,-11.81102000,3.30708700
14.37374318,-2.75590500,3.30708700
14.43774318,-12.99213000,3.30708700
14.50174318,-7.48031400,3.30708700
14.56574318,-6.69291300,3.30708700
14.62974318,-8.26771600,3.30708700
14.69374317,-13.77953000,3.30708700
14.75774317,-5.11811000,3.22834600
14.82174317,-10.62992000,3.22834600
14.88574317,-9.44881800,3.30708700
14.94974317,-5.11811000,3.30708700
15.01374317,-6.69291300,3.30708700
15.07774316,-8.66141700,3.30708700
15.14174316,-6.29921200,3.30708700
15.20574316,-5.51181100,3.30708700
15.26974316,-11.41732000,3.30708700
15.33374316,-5.11811000,3.30708700
15.39774315,-8.26771600,3.30708700
15.46174315,-3.93700800,3.30708700
15.52574315,-9.44881800,3.30708700
15.58974315,-2.36220500,3.30708700
15.65374315,-9.44881800,3.30708700
15.71774315,-8.26771600,3.30708700
15.78174314,-8.66141700,3.30708700
15.84574314,-5.90551100,3.30708700
15.90974314,-11.41732000,3.30708700
15.97374314,-5.90551100,3.30708700
16.03774314,-5.51181100,3.30708700
16.10174313,-8.66141700,3.30708700
16.16574313,-6.29921200,3.30708700
16.22974313,-7.08661400,3.30708700
16.29374313,-9.05511800,3.30708700
16.35774313,-11.02362000,3.30708700
16.42174313,-3.14960600,3.30708700
16.48574312,-10.62992000,3.30708700
16.54974312,-6.29921200,3.30708700
16.61374312,-5.51181100,3.30708700
16.67774312,-4.72440900,3.30708700
16.74174312,-12.99213000,3.30708700
16.80574311,-3.54330700,3.30708700
16.86974311,-9.84251900,3.30708700
16.93374311,-7.87401500,3.30708700
16.99774311,-9.05511800,3.30708700
17.06174311,-5.51181100,3.30708700
17.12574311,-11.02362000,3.30708700
17.18974310,-8.66141700,3.30708700
17.25374310,-6.29921200,3.30708700
17.31774310,-11.81102000,3.30708700
17.38174310,-9.84251900,3.30708700
17.44574310,-7.48031400,3.30708700
17.50974309,-5.90551100,3.30708700
17.57374309,-12.20472000,3.30708700
17.63774309,-2.75590500,3.30708700
17.70174309,-8.66141700,3.30708700
17.76574309,-7.48031400,3.30708700
17.82974309,-8.26771600,3.30708700
17.89374308,-5.51181100,3.30708700
17.95774308,-11.41732000,3.30708700
18.02174308,-3.54330700,3.30708700
18.08574308,-5.51181100,3.30708700
18.14974308,-7.08661400,3.30708700
18.21374307,-8.26771600,3.30708700
18.27774307,-4.72440900,3.30708700
18.34174307,-10.62992000,3.30708700
18.40574307,-8.66141700,3.30708700
18.46974307,-5.51181100,3.30708700
18.53374307,-9.44881800,3.30708700
18.59774306,-6.29921200,3.30708700
18.66174306,-6.29921200,3.30708700
18.72574306,-6.69291300,3.30708700
18.78974306,-11.81102000,3.30708700
18.85374306,-2.36220500,3.30708700
18.91774306,-10.62992000,3.30708700
18.98174305,-5.90551100,3.30708700
19.04574305,-6.69291300,3.30708700
19.10974305,-3.14960600,3.30708700
19.17374305,-8.66141700,3.30708700
19.23774305,-3.93700800,3.30708700
19.30174304,-7.48031400,3.30708700
19.36574304,-8.26771600,3.30708700
19.42974304,-7.87401500,3.30708700
19.49374304,-5.51181100,3.30708700
19.55774304,-7.48031400,3.30708700
19.62174304,-9.05511800,3.30708700
19.68574303,-5.11811000,3.30708700
19.74974303,-8.26771600,3.30708700
19.81374303,-8.66141700,3.30708700
19.87774303,-9.84251900,3.30708700
19.94174303,-5.51181100,3.30708700
20.00574302,-12.20472000,3.30708700
20.06974302,-5.11811000,3.30708700
20.13374302,-7.48031400,3.30708700
20.19774302,-5.90551100,3.30708700
20.26174302,-11.41732000,3.22834600
20.32574302,-2.36220500,3.30708700
20.38974301,-12.20472000,3.30708700
20.45374301,-7.48031400,3.30708700
20.51774301,-4.72440900,3.30708700
20.58174301,-7.48031400,3.30708700
20.64574301,-7.48031400,3.30708700
20.70974300,-4.33070900,3.30708700
20.77374300,-6.29921200,3.30708700
20.83774300,-10.62992000,3.30708700
20.90174300,-3.14960600,3.30708700
20.96574300,-9.44881800,3.30708700
21.02974300,-7.48031400,3.30708700
21.09374299,-7.48031400,3.30708700
21.15774299,-3.54330700,3.30708700
21.22174299,-11.81102000,3.30708700
21.28574299,-4.72440900,3.30708700
21.34974299,-7.87401500,3.30708700
21.41374298,-7.87401500,3.30708700
21.47774298,-9.05511800,3.30708700
21.54174298,-2.36220500,3.30708700
21.60574298,-8.66141700,3.30708700
21.66974298,-5.11811000,3.30708700
