Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-5.51181100,0.00000000
0.03746341,-7.08661400,3.22834600
0.10146341,-6.29921200,3.30708700
0.16546341,-11.41732000,3.22834600
0.22946341,-9.05511800,3.22834600
0.29346341,-6.69291300,3.30708700
0.35746340,-11.81102000,3.22834600
0.42146340,-4.33070900,3.22834600
0.48546340,-5.51181100,3.22834600
0.54946340,-5.11811000,3.22834600
0.61346340,-9.84251900,3.22834600
0.67746340,-0.78740150,3.22834600
0.74146339,-9.05511800,3.22834600
0.80546339,-5.11811000,3.22834600
0.86946339,-2.75590500,3.22834600
0.93346339,-3.93700800,3.22834600
0.99746339,-5.90551100,3.22834600
1.06146339,0.78740150,3.22834600
1.12546338,-6.29921200,3.22834600
1.18946338,-4.33070900,3.22834600
1.25346338,-3.54330700,3.22834600
1.31746338,-3.54330700,3.22834600
1.38146338,-6.69291300,3.22834600
1.44546337,-0.78740150,3.30708700
1.50946337,-2.36220500,3.22834600
1.57346337,-7.87401500,3.22834600
1.63746337,-1.96850400,3.22834600
1.70146337,-6.29921200,3.30708700
1.76546337,-4.72440900,3.22834600
1.82946336,-4.33070900,3.22834600
1.89346336,1.96850400,3.22834600
1.95746336,-5.51181100,3.30708700
2.02146336,3.54330700,3.30708700
2.08546336,0.39370070,3.22834600
2.14946335,1.18110200,3.22834600
2.21346335,-3.14960600,3.22834600
2.27746335,1.18110200,3.22834600
2.34146335,-1.96850400,3.30708700
2.40546335,-1.57480300,3.30708700
2.46946335,0.00000000,3.30708700
2.53346334,-0.78740150,3.30708700
2.59746334,-2.36220500,3.22834600
2.66146334,-4.33070900,3.22834600
2.72546334,-1.18110200,3.22834600
2.78946334,-8.26771600,3.30708700
2.85346333,-4.33070900,3.22834600
2.91746333,-4.33070900,3.30708700
2.98146333,-2.36220500,3.30708700
3.04546333,-8.26771600,3.22834600
3.10946333,0.78740150,3.22834600
3.17346333,-6.69291300,3.22834600
3.23746332,-3.14960600,3.22834600
3.30146332,-3.93700800,3.30708700
3.36546332,-1.96850400,3.22834600
3.42946332,-6.69291300,3.22834600
3.49346332,-0.39370070,3.22834600
3.55746331,-0.39370070,3.22834600
3.62146331,-3.93700800,3.22834600
3.68546331,-1.96850400,3.30708700
3.74946331,-6.69291300,3.30708700
3.81346331,-2.75590500,3.22834600
3.87746331,-5.90551100,3.30708700
3.94146330,2.75590500,3.22834600
4.00546330,-5.90551100,3.30708700
4.06946330,-1.18110200,3.22834600
4.13346330,-3.93700800,3.30708700
4.19746330,-0.39370070,3.22834600
4.26146329,-9.44881800,3.22834600
4.32546329,-0.78740150,3.30708700
4.38946329,-4.33070900,3.22834600
4.45346329,-6.69291300,3.30708700
4.51746329,-3.93700800,3.22834600
4.58146329,0.00000000,3.30708700
4.64546328,-6.29921200,3.22834600
4.70946328,-2.75590500,3.30708700
4.77346328,0.39370070,3.30708700
4.83746328,-5.51181100,3.30708700
4.90146328,-3.93700800,3.30708700
4.96546327,-0.78740150,3.30708700
5.02946327,-2.36220500,3.30708700
5.09346327,-7.08661400,3.30708700
5.15746327,3.54330700,3.30708700
5.22146327,-3.54330700,3.30708700
5.28546327,-4.72440900,3.30708700
5.34946326,-6.29921200,3.30708700
5.41346326,-3.93700800,3.30708700
5.47746326,-12.59842000,3.22834600
5.54146326,-2.75590500,3.30708700
5.60546326,-5.90551100,3.22834600
5.66946325,-7.08661400,3.22834600
5.73346325,-5.51181100,3.22834600
5.79746325,-5.51181100,3.22834600
5.86146325,-6.69291300,3.22834600
5.92546325,-7.08661400,3.30708700
5.98946325,-1.57480300,3.22834600
6.05346324,-5.11811000,3.30708700
6.11746324,-2.75590500,3.22834600
6.18146324,-4.33070900,3.30708700
6.24546324,-0.78740150,3.22834600
6.30946324,-7.08661400,3.22834600
6.37346323,-2.36220500,3.30708700
6.43746323,-3.93700800,3.30708700
6.50146323,-2.36220500,3.30708700
6.56546323,-4.72440900,3.30708700
6.62946323,1.18110200,3.30708700
6.69346323,-4.72440900,3.30708700
6.75746322,-5.90551100,3.30708700
6.82146322,-3.54330700,3.30708700
6.88546322,-4.72440900,3.30708700
6.94946322,-8.26771600,3.30708700
7.01346322,-3.54330700,3.30708700
7.07746321,-1.96850400,3.22834600
7.14146321,-7.48031400,3.30708700
7.20546321,0.39370070,3.30708700
7.26946321,-3.14960600,3.22834600
7.33346321,-3.14960600,3.30708700
7.39746321,-5.11811000,3.30708700
7.46146320,2.75590500,3.30708700
7.52546320,-7.87401500,3.30708700
7.58946320,-0.78740150,3.30708700
7.65346320,-1.57480300,3.30708700
7.71746320,-2.36220500,3.30708700
7.78146319,-4.33070900,3.30708700
7.84546319,0.00000000,3.30708700
7.90946319,-4.33070900,3.30708700
7.97346319,-5.90551100,3.30708700
8.03746319,-2.36220500,3.30708700
8.10146319,-6.69291300,3.30708700
8.16546318,-5.90551100,3.30708700
8.22946318,-5.90551100,3.30708700
8.29346318,-3.54330700,3.30708700
8.35746318,-9.44881800,3.30708700
8.42146318,-5.90551100,3.22834600
8.48546318,-7.08661400,3.30708700
8.54946317,-3.14960600,3.22834600
8.61346317,-6.69291300,3.30708700
8.67746317,0.00000000,3.22834600
8.74146317,-7.87401500,3.22834600
8.80546317,-2.75590500,3.22834600
8.86946316,-4.72440900,3.22834600
8.93346316,-3.93700800,3.30708700
8.99746316,-7.48031400,3.30708700
9.06146316,-2.36220500,3.30708700
9.12546316,-1.96850400,3.22834600
9.18946316,-4.33070900,3.30708700
9.25346315,0.39370070,3.30708700
9.31746315,-2.75590500,3.30708700
9.38146315,-1.57480300,3.30708700
9.44546315,-4.33070900,3.30708700
9.50946315,0.00000000,3.30708700
9.57346314,-7.08661400,3.30708700
9.63746314,-0.39370070,3.30708700
9.70146314,-1.96850400,3.30708700
9.76546314,0.00000000,3.30708700
9.82946314,-3.14960600,3.30708700
9.89346314,1.96850400,3.30708700
9.95746313,-1.18110200,3.30708700
10.02146313,-0.39370070,3.30708700
10.08546313,0.00000000,3.30708700
10.14946313,1.18110200,3.30708700
10.21346313,-1.18110200,3.30708700
10.27746312,0.39370070,3.30708700
10.34146312,1.57480300,3.30708700
10.40546312,-3.14960600,3.30708700
10.46946312,-1.96850400,3.30708700
10.53346312,-1.57480300,3.30708700
10.59746312,-0.78740150,3.30708700
10.66146311,-6.29921200,3.30708700
10.72546311,1.96850400,3.30708700
10.78946311,-5.90551100,3.30708700
10.85346311,-3.54330700,3.30708700
10.91746311,-5.11811000,3.30708700
10.98146310,-2.75590500,3.30708700
11.04546310,-10.23622000,3.30708700
11.10946310,-1.57480300,3.30708700
11.17346310,-2.75590500,3.30708700
11.23746310,-5.51181100,3.30708700
11.30146310,-1.18110200,3.30708700
11.36546309,-0.39370070,3.30708700
11.42946309,-4.33070900,3.30708700
11.49346309,-4.33070900,3.30708700
11.55746309,0.00000000,3.30708700
11.62146309,-7.48031400,3.30708700
11.68546308,-0.39370070,3.30708700
11.74946308,-1.18110200,3.30708700
11.81346308,-1.57480300,3.30708700
11.87746308,-4.72440900,3.30708700
11.94146308,1.96850400,3.30708700
12.00546308,-5.51181100,3.30708700
12.06946307,-3.14960600,3.30708700
12.13346307,-3.93700800,3.30708700
12.19746307,-1.96850400,3.30708700
12.26146307,-6.29921200,3.30708700
12.32546307,-1.57480300,3.30708700
12.38946306,-3.54330700,3.30708700
12.45346306,-4.33070900,3.30708700
12.51746306,-3.14960600,3.30708700
12.58146306,-1.57480300,3.22834600
12.64546306,-1.96850400,3.30708700
12.70946306,-4.72440900,3.30708700
12.77346305,2.75590500,3.30708700
12.83746305,-3.14960600,3.22834600
12.90146305,-1.96850400,3.30708700
12.96546305,-5.11811000,3.30708700
13.02946305,-0.78740150,3.30708700
13.09346304,-9.05511800,3.30708700
13.15746304,-1.96850400,3.30708700
13.22146304,-4.72440900,3.30708700
13.28546304,-5.51181100,3.30708700
13.34946304,-5.90551100,3.30708700
13.41346304,-3.54330700,3.30708700
13.47746303,-10.62992000,3.30708700
13.54146303,-10.23622000,3.30708700
13.60546303,-7.48031400,3.30708700
13.66946303,-10.62992000,3.30708700
13.73346303,-9.44881800,3.30708700
13.79746302,-7.87401500,3.30708700
13.86146302,-8.26771600,3.30708700
13.92546302,-10.62992000,3.30708700
13.98946302,-4.72440900,3.22834600
14.05346302,-9.84251900,3.30708700
14.11746302,-7.48031400,3.30708700
14.18146301,-9.44881800,3.30708700
14.24546301,-2.36220500,3.30708700
14.30946301,-10.62992000,3.30708700
14.37346301,-3.54330700,3.30708700
14.43746301,-3.93700800,3.22834600
14.50146300,-4.72440900,3.30708700
14.56546300,-8.66141700,3.30708700
14.62946300,-3.54330700,3.30708700
14.69346300,-6.69291300,3.30708700
14.75746300,-9.84251900,3.30708700
14.82146300,-2.36220500,3.30708700
14.88546299,-8.66141700,3.30708700
14.94946299,-8.66141700,3.30708700
15.01346299,-6.69291300,3.30708700
15.07746299,-3.14960600,3.30708700
15.14146299,-12.20472000,3.30708700
15.20546299,-3.54330700,3.30708700
15.26946298,-5.51181100,3.30708700
15.33346298,-5.11811000,3.30708700
15.39746298,-5.90551100,3.30708700
15.46146298,-0.39370070,3.30708700
15.52546298,-8.66141700,3.30708700
15.58946297,-5.11811000,3.30708700
15.65346297,-5.11811000,3.30708700
15.71746297,-7.48031400,3.30708700
15.78146297,-8.66141700,3.30708700
15.84546297,-3.54330700,3.30708700
15.90946297,-5.11811000,3.30708700
15.97346296,-7.48031400,3.30708700
16.03746296,-5.90551100,3.30708700
16.10146296,-9.84251900,3.22834600
16.16546296,-9.44881800,3.30708700
16.22946296,-12.59842000,3.30708700
16.29346295,-7.48031400,3.30708700
16.35746295,-12.59842000,3.30708700
16.42146295,-7.87401500,3.30708700
16.48546295,-9.05511800,3.30708700
16.54946295,-5.11811000,3.22834600
16.61346295,-10.62992000,3.22834600
16.67746294,-5.51181100,3.30708700
16.74146294,-7.48031400,3.30708700
16.80546294,-7.87401500,3.30708700
16.86946294,-6.29921200,3.30708700
16.93346294,-4.72440900,3.30708700
16.99746293,-7.48031400,3.30708700
17.06146293,-6.29921200,3.30708700
17.12546293,-4.33070900,3.22834600
17.18946293,-10.23622000,3.30708700
17.25346293,-6.69291300,3.30708700
17.31746293,-5.51181100,3.30708700
17.38146292,-5.11811000,3.22834600
17.44546292,-8.26771600,3.30708700
17.50946292,-1.57480300,3.30708700
17.57346292,-10.23622000,3.30708700
17.63746292,-7.48031400,3.30708700
17.70146291,-8.66141700,3.30708700
17.76546291,-6.69291300,3.30708700
17.82946291,-11.81102000,3.30708700
17.89346291,-2.36220500,3.30708700
17.95746291,-7.08661400,3.30708700
18.02146291,-6.29921200,3.30708700
18.08546290,-5.90551100,3.30708700
18.14946290,-4.33070900,3.30708700
18.21346290,-7.87401500,3.30708700
18.27746290,-8.66141700,3.30708700
18.34146290,-4.33070900,3.30708700
18.40546289,-9.84251900,3.30708700
18.46946289,-5.11811000,3.30708700
18.53346289,-6.29921200,3.30708700
18.59746289,-5.51181100,3.30708700
18.66146289,-11.81102000,3.30708700
18.72546289,-5.11811000,3.30708700
18.78946288,-11.81102000,3.30708700
18.85346288,-11.02362000,3.30708700
18.91746288,-9.44881800,3.30708700
18.98146288,-6.69291300,3.30708700
19.04546288,-11.81102000,3.30708700
19.10946287,-6.29921200,3.30708700
19.17346287,-9.05511800,3.30708700
19.23746287,-9.84251900,3.30708700
19.30146287,-8.26771600,3.30708700
19.36546287,-5.90551100,3.30708700
19.42946287,-10.62992000,3.22834600
19.49346286,-7.87401500,3.30708700
19.55746286,-3.54330700,3.30708700
19.62146286,-9.44881800,3.22834600
19.68546286,-5.11811000,3.30708700
19.74946286,-8.66141700,3.30708700
19.81346285,-4.33070900,3.30708700
19.87746285,-9.44881800,3.30708700
19.94146285,-2.36220500,3.30708700
20.00546285,-7.48031400,3.30708700
20.06946285,-4.33070900,3.30708700
20.13346285,-7.48031400,3.30708700
20.19746284,-4.72440900,3.30708700
20.26146284,-11.02362000,3.30708700
20.32546284,-10.62992000,3.30708700
20.38946284,-7.48031400,3.30708700
20.45346284,-9.05511800,3.30708700
20.51746283,-8.66141700,3.30708700
20.58146283,-6.29921200,3.30708700
20.64546283,-5.90551100,3.30708700
20.70946283,-10.23622000,3.30708700
20.77346283,-4.33070900,3.30708700
20.83746283,-7.08661400,3.30708700
20.90146282,-8.66141700,3.30708700
20.96546282,-8.66141700,3.30708700
21.02946282,-2.36220500,3.30708700
21.09346282,-12.59842000,3.30708700
21.15746282,-5.51181100,3.30708700
21.22146281,-5.90551100,3.30708700
21.28546281,-6.69291300,3.30708700
21.34946281,-8.66141700,3.30708700
21.41346281,-3.14960600,3.30708700
21.47746281,-10.62992000,3.30708700
21.54146281,-9.05511800,3.30708700
21.60546280,-4.72440900,3.30708700
21.66946280,-9.84251900,3.30708700
