Time,Channel A,Channel B
(us),(mV),(V)

-0.02560000,-8.26771600,0.07874016
0.03840000,-8.66141700,3.22834600
0.10240000,-6.29921200,3.22834600
0.16640000,-10.62992000,3.22834600
0.23039999,-5.51181100,3.22834600
0.29439999,-10.23622000,3.22834600
0.35839999,-7.48031400,3.22834600
0.42239999,-3.14960600,3.22834600
0.48639999,-5.11811000,3.22834600
0.55039999,-6.29921200,3.22834600
0.61439998,-3.14960600,3.22834600
0.67839998,-2.36220500,3.22834600
0.74239998,-7.87401500,3.22834600
0.80639998,-1.57480300,3.22834600
0.87039998,-3.54330700,3.22834600
0.93439997,-3.54330700,3.22834600
0.99839997,-4.72440900,3.22834600
1.06239997,0.00000000,3.22834600
1.12639997,-9.84251900,3.22834600
1.19039997,-3.93700800,3.22834600
1.25439997,-3.93700800,3.22834600
1.31839996,-2.36220500,3.22834600
1.38239996,-7.87401500,3.22834600
1.44639996,1.57480300,3.22834600
1.51039996,-4.33070900,3.22834600
1.57439996,-4.33070900,3.22834600
1.63839995,-2.36220500,3.22834600
1.70239995,-2.75590500,3.22834600
1.76639995,-4.33070900,3.22834600
1.83039995,-1.96850400,3.22834600
1.89439995,2.36220500,3.22834600
1.95839995,-5.51181100,3.22834600
2.02239994,2.75590500,3.22834600
2.08639994,0.78740150,3.22834600
2.15039994,0.39370070,3.22834600
2.21439994,-3.93700800,3.22834600
2.27839994,3.54330700,3.22834600
2.34239993,-5.90551100,3.22834600
2.40639993,-2.36220500,3.22834600
2.47039993,-1.57480300,3.22834600
2.53439993,-3.54330700,3.30708700
2.59839993,-6.69291300,3.22834600
2.66239993,-0.39370070,3.22834600
2.72639992,-5.90551100,3.22834600
2.79039992,-7.08661400,3.22834600
2.85439992,-0.39370070,3.22834600
2.91839992,-2.36220500,3.22834600
2.98239992,-3.93700800,3.22834600
3.04639991,-3.54330700,3.22834600
3.11039991,-0.39370070,3.22834600
3.17439991,-7.08661400,3.22834600
3.23839991,0.78740150,3.22834600
3.30239991,-3.54330700,3.22834600
3.36639991,-0.39370070,3.22834600
3.43039990,-3.14960600,3.22834600
3.49439990,3.93700800,3.22834600
3.55839990,-3.93700800,3.22834600
3.62239990,-0.78740150,3.22834600
3.68639990,-4.33070900,3.22834600
3.75039990,-2.36220500,3.22834600
3.81439989,-4.72440900,3.30708700
3.87839989,-3.54330700,3.22834600
3.94239989,-1.57480300,3.30708700
4.00639989,-4.33070900,3.22834600
4.07039989,-2.36220500,3.22834600
4.13439988,-3.14960600,3.22834600
4.19839988,-2.75590500,3.22834600
4.26239988,-6.29921200,3.22834600
4.32639988,0.78740150,3.22834600
4.39039988,-3.54330700,3.30708700
4.45439988,-2.36220500,3.30708700
4.51839987,-2.36220500,3.30708700
4.58239987,0.78740150,3.22834600
4.64639987,-6.69291300,3.22834600
4.71039987,1.57480300,3.30708700
4.77439987,-2.75590500,3.30708700
4.83839986,-2.36220500,3.30708700
4.90239986,-1.96850400,3.30708700
4.96639986,0.39370070,3.22834600
5.03039986,-6.69291300,3.30708700
5.09439986,-3.93700800,3.22834600
5.15839986,-1.18110200,3.22834600
5.22239985,-9.44881800,3.22834600
5.28639985,-4.33070900,3.30708700
5.35039985,-5.90551100,3.22834600
5.41439985,-4.33070900,3.22834600
5.47839985,-7.08661400,3.22834600
5.54239984,0.78740150,3.22834600
5.60639984,-8.26771600,3.22834600
5.67039984,-5.51181100,3.22834600
5.73439984,-3.14960600,3.22834600
5.79839984,-3.54330700,3.22834600
5.86239984,-8.26771600,3.22834600
5.92639983,0.00000000,3.22834600
5.99039983,-1.96850400,3.30708700
6.05439983,-2.36220500,3.22834600
6.11839983,-0.78740150,3.22834600
6.18239983,-0.39370070,3.30708700
6.24639982,-3.93700800,3.22834600
6.31039982,-3.54330700,3.22834600
6.37439982,-0.39370070,3.22834600
6.43839982,-6.29921200,3.30708700
6.50239982,-2.36220500,3.30708700
6.56639982,-1.96850400,3.30708700
6.63039981,-2.36220500,3.30708700
6.69439981,-8.66141700,3.30708700
6.75839981,0.00000000,3.30708700
6.82239981,-6.69291300,3.22834600
6.88639981,-1.96850400,3.30708700
6.95039980,-2.36220500,3.30708700
7.01439980,0.39370070,3.22834600
7.07839980,-5.90551100,3.22834600
7.14239980,0.39370070,3.30708700
7.20639980,-1.57480300,3.22834600
7.27039980,-5.90551100,3.30708700
7.33439979,-1.18110200,3.30708700
7.39839979,-1.18110200,3.30708700
7.46239979,-0.78740150,3.30708700
7.52639979,-2.75590500,3.30708700
7.59039979,1.96850400,3.30708700
7.65439978,-5.51181100,3.30708700
7.71839978,-2.36220500,3.30708700
7.78239978,-5.51181100,3.30708700
7.84639978,-3.14960600,3.30708700
7.91039978,-9.05511800,3.30708700
7.97439978,-1.96850400,3.30708700
8.03839977,-5.51181100,3.30708700
8.10239977,-3.54330700,3.30708700
8.16639977,-7.08661400,3.22834600
8.23039977,-1.57480300,3.30708700
8.29439977,-8.26771600,3.22834600
8.35839976,-5.90551100,3.30708700
8.42239976,-2.75590500,3.22834600
8.48639976,-4.33070900,3.30708700
8.55039976,-3.93700800,3.22834600
8.61439976,-1.96850400,3.30708700
8.67839976,1.18110200,3.30708700
8.74239975,-8.66141700,3.22834600
8.80639975,1.57480300,3.30708700
8.87039975,-2.75590500,3.22834600
8.93439975,-3.93700800,3.30708700
8.99839975,-4.33070900,3.30708700
9.06239974,1.57480300,3.22834600
9.12639974,-7.87401500,3.30708700
9.19039974,-2.36220500,3.30708700
9.25439974,-1.96850400,3.22834600
9.31839974,-5.51181100,3.30708700
9.38239974,-3.93700800,3.30708700
9.44639973,1.96850400,3.30708700
9.51039973,-2.75590500,3.22834600
9.57439973,-1.96850400,3.30708700
9.63839973,3.54330700,3.30708700
9.70239973,-1.57480300,3.30708700
9.76639972,-1.18110200,3.30708700
9.83039972,0.39370070,3.30708700
9.89439972,1.96850400,3.30708700
9.95839972,-3.54330700,3.30708700
10.02239972,5.51181100,3.30708700
10.08639972,-0.78740150,3.30708700
10.15039971,1.96850400,3.22834600
10.21439971,-0.39370070,3.30708700
10.27839971,3.54330700,3.30708700
10.34239971,-5.11811000,3.30708700
10.40639971,-1.18110200,3.30708700
10.47039970,-2.36220500,3.30708700
10.53439970,-3.14960600,3.30708700
10.59839970,-2.75590500,3.30708700
10.66239970,-1.96850400,3.30708700
10.72639970,-2.75590500,3.30708700
10.79039970,-5.90551100,3.30708700
10.85439969,-0.78740150,3.30708700
10.91839969,-5.51181100,3.30708700
10.98239969,-3.14960600,3.22834600
11.04639969,-3.14960600,3.22834600
11.11039969,1.18110200,3.22834600
11.17439969,-5.11811000,3.22834600
11.23839968,0.00000000,3.22834600
11.30239968,-2.36220500,3.30708700
11.36639968,-0.39370070,3.22834600
11.43039968,-3.54330700,3.22834600
11.49439968,2.36220500,3.22834600
11.55839967,-3.54330700,3.22834600
11.62239967,0.00000000,3.30708700
11.68639967,0.39370070,3.30708700
11.75039967,-1.96850400,3.22834600
11.81439967,-3.93700800,3.30708700
11.87839967,-2.75590500,3.30708700
11.94239966,-2.75590500,3.30708700
12.00639966,-7.08661400,3.30708700
12.07039966,-0.39370070,3.30708700
12.13439966,-3.54330700,3.30708700
12.19839966,-0.39370070,3.30708700
12.26239965,-5.51181100,3.30708700
12.32639965,0.78740150,3.30708700
12.39039965,-6.29921200,3.30708700
12.45439965,-0.39370070,3.30708700
12.51839965,-1.57480300,3.22834600
12.58239965,0.00000000,3.22834600
12.64639964,-3.54330700,3.30708700
12.71039964,2.75590500,3.30708700
12.77439964,0.39370070,3.30708700
12.83839964,-2.75590500,3.30708700
12.90239964,-1.57480300,3.30708700
12.96639963,-3.93700800,3.30708700
13.03039963,-7.87401500,3.30708700
13.09439963,-7.48031400,3.30708700
13.15839963,-2.75590500,3.30708700
13.22239963,-11.02362000,3.30708700
13.28639963,-4.33070900,3.30708700
13.35039962,-6.69291300,3.30708700
13.41439962,-9.44881800,3.30708700
13.47839962,-11.41732000,3.30708700
13.54239962,-3.14960600,3.30708700
13.60639962,-12.99213000,3.22834600
13.67039961,-4.72440900,3.30708700
13.73439961,-7.08661400,3.30708700
13.79839961,-7.08661400,3.22834600
13.86239961,-12.59842000,3.22834600
13.92639961,-3.93700800,3.22834600
13.99039961,-8.66141700,3.22834600
14.05439960,-9.44881800,3.22834600
14.11839960,-0.78740150,3.22834600
14.18239960,-1.96850400,3.30708700
14.24639960,-5.11811000,3.22834600
14.31039960,-5.51181100,3.22834600
14.37439959,-2.75590500,3.30708700
14.43839959,-9.44881800,3.22834600
14.50239959,-3.54330700,3.30708700
14.56639959,-7.48031400,3.30708700
14.63039959,-5.90551100,3.30708700
14.69439959,-8.66141700,3.30708700
14.75839958,1.18110200,3.30708700
14.82239958,-9.05511800,3.22834600
14.88639958,-5.11811000,3.22834600
14.95039958,-7.87401500,3.30708700
15.01439958,-0.78740150,3.22834600
15.07839957,-9.05511800,3.30708700
15.14239957,-2.75590500,3.30708700
15.20639957,-2.36220500,3.30708700
15.27039957,-5.51181100,3.30708700
15.33439957,-3.93700800,3.30708700
15.39839957,-4.72440900,3.30708700
15.46239956,-5.11811000,3.30708700
15.52639956,-12.20472000,3.30708700
15.59039956,0.39370070,3.22834600
15.65439956,-7.87401500,3.30708700
15.71839956,-5.51181100,3.30708700
15.78239955,-6.69291300,3.30708700
15.84639955,-5.11811000,3.22834600
15.91039955,-12.20472000,3.30708700
15.97439955,-5.51181100,3.30708700
16.03839955,-10.62992000,3.22834600
16.10239955,-10.23622000,3.30708700
16.16639954,-10.23622000,3.30708700
16.23039954,-8.66141700,3.30708700
16.29439954,-12.59842000,3.22834600
16.35839954,-7.87401500,3.30708700
16.42239954,-5.90551100,3.22834600
16.48639953,-8.66141700,3.30708700
16.55039953,-9.44881800,3.30708700
16.61439953,-3.54330700,3.30708700
16.67839953,-3.14960600,3.30708700
16.74239953,-6.69291300,3.30708700
16.80639953,1.57480300,3.22834600
16.87039952,-6.69291300,3.22834600
16.93439952,-4.33070900,3.30708700
16.99839952,-7.48031400,3.30708700
17.06239952,-0.78740150,3.30708700
17.12639952,-12.20472000,3.30708700
17.19039951,-3.93700800,3.30708700
17.25439951,-7.08661400,3.22834600
17.31839951,-6.29921200,3.30708700
17.38239951,-7.48031400,3.30708700
17.44639951,-3.54330700,3.30708700
17.51039951,-7.87401500,3.30708700
17.57439950,-6.69291300,3.30708700
17.63839950,-3.14960600,3.30708700
17.70239950,-7.48031400,3.30708700
17.76639950,-5.11811000,3.30708700
17.83039950,-3.54330700,3.30708700
17.89439949,-3.54330700,3.22834600
17.95839949,-9.84251900,3.30708700
18.02239949,-2.75590500,3.30708700
18.08639949,-8.26771600,3.30708700
18.15039949,-4.33070900,3.30708700
18.21439949,-5.51181100,3.30708700
18.27839948,-2.36220500,3.30708700
18.34239948,-8.66141700,3.30708700
18.40639948,-3.14960600,3.30708700
18.47039948,-9.05511800,3.30708700
18.53439948,-8.26771600,3.30708700
18.59839948,-10.62992000,3.30708700
18.66239947,-7.48031400,3.30708700
18.72639947,-8.26771600,3.30708700
18.79039947,-10.23622000,3.30708700
18.85439947,-6.69291300,3.30708700
18.91839947,-8.66141700,3.30708700
18.98239946,-6.69291300,3.30708700
19.04639946,-10.62992000,3.22834600
19.11039946,-3.93700800,3.22834600
19.17439946,-10.62992000,3.22834600
19.23839946,-3.54330700,3.30708700
19.30239946,-4.33070900,3.30708700
19.36639945,-4.33070900,3.22834600
19.43039945,-9.05511800,3.22834600
19.49439945,-0.78740150,3.30708700
19.55839945,-7.87401500,3.30708700
19.62239945,-5.90551100,3.30708700
19.68639944,-3.93700800,3.30708700
19.75039944,-2.75590500,3.30708700
19.81439944,-8.26771600,3.30708700
19.87839944,-1.57480300,3.30708700
19.94239944,-5.51181100,3.30708700
20.00639944,-10.23622000,3.30708700
20.07039943,-3.54330700,3.30708700
20.13439943,-6.69291300,3.30708700
20.19839943,-8.66141700,3.30708700
20.26239943,-6.69291300,3.30708700
20.32639943,-1.57480300,3.30708700
20.39039942,-10.62992000,3.30708700
20.45439942,-3.54330700,3.30708700
20.51839942,-7.48031400,3.30708700
20.58239942,-5.90551100,3.30708700
20.64639942,-9.05511800,3.30708700
20.71039942,-1.57480300,3.30708700
20.77439941,-8.66141700,3.30708700
20.83839941,-4.72440900,3.30708700
20.90239941,-3.14960600,3.30708700
20.96639941,-4.72440900,3.30708700
21.03039941,-9.44881800,3.30708700
21.09439940,-6.69291300,3.30708700
21.15839940,-7.87401500,3.30708700
21.22239940,-9.44881800,3.30708700
21.28639940,-6.69291300,3.30708700
21.35039940,-6.29921200,3.30708700
21.41439940,-7.48031400,3.30708700
21.47839939,-9.44881800,3.30708700
21.54239939,-4.72440900,3.30708700
21.60639939,-11.41732000,3.30708700
21.67039939,-7.48031400,3.30708700
21.73439939,-7.87401500,3.30708700
