Time,Channel A,Channel B
(us),(mV),(V)

-0.03296970,-4.33070900,0.00000000
0.03103030,9.44881800,2.59842500
0.09503030,-8.26771600,3.22834600
0.15903030,-5.51181100,3.22834600
0.22303030,-1.96850400,3.30708700
0.28703030,-8.26771600,3.22834600
0.35103029,-5.11811000,3.30708700
0.41503029,-4.72440900,3.22834600
0.47903029,-6.69291300,3.30708700
0.54303029,-10.23622000,3.22834600
0.60703029,-2.36220500,3.22834600
0.67103028,-8.66141700,3.30708700
0.73503028,-3.14960600,3.22834600
0.79903028,-3.54330700,3.22834600
0.86303028,-0.78740150,3.22834600
0.92703028,-7.48031400,3.22834600
0.99103028,-1.18110200,3.22834600
1.05503027,-5.90551100,3.22834600
1.11903027,-5.51181100,3.22834600
1.18303027,-3.14960600,3.22834600
1.24703027,-2.75590500,3.22834600
1.31103027,-1.57480300,3.30708700
1.37503026,-3.54330700,3.30708700
1.43903026,1.18110200,3.22834600
1.50303026,-4.72440900,3.22834600
1.56703026,-3.14960600,3.22834600
1.63103026,-6.69291300,3.30708700
1.69503026,-1.96850400,3.22834600
1.75903025,-7.87401500,3.22834600
1.82303025,-1.57480300,3.22834600
1.88703025,-3.54330700,3.22834600
1.95103025,-3.93700800,3.22834600
2.01503025,-5.11811000,3.22834600
2.07903025,0.00000000,3.22834600
2.14303024,-5.11811000,3.22834600
2.20703024,-3.93700800,3.30708700
2.27103024,0.00000000,3.22834600
2.33503024,-2.36220500,3.22834600
2.39903024,-2.75590500,3.22834600
2.46303023,-0.78740150,3.22834600
2.52703023,-1.18110200,3.22834600
2.59103023,-5.11811000,3.22834600
2.65503023,2.75590500,3.22834600
2.71903023,-3.54330700,3.22834600
2.78303023,0.00000000,3.22834600
2.84703022,-1.96850400,3.30708700
2.91103022,2.75590500,3.22834600
2.97503022,-4.33070900,3.30708700
3.03903022,0.39370070,3.22834600
3.10303022,-2.75590500,3.22834600
3.16703021,-4.33070900,3.30708700
3.23103021,-3.54330700,3.22834600
3.29503021,-1.57480300,3.30708700
3.35903021,-3.54330700,3.22834600
3.42303021,-2.75590500,3.22834600
3.48703021,2.36220500,3.30708700
3.55103020,-3.14960600,3.22834600
3.61503020,-3.54330700,3.22834600
3.67903020,-2.36220500,3.30708700
3.74303020,-1.18110200,3.22834600
3.80703020,-6.69291300,3.30708700
3.87103019,1.57480300,3.30708700
3.93503019,-2.36220500,3.30708700
3.99903019,-2.36220500,3.22834600
4.06303019,-2.36220500,3.30708700
4.12703019,1.96850400,3.30708700
4.19103019,-7.87401500,3.30708700
4.25503018,-1.96850400,3.30708700
4.31903018,-1.96850400,3.30708700
4.38303018,-4.33070900,3.22834600
4.44703018,-5.51181100,3.30708700
4.51103018,-2.36220500,3.30708700
4.57503017,-5.90551100,3.30708700
4.63903017,-7.48031400,3.30708700
4.70303017,-1.96850400,3.22834600
4.76703017,-7.48031400,3.22834600
4.83103017,-4.33070900,3.22834600
4.89503017,-3.93700800,3.22834600
4.95903016,-0.78740150,3.22834600
5.02303016,-7.48031400,3.30708700
5.08703016,-1.57480300,3.22834600
5.15103016,-5.11811000,3.30708700
5.21503016,-2.75590500,3.22834600
5.27903015,-5.11811000,3.22834600
5.34303015,0.00000000,3.30708700
5.40703015,-1.96850400,3.22834600
5.47103015,-2.75590500,3.22834600
5.53503015,-1.18110200,3.22834600
5.59903015,-1.57480300,3.30708700
5.66303014,-4.72440900,3.30708700
5.72703014,-3.93700800,3.30708700
5.79103014,-1.96850400,3.30708700
5.85503014,-8.26771600,3.30708700
5.91903014,-2.75590500,3.30708700
5.98303013,-3.14960600,3.30708700
6.04703013,-2.36220500,3.22834600
6.11103013,-6.69291300,3.30708700
6.17503013,2.75590500,3.30708700
6.23903013,-7.48031400,3.30708700
6.30303013,-2.75590500,3.30708700
6.36703012,-1.96850400,3.30708700
6.43103012,-2.36220500,3.22834600
6.49503012,-5.51181100,3.30708700
6.55903012,1.18110200,3.30708700
6.62303012,-1.96850400,3.30708700
6.68703011,-6.69291300,3.30708700
6.75103011,-0.39370070,3.30708700
6.81503011,-2.36220500,3.30708700
6.87903011,-3.54330700,3.30708700
6.94303011,-3.93700800,3.30708700
7.00703011,1.57480300,3.30708700
7.07103010,-7.87401500,3.30708700
7.13503010,-2.75590500,3.30708700
7.19903010,-5.11811000,3.30708700
7.26303010,-4.72440900,3.30708700
7.32703010,-9.05511800,3.30708700
7.39103009,-0.39370070,3.30708700
7.45503009,-5.90551100,3.30708700
7.51903009,-3.93700800,3.30708700
7.58303009,-3.54330700,3.30708700
7.64703009,-1.18110200,3.30708700
7.71103009,-6.29921200,3.22834600
7.77503008,-3.54330700,3.22834600
7.83903008,-1.57480300,3.30708700
7.90303008,-5.51181100,3.22834600
7.96703008,0.00000000,3.30708700
8.03103008,-1.18110200,3.30708700
8.09503007,-1.18110200,3.30708700
8.15903007,-5.51181100,3.30708700
8.22303007,2.36220500,3.30708700
8.28703007,-5.51181100,3.30708700
8.35103007,-1.18110200,3.30708700
8.41503007,-4.33070900,3.30708700
8.47903006,-1.57480300,3.30708700
8.54303006,-6.29921200,3.30708700
8.60703006,-1.18110200,3.30708700
8.67103006,-3.93700800,3.30708700
8.73503006,-4.33070900,3.30708700
8.79903006,-1.96850400,3.30708700
8.86303005,-2.36220500,3.30708700
8.92703005,-3.54330700,3.30708700
8.99103005,-3.93700800,3.30708700
9.05503005,-0.78740150,3.30708700
9.11903005,-3.14960600,3.30708700
9.18303004,-2.75590500,3.30708700
9.24703004,-3.54330700,3.30708700
9.31103004,0.00000000,3.30708700
9.37503004,-5.51181100,3.30708700
9.43903004,1.96850400,3.30708700
9.50303004,-1.18110200,3.30708700
9.56703003,0.78740150,3.30708700
9.63103003,-2.36220500,3.30708700
9.69503003,2.75590500,3.30708700
9.75903003,-6.69291300,3.30708700
9.82303003,-2.36220500,3.30708700
9.88703002,-0.39370070,3.30708700
9.95103002,-4.33070900,3.30708700
10.01503002,-3.14960600,3.30708700
10.07903002,0.39370070,3.30708700
10.14303002,-0.78740150,3.30708700
10.20703002,-4.33070900,3.30708700
10.27103001,2.36220500,3.30708700
10.33503001,-4.72440900,3.30708700
10.39903001,-3.14960600,3.30708700
10.46303001,-1.18110200,3.30708700
10.52703001,1.18110200,3.30708700
10.59103000,-4.72440900,3.30708700
10.65503000,2.75590500,3.30708700
10.71903000,-0.78740150,3.30708700
10.78303000,-1.96850400,3.30708700
10.84703000,-2.36220500,3.30708700
10.91103000,1.57480300,3.30708700
10.97502999,-3.93700800,3.30708700
11.03902999,0.39370070,3.30708700
11.10302999,-0.39370070,3.30708700
11.16702999,-2.75590500,3.30708700
11.23102999,-2.36220500,3.30708700
11.29502998,-1.18110200,3.30708700
11.35902998,-1.96850400,3.30708700
11.42302998,-6.29921200,3.30708700
11.48702998,1.57480300,3.30708700
11.55102998,-2.36220500,3.30708700
11.61502998,0.39370070,3.30708700
11.67902997,-2.75590500,3.30708700
11.74302997,1.96850400,3.30708700
11.80702997,-6.29921200,3.30708700
11.87102997,-0.39370070,3.30708700
11.93502997,-1.57480300,3.30708700
11.99902996,-2.75590500,3.30708700
12.06302996,-2.36220500,3.30708700
12.12702996,2.75590500,3.30708700
12.19102996,-1.18110200,3.30708700
12.25502996,-2.75590500,3.30708700
12.31902996,-0.78740150,3.30708700
12.38302995,-4.33070900,3.30708700
12.44702995,-5.11811000,3.30708700
12.51102995,-3.93700800,3.30708700
12.57502995,-1.96850400,3.30708700
12.63902995,-7.87401500,3.30708700
12.70302994,-1.18110200,3.30708700
12.76702994,-4.72440900,3.30708700
12.83102994,-3.14960600,3.30708700
12.89502994,-8.26771600,3.22834600
12.95902994,-1.57480300,3.22834600
13.02302994,-6.29921200,3.30708700
13.08702993,-4.33070900,3.30708700
13.15102993,-6.69291300,3.22834600
13.21502993,-1.57480300,3.22834600
13.27902993,-6.29921200,3.22834600
13.34302993,-2.75590500,3.30708700
13.40702992,-3.14960600,3.30708700
13.47102992,-8.66141700,3.30708700
13.53502992,-3.93700800,3.30708700
13.59902992,-3.14960600,3.30708700
13.66302992,-5.90551100,3.30708700
13.72702992,-7.08661400,3.30708700
13.79102991,0.00000000,3.30708700
13.85502991,-10.62992000,3.30708700
13.91902991,-7.08661400,3.30708700
13.98302991,-7.08661400,3.30708700
14.04702991,-7.87401500,3.30708700
14.11102990,-11.41732000,3.30708700
14.17502990,-0.78740150,3.30708700
14.23902990,-7.08661400,3.30708700
14.30302990,-5.11811000,3.30708700
14.36702990,-2.36220500,3.30708700
14.43102990,0.39370070,3.30708700
14.49502989,-11.41732000,3.30708700
14.55902989,-3.54330700,3.30708700
14.62302989,-3.14960600,3.30708700
14.68702989,-7.87401500,3.30708700
14.75102989,-2.36220500,3.30708700
14.81502988,-3.14960600,3.30708700
14.87902988,-5.11811000,3.30708700
14.94302988,-8.66141700,3.30708700
15.00702988,-1.57480300,3.30708700
15.07102988,-11.02362000,3.30708700
15.13502988,-5.51181100,3.30708700
15.19902987,-7.08661400,3.30708700
15.26302987,-3.93700800,3.30708700
15.32702987,-10.62992000,3.30708700
15.39102987,-4.72440900,3.30708700
15.45502987,-9.44881800,3.30708700
15.51902986,-9.44881800,3.30708700
15.58302986,-7.87401500,3.30708700
15.64702986,-5.90551100,3.30708700
15.71102986,-6.69291300,3.30708700
15.77502986,-5.11811000,3.30708700
15.83902986,-5.90551100,3.22834600
15.90302985,-7.48031400,3.30708700
15.96702985,-7.87401500,3.30708700
16.03102985,-7.48031400,3.30708700
16.09502985,-4.33070900,3.30708700
16.15902985,-10.23622000,3.30708700
16.22302985,-1.96850400,3.30708700
16.28702984,-7.48031400,3.22834600
16.35102984,-7.08661400,3.30708700
16.41502984,-8.66141700,3.30708700
16.47902984,-4.33070900,3.30708700
16.54302984,-12.59842000,3.30708700
16.60702983,-6.69291300,3.22834600
16.67102983,-7.08661400,3.30708700
16.73502983,-5.51181100,3.30708700
16.79902983,-6.29921200,3.30708700
16.86302983,-2.75590500,3.30708700
16.92702983,-4.72440900,3.30708700
16.99102982,-7.87401500,3.30708700
17.05502982,-4.33070900,3.30708700
17.11902982,-6.69291300,3.30708700
17.18302982,-6.29921200,3.30708700
17.24702982,-5.11811000,3.30708700
17.31102981,-1.96850400,3.30708700
17.37502981,-8.26771600,3.30708700
17.43902981,-0.78740150,3.30708700
17.50302981,-3.54330700,3.30708700
17.56702981,-3.14960600,3.30708700
17.63102981,-6.69291300,3.30708700
17.69502980,-0.39370070,3.30708700
17.75902980,-10.23622000,3.30708700
17.82302980,-6.29921200,3.30708700
17.88702980,-6.29921200,3.30708700
17.95102980,-8.26771600,3.30708700
18.01502979,-12.59842000,3.30708700
18.07902979,-5.90551100,3.30708700
18.14302979,-9.44881800,3.30708700
18.20702979,-11.81102000,3.30708700
18.27102979,-2.36220500,3.30708700
18.33502979,-8.26771600,3.30708700
18.39902978,-7.87401500,3.30708700
18.46302978,-5.90551100,3.30708700
18.52702978,-6.29921200,3.30708700
18.59102978,-12.59842000,3.30708700
18.65502978,-3.93700800,3.22834600
18.71902977,-7.48031400,3.30708700
18.78302977,-6.29921200,3.30708700
18.84702977,-5.90551100,3.30708700
18.91102977,-1.96850400,3.30708700
18.97502977,-7.87401500,3.30708700
19.03902977,-4.72440900,3.30708700
19.10302976,-5.11811000,3.30708700
19.16702976,-5.90551100,3.30708700
19.23102976,-7.08661400,3.30708700
19.29502976,-4.72440900,3.30708700
19.35902976,-4.72440900,3.30708700
19.42302975,-7.48031400,3.30708700
19.48702975,-3.93700800,3.30708700
19.55102975,-7.08661400,3.30708700
19.61502975,-5.11811000,3.30708700
19.67902975,-8.26771600,3.30708700
19.74302975,0.00000000,3.30708700
19.80702974,-7.48031400,3.30708700
19.87102974,-3.54330700,3.30708700
19.93502974,-4.33070900,3.30708700
19.99902974,-1.96850400,3.30708700
20.06302974,-8.66141700,3.30708700
20.12702973,-1.57480300,3.30708700
20.19102973,-4.33070900,3.30708700
20.25502973,-6.29921200,3.30708700
20.31902973,-2.75590500,3.30708700
20.38302973,-3.14960600,3.30708700
20.44702973,-9.05511800,3.30708700
20.51102972,-7.87401500,3.30708700
20.57502972,-5.11811000,3.30708700
20.63902972,-12.99213000,3.30708700
20.70302972,-9.05511800,3.22834600
20.76702972,-6.69291300,3.30708700
20.83102971,-7.08661400,3.30708700
20.89502971,-10.62992000,3.30708700
20.95902971,-1.96850400,3.30708700
21.02302971,-11.81102000,3.30708700
21.08702971,-7.48031400,3.30708700
21.15102971,-8.26771600,3.30708700
21.21502970,-5.11811000,3.30708700
21.27902970,-10.62992000,3.22834600
21.34302970,-2.36220500,3.30708700
21.40702970,-3.14960600,3.22834600
21.47102970,-5.51181100,3.30708700
21.53502969,-4.33070900,3.30708700
21.59902969,-2.36220500,3.30708700
21.66302969,-5.11811000,3.30708700
