Time,Channel A,Channel B
(us),(mV),(V)

-0.05440000,-7.48031400,0.00000000
0.00960000,-6.29921200,1.57480300
0.07360000,-5.11811000,3.22834600
0.13760000,-4.33070900,3.22834600
0.20159999,-7.48031400,3.22834600
0.26559999,0.39370070,3.22834600
0.32959999,-8.26771600,3.22834600
0.39359999,-3.93700800,3.22834600
0.45759999,-4.33070900,3.22834600
0.52159999,-3.14960600,3.22834600
0.58559998,-10.62992000,3.22834600
0.64959998,-0.39370070,3.22834600
0.71359998,-5.51181100,3.22834600
0.77759998,-6.69291300,3.22834600
0.84159998,-3.93700800,3.22834600
0.90559997,-2.75590500,3.22834600
0.96959997,-7.48031400,3.22834600
1.03359997,-4.72440900,3.22834600
1.09759997,1.18110200,3.22834600
1.16159997,-7.08661400,3.22834600
1.22559997,0.00000000,3.22834600
1.28959996,0.00000000,3.22834600
1.35359996,-1.18110200,3.22834600
1.41759996,-6.29921200,3.22834600
1.48159996,2.75590500,3.22834600
1.54559996,-5.90551100,3.30708700
1.60959995,-3.14960600,3.22834600
1.67359995,-1.96850400,3.22834600
1.73759995,0.39370070,3.22834600
1.80159995,-5.11811000,3.22834600
1.86559995,1.57480300,3.30708700
1.92959995,-5.11811000,3.22834600
1.99359994,-3.93700800,3.22834600
2.05759994,-4.33070900,3.22834600
2.12159994,-1.18110200,3.22834600
2.18559994,-5.90551100,3.22834600
2.24959994,-2.36220500,3.22834600
2.31359993,-1.57480300,3.22834600
2.37759993,-2.75590500,3.22834600
2.44159993,-0.39370070,3.22834600
2.50559993,-3.14960600,3.22834600
2.56959993,0.39370070,3.22834600
2.63359993,-4.72440900,3.22834600
2.69759992,2.75590500,3.22834600
2.76159992,-2.36220500,3.22834600
2.82559992,0.39370070,3.22834600
2.88959992,-3.54330700,3.22834600
2.95359992,3.54330700,3.22834600
3.01759991,-4.33070900,3.22834600
3.08159991,-0.39370070,3.22834600
3.14559991,-0.39370070,3.22834600
3.20959991,-0.39370070,3.22834600
3.27359991,-4.72440900,3.22834600
3.33759991,1.96850400,3.22834600
3.40159990,-4.33070900,3.22834600
3.46559990,-5.11811000,3.22834600
3.52959990,-0.39370070,3.22834600
3.59359990,-2.75590500,3.22834600
3.65759990,-5.90551100,3.22834600
3.72159990,0.39370070,3.22834600
3.78559989,2.36220500,3.22834600
3.84959989,-5.11811000,3.22834600
3.91359989,1.96850400,3.22834600
3.97759989,-0.78740150,3.30708700
4.04159989,-1.57480300,3.30708700
4.10559988,-4.33070900,3.22834600
4.16959988,3.14960600,3.30708700
4.23359988,-7.08661400,3.30708700
4.29759988,1.18110200,3.30708700
4.36159988,-0.78740150,3.30708700
4.42559988,-0.39370070,3.22834600
4.48959987,-5.11811000,3.22834600
4.55359987,0.00000000,3.30708700
4.61759987,-5.90551100,3.22834600
4.68159987,-5.51181100,3.22834600
4.74559987,-3.54330700,3.30708700
4.80959986,-3.93700800,3.22834600
4.87359986,-6.29921200,3.22834600
4.93759986,-3.93700800,3.30708700
5.00159986,-3.54330700,3.22834600
5.06559986,-6.29921200,3.22834600
5.12959986,-2.75590500,3.22834600
5.19359985,-1.96850400,3.22834600
5.25759985,-2.36220500,3.22834600
5.32159985,-4.33070900,3.22834600
5.38559985,1.57480300,3.22834600
5.44959985,-5.90551100,3.22834600
5.51359984,-0.78740150,3.30708700
5.57759984,-3.93700800,3.22834600
5.64159984,-0.78740150,3.22834600
5.70559984,-5.90551100,3.22834600
5.76959984,2.36220500,3.30708700
5.83359984,-3.14960600,3.22834600
5.89759983,-2.75590500,3.30708700
5.96159983,-2.75590500,3.30708700
6.02559983,-2.75590500,3.22834600
6.08959983,-5.90551100,3.30708700
6.15359983,-5.11811000,3.30708700
6.21759982,-2.75590500,3.30708700
6.28159982,-3.93700800,3.30708700
6.34559982,-1.96850400,3.22834600
6.40959982,-2.36220500,3.22834600
6.47359982,-0.39370070,3.22834600
6.53759982,-5.11811000,3.30708700
6.60159981,1.18110200,3.30708700
6.66559981,-3.14960600,3.30708700
6.72959981,-1.18110200,3.30708700
6.79359981,-4.33070900,3.30708700
6.85759981,2.36220500,3.22834600
6.92159980,-5.11811000,3.30708700
6.98559980,0.39370070,3.30708700
7.04959980,-3.14960600,3.30708700
7.11359980,-1.57480300,3.30708700
7.17759980,-5.51181100,3.30708700
7.24159980,0.00000000,3.30708700
7.30559979,-5.90551100,3.30708700
7.36959979,-5.51181100,3.30708700
7.43359979,-0.78740150,3.30708700
7.49759979,-6.69291300,3.30708700
7.56159979,-7.08661400,3.30708700
7.62559978,-4.33070900,3.22834600
7.68959978,-2.36220500,3.22834600
7.75359978,-7.87401500,3.30708700
7.81759978,1.96850400,3.30708700
7.88159978,-3.93700800,3.22834600
7.94559978,-3.54330700,3.22834600
8.00959977,-2.75590500,3.22834600
8.07359977,0.00000000,3.22834600
8.13759977,-8.66141700,3.30708700
8.20159977,0.39370070,3.22834600
8.26559977,-2.36220500,3.22834600
8.32959976,-2.36220500,3.30708700
8.39359976,-3.14960600,3.30708700
8.45759976,1.96850400,3.30708700
8.52159976,-6.29921200,3.30708700
8.58559976,-2.36220500,3.22834600
8.64959976,-2.36220500,3.30708700
8.71359975,-5.51181100,3.30708700
8.77759975,-4.72440900,3.30708700
8.84159975,-3.14960600,3.22834600
8.90559975,-1.57480300,3.30708700
8.96959975,-7.08661400,3.30708700
9.03359974,-0.78740150,3.22834600
9.09759974,-5.51181100,3.22834600
9.16159974,-1.57480300,3.22834600
9.22559974,-4.33070900,3.30708700
9.28959974,1.96850400,3.30708700
9.35359974,-3.93700800,3.22834600
9.41759973,1.57480300,3.30708700
9.48159973,-0.78740150,3.22834600
9.54559973,0.00000000,3.30708700
9.60959973,-4.72440900,3.30708700
9.67359973,1.96850400,3.30708700
9.73759972,-1.57480300,3.30708700
9.80159972,-0.78740150,3.30708700
9.86559972,-0.39370070,3.22834600
9.92959972,0.78740150,3.30708700
9.99359972,-3.93700800,3.30708700
10.05759972,-1.57480300,3.30708700
10.12159971,-1.96850400,3.30708700
10.18559971,-6.69291300,3.30708700
10.24959971,-1.57480300,3.30708700
10.31359971,-2.36220500,3.22834600
10.37759971,-3.14960600,3.30708700
10.44159970,-5.11811000,3.22834600
10.50559970,2.75590500,3.30708700
10.56959970,-5.51181100,3.30708700
10.63359970,-0.78740150,3.22834600
10.69759970,-3.14960600,3.30708700
10.76159970,-0.78740150,3.30708700
10.82559969,-5.90551100,3.22834600
10.88959969,2.75590500,3.30708700
10.95359969,-1.18110200,3.22834600
11.01759969,-2.75590500,3.30708700
11.08159969,-1.18110200,3.30708700
11.14559969,1.96850400,3.22834600
11.20959968,-4.72440900,3.22834600
11.27359968,-2.75590500,3.30708700
11.33759968,1.57480300,3.30708700
11.40159968,-4.33070900,3.30708700
11.46559968,-3.93700800,3.30708700
11.52959967,-0.39370070,3.30708700
11.59359967,-3.54330700,3.30708700
11.65759967,-7.48031400,3.30708700
11.72159967,2.75590500,3.30708700
11.78559967,-5.90551100,3.22834600
11.84959967,-1.96850400,3.30708700
11.91359966,-0.39370070,3.30708700
11.97759966,3.54330700,3.30708700
12.04159966,-6.69291300,3.30708700
12.10559966,2.36220500,3.22834600
12.16959966,-3.14960600,3.30708700
12.23359965,-3.93700800,3.30708700
12.29759965,-1.96850400,3.30708700
12.36159965,0.39370070,3.30708700
12.42559965,-4.33070900,3.22834600
12.48959965,-1.18110200,3.30708700
12.55359965,0.78740150,3.30708700
12.61759964,-5.90551100,3.30708700
12.68159964,-5.11811000,3.30708700
12.74559964,-4.72440900,3.30708700
12.80959964,-5.11811000,3.30708700
12.87359964,-7.87401500,3.30708700
12.93759963,-3.54330700,3.30708700
13.00159963,-7.48031400,3.30708700
13.06559963,-5.90551100,3.30708700
13.12959963,-7.08661400,3.30708700
13.19359963,-2.36220500,3.22834600
13.25759963,-11.02362000,3.30708700
13.32159962,-3.54330700,3.22834600
13.38559962,-5.51181100,3.30708700
13.44959962,-4.33070900,3.30708700
13.51359962,-9.44881800,3.30708700
13.57759962,-2.36220500,3.22834600
13.64159961,-6.69291300,3.22834600
13.70559961,-8.66141700,3.30708700
13.76959961,-5.51181100,3.22834600
13.83359961,-5.51181100,3.30708700
13.89759961,-7.87401500,3.22834600
13.96159961,-6.69291300,3.30708700
14.02559960,-3.54330700,3.30708700
14.08959960,-12.99213000,3.22834600
14.15359960,-7.48031400,3.30708700
14.21759960,-7.08661400,3.22834600
14.28159960,-8.26771600,3.30708700
14.34559959,-9.84251900,3.30708700
14.40959959,-1.96850400,3.30708700
14.47359959,-8.26771600,3.22834600
14.53759959,-4.33070900,3.30708700
14.60159959,-4.33070900,3.30708700
14.66559959,-3.93700800,3.30708700
14.72959958,-10.23622000,3.30708700
14.79359958,-1.96850400,3.30708700
14.85759958,-7.08661400,3.30708700
14.92159958,-7.08661400,3.30708700
14.98559958,-4.33070900,3.30708700
15.04959957,-2.36220500,3.30708700
15.11359957,-6.69291300,3.30708700
15.17759957,-6.29921200,3.30708700
15.24159957,-3.14960600,3.30708700
15.30559957,-11.41732000,3.30708700
15.36959957,-5.90551100,3.30708700
15.43359956,-7.48031400,3.30708700
15.49759956,-6.69291300,3.30708700
15.56159956,-12.20472000,3.30708700
15.62559956,-3.54330700,3.30708700
15.68959956,-11.81102000,3.30708700
15.75359955,-9.44881800,3.30708700
15.81759955,-8.26771600,3.22834600
15.88159955,-4.72440900,3.22834600
15.94559955,-11.41732000,3.30708700
16.00959955,-2.75590500,3.22834600
16.07359955,-7.87401500,3.30708700
16.13759954,-10.62992000,3.30708700
16.20159954,-7.48031400,3.30708700
16.26559954,-5.51181100,3.22834600
16.32959954,-11.02362000,3.22834600
16.39359954,-6.69291300,3.30708700
16.45759953,-3.54330700,3.30708700
16.52159953,-8.26771600,3.30708700
16.58559953,-4.33070900,3.30708700
16.64959953,-7.08661400,3.30708700
16.71359953,-4.72440900,3.30708700
16.77759953,-11.02362000,3.30708700
16.84159952,-3.93700800,3.30708700
16.90559952,-10.23622000,3.30708700
16.96959952,-4.33070900,3.30708700
17.03359952,-8.26771600,3.30708700
17.09759952,-2.36220500,3.30708700
17.16159951,-8.66141700,3.30708700
17.22559951,-5.11811000,3.30708700
17.28959951,-5.51181100,3.30708700
17.35359951,-3.93700800,3.30708700
17.41759951,-6.69291300,3.30708700
17.48159951,-2.75590500,3.30708700
17.54559950,-4.72440900,3.30708700
17.60959950,-6.29921200,3.30708700
17.67359950,-3.93700800,3.30708700
17.73759950,-5.90551100,3.30708700
17.80159950,-8.26771600,3.30708700
17.86559949,-5.51181100,3.30708700
17.92959949,-2.36220500,3.30708700
17.99359949,-11.81102000,3.30708700
18.05759949,-4.33070900,3.30708700
18.12159949,-8.66141700,3.22834600
18.18559949,-8.66141700,3.30708700
18.24959948,-12.59842000,3.30708700
18.31359948,-4.72440900,3.30708700
18.37759948,-13.77953000,3.30708700
18.44159948,-5.90551100,3.30708700
18.50559948,-6.29921200,3.30708700
18.56959948,-8.26771600,3.30708700
18.63359947,-11.41732000,3.22834600
18.69759947,-3.93700800,3.30708700
18.76159947,-9.05511800,3.30708700
18.82559947,-9.44881800,3.30708700
18.88959947,-4.33070900,3.30708700
18.95359946,-6.69291300,3.30708700
19.01759946,-5.11811000,3.22834600
19.08159946,-3.93700800,3.30708700
19.14559946,-3.93700800,3.30708700
19.20959946,-8.66141700,3.30708700
19.27359946,-2.75590500,3.30708700
19.33759945,-4.33070900,3.30708700
19.40159945,-6.29921200,3.30708700
19.46559945,-9.44881800,3.30708700
19.52959945,-1.96850400,3.30708700
19.59359945,-12.20472000,3.30708700
19.65759944,-3.93700800,3.30708700
19.72159944,-7.87401500,3.30708700
19.78559944,-3.93700800,3.30708700
19.84959944,-8.66141700,3.30708700
19.91359944,-0.78740150,3.30708700
19.97759944,-4.72440900,3.30708700
20.04159943,-4.72440900,3.30708700
20.10559943,-1.96850400,3.30708700
20.16959943,-5.11811000,3.30708700
20.23359943,-7.08661400,3.30708700
20.29759943,-6.69291300,3.30708700
20.36159942,-3.93700800,3.30708700
20.42559942,-8.66141700,3.22834600
20.48959942,-4.33070900,3.30708700
20.55359942,-5.11811000,3.22834600
20.61759942,-5.11811000,3.30708700
20.68159942,-10.23622000,3.30708700
20.74559941,-4.33070900,3.30708700
20.80959941,-12.99213000,3.30708700
20.87359941,-8.26771600,3.30708700
20.93759941,-10.62992000,3.30708700
21.00159941,-6.69291300,3.30708700
21.06559940,-12.59842000,3.30708700
21.12959940,-5.11811000,3.30708700
21.19359940,-8.26771600,3.30708700
21.25759940,-7.08661400,3.30708700
21.32159940,-8.66141700,3.22834600
21.38559940,-4.33070900,3.30708700
21.44959939,-7.08661400,3.30708700
21.51359939,-7.87401500,3.30708700
21.57759939,-0.78740150,3.30708700
21.64159939,-7.08661400,3.30708700
21.70559939,-7.08661400,3.30708700
