Time,Channel A,Channel B
(us),(mV),(V)

-0.04184615,-5.51181100,0.00000000
0.02215385,-20.07874000,2.04724400
0.08615384,-4.33070900,3.22834600
0.15015384,-11.41732000,3.22834600
0.21415384,-3.54330700,3.22834600
0.27815384,-7.48031400,3.22834600
0.34215384,-7.08661400,3.22834600
0.40615384,-5.51181100,3.22834600
0.47015383,-2.36220500,3.22834600
0.53415383,-9.44881800,3.22834600
0.59815383,-5.11811000,3.22834600
0.66215383,-3.93700800,3.22834600
0.72615383,-7.08661400,3.22834600
0.79015382,-6.69291300,3.22834600
0.85415382,-3.93700800,3.22834600
0.91815382,-3.54330700,3.22834600
0.98215382,-6.69291300,3.22834600
1.04615382,-0.39370070,3.22834600
1.11015382,-5.51181100,3.22834600
1.17415381,-2.75590500,3.22834600
1.23815381,-5.90551100,3.22834600
1.30215381,0.00000000,3.22834600
1.36615381,-7.08661400,3.22834600
1.43015381,-2.36220500,3.22834600
1.49415380,-1.57480300,3.30708700
1.55815380,-1.96850400,3.22834600
1.62215380,-6.69291300,3.22834600
1.68615380,-0.78740150,3.30708700
1.75015380,-3.93700800,3.22834600
1.81415380,-5.11811000,3.22834600
1.87815379,-1.57480300,3.30708700
1.94215379,-2.36220500,3.22834600
2.00615379,-4.33070900,3.30708700
2.07015379,-1.96850400,3.22834600
2.13415379,-0.39370070,3.30708700
2.19815378,-8.26771600,3.22834600
2.26215378,-2.36220500,3.22834600
2.32615378,-3.93700800,3.22834600
2.39015378,-1.57480300,3.22834600
2.45415378,-5.51181100,3.22834600
2.51815378,2.36220500,3.22834600
2.58215377,-5.11811000,3.22834600
2.64615377,-1.57480300,3.22834600
2.71015377,-2.36220500,3.22834600
2.77415377,-1.57480300,3.22834600
2.83815377,-6.29921200,3.22834600
2.90215376,0.00000000,3.22834600
2.96615376,0.78740150,3.30708700
3.03015376,-3.93700800,3.22834600
3.09415376,0.00000000,3.22834600
3.15815376,-0.39370070,3.22834600
3.22215376,-4.33070900,3.22834600
3.28615375,-5.51181100,3.30708700
3.35015375,0.39370070,3.22834600
3.41415375,-6.69291300,3.22834600
3.47815375,-1.96850400,3.22834600
3.54215375,-0.39370070,3.22834600
3.60615374,-2.36220500,3.22834600
3.67015374,-7.48031400,3.22834600
3.73415374,2.36220500,3.30708700
3.79815374,-5.51181100,3.30708700
3.86215374,-2.36220500,3.30708700
3.92615374,-2.36220500,3.30708700
3.99015373,0.39370070,3.22834600
4.05415373,-5.90551100,3.22834600
4.11815373,0.39370070,3.30708700
4.18215373,-2.36220500,3.22834600
4.24615373,-5.90551100,3.22834600
4.31015372,-0.78740150,3.30708700
4.37415372,-2.36220500,3.22834600
4.43815372,-2.36220500,3.30708700
4.50215372,-4.72440900,3.30708700
4.56615372,-0.78740150,3.30708700
4.63015372,-5.90551100,3.30708700
4.69415371,-3.14960600,3.22834600
4.75815371,-6.69291300,3.22834600
4.82215371,-3.93700800,3.22834600
4.88615371,-7.87401500,3.22834600
4.95015371,-3.54330700,3.30708700
5.01415370,-5.51181100,3.22834600
5.07815370,-1.96850400,3.22834600
5.14215370,-6.69291300,3.22834600
5.20615370,-0.39370070,3.22834600
5.27015370,-6.69291300,3.22834600
5.33415370,-4.33070900,3.22834600
5.39815369,-3.14960600,3.22834600
5.46215369,-3.14960600,3.22834600
5.52615369,-3.93700800,3.30708700
5.59015369,-1.96850400,3.30708700
5.65415369,0.39370070,3.22834600
5.71815368,-6.69291300,3.30708700
5.78215368,1.18110200,3.30708700
5.84615368,-5.51181100,3.22834600
5.91015368,-3.93700800,3.30708700
5.97415368,-5.51181100,3.22834600
6.03815368,1.57480300,3.30708700
6.10215367,-7.08661400,3.22834600
6.16615367,-1.18110200,3.30708700
6.23015367,-3.54330700,3.22834600
6.29415367,-4.33070900,3.22834600
6.35815367,-5.51181100,3.30708700
6.42215366,0.00000000,3.30708700
6.48615366,-3.93700800,3.30708700
6.55015366,-1.96850400,3.30708700
6.61415366,0.39370070,3.22834600
6.67815366,-3.14960600,3.30708700
6.74215366,-5.51181100,3.30708700
6.80615365,-3.93700800,3.30708700
6.87015365,-1.18110200,3.22834600
6.93415365,-6.29921200,3.30708700
6.99815365,1.18110200,3.30708700
7.06215365,-2.75590500,3.30708700
7.12615365,-1.57480300,3.30708700
7.19015364,-5.51181100,3.30708700
7.25415364,0.39370070,3.30708700
7.31815364,-9.05511800,3.22834600
7.38215364,-3.93700800,3.22834600
7.44615364,-4.33070900,3.30708700
7.51015363,-5.11811000,3.30708700
7.57415363,-7.48031400,3.22834600
7.63815363,-1.57480300,3.22834600
7.70215363,-3.93700800,3.22834600
7.76615363,-5.90551100,3.22834600
7.83015363,-1.57480300,3.22834600
7.89415362,-6.29921200,3.22834600
7.95815362,-4.72440900,3.22834600
8.02215362,-2.36220500,3.22834600
8.08615362,-1.57480300,3.30708700
8.15015362,-6.69291300,3.30708700
8.21415361,0.39370070,3.22834600
8.27815361,-3.14960600,3.22834600
8.34215361,-1.57480300,3.22834600
8.40615361,-5.90551100,3.30708700
8.47015361,0.39370070,3.22834600
8.53415361,-6.29921200,3.30708700
8.59815360,-0.78740150,3.30708700
8.66215360,-3.93700800,3.30708700
8.72615360,-1.57480300,3.30708700
8.79015360,-5.51181100,3.30708700
8.85415360,-3.54330700,3.22834600
8.91815359,-2.75590500,3.30708700
8.98215359,-6.69291300,3.30708700
9.04615359,-2.75590500,3.22834600
9.11015359,-0.78740150,3.30708700
9.17415359,-1.18110200,3.22834600
9.23815359,-5.51181100,3.30708700
9.30215358,1.18110200,3.30708700
9.36615358,-4.33070900,3.30708700
9.43015358,-1.96850400,3.30708700
9.49415358,0.00000000,3.30708700
9.55815358,1.96850400,3.30708700
9.62215357,-4.33070900,3.30708700
9.68615357,5.51181100,3.30708700
9.75015357,0.00000000,3.30708700
9.81415357,-1.96850400,3.30708700
9.87815357,-2.36220500,3.30708700
9.94215357,2.36220500,3.30708700
10.00615356,-5.90551100,3.30708700
10.07015356,-0.39370070,3.30708700
10.13415356,0.78740150,3.22834600
10.19815356,-5.51181100,3.30708700
10.26215356,-2.36220500,3.30708700
10.32615355,-1.57480300,3.22834600
10.39015355,-3.93700800,3.22834600
10.45415355,-6.69291300,3.22834600
10.51815355,1.57480300,3.22834600
10.58215355,-5.51181100,3.30708700
10.64615355,-1.18110200,3.30708700
10.71015354,-2.36220500,3.30708700
10.77415354,-0.39370070,3.30708700
10.83815354,-7.08661400,3.22834600
10.90215354,-0.39370070,3.30708700
10.96615354,-3.54330700,3.22834600
11.03015353,-2.36220500,3.30708700
11.09415353,-1.18110200,3.30708700
11.15815353,3.93700800,3.30708700
11.22215353,-4.33070900,3.30708700
11.28615353,-2.75590500,3.30708700
11.35015353,-0.39370070,3.30708700
11.41415352,-4.33070900,3.30708700
11.47815352,-4.33070900,3.30708700
11.54215352,-2.75590500,3.30708700
11.60615352,-1.57480300,3.30708700
11.67015352,-6.29921200,3.30708700
11.73415351,3.14960600,3.30708700
11.79815351,-4.33070900,3.30708700
11.86215351,-2.75590500,3.22834600
11.92615351,-4.72440900,3.30708700
11.99015351,1.57480300,3.30708700
12.05415351,-6.69291300,3.22834600
12.11815350,-0.78740150,3.30708700
12.18215350,-2.36220500,3.30708700
12.24615350,-1.57480300,3.30708700
12.31015350,-3.14960600,3.30708700
12.37415350,-1.18110200,3.30708700
12.43815349,-3.14960600,3.30708700
12.50215349,-4.72440900,3.30708700
12.56615349,-2.36220500,3.30708700
12.63015349,-2.75590500,3.30708700
12.69415349,-4.33070900,3.30708700
12.75815349,-5.90551100,3.30708700
12.82215348,-0.78740150,3.30708700
12.88615348,-9.44881800,3.30708700
12.95015348,-6.69291300,3.30708700
13.01415348,-7.08661400,3.30708700
13.07815348,-4.72440900,3.30708700
13.14215347,-11.02362000,3.22834600
13.20615347,-0.78740150,3.22834600
13.27015347,-9.44881800,3.30708700
13.33415347,-7.08661400,3.22834600
13.39815347,-5.90551100,3.22834600
13.46215347,-7.08661400,3.22834600
13.52615346,-11.41732000,3.30708700
13.59015346,-5.11811000,3.30708700
13.65415346,-3.54330700,3.30708700
13.71815346,-9.05511800,3.30708700
13.78215346,-3.93700800,3.30708700
13.84615346,-5.51181100,3.30708700
13.91015345,-9.05511800,3.22834600
13.97415345,-10.23622000,3.30708700
14.03815345,-4.72440900,3.30708700
14.10215345,-12.59842000,3.30708700
14.16615345,-6.69291300,3.30708700
14.23015344,-5.90551100,3.30708700
14.29415344,-6.29921200,3.30708700
14.35815344,-10.23622000,3.30708700
14.42215344,-2.36220500,3.22834600
14.48615344,-8.66141700,3.30708700
14.55015344,-5.51181100,3.30708700
14.61415343,-6.69291300,3.30708700
14.67815343,-5.11811000,3.30708700
14.74215343,-8.26771600,3.30708700
14.80615343,-5.51181100,3.30708700
14.87015343,-5.11811000,3.30708700
14.93415342,-8.66141700,3.30708700
14.99815342,-5.51181100,3.30708700
15.06215342,-5.90551100,3.30708700
15.12615342,-3.14960600,3.30708700
15.19015342,-8.26771600,3.30708700
15.25415342,-2.75590500,3.30708700
15.31815341,-9.05511800,3.30708700
15.38215341,-7.08661400,3.30708700
15.44615341,-10.23622000,3.30708700
15.51015341,-6.69291300,3.22834600
15.57415341,-12.99213000,3.22834600
15.63815340,-7.87401500,3.30708700
15.70215340,-9.05511800,3.30708700
15.76615340,-8.26771600,3.22834600
15.83015340,-9.84251900,3.22834600
15.89415340,-5.90551100,3.22834600
15.95815340,-11.41732000,3.30708700
16.02215339,-9.05511800,3.30708700
16.08615339,-7.87401500,3.30708700
16.15015339,-12.20472000,3.30708700
16.21415339,-7.08661400,3.30708700
16.27815339,-8.26771600,3.22834600
16.34215338,-5.51181100,3.30708700
16.40615338,-11.41732000,3.30708700
16.47015338,-4.33070900,3.30708700
16.53415338,-9.05511800,3.30708700
16.59815338,-6.69291300,3.30708700
16.66215338,-9.05511800,3.30708700
16.72615337,-1.96850400,3.30708700
16.79015337,-9.05511800,3.22834600
16.85415337,-6.29921200,3.30708700
16.91815337,-6.69291300,3.30708700
16.98215337,-7.87401500,3.30708700
17.04615336,-10.23622000,3.30708700
17.11015336,-3.54330700,3.30708700
17.17415336,-7.08661400,3.22834600
17.23815336,-9.44881800,3.30708700
17.30215336,-3.14960600,3.30708700
17.36615336,-5.51181100,3.30708700
17.43015335,-8.26771600,3.22834600
17.49415335,-7.08661400,3.30708700
17.55815335,-3.54330700,3.22834600
17.62215335,-11.81102000,3.30708700
17.68615335,-1.96850400,3.30708700
17.75015334,-6.29921200,3.30708700
17.81415334,-5.90551100,3.30708700
17.87815334,-8.66141700,3.30708700
17.94215334,-2.36220500,3.30708700
18.00615334,-13.77953000,3.22834600
18.07015334,-8.66141700,3.30708700
18.13415333,-8.66141700,3.30708700
18.19815333,-10.23622000,3.30708700
18.26215333,-10.62992000,3.30708700
18.32615333,-8.26771600,3.22834600
18.39015333,-9.84251900,3.30708700
18.45415332,-11.81102000,3.30708700
18.51815332,-7.48031400,3.30708700
18.58215332,-11.41732000,3.30708700
18.64615332,-11.02362000,3.30708700
18.71015332,-9.84251900,3.30708700
18.77415332,-5.90551100,3.22834600
18.83815331,-11.41732000,3.22834600
18.90215331,-5.51181100,3.22834600
18.96615331,-8.66141700,3.30708700
19.03015331,-4.33070900,3.22834600
19.09415331,-9.84251900,3.30708700
19.15815330,-2.36220500,3.30708700
19.22215330,-7.87401500,3.22834600
19.28615330,-5.51181100,3.30708700
19.35015330,-5.11811000,3.30708700
19.41415330,-5.51181100,3.30708700
19.47815330,-9.84251900,3.30708700
19.54215329,-8.66141700,3.30708700
19.60615329,-5.11811000,3.30708700
19.67015329,-11.41732000,3.30708700
19.73415329,-5.51181100,3.30708700
19.79815329,-5.11811000,3.30708700
19.86215328,-4.33070900,3.30708700
19.92615328,-8.66141700,3.30708700
19.99015328,-0.78740150,3.30708700
20.05415328,-9.84251900,3.30708700
20.11815328,-7.48031400,3.30708700
20.18215328,-7.08661400,3.30708700
20.24615327,-3.93700800,3.22834600
20.31015327,-10.23622000,3.30708700
20.37415327,-3.54330700,3.30708700
20.43815327,-5.51181100,3.30708700
20.50215327,-7.08661400,3.30708700
20.56615326,-9.05511800,3.30708700
20.63015326,-6.29921200,3.30708700
20.69415326,-10.62992000,3.30708700
20.75815326,-10.62992000,3.30708700
20.82215326,-5.11811000,3.30708700
20.88615326,-11.02362000,3.30708700
20.95015325,-9.84251900,3.30708700
21.01415325,-11.02362000,3.22834600
21.07815325,-7.08661400,3.30708700
21.14215325,-15.74803000,3.30708700
21.20615325,-4.72440900,3.22834600
21.27015325,-8.66141700,3.30708700
21.33415324,-8.66141700,3.22834600
21.39815324,-6.69291300,3.22834600
21.46215324,-3.93700800,3.22834600
21.52615324,-11.41732000,3.30708700
21.59015324,-5.11811000,3.30708700
21.65415323,-4.72440900,3.30708700
