Time,Channel A,Channel B
(us),(mV),(V)

-0.03792592,-5.11811000,0.07874016
0.02607407,-31.88976000,2.20472400
0.09007407,-14.17323000,3.22834600
0.15407407,-7.87401500,3.22834600
0.21807407,-7.87401500,3.22834600
0.28207407,-4.33070900,3.30708700
0.34607406,-7.08661400,3.22834600
0.41007406,-0.39370070,3.30708700
0.47407406,-0.78740150,3.30708700
0.53807406,-2.36220500,3.30708700
0.60207406,-6.29921200,3.30708700
0.66607406,0.00000000,3.30708700
0.73007405,-6.29921200,3.30708700
0.79407405,-4.33070900,3.30708700
0.85807405,1.18110200,3.22834600
0.92207405,-5.11811000,3.22834600
0.98607405,-2.36220500,3.30708700
1.05007405,-1.57480300,3.30708700
1.11407404,-0.39370070,3.22834600
1.17807404,-8.66141700,3.30708700
1.24207404,1.18110200,3.30708700
1.30607404,-3.93700800,3.30708700
1.37007404,1.57480300,3.30708700
1.43407403,-0.78740150,3.22834600
1.49807403,3.54330700,3.30708700
1.56207403,-5.90551100,3.30708700
1.62607403,0.39370070,3.30708700
1.69007403,-2.36220500,3.30708700
1.75407403,-3.14960600,3.22834600
1.81807402,-1.57480300,3.30708700
1.88207402,0.00000000,3.30708700
1.94607402,-1.96850400,3.30708700
2.01007402,-2.36220500,3.30708700
2.07407402,-3.14960600,3.22834600
2.13807401,-6.29921200,3.30708700
2.20207401,-10.62992000,3.30708700
2.26607401,-10.23622000,3.30708700
2.33007401,-7.48031400,3.22834600
2.39407401,-10.23622000,3.30708700
2.45807401,-1.96850400,3.30708700
2.52207400,-4.33070900,3.30708700
2.58607400,-3.93700800,3.30708700
2.65007400,-11.41732000,3.22834600
2.71407400,-1.96850400,3.22834600
2.77807400,-9.05511800,3.30708700
2.84207399,-5.11811000,3.30708700
2.90607399,-0.39370070,3.22834600
2.97007399,2.75590500,3.30708700
3.03407399,0.00000000,3.22834600
3.09807399,3.14960600,3.30708700
3.16207399,-0.39370070,3.30708700
3.22607398,-5.11811000,3.22834600
3.29007398,-0.78740150,3.30708700
3.35407398,-2.75590500,3.30708700
3.41807398,-1.57480300,3.30708700
3.48207398,-0.78740150,3.30708700
3.54607397,3.93700800,3.30708700
3.61007397,-5.90551100,3.30708700
3.67407397,-0.39370070,3.30708700
3.73807397,-3.14960600,3.30708700
3.80207397,-4.33070900,3.30708700
3.86607397,-1.96850400,3.30708700
3.93007396,1.18110200,3.30708700
3.99407396,0.78740150,3.30708700
4.05807396,-1.57480300,3.30708700
4.12207396,-0.39370070,3.30708700
4.18607396,-1.96850400,3.30708700
4.25007395,-5.90551100,3.30708700
4.31407395,-0.78740150,3.30708700
4.37807395,0.00000000,3.30708700
4.44207395,-1.57480300,3.30708700
4.50607395,-1.57480300,3.30708700
4.57007395,-2.75590500,3.30708700
4.63407394,-4.72440900,3.30708700
4.69807394,-8.66141700,3.30708700
4.76207394,-5.90551100,3.30708700
4.82607394,-12.99213000,3.30708700
4.89007394,-11.02362000,3.30708700
4.95407393,-10.62992000,3.30708700
5.01807393,-8.26771600,3.22834600
5.08207393,-7.48031400,3.30708700
5.14607393,-7.08661400,3.30708700
5.21007393,-8.66141700,3.30708700
5.27407393,-12.99213000,3.30708700
5.33807392,-7.87401500,3.30708700
5.40207392,-9.44881800,3.30708700
5.46607392,-7.48031400,3.30708700
5.53007392,0.00000000,3.30708700
5.59407392,-2.36220500,3.30708700
5.65807391,-1.96850400,3.30708700
5.72207391,-3.14960600,3.30708700
5.78607391,-2.36220500,3.30708700
5.85007391,-2.36220500,3.30708700
5.91407391,-2.75590500,3.30708700
5.97807391,-1.57480300,3.30708700
6.04207390,-0.39370070,3.30708700
6.10607390,0.00000000,3.30708700
6.17007390,-2.36220500,3.30708700
6.23407390,-3.14960600,3.30708700
6.29807390,-4.72440900,3.30708700
6.36207389,-3.93700800,3.30708700
6.42607389,-3.93700800,3.30708700
6.49007389,0.78740150,3.30708700
6.55407389,-2.75590500,3.30708700
6.61807389,4.33070900,3.30708700
6.68207389,-3.54330700,3.30708700
6.74607388,-4.33070900,3.30708700
6.81007388,-2.75590500,3.30708700
6.87407388,-3.93700800,3.30708700
6.93807388,-2.75590500,3.30708700
7.00207388,1.96850400,3.30708700
7.06607387,1.57480300,3.30708700
7.13007387,-4.33070900,3.30708700
7.19407387,-1.57480300,3.30708700
7.25807387,-4.33070900,3.30708700
7.32207387,-6.69291300,3.30708700
7.38607387,-8.26771600,3.30708700
7.45007386,-5.90551100,3.30708700
7.51407386,-12.20472000,3.30708700
7.57807386,-6.69291300,3.22834600
7.64207386,-10.62992000,3.30708700
7.70607386,-6.69291300,3.30708700
7.77007385,-10.23622000,3.30708700
7.83407385,-8.26771600,3.30708700
7.89807385,-14.96063000,3.30708700
7.96207385,-8.66141700,3.30708700
8.02607385,-7.87401500,3.30708700
8.09007385,-6.69291300,3.30708700
8.15407384,-2.36220500,3.30708700
8.21807384,-4.72440900,3.30708700
8.28207384,-2.36220500,3.30708700
8.34607384,-6.29921200,3.30708700
8.41007384,-1.57480300,3.30708700
8.47407384,-1.57480300,3.30708700
8.53807383,-0.39370070,3.30708700
8.60207383,-1.96850400,3.30708700
8.66607383,3.14960600,3.30708700
8.73007383,-3.54330700,3.30708700
8.79407383,-1.18110200,3.30708700
8.85807382,-5.90551100,3.30708700
8.92207382,-1.18110200,3.30708700
8.98607382,-7.08661400,3.30708700
9.05007382,-0.39370070,3.30708700
9.11407382,-2.36220500,3.30708700
9.17807382,-1.57480300,3.30708700
9.24207381,-0.39370070,3.30708700
9.30607381,-2.36220500,3.30708700
9.37007381,-3.93700800,3.30708700
9.43407381,-1.96850400,3.30708700
9.49807381,2.75590500,3.30708700
9.56207380,0.39370070,3.30708700
9.62607380,3.54330700,3.30708700
9.69007380,2.75590500,3.30708700
9.75407380,2.75590500,3.30708700
9.81807380,-1.57480300,3.30708700
9.88207380,0.39370070,3.30708700
9.94607379,-3.14960600,3.30708700
10.01007379,-3.54330700,3.30708700
10.07407379,-2.36220500,3.30708700
10.13807379,-2.36220500,3.30708700
10.20207379,-7.08661400,3.30708700
10.26607378,-7.48031400,3.30708700
10.33007378,-6.69291300,3.30708700
10.39407378,-13.38583000,3.30708700
10.45807378,-10.62992000,3.30708700
10.52207378,-9.44881800,3.30708700
10.58607378,-7.87401500,3.30708700
10.65007377,-4.72440900,3.30708700
10.71407377,-2.36220500,3.30708700
10.77807377,-8.66141700,3.30708700
10.84207377,-8.66141700,3.30708700
10.90607377,-4.33070900,3.30708700
10.97007376,-1.96850400,3.30708700
11.03407376,-4.72440900,3.30708700
11.09807376,5.51181100,3.30708700
11.16207376,0.78740150,3.30708700
11.22607376,-1.57480300,3.30708700
11.29007376,-0.78740150,3.30708700
11.35407375,-0.78740150,3.30708700
11.41807375,-5.90551100,3.30708700
11.48207375,0.78740150,3.30708700
11.54607375,0.39370070,3.30708700
11.61007375,-4.33070900,3.30708700
11.67407374,-0.78740150,3.30708700
11.73807374,0.00000000,3.30708700
11.80207374,-4.72440900,3.30708700
11.86607374,-2.75590500,3.30708700
11.93007374,1.18110200,3.30708700
11.99407374,-2.36220500,3.30708700
12.05807373,-1.57480300,3.30708700
12.12207373,0.00000000,3.30708700
12.18607373,0.39370070,3.30708700
12.25007373,-0.39370070,3.30708700
12.31407373,0.39370070,3.30708700
12.37807372,-1.18110200,3.30708700
12.44207372,-1.57480300,3.30708700
12.50607372,-5.90551100,3.30708700
12.57007372,0.39370070,3.30708700
12.63407372,-0.78740150,3.30708700
12.69807372,-3.93700800,3.30708700
12.76207371,-3.93700800,3.30708700
12.82607371,-6.69291300,3.30708700
12.89007371,-12.99213000,3.30708700
12.95407371,-14.56693000,3.30708700
13.01807371,-11.41732000,3.30708700
13.08207370,-17.71653000,3.30708700
13.14607370,-9.84251900,3.30708700
13.21007370,-7.87401500,3.30708700
13.27407370,-14.96063000,3.22834600
13.33807370,-11.02362000,3.30708700
13.40207370,-7.48031400,3.30708700
13.46607369,-18.89764000,3.30708700
13.53007369,-9.84251900,3.30708700
13.59407369,-8.66141700,3.30708700
13.65807369,-3.93700800,3.30708700
13.72207369,-3.93700800,3.30708700
13.78607368,-4.33070900,3.30708700
13.85007368,-6.29921200,3.30708700
13.91407368,-6.29921200,3.30708700
13.97807368,-8.26771600,3.30708700
14.04207368,-6.29921200,3.30708700
14.10607368,-7.48031400,3.30708700
14.17007367,-5.51181100,3.30708700
14.23407367,-1.57480300,3.30708700
14.29807367,-11.81102000,3.30708700
14.36207367,-2.36220500,3.30708700
14.42607367,-5.51181100,3.30708700
14.49007366,-3.14960600,3.30708700
14.55407366,-7.48031400,3.30708700
14.61807366,-0.78740150,3.30708700
14.68207366,-7.48031400,3.30708700
14.74607366,-3.14960600,3.30708700
14.81007366,-1.18110200,3.30708700
14.87407365,-4.33070900,3.30708700
14.93807365,-7.87401500,3.30708700
15.00207365,-3.93700800,3.30708700
15.06607365,-3.54330700,3.30708700
15.13007365,-2.75590500,3.30708700
15.19407365,-1.57480300,3.30708700
15.25807364,-0.39370070,3.30708700
15.32207364,-6.69291300,3.30708700
15.38607364,-5.90551100,3.30708700
15.45007364,-10.23622000,3.30708700
15.51407364,-13.77953000,3.30708700
15.57807363,-13.38583000,3.30708700
15.64207363,-14.17323000,3.30708700
15.70607363,-11.41732000,3.30708700
15.77007363,-12.99213000,3.30708700
15.83407363,-12.20472000,3.30708700
15.89807363,-14.96063000,3.30708700
15.96207362,-14.56693000,3.30708700
16.02607362,-15.35433000,3.30708700
16.09007362,-11.81102000,3.30708700
16.15407362,-18.11024000,3.30708700
16.21807362,-7.48031400,3.30708700
16.28207361,-8.66141700,3.30708700
16.34607361,-6.69291300,3.30708700
16.41007361,-7.48031400,3.30708700
16.47407361,-4.72440900,3.30708700
16.53807361,-5.11811000,3.30708700
16.60207361,-5.11811000,3.30708700
16.66607360,-1.18110200,3.30708700
16.73007360,0.39370070,3.30708700
16.79407360,-3.54330700,3.30708700
16.85807360,-0.78740150,3.30708700
16.92207360,-4.33070900,3.30708700
16.98607359,-8.66141700,3.30708700
17.05007359,-5.11811000,3.30708700
17.11407359,-3.93700800,3.30708700
17.17807359,-5.11811000,3.30708700
17.24207359,-4.33070900,3.30708700
17.30607359,0.00000000,3.30708700
17.37007358,-5.90551100,3.30708700
17.43407358,-0.78740150,3.30708700
17.49807358,-5.90551100,3.30708700
17.56207358,-7.87401500,3.30708700
17.62607358,-2.36220500,3.30708700
17.69007357,-1.57480300,3.30708700
17.75407357,-2.75590500,3.30708700
17.81807357,-2.75590500,3.30708700
17.88207357,0.39370070,3.30708700
17.94607357,-7.08661400,3.30708700
18.01007357,-7.48031400,3.30708700
18.07407356,-10.23622000,3.30708700
18.13807356,-10.62992000,3.30708700
18.20207356,-11.81102000,3.30708700
18.26607356,-8.66141700,3.30708700
18.33007356,-12.99213000,3.30708700
18.39407355,-12.99213000,3.30708700
18.45807355,-14.56693000,3.30708700
18.52207355,-13.77953000,3.30708700
18.58607355,-16.14173000,3.30708700
18.65007355,-18.11024000,3.30708700
18.71407355,-11.81102000,3.30708700
18.77807354,-9.05511800,3.30708700
18.84207354,-9.44881800,3.30708700
18.90607354,-5.51181100,3.30708700
18.97007354,-6.69291300,3.30708700
19.03407354,-8.26771600,3.30708700
19.09807353,-2.75590500,3.30708700
19.16207353,-3.93700800,3.30708700
19.22607353,-1.18110200,3.30708700
19.29007353,-2.36220500,3.30708700
19.35407353,3.93700800,3.30708700
19.41807353,-5.11811000,3.30708700
19.48207352,-2.36220500,3.30708700
19.54607352,-5.90551100,3.30708700
19.61007352,-7.08661400,3.30708700
19.67407352,-8.66141700,3.30708700
19.73807352,-1.18110200,3.30708700
19.80207351,-1.57480300,3.30708700
19.86607351,-4.33070900,3.30708700
19.93007351,-0.39370070,3.30708700
19.99407351,-0.39370070,3.30708700
20.05807351,-8.66141700,3.30708700
20.12207351,-3.14960600,3.30708700
20.18607350,-4.72440900,3.30708700
20.25007350,-5.11811000,3.30708700
20.31407350,0.00000000,3.30708700
20.37807350,-1.57480300,3.30708700
20.44207350,-1.96850400,3.30708700
20.50607349,-4.72440900,3.30708700
20.57007349,-2.36220500,3.30708700
20.63407349,-9.05511800,3.30708700
20.69807349,-7.08661400,3.30708700
20.76207349,-6.69291300,3.30708700
20.82607349,-5.90551100,3.30708700
20.89007348,-10.23622000,3.30708700
20.95407348,-9.44881800,3.30708700
21.01807348,-14.56693000,3.30708700
21.08207348,-16.92913000,3.30708700
21.14607348,-12.99213000,3.30708700
21.21007347,-12.59842000,3.30708700
21.27407347,-9.44881800,3.30708700
21.33807347,-8.66141700,3.30708700
21.40207347,-4.72440900,3.30708700
21.46607347,-11.41732000,3.30708700
21.53007347,-9.84251900,3.30708700
21.59407346,-8.26771600,3.30708700
21.65807346,-9.05511800,3.30708700
21.72207346,-7.48031400,3.30708700
