Time,Channel A,Channel B
(us),(mV),(V)

-0.02694737,-5.11811000,0.07874016
0.03705263,-4.33070900,3.07086600
0.10105263,-5.51181100,3.22834600
0.16505263,-5.90551100,3.22834600
0.22905263,-5.51181100,3.22834600
0.29305262,-1.57480300,3.22834600
0.35705262,-8.26771600,3.30708700
0.42105262,-0.39370070,3.30708700
0.48505262,-5.51181100,3.22834600
0.54905262,-4.33070900,3.30708700
0.61305261,-7.87401500,3.22834600
0.67705261,-1.57480300,3.30708700
0.74105261,-10.62992000,3.22834600
0.80505261,-6.69291300,3.22834600
0.86905261,-4.33070900,3.22834600
0.93305261,-6.69291300,3.22834600
0.99705260,-8.26771600,3.22834600
1.06105260,-4.72440900,3.30708700
1.12505260,-8.26771600,3.22834600
1.18905260,-10.23622000,3.22834600
1.25305260,-1.96850400,3.22834600
1.31705259,-6.69291300,3.22834600
1.38105259,-6.29921200,3.22834600
1.44505259,-3.14960600,3.22834600
1.50905259,-0.39370070,3.22834600
1.57305259,-9.05511800,3.22834600
1.63705259,-0.39370070,3.22834600
1.70105258,-5.11811000,3.22834600
1.76505258,-2.36220500,3.22834600
1.82905258,-4.72440900,3.22834600
1.89305258,1.57480300,3.22834600
1.95705258,-5.51181100,3.22834600
2.02105257,-0.78740150,3.22834600
2.08505257,-1.96850400,3.22834600
2.14905257,-3.54330700,3.30708700
2.21305257,-4.72440900,3.22834600
2.27705257,-3.93700800,3.30708700
2.34105257,-1.18110200,3.22834600
2.40505256,-4.72440900,3.22834600
2.46905256,-1.57480300,3.22834600
2.53305256,-3.54330700,3.22834600
2.59705256,-2.36220500,3.22834600
2.66105256,-4.72440900,3.22834600
2.72505255,1.18110200,3.22834600
2.78905255,-4.72440900,3.22834600
2.85305255,-0.78740150,3.22834600
2.91705255,0.00000000,3.30708700
2.98105255,1.96850400,3.30708700
3.04505255,-5.51181100,3.30708700
3.10905254,2.36220500,3.30708700
3.17305254,-3.14960600,3.22834600
3.23705254,-3.54330700,3.30708700
3.30105254,-2.75590500,3.30708700
3.36505254,-0.39370070,3.22834600
3.42905254,-5.90551100,3.30708700
3.49305253,-2.36220500,3.30708700
3.55705253,-1.18110200,3.30708700
3.62105253,-9.44881800,3.30708700
3.68505253,-4.33070900,3.22834600
3.74905253,-4.72440900,3.30708700
3.81305252,-4.33070900,3.22834600
3.87705252,-9.05511800,3.30708700
3.94105252,1.18110200,3.22834600
4.00505252,-5.51181100,3.22834600
4.06905252,-2.36220500,3.30708700
4.13305252,-4.33070900,3.22834600
4.19705251,-0.39370070,3.30708700
4.26105251,-7.48031400,3.22834600
4.32505251,-0.39370070,3.22834600
4.38905251,0.00000000,3.22834600
4.45305251,-3.54330700,3.22834600
4.51705250,-1.57480300,3.22834600
4.58105250,1.18110200,3.30708700
4.64505250,-4.72440900,3.22834600
4.70905250,-5.90551100,3.22834600
4.77305250,0.00000000,3.22834600
4.83705250,-5.51181100,3.30708700
4.90105249,-3.93700800,3.30708700
4.96505249,-2.36220500,3.22834600
5.02905249,-1.96850400,3.22834600
5.09305249,-9.44881800,3.22834600
5.15705249,1.18110200,3.30708700
5.22105248,-6.69291300,3.22834600
5.28505248,-3.93700800,3.30708700
5.34905248,-4.33070900,3.22834600
5.41305248,1.96850400,3.30708700
5.47705248,-5.11811000,3.30708700
5.54105248,-0.39370070,3.30708700
5.60505247,-1.18110200,3.22834600
5.66905247,-4.33070900,3.30708700
5.73305247,-3.14960600,3.22834600
5.79705247,-2.36220500,3.30708700
5.86105247,-1.96850400,3.30708700
5.92505246,-5.51181100,3.30708700
5.98905246,0.78740150,3.22834600
6.05305246,-3.54330700,3.30708700
6.11705246,-3.93700800,3.30708700
6.18105246,-7.48031400,3.30708700
6.24505246,-1.57480300,3.22834600
6.30905245,-9.44881800,3.30708700
6.37305245,-4.33070900,3.30708700
6.43705245,-4.72440900,3.22834600
6.50105245,-3.54330700,3.30708700
6.56505245,-9.44881800,3.30708700
6.62905244,0.00000000,3.30708700
6.69305244,-6.69291300,3.22834600
6.75705244,-6.69291300,3.22834600
6.82105244,-1.57480300,3.30708700
6.88505244,-1.57480300,3.22834600
6.94905244,-5.51181100,3.22834600
7.01305243,-1.57480300,3.22834600
7.07705243,2.36220500,3.30708700
7.14105243,-6.69291300,3.30708700
7.20505243,0.78740150,3.30708700
7.26905243,-3.93700800,3.30708700
7.33305242,-3.54330700,3.22834600
7.39705242,-5.11811000,3.30708700
7.46105242,3.93700800,3.30708700
7.52505242,-7.08661400,3.30708700
7.58905242,-1.96850400,3.22834600
7.65305242,-2.36220500,3.30708700
7.71705241,-4.33070900,3.30708700
7.78105241,-6.69291300,3.30708700
7.84505241,-2.36220500,3.30708700
7.90905241,-3.93700800,3.30708700
7.97305241,-3.14960600,3.30708700
8.03705240,-0.39370070,3.30708700
8.10105240,-1.57480300,3.22834600
8.16505240,-3.14960600,3.30708700
8.22905240,-2.36220500,3.30708700
8.29305240,0.00000000,3.30708700
8.35705240,-5.11811000,3.30708700
8.42105239,-1.18110200,3.30708700
8.48505239,-2.36220500,3.30708700
8.54905239,0.78740150,3.30708700
8.61305239,-5.90551100,3.30708700
8.67705239,1.18110200,3.30708700
8.74105238,-6.29921200,3.22834600
8.80505238,-4.33070900,3.30708700
8.86905238,-5.90551100,3.30708700
8.93305238,-3.14960600,3.30708700
8.99705238,-8.26771600,3.30708700
9.06105238,-2.36220500,3.30708700
9.12505237,-3.54330700,3.22834600
9.18905237,-7.87401500,3.22834600
9.25305237,-3.93700800,3.30708700
9.31705237,-3.54330700,3.22834600
9.38105237,-3.14960600,3.30708700
9.44505236,-3.93700800,3.30708700
9.50905236,1.18110200,3.22834600
9.57305236,-3.93700800,3.30708700
9.63705236,0.00000000,3.30708700
9.70105236,-1.18110200,3.22834600
9.76505236,0.78740150,3.30708700
9.82905235,-5.11811000,3.30708700
9.89305235,2.36220500,3.30708700
9.95705235,-0.78740150,3.30708700
10.02105235,0.39370070,3.30708700
10.08505235,-1.96850400,3.30708700
10.14905235,4.33070900,3.30708700
10.21305234,-3.93700800,3.30708700
10.27705234,-2.36220500,3.30708700
10.34105234,-1.57480300,3.30708700
10.40505234,-3.93700800,3.30708700
10.46905234,-3.54330700,3.30708700
10.53305233,0.00000000,3.30708700
10.59705233,0.00000000,3.30708700
10.66105233,-6.29921200,3.30708700
10.72505233,4.33070900,3.30708700
10.78905233,-2.36220500,3.30708700
10.85305233,-1.96850400,3.30708700
10.91705232,-1.57480300,3.30708700
10.98105232,3.54330700,3.30708700
11.04505232,-5.11811000,3.30708700
11.10905232,3.54330700,3.22834600
11.17305232,0.78740150,3.30708700
11.23705231,-2.36220500,3.30708700
11.30105231,-2.36220500,3.30708700
11.36505231,1.57480300,3.30708700
11.42905231,-5.90551100,3.30708700
11.49305231,-3.14960600,3.30708700
11.55705231,0.00000000,3.30708700
11.62105230,-3.54330700,3.30708700
11.68505230,-3.93700800,3.30708700
11.74905230,-3.14960600,3.30708700
11.81305230,-3.93700800,3.30708700
11.87705230,-8.66141700,3.30708700
11.94105229,-1.18110200,3.30708700
12.00505229,-4.33070900,3.22834600
12.06905229,-1.18110200,3.30708700
12.13305229,-4.33070900,3.30708700
12.19705229,3.93700800,3.30708700
12.26105229,-5.51181100,3.30708700
12.32505228,-1.96850400,3.30708700
12.38905228,-1.96850400,3.22834600
12.45305228,0.39370070,3.30708700
12.51705228,-4.72440900,3.30708700
12.58105228,1.18110200,3.30708700
12.64505227,1.96850400,3.22834600
12.70905227,-4.33070900,3.30708700
12.77305227,0.39370070,3.30708700
12.83705227,-1.18110200,3.22834600
12.90105227,-5.90551100,3.30708700
12.96505227,-5.51181100,3.30708700
13.02905226,0.78740150,3.30708700
13.09305226,-7.87401500,3.30708700
13.15705226,-3.54330700,3.30708700
13.22105226,-3.14960600,3.30708700
13.28505226,-3.93700800,3.30708700
13.34905225,-10.23622000,3.30708700
13.41305225,-1.18110200,3.30708700
13.47705225,-7.08661400,3.30708700
13.54105225,-3.14960600,3.30708700
13.60505225,-2.36220500,3.30708700
13.66905225,-1.18110200,3.30708700
13.73305224,-7.87401500,3.30708700
13.79705224,0.39370070,3.30708700
13.86105224,-1.96850400,3.30708700
13.92505224,-8.66141700,3.30708700
13.98905224,-4.72440900,3.30708700
14.05305223,-6.69291300,3.30708700
14.11705223,-6.29921200,3.30708700
14.18105223,-11.41732000,3.30708700
14.24505223,-1.96850400,3.22834600
14.30905223,-11.41732000,3.30708700
14.37305223,-7.48031400,3.30708700
14.43705222,-9.05511800,3.30708700
14.50105222,-7.08661400,3.30708700
14.56505222,-13.38583000,3.30708700
14.62905222,-3.54330700,3.22834600
14.69305222,-7.48031400,3.30708700
14.75705221,-6.29921200,3.30708700
14.82105221,-8.26771600,3.30708700
14.88505221,-2.36220500,3.22834600
14.94905221,-9.84251900,3.22834600
15.01305221,-5.51181100,3.30708700
15.07705221,-2.36220500,3.30708700
15.14105220,-5.11811000,3.22834600
15.20505220,-4.33070900,3.30708700
15.26905220,1.57480300,3.30708700
15.33305220,-4.33070900,3.22834600
15.39705220,-10.23622000,3.30708700
15.46105219,-1.57480300,3.30708700
15.52505219,-8.26771600,3.30708700
15.58905219,-4.72440900,3.30708700
15.65305219,-7.48031400,3.30708700
15.71705219,-2.36220500,3.30708700
15.78105219,-11.02362000,3.30708700
15.84505218,0.00000000,3.30708700
15.90905218,-9.44881800,3.22834600
15.97305218,-6.69291300,3.30708700
16.03705218,-8.66141700,3.30708700
16.10105218,-2.36220500,3.30708700
16.16505217,-4.33070900,3.30708700
16.22905217,-6.69291300,3.30708700
16.29305217,-2.75590500,3.30708700
16.35705217,-5.90551100,3.30708700
16.42105217,-7.08661400,3.30708700
16.48505217,-6.69291300,3.30708700
16.54905216,-2.75590500,3.30708700
16.61305216,-13.38583000,3.30708700
16.67705216,-2.36220500,3.30708700
16.74105216,-5.11811000,3.30708700
16.80505216,-5.11811000,3.30708700
16.86905215,-9.44881800,3.30708700
16.93305215,-1.57480300,3.30708700
16.99705215,-14.56693000,3.30708700
17.06105215,-8.66141700,3.30708700
17.12505215,-7.48031400,3.30708700
17.18905215,-7.48031400,3.30708700
17.25305214,-10.62992000,3.30708700
17.31705214,-3.54330700,3.30708700
17.38105214,-8.66141700,3.30708700
17.44505214,-9.05511800,3.30708700
17.50905214,-1.18110200,3.30708700
17.57305214,-8.66141700,3.30708700
17.63705213,-4.33070900,3.22834600
17.70105213,-4.72440900,3.30708700
17.76505213,0.00000000,3.30708700
17.82905213,-8.66141700,3.30708700
17.89305213,-3.14960600,3.30708700
17.95705212,-7.48031400,3.30708700
18.02105212,-4.72440900,3.22834600
18.08505212,-8.66141700,3.22834600
18.14905212,-2.36220500,3.30708700
18.21305212,-7.48031400,3.30708700
18.27705212,-4.33070900,3.30708700
18.34105211,-5.90551100,3.30708700
18.40505211,-5.51181100,3.30708700
18.46905211,-10.62992000,3.30708700
18.53305211,-5.90551100,3.30708700
18.59705211,-6.69291300,3.30708700
18.66105210,-7.08661400,3.30708700
18.72505210,-5.90551100,3.30708700
18.78905210,-5.11811000,3.30708700
18.85305210,-3.93700800,3.30708700
18.91705210,-9.84251900,3.30708700
18.98105210,-0.78740150,3.30708700
19.04505209,-9.44881800,3.30708700
19.10905209,-4.72440900,3.30708700
19.17305209,-4.72440900,3.30708700
19.23705209,-1.18110200,3.30708700
19.30105209,-9.44881800,3.30708700
19.36505208,-1.96850400,3.30708700
19.42905208,-6.29921200,3.30708700
19.49305208,-9.05511800,3.30708700
19.55705208,-6.69291300,3.30708700
19.62105208,-5.90551100,3.30708700
19.68505208,-9.84251900,3.30708700
19.74905207,-6.69291300,3.30708700
19.81305207,-3.93700800,3.30708700
19.87705207,-11.41732000,3.30708700
19.94105207,-7.48031400,3.30708700
20.00505207,-6.29921200,3.30708700
20.06905206,-8.66141700,3.30708700
20.13305206,-9.44881800,3.30708700
20.19705206,-0.78740150,3.22834600
20.26105206,-8.66141700,3.30708700
20.32505206,-4.33070900,3.30708700
20.38905206,-7.08661400,3.30708700
20.45305205,-2.75590500,3.30708700
20.51705205,-10.62992000,3.30708700
20.58105205,-3.54330700,3.30708700
20.64505205,-5.90551100,3.30708700
20.70905205,-6.69291300,3.30708700
20.77305204,-6.69291300,3.30708700
20.83705204,-1.96850400,3.30708700
20.90105204,-5.90551100,3.30708700
20.96505204,-9.84251900,3.22834600
21.02905204,-3.93700800,3.30708700
21.09305204,-10.62992000,3.30708700
21.15705203,-7.87401500,3.30708700
21.22105203,-7.08661400,3.30708700
21.28505203,-4.33070900,3.30708700
21.34905203,-11.02362000,3.30708700
21.41305203,-1.57480300,3.30708700
21.47705202,-5.90551100,3.30708700
21.54105202,-6.29921200,3.30708700
21.60505202,-6.69291300,3.30708700
21.66905202,-1.57480300,3.30708700
21.73305202,-7.48031400,3.30708700
