Time,Channel A,Channel B
(us),(mV),(V)

-0.02789743,-8.26771600,0.00000000
0.03610256,-3.54330700,3.07086600
0.10010256,-5.51181100,3.22834600
0.16410256,-5.90551100,3.22834600
0.22810256,-5.11811000,3.22834600
0.29210256,-1.96850400,3.22834600
0.35610255,-9.84251900,3.22834600
0.42010255,-2.36220500,3.22834600
0.48410255,-5.51181100,3.22834600
0.54810255,-3.93700800,3.22834600
0.61210255,-5.90551100,3.22834600
0.67610255,0.00000000,3.30708700
0.74010254,-6.69291300,3.22834600
0.80410254,-3.93700800,3.22834600
0.86810254,-2.36220500,3.22834600
0.93210254,-6.69291300,3.22834600
0.99610254,-4.72440900,3.22834600
1.06010254,-2.75590500,3.22834600
1.12410253,-2.36220500,3.22834600
1.18810253,-7.87401500,3.22834600
1.25210253,-0.39370070,3.30708700
1.31610253,-8.26771600,3.22834600
1.38010253,-4.72440900,3.22834600
1.44410252,-5.90551100,3.22834600
1.50810252,-3.93700800,3.22834600
1.57210252,-8.26771600,3.22834600
1.63610252,-0.78740150,3.22834600
1.70010252,-2.75590500,3.22834600
1.76410252,-4.33070900,3.22834600
1.82810251,-3.93700800,3.22834600
1.89210251,-1.96850400,3.22834600
1.95610251,-3.93700800,3.22834600
2.02010251,-2.36220500,3.22834600
2.08410251,-0.39370070,3.22834600
2.14810250,-1.96850400,3.22834600
2.21210250,-0.78740150,3.22834600
2.27610250,-0.78740150,3.22834600
2.34010250,1.96850400,3.22834600
2.40410250,-5.90551100,3.22834600
2.46810250,0.39370070,3.30708700
2.53210249,-2.36220500,3.22834600
2.59610249,-1.18110200,3.30708700
2.66010249,-3.54330700,3.22834600
2.72410249,3.54330700,3.22834600
2.78810249,-3.54330700,3.30708700
2.85210248,-1.57480300,3.22834600
2.91610248,0.00000000,3.22834600
2.98010248,-3.14960600,3.22834600
3.04410248,-3.14960600,3.22834600
3.10810248,2.75590500,3.22834600
3.17210248,0.00000000,3.30708700
3.23610247,-4.72440900,3.30708700
3.30010247,3.54330700,3.22834600
3.36410247,-2.36220500,3.22834600
3.42810247,-3.14960600,3.22834600
3.49210247,-1.18110200,3.30708700
3.55610246,0.78740150,3.22834600
3.62010246,-5.90551100,3.30708700
3.68410246,3.14960600,3.22834600
3.74810246,-1.57480300,3.22834600
3.81210246,-3.14960600,3.22834600
3.87610246,-3.93700800,3.30708700
3.94010245,0.39370070,3.22834600
4.00410245,-8.66141700,3.22834600
4.06810245,-3.54330700,3.30708700
4.13210245,-1.96850400,3.22834600
4.19610245,-3.93700800,3.22834600
4.26010244,-2.75590500,3.30708700
4.32410244,-1.18110200,3.22834600
4.38810244,-3.14960600,3.22834600
4.45210244,-6.69291300,3.22834600
4.51610244,0.39370070,3.22834600
4.58010244,-5.51181100,3.22834600
4.64410243,-1.96850400,3.22834600
4.70810243,-3.14960600,3.22834600
4.77210243,2.36220500,3.22834600
4.83610243,-5.11811000,3.30708700
4.90010243,0.00000000,3.22834600
4.96410242,-1.96850400,3.22834600
5.02810242,-2.75590500,3.30708700
5.09210242,-3.14960600,3.22834600
5.15610242,1.18110200,3.30708700
5.22010242,-3.54330700,3.22834600
5.28410242,-1.96850400,3.30708700
5.34810241,0.39370070,3.22834600
5.41210241,-2.75590500,3.30708700
5.47610241,-4.33070900,3.22834600
5.54010241,-3.54330700,3.30708700
5.60410241,-1.18110200,3.22834600
5.66810240,-5.90551100,3.30708700
5.73210240,2.36220500,3.30708700
5.79610240,-3.14960600,3.22834600
5.86010240,0.39370070,3.30708700
5.92410240,-3.14960600,3.30708700
5.98810240,0.78740150,3.22834600
6.05210239,-6.69291300,3.22834600
6.11610239,0.00000000,3.30708700
6.18010239,-1.96850400,3.22834600
6.24410239,-1.57480300,3.22834600
6.30810239,-1.96850400,3.30708700
6.37210238,-0.78740150,3.30708700
6.43610238,-1.57480300,3.22834600
6.50010238,-5.11811000,3.30708700
6.56410238,-1.96850400,3.30708700
6.62810238,-5.90551100,3.30708700
6.69210238,-3.14960600,3.30708700
6.75610237,-3.54330700,3.22834600
6.82010237,0.00000000,3.30708700
6.88410237,-7.08661400,3.30708700
6.94810237,-1.57480300,3.30708700
7.01210237,-4.72440900,3.22834600
7.07610236,-3.14960600,3.22834600
7.14010236,-6.29921200,3.22834600
7.20410236,1.57480300,3.22834600
7.26810236,-5.11811000,3.22834600
7.33210236,-1.18110200,3.22834600
7.39610236,0.00000000,3.22834600
7.46010235,-3.14960600,3.22834600
7.52410235,-4.33070900,3.30708700
7.58810235,0.39370070,3.30708700
7.65210235,-1.96850400,3.30708700
7.71610235,-6.29921200,3.30708700
7.78010234,4.33070900,3.30708700
7.84410234,-3.14960600,3.22834600
7.90810234,-0.78740150,3.30708700
7.97210234,-2.36220500,3.30708700
8.03610234,0.00000000,3.30708700
8.10010234,-8.66141700,3.30708700
8.16410233,1.18110200,3.30708700
8.22810233,-3.54330700,3.30708700
8.29210233,-4.33070900,3.30708700
8.35610233,-1.18110200,3.30708700
8.42010233,1.18110200,3.30708700
8.48410233,-5.11811000,3.30708700
8.54810232,-1.57480300,3.30708700
8.61210232,-0.78740150,3.30708700
8.67610232,-4.72440900,3.30708700
8.74010232,-1.57480300,3.22834600
8.80410232,-0.39370070,3.30708700
8.86810231,-2.36220500,3.22834600
8.93210231,-4.33070900,3.30708700
8.99610231,1.57480300,3.30708700
9.06010231,-5.51181100,3.30708700
9.12410231,-2.75590500,3.30708700
9.18810231,-5.11811000,3.30708700
9.25210230,0.00000000,3.30708700
9.31610230,-7.08661400,3.30708700
9.38010230,0.39370070,3.30708700
9.44410230,-2.36220500,3.30708700
9.50810230,-2.75590500,3.30708700
9.57210229,-4.72440900,3.30708700
9.63610229,-0.39370070,3.30708700
9.70010229,-3.93700800,3.22834600
9.76410229,-3.14960600,3.30708700
9.82810229,2.36220500,3.30708700
9.89210229,-1.57480300,3.30708700
9.95610228,-1.57480300,3.30708700
10.02010228,-0.78740150,3.30708700
10.08410228,1.18110200,3.22834600
10.14810228,-4.72440900,3.30708700
10.21210228,2.36220500,3.30708700
10.27610227,-1.18110200,3.30708700
10.34010227,0.39370070,3.30708700
10.40410227,0.00000000,3.22834600
10.46810227,3.93700800,3.30708700
10.53210227,-3.93700800,3.30708700
10.59610227,0.00000000,3.30708700
10.66010226,-2.36220500,3.30708700
10.72410226,-1.57480300,3.30708700
10.78810226,-3.54330700,3.22834600
10.85210226,0.39370070,3.30708700
10.91610226,-1.96850400,3.30708700
10.98010225,-2.36220500,3.30708700
11.04410225,1.57480300,3.30708700
11.10810225,-3.54330700,3.30708700
11.17210225,-0.78740150,3.30708700
11.23610225,-1.96850400,3.30708700
11.30010225,1.96850400,3.30708700
11.36410224,-5.11811000,3.30708700
11.42810224,1.96850400,3.30708700
11.49210224,-1.96850400,3.30708700
11.55610224,-1.57480300,3.30708700
11.62010224,-3.93700800,3.30708700
11.68410223,0.78740150,3.30708700
11.74810223,-5.51181100,3.30708700
11.81210223,-1.96850400,3.30708700
11.87610223,-0.39370070,3.30708700
11.94010223,-4.33070900,3.30708700
12.00410223,-5.11811000,3.30708700
12.06810222,0.00000000,3.30708700
12.13210222,-5.51181100,3.30708700
12.19610222,-8.26771600,3.30708700
12.26010222,-1.18110200,3.22834600
12.32410222,-6.29921200,3.30708700
12.38810221,-3.93700800,3.30708700
12.45210221,-2.75590500,3.30708700
12.51610221,-0.39370070,3.30708700
12.58010221,-8.66141700,3.22834600
12.64410221,0.39370070,3.22834600
12.70810221,-5.90551100,3.30708700
12.77210220,-4.33070900,3.30708700
12.83610220,-5.51181100,3.30708700
12.90010220,0.00000000,3.30708700
12.96410220,-6.29921200,3.22834600
13.02810220,-1.18110200,3.30708700
13.09210219,-1.96850400,3.30708700
13.15610219,-6.29921200,3.30708700
13.22010219,-3.93700800,3.22834600
13.28410219,-4.72440900,3.30708700
13.34810219,-5.90551100,3.30708700
13.41210219,-7.08661400,3.30708700
13.47610218,-1.57480300,3.22834600
13.54010218,-7.87401500,3.30708700
13.60410218,-6.29921200,3.30708700
13.66810218,-8.26771600,3.30708700
13.73210218,-3.54330700,3.22834600
13.79610217,-8.66141700,3.30708700
13.86010217,-3.54330700,3.22834600
13.92410217,-5.90551100,3.30708700
13.98810217,-4.72440900,3.30708700
14.05210217,-9.05511800,3.30708700
14.11610217,-2.75590500,3.30708700
14.18010216,-9.84251900,3.30708700
14.24410216,-8.66141700,3.30708700
14.30810216,-3.93700800,3.22834600
14.37210216,-6.69291300,3.30708700
14.43610216,-7.08661400,3.30708700
14.50010215,-5.11811000,3.30708700
14.56410215,-2.75590500,3.30708700
14.62810215,-12.20472000,3.30708700
14.69210215,-4.33070900,3.30708700
14.75610215,-8.66141700,3.30708700
14.82010215,-8.26771600,3.30708700
14.88410214,-10.23622000,3.30708700
14.94810214,-2.36220500,3.30708700
15.01210214,-12.20472000,3.22834600
15.07610214,-5.90551100,3.22834600
15.14010214,-4.72440900,3.22834600
15.20410214,-7.87401500,3.30708700
15.26810213,-10.62992000,3.30708700
15.33210213,-6.29921200,3.22834600
15.39610213,-10.62992000,3.30708700
15.46010213,-7.87401500,3.30708700
15.52410213,-5.11811000,3.30708700
15.58810212,-4.72440900,3.22834600
15.65210212,-7.48031400,3.22834600
15.71610212,-5.51181100,3.30708700
15.78010212,-3.14960600,3.22834600
15.84410212,-11.02362000,3.30708700
15.90810212,-3.14960600,3.30708700
15.97210211,-5.51181100,3.30708700
16.03610211,-5.11811000,3.30708700
16.10010211,-10.62992000,3.30708700
16.16410211,-1.18110200,3.30708700
16.22810211,-14.96063000,3.30708700
16.29210210,-7.08661400,3.30708700
16.35610210,-7.08661400,3.30708700
16.42010210,-7.48031400,3.30708700
16.48410210,-4.33070900,3.30708700
16.54810210,-2.75590500,3.30708700
16.61210210,-4.33070900,3.30708700
16.67610209,-9.05511800,3.22834600
16.74010209,-1.96850400,3.30708700
16.80410209,-7.48031400,3.30708700
16.86810209,-7.87401500,3.30708700
16.93210209,-6.69291300,3.30708700
16.99610208,-2.36220500,3.30708700
17.06010208,-9.05511800,3.30708700
17.12410208,-1.96850400,3.30708700
17.18810208,-7.08661400,3.30708700
17.25210208,-6.69291300,3.30708700
17.31610208,-7.48031400,3.30708700
17.38010207,-3.93700800,3.30708700
17.44410207,-9.84251900,3.22834600
17.50810207,-5.11811000,3.30708700
17.57210207,-7.87401500,3.30708700
17.63610207,-6.29921200,3.30708700
17.70010206,-9.05511800,3.22834600
17.76410206,-7.08661400,3.30708700
17.82810206,-6.69291300,3.22834600
17.89210206,-5.90551100,3.22834600
17.95610206,-3.93700800,3.30708700
18.02010206,-7.87401500,3.22834600
18.08410205,-4.33070900,3.22834600
18.14810205,-9.05511800,3.30708700
18.21210205,-3.54330700,3.30708700
18.27610205,-7.87401500,3.22834600
18.34010205,-6.69291300,3.22834600
18.40410204,-7.08661400,3.22834600
18.46810204,-3.14960600,3.22834600
18.53210204,-7.87401500,3.30708700
18.59610204,-0.39370070,3.30708700
18.66010204,-5.11811000,3.22834600
18.72410204,-8.66141700,3.30708700
18.78810203,-5.90551100,3.30708700
18.85210203,-6.69291300,3.30708700
18.91610203,-10.62992000,3.22834600
18.98010203,-6.69291300,3.30708700
19.04410203,-2.75590500,3.30708700
19.10810202,-9.84251900,3.30708700
19.17210202,-1.96850400,3.30708700
19.23610202,-3.93700800,3.30708700
19.30010202,-4.72440900,3.30708700
19.36410202,-9.05511800,3.30708700
19.42810202,0.78740150,3.30708700
19.49210201,-10.62992000,3.30708700
19.55610201,-3.93700800,3.30708700
19.62010201,-3.14960600,3.30708700
19.68410201,-2.75590500,3.30708700
19.74810201,-8.26771600,3.30708700
19.81210200,-3.54330700,3.30708700
19.87610200,-5.51181100,3.30708700
19.94010200,-7.87401500,3.30708700
20.00410200,-3.93700800,3.30708700
20.06810200,-5.90551100,3.22834600
20.13210200,-6.69291300,3.30708700
20.19610199,-8.26771600,3.30708700
20.26010199,-3.54330700,3.30708700
20.32410199,-11.41732000,3.30708700
20.38810199,-8.66141700,3.30708700
20.45210199,-7.48031400,3.30708700
20.51610198,-4.72440900,3.22834600
20.58010198,-10.62992000,3.30708700
20.64410198,-1.96850400,3.30708700
20.70810198,-9.05511800,3.22834600
20.77210198,-6.69291300,3.30708700
20.83610198,-6.69291300,3.30708700
20.90010197,-6.29921200,3.22834600
20.96410197,-9.44881800,3.30708700
21.02810197,-5.11811000,3.30708700
21.09210197,-2.75590500,3.30708700
21.15610197,-8.26771600,3.30708700
21.22010196,-3.54330700,3.30708700
21.28410196,-5.90551100,3.30708700
21.34810196,-4.72440900,3.22834600
21.41210196,-10.23622000,3.30708700
21.47610196,-1.96850400,3.30708700
21.54010196,-8.66141700,3.30708700
21.60410195,-5.11811000,3.30708700
21.66810195,-5.11811000,3.30708700
21.73210195,-3.54330700,3.30708700
