Time,Channel A,Channel B
(us),(mV),(V)

-0.03400000,-3.14960600,0.00000000
0.03000000,-7.48031400,2.51968500
0.09400000,-5.11811000,3.22834600
0.15800000,-8.26771600,3.22834600
0.22199999,-4.72440900,3.22834600
0.28599999,-5.90551100,3.22834600
0.34999999,-8.66141700,3.30708700
0.41399999,-7.08661400,3.22834600
0.47799999,-6.29921200,3.22834600
0.54199999,-6.69291300,3.22834600
0.60599998,-6.29921200,3.22834600
0.66999998,-1.57480300,3.22834600
0.73399998,-7.87401500,3.22834600
0.79799998,-3.93700800,3.30708700
0.86199998,-3.54330700,3.22834600
0.92599997,-3.93700800,3.22834600
0.98999997,-7.08661400,3.22834600
1.05399997,1.96850400,3.22834600
1.11799997,-3.14960600,3.22834600
1.18199997,-1.18110200,3.22834600
1.24599997,-0.78740150,3.22834600
1.30999996,-0.78740150,3.30708700
1.37399996,-3.54330700,3.22834600
1.43799996,-0.78740150,3.22834600
1.50199996,0.00000000,3.22834600
1.56599996,-5.90551100,3.22834600
1.62999995,-1.96850400,3.22834600
1.69399995,-3.54330700,3.22834600
1.75799995,-3.93700800,3.22834600
1.82199995,-8.26771600,3.30708700
1.88599995,-1.96850400,3.22834600
1.94999995,-8.66141700,3.22834600
2.01399994,-3.93700800,3.30708700
2.07799994,-3.93700800,3.30708700
2.14199994,-1.96850400,3.22834600
2.20599994,-9.05511800,3.22834600
2.26999994,-0.39370070,3.22834600
2.33399993,-5.51181100,3.22834600
2.39799993,-6.69291300,3.22834600
2.46199993,-3.14960600,3.22834600
2.52599993,-1.18110200,3.22834600
2.58999993,-4.33070900,3.22834600
2.65399993,-2.36220500,3.22834600
2.71799992,2.36220500,3.22834600
2.78199992,-5.51181100,3.30708700
2.84599992,0.39370070,3.22834600
2.90999992,-1.18110200,3.22834600
2.97399992,-1.57480300,3.30708700
3.03799991,-5.90551100,3.22834600
3.10199991,1.96850400,3.30708700
3.16599991,-6.69291300,3.30708700
3.22999991,-2.75590500,3.30708700
3.29399991,-3.93700800,3.30708700
3.35799991,-3.14960600,3.30708700
3.42199990,-5.11811000,3.30708700
3.48599990,-1.96850400,3.30708700
3.54999990,-1.57480300,3.22834600
3.61399990,-3.54330700,3.22834600
3.67799990,0.78740150,3.30708700
3.74199990,-1.18110200,3.22834600
3.80599989,-1.96850400,3.30708700
3.86999989,-2.36220500,3.30708700
3.93399989,0.78740150,3.30708700
3.99799989,-1.57480300,3.30708700
4.06199989,-1.96850400,3.22834600
4.12599988,-2.36220500,3.30708700
4.18999988,1.57480300,3.30708700
4.25399988,-5.51181100,3.30708700
4.31799988,0.00000000,3.30708700
4.38199988,-3.93700800,3.22834600
4.44599988,-5.90551100,3.30708700
4.50999987,-8.66141700,3.22834600
4.57399987,-3.93700800,3.22834600
4.63799987,-9.05511800,3.22834600
4.70199987,-8.26771600,3.30708700
4.76599987,-1.96850400,3.30708700
4.82999986,-8.66141700,3.22834600
4.89399986,-6.69291300,3.30708700
4.95799986,-7.08661400,3.22834600
5.02199986,-5.11811000,3.22834600
5.08599986,-8.26771600,3.22834600
5.14999986,-1.57480300,3.30708700
5.21399985,-4.72440900,3.22834600
5.27799985,-5.90551100,3.22834600
5.34199985,-2.36220500,3.30708700
5.40599985,-1.18110200,3.30708700
5.46999985,-7.08661400,3.30708700
5.53399984,-1.18110200,3.22834600
5.59799984,-2.75590500,3.22834600
5.66199984,-3.54330700,3.30708700
5.72599984,-3.93700800,3.30708700
5.78999984,-2.36220500,3.30708700
5.85399984,-5.51181100,3.30708700
5.91799983,-5.51181100,3.30708700
5.98199983,-2.36220500,3.22834600
6.04599983,-6.29921200,3.30708700
6.10999983,-4.33070900,3.22834600
6.17399983,-2.75590500,3.30708700
6.23799982,-0.78740150,3.30708700
6.30199982,-4.33070900,3.30708700
6.36599982,1.57480300,3.30708700
6.42999982,-2.36220500,3.30708700
6.49399982,0.00000000,3.30708700
6.55799982,-3.14960600,3.30708700
6.62199981,1.57480300,3.30708700
6.68599981,-4.72440900,3.30708700
6.74999981,-0.78740150,3.30708700
6.81399981,0.78740150,3.22834600
6.87799981,-1.96850400,3.30708700
6.94199980,-1.18110200,3.30708700
7.00599980,-1.18110200,3.22834600
7.06999980,-3.93700800,3.30708700
7.13399980,-7.87401500,3.30708700
7.19799980,-4.72440900,3.22834600
7.26199980,-7.87401500,3.30708700
7.32599979,-5.90551100,3.22834600
7.38999979,-6.29921200,3.30708700
7.45399979,-4.33070900,3.22834600
7.51799979,-9.05511800,3.22834600
7.58199979,-4.72440900,3.30708700
7.64599978,-7.48031400,3.22834600
7.70999978,-2.36220500,3.30708700
7.77399978,-6.69291300,3.30708700
7.83799978,-1.96850400,3.30708700
7.90199978,-5.51181100,3.30708700
7.96599978,-3.54330700,3.30708700
8.02999977,-3.54330700,3.22834600
8.09399977,-3.54330700,3.30708700
8.15799977,-1.96850400,3.30708700
8.22199977,-3.14960600,3.30708700
8.28599977,0.78740150,3.22834600
8.34999976,-5.90551100,3.30708700
8.41399976,-0.39370070,3.30708700
8.47799976,-3.93700800,3.30708700
8.54199976,-4.33070900,3.22834600
8.60599976,-7.08661400,3.30708700
8.66999976,-0.39370070,3.30708700
8.73399975,-7.08661400,3.30708700
8.79799975,-1.96850400,3.30708700
8.86199975,-2.36220500,3.30708700
8.92599975,-1.18110200,3.30708700
8.98999975,-4.33070900,3.30708700
9.05399974,1.96850400,3.30708700
9.11799974,-2.75590500,3.30708700
9.18199974,-4.33070900,3.30708700
9.24599974,1.96850400,3.30708700
9.30999974,-1.57480300,3.30708700
9.37399974,0.00000000,3.30708700
9.43799973,1.18110200,3.30708700
9.50199973,4.72440900,3.30708700
9.56599973,-2.75590500,3.30708700
9.62999973,4.33070900,3.30708700
9.69399973,-2.36220500,3.30708700
9.75799972,-2.75590500,3.30708700
9.82199972,-4.33070900,3.30708700
9.88599972,0.39370070,3.30708700
9.94999972,-5.90551100,3.30708700
10.01399972,-2.75590500,3.30708700
10.07799972,-1.96850400,3.30708700
10.14199971,-5.51181100,3.22834600
10.20599971,-3.93700800,3.22834600
10.26999971,-5.51181100,3.30708700
10.33399971,-2.75590500,3.22834600
10.39799971,-6.69291300,3.30708700
10.46199970,-1.18110200,3.30708700
10.52599970,-4.33070900,3.22834600
10.58999970,-3.14960600,3.22834600
10.65399970,-3.54330700,3.30708700
10.71799970,1.18110200,3.22834600
10.78199970,-5.51181100,3.30708700
10.84599969,-1.18110200,3.30708700
10.90999969,-1.57480300,3.30708700
10.97399969,0.78740150,3.30708700
11.03799969,-3.54330700,3.30708700
11.10199969,1.57480300,3.30708700
11.16599969,-3.14960600,3.30708700
11.22999968,-5.90551100,3.30708700
11.29399968,-1.96850400,3.30708700
11.35799968,-3.54330700,3.30708700
11.42199968,-4.33070900,3.30708700
11.48599968,-2.75590500,3.30708700
11.54999967,3.14960600,3.22834600
11.61399967,-4.72440900,3.30708700
11.67799967,1.96850400,3.30708700
11.74199967,0.00000000,3.22834600
11.80599967,-0.39370070,3.30708700
11.86999967,-3.54330700,3.30708700
11.93399966,3.93700800,3.30708700
11.99799966,-2.36220500,3.30708700
12.06199966,-0.39370070,3.30708700
12.12599966,1.96850400,3.30708700
12.18999966,1.18110200,3.30708700
12.25399965,-3.54330700,3.30708700
12.31799965,0.00000000,3.30708700
12.38199965,-1.18110200,3.30708700
12.44599965,-6.29921200,3.30708700
12.50999965,-3.54330700,3.30708700
12.57399965,-3.93700800,3.30708700
12.63799964,-5.11811000,3.30708700
12.70199964,-7.08661400,3.22834600
12.76599964,-3.14960600,3.22834600
12.82999964,-12.99213000,3.30708700
12.89399964,-6.69291300,3.30708700
12.95799963,-9.84251900,3.30708700
13.02199963,-5.11811000,3.30708700
13.08599963,-9.84251900,3.22834600
13.14999963,-3.14960600,3.30708700
13.21399963,-7.48031400,3.22834600
13.27799963,-9.44881800,3.22834600
13.34199962,-5.11811000,3.30708700
13.40599962,-5.51181100,3.30708700
13.46999962,-10.62992000,3.22834600
13.53399962,-3.93700800,3.30708700
13.59799962,-4.33070900,3.30708700
13.66199961,-8.26771600,3.30708700
13.72599961,-4.33070900,3.30708700
13.78999961,-7.48031400,3.30708700
13.85399961,-8.66141700,3.30708700
13.91799961,-9.84251900,3.22834600
13.98199961,-3.14960600,3.30708700
14.04599960,-12.59842000,3.30708700
14.10999960,-4.72440900,3.30708700
14.17399960,-7.48031400,3.30708700
14.23799960,-3.54330700,3.30708700
14.30199960,-6.69291300,3.30708700
14.36599959,-0.39370070,3.30708700
14.42999959,-7.08661400,3.30708700
14.49399959,-2.36220500,3.30708700
14.55799959,-3.93700800,3.30708700
14.62199959,-3.54330700,3.30708700
14.68599959,-3.54330700,3.30708700
14.74999958,-4.33070900,3.30708700
14.81399958,-0.78740150,3.30708700
14.87799958,-7.08661400,3.22834600
14.94199958,-2.36220500,3.30708700
15.00599958,-6.29921200,3.30708700
15.06999957,-4.72440900,3.30708700
15.13399957,-9.84251900,3.30708700
15.19799957,-3.14960600,3.30708700
15.26199957,-8.66141700,3.30708700
15.32599957,-9.44881800,3.30708700
15.38999957,-6.69291300,3.30708700
15.45399956,-8.66141700,3.30708700
15.51799956,-12.59842000,3.22834600
15.58199956,-7.87401500,3.30708700
15.64599956,-11.41732000,3.30708700
15.70999956,-10.23622000,3.30708700
15.77399955,-6.69291300,3.30708700
15.83799955,-9.84251900,3.30708700
15.90199955,-9.84251900,3.22834600
15.96599955,-13.77953000,3.30708700
16.02999955,-5.51181100,3.30708700
16.09399955,-11.02362000,3.22834600
16.15799954,-8.66141700,3.22834600
16.22199954,-7.08661400,3.22834600
16.28599954,-5.11811000,3.30708700
16.34999954,-10.62992000,3.30708700
16.41399954,-2.36220500,3.30708700
16.47799953,-9.84251900,3.30708700
16.54199953,-9.05511800,3.30708700
16.60599953,-5.51181100,3.30708700
16.66999953,-5.90551100,3.30708700
16.73399953,-7.87401500,3.30708700
16.79799953,-5.90551100,3.30708700
16.86199952,-2.75590500,3.30708700
16.92599952,-9.05511800,3.30708700
16.98999952,-3.93700800,3.30708700
17.05399952,-5.51181100,3.30708700
17.11799952,-5.11811000,3.30708700
17.18199951,-7.48031400,3.30708700
17.24599951,0.00000000,3.30708700
17.30999951,-6.29921200,3.30708700
17.37399951,-2.36220500,3.30708700
17.43799951,-2.75590500,3.30708700
17.50199951,-1.96850400,3.30708700
17.56599950,-8.66141700,3.30708700
17.62999950,-1.18110200,3.30708700
17.69399950,-5.51181100,3.30708700
17.75799950,-8.26771600,3.30708700
17.82199950,-7.48031400,3.30708700
17.88599949,-7.08661400,3.30708700
17.94999949,-9.84251900,3.30708700
18.01399949,-12.20472000,3.30708700
18.07799949,-7.87401500,3.30708700
18.14199949,-14.96063000,3.30708700
18.20599949,-10.23622000,3.30708700
18.26999948,-9.05511800,3.30708700
18.33399948,-9.05511800,3.22834600
18.39799948,-12.20472000,3.30708700
18.46199948,-6.29921200,3.30708700
18.52599948,-13.38583000,3.30708700
18.58999948,-9.44881800,3.22834600
18.65399947,-12.99213000,3.22834600
18.71799947,-7.08661400,3.30708700
18.78199947,-9.84251900,3.22834600
18.84599947,-5.51181100,3.30708700
18.90999947,-4.33070900,3.30708700
18.97399946,-6.29921200,3.30708700
19.03799946,-6.29921200,3.30708700
19.10199946,-3.93700800,3.30708700
19.16599946,-6.29921200,3.30708700
19.22999946,-10.62992000,3.30708700
19.29399946,-3.93700800,3.30708700
19.35799945,-7.48031400,3.30708700
19.42199945,-7.48031400,3.30708700
19.48599945,-7.48031400,3.30708700
19.54999945,-3.14960600,3.30708700
19.61399945,-12.20472000,3.30708700
19.67799944,-4.33070900,3.30708700
19.74199944,-3.14960600,3.30708700
19.80599944,-3.93700800,3.30708700
19.86999944,-3.93700800,3.30708700
19.93399944,0.78740150,3.30708700
19.99799944,-5.11811000,3.30708700
20.06199943,-6.69291300,3.30708700
20.12599943,-2.36220500,3.30708700
20.18999943,-6.69291300,3.30708700
20.25399943,-5.11811000,3.30708700
20.31799943,-2.75590500,3.30708700
20.38199942,-6.29921200,3.30708700
20.44599942,-10.62992000,3.30708700
20.50999942,-4.33070900,3.30708700
20.57399942,-10.62992000,3.30708700
20.63799942,-10.62992000,3.30708700
20.70199942,-12.20472000,3.30708700
20.76599941,-7.87401500,3.30708700
20.82999941,-15.35433000,3.30708700
20.89399941,-7.87401500,3.30708700
20.95799941,-9.84251900,3.30708700
21.02199941,-12.99213000,3.30708700
21.08599940,-9.84251900,3.30708700
21.14999940,-9.05511800,3.22834600
21.21399940,-11.02362000,3.30708700
21.27799940,-9.44881800,3.30708700
21.34199940,-6.29921200,3.30708700
21.40599940,-7.48031400,3.30708700
21.46999939,-5.11811000,3.30708700
21.53399939,-6.29921200,3.22834600
21.59799939,-2.75590500,3.30708700
21.66199939,-8.26771600,3.22834600
