Time,Channel A,Channel B
(us),(mV),(V)

-0.02625641,-8.66141700,0.07874016
0.03774359,-3.54330700,3.14960600
0.10174359,-9.05511800,3.22834600
0.16574359,-6.29921200,3.22834600
0.22974358,-4.33070900,3.22834600
0.29374358,-3.14960600,3.30708700
0.35774358,-9.05511800,3.30708700
0.42174358,-2.36220500,3.30708700
0.48574358,-7.08661400,3.22834600
0.54974357,-6.29921200,3.22834600
0.61374357,-5.51181100,3.22834600
0.67774357,-3.93700800,3.22834600
0.74174357,-8.66141700,3.22834600
0.80574357,-7.48031400,3.30708700
0.86974357,-4.33070900,3.22834600
0.93374356,-10.62992000,3.22834600
0.99774356,-7.08661400,3.22834600
1.06174356,-8.26771600,3.22834600
1.12574356,-3.14960600,3.22834600
1.18974356,-10.62992000,3.22834600
1.25374355,0.00000000,3.22834600
1.31774355,-7.08661400,3.22834600
1.38174355,-5.51181100,3.22834600
1.44574355,-6.29921200,3.22834600
1.50974355,-1.18110200,3.22834600
1.57374355,-9.84251900,3.22834600
1.63774354,-2.75590500,3.22834600
1.70174354,-0.39370070,3.22834600
1.76574354,-4.33070900,3.22834600
1.82974354,-2.75590500,3.22834600
1.89374354,0.78740150,3.22834600
1.95774353,-3.93700800,3.22834600
2.02174353,-5.11811000,3.30708700
2.08574353,0.78740150,3.22834600
2.14974353,-5.90551100,3.30708700
2.21374353,-3.54330700,3.30708700
2.27774353,-1.96850400,3.22834600
2.34174352,0.00000000,3.22834600
2.40574352,-8.66141700,3.22834600
2.46974352,1.18110200,3.22834600
2.53374352,-4.72440900,3.22834600
2.59774352,-3.14960600,3.22834600
2.66174351,-3.54330700,3.30708700
2.72574351,0.78740150,3.22834600
2.78974351,-4.72440900,3.22834600
2.85374351,-0.78740150,3.22834600
2.91774351,-1.18110200,3.22834600
2.98174351,-3.93700800,3.30708700
3.04574350,-1.96850400,3.30708700
3.10974350,-1.57480300,3.30708700
3.17374350,-0.78740150,3.22834600
3.23774350,-4.72440900,3.22834600
3.30174350,0.00000000,3.30708700
3.36574349,-4.33070900,3.30708700
3.42974349,-4.33070900,3.30708700
3.49374349,-7.08661400,3.22834600
3.55774349,-3.54330700,3.30708700
3.62174349,-9.44881800,3.22834600
3.68574349,-3.93700800,3.30708700
3.74974348,-4.72440900,3.22834600
3.81374348,-3.93700800,3.22834600
3.87774348,-6.69291300,3.30708700
3.94174348,-1.57480300,3.22834600
4.00574348,-7.08661400,3.22834600
4.06974347,-6.69291300,3.30708700
4.13374347,-3.54330700,3.22834600
4.19774347,-4.33070900,3.30708700
4.26174347,-4.72440900,3.30708700
4.32574347,-1.96850400,3.22834600
4.38974347,-0.78740150,3.22834600
4.45374346,-7.08661400,3.30708700
4.51774346,1.18110200,3.22834600
4.58174346,-5.11811000,3.22834600
4.64574346,-4.33070900,3.30708700
4.70974346,-6.29921200,3.30708700
4.77374346,0.39370070,3.30708700
4.83774345,-7.48031400,3.30708700
4.90174345,-3.93700800,3.30708700
4.96574345,-4.33070900,3.30708700
5.02974345,-5.11811000,3.30708700
5.09374345,-7.87401500,3.30708700
5.15774344,-2.36220500,3.30708700
5.22174344,-5.11811000,3.30708700
5.28574344,-5.51181100,3.30708700
5.34974344,-1.96850400,3.30708700
5.41374344,-2.36220500,3.22834600
5.47774344,-6.29921200,3.30708700
5.54174343,-5.51181100,3.30708700
5.60574343,0.00000000,3.30708700
5.66974343,-8.26771600,3.30708700
5.73374343,-1.18110200,3.30708700
5.79774343,-2.36220500,3.30708700
5.86174342,-1.57480300,3.30708700
5.92574342,-6.69291300,3.30708700
5.98974342,1.96850400,3.30708700
6.05374342,-9.05511800,3.30708700
6.11774342,-5.90551100,3.22834600
6.18174342,-4.33070900,3.30708700
6.24574341,-5.90551100,3.30708700
6.30974341,-9.05511800,3.30708700
6.37374341,-2.36220500,3.30708700
6.43774341,-4.33070900,3.22834600
6.50174341,-8.66141700,3.30708700
6.56574340,-3.14960600,3.30708700
6.62974340,-5.90551100,3.30708700
6.69374340,-7.87401500,3.30708700
6.75774340,-6.69291300,3.30708700
6.82174340,0.00000000,3.22834600
6.88574340,-8.26771600,3.22834600
6.94974339,-1.18110200,3.30708700
7.01374339,-3.54330700,3.22834600
7.07774339,-1.57480300,3.30708700
7.14174339,-6.29921200,3.30708700
7.20574339,0.39370070,3.30708700
7.26974338,-5.11811000,3.30708700
7.33374338,-2.36220500,3.30708700
7.39774338,-3.54330700,3.30708700
7.46174338,-0.78740150,3.30708700
7.52574338,-7.08661400,3.30708700
7.58974338,-5.11811000,3.30708700
7.65374337,-2.75590500,3.30708700
7.71774337,-7.87401500,3.30708700
7.78174337,-3.93700800,3.30708700
7.84574337,-3.14960600,3.30708700
7.90974337,-0.78740150,3.30708700
7.97374336,-7.87401500,3.30708700
8.03774336,1.18110200,3.30708700
8.10174336,-5.90551100,3.30708700
8.16574336,-4.33070900,3.30708700
8.22974336,-3.54330700,3.30708700
8.29374336,0.00000000,3.30708700
8.35774335,-7.08661400,3.30708700
8.42174335,0.39370070,3.30708700
8.48574335,-1.18110200,3.30708700
8.54974335,-3.93700800,3.30708700
8.61374335,-3.93700800,3.30708700
8.67774334,-1.18110200,3.30708700
8.74174334,-7.08661400,3.22834600
8.80574334,-7.08661400,3.30708700
8.86974334,-2.75590500,3.30708700
8.93374334,-7.48031400,3.22834600
8.99774334,-5.11811000,3.30708700
9.06174333,-5.51181100,3.30708700
9.12574333,-3.93700800,3.30708700
9.18974333,-11.02362000,3.22834600
9.25374333,-0.39370070,3.30708700
9.31774333,-5.11811000,3.30708700
9.38174332,-2.75590500,3.30708700
9.44574332,-4.33070900,3.30708700
9.50974332,1.96850400,3.22834600
9.57374332,-5.51181100,3.22834600
9.63774332,-1.18110200,3.30708700
9.70174332,0.00000000,3.30708700
9.76574331,-2.75590500,3.30708700
9.82974331,-1.57480300,3.30708700
9.89374331,3.54330700,3.30708700
9.95774331,0.00000000,3.22834600
10.02174331,-3.14960600,3.30708700
10.08574330,3.93700800,3.30708700
10.14974330,-2.36220500,3.30708700
10.21374330,-4.33070900,3.30708700
10.27774330,-2.36220500,3.30708700
10.34174330,0.00000000,3.30708700
10.40574330,-5.90551100,3.30708700
10.46974329,1.57480300,3.30708700
10.53374329,-3.14960600,3.30708700
10.59774329,-2.36220500,3.30708700
10.66174329,-3.93700800,3.30708700
10.72574329,1.18110200,3.30708700
10.78974328,-5.90551100,3.22834600
10.85374328,-0.39370070,3.30708700
10.91774328,-0.78740150,3.30708700
10.98174328,-0.78740150,3.30708700
11.04574328,-0.39370070,3.30708700
11.10974328,-0.78740150,3.30708700
11.17374327,0.00000000,3.30708700
11.23774327,-3.93700800,3.30708700
11.30174327,0.78740150,3.30708700
11.36574327,-3.93700800,3.30708700
11.42974327,-2.75590500,3.30708700
11.49374327,-5.90551100,3.30708700
11.55774326,0.39370070,3.30708700
11.62174326,-7.08661400,3.30708700
11.68574326,-3.93700800,3.30708700
11.74974326,-5.90551100,3.30708700
11.81374326,-3.93700800,3.22834600
11.87774325,-8.66141700,3.30708700
11.94174325,0.00000000,3.30708700
12.00574325,-5.11811000,3.22834600
12.06974325,-4.72440900,3.30708700
12.13374325,-1.57480300,3.30708700
12.19774325,-2.36220500,3.30708700
12.26174324,-7.87401500,3.30708700
12.32574324,-3.14960600,3.30708700
12.38974324,0.39370070,3.22834600
12.45374324,-6.69291300,3.22834600
12.51774324,1.18110200,3.30708700
12.58174323,-1.57480300,3.30708700
12.64574323,-1.18110200,3.30708700
12.70974323,-5.51181100,3.30708700
12.77374323,1.57480300,3.30708700
12.83774323,-8.66141700,3.30708700
12.90174323,-3.93700800,3.30708700
12.96574322,-3.54330700,3.30708700
13.02974322,-3.93700800,3.30708700
13.09374322,-8.26771600,3.30708700
13.15774322,-1.96850400,3.30708700
13.22174322,-6.29921200,3.30708700
13.28574321,-7.48031400,3.30708700
13.34974321,-5.90551100,3.30708700
13.41374321,-5.11811000,3.30708700
13.47774321,-5.90551100,3.30708700
13.54174321,-5.51181100,3.30708700
13.60574321,-1.96850400,3.30708700
13.66974320,-9.05511800,3.30708700
13.73374320,-4.72440900,3.30708700
13.79774320,-4.72440900,3.30708700
13.86174320,-4.72440900,3.30708700
13.92574320,-11.02362000,3.30708700
13.98974319,-1.18110200,3.30708700
14.05374319,-9.44881800,3.30708700
14.11774319,-7.48031400,3.30708700
14.18174319,-7.87401500,3.30708700
14.24574319,-6.69291300,3.30708700
14.30974319,-12.99213000,3.30708700
14.37374318,-5.90551100,3.30708700
14.43774318,-7.87401500,3.30708700
14.50174318,-11.41732000,3.30708700
14.56574318,-7.08661400,3.30708700
14.62974318,-5.90551100,3.30708700
14.69374317,-9.05511800,3.30708700
14.75774317,-10.62992000,3.30708700
14.82174317,-4.72440900,3.30708700
14.88574317,-9.84251900,3.30708700
14.94974317,-5.90551100,3.30708700
15.01374317,-6.69291300,3.30708700
15.07774316,-2.36220500,3.30708700
15.14174316,-8.26771600,3.30708700
15.20574316,-1.96850400,3.30708700
15.26974316,-5.90551100,3.30708700
15.33374316,-5.51181100,3.30708700
15.39774315,-8.66141700,3.30708700
15.46174315,-1.96850400,3.30708700
15.52574315,-8.66141700,3.30708700
15.58974315,-7.87401500,3.30708700
15.65374315,-4.72440900,3.30708700
15.71774315,-8.26771600,3.30708700
15.78174314,-9.44881800,3.30708700
15.84574314,-7.08661400,3.30708700
15.90974314,-6.29921200,3.22834600
15.97374314,-12.99213000,3.30708700
16.03774314,-3.54330700,3.30708700
16.10174313,-7.08661400,3.30708700
16.16574313,-7.08661400,3.30708700
16.22974313,-8.66141700,3.30708700
16.29374313,-2.75590500,3.30708700
16.35774313,-12.59842000,3.30708700
16.42174313,-5.90551100,3.30708700
16.48574312,-5.90551100,3.30708700
16.54974312,-6.69291300,3.30708700
16.61374312,-6.69291300,3.30708700
16.67774312,-1.18110200,3.30708700
16.74174312,-9.05511800,3.30708700
16.80574311,-8.66141700,3.30708700
16.86974311,-6.29921200,3.30708700
16.93374311,-9.44881800,3.30708700
16.99774311,-10.62992000,3.30708700
17.06174311,-7.87401500,3.30708700
17.12574311,-6.69291300,3.22834600
17.18974310,-12.20472000,3.30708700
17.25374310,-4.72440900,3.30708700
17.31774310,-10.62992000,3.30708700
17.38174310,-8.26771600,3.30708700
17.44574310,-10.23622000,3.30708700
17.50974309,-2.75590500,3.30708700
17.57374309,-12.59842000,3.30708700
17.63774309,-4.72440900,3.30708700
17.70174309,-6.29921200,3.22834600
17.76574309,-4.72440900,3.22834600
17.82974309,-8.66141700,3.30708700
17.89374308,-4.72440900,3.30708700
17.95774308,-6.29921200,3.30708700
18.02174308,-8.26771600,3.30708700
18.08574308,-4.72440900,3.30708700
18.14974308,-6.69291300,3.30708700
18.21374307,-8.66141700,3.30708700
18.27774307,-9.05511800,3.30708700
18.34174307,-5.90551100,3.30708700
18.40574307,-13.77953000,3.30708700
18.46974307,-7.48031400,3.30708700
18.53374307,-8.26771600,3.30708700
18.59774306,-7.87401500,3.30708700
18.66174306,-11.02362000,3.30708700
18.72574306,-3.93700800,3.30708700
18.78974306,-11.41732000,3.30708700
18.85374306,-6.29921200,3.30708700
18.91774306,-8.26771600,3.30708700
18.98174305,-4.33070900,3.30708700
19.04574305,-9.05511800,3.30708700
19.10974305,-3.93700800,3.30708700
19.17374305,-3.14960600,3.30708700
19.23774305,-5.90551100,3.30708700
19.30174304,-3.14960600,3.30708700
19.36574304,-7.08661400,3.30708700
19.42974304,-7.48031400,3.30708700
19.49374304,-11.81102000,3.30708700
19.55774304,-6.69291300,3.30708700
19.62174304,-11.81102000,3.30708700
19.68574303,-6.69291300,3.30708700
19.74974303,-8.26771600,3.30708700
19.81374303,-6.69291300,3.30708700
19.87774303,-13.77953000,3.30708700
19.94174303,-5.11811000,3.30708700
20.00574302,-9.44881800,3.22834600
20.06974302,-12.20472000,3.30708700
20.13374302,-12.59842000,3.22834600
20.19774302,-3.54330700,3.30708700
20.26174302,-13.77953000,3.22834600
20.32574302,-5.11811000,3.30708700
20.38974301,-5.11811000,3.30708700
20.45374301,-11.41732000,3.30708700
20.51774301,-6.69291300,3.30708700
20.58174301,-5.51181100,3.30708700
20.64574301,-7.87401500,3.30708700
20.70974300,-10.23622000,3.30708700
20.77374300,-0.39370070,3.30708700
20.83774300,-12.59842000,3.30708700
20.90174300,-8.66141700,3.30708700
20.96574300,-9.44881800,3.30708700
21.02974300,-7.48031400,3.30708700
21.09374299,-14.56693000,3.30708700
21.15774299,-3.93700800,3.30708700
21.22174299,-9.84251900,3.30708700
21.28574299,-9.84251900,3.30708700
21.34974299,-6.69291300,3.30708700
21.41374298,-4.72440900,3.30708700
21.47774298,-10.23622000,3.30708700
21.54174298,-6.29921200,3.30708700
21.60574298,-5.11811000,3.30708700
21.66974298,-7.48031400,3.30708700
