Time,Channel A,Channel B
(us),(mV),(V)

-0.05389474,-4.33070900,0.07874016
0.01010526,-6.29921200,1.57480300
0.07410526,-3.93700800,3.22834600
0.13810526,-6.69291300,3.22834600
0.20210526,-4.33070900,3.22834600
0.26610526,-3.54330700,3.22834600
0.33010525,-2.75590500,3.22834600
0.39410525,-6.69291300,3.22834600
0.45810525,0.00000000,3.22834600
0.52210525,-5.51181100,3.30708700
0.58610525,-4.33070900,3.22834600
0.65010524,-7.08661400,3.22834600
0.71410524,-1.18110200,3.22834600
0.77810524,-9.05511800,3.22834600
0.84210524,-0.39370070,3.22834600
0.90610524,-4.72440900,3.22834600
0.97010524,-5.11811000,3.22834600
1.03410523,-5.51181100,3.22834600
1.09810523,0.00000000,3.22834600
1.16210523,-6.29921200,3.22834600
1.22610523,-6.29921200,3.22834600
1.29010523,0.78740150,3.22834600
1.35410522,-5.51181100,3.22834600
1.41810522,-3.14960600,3.22834600
1.48210522,-2.36220500,3.22834600
1.54610522,-2.75590500,3.22834600
1.61010522,-9.05511800,3.22834600
1.67410522,1.96850400,3.22834600
1.73810521,-6.29921200,3.22834600
1.80210521,-4.72440900,3.22834600
1.86610521,-2.75590500,3.22834600
1.93010521,0.00000000,3.22834600
1.99410521,-8.66141700,3.22834600
2.05810521,-0.39370070,3.22834600
2.12210520,-5.11811000,3.22834600
2.18610520,-6.69291300,3.22834600
2.25010520,-4.33070900,3.22834600
2.31410520,-2.36220500,3.22834600
2.37810520,-6.69291300,3.22834600
2.44210519,-2.36220500,3.22834600
2.50610519,0.78740150,3.22834600
2.57010519,-5.90551100,3.22834600
2.63410519,-2.36220500,3.22834600
2.69810519,-3.93700800,3.22834600
2.76210519,-1.18110200,3.22834600
2.82610518,-5.90551100,3.30708700
2.89010518,2.36220500,3.22834600
2.95410518,-4.33070900,3.22834600
3.01810518,0.39370070,3.22834600
3.08210518,-2.36220500,3.22834600
3.14610517,0.39370070,3.30708700
3.21010517,-4.72440900,3.22834600
3.27410517,-1.96850400,3.22834600
3.33810517,-1.57480300,3.30708700
3.40210517,-2.75590500,3.30708700
3.46610517,-3.14960600,3.30708700
3.53010516,0.00000000,3.22834600
3.59410516,-1.57480300,3.22834600
3.65810516,-4.72440900,3.30708700
3.72210516,-0.78740150,3.22834600
3.78610516,-3.54330700,3.22834600
3.85010515,-1.96850400,3.30708700
3.91410515,-2.36220500,3.22834600
3.97810515,3.54330700,3.22834600
4.04210515,-6.69291300,3.22834600
4.10610515,1.18110200,3.30708700
4.17010515,-2.75590500,3.30708700
4.23410514,-1.96850400,3.22834600
4.29810514,-6.69291300,3.22834600
4.36210514,2.36220500,3.22834600
4.42610514,-3.93700800,3.22834600
4.49010514,-1.96850400,3.30708700
4.55410513,-0.39370070,3.22834600
4.61810513,-3.54330700,3.30708700
4.68210513,-5.51181100,3.22834600
4.74610513,-3.14960600,3.30708700
4.81010513,-1.96850400,3.22834600
4.87410513,-9.05511800,3.30708700
4.93810512,-1.57480300,3.30708700
5.00210512,-3.14960600,3.22834600
5.06610512,-2.36220500,3.22834600
5.13010512,-5.51181100,3.22834600
5.19410512,1.96850400,3.30708700
5.25810511,-8.26771600,3.22834600
5.32210511,-1.57480300,3.22834600
5.38610511,-2.36220500,3.22834600
5.45010511,-1.96850400,3.22834600
5.51410511,-5.51181100,3.22834600
5.57810511,3.93700800,3.22834600
5.64210510,-3.54330700,3.22834600
5.70610510,-3.93700800,3.22834600
5.77010510,-0.39370070,3.22834600
5.83410510,-1.18110200,3.22834600
5.89810510,-4.72440900,3.30708700
5.96210509,-1.18110200,3.30708700
6.02610509,1.57480300,3.22834600
6.09010509,-7.48031400,3.30708700
6.15410509,2.75590500,3.30708700
6.21810509,-3.93700800,3.30708700
6.28210509,-3.54330700,3.22834600
6.34610508,-6.29921200,3.30708700
6.41010508,2.36220500,3.22834600
6.47410508,-5.90551100,3.22834600
6.53810508,0.39370070,3.30708700
6.60210508,0.00000000,3.30708700
6.66610507,-1.18110200,3.30708700
6.73010507,-3.54330700,3.22834600
6.79410507,0.00000000,3.30708700
6.85810507,-4.33070900,3.22834600
6.92210507,-3.93700800,3.30708700
6.98610507,-0.39370070,3.30708700
7.05010506,-1.18110200,3.30708700
7.11410506,-1.57480300,3.30708700
7.17810506,-3.14960600,3.30708700
7.24210506,-0.39370070,3.22834600
7.30610506,-5.11811000,3.22834600
7.37010505,-3.14960600,3.30708700
7.43410505,-5.90551100,3.30708700
7.49810505,-0.39370070,3.22834600
7.56210505,-7.48031400,3.30708700
7.62610505,0.00000000,3.30708700
7.69010505,-4.72440900,3.30708700
7.75410504,-2.75590500,3.30708700
7.81810504,-5.11811000,3.22834600
7.88210504,-1.18110200,3.22834600
7.94610504,-6.69291300,3.22834600
8.01010504,-3.54330700,3.22834600
8.07410503,0.78740150,3.22834600
8.13810503,-3.14960600,3.30708700
8.20210503,-1.18110200,3.22834600
8.26610503,-1.18110200,3.22834600
8.33010503,-1.96850400,3.22834600
8.39410503,-6.29921200,3.22834600
8.45810502,3.14960600,3.22834600
8.52210502,-4.72440900,3.30708700
8.58610502,-1.57480300,3.30708700
8.65010502,-0.39370070,3.30708700
8.71410502,0.39370070,3.30708700
8.77810502,-7.08661400,3.30708700
8.84210501,0.39370070,3.30708700
8.90610501,-4.33070900,3.30708700
8.97010501,-3.93700800,3.22834600
9.03410501,-3.14960600,3.30708700
9.09810501,0.39370070,3.22834600
9.16210500,-5.11811000,3.30708700
9.22610500,0.00000000,3.30708700
9.29010500,1.18110200,3.22834600
9.35410500,-5.11811000,3.30708700
9.41810500,-2.36220500,3.30708700
9.48210500,-1.57480300,3.30708700
9.54610499,-0.78740150,3.30708700
9.61010499,-5.90551100,3.30708700
9.67410499,4.72440900,3.30708700
9.73810499,-4.33070900,3.30708700
9.80210499,0.39370070,3.30708700
9.86610498,-1.96850400,3.30708700
9.93010498,0.39370070,3.30708700
9.99410498,-7.48031400,3.30708700
10.05810498,0.78740150,3.30708700
10.12210498,-1.96850400,3.30708700
10.18610498,-3.93700800,3.22834600
10.25010497,-2.75590500,3.30708700
10.31410497,-0.78740150,3.30708700
10.37810497,-7.08661400,3.22834600
10.44210497,-3.93700800,3.22834600
10.50610497,-1.18110200,3.30708700
10.57010496,-5.11811000,3.30708700
10.63410496,0.00000000,3.30708700
10.69810496,-0.39370070,3.30708700
10.76210496,-1.18110200,3.30708700
10.82610496,-5.11811000,3.30708700
10.89010496,3.14960600,3.30708700
10.95410495,-5.51181100,3.22834600
11.01810495,-1.18110200,3.30708700
11.08210495,-3.14960600,3.30708700
11.14610495,2.36220500,3.30708700
11.21010495,-3.14960600,3.22834600
11.27410494,2.75590500,3.30708700
11.33810494,-1.96850400,3.30708700
11.40210494,-2.36220500,3.30708700
11.46610494,-2.36220500,3.30708700
11.53010494,-1.18110200,3.30708700
11.59410494,-1.96850400,3.22834600
11.65810493,-4.33070900,3.30708700
11.72210493,1.18110200,3.30708700
11.78610493,-2.36220500,3.30708700
11.85010493,-1.18110200,3.30708700
11.91410493,-3.54330700,3.30708700
11.97810492,1.57480300,3.30708700
12.04210492,-5.90551100,3.30708700
12.10610492,0.00000000,3.30708700
12.17010492,-1.57480300,3.22834600
12.23410492,-1.57480300,3.30708700
12.29810492,-4.33070900,3.30708700
12.36210491,3.93700800,3.30708700
12.42610491,-4.33070900,3.30708700
12.49010491,-3.93700800,3.30708700
12.55410491,-0.39370070,3.30708700
12.61810491,-1.18110200,3.30708700
12.68210490,-6.29921200,3.30708700
12.74610490,-0.39370070,3.30708700
12.81010490,-1.57480300,3.30708700
12.87410490,-9.05511800,3.30708700
12.93810490,-1.18110200,3.22834600
13.00210490,-6.69291300,3.30708700
13.06610489,-7.48031400,3.30708700
13.13010489,-6.69291300,3.30708700
13.19410489,1.96850400,3.30708700
13.25810489,-10.62992000,3.22834600
13.32210489,-1.18110200,3.30708700
13.38610488,-2.75590500,3.22834600
13.45010488,-5.90551100,3.22834600
13.51410488,-6.69291300,3.22834600
13.57810488,-0.78740150,3.22834600
13.64210488,-6.69291300,3.30708700
13.70610488,-4.72440900,3.30708700
13.77010487,-0.78740150,3.22834600
13.83410487,-3.54330700,3.30708700
13.89810487,-5.90551100,3.22834600
13.96210487,-3.54330700,3.30708700
14.02610487,-3.54330700,3.22834600
14.09010486,-9.84251900,3.30708700
14.15410486,-3.54330700,3.30708700
14.21810486,-5.11811000,3.30708700
14.28210486,-4.33070900,3.30708700
14.34610486,-6.69291300,3.30708700
14.41010486,-0.78740150,3.30708700
14.47410485,-10.23622000,3.30708700
14.53810485,-4.33070900,3.30708700
14.60210485,-4.33070900,3.30708700
14.66610485,-3.14960600,3.30708700
14.73010485,-8.66141700,3.30708700
14.79410484,-0.78740150,3.22834600
14.85810484,-5.11811000,3.22834600
14.92210484,-7.08661400,3.30708700
14.98610484,-3.93700800,3.30708700
15.05010484,-5.51181100,3.30708700
15.11410484,-6.29921200,3.30708700
15.17810483,-6.29921200,3.30708700
15.24210483,-1.57480300,3.30708700
15.30610483,-8.66141700,3.30708700
15.37010483,-3.93700800,3.30708700
15.43410483,-7.08661400,3.30708700
15.49810482,-5.11811000,3.22834600
15.56210482,-11.81102000,3.30708700
15.62610482,-5.51181100,3.30708700
15.69010482,-9.84251900,3.30708700
15.75410482,-6.69291300,3.30708700
15.81810482,-9.05511800,3.22834600
15.88210481,-4.33070900,3.30708700
15.94610481,-9.84251900,3.22834600
16.01010481,-5.90551100,3.22834600
16.07410481,-5.51181100,3.30708700
16.13810481,-9.84251900,3.30708700
16.20210481,-8.26771600,3.30708700
16.26610480,-4.72440900,3.22834600
16.33010480,-4.33070900,3.30708700
16.39410480,-9.44881800,3.30708700
16.45810480,-1.57480300,3.22834600
16.52210480,-8.26771600,3.30708700
16.58610479,-5.51181100,3.30708700
16.65010479,-7.08661400,3.30708700
16.71410479,-1.96850400,3.30708700
16.77810479,-11.41732000,3.30708700
16.84210479,-1.57480300,3.30708700
16.90610479,-5.51181100,3.30708700
16.97010478,-8.26771600,3.30708700
17.03410478,-7.87401500,3.30708700
17.09810478,-3.54330700,3.30708700
17.16210478,-10.23622000,3.30708700
17.22610478,-6.29921200,3.30708700
17.29010477,-1.57480300,3.30708700
17.35410477,-7.48031400,3.30708700
17.41810477,-4.33070900,3.30708700
17.48210477,-3.54330700,3.30708700
17.54610477,-7.08661400,3.30708700
17.61010477,-9.84251900,3.30708700
17.67410476,-1.18110200,3.22834600
17.73810476,-8.66141700,3.30708700
17.80210476,-4.72440900,3.30708700
17.86610476,-5.11811000,3.30708700
17.93010476,-1.57480300,3.30708700
17.99410475,-10.62992000,3.30708700
18.05810475,-2.75590500,3.30708700
18.12210475,-10.23622000,3.30708700
18.18610475,-8.26771600,3.30708700
18.25010475,-8.66141700,3.30708700
18.31410475,-5.51181100,3.30708700
18.37810474,-9.44881800,3.30708700
18.44210474,-8.66141700,3.30708700
18.50610474,-4.72440900,3.30708700
18.57010474,-10.23622000,3.22834600
18.63410474,-7.48031400,3.22834600
18.69810473,-8.26771600,3.30708700
18.76210473,-5.11811000,3.30708700
18.82610473,-9.84251900,3.22834600
18.89010473,-1.57480300,3.22834600
18.95410473,-8.26771600,3.30708700
19.01810473,-5.11811000,3.30708700
19.08210472,-6.29921200,3.30708700
19.14610472,-2.75590500,3.22834600
19.21010472,-9.05511800,3.30708700
19.27410472,-3.93700800,3.30708700
19.33810472,-3.93700800,3.30708700
19.40210471,-4.72440900,3.30708700
19.46610471,-5.90551100,3.30708700
19.53010471,-4.33070900,3.30708700
19.59410471,-7.08661400,3.30708700
19.65810471,-9.05511800,3.30708700
19.72210471,-4.33070900,3.30708700
19.78610470,-8.26771600,3.30708700
19.85010470,-5.51181100,3.22834600
19.91410470,-5.90551100,3.30708700
19.97810470,0.39370070,3.30708700
20.04210470,-9.44881800,3.30708700
20.10610469,-2.36220500,3.30708700
20.17010469,-7.48031400,3.30708700
20.23410469,-4.72440900,3.30708700
20.29810469,-9.05511800,3.22834600
20.36210469,-2.36220500,3.30708700
20.42610469,-7.08661400,3.30708700
20.49010468,-6.29921200,3.30708700
20.55410468,-2.36220500,3.22834600
20.61810468,-5.11811000,3.30708700
20.68210468,-9.05511800,3.30708700
20.74610468,-7.08661400,3.30708700
20.81010467,-3.93700800,3.30708700
20.87410467,-11.02362000,3.22834600
20.93810467,-4.72440900,3.30708700
21.00210467,-6.69291300,3.30708700
21.06610467,-9.05511800,3.30708700
21.13010467,-10.62992000,3.30708700
21.19410466,-2.75590500,3.30708700
21.25810466,-12.59842000,3.30708700
21.32210466,-5.51181100,3.30708700
21.38610466,-4.33070900,3.30708700
21.45010466,-5.51181100,3.22834600
21.51410465,-9.84251900,3.30708700
21.57810465,-0.78740150,3.22834600
21.64210465,-8.66141700,3.30708700
21.70610465,-8.26771600,3.30708700
