Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-2.36220500,0.00000000
0.03746341,-8.26771600,3.22834600
0.10146341,-5.90551100,3.22834600
0.16546341,-11.02362000,3.30708700
0.22946341,-5.51181100,3.22834600
0.29346341,-9.05511800,3.22834600
0.35746340,-7.08661400,3.22834600
0.42146340,-7.48031400,3.30708700
0.48546340,-2.36220500,3.22834600
0.54946340,-9.05511800,3.22834600
0.61346340,-4.33070900,3.22834600
0.67746340,-5.11811000,3.22834600
0.74146339,-6.29921200,3.22834600
0.80546339,-6.29921200,3.22834600
0.86946339,0.00000000,3.22834600
0.93346339,-5.11811000,3.22834600
0.99746339,-5.90551100,3.22834600
1.06146339,1.18110200,3.22834600
1.12546338,-5.90551100,3.22834600
1.18946338,-3.93700800,3.22834600
1.25346338,-2.75590500,3.22834600
1.31746338,0.39370070,3.22834600
1.38146338,-8.26771600,3.22834600
1.44546337,0.78740150,3.22834600
1.50946337,-5.51181100,3.22834600
1.57346337,-5.51181100,3.22834600
1.63746337,-5.11811000,3.22834600
1.70146337,-0.78740150,3.22834600
1.76546337,-7.08661400,3.22834600
1.82946336,-1.57480300,3.22834600
1.89346336,1.96850400,3.22834600
1.95746336,-1.18110200,3.22834600
2.02146336,0.00000000,3.30708700
2.08546336,2.36220500,3.30708700
2.14946335,-0.39370070,3.22834600
2.21346335,-3.54330700,3.22834600
2.27746335,1.18110200,3.22834600
2.34146335,-2.36220500,3.22834600
2.40546335,0.00000000,3.22834600
2.46946335,-1.18110200,3.30708700
2.53346334,3.93700800,3.30708700
2.59746334,-4.72440900,3.30708700
2.66146334,0.39370070,3.22834600
2.72546334,-2.75590500,3.22834600
2.78946334,-3.54330700,3.22834600
2.85346333,-5.90551100,3.22834600
2.91746333,-0.39370070,3.30708700
2.98146333,-3.93700800,3.22834600
3.04546333,-4.33070900,3.22834600
3.10946333,-1.57480300,3.22834600
3.17346333,-6.69291300,3.22834600
3.23746332,-3.93700800,3.22834600
3.30146332,-1.96850400,3.30708700
3.36546332,-0.39370070,3.30708700
3.42946332,-4.72440900,3.22834600
3.49346332,0.39370070,3.22834600
3.55746331,-2.36220500,3.22834600
3.62146331,-1.96850400,3.22834600
3.68546331,-4.33070900,3.22834600
3.74946331,-0.39370070,3.22834600
3.81346331,-4.72440900,3.22834600
3.87746331,0.78740150,3.22834600
3.94146330,-1.57480300,3.22834600
4.00546330,-0.39370070,3.30708700
4.06946330,-4.72440900,3.22834600
4.13346330,-1.96850400,3.30708700
4.19746330,-5.51181100,3.22834600
4.26146329,-6.69291300,3.30708700
4.32546329,-3.93700800,3.22834600
4.38946329,-2.36220500,3.30708700
4.45346329,-2.75590500,3.22834600
4.51746329,-3.93700800,3.30708700
4.58146329,2.36220500,3.30708700
4.64546328,-6.29921200,3.22834600
4.70946328,-0.39370070,3.30708700
4.77346328,-1.96850400,3.30708700
4.83746328,-1.18110200,3.30708700
4.90146328,-6.29921200,3.30708700
4.96546327,3.54330700,3.30708700
5.02946327,-3.93700800,3.22834600
5.09346327,-4.33070900,3.30708700
5.15746327,-0.78740150,3.22834600
5.22146327,-1.96850400,3.30708700
5.28546327,-7.08661400,3.30708700
5.34946326,-1.18110200,3.30708700
5.41346326,-3.54330700,3.22834600
5.47746326,-7.87401500,3.30708700
5.54146326,-2.36220500,3.30708700
5.60546326,-5.11811000,3.22834600
5.66946325,-7.87401500,3.22834600
5.73346325,-7.87401500,3.30708700
5.79746325,-1.96850400,3.30708700
5.86146325,-9.44881800,3.22834600
5.92546325,-1.18110200,3.30708700
5.98946325,-3.93700800,3.22834600
6.05346324,-1.57480300,3.22834600
6.11746324,-6.29921200,3.22834600
6.18146324,0.78740150,3.30708700
6.24546324,-6.69291300,3.22834600
6.30946324,-4.72440900,3.30708700
6.37346323,-2.36220500,3.30708700
6.43746323,-1.57480300,3.30708700
6.50146323,-2.75590500,3.30708700
6.56546323,-2.36220500,3.22834600
6.62946323,0.39370070,3.30708700
6.69346323,-5.90551100,3.30708700
6.75746322,-4.33070900,3.30708700
6.82146322,-5.51181100,3.30708700
6.88546322,-3.93700800,3.30708700
6.94946322,-7.48031400,3.30708700
7.01346322,0.39370070,3.30708700
7.07746321,-5.51181100,3.30708700
7.14146321,-3.14960600,3.30708700
7.20546321,-4.33070900,3.22834600
7.26946321,-0.39370070,3.30708700
7.33346321,-7.08661400,3.22834600
7.39746321,-0.39370070,3.30708700
7.46146320,0.00000000,3.30708700
7.52546320,-2.75590500,3.22834600
7.58946320,-3.14960600,3.30708700
7.65346320,-1.18110200,3.30708700
7.71746320,-3.93700800,3.30708700
7.78146319,-5.51181100,3.30708700
7.84546319,0.39370070,3.22834600
7.90946319,-5.90551100,3.30708700
7.97346319,-1.96850400,3.30708700
8.03746319,-3.93700800,3.30708700
8.10146319,-0.39370070,3.30708700
8.16546318,-9.84251900,3.22834600
8.22946318,-3.14960600,3.30708700
8.29346318,-7.48031400,3.30708700
8.35746318,-6.69291300,3.30708700
8.42146318,-7.87401500,3.30708700
8.48546318,-2.36220500,3.30708700
8.54946317,-5.51181100,3.30708700
8.61346317,-3.93700800,3.30708700
8.67746317,-1.96850400,3.30708700
8.74146317,-6.29921200,3.22834600
8.80546317,-5.90551100,3.30708700
8.86946316,-3.14960600,3.22834600
8.93346316,-3.54330700,3.22834600
8.99746316,-7.48031400,3.30708700
9.06146316,0.39370070,3.30708700
9.12546316,-3.93700800,3.30708700
9.18946316,-3.14960600,3.30708700
9.25346315,-3.93700800,3.30708700
9.31746315,-0.39370070,3.30708700
9.38146315,-8.26771600,3.30708700
9.44546315,0.78740150,3.30708700
9.50946315,-2.75590500,3.30708700
9.57346314,-3.93700800,3.30708700
9.63746314,-3.14960600,3.22834600
9.70146314,1.18110200,3.30708700
9.76546314,-4.72440900,3.30708700
9.82946314,-2.36220500,3.30708700
9.89346314,1.96850400,3.30708700
9.95746313,-3.54330700,3.30708700
10.02146313,1.57480300,3.30708700
10.08546313,1.18110200,3.30708700
10.14946313,1.18110200,3.30708700
10.21346313,-3.14960600,3.30708700
10.27746312,1.96850400,3.30708700
10.34146312,-3.93700800,3.22834600
10.40546312,-1.18110200,3.30708700
10.46946312,-2.36220500,3.30708700
10.53346312,1.96850400,3.30708700
10.59746312,-3.54330700,3.30708700
10.66146311,0.00000000,3.30708700
10.72546311,-3.54330700,3.30708700
10.78946311,-2.75590500,3.30708700
10.85346311,-7.08661400,3.30708700
10.91746311,-3.14960600,3.30708700
10.98146310,-5.11811000,3.30708700
11.04546310,-6.29921200,3.30708700
11.10946310,-1.18110200,3.22834600
11.17346310,-3.54330700,3.30708700
11.23746310,-4.33070900,3.30708700
11.30146310,-5.90551100,3.30708700
11.36546309,1.57480300,3.22834600
11.42946309,-6.69291300,3.22834600
11.49346309,-1.18110200,3.30708700
11.55746309,-2.36220500,3.30708700
11.62146309,-1.96850400,3.30708700
11.68546308,-5.11811000,3.30708700
11.74946308,1.96850400,3.30708700
11.81346308,-5.51181100,3.30708700
11.87746308,-4.33070900,3.30708700
11.94146308,-0.39370070,3.30708700
12.00546308,-1.96850400,3.30708700
12.06946307,-4.72440900,3.30708700
12.13346307,-0.78740150,3.30708700
12.19746307,-2.75590500,3.30708700
12.26146307,-7.48031400,3.30708700
12.32546307,-2.36220500,3.30708700
12.38946306,-4.72440900,3.30708700
12.45346306,-4.72440900,3.30708700
12.51746306,-4.33070900,3.30708700
12.58146306,3.14960600,3.30708700
12.64546306,-5.11811000,3.30708700
12.70946306,-0.78740150,3.30708700
12.77346305,-1.57480300,3.30708700
12.83746305,0.00000000,3.30708700
12.90146305,-7.87401500,3.30708700
12.96546305,0.39370070,3.30708700
13.02946305,-4.33070900,3.30708700
13.09346304,-5.51181100,3.30708700
13.15746304,-1.57480300,3.30708700
13.22146304,-3.14960600,3.30708700
13.28546304,-7.08661400,3.30708700
13.34946304,-5.90551100,3.30708700
13.41346304,-2.75590500,3.22834600
13.47746303,-11.81102000,3.30708700
13.54146303,-6.29921200,3.30708700
13.60546303,-7.08661400,3.30708700
13.66946303,-7.87401500,3.30708700
13.73346303,-9.84251900,3.30708700
13.79746302,-4.72440900,3.30708700
13.86146302,-14.17323000,3.30708700
13.92546302,-7.87401500,3.30708700
13.98946302,-8.26771600,3.30708700
14.05346302,-7.08661400,3.22834600
14.11746302,-8.26771600,3.30708700
14.18146301,-3.54330700,3.30708700
14.24546301,-6.69291300,3.30708700
14.30946301,-7.08661400,3.22834600
14.37346301,-6.29921200,3.30708700
14.43746301,-5.90551100,3.30708700
14.50146300,-5.11811000,3.22834600
14.56546300,-5.90551100,3.30708700
14.62946300,-1.96850400,3.30708700
14.69346300,-7.08661400,3.30708700
14.75746300,-3.93700800,3.30708700
14.82146300,-8.66141700,3.30708700
14.88546299,-5.51181100,3.30708700
14.94946299,-11.81102000,3.30708700
15.01346299,-3.54330700,3.30708700
15.07746299,-7.08661400,3.30708700
15.14146299,-5.51181100,3.30708700
15.20546299,-5.51181100,3.30708700
15.26946298,-3.14960600,3.30708700
15.33346298,-6.69291300,3.30708700
15.39746298,-5.51181100,3.30708700
15.46146298,-2.75590500,3.30708700
15.52546298,-7.08661400,3.30708700
15.58946297,-5.11811000,3.30708700
15.65346297,-2.75590500,3.30708700
15.71746297,-5.51181100,3.30708700
15.78146297,-9.84251900,3.30708700
15.84546297,-1.96850400,3.30708700
15.90946297,-9.05511800,3.30708700
15.97346296,-7.08661400,3.30708700
16.03746296,-7.08661400,3.30708700
16.10146296,-4.33070900,3.30708700
16.16546296,-12.99213000,3.30708700
16.22946296,-4.72440900,3.30708700
16.29346295,-10.62992000,3.30708700
16.35746295,-11.41732000,3.30708700
16.42146295,-9.44881800,3.30708700
16.48546295,-6.69291300,3.30708700
16.54946295,-10.62992000,3.30708700
16.61346295,-7.87401500,3.30708700
16.67746294,-3.14960600,3.22834600
16.74146294,-9.05511800,3.30708700
16.80546294,-5.90551100,3.30708700
16.86946294,-6.69291300,3.30708700
16.93346294,-5.90551100,3.22834600
16.99746293,-10.62992000,3.30708700
17.06146293,-1.96850400,3.22834600
17.12546293,-7.08661400,3.30708700
17.18946293,-6.29921200,3.22834600
17.25346293,-5.51181100,3.30708700
17.31746293,-2.36220500,3.30708700
17.38146292,-10.23622000,3.22834600
17.44546292,-5.11811000,3.30708700
17.50946292,-5.90551100,3.30708700
17.57346292,-7.87401500,3.30708700
17.63746292,-8.26771600,3.30708700
17.70146291,-3.14960600,3.30708700
17.76546291,-8.26771600,3.22834600
17.82946291,-9.05511800,3.30708700
17.89346291,-2.75590500,3.30708700
17.95746291,-9.44881800,3.30708700
18.02146291,-6.29921200,3.30708700
18.08546290,-6.29921200,3.30708700
18.14946290,-1.96850400,3.30708700
18.21346290,-9.44881800,3.30708700
18.27746290,-2.36220500,3.30708700
18.34146290,-8.26771600,3.30708700
18.40546289,-6.69291300,3.30708700
18.46946289,-9.44881800,3.30708700
18.53346289,-4.72440900,3.30708700
18.59746289,-8.26771600,3.30708700
18.66146289,-7.48031400,3.30708700
18.72546289,-5.11811000,3.30708700
18.78946288,-7.48031400,3.30708700
18.85346288,-10.23622000,3.30708700
18.91746288,-10.23622000,3.30708700
18.98146288,-7.08661400,3.30708700
19.04546288,-12.20472000,3.30708700
19.10946287,-7.48031400,3.30708700
19.17346287,-8.26771600,3.30708700
19.23746287,-7.08661400,3.22834600
19.30146287,-11.41732000,3.30708700
19.36546287,-2.75590500,3.22834600
19.42946287,-12.59842000,3.30708700
19.49346286,-7.08661400,3.30708700
19.55746286,-7.08661400,3.30708700
19.62146286,-4.72440900,3.30708700
19.68546286,-10.23622000,3.30708700
19.74946286,-2.36220500,3.30708700
19.81346285,-5.90551100,3.22834600
19.87746285,-7.87401500,3.30708700
19.94146285,-3.54330700,3.30708700
20.00546285,-6.69291300,3.30708700
20.06946285,-7.87401500,3.30708700
20.13346285,-5.90551100,3.30708700
20.19746284,-2.75590500,3.30708700
20.26146284,-12.20472000,3.30708700
20.32546284,-5.11811000,3.30708700
20.38946284,-8.26771600,3.30708700
20.45346284,-9.84251900,3.30708700
20.51746283,-10.23622000,3.30708700
20.58146283,-3.93700800,3.30708700
20.64546283,-10.23622000,3.30708700
20.70946283,-4.72440900,3.30708700
20.77346283,-5.11811000,3.30708700
20.83746283,-6.29921200,3.30708700
20.90146282,-8.26771600,3.30708700
20.96546282,-5.11811000,3.30708700
21.02946282,-7.87401500,3.30708700
21.09346282,-9.84251900,3.30708700
21.15746282,-6.69291300,3.30708700
21.22146281,-6.29921200,3.30708700
21.28546281,-5.90551100,3.30708700
21.34946281,-7.87401500,3.30708700
21.41346281,-2.75590500,3.30708700
21.47746281,-11.02362000,3.30708700
21.54146281,-6.29921200,3.30708700
21.60546280,-9.84251900,3.30708700
21.66946280,-6.69291300,3.30708700
