Time,Channel A,Channel B
(us),(mV),(V)

-0.02461538,-Infinity,0.15748030
0.03938462,-35.82677000,3.22834600
0.10338461,-32.67717000,3.30708700
0.16738461,-31.88976000,3.22834600
0.23138461,-40.94488000,3.22834600
0.29538461,-35.43307000,3.22834600
0.35938461,-34.64567000,3.30708700
0.42338460,-29.13386000,3.22834600
0.48738460,-29.92126000,3.30708700
0.55138460,-22.83464000,3.30708700
0.61538460,-29.92126000,3.30708700
0.67938460,-29.52756000,3.22834600
0.74338460,-27.95275000,3.22834600
0.80738459,-30.70866000,3.30708700
0.87138459,-29.13386000,3.22834600
0.93538459,-26.77165000,3.30708700
0.99938459,-23.22835000,3.22834600
1.06338459,-28.34645000,3.22834600
1.12738458,-25.59055000,3.30708700
1.19138458,-25.59055000,3.22834600
1.25538458,-29.52756000,3.22834600
1.31938458,-25.59055000,3.30708700
1.38338458,-24.80315000,3.30708700
1.44738458,-26.77165000,3.30708700
1.51138457,-25.19685000,3.22834600
1.57538457,-20.86614000,3.30708700
1.63938457,-24.40945000,3.22834600
1.70338457,-27.55905000,3.30708700
1.76738457,-19.68504000,3.22834600
1.83138456,-25.59055000,3.30708700
1.89538456,-23.62205000,3.22834600
1.95938456,-21.25984000,3.30708700
2.02338456,-19.68504000,3.30708700
2.08738456,-20.47244000,3.30708700
2.15138456,-20.47244000,3.22834600
2.21538455,-23.62205000,3.30708700
2.27938455,-29.13386000,3.22834600
2.34338455,-27.55905000,3.30708700
2.40738455,-29.92126000,3.30708700
2.47138455,-27.16535000,3.30708700
2.53538454,-31.49606000,3.30708700
2.59938454,-27.95275000,3.30708700
2.66338454,-30.31496000,3.22834600
2.72738454,-34.25197000,3.30708700
2.79138454,-34.25197000,3.22834600
2.85538454,-27.55905000,3.22834600
2.91938453,-33.46457000,3.22834600
2.98338453,-29.52756000,3.22834600
3.04738453,-31.10236000,3.22834600
3.11138453,-28.74015000,3.22834600
3.17538453,-31.49606000,3.30708700
3.23938452,-25.59055000,3.22834600
3.30338452,-27.95275000,3.30708700
3.36738452,-29.92126000,3.30708700
3.43138452,-23.62205000,3.30708700
3.49538452,-26.77165000,3.30708700
3.55938452,-24.80315000,3.30708700
3.62338451,-22.44094000,3.30708700
3.68738451,-24.01575000,3.30708700
3.75138451,-31.10236000,3.30708700
3.81538451,-21.65354000,3.30708700
3.87938451,-29.52756000,3.30708700
3.94338450,-24.80315000,3.30708700
4.00738450,-26.77165000,3.30708700
4.07138450,-20.86614000,3.30708700
4.13538450,-26.77165000,3.30708700
4.19938450,-23.62205000,3.30708700
4.26338450,-22.44094000,3.30708700
4.32738449,-27.55905000,3.30708700
4.39138449,-23.22835000,3.30708700
4.45538449,-25.59055000,3.30708700
4.51938449,-24.01575000,3.30708700
4.58338449,-24.40945000,3.30708700
4.64738448,-20.86614000,3.30708700
4.71138448,-23.62205000,3.30708700
4.77538448,-23.62205000,3.30708700
4.83938448,-25.59055000,3.30708700
4.90338448,-26.37795000,3.30708700
4.96738448,-31.49606000,3.30708700
5.03138447,-27.16535000,3.30708700
5.09538447,-29.92126000,3.30708700
5.15938447,-28.34645000,3.30708700
5.22338447,-31.49606000,3.30708700
5.28738447,-30.31496000,3.30708700
5.35138446,-39.37008000,3.30708700
5.41538446,-35.43307000,3.30708700
5.47938446,-29.92126000,3.22834600
5.54338446,-33.85827000,3.30708700
5.60738446,-31.49606000,3.30708700
5.67138446,-33.85827000,3.30708700
5.73538445,-29.92126000,3.30708700
5.79938445,-34.64567000,3.30708700
5.86338445,-29.52756000,3.30708700
5.92738445,-31.10236000,3.30708700
5.99138445,-30.31496000,3.30708700
6.05538444,-26.37795000,3.30708700
6.11938444,-24.80315000,3.30708700
6.18338444,-27.16535000,3.30708700
6.24738444,-23.22835000,3.30708700
6.31138444,-26.37795000,3.30708700
6.37538444,-28.34645000,3.30708700
6.43938443,-29.13386000,3.30708700
6.50338443,-25.98425000,3.30708700
6.56738443,-27.16535000,3.30708700
6.63138443,-27.16535000,3.30708700
6.69538443,-23.22835000,3.30708700
6.75938442,-25.19685000,3.30708700
6.82338442,-28.74015000,3.30708700
6.88738442,-24.40945000,3.30708700
6.95138442,-25.59055000,3.30708700
7.01538442,-27.55905000,3.30708700
7.07938442,-25.98425000,3.30708700
7.14338441,-23.22835000,3.30708700
7.20738441,-24.40945000,3.30708700
7.27138441,-25.59055000,3.30708700
7.33538441,-19.29134000,3.30708700
7.39938441,-29.13386000,3.30708700
7.46338441,-25.59055000,3.30708700
7.52738440,-24.40945000,3.30708700
7.59138440,-27.95275000,3.30708700
7.65538440,-31.10236000,3.30708700
7.71938440,-23.62205000,3.30708700
7.78338440,-28.74015000,3.30708700
7.84738439,-32.67717000,3.30708700
7.91138439,-31.49606000,3.30708700
7.97538439,-35.43307000,3.30708700
8.03938439,-38.97638000,3.22834600
8.10338439,-29.13386000,3.30708700
8.16738439,-30.70866000,3.30708700
8.23138438,-34.25197000,3.30708700
8.29538438,-33.46457000,3.30708700
8.35938438,-32.28346000,3.30708700
8.42338438,-36.22047000,3.22834600
8.48738438,-34.64567000,3.30708700
8.55138437,-26.37795000,3.30708700
8.61538437,-33.07087000,3.30708700
8.67938437,-25.98425000,3.30708700
8.74338437,-28.74015000,3.30708700
8.80738437,-27.16535000,3.30708700
8.87138437,-27.55905000,3.30708700
8.93538436,-26.37795000,3.30708700
8.99938436,-31.10236000,3.30708700
9.06338436,-31.49606000,3.30708700
9.12738436,-27.16535000,3.30708700
9.19138436,-26.37795000,3.30708700
9.25538435,-26.37795000,3.30708700
9.31938435,-25.19685000,3.30708700
9.38338435,-23.22835000,3.30708700
9.44738435,-26.77165000,3.30708700
9.51138435,-24.40945000,3.30708700
9.57538435,-24.01575000,3.30708700
9.63938434,-24.80315000,3.30708700
9.70338434,-24.01575000,3.30708700
9.76738434,-18.11024000,3.30708700
9.83138434,-22.83464000,3.30708700
9.89538434,-20.86614000,3.30708700
9.95938433,-22.44094000,3.30708700
10.02338433,-20.47244000,3.30708700
10.08738433,-27.95275000,3.30708700
10.15138433,-22.04724000,3.30708700
10.21538433,-23.22835000,3.30708700
10.27938433,-25.19685000,3.30708700
10.34338432,-24.01575000,3.30708700
10.40738432,-26.37795000,3.30708700
10.47138432,-30.70866000,3.30708700
10.53538432,-33.07087000,3.30708700
10.59938432,-29.92126000,3.30708700
10.66338431,-33.85827000,3.30708700
10.72738431,-31.10236000,3.30708700
10.79138431,-29.52756000,3.30708700
10.85538431,-28.34645000,3.30708700
10.91938431,-32.67717000,3.30708700
10.98338431,-30.31496000,3.22834600
11.04738430,-32.28346000,3.30708700
11.11138430,-35.03937000,3.30708700
11.17538430,-32.67717000,3.30708700
11.23938430,-27.16535000,3.30708700
11.30338430,-31.49606000,3.30708700
11.36738429,-25.19685000,3.30708700
11.43138429,-24.80315000,3.30708700
11.49538429,-29.13386000,3.30708700
11.55938429,-29.92126000,3.30708700
11.62338429,-26.77165000,3.30708700
11.68738429,-27.55905000,3.30708700
11.75138428,-28.34645000,3.30708700
11.81538428,-22.83464000,3.30708700
11.87938428,-26.37795000,3.30708700
11.94338428,-25.98425000,3.30708700
12.00738428,-26.37795000,3.30708700
12.07138427,-25.19685000,3.30708700
12.13538427,-31.10236000,3.30708700
12.19938427,-23.22835000,3.30708700
12.26338427,-24.01575000,3.30708700
12.32738427,-24.40945000,3.30708700
12.39138427,-23.22835000,3.30708700
12.45538426,-22.04724000,3.30708700
12.51938426,-28.34645000,3.30708700
12.58338426,-21.65354000,3.30708700
12.64738426,-23.22835000,3.30708700
12.71138426,-28.74015000,3.30708700
12.77538425,-24.80315000,3.30708700
12.83938425,-21.25984000,3.30708700
12.90338425,-26.37795000,3.30708700
12.96738425,-27.55905000,3.30708700
13.03138425,-27.16535000,3.30708700
13.09538425,-34.25197000,3.30708700
13.15938424,-31.49606000,3.30708700
13.22338424,-35.82677000,3.30708700
13.28738424,-34.25197000,3.30708700
13.35138424,-36.22047000,3.30708700
13.41538424,-31.49606000,3.30708700
13.47938423,-37.79527000,3.30708700
13.54338423,-38.58267000,3.30708700
13.60738423,-37.79527000,3.30708700
13.67138423,-37.00787000,3.30708700
13.73538423,-41.33858000,3.30708700
13.79938423,-37.40157000,3.30708700
13.86338422,-39.37008000,3.30708700
13.92738422,-34.64567000,3.30708700
13.99138422,-33.46457000,3.30708700
14.05538422,-32.28346000,3.30708700
14.11938422,-30.70866000,3.30708700
14.18338421,-35.03937000,3.30708700
14.24738421,-27.16535000,3.30708700
14.31138421,-27.55905000,3.30708700
14.37538421,-28.74015000,3.30708700
14.43938421,-25.59055000,3.30708700
14.50338421,-24.40945000,3.30708700
14.56738420,-31.88976000,3.30708700
14.63138420,-28.74015000,3.30708700
14.69538420,-28.74015000,3.30708700
14.75938420,-31.88976000,3.30708700
14.82338420,-30.31496000,3.30708700
14.88738420,-25.59055000,3.30708700
14.95138419,-27.95275000,3.30708700
15.01538419,-25.98425000,3.30708700
15.07938419,-25.59055000,3.30708700
15.14338419,-29.52756000,3.30708700
15.20738419,-26.77165000,3.30708700
15.27138418,-28.74015000,3.30708700
15.33538418,-24.80315000,3.30708700
15.39938418,-29.13386000,3.30708700
15.46338418,-24.01575000,3.30708700
15.52738418,-25.98425000,3.30708700
15.59138418,-29.13386000,3.30708700
15.65538417,-30.31496000,3.30708700
15.71938417,-29.13386000,3.30708700
15.78338417,-35.43307000,3.30708700
15.84738417,-33.07087000,3.30708700
15.91138417,-32.67717000,3.30708700
15.97538416,-34.25197000,3.30708700
16.03938416,-36.61417000,3.30708700
16.10338416,-34.25197000,3.30708700
16.16738416,-39.76377000,3.30708700
16.23138416,-42.91338000,3.30708700
16.29538416,-36.22047000,3.30708700
16.35938415,-37.79527000,3.30708700
16.42338415,-36.61417000,3.30708700
16.48738415,-31.10236000,3.30708700
16.55138415,-31.10236000,3.30708700
16.61538415,-36.22047000,3.30708700
16.67938414,-30.31496000,3.30708700
16.74338414,-32.28346000,3.30708700
16.80738414,-32.67717000,3.30708700
16.87138414,-31.10236000,3.30708700
16.93538414,-25.19685000,3.30708700
16.99938414,-31.10236000,3.30708700
17.06338413,-25.19685000,3.30708700
17.12738413,-27.95275000,3.30708700
17.19138413,-31.88976000,3.30708700
17.25538413,-31.88976000,3.30708700
17.31938413,-28.34645000,3.30708700
17.38338412,-29.13386000,3.30708700
17.44738412,-29.52756000,3.30708700
17.51138412,-25.19685000,3.30708700
17.57538412,-24.80315000,3.30708700
17.63938412,-29.13386000,3.30708700
17.70338412,-26.77165000,3.30708700
17.76738411,-30.31496000,3.30708700
17.83138411,-30.31496000,3.30708700
17.89538411,-22.83464000,3.30708700
17.95938411,-28.74015000,3.30708700
18.02338411,-24.01575000,3.30708700
18.08738410,-29.13386000,3.30708700
18.15138410,-26.37795000,3.30708700
18.21538410,-29.13386000,3.30708700
18.27938410,-29.52756000,3.30708700
18.34338410,-31.49606000,3.30708700
18.40738410,-31.49606000,3.30708700
18.47138409,-31.49606000,3.30708700
18.53538409,-31.49606000,3.30708700
18.59938409,-32.67717000,3.30708700
18.66338409,-37.00787000,3.30708700
18.72738409,-35.43307000,3.30708700
18.79138408,-36.61417000,3.30708700
18.85538408,-37.40157000,3.30708700
18.91938408,-37.79527000,3.30708700
18.98338408,-32.28346000,3.30708700
19.04738408,-37.79527000,3.30708700
19.11138408,-31.49606000,3.30708700
19.17538407,-34.25197000,3.30708700
19.23938407,-35.43307000,3.30708700
19.30338407,-37.79527000,3.30708700
19.36738407,-29.92126000,3.30708700
19.43138407,-37.00787000,3.30708700
19.49538406,-31.49606000,3.30708700
19.55938406,-27.16535000,3.30708700
19.62338406,-27.95275000,3.30708700
19.68738406,-29.52756000,3.30708700
19.75138406,-26.37795000,3.30708700
19.81538406,-28.34645000,3.30708700
19.87938405,-31.88976000,3.30708700
19.94338405,-25.19685000,3.30708700
20.00738405,-31.10236000,3.30708700
20.07138405,-25.19685000,3.30708700
20.13538405,-28.74015000,3.30708700
20.19938404,-24.40945000,3.30708700
20.26338404,-30.31496000,3.30708700
20.32738404,-30.31496000,3.30708700
20.39138404,-26.77165000,3.30708700
20.45538404,-31.49606000,3.30708700
20.51938404,-27.95275000,3.30708700
20.58338403,-22.83464000,3.30708700
20.64738403,-29.52756000,3.30708700
20.71138403,-26.77165000,3.30708700
20.77538403,-27.95275000,3.30708700
20.83938403,-30.31496000,3.30708700
20.90338402,-28.74015000,3.30708700
20.96738402,-28.34645000,3.30708700
21.03138402,-27.55905000,3.30708700
21.09538402,-32.67717000,3.30708700
21.15938402,-28.34645000,3.30708700
21.22338402,-32.67717000,3.30708700
21.28738401,-32.28346000,3.30708700
21.35138401,-35.82677000,3.30708700
21.41538401,-32.28346000,3.30708700
21.47938401,-38.97638000,3.30708700
21.54338401,-34.64567000,3.30708700
21.60738401,-32.67717000,3.30708700
