Time,Channel A,Channel B
(us),(mV),(V)

-0.02863158,-9.44881800,0.00000000
0.03536842,-10.23622000,2.99212600
0.09936842,-3.93700800,3.22834600
0.16336842,-7.87401500,3.22834600
0.22736842,-5.90551100,3.22834600
0.29136841,-1.96850400,3.22834600
0.35536841,-3.54330700,3.22834600
0.41936841,-8.66141700,3.22834600
0.48336841,-0.78740150,3.22834600
0.54736841,-7.08661400,3.22834600
0.61136840,-6.29921200,3.22834600
0.67536840,-3.93700800,3.30708700
0.73936840,-0.78740150,3.22834600
0.80336840,-9.44881800,3.22834600
0.86736840,0.39370070,3.22834600
0.93136840,-7.87401500,3.22834600
0.99536839,-6.29921200,3.22834600
1.05936839,-5.90551100,3.22834600
1.12336839,-0.39370070,3.30708700
1.18736839,-9.05511800,3.22834600
1.25136839,-3.93700800,3.22834600
1.31536838,-1.96850400,3.22834600
1.37936838,-7.87401500,3.22834600
1.44336838,-4.72440900,3.22834600
1.50736838,-4.33070900,3.22834600
1.57136838,-6.29921200,3.22834600
1.63536838,-9.05511800,3.22834600
1.69936837,1.57480300,3.22834600
1.76336837,-6.69291300,3.22834600
1.82736837,-1.18110200,3.22834600
1.89136837,-3.93700800,3.22834600
1.95536837,-0.39370070,3.22834600
2.01936836,-5.11811000,3.22834600
2.08336836,-5.11811000,3.22834600
2.14736836,-2.75590500,3.22834600
2.21136836,-0.78740150,3.22834600
2.27536836,-2.36220500,3.22834600
2.33936836,1.18110200,3.22834600
2.40336835,-1.18110200,3.22834600
2.46736835,-3.54330700,3.22834600
2.53136835,-1.57480300,3.22834600
2.59536835,-3.54330700,3.22834600
2.65936835,-5.11811000,3.22834600
2.72336834,-4.72440900,3.22834600
2.78736834,2.36220500,3.22834600
2.85136834,-4.72440900,3.22834600
2.91536834,1.96850400,3.22834600
2.97936834,-2.75590500,3.22834600
3.04336834,-0.39370070,3.22834600
3.10736833,-4.72440900,3.22834600
3.17136833,3.54330700,3.22834600
3.23536833,-5.90551100,3.22834600
3.29936833,-0.39370070,3.22834600
3.36336833,-0.78740150,3.30708700
3.42736833,-1.57480300,3.30708700
3.49136832,-3.54330700,3.22834600
3.55536832,-2.36220500,3.30708700
3.61936832,-3.14960600,3.22834600
3.68336832,-5.90551100,3.22834600
3.74736832,0.78740150,3.30708700
3.81136831,-3.14960600,3.22834600
3.87536831,-3.54330700,3.30708700
3.93936831,-3.93700800,3.30708700
4.00336831,-0.39370070,3.30708700
4.06736831,-9.84251900,3.22834600
4.13136831,-3.54330700,3.30708700
4.19536830,-3.93700800,3.22834600
4.25936830,-3.93700800,3.22834600
4.32336830,-6.69291300,3.22834600
4.38736830,0.78740150,3.22834600
4.45136830,-6.69291300,3.22834600
4.51536829,-4.72440900,3.22834600
4.57936829,-1.96850400,3.22834600
4.64336829,-3.54330700,3.30708700
4.70736829,-7.08661400,3.22834600
4.77136829,-0.78740150,3.22834600
4.83536829,0.39370070,3.22834600
4.89936828,-7.08661400,3.30708700
4.96336828,1.18110200,3.22834600
5.02736828,-3.93700800,3.22834600
5.09136828,-4.33070900,3.22834600
5.15536828,-4.72440900,3.22834600
5.21936827,0.00000000,3.22834600
5.28336827,-7.87401500,3.22834600
5.34736827,-1.18110200,3.30708700
5.41136827,-1.96850400,3.22834600
5.47536827,-3.54330700,3.30708700
5.53936827,-6.29921200,3.22834600
5.60336826,-0.39370070,3.22834600
5.66736826,-5.51181100,3.22834600
5.73136826,-3.14960600,3.22834600
5.79536826,-2.75590500,3.22834600
5.85936826,-2.36220500,3.30708700
5.92336825,-2.75590500,3.22834600
5.98736825,-2.36220500,3.22834600
6.05136825,-0.39370070,3.30708700
6.11536825,-6.69291300,3.30708700
6.17936825,-2.36220500,3.30708700
6.24336825,-4.33070900,3.22834600
6.30736824,-1.96850400,3.30708700
6.37136824,-7.48031400,3.30708700
6.43536824,1.96850400,3.22834600
6.49936824,-4.33070900,3.30708700
6.56336824,-3.93700800,3.30708700
6.62736823,-5.90551100,3.30708700
6.69136823,-2.36220500,3.22834600
6.75536823,-8.66141700,3.30708700
6.81936823,-2.75590500,3.30708700
6.88336823,-1.57480300,3.30708700
6.94736823,-7.48031400,3.30708700
7.01136822,-4.33070900,3.22834600
7.07536822,-1.18110200,3.30708700
7.13936822,-6.69291300,3.22834600
7.20336822,-7.08661400,3.30708700
7.26736822,1.18110200,3.22834600
7.33136821,-5.90551100,3.22834600
7.39536821,-2.36220500,3.30708700
7.45936821,-1.18110200,3.22834600
7.52336821,0.00000000,3.22834600
7.58736821,-7.48031400,3.22834600
7.65136821,1.96850400,3.30708700
7.71536820,-5.11811000,3.22834600
7.77936820,-3.54330700,3.30708700
7.84336820,-3.14960600,3.22834600
7.90736820,2.36220500,3.30708700
7.97136820,-5.90551100,3.30708700
8.03536819,-2.36220500,3.30708700
8.09936819,-0.78740150,3.30708700
8.16336819,-5.90551100,3.22834600
8.22736819,-3.54330700,3.30708700
8.29136819,-3.14960600,3.30708700
8.35536819,-1.96850400,3.30708700
8.41936818,-6.69291300,3.30708700
8.48336818,3.14960600,3.30708700
8.54736818,-3.93700800,3.30708700
8.61136818,-3.14960600,3.30708700
8.67536818,-2.75590500,3.30708700
8.73936817,0.39370070,3.30708700
8.80336817,-7.48031400,3.22834600
8.86736817,-0.78740150,3.30708700
8.93136817,-2.36220500,3.30708700
8.99536817,-3.14960600,3.30708700
9.05936817,-3.54330700,3.30708700
9.12336816,0.39370070,3.30708700
9.18736816,-7.48031400,3.30708700
9.25136816,-3.93700800,3.30708700
9.31536816,-1.96850400,3.30708700
9.37936816,-4.33070900,3.30708700
9.44336815,-2.75590500,3.30708700
9.50736815,-2.36220500,3.30708700
9.57136815,0.00000000,3.30708700
9.63536815,-5.11811000,3.22834600
9.69936815,-0.39370070,3.22834600
9.76336815,-4.72440900,3.22834600
9.82736814,0.39370070,3.22834600
9.89136814,-4.72440900,3.22834600
9.95536814,2.75590500,3.30708700
10.01936814,-3.14960600,3.30708700
10.08336814,0.00000000,3.30708700
10.14736814,0.39370070,3.22834600
10.21136813,1.57480300,3.30708700
10.27536813,-3.93700800,3.22834600
10.33936813,0.00000000,3.22834600
10.40336813,1.57480300,3.22834600
10.46736813,-3.54330700,3.30708700
10.53136812,1.57480300,3.30708700
10.59536812,0.00000000,3.30708700
10.65936812,-3.14960600,3.30708700
10.72336812,-2.75590500,3.30708700
10.78736812,1.57480300,3.30708700
10.85136812,-7.08661400,3.30708700
10.91536811,-0.78740150,3.30708700
10.97936811,-0.39370070,3.30708700
11.04336811,0.00000000,3.30708700
11.10736811,-4.72440900,3.30708700
11.17136811,4.72440900,3.30708700
11.23536810,-5.11811000,3.30708700
11.29936810,-1.18110200,3.22834600
11.36336810,-0.39370070,3.30708700
11.42736810,-1.96850400,3.22834600
11.49136810,-3.93700800,3.22834600
11.55536810,1.57480300,3.30708700
11.61936809,-0.39370070,3.22834600
11.68336809,-5.90551100,3.30708700
11.74736809,1.57480300,3.30708700
11.81136809,-3.54330700,3.30708700
11.87536809,-2.75590500,3.30708700
11.93936808,-5.11811000,3.30708700
12.00336808,0.00000000,3.30708700
12.06736808,-7.08661400,3.22834600
12.13136808,-1.18110200,3.22834600
12.19536808,-3.54330700,3.30708700
12.25936808,-3.93700800,3.30708700
12.32336807,-8.26771600,3.22834600
12.38736807,-0.39370070,3.30708700
12.45136807,-5.90551100,3.22834600
12.51536807,-2.75590500,3.30708700
12.57936807,-2.75590500,3.30708700
12.64336806,-1.57480300,3.22834600
12.70736806,-4.33070900,3.22834600
12.77136806,-1.96850400,3.22834600
12.83536806,-3.14960600,3.22834600
12.89936806,-7.08661400,3.30708700
12.96336806,-1.18110200,3.22834600
13.02736805,-3.93700800,3.30708700
13.09136805,-2.36220500,3.22834600
13.15536805,-6.29921200,3.30708700
13.21936805,0.78740150,3.30708700
13.28336805,-7.48031400,3.30708700
13.34736804,-4.33070900,3.30708700
13.41136804,-7.48031400,3.30708700
13.47536804,-3.93700800,3.30708700
13.53936804,-8.66141700,3.30708700
13.60336804,-3.14960600,3.30708700
13.66736804,-6.29921200,3.30708700
13.73136803,-6.69291300,3.22834600
13.79536803,-5.11811000,3.22834600
13.85936803,-5.90551100,3.30708700
13.92336803,-7.08661400,3.30708700
13.98736803,-8.26771600,3.30708700
14.05136802,-3.93700800,3.30708700
14.11536802,-7.87401500,3.30708700
14.17936802,-6.29921200,3.30708700
14.24336802,-7.08661400,3.30708700
14.30736802,-4.33070900,3.30708700
14.37136802,-11.41732000,3.30708700
14.43536801,-2.36220500,3.30708700
14.49936801,-8.26771600,3.30708700
14.56336801,-7.08661400,3.30708700
14.62736801,-8.26771600,3.30708700
14.69136801,-2.36220500,3.30708700
14.75536800,-12.99213000,3.30708700
14.81936800,-7.48031400,3.30708700
14.88336800,-5.90551100,3.30708700
14.94736800,-11.41732000,3.30708700
15.01136800,-9.44881800,3.22834600
15.07536800,-4.72440900,3.22834600
15.13936799,-7.87401500,3.30708700
15.20336799,-10.62992000,3.22834600
15.26736799,-0.39370070,3.30708700
15.33136799,-11.41732000,3.30708700
15.39536799,-8.26771600,3.30708700
15.45936798,-5.90551100,3.22834600
15.52336798,-6.29921200,3.22834600
15.58736798,-11.02362000,3.22834600
15.65136798,-2.36220500,3.30708700
15.71536798,-7.48031400,3.30708700
15.77936798,-6.69291300,3.30708700
15.84336797,-6.69291300,3.30708700
15.90736797,-3.93700800,3.30708700
15.97136797,-11.41732000,3.30708700
16.03536797,-7.48031400,3.30708700
16.09936797,-6.69291300,3.30708700
16.16336796,-7.87401500,3.30708700
16.22736796,-8.66141700,3.30708700
16.29136796,-6.69291300,3.30708700
16.35536796,-7.08661400,3.30708700
16.41936796,-11.81102000,3.30708700
16.48336796,-5.11811000,3.30708700
16.54736795,-9.44881800,3.22834600
16.61136795,-5.11811000,3.30708700
16.67536795,-8.26771600,3.30708700
16.73936795,-1.96850400,3.22834600
16.80336795,-10.23622000,3.30708700
16.86736794,-4.72440900,3.30708700
16.93136794,-6.29921200,3.30708700
16.99536794,-7.48031400,3.30708700
17.05936794,-9.05511800,3.30708700
17.12336794,-3.93700800,3.30708700
17.18736794,-7.08661400,3.30708700
17.25136793,-7.87401500,3.30708700
17.31536793,-4.72440900,3.30708700
17.37936793,-8.26771600,3.30708700
17.44336793,-9.44881800,3.30708700
17.50736793,-8.26771600,3.30708700
17.57136793,-5.51181100,3.30708700
17.63536792,-12.59842000,3.30708700
17.69936792,-6.69291300,3.30708700
17.76336792,-7.48031400,3.30708700
17.82736792,-6.69291300,3.22834600
17.89136792,-12.20472000,3.30708700
17.95536791,-3.14960600,3.22834600
18.01936791,-11.81102000,3.22834600
18.08336791,-7.48031400,3.30708700
18.14736791,-6.69291300,3.22834600
18.21136791,-5.90551100,3.22834600
18.27536791,-10.23622000,3.22834600
18.33936790,-3.93700800,3.22834600
18.40336790,-4.72440900,3.22834600
18.46736790,-10.62992000,3.30708700
18.53136790,-5.11811000,3.22834600
18.59536790,-6.29921200,3.30708700
18.65936789,-7.87401500,3.22834600
18.72336789,-10.23622000,3.30708700
18.78736789,-2.75590500,3.30708700
18.85136789,-11.41732000,3.30708700
18.91536789,-5.90551100,3.30708700
18.97936789,-6.29921200,3.30708700
19.04336788,-8.66141700,3.22834600
19.10736788,-10.62992000,3.30708700
19.17136788,-1.57480300,3.30708700
19.23536788,-8.66141700,3.30708700
19.29936788,-5.51181100,3.30708700
19.36336787,-4.33070900,3.30708700
19.42736787,-5.51181100,3.30708700
19.49136787,-8.66141700,3.30708700
19.55536787,-5.11811000,3.30708700
19.61936787,-7.87401500,3.30708700
19.68336787,-8.66141700,3.30708700
19.74736786,-2.36220500,3.22834600
19.81136786,-6.29921200,3.30708700
19.87536786,-4.33070900,3.30708700
19.93936786,-8.26771600,3.30708700
20.00336786,-3.14960600,3.30708700
20.06736785,-11.41732000,3.30708700
20.13136785,-5.11811000,3.30708700
20.19536785,-10.23622000,3.30708700
20.25936785,-4.72440900,3.30708700
20.32336785,-10.62992000,3.30708700
20.38736785,-6.29921200,3.30708700
20.45136784,-8.26771600,3.30708700
20.51536784,-8.66141700,3.30708700
20.57936784,-9.05511800,3.22834600
20.64336784,-6.29921200,3.30708700
20.70736784,-9.84251900,3.30708700
20.77136783,-8.66141700,3.30708700
20.83536783,-3.14960600,3.22834600
20.89936783,-9.84251900,3.22834600
20.96336783,-6.29921200,3.30708700
21.02736783,-7.08661400,3.22834600
21.09136783,-6.69291300,3.30708700
21.15536782,-11.02362000,3.22834600
21.21936782,-2.36220500,3.22834600
21.28336782,-9.44881800,3.30708700
21.34736782,-5.90551100,3.30708700
21.41136782,-6.69291300,3.30708700
21.47536781,-3.14960600,3.30708700
21.53936781,-11.02362000,3.30708700
21.60336781,-4.33070900,3.30708700
21.66736781,-7.08661400,3.30708700
21.73136781,-8.26771600,3.30708700
