Time,Channel A,Channel B
(us),(mV),(V)

-0.02653658,-1.18110200,0.00000000
0.03746341,-5.11811000,3.22834600
0.10146341,-4.33070900,3.22834600
0.16546341,-1.96850400,3.22834600
0.22946341,-5.90551100,3.22834600
0.29346341,-9.05511800,3.30708700
0.35746340,-0.78740150,3.22834600
0.42146340,-10.23622000,3.30708700
0.48546340,-7.87401500,3.30708700
0.54946340,-6.69291300,3.30708700
0.61346340,-5.11811000,3.22834600
0.67746340,-11.81102000,3.22834600
0.74146339,-1.57480300,3.30708700
0.80546339,-9.05511800,3.22834600
0.86946339,-9.05511800,3.22834600
0.93346339,-5.90551100,3.22834600
0.99746339,-2.36220500,3.22834600
1.06146339,-8.26771600,3.22834600
1.12546338,-3.54330700,3.22834600
1.18946338,-0.78740150,3.22834600
1.25346338,-5.90551100,3.22834600
1.31746338,-1.57480300,3.22834600
1.38146338,-3.93700800,3.22834600
1.44546337,-3.93700800,3.22834600
1.50946337,-6.69291300,3.22834600
1.57346337,0.00000000,3.22834600
1.63746337,-5.51181100,3.22834600
1.70146337,-2.75590500,3.22834600
1.76546337,-3.14960600,3.22834600
1.82946336,-0.78740150,3.22834600
1.89346336,-7.48031400,3.30708700
1.95746336,-2.75590500,3.30708700
2.02146336,-3.93700800,3.30708700
2.08546336,-2.75590500,3.30708700
2.14946335,-3.14960600,3.30708700
2.21346335,1.18110200,3.22834600
2.27746335,-2.75590500,3.22834600
2.34146335,-3.14960600,3.22834600
2.40546335,1.96850400,3.30708700
2.46946335,-3.93700800,3.22834600
2.53346334,-1.57480300,3.22834600
2.59746334,-1.57480300,3.30708700
2.66146334,3.14960600,3.22834600
2.72546334,-5.11811000,3.30708700
2.78946334,2.75590500,3.30708700
2.85346333,-3.54330700,3.30708700
2.91746333,-2.36220500,3.30708700
2.98146333,-3.14960600,3.22834600
3.04546333,0.39370070,3.30708700
3.10946333,-5.90551100,3.30708700
3.17346333,-2.75590500,3.22834600
3.23746332,-2.36220500,3.30708700
3.30146332,-5.51181100,3.22834600
3.36546332,-6.29921200,3.22834600
3.42946332,-5.11811000,3.22834600
3.49346332,-5.90551100,3.30708700
3.55746331,-7.08661400,3.22834600
3.62146331,-3.14960600,3.22834600
3.68546331,-5.11811000,3.22834600
3.74946331,-1.96850400,3.22834600
3.81346331,-4.33070900,3.30708700
3.87746331,0.39370070,3.30708700
3.94146330,-9.05511800,3.22834600
4.00546330,-0.39370070,3.22834600
4.06946330,-3.93700800,3.22834600
4.13346330,-1.96850400,3.22834600
4.19746330,-4.33070900,3.30708700
4.26146329,1.18110200,3.22834600
4.32546329,-5.51181100,3.30708700
4.38946329,-2.75590500,3.22834600
4.45346329,-0.39370070,3.30708700
4.51746329,-6.69291300,3.22834600
4.58146329,-5.51181100,3.30708700
4.64546328,-3.14960600,3.30708700
4.70946328,-2.36220500,3.22834600
4.77346328,-8.66141700,3.30708700
4.83746328,1.18110200,3.30708700
4.90146328,-6.29921200,3.30708700
4.96546327,-4.33070900,3.30708700
5.02946327,-3.93700800,3.30708700
5.09346327,-1.57480300,3.30708700
5.15746327,-6.29921200,3.30708700
5.22146327,1.96850400,3.22834600
5.28546327,-2.36220500,3.30708700
5.34946326,-3.54330700,3.30708700
5.41346326,-3.93700800,3.30708700
5.47746326,-1.57480300,3.30708700
5.54146326,-5.51181100,3.30708700
5.60546326,-3.14960600,3.30708700
5.66946325,-1.18110200,3.30708700
5.73346325,-4.33070900,3.30708700
5.79746325,-2.36220500,3.30708700
5.86146325,-6.29921200,3.30708700
5.92546325,-4.33070900,3.30708700
5.98946325,-10.23622000,3.30708700
6.05346324,-3.93700800,3.30708700
6.11746324,-8.26771600,3.30708700
6.18146324,-4.72440900,3.30708700
6.24546324,-8.66141700,3.30708700
6.30946324,-1.18110200,3.22834600
6.37346323,-5.90551100,3.30708700
6.43746323,-4.72440900,3.22834600
6.50146323,-3.93700800,3.22834600
6.56546323,-4.33070900,3.22834600
6.62946323,-4.72440900,3.30708700
6.69346323,-0.39370070,3.30708700
6.75746322,-2.36220500,3.22834600
6.82146322,-5.90551100,3.30708700
6.88546322,-0.39370070,3.30708700
6.94946322,-2.75590500,3.30708700
7.01346322,-5.11811000,3.22834600
7.07746321,-4.33070900,3.30708700
7.14146321,0.78740150,3.30708700
7.20546321,-8.66141700,3.30708700
7.26946321,-1.57480300,3.30708700
7.33346321,-4.33070900,3.30708700
7.39746321,-5.11811000,3.30708700
7.46146320,-7.48031400,3.30708700
7.52546320,-0.78740150,3.22834600
7.58946320,-7.87401500,3.30708700
7.65346320,-4.33070900,3.30708700
7.71746320,-0.39370070,3.30708700
7.78146319,-1.57480300,3.30708700
7.84546319,-3.54330700,3.30708700
7.90946319,-1.57480300,3.30708700
7.97346319,-1.57480300,3.30708700
8.03746319,-7.08661400,3.30708700
8.10146319,-1.18110200,3.30708700
8.16546318,-2.36220500,3.30708700
8.22946318,-2.36220500,3.30708700
8.29346318,-2.36220500,3.30708700
8.35746318,1.57480300,3.30708700
8.42146318,-6.29921200,3.30708700
8.48546318,-4.33070900,3.30708700
8.54946317,-5.51181100,3.30708700
8.61346317,-4.33070900,3.30708700
8.67746317,-9.05511800,3.30708700
8.74146317,-2.36220500,3.30708700
8.80546317,-7.87401500,3.30708700
8.86946316,-7.87401500,3.30708700
8.93346316,-5.51181100,3.22834600
8.99746316,-5.51181100,3.22834600
9.06146316,-5.90551100,3.30708700
9.12546316,-2.75590500,3.30708700
9.18946316,-0.39370070,3.22834600
9.25346315,-7.87401500,3.30708700
9.31746315,2.75590500,3.30708700
9.38146315,-2.75590500,3.30708700
9.44546315,-1.96850400,3.30708700
9.50946315,-4.33070900,3.22834600
9.57346314,-1.18110200,3.30708700
9.63746314,-5.51181100,3.30708700
9.70146314,1.57480300,3.30708700
9.76546314,-0.39370070,3.30708700
9.82946314,0.78740150,3.30708700
9.89346314,-6.69291300,3.30708700
9.95746313,0.00000000,3.30708700
10.02146313,-2.75590500,3.30708700
10.08546313,-5.11811000,3.30708700
10.14946313,-2.75590500,3.30708700
10.21346313,-1.18110200,3.30708700
10.27746312,-1.57480300,3.30708700
10.34146312,-2.75590500,3.30708700
10.40546312,1.96850400,3.30708700
10.46946312,-4.33070900,3.30708700
10.53346312,-0.78740150,3.30708700
10.59746312,-1.57480300,3.30708700
10.66146311,2.36220500,3.30708700
10.72546311,-6.29921200,3.30708700
10.78946311,3.54330700,3.30708700
10.85346311,-3.54330700,3.30708700
10.91746311,-3.54330700,3.30708700
10.98146310,-2.75590500,3.30708700
11.04546310,-0.39370070,3.30708700
11.10946310,-6.29921200,3.30708700
11.17346310,-0.78740150,3.30708700
11.23746310,-1.18110200,3.30708700
11.30146310,-7.48031400,3.30708700
11.36546309,-2.36220500,3.30708700
11.42946309,-4.33070900,3.30708700
11.49346309,-5.90551100,3.30708700
11.55746309,-7.87401500,3.30708700
11.62146309,-1.18110200,3.30708700
11.68546308,-7.87401500,3.30708700
11.74946308,0.39370070,3.30708700
11.81346308,-1.18110200,3.30708700
11.87746308,-3.14960600,3.22834600
11.94146308,-7.48031400,3.30708700
12.00546308,1.57480300,3.30708700
12.06946307,-6.69291300,3.30708700
12.13346307,-3.54330700,3.30708700
12.19746307,-2.36220500,3.30708700
12.26146307,0.00000000,3.30708700
12.32546307,-5.90551100,3.30708700
12.38946306,-2.36220500,3.30708700
12.45346306,-1.57480300,3.30708700
12.51746306,-7.87401500,3.30708700
12.58146306,-1.96850400,3.30708700
12.64546306,-3.54330700,3.30708700
12.70946306,-3.54330700,3.30708700
12.77346305,-6.69291300,3.30708700
12.83746305,0.78740150,3.30708700
12.90146305,-8.66141700,3.30708700
12.96546305,-5.51181100,3.30708700
13.02946305,-6.69291300,3.30708700
13.09346304,-3.93700800,3.30708700
13.15746304,-9.05511800,3.30708700
13.22146304,-2.36220500,3.30708700
13.28546304,-5.11811000,3.30708700
13.34946304,-5.90551100,3.30708700
13.41346304,-5.11811000,3.30708700
13.47746303,-3.93700800,3.30708700
13.54146303,-9.84251900,3.30708700
13.60546303,-5.51181100,3.30708700
13.66946303,-3.54330700,3.30708700
13.73346303,-8.66141700,3.30708700
13.79746302,-5.90551100,3.30708700
13.86146302,-8.26771600,3.30708700
13.92546302,-7.48031400,3.30708700
13.98946302,-14.56693000,3.30708700
14.05346302,-7.87401500,3.30708700
14.11746302,-12.99213000,3.30708700
14.18146301,-9.44881800,3.22834600
14.24546301,-10.62992000,3.30708700
14.30946301,-5.51181100,3.30708700
14.37346301,-11.02362000,3.30708700
14.43746301,-7.87401500,3.30708700
14.50146300,-5.90551100,3.30708700
14.56546300,-9.05511800,3.22834600
14.62946300,-9.05511800,3.30708700
14.69346300,-5.51181100,3.30708700
14.75746300,-6.69291300,3.30708700
14.82146300,-9.84251900,3.30708700
14.88546299,-2.36220500,3.30708700
14.94946299,-7.48031400,3.30708700
15.01346299,-8.66141700,3.30708700
15.07746299,-6.29921200,3.30708700
15.14146299,-2.36220500,3.30708700
15.20546299,-12.20472000,3.30708700
15.26946298,-2.75590500,3.30708700
15.33346298,-6.29921200,3.30708700
15.39746298,-8.26771600,3.30708700
15.46146298,-10.62992000,3.30708700
15.52546298,-4.33070900,3.30708700
15.58946297,-12.99213000,3.30708700
15.65346297,-7.08661400,3.30708700
15.71746297,-4.72440900,3.30708700
15.78146297,-8.66141700,3.30708700
15.84546297,-6.69291300,3.30708700
15.90946297,-5.11811000,3.30708700
15.97346296,-5.90551100,3.30708700
16.03746296,-11.02362000,3.30708700
16.10146296,-4.33070900,3.30708700
16.16546296,-9.84251900,3.30708700
16.22946296,-6.69291300,3.30708700
16.29346295,-8.66141700,3.30708700
16.35746295,-5.11811000,3.30708700
16.42146295,-10.62992000,3.30708700
16.48546295,-5.90551100,3.30708700
16.54946295,-9.44881800,3.30708700
16.61346295,-9.05511800,3.30708700
16.67746294,-11.41732000,3.30708700
16.74146294,-6.69291300,3.30708700
16.80546294,-9.84251900,3.30708700
16.86946294,-9.05511800,3.30708700
16.93346294,-9.05511800,3.30708700
16.99746293,-9.44881800,3.30708700
17.06146293,-11.02362000,3.30708700
17.12546293,-9.44881800,3.30708700
17.18946293,-5.51181100,3.30708700
17.25346293,-10.62992000,3.30708700
17.31746293,-3.54330700,3.30708700
17.38146292,-7.87401500,3.22834600
17.44546292,-5.51181100,3.30708700
17.50946292,-10.23622000,3.30708700
17.57346292,-3.54330700,3.30708700
17.63746292,-9.84251900,3.30708700
17.70146291,-6.29921200,3.30708700
17.76546291,-5.51181100,3.30708700
17.82946291,-5.90551100,3.30708700
17.89346291,-8.26771600,3.30708700
17.95746291,-5.51181100,3.30708700
18.02146291,-8.26771600,3.30708700
18.08546290,-12.59842000,3.30708700
18.14946290,-8.66141700,3.30708700
18.21346290,-8.26771600,3.30708700
18.27746290,-9.44881800,3.30708700
18.34146290,-8.26771600,3.30708700
18.40546289,-4.33070900,3.30708700
18.46946289,-10.23622000,3.30708700
18.53346289,-5.11811000,3.30708700
18.59746289,-8.66141700,3.30708700
18.66146289,-5.11811000,3.30708700
18.72546289,-11.41732000,3.30708700
18.78946288,-2.75590500,3.30708700
18.85346288,-9.84251900,3.30708700
18.91746288,-7.08661400,3.30708700
18.98146288,-5.51181100,3.30708700
19.04546288,-5.11811000,3.30708700
19.10946287,-8.66141700,3.30708700
19.17346287,-5.90551100,3.30708700
19.23746287,-6.29921200,3.30708700
19.30146287,-11.81102000,3.30708700
19.36546287,-5.51181100,3.30708700
19.42946287,-9.44881800,3.30708700
19.49346286,-11.02362000,3.30708700
19.55746286,-11.02362000,3.30708700
19.62146286,-5.51181100,3.30708700
19.68546286,-13.38583000,3.30708700
19.74946286,-6.29921200,3.30708700
19.81346285,-5.51181100,3.30708700
19.87746285,-5.90551100,3.30708700
19.94146285,-10.23622000,3.22834600
20.00546285,-2.36220500,3.30708700
20.06946285,-11.02362000,3.30708700
20.13346285,-7.48031400,3.30708700
20.19746284,-6.29921200,3.30708700
20.26146284,-8.26771600,3.30708700
20.32546284,-8.66141700,3.30708700
20.38946284,-5.51181100,3.30708700
20.45346284,-5.51181100,3.30708700
20.51746283,-10.62992000,3.30708700
20.58146283,-6.29921200,3.30708700
20.64546283,-10.23622000,3.30708700
20.70946283,-7.48031400,3.30708700
20.77346283,-12.59842000,3.30708700
20.83746283,-5.11811000,3.30708700
20.90146282,-10.23622000,3.30708700
20.96546282,-8.26771600,3.30708700
21.02946282,-8.66141700,3.30708700
21.09346282,-6.29921200,3.30708700
21.15746282,-11.81102000,3.30708700
21.22146281,-5.90551100,3.30708700
21.28546281,-5.51181100,3.22834600
21.34946281,-6.69291300,3.30708700
21.41346281,-6.29921200,3.30708700
21.47746281,-2.75590500,3.30708700
21.54146281,-8.26771600,3.30708700
21.60546280,-7.87401500,3.30708700
21.66946280,-3.54330700,3.30708700
