Time,Channel A,Channel B
(us),(mV),(V)

-0.06044444,-7.48031400,0.00000000
0.00355556,1.57480300,1.41732300
0.06755555,-5.11811000,3.22834600
0.13155555,-5.11811000,3.22834600
0.19555555,-9.84251900,3.22834600
0.25955555,-3.14960600,3.22834600
0.32355555,-7.87401500,3.22834600
0.38755554,-6.69291300,3.22834600
0.45155554,-3.54330700,3.22834600
0.51555554,-3.54330700,3.22834600
0.57955554,-7.87401500,3.22834600
0.64355554,-3.93700800,3.22834600
0.70755554,-4.33070900,3.22834600
0.77155553,-9.05511800,3.22834600
0.83555553,-3.54330700,3.22834600
0.89955553,-6.29921200,3.22834600
0.96355553,-3.93700800,3.22834600
1.02755553,-5.90551100,3.22834600
1.09155552,1.96850400,3.22834600
1.15555552,-7.08661400,3.22834600
1.21955552,-1.57480300,3.22834600
1.28355552,-3.54330700,3.30708700
1.34755552,-1.57480300,3.30708700
1.41155552,-6.69291300,3.22834600
1.47555551,0.00000000,3.22834600
1.53955551,-2.36220500,3.22834600
1.60355551,-4.33070900,3.30708700
1.66755551,-1.96850400,3.22834600
1.73155551,-3.14960600,3.22834600
1.79555550,-5.11811000,3.22834600
1.85955550,-4.33070900,3.22834600
1.92355550,-0.39370070,3.30708700
1.98755550,-6.69291300,3.22834600
2.05155550,-1.57480300,3.30708700
2.11555550,-1.57480300,3.22834600
2.17955549,-2.36220500,3.22834600
2.24355549,-6.69291300,3.30708700
2.30755549,0.00000000,3.22834600
2.37155549,-6.69291300,3.30708700
2.43555549,-1.18110200,3.22834600
2.49955548,-2.75590500,3.22834600
2.56355548,-0.39370070,3.22834600
2.62755548,-5.51181100,3.22834600
2.69155548,0.39370070,3.22834600
2.75555548,-3.14960600,3.22834600
2.81955548,-4.33070900,3.22834600
2.88355547,-1.96850400,3.30708700
2.94755547,-1.96850400,3.22834600
3.01155547,0.39370070,3.22834600
3.07555547,-2.75590500,3.22834600
3.13955547,1.57480300,3.22834600
3.20355546,-4.72440900,3.22834600
3.26755546,-1.57480300,3.22834600
3.33155546,-4.33070900,3.22834600
3.39555546,-1.18110200,3.30708700
3.45955546,-7.08661400,3.22834600
3.52355546,0.00000000,3.30708700
3.58755545,-2.75590500,3.30708700
3.65155545,-2.75590500,3.22834600
3.71555545,-3.93700800,3.22834600
3.77955545,0.00000000,3.30708700
3.84355545,-5.51181100,3.22834600
3.90755544,-3.14960600,3.30708700
3.97155544,0.39370070,3.30708700
4.03555544,-4.72440900,3.22834600
4.09955544,-2.36220500,3.22834600
4.16355544,0.39370070,3.22834600
4.22755544,-2.36220500,3.30708700
4.29155543,-7.87401500,3.30708700
4.35555543,2.36220500,3.30708700
4.41955543,-5.90551100,3.30708700
4.48355543,-3.93700800,3.30708700
4.54755543,-3.54330700,3.30708700
4.61155542,-0.39370070,3.30708700
4.67555542,-9.05511800,3.30708700
4.73955542,-0.78740150,3.30708700
4.80355542,-5.11811000,3.30708700
4.86755542,-8.26771600,3.22834600
4.93155542,-6.29921200,3.30708700
4.99555541,-2.75590500,3.30708700
5.05955541,-5.90551100,3.22834600
5.12355541,-4.72440900,3.22834600
5.18755541,-0.78740150,3.30708700
5.25155541,-6.69291300,3.22834600
5.31555540,-4.72440900,3.22834600
5.37955540,-5.90551100,3.22834600
5.44355540,-3.93700800,3.22834600
5.50755540,-6.69291300,3.30708700
5.57155540,-0.39370070,3.22834600
5.63555540,-3.54330700,3.30708700
5.69955539,-1.96850400,3.22834600
5.76355539,-5.51181100,3.30708700
5.82755539,0.00000000,3.30708700
5.89155539,-8.26771600,3.30708700
5.95555539,-3.93700800,3.30708700
6.01955538,-4.33070900,3.22834600
6.08355538,-3.54330700,3.30708700
6.14755538,-5.11811000,3.30708700
6.21155538,-2.36220500,3.30708700
6.27555538,-2.75590500,3.30708700
6.33955538,-7.48031400,3.30708700
6.40355537,-1.57480300,3.30708700
6.46755537,-4.33070900,3.30708700
6.53155537,-4.33070900,3.30708700
6.59555537,-3.14960600,3.30708700
6.65955537,1.18110200,3.30708700
6.72355536,-6.29921200,3.30708700
6.78755536,-1.57480300,3.30708700
6.85155536,-3.54330700,3.30708700
6.91555536,-3.54330700,3.30708700
6.97955536,-5.90551100,3.30708700
7.04355536,0.00000000,3.30708700
7.10755535,-6.29921200,3.30708700
7.17155535,-3.54330700,3.30708700
7.23555535,-2.75590500,3.30708700
7.29955535,-2.75590500,3.30708700
7.36355535,-8.26771600,3.30708700
7.42755535,-4.33070900,3.30708700
7.49155534,-4.72440900,3.30708700
7.55555534,-8.26771600,3.30708700
7.61955534,-3.93700800,3.30708700
7.68355534,-3.93700800,3.30708700
7.74755534,-3.54330700,3.30708700
7.81155533,-7.08661400,3.30708700
7.87555533,-1.57480300,3.22834600
7.93955533,-9.05511800,3.22834600
8.00355533,-5.11811000,3.30708700
8.06755533,-4.33070900,3.30708700
8.13155533,-2.75590500,3.30708700
8.19555532,-7.08661400,3.30708700
8.25955532,1.18110200,3.30708700
8.32355532,-3.93700800,3.30708700
8.38755532,-4.72440900,3.30708700
8.45155532,-2.36220500,3.30708700
8.51555531,-4.33070900,3.30708700
8.57955531,-7.08661400,3.30708700
8.64355531,-1.96850400,3.30708700
8.70755531,-1.96850400,3.30708700
8.77155531,-6.69291300,3.30708700
8.83555531,-1.96850400,3.30708700
8.89955530,-4.33070900,3.30708700
8.96355530,-5.11811000,3.22834600
9.02755530,-7.08661400,3.30708700
9.09155530,-0.78740150,3.30708700
9.15555530,-7.87401500,3.30708700
9.21955529,0.39370070,3.30708700
9.28355529,-2.36220500,3.30708700
9.34755529,-0.78740150,3.30708700
9.41155529,-4.72440900,3.30708700
9.47555529,0.78740150,3.30708700
9.53955529,-2.36220500,3.30708700
9.60355528,-2.75590500,3.30708700
9.66755528,-0.78740150,3.30708700
9.73155528,0.00000000,3.30708700
9.79555528,-0.39370070,3.30708700
9.85955528,-2.36220500,3.30708700
9.92355527,0.78740150,3.30708700
9.98755527,-4.33070900,3.30708700
10.05155527,-3.54330700,3.30708700
10.11555527,-3.14960600,3.30708700
10.17955527,-1.18110200,3.30708700
10.24355527,-7.08661400,3.30708700
10.30755526,1.57480300,3.30708700
10.37155526,-4.72440900,3.30708700
10.43555526,-4.33070900,3.30708700
10.49955526,-6.69291300,3.30708700
10.56355526,0.00000000,3.30708700
10.62755525,-8.26771600,3.30708700
10.69155525,-1.96850400,3.30708700
10.75555525,-1.96850400,3.22834600
10.81955525,-4.72440900,3.30708700
10.88355525,-2.75590500,3.30708700
10.94755525,0.00000000,3.30708700
11.01155524,-3.54330700,3.22834600
11.07555524,-5.90551100,3.30708700
11.13955524,2.36220500,3.22834600
11.20355524,-5.90551100,3.30708700
11.26755524,-1.96850400,3.30708700
11.33155523,-1.57480300,3.22834600
11.39555523,-0.39370070,3.30708700
11.45955523,-8.26771600,3.30708700
11.52355523,0.39370070,3.30708700
11.58755523,-5.90551100,3.30708700
11.65155523,-5.11811000,3.30708700
11.71555522,-3.14960600,3.30708700
11.77955522,1.18110200,3.30708700
11.84355522,-5.51181100,3.30708700
11.90755522,-1.57480300,3.30708700
11.97155522,-0.78740150,3.30708700
12.03555521,-3.93700800,3.30708700
12.09955521,-5.11811000,3.30708700
12.16355521,-1.57480300,3.30708700
12.22755521,-2.36220500,3.30708700
12.29155521,-5.51181100,3.30708700
12.35555521,1.57480300,3.30708700
12.41955520,-3.93700800,3.30708700
12.48355520,-3.54330700,3.30708700
12.54755520,-5.11811000,3.30708700
12.61155520,0.39370070,3.30708700
12.67555520,-9.84251900,3.30708700
12.73955519,-2.75590500,3.30708700
12.80355519,-4.33070900,3.30708700
12.86755519,-4.72440900,3.30708700
12.93155519,-7.08661400,3.30708700
12.99555519,-3.93700800,3.30708700
13.05955519,-9.44881800,3.22834600
13.12355518,-7.87401500,3.30708700
13.18755518,-5.11811000,3.30708700
13.25155518,-8.66141700,3.22834600
13.31555518,-7.48031400,3.22834600
13.37955518,-6.29921200,3.22834600
13.44355517,-6.29921200,3.30708700
13.50755517,-9.44881800,3.30708700
13.57155517,-5.90551100,3.30708700
13.63555517,-7.87401500,3.30708700
13.69955517,-5.90551100,3.30708700
13.76355517,-10.62992000,3.22834600
13.82755516,-3.14960600,3.30708700
13.89155516,-9.44881800,3.22834600
13.95555516,-5.90551100,3.30708700
14.01955516,-8.26771600,3.30708700
14.08355516,-6.29921200,3.30708700
14.14755515,-12.59842000,3.30708700
14.21155515,-5.90551100,3.30708700
14.27555515,-7.08661400,3.30708700
14.33955515,-8.66141700,3.30708700
14.40355515,-4.72440900,3.30708700
14.46755515,-4.33070900,3.30708700
14.53155514,-7.08661400,3.30708700
14.59555514,-7.87401500,3.30708700
14.65955514,-2.36220500,3.30708700
14.72355514,-11.02362000,3.30708700
14.78755514,-4.72440900,3.30708700
14.85155514,-4.33070900,3.30708700
14.91555513,-5.11811000,3.30708700
14.97955513,-8.66141700,3.30708700
15.04355513,-0.78740150,3.30708700
15.10755513,-8.66141700,3.30708700
15.17155513,-6.69291300,3.30708700
15.23555512,-5.51181100,3.30708700
15.29955512,-5.51181100,3.30708700
15.36355512,-9.84251900,3.30708700
15.42755512,-2.36220500,3.30708700
15.49155512,-7.08661400,3.30708700
15.55555512,-9.84251900,3.30708700
15.61955511,-6.69291300,3.30708700
15.68355511,-9.05511800,3.30708700
15.74755511,-9.84251900,3.30708700
15.81155511,-10.62992000,3.30708700
15.87555511,-5.11811000,3.30708700
15.93955510,-12.99213000,3.22834600
16.00355510,-7.08661400,3.22834600
16.06755510,-9.84251900,3.22834600
16.13155510,-9.05511800,3.22834600
16.19555510,-11.41732000,3.30708700
16.25955510,-5.90551100,3.30708700
16.32355509,-9.44881800,3.30708700
16.38755509,-6.69291300,3.30708700
16.45155509,-6.69291300,3.30708700
16.51555509,-6.29921200,3.30708700
16.57955509,-8.26771600,3.30708700
16.64355508,-5.51181100,3.30708700
16.70755508,-4.33070900,3.30708700
16.77155508,-8.66141700,3.30708700
16.83555508,-6.29921200,3.30708700
16.89955508,-5.51181100,3.30708700
16.96355508,-6.69291300,3.30708700
17.02755507,-8.26771600,3.30708700
17.09155507,0.78740150,3.30708700
17.15555507,-9.44881800,3.30708700
17.21955507,-7.87401500,3.30708700
17.28355507,-7.87401500,3.30708700
17.34755506,-5.11811000,3.30708700
17.41155506,-9.84251900,3.30708700
17.47555506,-0.39370070,3.30708700
17.53955506,-5.90551100,3.30708700
17.60355506,-2.75590500,3.30708700
17.66755506,-6.29921200,3.30708700
17.73155505,-3.93700800,3.30708700
17.79555505,-9.84251900,3.30708700
17.85955505,-8.66141700,3.30708700
17.92355505,-7.08661400,3.30708700
17.98755505,-9.05511800,3.30708700
18.05155504,-7.48031400,3.30708700
18.11555504,-7.48031400,3.30708700
18.17955504,-7.08661400,3.30708700
18.24355504,-13.38583000,3.30708700
18.30755504,-5.90551100,3.30708700
18.37155504,-10.62992000,3.30708700
18.43555503,-8.66141700,3.30708700
18.49955503,-7.87401500,3.30708700
18.56355503,-3.14960600,3.30708700
18.62755503,-14.96063000,3.30708700
18.69155503,-7.48031400,3.30708700
18.75555502,-11.41732000,3.30708700
18.81955502,-9.44881800,3.30708700
18.88355502,-10.23622000,3.30708700
18.94755502,-3.54330700,3.30708700
19.01155502,-5.51181100,3.30708700
19.07555502,-6.29921200,3.30708700
19.13955501,-1.18110200,3.30708700
19.20355501,-7.08661400,3.30708700
19.26755501,-7.08661400,3.30708700
19.33155501,-5.51181100,3.30708700
19.39555501,-3.54330700,3.30708700
19.45955500,-11.81102000,3.22834600
19.52355500,-1.18110200,3.30708700
19.58755500,-9.44881800,3.30708700
19.65155500,-7.08661400,3.30708700
19.71555500,-6.69291300,3.30708700
19.77955500,-2.36220500,3.30708700
19.84355499,-10.62992000,3.30708700
19.90755499,-3.54330700,3.30708700
19.97155499,-3.54330700,3.30708700
20.03555499,-5.51181100,3.30708700
20.09955499,-4.72440900,3.30708700
20.16355498,-2.36220500,3.30708700
20.22755498,-7.08661400,3.30708700
20.29155498,-8.66141700,3.30708700
20.35555498,-5.51181100,3.30708700
20.41955498,-9.44881800,3.30708700
20.48355498,-6.29921200,3.30708700
20.54755497,-7.48031400,3.30708700
20.61155497,-3.54330700,3.30708700
20.67555497,-9.44881800,3.30708700
20.73955497,-5.90551100,3.30708700
20.80355497,-10.62992000,3.30708700
20.86755496,-6.29921200,3.30708700
20.93155496,-11.81102000,3.30708700
20.99555496,-4.33070900,3.30708700
21.05955496,-11.41732000,3.30708700
21.12355496,-7.48031400,3.30708700
21.18755496,-8.66141700,3.30708700
21.25155495,-6.69291300,3.30708700
21.31555495,-10.23622000,3.30708700
21.37955495,-7.87401500,3.30708700
21.44355495,-5.90551100,3.30708700
21.50755495,-10.62992000,3.30708700
21.57155495,-3.54330700,3.30708700
21.63555494,-4.72440900,3.30708700
