Time,Channel A,Channel B
(us),(mV),(V)

-0.02720000,-3.14960600,0.00000000
0.03680000,-6.69291300,3.14960600
0.10080000,-0.78740150,3.30708700
0.16480000,-8.26771600,3.22834600
0.22879999,-6.29921200,3.22834600
0.29279999,-1.57480300,3.22834600
0.35679999,-7.08661400,3.30708700
0.42079999,-5.11811000,3.22834600
0.48479999,-3.93700800,3.22834600
0.54879999,-2.36220500,3.22834600
0.61279998,-9.84251900,3.30708700
0.67679998,-3.14960600,3.22834600
0.74079998,-7.87401500,3.22834600
0.80479998,-6.69291300,3.22834600
0.86879998,-7.87401500,3.22834600
0.93279997,-2.75590500,3.22834600
0.99679997,-9.05511800,3.22834600
1.06079997,-4.33070900,3.22834600
1.12479997,-3.93700800,3.22834600
1.18879997,-4.33070900,3.22834600
1.25279997,-5.90551100,3.22834600
1.31679996,-1.18110200,3.22834600
1.38079996,-3.54330700,3.22834600
1.44479996,-3.93700800,3.22834600
1.50879996,-0.78740150,3.22834600
1.57279996,-3.54330700,3.22834600
1.63679995,-3.93700800,3.22834600
1.70079995,-3.54330700,3.22834600
1.76479995,-0.39370070,3.22834600
1.82879995,-6.29921200,3.22834600
1.89279995,1.96850400,3.22834600
1.95679995,-2.36220500,3.22834600
2.02079994,0.00000000,3.22834600
2.08479994,-4.72440900,3.22834600
2.14879994,0.78740150,3.30708700
2.21279994,-5.11811000,3.22834600
2.27679994,-1.96850400,3.30708700
2.34079993,-1.96850400,3.22834600
2.40479993,-0.78740150,3.22834600
2.46879993,-1.57480300,3.22834600
2.53279993,1.57480300,3.22834600
2.59679993,-0.39370070,3.30708700
2.66079993,-2.36220500,3.22834600
2.72479992,-0.39370070,3.22834600
2.78879992,0.00000000,3.22834600
2.85279992,-1.57480300,3.22834600
2.91679992,-3.14960600,3.30708700
2.98079992,3.14960600,3.30708700
3.04479991,-3.14960600,3.30708700
3.10879991,0.00000000,3.30708700
3.17279991,-1.96850400,3.22834600
3.23679991,-0.78740150,3.30708700
3.30079991,-8.66141700,3.30708700
3.36479991,1.18110200,3.30708700
3.42879990,-5.51181100,3.30708700
3.49279990,-5.11811000,3.30708700
3.55679990,-4.33070900,3.30708700
3.62079990,-2.75590500,3.22834600
3.68479990,-9.05511800,3.22834600
3.74879990,-3.14960600,3.22834600
3.81279989,-1.96850400,3.22834600
3.87679989,-7.08661400,3.22834600
3.94079989,-1.18110200,3.22834600
4.00479989,-0.39370070,3.22834600
4.06879989,-4.72440900,3.22834600
4.13279988,-4.33070900,3.30708700
4.19679988,2.36220500,3.22834600
4.26079988,-7.48031400,3.22834600
4.32479988,-1.57480300,3.22834600
4.38879988,-2.36220500,3.30708700
4.45279988,-1.96850400,3.22834600
4.51679987,-5.11811000,3.30708700
4.58079987,2.36220500,3.30708700
4.64479987,-6.69291300,3.22834600
4.70879987,-3.14960600,3.30708700
4.77279987,-4.33070900,3.30708700
4.83679986,-3.14960600,3.30708700
4.90079986,-8.66141700,3.30708700
4.96479986,-1.57480300,3.30708700
5.02879986,-2.75590500,3.30708700
5.09279986,-5.90551100,3.30708700
5.15679986,-1.96850400,3.30708700
5.22079985,-3.54330700,3.30708700
5.28479985,-1.57480300,3.30708700
5.34879985,-5.11811000,3.30708700
5.41279985,1.96850400,3.30708700
5.47679985,-5.11811000,3.30708700
5.54079984,-1.57480300,3.22834600
5.60479984,-2.75590500,3.30708700
5.66879984,0.00000000,3.30708700
5.73279984,-7.08661400,3.30708700
5.79679984,-1.18110200,3.30708700
5.86079984,-3.14960600,3.22834600
5.92479983,-4.33070900,3.30708700
5.98879983,-5.11811000,3.30708700
6.05279983,-1.96850400,3.30708700
6.11679983,-6.69291300,3.30708700
6.18079983,-5.51181100,3.30708700
6.24479982,-4.33070900,3.30708700
6.30879982,-8.66141700,3.30708700
6.37279982,-6.29921200,3.30708700
6.43679982,-3.54330700,3.22834600
6.50079982,-1.57480300,3.22834600
6.56479982,-8.26771600,3.22834600
6.62879981,1.57480300,3.22834600
6.69279981,-5.90551100,3.22834600
6.75679981,-2.75590500,3.22834600
6.82079981,-5.51181100,3.22834600
6.88479981,0.39370070,3.30708700
6.94879980,-6.29921200,3.22834600
7.01279980,0.00000000,3.22834600
7.07679980,-1.57480300,3.22834600
7.14079980,-3.14960600,3.22834600
7.20479980,-4.33070900,3.30708700
7.26879980,0.00000000,3.30708700
7.33279979,-3.93700800,3.30708700
7.39679979,-6.29921200,3.30708700
7.46079979,-0.78740150,3.30708700
7.52479979,-4.72440900,3.30708700
7.58879979,-5.11811000,3.30708700
7.65279978,-2.75590500,3.30708700
7.71679978,-1.57480300,3.30708700
7.78079978,-7.87401500,3.22834600
7.84479978,0.39370070,3.30708700
7.90879978,-1.96850400,3.30708700
7.97279978,-3.14960600,3.30708700
8.03679977,-3.54330700,3.30708700
8.10079977,4.33070900,3.22834600
8.16479977,-6.69291300,3.30708700
8.22879977,-0.39370070,3.30708700
8.29279977,-1.57480300,3.30708700
8.35679976,-3.54330700,3.30708700
8.42079976,-4.33070900,3.30708700
8.48479976,1.18110200,3.30708700
8.54879976,-3.93700800,3.30708700
8.61279976,-5.11811000,3.30708700
8.67679976,0.78740150,3.30708700
8.74079975,-5.51181100,3.30708700
8.80479975,-6.29921200,3.30708700
8.86879975,-6.69291300,3.30708700
8.93279975,-4.33070900,3.30708700
8.99679975,-9.84251900,3.30708700
9.06079974,-1.57480300,3.30708700
9.12479974,-6.29921200,3.30708700
9.18879974,-2.36220500,3.22834600
9.25279974,-2.75590500,3.30708700
9.31679974,0.78740150,3.30708700
9.38079974,-5.51181100,3.30708700
9.44479973,0.00000000,3.30708700
9.50879973,-2.36220500,3.22834600
9.57279973,1.18110200,3.22834600
9.63679973,-1.57480300,3.30708700
9.70079973,0.78740150,3.22834600
9.76479972,0.00000000,3.30708700
9.82879972,-1.18110200,3.22834600
9.89279972,1.18110200,3.30708700
9.95679972,-0.39370070,3.30708700
10.02079972,0.00000000,3.30708700
10.08479972,-3.14960600,3.30708700
10.14879971,3.14960600,3.30708700
10.21279971,-5.90551100,3.30708700
10.27679971,-1.18110200,3.30708700
10.34079971,-2.75590500,3.22834600
10.40479971,0.00000000,3.30708700
10.46879970,-6.69291300,3.30708700
10.53279970,2.36220500,3.30708700
10.59679970,-2.36220500,3.22834600
10.66079970,-1.18110200,3.30708700
10.72479970,1.18110200,3.30708700
10.78879970,1.18110200,3.30708700
10.85279969,-4.72440900,3.22834600
10.91679969,0.00000000,3.30708700
10.98079969,0.39370070,3.30708700
11.04479969,-3.54330700,3.30708700
11.10879969,0.00000000,3.30708700
11.17279969,0.78740150,3.30708700
11.23679968,-1.18110200,3.30708700
11.30079968,-3.93700800,3.30708700
11.36479968,0.39370070,3.30708700
11.42879968,-8.66141700,3.30708700
11.49279968,-2.36220500,3.30708700
11.55679967,-4.72440900,3.30708700
11.62079967,-2.75590500,3.22834600
11.68479967,-7.87401500,3.30708700
11.74879967,0.39370070,3.30708700
11.81279967,-5.51181100,3.22834600
11.87679967,-4.72440900,3.22834600
11.94079966,-3.54330700,3.22834600
12.00479966,-1.96850400,3.22834600
12.06879966,-5.11811000,3.22834600
12.13279966,-0.78740150,3.22834600
12.19679966,0.39370070,3.30708700
12.26079965,-5.90551100,3.30708700
12.32479965,-0.39370070,3.22834600
12.38879965,-1.57480300,3.30708700
12.45279965,-3.54330700,3.30708700
12.51679965,-4.72440900,3.30708700
12.58079965,2.75590500,3.30708700
12.64479964,-4.33070900,3.30708700
12.70879964,-0.78740150,3.30708700
12.77279964,-2.36220500,3.30708700
12.83679964,-2.75590500,3.30708700
12.90079964,-9.44881800,3.30708700
12.96479963,0.39370070,3.22834600
13.02879963,-8.26771600,3.30708700
13.09279963,-5.90551100,3.30708700
13.15679963,-2.75590500,3.22834600
13.22079963,-2.36220500,3.30708700
13.28479963,-5.90551100,3.30708700
13.34879962,-4.33070900,3.30708700
13.41279962,-2.75590500,3.22834600
13.47679962,-7.87401500,3.30708700
13.54079962,-3.93700800,3.30708700
13.60479962,-6.29921200,3.30708700
13.66879961,-3.93700800,3.30708700
13.73279961,-7.08661400,3.30708700
13.79679961,-1.18110200,3.30708700
13.86079961,-8.26771600,3.22834600
13.92479961,-6.29921200,3.30708700
13.98879961,-9.05511800,3.30708700
14.05279960,-6.29921200,3.30708700
14.11679960,-11.81102000,3.30708700
14.18079960,-6.69291300,3.30708700
14.24479960,-8.26771600,3.30708700
14.30879960,-7.48031400,3.30708700
14.37279959,-9.05511800,3.30708700
14.43679959,-6.69291300,3.22834600
14.50079959,-9.05511800,3.22834600
14.56479959,-9.44881800,3.30708700
14.62879959,-3.14960600,3.30708700
14.69279959,-8.66141700,3.30708700
14.75679958,-7.48031400,3.30708700
14.82079958,-5.90551100,3.22834600
14.88479958,-2.36220500,3.30708700
14.94879958,-12.20472000,3.30708700
15.01279958,-1.96850400,3.30708700
15.07679957,-6.69291300,3.22834600
15.14079957,-5.90551100,3.22834600
15.20479957,-5.90551100,3.22834600
15.26879957,-0.39370070,3.22834600
15.33279957,-9.84251900,3.30708700
15.39679957,-4.33070900,3.30708700
15.46079956,-3.54330700,3.30708700
15.52479956,-11.02362000,3.30708700
15.58879956,-9.44881800,3.30708700
15.65279956,-3.93700800,3.30708700
15.71679956,-8.66141700,3.30708700
15.78079955,-8.66141700,3.22834600
15.84479955,-1.96850400,3.30708700
15.90879955,-9.44881800,3.22834600
15.97279955,-6.69291300,3.30708700
16.03679955,-5.51181100,3.22834600
16.10079955,-4.33070900,3.22834600
16.16479954,-11.02362000,3.30708700
16.22879954,-1.96850400,3.30708700
16.29279954,-7.48031400,3.30708700
16.35679954,-5.90551100,3.30708700
16.42079954,-8.66141700,3.30708700
16.48479953,-3.93700800,3.30708700
16.54879953,-9.84251900,3.30708700
16.61279953,-4.72440900,3.30708700
16.67679953,-4.72440900,3.30708700
16.74079953,-7.87401500,3.30708700
16.80479953,-7.08661400,3.30708700
16.86879952,-6.29921200,3.30708700
16.93279952,-7.87401500,3.30708700
16.99679952,-12.59842000,3.30708700
17.06079952,-7.48031400,3.30708700
17.12479952,-9.84251900,3.30708700
17.18879951,-8.26771600,3.30708700
17.25279951,-7.48031400,3.22834600
17.31679951,-2.75590500,3.30708700
17.38079951,-9.84251900,3.22834600
17.44479951,-2.75590500,3.30708700
17.50879951,-6.29921200,3.30708700
17.57279950,-8.66141700,3.30708700
17.63679950,-8.66141700,3.22834600
17.70079950,-1.57480300,3.30708700
17.76479950,-7.48031400,3.30708700
17.82879950,-5.11811000,3.22834600
17.89279949,-5.11811000,3.22834600
17.95679949,-5.11811000,3.30708700
18.02079949,-7.48031400,3.22834600
18.08479949,-7.48031400,3.30708700
18.14879949,-6.69291300,3.30708700
18.21279949,-11.81102000,3.30708700
18.27679948,-4.72440900,3.30708700
18.34079948,-8.26771600,3.22834600
18.40479948,-7.08661400,3.22834600
18.46879948,-10.62992000,3.30708700
18.53279948,-2.75590500,3.30708700
18.59679948,-10.23622000,3.22834600
18.66079947,-5.90551100,3.30708700
18.72479947,-6.69291300,3.22834600
18.78879947,-4.33070900,3.30708700
18.85279947,-7.87401500,3.30708700
18.91679947,-3.14960600,3.30708700
18.98079946,-5.90551100,3.30708700
19.04479946,-7.87401500,3.30708700
19.10879946,-4.33070900,3.30708700
19.17279946,-3.93700800,3.30708700
19.23679946,-7.48031400,3.30708700
19.30079946,-4.72440900,3.30708700
19.36479945,-2.36220500,3.30708700
19.42879945,-10.23622000,3.30708700
19.49279945,-6.29921200,3.30708700
19.55679945,-9.05511800,3.30708700
19.62079945,-9.44881800,3.30708700
19.68479944,-11.41732000,3.30708700
19.74879944,-2.36220500,3.30708700
19.81279944,-12.20472000,3.30708700
19.87679944,-5.51181100,3.22834600
19.94079944,-4.72440900,3.30708700
20.00479944,-5.90551100,3.30708700
20.06879943,-11.02362000,3.30708700
20.13279943,-3.14960600,3.30708700
20.19679943,-7.87401500,3.22834600
20.26079943,-11.02362000,3.22834600
20.32479943,-3.14960600,3.30708700
20.38879942,-7.87401500,3.30708700
20.45279942,-7.87401500,3.30708700
20.51679942,-5.51181100,3.30708700
20.58079942,-5.11811000,3.22834600
20.64479942,-11.81102000,3.30708700
20.70879942,-4.33070900,3.30708700
20.77279941,-8.66141700,3.30708700
20.83679941,-7.48031400,3.30708700
20.90079941,-9.44881800,3.30708700
20.96479941,-5.11811000,3.30708700
21.02879941,-11.41732000,3.22834600
21.09279940,-6.69291300,3.30708700
21.15679940,-9.84251900,3.30708700
21.22079940,-7.08661400,3.30708700
21.28479940,-8.66141700,3.30708700
21.34879940,-2.75590500,3.30708700
21.41279940,-4.72440900,3.30708700
21.47679939,-5.90551100,3.30708700
21.54079939,-4.33070900,3.30708700
21.60479939,-5.90551100,3.30708700
21.66879939,-5.51181100,3.30708700
21.73279939,-8.66141700,3.30708700
