Time,Channel A,Channel B
(us),(mV),(V)

-0.02940540,-5.11811000,0.00000000
0.03459459,-5.90551100,2.91338600
0.09859459,-9.84251900,3.22834600
0.16259459,-2.75590500,3.30708700
0.22659459,-8.26771600,3.22834600
0.29059459,-9.05511800,3.30708700
0.35459458,-7.87401500,3.22834600
0.41859458,-8.26771600,3.22834600
0.48259458,-8.66141700,3.22834600
0.54659458,-5.51181100,3.30708700
0.61059458,-2.75590500,3.22834600
0.67459458,-7.87401500,3.22834600
0.73859457,-3.14960600,3.22834600
0.80259457,-6.29921200,3.30708700
0.86659457,-5.51181100,3.22834600
0.93059457,-9.44881800,3.30708700
0.99459457,-1.18110200,3.22834600
1.05859457,-5.11811000,3.22834600
1.12259456,-1.57480300,3.22834600
1.18659456,-5.11811000,3.30708700
1.25059456,-0.39370070,3.22834600
1.31459456,-7.48031400,3.22834600
1.37859456,-3.93700800,3.22834600
1.44259455,0.78740150,3.30708700
1.50659455,-6.69291300,3.22834600
1.57059455,-5.90551100,3.22834600
1.63459455,-3.54330700,3.22834600
1.69859455,-4.33070900,3.22834600
1.76259455,-9.05511800,3.30708700
1.82659454,-1.18110200,3.30708700
1.89059454,-5.90551100,3.22834600
1.95459454,-3.14960600,3.22834600
2.01859454,-2.36220500,3.22834600
2.08259454,1.18110200,3.22834600
2.14659453,-5.51181100,3.22834600
2.21059453,1.96850400,3.22834600
2.27459453,-2.75590500,3.22834600
2.33859453,-3.54330700,3.22834600
2.40259453,-3.54330700,3.22834600
2.46659453,0.78740150,3.22834600
2.53059452,-5.51181100,3.30708700
2.59459452,-0.39370070,3.30708700
2.65859452,0.39370070,3.22834600
2.72259452,-3.93700800,3.22834600
2.78659452,-3.14960600,3.22834600
2.85059451,-1.96850400,3.30708700
2.91459451,-4.33070900,3.30708700
2.97859451,-6.29921200,3.30708700
3.04259451,1.57480300,3.22834600
3.10659451,-3.54330700,3.22834600
3.17059451,-1.18110200,3.22834600
3.23459450,-2.36220500,3.22834600
3.29859450,1.57480300,3.22834600
3.36259450,-8.66141700,3.22834600
3.42659450,-0.78740150,3.30708700
3.49059450,-2.75590500,3.30708700
3.55459449,-3.54330700,3.22834600
3.61859449,-4.33070900,3.30708700
3.68259449,0.39370070,3.30708700
3.74659449,-3.93700800,3.30708700
3.81059449,-5.11811000,3.30708700
3.87459449,0.39370070,3.30708700
3.93859448,-4.72440900,3.30708700
4.00259448,-4.72440900,3.30708700
4.06659448,-2.75590500,3.30708700
4.13059448,-1.57480300,3.30708700
4.19459448,-8.66141700,3.30708700
4.25859447,-1.96850400,3.30708700
4.32259447,-6.29921200,3.22834600
4.38659447,-7.48031400,3.22834600
4.45059447,-7.48031400,3.30708700
4.51459447,-3.54330700,3.22834600
4.57859447,-8.66141700,3.22834600
4.64259446,-1.18110200,3.30708700
4.70659446,-3.54330700,3.30708700
4.77059446,-3.54330700,3.22834600
4.83459446,-7.48031400,3.22834600
4.89859446,-2.75590500,3.22834600
4.96259445,-4.72440900,3.22834600
5.02659445,-5.90551100,3.30708700
5.09059445,-1.96850400,3.30708700
5.15459445,-3.54330700,3.30708700
5.21859445,-0.78740150,3.30708700
5.28259445,-4.33070900,3.30708700
5.34659444,0.39370070,3.30708700
5.41059444,-7.48031400,3.30708700
5.47459444,-3.54330700,3.30708700
5.53859444,-4.72440900,3.22834600
5.60259444,-2.36220500,3.30708700
5.66659443,-7.48031400,3.30708700
5.73059443,0.39370070,3.30708700
5.79459443,-4.33070900,3.30708700
5.85859443,-5.90551100,3.30708700
5.92259443,-3.14960600,3.30708700
5.98659443,-2.36220500,3.30708700
6.05059442,-5.90551100,3.30708700
6.11459442,-1.57480300,3.30708700
6.17859442,0.00000000,3.30708700
6.24259442,-7.48031400,3.30708700
6.30659442,-1.57480300,3.30708700
6.37059441,-1.96850400,3.30708700
6.43459441,-4.33070900,3.30708700
6.49859441,-6.29921200,3.30708700
6.56259441,3.14960600,3.30708700
6.62659441,-6.29921200,3.30708700
6.69059441,-1.18110200,3.30708700
6.75459440,-3.14960600,3.30708700
6.81859440,-2.75590500,3.30708700
6.88259440,-8.26771600,3.30708700
6.94659440,-1.57480300,3.30708700
7.01059440,-7.08661400,3.30708700
7.07459439,-7.48031400,3.30708700
7.13859439,-4.72440900,3.30708700
7.20259439,-3.93700800,3.30708700
7.26659439,-3.14960600,3.30708700
7.33059439,-4.72440900,3.30708700
7.39459439,-1.57480300,3.22834600
7.45859438,-8.66141700,3.30708700
7.52259438,-1.96850400,3.30708700
7.58659438,-5.11811000,3.30708700
7.65059438,-3.14960600,3.30708700
7.71459438,-4.72440900,3.30708700
7.77859437,1.96850400,3.30708700
7.84259437,-4.33070900,3.30708700
7.90659437,-1.96850400,3.30708700
7.97059437,-3.54330700,3.30708700
8.03459437,-1.18110200,3.30708700
8.09859437,-5.90551100,3.30708700
8.16259436,-1.57480300,3.30708700
8.22659436,-3.14960600,3.30708700
8.29059436,-4.72440900,3.30708700
8.35459436,-1.96850400,3.30708700
8.41859436,-4.33070900,3.30708700
8.48259436,-5.51181100,3.30708700
8.54659435,-5.90551100,3.30708700
8.61059435,0.39370070,3.30708700
8.67459435,-6.29921200,3.30708700
8.73859435,-0.39370070,3.30708700
8.80259435,-2.75590500,3.30708700
8.86659434,-1.96850400,3.30708700
8.93059434,-7.08661400,3.30708700
8.99459434,-1.18110200,3.30708700
9.05859434,-7.08661400,3.30708700
9.12259434,-3.14960600,3.30708700
9.18659434,-2.36220500,3.30708700
9.25059433,-0.39370070,3.30708700
9.31459433,-2.75590500,3.30708700
9.37859433,-1.96850400,3.30708700
9.44259433,-0.78740150,3.30708700
9.50659433,-4.33070900,3.30708700
9.57059432,-3.54330700,3.30708700
9.63459432,-3.14960600,3.30708700
9.69859432,-1.57480300,3.30708700
9.76259432,-4.72440900,3.30708700
9.82659432,1.18110200,3.30708700
9.89059432,-3.93700800,3.30708700
9.95459431,-2.36220500,3.30708700
10.01859431,-3.54330700,3.30708700
10.08259431,1.57480300,3.22834600
10.14659431,-7.48031400,3.30708700
10.21059431,0.78740150,3.30708700
10.27459430,-1.18110200,3.22834600
10.33859430,-2.36220500,3.30708700
10.40259430,-2.36220500,3.30708700
10.46659430,1.57480300,3.30708700
10.53059430,-4.33070900,3.30708700
10.59459430,-3.54330700,3.30708700
10.65859429,2.36220500,3.30708700
10.72259429,-5.11811000,3.30708700
10.78659429,-1.96850400,3.30708700
10.85059429,0.00000000,3.30708700
10.91459429,-1.57480300,3.30708700
10.97859428,-7.87401500,3.30708700
11.04259428,1.57480300,3.30708700
11.10659428,-5.90551100,3.30708700
11.17059428,-3.14960600,3.30708700
11.23459428,-1.18110200,3.30708700
11.29859428,1.18110200,3.30708700
11.36259427,-5.90551100,3.30708700
11.42659427,0.78740150,3.30708700
11.49059427,-1.96850400,3.30708700
11.55459427,-5.11811000,3.30708700
11.61859427,-4.33070900,3.30708700
11.68259426,-0.78740150,3.30708700
11.74659426,-3.54330700,3.30708700
11.81059426,-3.14960600,3.30708700
11.87459426,1.57480300,3.30708700
11.93859426,-3.54330700,3.30708700
12.00259426,-1.57480300,3.30708700
12.06659425,-4.33070900,3.30708700
12.13059425,-1.96850400,3.30708700
12.19459425,-9.44881800,3.30708700
12.25859425,-0.78740150,3.30708700
12.32259425,-5.51181100,3.30708700
12.38659424,-3.93700800,3.30708700
12.45059424,-7.48031400,3.30708700
12.51459424,-1.57480300,3.30708700
12.57859424,-7.87401500,3.30708700
12.64259424,-5.51181100,3.22834600
12.70659424,-2.36220500,3.30708700
12.77059423,-5.11811000,3.30708700
12.83459423,-5.51181100,3.30708700
12.89859423,-2.75590500,3.30708700
12.96259423,-5.51181100,3.22834600
13.02659423,-8.66141700,3.30708700
13.09059422,-2.36220500,3.30708700
13.15459422,-7.48031400,3.30708700
13.21859422,-5.90551100,3.30708700
13.28259422,-6.29921200,3.30708700
13.34659422,-1.96850400,3.30708700
13.41059422,-8.66141700,3.30708700
13.47459421,-3.54330700,3.30708700
13.53859421,-7.87401500,3.30708700
13.60259421,-7.48031400,3.30708700
13.66659421,-11.41732000,3.30708700
13.73059421,-5.11811000,3.30708700
13.79459420,-8.26771600,3.30708700
13.85859420,-9.05511800,3.30708700
13.92259420,-5.51181100,3.30708700
13.98659420,-7.08661400,3.30708700
14.05059420,-9.05511800,3.30708700
14.11459420,-9.44881800,3.30708700
14.17859419,-4.72440900,3.30708700
14.24259419,-11.81102000,3.30708700
14.30659419,-5.11811000,3.30708700
14.37059419,-6.29921200,3.30708700
14.43459419,-5.51181100,3.30708700
14.49859418,-9.05511800,3.30708700
14.56259418,-1.18110200,3.30708700
14.62659418,-9.44881800,3.30708700
14.69059418,-7.48031400,3.30708700
14.75459418,-6.69291300,3.30708700
14.81859418,-7.08661400,3.30708700
14.88259417,-10.62992000,3.30708700
14.94659417,-4.72440900,3.30708700
15.01059417,-8.66141700,3.30708700
15.07459417,-11.41732000,3.30708700
15.13859417,-7.48031400,3.30708700
15.20259417,-9.05511800,3.30708700
15.26659416,-10.62992000,3.30708700
15.33059416,-8.66141700,3.30708700
15.39459416,-4.33070900,3.30708700
15.45859416,-11.81102000,3.30708700
15.52259416,-6.29921200,3.30708700
15.58659415,-10.23622000,3.30708700
15.65059415,-9.44881800,3.30708700
15.71459415,-10.62992000,3.30708700
15.77859415,-3.54330700,3.30708700
15.84259415,-12.20472000,3.22834600
15.90659415,-5.90551100,3.30708700
15.97059414,-6.29921200,3.30708700
16.03459414,-7.48031400,3.30708700
16.09859414,-9.05511800,3.30708700
16.16259414,-7.48031400,3.30708700
16.22659414,-8.66141700,3.30708700
16.29059413,-11.81102000,3.30708700
16.35459413,-7.87401500,3.30708700
16.41859413,-9.84251900,3.30708700
16.48259413,-8.66141700,3.30708700
16.54659413,-9.84251900,3.30708700
16.61059413,-4.72440900,3.30708700
16.67459412,-11.02362000,3.30708700
16.73859412,-6.29921200,3.30708700
16.80259412,-7.08661400,3.30708700
16.86659412,-4.72440900,3.30708700
16.93059412,-10.23622000,3.30708700
16.99459411,-3.54330700,3.30708700
17.05859411,-8.26771600,3.30708700
17.12259411,-7.87401500,3.30708700
17.18659411,-7.48031400,3.30708700
17.25059411,-6.69291300,3.30708700
17.31459411,-8.66141700,3.30708700
17.37859410,-5.51181100,3.30708700
17.44259410,-4.33070900,3.30708700
17.50659410,-10.23622000,3.30708700
17.57059410,-6.29921200,3.30708700
17.63459410,-9.44881800,3.30708700
17.69859409,-8.66141700,3.30708700
17.76259409,-13.77953000,3.30708700
17.82659409,-7.48031400,3.30708700
17.89059409,-12.59842000,3.22834600
17.95459409,-7.48031400,3.30708700
18.01859409,-10.23622000,3.30708700
18.08259408,-7.48031400,3.22834600
18.14659408,-11.81102000,3.30708700
18.21059408,-9.84251900,3.30708700
18.27459408,-8.66141700,3.30708700
18.33859408,-11.81102000,3.30708700
18.40259407,-8.26771600,3.30708700
18.46659407,-5.51181100,3.30708700
18.53059407,-9.44881800,3.30708700
18.59459407,-9.44881800,3.30708700
18.65859407,-4.33070900,3.30708700
18.72259407,-11.81102000,3.30708700
18.78659406,-9.44881800,3.30708700
18.85059406,-6.69291300,3.30708700
18.91459406,-7.08661400,3.30708700
18.97859406,-13.38583000,3.30708700
19.04259406,-2.36220500,3.30708700
19.10659405,-8.66141700,3.30708700
19.17059405,-9.84251900,3.30708700
19.23459405,-7.87401500,3.30708700
19.29859405,-5.11811000,3.30708700
19.36259405,-11.41732000,3.30708700
19.42659405,-5.51181100,3.30708700
19.49059404,-4.33070900,3.30708700
19.55459404,-11.02362000,3.30708700
19.61859404,-6.29921200,3.30708700
19.68259404,-6.69291300,3.30708700
19.74659404,-8.66141700,3.30708700
19.81059403,-10.23622000,3.30708700
19.87459403,-1.57480300,3.30708700
19.93859403,-8.66141700,3.30708700
20.00259403,-3.93700800,3.30708700
20.06659403,-5.90551100,3.30708700
20.13059403,-5.90551100,3.30708700
20.19459402,-11.02362000,3.30708700
20.25859402,-6.29921200,3.30708700
20.32259402,-11.81102000,3.30708700
20.38659402,-10.62992000,3.30708700
20.45059402,-10.23622000,3.30708700
20.51459401,-8.26771600,3.30708700
20.57859401,-12.20472000,3.30708700
20.64259401,-9.84251900,3.30708700
20.70659401,-9.84251900,3.30708700
20.77059401,-10.62992000,3.22834600
20.83459401,-9.84251900,3.22834600
20.89859400,-11.41732000,3.30708700
20.96259400,-7.48031400,3.22834600
21.02659400,-13.38583000,3.22834600
21.09059400,-4.33070900,3.30708700
21.15459400,-10.23622000,3.30708700
21.21859399,-8.26771600,3.30708700
21.28259399,-9.84251900,3.30708700
21.34659399,-3.54330700,3.30708700
21.41059399,-10.23622000,3.30708700
21.47459399,-4.33070900,3.30708700
21.53859399,-5.11811000,3.30708700
21.60259398,-7.08661400,3.30708700
21.66659398,-8.66141700,3.30708700
