Time,Channel A,Channel B
(us),(mV),(V)

-0.02925714,-3.54330700,0.07874016
0.03474286,1.18110200,2.83464600
0.09874286,-10.62992000,3.22834600
0.16274285,-5.90551100,3.22834600
0.22674285,-6.69291300,3.22834600
0.29074285,-7.87401500,3.22834600
0.35474285,-9.84251900,3.22834600
0.41874285,-3.14960600,3.22834600
0.48274284,-12.59842000,3.22834600
0.54674284,-5.51181100,3.22834600
0.61074284,-3.93700800,3.22834600
0.67474284,-2.36220500,3.22834600
0.73874284,-5.51181100,3.22834600
0.80274284,0.78740150,3.22834600
0.86674283,-3.93700800,3.22834600
0.93074283,-4.72440900,3.22834600
0.99474283,-1.96850400,3.22834600
1.05874283,-3.54330700,3.22834600
1.12274283,-4.33070900,3.22834600
1.18674282,-1.18110200,3.22834600
1.25074282,0.00000000,3.30708700
1.31474282,-3.54330700,3.22834600
1.37874282,-1.57480300,3.22834600
1.44274282,-4.72440900,3.22834600
1.50674282,-3.93700800,3.30708700
1.57074281,-9.05511800,3.22834600
1.63474281,-1.96850400,3.22834600
1.69874281,-7.48031400,3.22834600
1.76274281,-3.14960600,3.22834600
1.82674281,-5.11811000,3.22834600
1.89074280,0.00000000,3.22834600
1.95474280,-5.90551100,3.22834600
2.01874280,-1.57480300,3.30708700
2.08274280,-1.18110200,3.22834600
2.14674280,-3.54330700,3.22834600
2.21074280,-2.75590500,3.22834600
2.27474279,1.57480300,3.22834600
2.33874279,-1.18110200,3.22834600
2.40274279,-4.72440900,3.22834600
2.46674279,2.36220500,3.30708700
2.53074279,-4.33070900,3.22834600
2.59474278,-1.96850400,3.22834600
2.65874278,-0.39370070,3.22834600
2.72274278,0.39370070,3.22834600
2.78674278,-5.90551100,3.22834600
2.85074278,1.57480300,3.30708700
2.91474278,-3.54330700,3.22834600
2.97874277,-3.54330700,3.22834600
3.04274277,-5.11811000,3.30708700
3.10674277,-0.78740150,3.22834600
3.17074277,-7.08661400,3.22834600
3.23474277,-2.36220500,3.22834600
3.29874276,-0.78740150,3.22834600
3.36274276,-2.75590500,3.22834600
3.42674276,0.00000000,3.22834600
3.49074276,0.00000000,3.22834600
3.55474276,-0.78740150,3.30708700
3.61874276,-5.11811000,3.30708700
3.68274275,1.96850400,3.22834600
3.74674275,-5.11811000,3.22834600
3.81074275,-0.78740150,3.30708700
3.87474275,-5.11811000,3.22834600
3.93874275,1.96850400,3.30708700
4.00274274,-5.51181100,3.30708700
4.06674274,0.00000000,3.22834600
4.13074274,-3.54330700,3.22834600
4.19474274,-6.69291300,3.22834600
4.25874274,-4.72440900,3.30708700
4.32274274,-1.57480300,3.22834600
4.38674273,-6.29921200,3.30708700
4.45074273,-5.51181100,3.30708700
4.51474273,-5.11811000,3.30708700
4.57874273,-7.87401500,3.22834600
4.64274273,-6.69291300,3.22834600
4.70674272,-5.11811000,3.22834600
4.77074272,-3.93700800,3.22834600
4.83474272,-7.87401500,3.22834600
4.89874272,1.96850400,3.30708700
4.96274272,-7.08661400,3.22834600
5.02674272,-2.75590500,3.22834600
5.09074271,-5.11811000,3.30708700
5.15474271,-0.78740150,3.22834600
5.21874271,-7.48031400,3.30708700
5.28274271,0.00000000,3.22834600
5.34674271,-3.54330700,3.30708700
5.41074270,-1.57480300,3.30708700
5.47474270,-5.11811000,3.30708700
5.53874270,-3.93700800,3.30708700
5.60274270,-5.11811000,3.22834600
5.66674270,-7.08661400,3.22834600
5.73074270,-3.14960600,3.30708700
5.79474269,-3.54330700,3.30708700
5.85874269,-4.33070900,3.30708700
5.92274269,-5.11811000,3.22834600
5.98674269,0.00000000,3.30708700
6.05074269,-7.08661400,3.30708700
6.11474269,-1.57480300,3.30708700
6.17874268,-3.14960600,3.22834600
6.24274268,-3.54330700,3.30708700
6.30674268,-3.93700800,3.22834600
6.37074268,2.36220500,3.30708700
6.43474268,-6.29921200,3.30708700
6.49874267,-1.96850400,3.22834600
6.56274267,-0.39370070,3.30708700
6.62674267,-3.14960600,3.30708700
6.69074267,-6.69291300,3.30708700
6.75474267,-1.18110200,3.30708700
6.81874267,-5.11811000,3.30708700
6.88274266,-6.69291300,3.30708700
6.94674266,-0.39370070,3.22834600
7.01074266,-5.90551100,3.30708700
7.07474266,-6.69291300,3.22834600
7.13874266,-7.87401500,3.30708700
7.20274265,-3.93700800,3.30708700
7.26674265,-11.81102000,3.22834600
7.33074265,-1.96850400,3.22834600
7.39474265,-4.72440900,3.30708700
7.45874265,-6.29921200,3.22834600
7.52274265,-5.90551100,3.22834600
7.58674264,-2.36220500,3.22834600
7.65074264,-7.48031400,3.22834600
7.71474264,-3.54330700,3.30708700
7.77874264,-2.75590500,3.22834600
7.84274264,-3.14960600,3.30708700
7.90674263,-4.33070900,3.30708700
7.97074263,0.00000000,3.30708700
8.03474263,-1.96850400,3.30708700
8.09874263,-5.90551100,3.30708700
8.16274263,-3.54330700,3.30708700
8.22674263,-6.29921200,3.30708700
8.29074262,-5.51181100,3.30708700
8.35474262,-7.08661400,3.30708700
8.41874262,-1.96850400,3.30708700
8.48274262,-7.48031400,3.30708700
8.54674262,-3.54330700,3.30708700
8.61074261,-4.33070900,3.30708700
8.67474261,-1.96850400,3.30708700
8.73874261,-7.08661400,3.30708700
8.80274261,0.39370070,3.30708700
8.86674261,-3.14960600,3.22834600
8.93074261,-4.33070900,3.30708700
8.99474260,-0.78740150,3.30708700
9.05874260,-1.57480300,3.30708700
9.12274260,-3.93700800,3.30708700
9.18674260,-3.54330700,3.30708700
9.25074260,0.39370070,3.30708700
9.31474259,-5.11811000,3.30708700
9.37874259,0.39370070,3.30708700
9.44274259,-0.39370070,3.30708700
9.50674259,-1.18110200,3.30708700
9.57074259,-4.72440900,3.30708700
9.63474259,1.57480300,3.30708700
9.69874258,-5.11811000,3.30708700
9.76274258,-4.33070900,3.30708700
9.82674258,-3.93700800,3.30708700
9.89074258,-0.78740150,3.30708700
9.95474258,-5.90551100,3.22834600
10.01874257,0.39370070,3.22834600
10.08274257,-0.78740150,3.30708700
10.14674257,-4.72440900,3.30708700
10.21074257,-1.96850400,3.30708700
10.27474257,-1.18110200,3.30708700
10.33874257,-3.14960600,3.30708700
10.40274256,-4.72440900,3.30708700
10.46674256,3.93700800,3.30708700
10.53074256,-4.72440900,3.30708700
10.59474256,-0.78740150,3.30708700
10.65874256,-1.57480300,3.22834600
10.72274255,-0.78740150,3.30708700
10.78674255,-5.90551100,3.30708700
10.85074255,1.57480300,3.30708700
10.91474255,-5.51181100,3.30708700
10.97874255,-3.93700800,3.30708700
11.04274255,-1.96850400,3.30708700
11.10674254,-1.18110200,3.30708700
11.17074254,-4.72440900,3.30708700
11.23474254,-1.96850400,3.30708700
11.29874254,-2.36220500,3.30708700
11.36274254,-3.93700800,3.30708700
11.42674253,0.00000000,3.30708700
11.49074253,-0.78740150,3.30708700
11.55474253,0.39370070,3.30708700
11.61874253,-1.57480300,3.30708700
11.68274253,1.96850400,3.30708700
11.74674253,-3.93700800,3.30708700
11.81074252,-0.78740150,3.30708700
11.87474252,-3.54330700,3.30708700
11.93874252,1.96850400,3.30708700
12.00274252,-4.33070900,3.30708700
12.06674252,0.78740150,3.30708700
12.13074251,-3.14960600,3.30708700
12.19474251,-3.14960600,3.22834600
12.25874251,-5.11811000,3.30708700
12.32274251,-3.14960600,3.30708700
12.38674251,-6.69291300,3.30708700
12.45074251,-7.48031400,3.30708700
12.51474250,-1.57480300,3.30708700
12.57874250,-6.69291300,3.30708700
12.64274250,-4.72440900,3.30708700
12.70674250,-3.54330700,3.30708700
12.77074250,-3.54330700,3.22834600
12.83474249,-10.62992000,3.22834600
12.89874249,-1.57480300,3.30708700
12.96274249,-8.26771600,3.30708700
13.02674249,-4.72440900,3.30708700
13.09074249,-3.93700800,3.30708700
13.15474249,-3.54330700,3.22834600
13.21874248,-9.05511800,3.30708700
13.28274248,-3.14960600,3.30708700
13.34674248,-5.90551100,3.30708700
13.41074248,-6.69291300,3.22834600
13.47474248,-6.69291300,3.30708700
13.53874248,-3.93700800,3.30708700
13.60274247,-8.66141700,3.30708700
13.66674247,-7.87401500,3.30708700
13.73074247,-4.72440900,3.30708700
13.79474247,-11.02362000,3.30708700
13.85874247,-7.87401500,3.22834600
13.92274246,-7.48031400,3.30708700
13.98674246,-7.08661400,3.30708700
14.05074246,-11.02362000,3.30708700
14.11474246,-1.57480300,3.30708700
14.17874246,-7.08661400,3.30708700
14.24274246,-4.33070900,3.30708700
14.30674245,-5.51181100,3.30708700
14.37074245,-3.14960600,3.30708700
14.43474245,-8.66141700,3.30708700
14.49874245,-3.14960600,3.30708700
14.56274245,-3.54330700,3.30708700
14.62674244,-6.69291300,3.30708700
14.69074244,-5.11811000,3.30708700
14.75474244,-2.75590500,3.30708700
14.81874244,-7.87401500,3.22834600
14.88274244,-9.84251900,3.30708700
14.94674244,-4.72440900,3.30708700
15.01074243,-9.44881800,3.30708700
15.07474243,-7.48031400,3.30708700
15.13874243,-7.87401500,3.30708700
15.20274243,-5.90551100,3.22834600
15.26674243,-12.59842000,3.30708700
15.33074242,-5.51181100,3.30708700
15.39474242,-10.23622000,3.30708700
15.45874242,-9.05511800,3.22834600
15.52274242,-10.23622000,3.22834600
15.58674242,-4.33070900,3.22834600
15.65074242,-11.02362000,3.22834600
15.71474241,-5.90551100,3.30708700
15.77874241,-5.90551100,3.30708700
15.84274241,-10.23622000,3.22834600
15.90674241,-7.87401500,3.30708700
15.97074241,-8.66141700,3.30708700
16.03474240,-7.08661400,3.30708700
16.09874240,-9.84251900,3.30708700
16.16274240,-5.11811000,3.30708700
16.22674240,-8.66141700,3.30708700
16.29074240,-9.44881800,3.30708700
16.35474240,-12.20472000,3.30708700
16.41874239,-7.08661400,3.30708700
16.48274239,-12.99213000,3.30708700
16.54674239,-7.87401500,3.30708700
16.61074239,-6.69291300,3.30708700
16.67474239,-6.29921200,3.30708700
16.73874238,-7.48031400,3.30708700
16.80274238,-0.78740150,3.30708700
16.86674238,-7.48031400,3.30708700
16.93074238,-7.87401500,3.30708700
16.99474238,-3.14960600,3.30708700
17.05874238,-6.69291300,3.30708700
17.12274237,-8.66141700,3.30708700
17.18674237,-4.33070900,3.30708700
17.25074237,-3.93700800,3.30708700
17.31474237,-9.84251900,3.30708700
17.37874237,-1.18110200,3.30708700
17.44274236,-7.08661400,3.30708700
17.50674236,-8.66141700,3.30708700
17.57074236,-8.66141700,3.30708700
17.63474236,-3.14960600,3.30708700
17.69874236,-13.38583000,3.30708700
17.76274236,-7.08661400,3.30708700
17.82674235,-9.84251900,3.30708700
17.89074235,-10.62992000,3.22834600
17.95474235,-12.20472000,3.30708700
18.01874235,-9.44881800,3.22834600
18.08274235,-11.81102000,3.30708700
18.14674234,-9.84251900,3.30708700
18.21074234,-7.87401500,3.30708700
18.27474234,-9.44881800,3.30708700
18.33874234,-9.44881800,3.30708700
18.40274234,-7.87401500,3.22834600
18.46674234,-7.08661400,3.30708700
18.53074233,-13.38583000,3.30708700
18.59474233,-6.69291300,3.30708700
18.65874233,-9.84251900,3.22834600
18.72274233,-6.29921200,3.22834600
18.78674233,-9.44881800,3.30708700
18.85074232,-4.33070900,3.30708700
18.91474232,-11.81102000,3.30708700
18.97874232,-7.08661400,3.30708700
19.04274232,-8.66141700,3.30708700
19.10674232,-7.87401500,3.30708700
19.17074232,-10.23622000,3.30708700
19.23474231,-4.72440900,3.30708700
19.29874231,-6.69291300,3.30708700
19.36274231,-8.26771600,3.30708700
19.42674231,-4.33070900,3.30708700
19.49074231,-7.08661400,3.30708700
19.55474230,-7.08661400,3.30708700
19.61874230,-6.69291300,3.30708700
19.68274230,-2.75590500,3.30708700
19.74674230,-7.87401500,3.30708700
19.81074230,-1.96850400,3.30708700
19.87474230,-5.11811000,3.30708700
19.93874229,-4.33070900,3.30708700
20.00274229,-7.87401500,3.30708700
20.06674229,-3.14960600,3.30708700
20.13074229,-8.26771600,3.30708700
20.19474229,-6.69291300,3.30708700
20.25874229,-7.48031400,3.30708700
20.32274228,-6.69291300,3.30708700
20.38674228,-11.41732000,3.30708700
20.45074228,-8.66141700,3.30708700
20.51474228,-10.62992000,3.30708700
20.57874228,-13.38583000,3.30708700
20.64274227,-9.44881800,3.30708700
20.70674227,-10.62992000,3.30708700
20.77074227,-8.26771600,3.30708700
20.83474227,-11.02362000,3.30708700
20.89874227,-5.90551100,3.30708700
20.96274227,-12.20472000,3.30708700
21.02674226,-9.84251900,3.22834600
21.09074226,-8.26771600,3.22834600
21.15474226,-7.87401500,3.30708700
21.21874226,-10.62992000,3.30708700
21.28274226,-1.96850400,3.30708700
21.34674225,-7.08661400,3.30708700
21.41074225,-7.08661400,3.30708700
21.47474225,-2.75590500,3.30708700
21.53874225,-5.51181100,3.30708700
21.60274225,-9.44881800,3.30708700
21.66674225,-5.90551100,3.30708700
