Time,Channel A,Channel B
(us),(mV),(V)

-0.02863158,0.00000000,0.00000000
0.03536842,-15.74803000,2.99212600
0.09936842,-5.11811000,3.22834600
0.16336842,-3.14960600,3.22834600
0.22736842,-8.26771600,3.22834600
0.29136841,-6.29921200,3.22834600
0.35536841,-5.90551100,3.22834600
0.41936841,-4.33070900,3.22834600
0.48336841,-8.26771600,3.22834600
0.54736841,1.57480300,3.22834600
0.61136840,-5.90551100,3.22834600
0.67536840,-2.36220500,3.22834600
0.73936840,-4.72440900,3.22834600
0.80336840,0.00000000,3.22834600
0.86736840,-7.48031400,3.22834600
0.93136840,-1.96850400,3.22834600
0.99536839,-3.14960600,3.22834600
1.05936839,-2.36220500,3.22834600
1.12336839,-3.14960600,3.22834600
1.18736839,0.00000000,3.22834600
1.25136839,-4.72440900,3.22834600
1.31536838,-3.93700800,3.22834600
1.37936838,-1.57480300,3.30708700
1.44336838,-5.51181100,3.22834600
1.50736838,-4.72440900,3.22834600
1.57136838,-3.54330700,3.22834600
1.63536838,-1.18110200,3.22834600
1.69936837,-7.87401500,3.22834600
1.76336837,0.00000000,3.22834600
1.82736837,-6.29921200,3.22834600
1.89136837,-1.18110200,3.22834600
1.95536837,-2.36220500,3.22834600
2.01936836,2.75590500,3.22834600
2.08336836,-4.33070900,3.22834600
2.14736836,1.96850400,3.22834600
2.21136836,-0.39370070,3.22834600
2.27536836,-1.57480300,3.22834600
2.33936836,-2.75590500,3.22834600
2.40336835,-0.39370070,3.22834600
2.46736835,0.00000000,3.22834600
2.53136835,-1.96850400,3.22834600
2.59536835,2.36220500,3.22834600
2.65936835,-1.57480300,3.22834600
2.72336834,-0.78740150,3.22834600
2.78736834,-3.14960600,3.22834600
2.85136834,1.18110200,3.22834600
2.91536834,-6.29921200,3.22834600
2.97936834,0.00000000,3.22834600
3.04336834,-1.18110200,3.22834600
3.10736833,0.78740150,3.22834600
3.17136833,-4.72440900,3.22834600
3.23536833,3.93700800,3.22834600
3.29936833,-4.72440900,3.30708700
3.36336833,-2.75590500,3.30708700
3.42736833,0.00000000,3.22834600
3.49136832,-0.78740150,3.22834600
3.55536832,-4.33070900,3.30708700
3.61936832,0.78740150,3.22834600
3.68336832,0.78740150,3.22834600
3.74736832,-7.48031400,3.30708700
3.81136831,1.57480300,3.30708700
3.87536831,-1.96850400,3.22834600
3.93936831,-3.14960600,3.22834600
4.00336831,-4.33070900,3.22834600
4.06736831,1.57480300,3.22834600
4.13136831,-8.66141700,3.30708700
4.19536830,-0.39370070,3.30708700
4.25936830,-2.36220500,3.22834600
4.32336830,-5.11811000,3.22834600
4.38736830,-7.87401500,3.22834600
4.45136830,0.39370070,3.30708700
4.51536829,-7.08661400,3.22834600
4.57936829,-3.93700800,3.22834600
4.64336829,0.00000000,3.22834600
4.70736829,-2.75590500,3.22834600
4.77136829,-4.33070900,3.30708700
4.83536829,-2.75590500,3.22834600
4.89936828,-1.18110200,3.22834600
4.96336828,-7.48031400,3.22834600
5.02736828,0.39370070,3.22834600
5.09136828,-2.36220500,3.30708700
5.15536828,-0.78740150,3.22834600
5.21936827,-4.33070900,3.22834600
5.28336827,3.93700800,3.22834600
5.34736827,-5.90551100,3.22834600
5.41136827,-2.36220500,3.30708700
5.47536827,-3.93700800,3.22834600
5.53936827,-1.57480300,3.22834600
5.60336826,-4.72440900,3.30708700
5.66736826,0.78740150,3.30708700
5.73136826,-1.96850400,3.22834600
5.79536826,-5.11811000,3.30708700
5.85936826,-1.18110200,3.30708700
5.92336825,-1.96850400,3.30708700
5.98736825,-3.54330700,3.22834600
6.05136825,-2.36220500,3.22834600
6.11536825,1.96850400,3.30708700
6.17936825,-4.33070900,3.30708700
6.24336825,-0.78740150,3.22834600
6.30736824,-3.14960600,3.30708700
6.37136824,-1.18110200,3.30708700
6.43536824,-5.51181100,3.30708700
6.49936824,2.75590500,3.30708700
6.56336824,-3.93700800,3.30708700
6.62736823,-1.18110200,3.30708700
6.69136823,-3.93700800,3.22834600
6.75536823,-0.39370070,3.30708700
6.81936823,-6.69291300,3.22834600
6.88336823,-3.54330700,3.30708700
6.94736823,-2.75590500,3.30708700
7.01136822,-5.90551100,3.30708700
7.07536822,-4.33070900,3.30708700
7.13936822,-4.33070900,3.22834600
7.20336822,-3.14960600,3.30708700
7.26736822,-5.90551100,3.30708700
7.33136821,1.18110200,3.22834600
7.39536821,-5.90551100,3.22834600
7.45936821,-4.72440900,3.22834600
7.52336821,-2.36220500,3.22834600
7.58736821,0.00000000,3.30708700
7.65136821,-7.87401500,3.30708700
7.71536820,1.96850400,3.22834600
7.77936820,-1.96850400,3.22834600
7.84336820,-2.36220500,3.30708700
7.90736820,-2.36220500,3.22834600
7.97136820,1.18110200,3.30708700
8.03536819,-7.08661400,3.30708700
8.09936819,-1.18110200,3.22834600
8.16336819,-0.39370070,3.30708700
8.22736819,-5.11811000,3.30708700
8.29136819,-1.96850400,3.30708700
8.35536819,-0.78740150,3.30708700
8.41936818,-3.54330700,3.30708700
8.48336818,-5.90551100,3.30708700
8.54736818,1.96850400,3.22834600
8.61136818,-6.29921200,3.22834600
8.67536818,1.18110200,3.30708700
8.73936817,-1.96850400,3.30708700
8.80336817,0.00000000,3.30708700
8.86736817,-6.69291300,3.30708700
8.93136817,0.39370070,3.30708700
8.99536817,-5.11811000,3.30708700
9.05936817,-3.93700800,3.30708700
9.12336816,-2.75590500,3.30708700
9.18736816,0.39370070,3.30708700
9.25136816,-2.36220500,3.30708700
9.31536816,-1.18110200,3.30708700
9.37936816,-0.78740150,3.30708700
9.44336815,-3.93700800,3.30708700
9.50736815,-0.78740150,3.30708700
9.57136815,-0.39370070,3.30708700
9.63536815,-0.39370070,3.22834600
9.69936815,-5.11811000,3.30708700
9.76336815,2.75590500,3.30708700
9.82736814,-2.75590500,3.30708700
9.89136814,-0.39370070,3.22834600
9.95536814,-3.14960600,3.22834600
10.01936814,2.36220500,3.22834600
10.08336814,-5.11811000,3.30708700
10.14736814,2.36220500,3.30708700
10.21136813,0.00000000,3.22834600
10.27536813,-1.18110200,3.30708700
10.33936813,-1.18110200,3.30708700
10.40336813,1.57480300,3.30708700
10.46736813,-2.36220500,3.22834600
10.53136812,-2.75590500,3.30708700
10.59536812,2.36220500,3.30708700
10.65936812,-1.96850400,3.30708700
10.72336812,-0.39370070,3.30708700
10.78736812,-1.57480300,3.30708700
10.85136812,0.78740150,3.22834600
10.91536811,-5.51181100,3.30708700
10.97936811,1.18110200,3.30708700
11.04336811,-2.36220500,3.30708700
11.10736811,-1.57480300,3.22834600
11.17136811,-2.36220500,3.30708700
11.23536810,4.72440900,3.30708700
11.29936810,-4.33070900,3.22834600
11.36336810,0.39370070,3.30708700
11.42736810,-0.39370070,3.22834600
11.49136810,-1.57480300,3.22834600
11.55536810,-4.72440900,3.30708700
11.61936809,2.36220500,3.30708700
11.68336809,-1.18110200,3.30708700
11.74736809,-3.93700800,3.30708700
11.81136809,5.11811000,3.30708700
11.87536809,-1.57480300,3.30708700
11.93936808,-3.54330700,3.30708700
12.00336808,-3.14960600,3.30708700
12.06736808,1.96850400,3.30708700
12.13136808,-9.05511800,3.30708700
12.19536808,0.78740150,3.30708700
12.25936808,-2.36220500,3.30708700
12.32336807,-2.36220500,3.30708700
12.38736807,-5.51181100,3.22834600
12.45136807,0.00000000,3.30708700
12.51536807,-7.87401500,3.30708700
12.57936807,-3.14960600,3.30708700
12.64336806,-1.57480300,3.22834600
12.70736806,-3.14960600,3.30708700
12.77136806,-4.72440900,3.30708700
12.83536806,-1.57480300,3.22834600
12.89936806,-3.54330700,3.22834600
12.96336806,-7.08661400,3.30708700
13.02736805,-2.36220500,3.30708700
13.09136805,-5.51181100,3.30708700
13.15536805,-4.72440900,3.30708700
13.21936805,-5.11811000,3.30708700
13.28336805,0.39370070,3.30708700
13.34736804,-8.66141700,3.30708700
13.41136804,-2.36220500,3.30708700
13.47536804,-6.69291300,3.30708700
13.53936804,-5.11811000,3.30708700
13.60336804,-10.23622000,3.30708700
13.66736804,-3.54330700,3.22834600
13.73136803,-6.69291300,3.30708700
13.79536803,-5.51181100,3.30708700
13.85936803,-6.29921200,3.22834600
13.92336803,-4.72440900,3.30708700
13.98736803,-8.66141700,3.22834600
14.05136802,-5.90551100,3.22834600
14.11536802,-4.72440900,3.22834600
14.17936802,-9.05511800,3.30708700
14.24336802,-3.93700800,3.30708700
14.30736802,-4.33070900,3.30708700
14.37136802,-3.93700800,3.30708700
14.43536801,-7.08661400,3.30708700
14.49936801,-1.18110200,3.30708700
14.56336801,-8.66141700,3.22834600
14.62736801,-3.54330700,3.30708700
14.69136801,-6.69291300,3.30708700
14.75536800,-3.93700800,3.30708700
14.81936800,-10.62992000,3.30708700
14.88336800,-2.36220500,3.30708700
14.94736800,-8.26771600,3.30708700
15.01136800,-8.66141700,3.30708700
15.07536800,-7.48031400,3.22834600
15.13936799,-6.29921200,3.30708700
15.20336799,-7.87401500,3.30708700
15.26736799,-7.87401500,3.22834600
15.33136799,-4.33070900,3.22834600
15.39536799,-8.66141700,3.22834600
15.45936798,-5.11811000,3.22834600
15.52336798,-8.26771600,3.22834600
15.58736798,-6.29921200,3.30708700
15.65136798,-11.41732000,3.22834600
15.71536798,-1.57480300,3.30708700
15.77936798,-7.87401500,3.30708700
15.84336797,-6.69291300,3.22834600
15.90736797,-5.51181100,3.22834600
15.97136797,-3.14960600,3.30708700
16.03536797,-11.81102000,3.22834600
16.09936797,-3.54330700,3.22834600
16.16336796,-7.48031400,3.30708700
16.22736796,-9.44881800,3.30708700
16.29136796,-6.29921200,3.30708700
16.35536796,-5.11811000,3.30708700
16.41936796,-10.62992000,3.30708700
16.48336796,-7.87401500,3.30708700
16.54736795,-2.75590500,3.22834600
16.61136795,-10.23622000,3.30708700
16.67536795,-3.54330700,3.30708700
16.73936795,-4.33070900,3.30708700
16.80336795,-4.33070900,3.30708700
16.86736794,-7.48031400,3.30708700
16.93136794,0.00000000,3.30708700
16.99536794,-9.44881800,3.30708700
17.05936794,-5.90551100,3.30708700
17.12336794,-5.51181100,3.30708700
17.18736794,-4.33070900,3.30708700
17.25136793,-8.66141700,3.30708700
17.31536793,-2.36220500,3.22834600
17.37936793,-4.72440900,3.30708700
17.44336793,-6.29921200,3.30708700
17.50736793,-6.69291300,3.22834600
17.57136793,-5.90551100,3.30708700
17.63536792,-9.05511800,3.22834600
17.69936792,-9.84251900,3.30708700
17.76336792,-4.72440900,3.30708700
17.82736792,-11.02362000,3.30708700
17.89136792,-7.08661400,3.30708700
17.95536791,-8.26771600,3.30708700
18.01936791,-5.51181100,3.30708700
18.08336791,-13.77953000,3.22834600
18.14736791,-4.33070900,3.30708700
18.21136791,-10.62992000,3.22834600
18.27536791,-7.48031400,3.22834600
18.33936790,-9.84251900,3.30708700
18.40336790,-2.75590500,3.30708700
18.46736790,-9.44881800,3.22834600
18.53136790,-7.87401500,3.22834600
18.59536790,-4.33070900,3.30708700
18.65936789,-8.66141700,3.22834600
18.72336789,-9.44881800,3.30708700
18.78736789,-5.51181100,3.30708700
18.85136789,-5.11811000,3.30708700
18.91536789,-10.23622000,3.30708700
18.97936789,-3.54330700,3.30708700
19.04336788,-7.48031400,3.22834600
19.10736788,-7.08661400,3.30708700
19.17136788,-7.87401500,3.30708700
19.23536788,-2.36220500,3.30708700
19.29936788,-10.62992000,3.30708700
19.36336787,-2.36220500,3.30708700
19.42736787,-4.72440900,3.30708700
19.49136787,-4.33070900,3.30708700
19.55536787,-10.23622000,3.30708700
19.61936787,-2.36220500,3.30708700
19.68336787,-8.66141700,3.30708700
19.74736786,-7.08661400,3.30708700
19.81136786,-2.36220500,3.30708700
19.87536786,-4.33070900,3.30708700
19.93936786,-5.90551100,3.30708700
20.00336786,-3.14960600,3.30708700
20.06736785,-2.75590500,3.30708700
20.13136785,-12.20472000,3.30708700
20.19536785,-4.33070900,3.30708700
20.25936785,-7.08661400,3.30708700
20.32336785,-9.05511800,3.30708700
20.38736785,-10.62992000,3.30708700
20.45136784,-3.14960600,3.30708700
20.51536784,-13.38583000,3.30708700
20.57936784,-8.26771600,3.30708700
20.64336784,-8.26771600,3.30708700
20.70736784,-9.84251900,3.22834600
20.77136783,-11.41732000,3.22834600
20.83536783,-2.75590500,3.30708700
20.89936783,-11.41732000,3.22834600
20.96336783,-8.26771600,3.22834600
21.02736783,-7.48031400,3.22834600
21.09136783,-8.26771600,3.22834600
21.15536782,-8.66141700,3.30708700
21.21936782,-7.48031400,3.30708700
21.28336782,-4.72440900,3.30708700
21.34736782,-8.66141700,3.30708700
21.41136782,-1.57480300,3.30708700
21.47536781,-6.29921200,3.30708700
21.53936781,-3.93700800,3.30708700
21.60336781,-8.66141700,3.30708700
21.66736781,-3.14960600,3.30708700
21.73136781,-9.05511800,3.22834600
