Time,Channel A,Channel B
(us),(mV),(V)

-0.01745454,-11.81102000,0.62992130
0.04654545,-8.66141700,3.22834600
0.11054545,-7.08661400,3.22834600
0.17454545,-5.11811000,3.22834600
0.23854545,-12.99213000,3.22834600
0.30254545,-1.18110200,3.22834600
0.36654544,-4.72440900,3.22834600
0.43054544,-7.48031400,3.22834600
0.49454544,-4.33070900,3.22834600
0.55854544,-3.54330700,3.22834600
0.62254544,-6.69291300,3.22834600
0.68654544,-3.93700800,3.22834600
0.75054543,0.78740150,3.22834600
0.81454543,-7.48031400,3.22834600
0.87854543,-3.93700800,3.22834600
0.94254543,-4.72440900,3.22834600
1.00654543,-6.29921200,3.22834600
1.07054543,-8.26771600,3.22834600
1.13454542,-2.75590500,3.22834600
1.19854542,-5.90551100,3.22834600
1.26254542,-1.96850400,3.22834600
1.32654542,-3.14960600,3.22834600
1.39054542,-0.39370070,3.22834600
1.45454541,-6.29921200,3.22834600
1.51854541,-2.36220500,3.22834600
1.58254541,-5.11811000,3.30708700
1.64654541,-3.93700800,3.22834600
1.71054541,-4.72440900,3.22834600
1.77454541,0.00000000,3.22834600
1.83854540,-0.39370070,3.22834600
1.90254540,-2.75590500,3.22834600
1.96654540,1.96850400,3.22834600
2.03054540,-2.36220500,3.22834600
2.09454540,-1.96850400,3.30708700
2.15854539,-4.33070900,3.22834600
2.22254539,-0.39370070,3.30708700
2.28654539,-7.48031400,3.22834600
2.35054539,0.00000000,3.22834600
2.41454539,-2.75590500,3.30708700
2.47854539,-3.93700800,3.22834600
2.54254538,-5.11811000,3.22834600
2.60654538,-0.78740150,3.22834600
2.67054538,-6.29921200,3.30708700
2.73454538,-3.14960600,3.22834600
2.79854538,-2.36220500,3.22834600
2.86254537,-1.96850400,3.30708700
2.92654537,-3.93700800,3.30708700
2.99054537,0.78740150,3.22834600
3.05454537,-2.75590500,3.22834600
3.11854537,-4.33070900,3.22834600
3.18254537,0.39370070,3.30708700
3.24654536,-3.14960600,3.30708700
3.31054536,-2.36220500,3.22834600
3.37454536,-2.36220500,3.22834600
3.43854536,3.54330700,3.30708700
3.50254536,-6.69291300,3.30708700
3.56654535,-1.18110200,3.30708700
3.63054535,-4.33070900,3.30708700
3.69454535,-4.72440900,3.30708700
3.75854535,-6.69291300,3.30708700
3.82254535,0.78740150,3.22834600
3.88654535,-5.51181100,3.22834600
3.95054534,-2.75590500,3.22834600
4.01454534,0.39370070,3.22834600
4.07854534,-3.14960600,3.22834600
4.14254534,-6.69291300,3.30708700
4.20654534,-2.36220500,3.30708700
4.27054533,-2.36220500,3.22834600
4.33454533,-6.29921200,3.30708700
4.39854533,1.18110200,3.30708700
4.46254533,-2.36220500,3.30708700
4.52654533,-2.75590500,3.30708700
4.59054533,-2.75590500,3.30708700
4.65454532,1.57480300,3.30708700
4.71854532,-8.66141700,3.30708700
4.78254532,-1.57480300,3.30708700
4.84654532,-5.11811000,3.30708700
4.91054532,-4.33070900,3.30708700
4.97454531,-7.08661400,3.30708700
5.03854531,-1.57480300,3.30708700
5.10254531,-7.87401500,3.30708700
5.16654531,-5.51181100,3.30708700
5.23054531,-5.51181100,3.30708700
5.29454531,-5.90551100,3.22834600
5.35854530,-6.29921200,3.22834600
5.42254530,-4.33070900,3.22834600
5.48654530,-0.78740150,3.22834600
5.55054530,-7.08661400,3.22834600
5.61454530,-2.75590500,3.30708700
5.67854529,-4.33070900,3.22834600
5.74254529,-2.36220500,3.22834600
5.80654529,-7.08661400,3.22834600
5.87054529,0.39370070,3.30708700
5.93454529,-3.54330700,3.30708700
5.99854529,-1.18110200,3.30708700
6.06254528,-1.57480300,3.30708700
6.12654528,1.18110200,3.30708700
6.19054528,-7.87401500,3.30708700
6.25454528,-1.57480300,3.30708700
6.31854528,-3.54330700,3.30708700
6.38254527,-6.69291300,3.22834600
6.44654527,-3.54330700,3.30708700
6.51054527,0.00000000,3.30708700
6.57454527,-2.36220500,3.30708700
6.63854527,-5.90551100,3.30708700
6.70254527,1.57480300,3.30708700
6.76654526,-6.69291300,3.30708700
6.83054526,-3.14960600,3.30708700
6.89454526,-1.96850400,3.30708700
6.95854526,0.00000000,3.30708700
7.02254526,-5.90551100,3.30708700
7.08654525,1.57480300,3.30708700
7.15054525,-2.36220500,3.30708700
7.21454525,-2.75590500,3.30708700
7.27854525,-3.14960600,3.30708700
7.34254525,0.78740150,3.30708700
7.40654525,-5.11811000,3.30708700
7.47054524,-2.36220500,3.30708700
7.53454524,-2.36220500,3.30708700
7.59854524,-5.11811000,3.30708700
7.66254524,-5.51181100,3.30708700
7.72654524,-3.14960600,3.30708700
7.79054523,-5.90551100,3.30708700
7.85454523,-9.84251900,3.22834600
7.91854523,-0.39370070,3.30708700
7.98254523,-6.69291300,3.22834600
8.04654523,-3.14960600,3.30708700
8.11054523,-3.14960600,3.30708700
8.17454522,-0.78740150,3.22834600
8.23854522,-8.66141700,3.30708700
8.30254522,-1.96850400,3.22834600
8.36654522,-4.33070900,3.30708700
8.43054522,-4.33070900,3.30708700
8.49454522,-2.36220500,3.22834600
8.55854521,1.57480300,3.30708700
8.62254521,-4.33070900,3.30708700
8.68654521,-1.18110200,3.30708700
8.75054521,0.00000000,3.22834600
8.81454521,-4.33070900,3.30708700
8.87854520,-3.93700800,3.30708700
8.94254520,-4.33070900,3.30708700
9.00654520,-4.72440900,3.30708700
9.07054520,-5.90551100,3.30708700
9.13454520,0.00000000,3.22834600
9.19854520,-5.51181100,3.30708700
9.26254519,-1.57480300,3.30708700
9.32654519,-4.33070900,3.30708700
9.39054519,1.18110200,3.30708700
9.45454519,-4.33070900,3.30708700
9.51854519,1.57480300,3.30708700
9.58254518,-0.78740150,3.30708700
9.64654518,1.96850400,3.30708700
9.71054518,-1.18110200,3.30708700
9.77454518,1.57480300,3.30708700
9.83854518,0.00000000,3.30708700
9.90254518,-1.18110200,3.30708700
9.96654517,2.36220500,3.30708700
10.03054517,1.18110200,3.30708700
10.09454517,0.00000000,3.30708700
10.15854517,-1.18110200,3.30708700
10.22254517,1.96850400,3.30708700
10.28654516,-6.29921200,3.30708700
10.35054516,-1.96850400,3.30708700
10.41454516,-3.93700800,3.30708700
10.47854516,-4.72440900,3.30708700
10.54254516,-5.90551100,3.30708700
10.60654516,1.96850400,3.30708700
10.67054515,-5.90551100,3.30708700
10.73454515,-1.18110200,3.30708700
10.79854515,-1.96850400,3.30708700
10.86254515,-1.96850400,3.22834600
10.92654515,-7.08661400,3.22834600
10.99054514,0.39370070,3.30708700
11.05454514,-0.39370070,3.30708700
11.11854514,-3.54330700,3.30708700
11.18254514,1.57480300,3.30708700
11.24654514,0.00000000,3.30708700
11.31054514,-1.18110200,3.30708700
11.37454513,-2.75590500,3.30708700
11.43854513,3.14960600,3.30708700
11.50254513,-5.51181100,3.30708700
11.56654513,-1.18110200,3.30708700
11.63054513,-1.18110200,3.30708700
11.69454512,-0.78740150,3.30708700
11.75854512,-7.08661400,3.30708700
11.82254512,1.57480300,3.30708700
11.88654512,-3.93700800,3.30708700
11.95054512,-4.33070900,3.30708700
12.01454512,-2.36220500,3.30708700
12.07854511,0.78740150,3.30708700
12.14254511,-5.51181100,3.30708700
12.20654511,0.78740150,3.30708700
12.27054511,0.00000000,3.30708700
12.33454511,-5.90551100,3.30708700
12.39854510,-1.18110200,3.30708700
12.46254510,-0.78740150,3.30708700
12.52654510,-1.96850400,3.30708700
12.59054510,-3.14960600,3.30708700
12.65454510,5.11811000,3.30708700
12.71854510,-4.33070900,3.30708700
12.78254509,0.39370070,3.30708700
12.84654509,-4.33070900,3.30708700
12.91054509,-3.93700800,3.30708700
12.97454509,-8.66141700,3.30708700
13.03854509,-3.54330700,3.30708700
13.10254508,-6.69291300,3.30708700
13.16654508,-6.69291300,3.30708700
13.23054508,-7.08661400,3.30708700
13.29454508,-5.11811000,3.30708700
13.35854508,-7.48031400,3.30708700
13.42254508,-8.66141700,3.30708700
13.48654507,-5.90551100,3.30708700
13.55054507,-9.05511800,3.30708700
13.61454507,-6.29921200,3.30708700
13.67854507,-5.90551100,3.30708700
13.74254507,-5.51181100,3.30708700
13.80654506,-9.05511800,3.30708700
13.87054506,-3.14960600,3.22834600
13.93454506,-8.26771600,3.30708700
13.99854506,-6.69291300,3.30708700
14.06254506,-8.66141700,3.30708700
14.12654506,-0.78740150,3.30708700
14.19054505,-8.66141700,3.30708700
14.25454505,-4.33070900,3.30708700
14.31854505,-5.11811000,3.30708700
14.38254505,-7.48031400,3.30708700
14.44654505,-7.87401500,3.30708700
14.51054504,-5.11811000,3.30708700
14.57454504,-6.29921200,3.30708700
14.63854504,-8.26771600,3.30708700
14.70254504,-1.57480300,3.30708700
14.76654504,-6.29921200,3.30708700
14.83054504,-6.29921200,3.30708700
14.89454503,-6.29921200,3.30708700
14.95854503,-3.54330700,3.30708700
15.02254503,-9.05511800,3.30708700
15.08654503,-2.75590500,3.30708700
15.15054503,-5.51181100,3.30708700
15.21454503,-3.14960600,3.30708700
15.27854502,-5.11811000,3.30708700
15.34254502,0.00000000,3.30708700
15.40654502,-8.26771600,3.30708700
15.47054502,-5.51181100,3.30708700
15.53454502,-6.29921200,3.30708700
15.59854501,-8.26771600,3.30708700
15.66254501,-9.44881800,3.30708700
15.72654501,-6.29921200,3.30708700
15.79054501,-6.69291300,3.30708700
15.85454501,-12.59842000,3.30708700
15.91854501,-5.90551100,3.30708700
15.98254500,-11.02362000,3.30708700
16.04654500,-9.44881800,3.30708700
16.11054500,-9.44881800,3.30708700
16.17454500,-4.72440900,3.30708700
16.23854500,-14.56693000,3.30708700
16.30254499,-5.11811000,3.30708700
16.36654499,-7.08661400,3.30708700
16.43054499,-8.66141700,3.30708700
16.49454499,-8.66141700,3.30708700
16.55854499,-3.54330700,3.30708700
16.62254499,-8.26771600,3.30708700
16.68654498,-3.54330700,3.30708700
16.75054498,-1.96850400,3.30708700
16.81454498,-4.72440900,3.30708700
16.87854498,-6.69291300,3.30708700
16.94254498,-4.72440900,3.30708700
17.00654497,-6.69291300,3.30708700
17.07054497,-10.62992000,3.30708700
17.13454497,-5.11811000,3.30708700
17.19854497,-8.26771600,3.30708700
17.26254497,-4.33070900,3.30708700
17.32654497,-8.26771600,3.30708700
17.39054496,-1.57480300,3.30708700
17.45454496,-8.66141700,3.30708700
17.51854496,-5.11811000,3.30708700
17.58254496,-6.29921200,3.30708700
17.64654496,-4.33070900,3.30708700
17.71054495,-8.66141700,3.30708700
17.77454495,-3.14960600,3.30708700
17.83854495,-3.14960600,3.30708700
17.90254495,-7.08661400,3.30708700
17.96654495,-5.11811000,3.22834600
18.03054495,-3.93700800,3.30708700
18.09454494,-8.26771600,3.30708700
18.15854494,-7.48031400,3.30708700
18.22254494,-3.93700800,3.30708700
18.28654494,-11.02362000,3.30708700
18.35054494,-7.08661400,3.30708700
18.41454493,-7.87401500,3.30708700
18.47854493,-8.66141700,3.30708700
18.54254493,-14.56693000,3.30708700
18.60654493,-5.51181100,3.30708700
18.67054493,-11.81102000,3.30708700
18.73454493,-8.26771600,3.30708700
18.79854492,-7.87401500,3.30708700
18.86254492,-5.11811000,3.30708700
18.92654492,-11.02362000,3.30708700
18.99054492,-5.90551100,3.30708700
19.05454492,-5.90551100,3.30708700
19.11854491,-9.44881800,3.30708700
19.18254491,-4.33070900,3.30708700
19.24654491,-3.93700800,3.30708700
19.31054491,-4.72440900,3.30708700
19.37454491,-6.69291300,3.30708700
19.43854491,-0.39370070,3.30708700
19.50254490,-8.66141700,3.22834600
19.56654490,-6.69291300,3.30708700
19.63054490,-7.87401500,3.30708700
19.69454490,-5.51181100,3.30708700
19.75854490,-9.84251900,3.30708700
19.82254489,-2.36220500,3.30708700
19.88654489,-7.87401500,3.30708700
19.95054489,-5.90551100,3.30708700
20.01454489,-7.48031400,3.30708700
20.07854489,-3.54330700,3.30708700
20.14254489,-10.23622000,3.30708700
20.20654488,-5.51181100,3.30708700
20.27054488,-3.93700800,3.30708700
20.33454488,-8.26771600,3.30708700
20.39854488,-4.72440900,3.30708700
20.46254488,-7.08661400,3.30708700
20.52654487,-6.29921200,3.30708700
20.59054487,-8.66141700,3.30708700
20.65454487,-2.36220500,3.30708700
20.71854487,-10.62992000,3.30708700
20.78254487,-4.33070900,3.30708700
20.84654487,-6.69291300,3.30708700
20.91054486,-5.90551100,3.30708700
20.97454486,-11.02362000,3.30708700
21.03854486,-7.87401500,3.30708700
21.10254486,-11.41732000,3.30708700
21.16654486,-10.23622000,3.30708700
21.23054485,-10.23622000,3.30708700
21.29454485,-7.08661400,3.30708700
21.35854485,-8.66141700,3.30708700
21.42254485,-8.66141700,3.30708700
21.48654485,-5.51181100,3.30708700
21.55054485,-8.26771600,3.30708700
21.61454484,-9.44881800,3.30708700
21.67854484,-8.26771600,3.30708700
21.74254484,-2.75590500,3.30708700
