Time,Channel A,Channel B
(us),(mV),(V)

-0.01103448,4.33070900,0.94488190
0.05296552,-7.87401500,3.22834600
0.11696552,-7.87401500,3.22834600
0.18096551,-5.11811000,3.22834600
0.24496551,-5.90551100,3.22834600
0.30896551,-9.05511800,3.22834600
0.37296551,-5.90551100,3.22834600
0.43696551,-3.54330700,3.22834600
0.50096550,-7.87401500,3.22834600
0.56496550,-1.18110200,3.22834600
0.62896550,-3.54330700,3.22834600
0.69296550,-2.36220500,3.22834600
0.75696550,-7.08661400,3.22834600
0.82096550,-0.39370070,3.22834600
0.88496549,-8.26771600,3.22834600
0.94896549,-4.72440900,3.22834600
1.01296549,-5.11811000,3.22834600
1.07696549,-1.57480300,3.30708700
1.14096549,-5.11811000,3.30708700
1.20496548,-0.39370070,3.22834600
1.26896548,-1.57480300,3.30708700
1.33296548,-2.75590500,3.22834600
1.39696548,-1.96850400,3.22834600
1.46096548,-2.36220500,3.22834600
1.52496548,-4.33070900,3.22834600
1.58896547,-3.54330700,3.22834600
1.65296547,0.78740150,3.30708700
1.71696547,-3.93700800,3.22834600
1.78096547,0.00000000,3.22834600
1.84496547,-1.96850400,3.30708700
1.90896546,0.00000000,3.22834600
1.97296546,-3.93700800,3.30708700
2.03696546,3.14960600,3.22834600
2.10096546,-4.33070900,3.22834600
2.16496546,0.00000000,3.22834600
2.22896546,-2.36220500,3.30708700
2.29296545,-0.78740150,3.22834600
2.35696545,-6.29921200,3.30708700
2.42096545,-2.75590500,3.22834600
2.48496545,-3.14960600,3.22834600
2.54896545,-4.33070900,3.22834600
2.61296544,-3.14960600,3.22834600
2.67696544,-2.36220500,3.22834600
2.74096544,-1.96850400,3.22834600
2.80496544,-5.51181100,3.22834600
2.86896544,0.39370070,3.22834600
2.93296544,-5.11811000,3.22834600
2.99696543,-2.75590500,3.22834600
3.06096543,-3.54330700,3.22834600
3.12496543,1.96850400,3.22834600
3.18896543,-5.51181100,3.22834600
3.25296543,0.78740150,3.22834600
3.31696542,-1.18110200,3.22834600
3.38096542,-2.75590500,3.22834600
3.44496542,-4.33070900,3.22834600
3.50896542,0.78740150,3.22834600
3.57296542,-6.29921200,3.22834600
3.63696542,-2.36220500,3.22834600
3.70096541,0.00000000,3.22834600
3.76496541,-5.51181100,3.30708700
3.82896541,-3.93700800,3.30708700
3.89296541,-0.78740150,3.22834600
3.95696541,-0.78740150,3.22834600
4.02096540,-7.08661400,3.30708700
4.08496540,2.75590500,3.22834600
4.14896540,-4.33070900,3.30708700
4.21296540,-2.36220500,3.22834600
4.27696540,-2.36220500,3.30708700
4.34096540,0.78740150,3.30708700
4.40496539,-6.29921200,3.22834600
4.46896539,-0.39370070,3.30708700
4.53296539,-2.36220500,3.30708700
4.59696539,-3.93700800,3.30708700
4.66096539,-3.14960600,3.22834600
4.72496538,0.78740150,3.30708700
4.78896538,-4.33070900,3.30708700
4.85296538,-4.33070900,3.22834600
4.91696538,-3.14960600,3.30708700
4.98096538,-6.29921200,3.22834600
5.04496538,-6.69291300,3.22834600
5.10896537,-5.11811000,3.30708700
5.17296537,-1.96850400,3.22834600
5.23696537,-8.66141700,3.22834600
5.30096537,-0.39370070,3.22834600
5.36496537,-6.29921200,3.30708700
5.42896536,-4.72440900,3.22834600
5.49296536,-6.69291300,3.30708700
5.55696536,0.00000000,3.22834600
5.62096536,-7.08661400,3.30708700
5.68496536,-3.14960600,3.22834600
5.74896536,-1.57480300,3.22834600
5.81296535,-2.36220500,3.30708700
5.87696535,-4.33070900,3.22834600
5.94096535,-1.57480300,3.30708700
6.00496535,-2.36220500,3.22834600
6.06896535,-5.51181100,3.30708700
6.13296535,-0.78740150,3.30708700
6.19696534,-2.75590500,3.30708700
6.26096534,-2.75590500,3.22834600
6.32496534,-5.11811000,3.30708700
6.38896534,-0.39370070,3.30708700
6.45296534,-5.51181100,3.30708700
6.51696533,-3.54330700,3.22834600
6.58096533,-3.54330700,3.30708700
6.64496533,-0.78740150,3.22834600
6.70896533,-5.51181100,3.30708700
6.77296533,0.78740150,3.30708700
6.83696533,-3.54330700,3.30708700
6.90096532,-3.14960600,3.30708700
6.96496532,-3.93700800,3.30708700
7.02896532,0.00000000,3.30708700
7.09296532,-6.29921200,3.30708700
7.15696532,-3.14960600,3.30708700
7.22096531,1.18110200,3.22834600
7.28496531,-4.72440900,3.30708700
7.34896531,-0.78740150,3.30708700
7.41296531,-1.18110200,3.30708700
7.47696531,-4.33070900,3.30708700
7.54096531,-7.87401500,3.30708700
7.60496530,0.00000000,3.30708700
7.66896530,-7.87401500,3.30708700
7.73296530,-4.72440900,3.30708700
7.79696530,-3.14960600,3.22834600
7.86096530,-4.33070900,3.22834600
7.92496529,-8.66141700,3.22834600
7.98896529,-3.14960600,3.30708700
8.05296529,-6.69291300,3.30708700
8.11696529,-5.51181100,3.30708700
8.18096529,-4.33070900,3.30708700
8.24496529,-1.96850400,3.30708700
8.30896528,-6.69291300,3.22834600
8.37296528,-2.75590500,3.30708700
8.43696528,-1.96850400,3.30708700
8.50096528,-6.29921200,3.30708700
8.56496528,-3.14960600,3.30708700
8.62896527,-3.93700800,3.30708700
8.69296527,-0.39370070,3.30708700
8.75696527,-6.29921200,3.30708700
8.82096527,0.39370070,3.30708700
8.88496527,-5.51181100,3.30708700
8.94896527,-3.14960600,3.30708700
9.01296526,-6.69291300,3.22834600
9.07696526,-3.14960600,3.30708700
9.14096526,-7.08661400,3.30708700
9.20496526,-2.36220500,3.30708700
9.26896526,-1.18110200,3.22834600
9.33296525,-1.57480300,3.22834600
9.39696525,-0.78740150,3.30708700
9.46096525,0.39370070,3.30708700
9.52496525,-0.78740150,3.30708700
9.58896525,-2.75590500,3.30708700
9.65296525,0.39370070,3.30708700
9.71696524,-1.96850400,3.30708700
9.78096524,0.39370070,3.30708700
9.84496524,0.78740150,3.30708700
9.90896524,2.75590500,3.30708700
9.97296524,-2.75590500,3.30708700
10.03696523,2.75590500,3.30708700
10.10096523,-2.36220500,3.30708700
10.16496523,-1.18110200,3.30708700
10.22896523,-4.33070900,3.30708700
10.29296523,0.78740150,3.30708700
10.35696523,-5.11811000,3.22834600
10.42096522,-2.75590500,3.30708700
10.48496522,-4.72440900,3.30708700
10.54896522,-5.11811000,3.30708700
10.61296522,-5.11811000,3.30708700
10.67696522,-3.14960600,3.22834600
10.74096521,-1.96850400,3.22834600
10.80496521,-7.08661400,3.30708700
10.86896521,0.39370070,3.30708700
10.93296521,-1.96850400,3.22834600
10.99696521,-3.54330700,3.22834600
11.06096521,-4.33070900,3.30708700
11.12496520,0.78740150,3.22834600
11.18896520,-7.48031400,3.30708700
11.25296520,-0.39370070,3.30708700
11.31696520,-0.39370070,3.30708700
11.38096520,-1.57480300,3.30708700
11.44496519,-3.54330700,3.30708700
11.50896519,2.36220500,3.30708700
11.57296519,-6.29921200,3.30708700
11.63696519,-5.11811000,3.30708700
11.70096519,-1.18110200,3.30708700
11.76496519,-3.14960600,3.30708700
11.82896518,-4.72440900,3.30708700
11.89296518,-0.78740150,3.30708700
11.95696518,-1.18110200,3.30708700
12.02096518,-5.51181100,3.30708700
12.08496518,1.57480300,3.30708700
12.14896517,-4.33070900,3.30708700
12.21296517,-2.75590500,3.30708700
12.27696517,-4.33070900,3.30708700
12.34096517,1.57480300,3.30708700
12.40496517,-5.11811000,3.30708700
12.46896517,-0.39370070,3.30708700
12.53296516,-2.36220500,3.30708700
12.59696516,-0.78740150,3.30708700
12.66096516,-4.33070900,3.30708700
12.72496516,-1.18110200,3.30708700
12.78896516,-3.93700800,3.30708700
12.85296515,-5.51181100,3.30708700
12.91696515,-3.14960600,3.30708700
12.98096515,-4.33070900,3.30708700
13.04496515,-9.05511800,3.30708700
13.10896515,-7.87401500,3.30708700
13.17296515,-5.11811000,3.30708700
13.23696514,-12.59842000,3.30708700
13.30096514,-7.48031400,3.22834600
13.36496514,-7.08661400,3.30708700
13.42896514,-5.90551100,3.22834600
13.49296514,-10.62992000,3.30708700
13.55696514,-3.93700800,3.30708700
13.62096513,-10.23622000,3.30708700
13.68496513,-7.87401500,3.22834600
13.74896513,-10.62992000,3.22834600
13.81296513,-4.33070900,3.30708700
13.87696513,-10.62992000,3.30708700
13.94096512,-6.29921200,3.30708700
14.00496512,-4.33070900,3.30708700
14.06896512,-8.26771600,3.30708700
14.13296512,-7.87401500,3.30708700
14.19696512,-5.90551100,3.30708700
14.26096512,-5.51181100,3.30708700
14.32496511,-9.05511800,3.30708700
14.38896511,-2.36220500,3.30708700
14.45296511,-6.69291300,3.30708700
14.51696511,-7.08661400,3.30708700
14.58096511,-6.69291300,3.30708700
14.64496510,-3.14960600,3.30708700
14.70896510,-11.02362000,3.30708700
14.77296510,-3.93700800,3.30708700
14.83696510,-5.51181100,3.30708700
14.90096510,-5.90551100,3.30708700
14.96496510,-6.69291300,3.30708700
15.02896509,-0.39370070,3.30708700
15.09296509,-8.26771600,3.30708700
15.15696509,-4.72440900,3.30708700
15.22096509,-2.36220500,3.30708700
15.28496509,-8.26771600,3.30708700
15.34896508,-5.51181100,3.30708700
15.41296508,-3.14960600,3.30708700
15.47696508,-3.93700800,3.30708700
15.54096508,-10.62992000,3.30708700
15.60496508,-2.36220500,3.30708700
15.66896508,-10.62992000,3.30708700
15.73296507,-9.05511800,3.30708700
15.79696507,-10.62992000,3.30708700
15.86096507,-6.69291300,3.30708700
15.92496507,-12.59842000,3.30708700
15.98896507,-5.51181100,3.30708700
16.05296506,-7.48031400,3.22834600
16.11696506,-9.44881800,3.30708700
16.18096506,-9.84251900,3.22834600
16.24496506,-8.66141700,3.22834600
16.30896506,-9.84251900,3.30708700
16.37296506,-9.05511800,3.30708700
16.43696505,-6.29921200,3.30708700
16.50096505,-6.29921200,3.22834600
16.56496505,-6.69291300,3.30708700
16.62896505,-6.29921200,3.22834600
16.69296505,-2.75590500,3.30708700
16.75696504,-9.84251900,3.30708700
16.82096504,-2.75590500,3.30708700
16.88496504,-8.26771600,3.30708700
16.94896504,-3.54330700,3.30708700
17.01296504,-9.44881800,3.30708700
17.07696504,-1.57480300,3.30708700
17.14096503,-7.87401500,3.30708700
17.20496503,-6.69291300,3.30708700
17.26896503,-6.69291300,3.30708700
17.33296503,-5.11811000,3.30708700
17.39696503,-8.26771600,3.30708700
17.46096502,-3.14960600,3.30708700
17.52496502,-3.14960600,3.30708700
17.58896502,-6.29921200,3.30708700
17.65296502,-3.14960600,3.30708700
17.71696502,-5.90551100,3.30708700
17.78096502,-6.69291300,3.30708700
17.84496501,-7.87401500,3.30708700
17.90896501,-1.18110200,3.30708700
17.97296501,-7.48031400,3.30708700
18.03696501,-2.36220500,3.30708700
18.10096501,-6.29921200,3.30708700
18.16496500,-5.11811000,3.30708700
18.22896500,-12.59842000,3.30708700
18.29296500,-3.93700800,3.30708700
18.35696500,-11.41732000,3.30708700
18.42096500,-9.44881800,3.30708700
18.48496500,-6.69291300,3.30708700
18.54896499,-3.54330700,3.30708700
18.61296499,-12.59842000,3.22834600
18.67696499,-7.87401500,3.30708700
18.74096499,-6.69291300,3.22834600
18.80496499,-12.59842000,3.30708700
18.86896498,-4.72440900,3.30708700
18.93296498,-7.08661400,3.30708700
18.99696498,-6.69291300,3.30708700
19.06096498,-5.90551100,3.30708700
19.12496498,1.18110200,3.30708700
19.18896498,-9.05511800,3.30708700
19.25296497,-6.29921200,3.30708700
19.31696497,-4.72440900,3.30708700
19.38096497,-3.93700800,3.30708700
19.44496497,-8.26771600,3.30708700
19.50896497,-1.57480300,3.30708700
19.57296496,-6.69291300,3.30708700
19.63696496,-5.51181100,3.30708700
19.70096496,-3.14960600,3.30708700
19.76496496,-4.72440900,3.30708700
19.82896496,-9.05511800,3.30708700
19.89296496,-5.11811000,3.30708700
19.95696495,-2.36220500,3.30708700
20.02096495,-6.69291300,3.30708700
20.08496495,-1.57480300,3.30708700
20.14896495,-6.69291300,3.30708700
20.21296495,-2.75590500,3.30708700
20.27696495,-10.23622000,3.30708700
20.34096494,-3.54330700,3.30708700
20.40496494,-9.84251900,3.30708700
20.46896494,-4.72440900,3.30708700
20.53296494,-6.29921200,3.30708700
20.59696494,-1.96850400,3.30708700
20.66096493,-8.26771600,3.30708700
20.72496493,-3.93700800,3.30708700
20.78896493,-4.33070900,3.30708700
20.85296493,-7.48031400,3.30708700
20.91696493,-7.87401500,3.30708700
20.98096493,-6.29921200,3.30708700
21.04496492,-7.87401500,3.30708700
21.10896492,-10.62992000,3.30708700
21.17296492,-5.11811000,3.30708700
21.23696492,-9.44881800,3.22834600
21.30096492,-9.44881800,3.30708700
21.36496491,-6.69291300,3.30708700
21.42896491,-4.33070900,3.30708700
21.49296491,-11.41732000,3.30708700
21.55696491,-3.14960600,3.22834600
21.62096491,-5.11811000,3.30708700
21.68496491,-7.08661400,3.22834600
