Time,Channel A,Channel B
(us),(mV),(V)

-0.04945454,-7.08661400,0.00000000
0.01454545,-14.96063000,1.73228300
0.07854545,-7.87401500,3.22834600
0.14254545,-5.11811000,3.22834600
0.20654545,-3.93700800,3.22834600
0.27054545,-6.29921200,3.22834600
0.33454544,-6.29921200,3.22834600
0.39854544,-4.72440900,3.22834600
0.46254544,-1.18110200,3.22834600
0.52654544,-7.87401500,3.30708700
0.59054544,0.00000000,3.22834600
0.65454544,-3.54330700,3.22834600
0.71854543,-3.54330700,3.30708700
0.78254543,-6.29921200,3.22834600
0.84654543,-1.18110200,3.22834600
0.91054543,-10.23622000,3.22834600
0.97454543,-4.33070900,3.22834600
1.03854543,-2.75590500,3.22834600
1.10254542,-2.75590500,3.22834600
1.16654542,-3.14960600,3.22834600
1.23054542,2.75590500,3.22834600
1.29454542,-2.36220500,3.22834600
1.35854542,-2.36220500,3.30708700
1.42254541,1.57480300,3.22834600
1.48654541,-1.57480300,3.30708700
1.55054541,-1.18110200,3.22834600
1.61454541,0.78740150,3.22834600
1.67854541,2.36220500,3.30708700
1.74254541,-3.14960600,3.22834600
1.80654540,3.93700800,3.22834600
1.87054540,-1.96850400,3.22834600
1.93454540,-1.57480300,3.30708700
1.99854540,-3.54330700,3.30708700
2.06254540,1.96850400,3.22834600
2.12654539,-3.93700800,3.22834600
2.19054539,-2.36220500,3.22834600
2.25454539,-3.14960600,3.22834600
2.31854539,-4.33070900,3.22834600
2.38254539,-5.51181100,3.22834600
2.44654539,-2.75590500,3.22834600
2.51054538,-2.36220500,3.22834600
2.57454538,-5.51181100,3.22834600
2.63854538,-1.18110200,3.22834600
2.70254538,-0.78740150,3.22834600
2.76654538,-1.96850400,3.22834600
2.83054537,-4.33070900,3.22834600
2.89454537,3.93700800,3.22834600
2.95854537,-3.14960600,3.22834600
3.02254537,0.00000000,3.22834600
3.08654537,-0.39370070,3.22834600
3.15054537,1.18110200,3.22834600
3.21454536,-3.54330700,3.22834600
3.27854536,2.75590500,3.22834600
3.34254536,-2.75590500,3.30708700
3.40654536,-4.33070900,3.30708700
3.47054536,-1.18110200,3.30708700
3.53454535,-1.18110200,3.22834600
3.59854535,-6.69291300,3.22834600
3.66254535,-1.57480300,3.30708700
3.72654535,1.18110200,3.22834600
3.79054535,-5.11811000,3.22834600
3.85454535,2.36220500,3.30708700
3.91854534,-1.18110200,3.30708700
3.98254534,0.39370070,3.30708700
4.04654534,-3.93700800,3.30708700
4.11054534,5.90551100,3.30708700
4.17454534,-3.14960600,3.30708700
4.23854533,0.39370070,3.22834600
4.30254533,2.36220500,3.30708700
4.36654533,1.96850400,3.22834600
4.43054533,-2.36220500,3.30708700
4.49454533,0.00000000,3.30708700
4.55854533,-0.78740150,3.30708700
4.62254532,-5.51181100,3.30708700
4.68654532,-1.96850400,3.30708700
4.75054532,-1.96850400,3.22834600
4.81454532,-5.11811000,3.30708700
4.87854532,-6.69291300,3.22834600
4.94254531,-4.33070900,3.22834600
5.00654531,-9.84251900,3.22834600
5.07054531,-4.72440900,3.22834600
5.13454531,-5.11811000,3.22834600
5.19854531,-1.57480300,3.30708700
5.26254531,-9.05511800,3.22834600
5.32654530,0.39370070,3.22834600
5.39054530,-7.48031400,3.22834600
5.45454530,-4.33070900,3.30708700
5.51854530,-1.96850400,3.30708700
5.58254530,-1.18110200,3.30708700
5.64654529,-4.72440900,3.22834600
5.71054529,-1.18110200,3.30708700
5.77454529,0.78740150,3.30708700
5.83854529,-4.33070900,3.30708700
5.90254529,-0.39370070,3.30708700
5.96654529,-2.75590500,3.30708700
6.03054528,-1.57480300,3.30708700
6.09454528,-5.11811000,3.30708700
6.15854528,0.00000000,3.30708700
6.22254528,-7.08661400,3.22834600
6.28654528,-0.78740150,3.30708700
6.35054527,-2.75590500,3.30708700
6.41454527,-1.57480300,3.30708700
6.47854527,-5.51181100,3.30708700
6.54254527,-0.39370070,3.30708700
6.60654527,-0.39370070,3.30708700
6.67054527,-1.18110200,3.30708700
6.73454526,-1.18110200,3.30708700
6.79854526,1.57480300,3.30708700
6.86254526,-2.36220500,3.30708700
6.92654526,0.39370070,3.30708700
6.99054526,-0.78740150,3.30708700
7.05454525,-1.18110200,3.30708700
7.11854525,-0.78740150,3.30708700
7.18254525,0.39370070,3.30708700
7.24654525,4.33070900,3.30708700
7.31054525,-6.69291300,3.30708700
7.37454525,1.96850400,3.30708700
7.43854524,-4.72440900,3.30708700
7.50254524,-3.54330700,3.30708700
7.56654524,-7.87401500,3.30708700
7.63054524,-3.54330700,3.30708700
7.69454524,-9.05511800,3.30708700
7.75854523,-3.93700800,3.30708700
7.82254523,-2.36220500,3.22834600
7.88654523,-8.66141700,3.30708700
7.95054523,-3.93700800,3.30708700
8.01454523,-3.93700800,3.30708700
8.07854523,-6.69291300,3.30708700
8.14254522,-4.33070900,3.22834600
8.20654522,0.39370070,3.30708700
8.27054522,-3.93700800,3.30708700
8.33454522,-2.36220500,3.22834600
8.39854522,0.00000000,3.22834600
8.46254522,-1.18110200,3.30708700
8.52654521,-5.51181100,3.30708700
8.59054521,2.36220500,3.30708700
8.65454521,-4.72440900,3.30708700
8.71854521,-2.75590500,3.30708700
8.78254521,-3.14960600,3.30708700
8.84654520,-1.96850400,3.30708700
8.91054520,-5.11811000,3.30708700
8.97454520,-2.75590500,3.30708700
9.03854520,-3.54330700,3.30708700
9.10254520,-6.29921200,3.30708700
9.16654520,-3.14960600,3.30708700
9.23054519,0.00000000,3.30708700
9.29454519,0.39370070,3.30708700
9.35854519,-0.78740150,3.30708700
9.42254519,4.72440900,3.30708700
9.48654519,0.39370070,3.30708700
9.55054518,2.36220500,3.30708700
9.61454518,0.78740150,3.30708700
9.67854518,4.33070900,3.30708700
9.74254518,-0.39370070,3.30708700
9.80654518,3.93700800,3.30708700
9.87054518,2.75590500,3.30708700
9.93454517,1.18110200,3.30708700
9.99854517,-0.78740150,3.30708700
10.06254517,2.75590500,3.30708700
10.12654517,-4.72440900,3.30708700
10.19054517,-2.36220500,3.30708700
10.25454516,-1.96850400,3.30708700
10.31854516,-3.54330700,3.30708700
10.38254516,-5.90551100,3.30708700
10.44654516,-2.36220500,3.30708700
10.51054516,-5.51181100,3.22834600
10.57454516,-7.08661400,3.30708700
10.63854515,-1.18110200,3.30708700
10.70254515,-6.29921200,3.30708700
10.76654515,-2.75590500,3.30708700
10.83054515,-3.14960600,3.30708700
10.89454515,3.93700800,3.22834600
10.95854514,-4.72440900,3.30708700
11.02254514,1.18110200,3.30708700
11.08654514,1.18110200,3.22834600
11.15054514,-1.18110200,3.30708700
11.21454514,-2.75590500,3.30708700
11.27854514,1.96850400,3.30708700
11.34254513,-1.18110200,3.30708700
11.40654513,-3.54330700,3.30708700
11.47054513,1.18110200,3.30708700
11.53454513,-2.36220500,3.30708700
11.59854513,-5.51181100,3.30708700
11.66254512,-3.93700800,3.30708700
11.72654512,1.18110200,3.30708700
11.79054512,-6.29921200,3.30708700
11.85454512,0.00000000,3.30708700
11.91854512,1.96850400,3.30708700
11.98254512,0.00000000,3.30708700
12.04654511,-3.14960600,3.30708700
12.11054511,5.51181100,3.30708700
12.17454511,-4.33070900,3.30708700
12.23854511,-0.78740150,3.30708700
12.30254511,2.36220500,3.30708700
12.36654510,0.39370070,3.30708700
12.43054510,-2.75590500,3.30708700
12.49454510,3.54330700,3.30708700
12.55854510,1.18110200,3.30708700
12.62254510,-4.33070900,3.30708700
12.68654510,0.39370070,3.30708700
12.75054509,-4.72440900,3.30708700
12.81454509,-4.33070900,3.30708700
12.87854509,-6.69291300,3.30708700
12.94254509,-3.93700800,3.30708700
13.00654509,-10.62992000,3.22834600
13.07054508,-6.69291300,3.30708700
13.13454508,-7.48031400,3.30708700
13.19854508,-7.87401500,3.22834600
13.26254508,-12.59842000,3.22834600
13.32654508,-5.51181100,3.30708700
13.39054508,-7.48031400,3.30708700
13.45454507,-9.05511800,3.30708700
13.51854507,-5.51181100,3.30708700
13.58254507,-5.51181100,3.30708700
13.64654507,-6.29921200,3.22834600
13.71054507,-5.90551100,3.30708700
13.77454506,-7.08661400,3.30708700
13.83854506,-8.26771600,3.30708700
13.90254506,-5.90551100,3.30708700
13.96654506,-6.29921200,3.30708700
14.03054506,-4.72440900,3.30708700
14.09454506,-10.23622000,3.30708700
14.15854505,-2.75590500,3.30708700
14.22254505,-9.84251900,3.30708700
14.28654505,-6.29921200,3.30708700
14.35054505,-6.69291300,3.30708700
14.41454505,-4.33070900,3.30708700
14.47854504,-7.48031400,3.30708700
14.54254504,-2.36220500,3.30708700
14.60654504,-2.75590500,3.30708700
14.67054504,-7.08661400,3.30708700
14.73454504,-2.36220500,3.30708700
14.79854504,-3.93700800,3.30708700
14.86254503,-4.33070900,3.30708700
14.92654503,-4.33070900,3.30708700
14.99054503,1.18110200,3.30708700
15.05454503,-4.33070900,3.30708700
15.11854503,-1.18110200,3.30708700
15.18254503,-2.36220500,3.30708700
15.24654502,-1.96850400,3.30708700
15.31054502,-8.26771600,3.30708700
15.37454502,-2.36220500,3.30708700
15.43854502,-8.26771600,3.30708700
15.50254502,-6.69291300,3.30708700
15.56654501,-8.26771600,3.30708700
15.63054501,-6.69291300,3.22834600
15.69454501,-12.20472000,3.30708700
15.75854501,-9.44881800,3.30708700
15.82254501,-9.05511800,3.30708700
15.88654501,-11.41732000,3.30708700
15.95054500,-10.62992000,3.30708700
16.01454500,-7.48031400,3.30708700
16.07854500,-7.48031400,3.30708700
16.14254500,-13.38583000,3.22834600
16.20654500,-3.14960600,3.30708700
16.27054499,-13.38583000,3.30708700
16.33454499,-7.87401500,3.30708700
16.39854499,-6.69291300,3.30708700
16.46254499,-4.72440900,3.30708700
16.52654499,-8.26771600,3.30708700
16.59054499,0.00000000,3.30708700
16.65454498,-5.11811000,3.30708700
16.71854498,-5.90551100,3.30708700
16.78254498,-4.33070900,3.30708700
16.84654498,-4.33070900,3.30708700
16.91054498,-10.62992000,3.30708700
16.97454497,-4.72440900,3.30708700
17.03854497,-4.72440900,3.30708700
17.10254497,-7.87401500,3.30708700
17.16654497,-5.11811000,3.30708700
17.23054497,-5.11811000,3.30708700
17.29454497,-5.11811000,3.30708700
17.35854496,-5.51181100,3.30708700
17.42254496,0.78740150,3.30708700
17.48654496,-7.48031400,3.30708700
17.55054496,-1.18110200,3.30708700
17.61454496,-1.57480300,3.30708700
17.67854495,-0.39370070,3.30708700
17.74254495,-6.29921200,3.30708700
17.80654495,-2.75590500,3.30708700
17.87054495,-3.93700800,3.30708700
17.93454495,-4.72440900,3.30708700
17.99854495,-6.69291300,3.30708700
18.06254494,-5.11811000,3.30708700
18.12654494,-7.08661400,3.30708700
18.19054494,-9.44881800,3.30708700
18.25454494,-6.69291300,3.30708700
18.31854494,-11.81102000,3.30708700
18.38254493,-11.81102000,3.30708700
18.44654493,-10.62992000,3.30708700
18.51054493,-7.87401500,3.30708700
18.57454493,-13.77953000,3.30708700
18.63854493,-9.05511800,3.30708700
18.70254493,-8.66141700,3.22834600
18.76654492,-8.66141700,3.30708700
18.83054492,-9.05511800,3.30708700
18.89454492,-2.75590500,3.30708700
18.95854492,-11.81102000,3.30708700
19.02254492,-2.75590500,3.30708700
19.08654491,-3.14960600,3.30708700
19.15054491,-5.11811000,3.30708700
19.21454491,-4.72440900,3.30708700
19.27854491,-1.57480300,3.30708700
19.34254491,-5.51181100,3.30708700
19.40654491,-9.05511800,3.30708700
19.47054490,-2.75590500,3.30708700
19.53454490,-9.44881800,3.30708700
19.59854490,-6.69291300,3.30708700
19.66254490,-6.29921200,3.30708700
19.72654490,-2.75590500,3.30708700
19.79054489,-9.05511800,3.22834600
19.85454489,-2.75590500,3.30708700
19.91854489,-4.33070900,3.30708700
19.98254489,-3.93700800,3.30708700
20.04654489,-6.29921200,3.30708700
20.11054489,1.18110200,3.30708700
20.17454488,-5.51181100,3.22834600
20.23854488,-3.54330700,3.30708700
20.30254488,-1.18110200,3.30708700
20.36654488,-4.72440900,3.30708700
20.43054488,-5.90551100,3.30708700
20.49454487,-3.14960600,3.30708700
20.55854487,-3.54330700,3.30708700
20.62254487,-7.48031400,3.30708700
20.68654487,-1.96850400,3.30708700
20.75054487,-6.29921200,3.30708700
20.81454487,-7.08661400,3.30708700
20.87854486,-9.84251900,3.30708700
20.94254486,-5.11811000,3.30708700
21.00654486,-16.14173000,3.30708700
21.07054486,-7.87401500,3.30708700
21.13454486,-10.23622000,3.30708700
21.19854485,-9.84251900,3.30708700
21.26254485,-7.48031400,3.30708700
21.32654485,-4.33070900,3.30708700
21.39054485,-8.26771600,3.30708700
21.45454485,-8.66141700,3.30708700
21.51854485,-5.11811000,3.30708700
21.58254484,-7.87401500,3.30708700
21.64654484,-5.51181100,3.30708700
21.71054484,-5.11811000,3.30708700
21.77454484,-3.14960600,3.30708700
