Time,Channel A,Channel B
(us),(mV),(V)

-0.03200000,-8.26771600,0.00000000
0.03200000,4.33070900,2.67716500
0.09600000,-5.90551100,3.22834600
0.16000000,-3.93700800,3.22834600
0.22399999,-6.69291300,3.22834600
0.28799999,-1.96850400,3.22834600
0.35199999,-8.66141700,3.22834600
0.41599999,-5.51181100,3.22834600
0.47999999,-6.69291300,3.22834600
0.54399999,-3.93700800,3.22834600
0.60799998,-7.48031400,3.22834600
0.67199998,-1.57480300,3.30708700
0.73599998,-1.57480300,3.22834600
0.79999998,-3.14960600,3.22834600
0.86399998,-2.36220500,3.22834600
0.92799997,-4.33070900,3.22834600
0.99199997,-1.96850400,3.22834600
1.05599997,-5.90551100,3.22834600
1.11999997,1.57480300,3.30708700
1.18399997,-4.33070900,3.22834600
1.24799997,0.78740150,3.22834600
1.31199996,-1.96850400,3.22834600
1.37599996,2.36220500,3.30708700
1.43999996,-5.90551100,3.30708700
1.50399996,0.00000000,3.22834600
1.56799996,-2.75590500,3.22834600
1.63199995,-3.14960600,3.22834600
1.69599995,-2.75590500,3.22834600
1.75999995,-0.78740150,3.22834600
1.82399995,-4.33070900,3.22834600
1.88799995,-3.14960600,3.22834600
1.95199995,-1.96850400,3.22834600
2.01599994,-5.11811000,3.22834600
2.07999994,-2.75590500,3.22834600
2.14399994,-0.78740150,3.22834600
2.20799994,-3.14960600,3.22834600
2.27199994,-5.51181100,3.22834600
2.33599993,-0.39370070,3.22834600
2.39999993,-6.29921200,3.22834600
2.46399993,-2.36220500,3.22834600
2.52799993,-4.72440900,3.22834600
2.59199993,1.96850400,3.30708700
2.65599993,-5.51181100,3.22834600
2.71999992,1.96850400,3.30708700
2.78399992,0.39370070,3.22834600
2.84799992,-1.96850400,3.30708700
2.91199992,-2.36220500,3.22834600
2.97599992,1.96850400,3.30708700
3.03999991,-2.36220500,3.22834600
3.10399991,-4.72440900,3.22834600
3.16799991,1.57480300,3.30708700
3.23199991,-3.14960600,3.22834600
3.29599991,-3.14960600,3.22834600
3.35999991,-1.96850400,3.30708700
3.42399990,0.78740150,3.22834600
3.48799990,-5.90551100,3.30708700
3.55199990,2.75590500,3.22834600
3.61599990,-1.96850400,3.30708700
3.67999990,-1.57480300,3.22834600
3.74399990,-2.36220500,3.30708700
3.80799989,2.36220500,3.22834600
3.87199989,-3.93700800,3.30708700
3.93599989,0.00000000,3.22834600
3.99999989,0.00000000,3.30708700
4.06399989,-1.57480300,3.30708700
4.12799988,-1.57480300,3.30708700
4.19199988,0.00000000,3.30708700
4.25599988,-0.78740150,3.22834600
4.31999988,-3.14960600,3.30708700
4.38399988,0.00000000,3.30708700
4.44799988,-5.11811000,3.30708700
4.51199987,-4.72440900,3.22834600
4.57599987,-8.26771600,3.30708700
4.63999987,-1.18110200,3.22834600
4.70399987,-7.48031400,3.30708700
4.76799987,-2.36220500,3.30708700
4.83199986,-5.90551100,3.22834600
4.89599986,-3.54330700,3.22834600
4.95999986,-10.23622000,3.22834600
5.02399986,-3.93700800,3.22834600
5.08799986,-3.14960600,3.22834600
5.15199986,-5.51181100,3.30708700
5.21599985,0.00000000,3.30708700
5.27999985,-1.96850400,3.22834600
5.34399985,-4.72440900,3.22834600
5.40799985,-2.36220500,3.30708700
5.47199985,0.39370070,3.30708700
5.53599984,-5.51181100,3.22834600
5.59999984,-1.57480300,3.30708700
5.66399984,-0.39370070,3.30708700
5.72799984,-1.96850400,3.22834600
5.79199984,-5.11811000,3.30708700
5.85599984,1.96850400,3.22834600
5.91999983,-6.69291300,3.22834600
5.98399983,-3.93700800,3.30708700
6.04799983,-2.36220500,3.30708700
6.11199983,0.00000000,3.22834600
6.17599983,-5.11811000,3.22834600
6.23999982,1.18110200,3.30708700
6.30399982,0.39370070,3.30708700
6.36799982,-3.14960600,3.30708700
6.43199982,-1.96850400,3.30708700
6.49599982,-0.39370070,3.30708700
6.55999982,-2.36220500,3.30708700
6.62399981,-2.36220500,3.30708700
6.68799981,1.96850400,3.30708700
6.75199981,-2.75590500,3.30708700
6.81599981,-0.39370070,3.30708700
6.87999981,0.00000000,3.30708700
6.94399980,0.39370070,3.30708700
7.00799980,-5.90551100,3.30708700
7.07199980,-0.39370070,3.30708700
7.13599980,-6.29921200,3.30708700
7.19999980,-4.33070900,3.30708700
7.26399980,-4.33070900,3.30708700
7.32799979,-2.36220500,3.30708700
7.39199979,-7.08661400,3.30708700
7.45599979,-4.33070900,3.30708700
7.51999979,-4.33070900,3.30708700
7.58399979,-7.87401500,3.30708700
7.64799978,-5.90551100,3.22834600
7.71199978,-2.75590500,3.30708700
7.77599978,-3.93700800,3.22834600
7.83999978,-4.72440900,3.30708700
7.90399978,-1.18110200,3.22834600
7.96799978,-5.51181100,3.30708700
8.03199977,-2.36220500,3.22834600
8.09599977,-4.33070900,3.30708700
8.15999977,0.78740150,3.30708700
8.22399977,-3.93700800,3.30708700
8.28799977,1.96850400,3.30708700
8.35199976,-0.39370070,3.30708700
8.41599976,-2.36220500,3.30708700
8.47999976,-4.33070900,3.30708700
8.54399976,-1.96850400,3.30708700
8.60799976,-4.72440900,3.22834600
8.67199976,-4.33070900,3.30708700
8.73599975,-1.18110200,3.30708700
8.79999975,0.00000000,3.30708700
8.86399975,-2.75590500,3.30708700
8.92799975,0.00000000,3.30708700
8.99199975,-0.39370070,3.30708700
9.05599974,-6.69291300,3.30708700
9.11999974,-0.39370070,3.30708700
9.18399974,-1.96850400,3.30708700
9.24799974,-1.96850400,3.30708700
9.31199974,-2.75590500,3.30708700
9.37599974,5.90551100,3.30708700
9.43999973,-1.96850400,3.30708700
9.50399973,4.72440900,3.30708700
9.56799973,1.57480300,3.30708700
9.63199973,-0.39370070,3.30708700
9.69599973,-2.36220500,3.30708700
9.75999972,3.54330700,3.30708700
9.82399972,-1.57480300,3.30708700
9.88799972,-1.57480300,3.30708700
9.95199972,1.57480300,3.30708700
10.01599972,-4.33070900,3.30708700
10.07999972,-3.14960600,3.22834600
10.14399971,-3.14960600,3.30708700
10.20799971,-0.39370070,3.30708700
10.27199971,-6.69291300,3.30708700
10.33599971,1.18110200,3.30708700
10.39999971,-4.72440900,3.22834600
10.46399970,-2.75590500,3.22834600
10.52799970,-5.11811000,3.30708700
10.59199970,-0.39370070,3.30708700
10.65599970,-5.11811000,3.30708700
10.71999970,-1.18110200,3.30708700
10.78399970,-0.78740150,3.30708700
10.84799969,0.00000000,3.22834600
10.91199969,-1.18110200,3.30708700
10.97599969,1.96850400,3.30708700
11.03999969,-0.78740150,3.30708700
11.10399969,-3.54330700,3.30708700
11.16799969,0.78740150,3.30708700
11.23199968,-2.75590500,3.30708700
11.29599968,-2.36220500,3.30708700
11.35999968,-2.75590500,3.30708700
11.42399968,3.14960600,3.30708700
11.48799968,-4.33070900,3.30708700
11.55199967,1.57480300,3.30708700
11.61599967,-1.57480300,3.30708700
11.67999967,-0.39370070,3.30708700
11.74399967,-3.54330700,3.30708700
11.80799967,2.36220500,3.30708700
11.87199967,-2.36220500,3.30708700
11.93599966,0.00000000,3.30708700
11.99999966,0.78740150,3.30708700
12.06399966,0.00000000,3.30708700
12.12799966,-2.36220500,3.30708700
12.19199966,-0.39370070,3.30708700
12.25599965,1.18110200,3.30708700
12.31999965,-2.75590500,3.30708700
12.38399965,-1.18110200,3.30708700
12.44799965,-1.57480300,3.30708700
12.51199965,-2.36220500,3.30708700
12.57599965,-6.29921200,3.30708700
12.63999964,-1.57480300,3.30708700
12.70399964,-8.26771600,3.30708700
12.76799964,-5.90551100,3.30708700
12.83199964,-4.72440900,3.30708700
12.89599964,-1.96850400,3.30708700
12.95999963,-12.59842000,3.30708700
13.02399963,-2.75590500,3.30708700
13.08799963,-6.69291300,3.30708700
13.15199963,-11.41732000,3.30708700
13.21599963,-6.69291300,3.30708700
13.27999963,-5.51181100,3.30708700
13.34399962,-7.48031400,3.22834600
13.40799962,-4.72440900,3.30708700
13.47199962,-1.96850400,3.22834600
13.53599962,-8.66141700,3.30708700
13.59999962,-3.93700800,3.30708700
13.66399961,-3.54330700,3.30708700
13.72799961,-5.11811000,3.30708700
13.79199961,-10.62992000,3.30708700
13.85599961,-2.36220500,3.30708700
13.91999961,-8.26771600,3.30708700
13.98399961,-7.87401500,3.30708700
14.04799960,-6.69291300,3.30708700
14.11199960,-5.51181100,3.30708700
14.17599960,-9.05511800,3.30708700
14.23999960,-2.36220500,3.30708700
14.30399960,-5.11811000,3.30708700
14.36799959,-4.33070900,3.30708700
14.43199959,-3.93700800,3.30708700
14.49599959,-1.96850400,3.30708700
14.55999959,-5.11811000,3.30708700
14.62399959,-5.51181100,3.30708700
14.68799959,-2.75590500,3.30708700
14.75199958,-6.29921200,3.30708700
14.81599958,-2.75590500,3.30708700
14.87999958,-5.11811000,3.30708700
14.94399958,-0.78740150,3.30708700
15.00799958,-6.69291300,3.30708700
15.07199957,-1.57480300,3.30708700
15.13599957,-6.69291300,3.30708700
15.19999957,-6.69291300,3.30708700
15.26399957,-9.05511800,3.30708700
15.32799957,-5.51181100,3.30708700
15.39199957,-9.05511800,3.30708700
15.45599956,-9.44881800,3.30708700
15.51999956,-5.11811000,3.30708700
15.58399956,-9.05511800,3.30708700
15.64799956,-11.02362000,3.22834600
15.71199956,-7.87401500,3.30708700
15.77599955,-8.66141700,3.30708700
15.83999955,-14.17323000,3.22834600
15.90399955,-3.93700800,3.30708700
15.96799955,-9.05511800,3.22834600
16.03199955,-6.69291300,3.30708700
16.09599955,-7.08661400,3.30708700
16.15999954,-5.90551100,3.22834600
16.22399954,-10.23622000,3.30708700
16.28799954,-4.33070900,3.30708700
16.35199954,-7.87401500,3.30708700
16.41599954,-5.90551100,3.30708700
16.47999953,-6.69291300,3.30708700
16.54399953,-3.14960600,3.30708700
16.60799953,-7.48031400,3.30708700
16.67199953,-6.69291300,3.30708700
16.73599953,-2.75590500,3.30708700
16.79999953,-7.08661400,3.30708700
16.86399952,-4.33070900,3.30708700
16.92799952,-5.11811000,3.30708700
16.99199952,-0.78740150,3.30708700
17.05599952,-7.87401500,3.22834600
17.11999952,-0.78740150,3.22834600
17.18399951,-7.48031400,3.30708700
17.24799951,-6.29921200,3.30708700
17.31199951,-5.51181100,3.30708700
17.37599951,-0.39370070,3.30708700
17.43999951,-6.29921200,3.30708700
17.50399951,-1.18110200,3.30708700
17.56799950,-1.18110200,3.30708700
17.63199950,-4.33070900,3.30708700
17.69599950,-5.51181100,3.30708700
17.75999950,-4.33070900,3.30708700
17.82399950,-9.44881800,3.30708700
17.88799949,-7.48031400,3.30708700
17.95199949,-4.33070900,3.30708700
18.01599949,-11.41732000,3.30708700
18.07999949,-7.87401500,3.30708700
18.14399949,-8.26771600,3.30708700
18.20799949,-8.26771600,3.22834600
18.27199948,-13.38583000,3.30708700
18.33599948,-7.08661400,3.30708700
18.39999948,-12.20472000,3.30708700
18.46399948,-7.87401500,3.30708700
18.52799948,-11.81102000,3.22834600
18.59199948,-5.51181100,3.30708700
18.65599947,-12.59842000,3.30708700
18.71999947,-6.69291300,3.30708700
18.78399947,-6.69291300,3.30708700
18.84799947,-7.87401500,3.30708700
18.91199947,-5.51181100,3.30708700
18.97599946,-3.54330700,3.30708700
19.03999946,-1.96850400,3.30708700
19.10399946,-6.29921200,3.30708700
19.16799946,-2.36220500,3.30708700
19.23199946,-6.69291300,3.30708700
19.29599946,-6.29921200,3.30708700
19.35999945,-7.87401500,3.30708700
19.42399945,-3.54330700,3.30708700
19.48799945,-8.66141700,3.30708700
19.55199945,-3.93700800,3.30708700
19.61599945,-3.93700800,3.30708700
19.67999944,-4.33070900,3.30708700
19.74399944,-6.29921200,3.30708700
19.80799944,-0.39370070,3.30708700
19.87199944,-7.48031400,3.30708700
19.93599944,-5.11811000,3.30708700
19.99999944,-1.18110200,3.30708700
20.06399943,-3.14960600,3.30708700
20.12799943,-3.93700800,3.30708700
20.19199943,-2.36220500,3.30708700
20.25599943,-1.96850400,3.30708700
20.31999943,-9.05511800,3.30708700
20.38399942,-1.96850400,3.30708700
20.44799942,-7.48031400,3.30708700
20.51199942,-7.48031400,3.30708700
20.57599942,-8.66141700,3.30708700
20.63999942,-4.33070900,3.30708700
20.70399942,-12.59842000,3.30708700
20.76799941,-7.08661400,3.22834600
20.83199941,-9.05511800,3.30708700
20.89599941,-10.23622000,3.30708700
20.95999941,-10.23622000,3.30708700
21.02399941,-9.44881800,3.22834600
21.08799940,-9.05511800,3.30708700
21.15199940,-10.62992000,3.30708700
21.21599940,-5.51181100,3.30708700
21.27999940,-6.69291300,3.30708700
21.34399940,-8.66141700,3.30708700
21.40799940,-5.90551100,3.30708700
21.47199939,-2.36220500,3.30708700
21.53599939,-7.48031400,3.30708700
21.59999939,-0.39370070,3.30708700
21.66399939,-3.14960600,3.30708700
21.72799939,-3.54330700,3.30708700
